"borough_number","building_name","building_address","borough","state","zip_code","block","lot","fuel_oil_usage_mmbtu","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"5","Staten Island Courthouse","26 Central Avenue","Bronx","New York","10301","6","21","0","40.64112","-74.076847","1","49","3","5151735","5000060021","West New Brighton-New Brighton-St. George                                  "
"2","Bronx Hall of Justice","265 East 161 Street","Manhattan","New York","10451","2454","1","1887.426","40.825928","-73.919514","4","16","18302","2097114","2024440001","East Concourse-Concourse Village                                           "
"1","Manhattan Appellate Court","27 Madison Avenue","Manhattan","New York","10010","855","1","0","40.742232","-73.986821","5","2","56","1016743","1008550001","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"1","Sun Building","280 Broadway","Manhattan","New York","10007","153","1","0","40.714417","-74.006089","1","1","31","1079215","1001530001","SoHo-TriBeCa-Civic Center-Little Italy                                     "
"1","Manhattan Surrogates Court","31 Chambers Street","Manhattan","New York","10007","153","24","0","40.713402","-74.004635","1","1","31","1001670","1001530024","SoHo-TriBeCa-Civic Center-Little Italy                                     "
"1","Midtown Community Court","314 West 54 Street","Manhattan","New York","10019","1044","22","0","40.765082","-73.984997","4","3","133","1025397","1010440022","Clinton                                                                    "
"3","Brooklyn Family & Supreme Court","330 Jay Street","Brooklyn","New York","11201","140","7502","0","40.694495","-73.987198","2","33","11","3347736","3001407502","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"3","345 Adams","345 Adams Street","Brooklyn","New York","11201","140","7503","2729.226","40.6934","-73.988915","2","33","11","3392969","3001407503","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"1","Clock Tower Building","346 Broadway","Manhattan","New York","10013","170","6","0","40.716696","-74.004163","1","1","31","1001835","1001700006","SoHo-TriBeCa-Civic Center-Little Italy                                     "
"3","Brooklyn Supreme Court","360 Adams Street","Brooklyn","New York","11201","139","20","8237.358","40.694122","-73.988904","2","33","11","3000257","3001390020","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"3","DCAS Shops","390 Kent Avenue","Brooklyn","New York","11211","2467","1","1847.544","40.711246","-73.968348","1","33","549","3063635","3024670001","North Side-South Side                                                      "
"2","Neighborhood Building","4101 White Plains Road","Bronx","New York","10466","4832","9","1269.6","40.89074","-73.858862","12","12","420","2063174","2048320009","Williamsbridge-Olinville                                                   "
"3","Brooklyn Appellate Court","45 Monroe Place","Brooklyn","New York","11201","237","1","3164.754","40.695822","-73.992802","2","33","502","3001881","3002370001","Brooklyn Heights-Cobble Hill                                               "
"1","Emigrant Savings Bank Building","49-51 Chambers Street","Manhattan","New York","10007","153","18","0","40.713767","-74.005429","1","1","31","1079216","1001530018","SoHo-TriBeCa-Civic Center-Little Italy                                     "
"1","Tweed Courthouse","52 Chambers Street","Manhattan","New York","10007","122","1","0","40.713814","-74.00557","1","1","31","1079146","1001220001","SoHo-TriBeCa-Civic Center-Little Italy                                     "
"1","Manhattan Supreme Court","60 Centre Street","Manhattan","New York","10007","160","21","0","40.714467","-74.002503","1","1","29","1085748","1001600021","Chinatown                                                                  "
"1","Manhattan Family Court","60 Lafayette Street","Manhattan","New York","10013","171","31","0","40.71646","-74.002327","1","1","31","1001842","1001710031","SoHo-TriBeCa-Civic Center-Little Italy                                     "
"4","Central Storehouse","66-26 Metropolitan Avenue","Queens","New York","11379","3605","1","3680.322","40.712372","-73.892028","5","30","61301","4443103","4036050001","Ridgewood                                                                  "
"5","Staten Island Criminal Court","67 Targee Street","Staten Island","New York","10304","542","9","0","40.625509","-74.083403","1","49","21","5014078","5005420009","Stapleton-Rosebank                                                         "
"1","Louis Lefkowitz Building","80 Centre Street","Manhattan","New York","10013","166","27","0","40.715447","-74.00189","1","1","29","1001830","1001660027","Chinatown                                                                  "
"2","Bronx County Courthouse","851 Grand Concourse","Bronx","New York","10451","2468","1","36911.136","40.825999","-73.923131","4","8","63","2002869","2024680001","West Concourse                                                             "
"4","Queens Supreme Court","88-11 Sutphin Boulevard","Queens","New York","11435","9691","1","3002.604","40.704623","-73.809151","12","24","238","4207071","4096910001","Jamaica                                                                    "
"4","Queens Civil Court","89-17 Sutphin Boulevard","Queens","New York","11435","9680","1","1574.442","40.703617","-73.808685","12","24","240","4448759","4096800001","Jamaica                                                                    "
"5","Staten Island Civil Court","927 Castleton Avenue","Staten Island","New York","10310","159","65","0","40.634751","-74.111712","1","49","105","5004530","5001590065","New Brighton-Silver Lake                                                   "
"1","City Hall","City Hall Park","Manhattan","New York","10007","122","1","0","40.712386","-74.006879","1","1","31",,,"SoHo-TriBeCa-Civic Center-Little Italy                                     "
