"reporting_year","borough_block_lot","property_street_address_or","borough","zip_code","sold_date","vacant_on_12_31","construction_reported","vacant_6_30_or_date_sold","primary_business_activity","property_number","property_street","unit","borough_1","postcode","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta","nbhd"
"2020 and 2021","1001891001","222 West Broadway","MANHATTAN","10013",,"NO",,,"FOOD SERVICES","220","WEST BROADWAY","1","MANHATTAN","10013","0","0","1","1","33","1002154","1001891001","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
"2020 and 2021","1001970007","101 LAFAYETTE STREET","MANHATTAN","10013",,"YES",,,"NO BUSINESS ACTIVITY IDENTIFIED","101","LAFAYETTE STREET",,"MANHATTAN","10013","40.717711","-74.0008874","1","1","31","1002356","1001970007","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
"2020 and 2021","1002010004","60 MOTT STREET","MANHATTAN","10013",,"NO",,,"MISCELLANEOUS OTHER SERVICE","60","MOTT STREET",,"MANHATTAN","10013","40.7159434","-73.9979258","3","1","29","1002403","1002010004","MN27","Chinatown"
"2020 and 2021","1002030024","76 BOWERY","MANHATTAN","10013",,"YES","YES",,"NO BUSINESS ACTIVITY IDENTIFIED","76","BOWERY",,"MANHATTAN","10013","40.7168656","-73.9960824","2","1","41","1002611","1002030024","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
"2020 and 2021","1002070017","118-122 BAXTER STREET","MANHATTAN","10013",,"NO",,,"OTHER","118","BAXTER STREET",,"MANHATTAN","10013","40.7180541","-73.9992749","2","1","41","1002669","1002070017","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
"2020 and 2021","1002171434","412 GREENWICH STREET","MANHATTAN","10013",,"NO",,"YES","FOOD SERVICES","412","GREENWICH STREET","RETAI","MANHATTAN","10013","0","0","1","1","39","1090481","1002171434","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
"2020 and 2021","1002300009","329 Canal Street","MANHATTAN","10013",,"YES",,,"NO BUSINESS ACTIVITY IDENTIFIED","329","CANAL STREET",,"MANHATTAN","10013","40.7205299","-74.0028897","2","1","47","1002986","1002300009","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
"2020 and 2021","1002360017","183 Grand st","MANHATTAN","10013",,"YES",,,"RETAIL","183","GRAND STREET",,"MANHATTAN","10013","40.7192426","-73.9977092","2","1","41","1003073","1002360017","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
"2020 and 2021","1002390008","84 ELIZABETH","MANHATTAN","10013",,"NO",,,"FOOD SERVICES","84","ELIZABETH STREET",,"MANHATTAN","10013","40.7180458","-73.9957829","2","1","41","1003116","1002390008","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
"2020 and 2021","1002760032","114 MADISON STREET","MANHATTAN","10002",,"NO",,,"REAL ESTATE","114","MADISON STREET",,"MANHATTAN","10002","40.7120457","-73.9948851","3","1","8","1003310","1002760032","MN27","Chinatown"
"2020 and 2021","1002800047","27 E. Broadway","MANHATTAN","10002",,"NO",,,"FINANCE & INSURANCE","27","EAST BROADWAY",,"MANHATTAN","10002","40.7132864","-73.9967175","3","1","8","1003427","1002800047","MN27","Chinatown"
"2020 and 2021","1002820031","91 EAST BROADWAY","MANHATTAN","10002",,"YES",,,"NO BUSINESS ACTIVITY IDENTIFIED","91","EAST BROADWAY",,"MANHATTAN","10002","40.7134016","-73.9936081","3","1","8","1003541","1002820031","MN27","Chinatown"
"2020 and 2021","1002830091","115 DIVISION STREET","MANHATTAN","10002",,"NO",,,"RETAIL","115","DIVISION STREET",,"MANHATTAN","10002","40.7142688","-73.9920641","3","1","6","1003610","1002830091","MN28","Lower East Side"
"2020 and 2021","1002921003","1 ELDRIDGE STREET","MANHATTAN","10002",,"NO",,,"FOOD SERVICES","1","ELDRIDGE STREET","STORB","MANHATTAN","10002","0","0","3","1","16","1003775","1002921003","MN27","Chinatown"
"2020 and 2021","1002990027","25 ORCHARD STREET","MANHATTAN","10002",,"NO",,,"WHOLESALE","25","ORCHARD STREET",,"MANHATTAN","10002","40.7154765","-73.991862","3","1","16","1003869","1002990027","MN27","Chinatown"
"2020 and 2021","1003040016","237 GRAND STREET","MANHATTAN","10002",,"NO",,,"OTHER","237","GRAND STREET",,"MANHATTAN","10002","40.7182159","-73.9946177","3","1","16","1003931","1003040016","MN27","Chinatown"
"2020 and 2021","1003090021","53 LUDLOW STREET","MANHATTAN","10002",,"NO",,,"RETAIL","53","LUDLOW STREET",,"MANHATTAN","10002","40.7166594","-73.9903756","3","1","16","1004015","1003090021","MN27","Chinatown"
"2020 and 2021","1003100021","49 ESSEX STREET","MANHATTAN","10002",,"YES",,"YES","NO BUSINESS ACTIVITY IDENTIFIED","49","ESSEX STREET",,"MANHATTAN","10002","40.7165578","-73.9895531","3","1","16","1004035","1003100021","MN27","Chinatown"
"2020 and 2021","1000160100","385 SOUTH END AVENUE","MANHATTAN","10280",,"NO",,,"EDUCATIONAL SERVICES","345","SOUTH END AVENUE",,"MANHATTAN","10280","40.7110565","-74.0170361","1","1","317","1083378","1000160100","MN25","Battery Park City-Lower Manhattan"
"2020 and 2021","1000160140","200 Vesey","MANHATTAN","10281",,"NO",,,"RETAIL","200","VESEY STREET",,"MANHATTAN","10281","40.7135353","-74.0148688","1","1","317","1000059","1000160140","MN25","Battery Park City-Lower Manhattan"
"2020 and 2021","1000181001","88 GREENWICH STREET","MANHATTAN","10006",,"NO",,,"MISCELLANEOUS OTHER SERVICE","88","GREENWICH STREET","CU","MANHATTAN","10006","0","0","1","1","13","1000794","1000181001","MN25","Battery Park City-Lower Manhattan"
"2020 and 2021","1000200012","47 BROADWAY","MANHATTAN","10006",,"YES",,,"NO BUSINESS ACTIVITY IDENTIFIED","47","BROADWAY",,"MANHATTAN","10006","40.7066681","-74.0131685","1","1","13","1000805","1000200012","MN25","Battery Park City-Lower Manhattan"
"2020 and 2021","1000270009","63 WALL STREET","MANHATTAN","10005",,"NO",,,"OTHER","63","WALL STREET",,"MANHATTAN","10005","40.7056282","-74.0087752","1","1","7","1000828","1000270009","MN25","Battery Park City-Lower Manhattan"
"2020 and 2021","1000290070","75 BROAD STREET","MANHATTAN","10004",,"NO",,,"FINANCE & INSURANCE","75","BROAD STREET",,"MANHATTAN","10004","40.7046838","-74.0112385","1","1","9","1000849","1000290070","MN25","Battery Park City-Lower Manhattan"
"2020 and 2021","1000300034","40 WATER STREET","MANHATTAN","10004",,"YES",,,"NO BUSINESS ACTIVITY IDENTIFIED","40","WATER STREET",,"MANHATTAN","10004","40.7035092","-74.0102465","1","1","9","1000858","1000300034","MN25","Battery Park City-Lower Manhattan"
"2020 and 2021","1000441410","18 PINE STREET","MANHATTAN","10005",,"YES",,,"NO BUSINESS ACTIVITY IDENTIFIED","18","PINE STREET","RETL2","MANHATTAN","10005","0","0","1","1","7","1001022","1000441410","MN25","Battery Park City-Lower Manhattan"
"2020 and 2021","1000500001","115 BROADWAY","MANHATTAN","10006",,"NO",,,"FOOD SERVICES","115","BROADWAY",,"MANHATTAN","10006","40.7089355","-74.0114701","1","1","13","1001030","1000500001","MN25","Battery Park City-Lower Manhattan"
"2020 and 2021","1000650016","174 BROADWAY","MANHATTAN","10038",,"YES",,,"NO BUSINESS ACTIVITY IDENTIFIED","174","BROADWAY",,"MANHATTAN","10038","40.7097947","-74.009728","1","1","15","1001099","1000650016","MN25","Battery Park City-Lower Manhattan"
"2020 and 2021","1000680011","13 Gold Street","MANHATTAN","10038",,"NO",,,"OTHER","75","MAIDEN LANE",,"MANHATTAN","10038","40.7077583","-74.0074374","1","1","15","1001112","1000680011","MN25","Battery Park City-Lower Manhattan"
"2020 and 2021","1000760006","56 FULTON STREET","MANHATTAN","10038",,"NO",,,"FOOD SERVICES","56","FULTON STREET",,"MANHATTAN","10038","40.7085242","-74.0051687","1","1","15","1090416","1000760006","MN25","Battery Park City-Lower Manhattan"
"2020 and 2021","1000770001","85 JOHN STREET","MANHATTAN","10038",,"NO",,,"RETAIL","85","JOHN STREET",,"MANHATTAN","10038","40.7085296","-74.0064275","1","1","15","1001185","1000770001","MN25","Battery Park City-Lower Manhattan"
"2020 and 2021","1000890001","99 NASSAU STREET","MANHATTAN","10038",,"NO",,,"MISCELLANEOUS OTHER SERVICE","99","NASSAU STREET",,"MANHATTAN","10038","40.710514","-74.0077226","1","1","15","1001242","1000890001","MN25","Battery Park City-Lower Manhattan"
"2020 and 2021","1000890012","222 BROADWAY","MANHATTAN","10038",,"NO",,,"FINANCE & INSURANCE","222","BROADWAY",,"MANHATTAN","10038","40.7108708","-74.00839","1","1","15","1001245","1000890012","MN25","Battery Park City-Lower Manhattan"
"2020 and 2021","1000970035","230 Front street","MANHATTAN","10038",,"NO",,,"RETAIL","230","FRONT STREET",,"MANHATTAN","10038","40.7077283","-74.0021172","1","1","15","1001341","1000970035","MN25","Battery Park City-Lower Manhattan"
"2020 and 2021","1001070050","277 WATER STREET","MANHATTAN","10038",,"NO",,,"OTHER","277","WATER STREET",,"MANHATTAN","10038","40.7085819","-74.0009125","1","1","15","1001386","1001070050","MN25","Battery Park City-Lower Manhattan"
"2020 and 2021","1001321001","275 GREENWICH STREET","MANHATTAN","10007",,"NO",,,"OTHER","275","GREENWICH STREET","COMM","MANHATTAN","10007","0","0","1","1","21","1081076","1001321001","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
"2020 and 2021","1001332019","136 Church Street","MANHATTAN","10007",,"NO",,,"OTHER","37","WARREN STREET","C U 1","MANHATTAN","10007","0","0","1","1","21","1001444","1001332019","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
"2020 and 2021","1001401203","141 READE STREET","MANHATTAN","10013",,"NO",,,"HEALTH CARE or SOCIAL ASSISTANCE","141","READE STREET","141-C","MANHATTAN","10013","0","0","1","1","21","1084396","1001401203","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
"2020 and 2021","1001420025","330-012 Greenwich Street","MANHATTAN","10013",,"YES",,"YES","NO BUSINESS ACTIVITY IDENTIFIED","310","GREENWICH STREET",,"MANHATTAN","10013","40.7195193","-74.0108694","1","1","39","1083243","1001420025","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
"2020 and 2021","1001461003","100 READE STREET","MANHATTAN","10013",,"NO",,,"MISCELLANEOUS OTHER SERVICE","100","READE STREET","CU-3","MANHATTAN","10013","0","0","1","1","33","1083078","1001461003","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
"2020 and 2021","1001471601","200 CHURCH STREET","MANHATTAN","10013",,"NO",,,"FOOD SERVICES","52","THOMAS STREET","COM","MANHATTAN","10013","0","0","1","1","33","1001619","1001471601","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
"2020 and 2021","1001620018","34 MOTT STREET","MANHATTAN","10013",,"NO",,,"RETAIL","34","MOTT STREET",,"MANHATTAN","10013","40.7148537","-73.9986761","3","1","29","1083326","1001620018","MN27","Chinatown"
"2020 and 2021","1001620035","11 Chatham","MANHATTAN","10038",,"NO",,,"RETAIL","11","CHATHAM SQUARE",,"MANHATTAN","10038","40.7140989","-73.9979222","3","1","29","1001705","1001620035","MN27","Chinatown"
"2020 and 2021","1001640013","54 MULBERRY STREET","MANHATTAN","10013",,"YES",,,"NO BUSINESS ACTIVITY IDENTIFIED","54","MULBERRY STREET",,"MANHATTAN","10013","40.7153148","-73.9993254","3","1","29","1001810","1001640013","MN27","Chinatown"
"2020 and 2021","1001640024","53 Mott","MANHATTAN","10013",,"NO",,,"RETAIL","77","BAYARD STREET",,"MANHATTAN","10013","40.7155646","-73.9987266","3","1","29","1001813","1001640024","MN27","Chinatown"
"2020 and 2021","1001740037","349 Broadway","MANHATTAN","10013",,"NO",,,"BROADCASTING/TELECOMM","349","BROADWAY",,"MANHATTAN","10013","40.7171318","-74.0043072","1","1","33","1001910","1001740037","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
"2020 and 2021","1001750029","7 FRANKLIN  PLACE","MANHATTAN","10013",,"NO",,,"OTHER","373","BROADWAY",,"MANHATTAN","10013","40.7179553","-74.003593","1","1","33","1001936","1001750029","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
"2020 and 2021","1001891001","222 WEST BROADWAY","MANHATTAN","10013",,"NO",,,"RETAIL","220","WEST BROADWAY","1","MANHATTAN","10013","0","0","1","1","33","1002154","1001891001","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
"2020 and 2021","1001901501","124 HUDSON STREET","MANHATTAN","10013",,"NO",,,"REAL ESTATE","124","HUDSON STREET","COM","MANHATTAN","10013","0","0","1","1","33","1002166","1001901501","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
"2020 and 2021","1001970007","101 LAFAYETTE STREET","MANHATTAN","10013",,"YES",,,"NO BUSINESS ACTIVITY IDENTIFIED","101","LAFAYETTE STREET",,"MANHATTAN","10013","40.717711","-74.0008874","1","1","31","1002356","1001970007","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
"2020 and 2021","1002000031","57 Mott","MANHATTAN","10013",,"YES",,"YES","NO BUSINESS ACTIVITY IDENTIFIED","57","MOTT STREET",,"MANHATTAN","10013","40.7159324","-73.9986076","3","1","29","1077578","1002000031","MN27","Chinatown"
"2020 and 2021","1002010004","60 MOTT STREET","MANHATTAN","10013",,"NO",,,"RETAIL","60","MOTT STREET",,"MANHATTAN","10013","40.7159434","-73.9979258","3","1","29","1002403","1002010004","MN27","Chinatown"
"2020 and 2021","1002010017","170 CANAL STREET","MANHATTAN","10013",,"NO",,,"RETAIL","170","CANAL STREET",,"MANHATTAN","10013","40.7164621","-73.9973919","3","1","29","1002413","1002010017","MN27","Chinatown"
"2020 and 2021","1002030021","80 BOWERY","MANHATTAN","10013",,"NO",,,"RETAIL","80","BOWERY",,"MANHATTAN","10013","40.7170248","-73.996003","2","1","41","1002609","1002030021","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
"2020 and 2021","1002060031","217B Canal Street","MANHATTAN","10013",,"YES",,,"NO BUSINESS ACTIVITY IDENTIFIED","213","CANAL STREET",,"MANHATTAN","10013","40.717593","-73.9989466","2","1","41","1002661","1002060031","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
"2020 and 2021","1002070017","118-122 BAXTER STREET","MANHATTAN","10013",,"NO",,,"HEALTH CARE or SOCIAL ASSISTANCE","118","BAXTER STREET",,"MANHATTAN","10013","40.7180541","-73.9992749","2","1","41","1002669","1002070017","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
"2020 and 2021","1002141103","145 HUDSON STREET","MANHATTAN","10013",,"NO",,,"RETAIL","145","HUDSON STREET","STORC","MANHATTAN","10013","0","0","1","1","39","1002803","1002141103","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
"2020 and 2021","1002171434","412 GREENWICH STREET","MANHATTAN","10013",,"YES",,,"NO BUSINESS ACTIVITY IDENTIFIED","412","GREENWICH STREET","RETAI","MANHATTAN","10013","0","0","1","1","39","1090481","1002171434","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
"2020 and 2021","1002290003","343 CANAL STREET","MANHATTAN","10013",,"YES",,,"NO BUSINESS ACTIVITY IDENTIFIED","343","CANAL STREET",,"MANHATTAN","10013","40.7207933","-74.0033514","2","1","47","1002967","1002290003","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
"2020 and 2021","1002300004","319 Canal Street","MANHATTAN","10013",,"NO",,,"RETAIL","319","CANAL STREET",,"MANHATTAN","10013","40.7202966","-74.0026407","2","1","47","1077942","1002300004","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
"2020 and 2021","1002340017","211 CENTRE STREET","MANHATTAN","10013",,"NO",,,"OTHER","211","CENTRE STREET",,"MANHATTAN","10013","40.7194485","-73.9991919","2","1","45","1003058","1002340017","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
"2020 and 2021","1002360016","181 Grand St","MANHATTAN","10013",,"NO",,,"FOOD SERVICES","181","GRAND STREET",,"MANHATTAN","10013","40.7192645","-73.9977706","2","1","41","1003072","1002360016","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
"2020 and 2021","1002380027","83 ELIZABETH STREET","MANHATTAN","10013",,"NO",,,"FOOD SERVICES","83","ELIZABETH STREET",,"MANHATTAN","10013","40.7181748","-73.9962555","2","1","41","1079594","1002380027","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
"2020 and 2021","1002390008","84 ELIZABETH","MANHATTAN","10013",,"NO",,,"FOOD SERVICES","84","ELIZABETH STREET",,"MANHATTAN","10013","40.7180458","-73.9957829","2","1","41","1003116","1002390008","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
