"pops_number","borough_name","borocode","community_district","address_number","street_name","zip_code","building_address_with_zip","tax_block","tax_lot","building_name","building_location","year_completed","building_constructed","public_space_type","developer","building_architect","principal_public_space","size_required","hour_of_access_required","amenities_required","other_required","permitted_amenities","physically_disabled","latitude","longitude","xcoordinate","ycoordinate","council_district","census_tract","bin","bbl","nta","geocoded_column"
"M050007","Manhattan","1","5","115","EAST 57 STREET","10022","115 EAST 57 STREET, New York, NY 10022","1312","7501","Galleria","North side of East 57th Street between Lexington and Park Avenues","1974","Completed","Covered Pedestrian Space",,"David Kenneth Specter/Philip Birnbaum","David Kenneth Specter","Covered Pedestrian Space 7419.29 sf","Restricted Hours","Climate Control; Lighting; Other Required; Planting; Plaque/Sign; Programs; Retail Frontage; Seating; Tables; Trees within Space; Water Feature","skylight","Other Permitted","Full/Partial","40.761711","-73.969757","992628","216790","4","112.03","1036926","1013127501","Turtle Bay-East Midtown","POINT (-73.969757 40.761711)"
"M080060","Manhattan","1","8","340","EAST 93 STREET","10128","340 EAST 93 STREET, New York, NY 10128","1555","23","Plymouth Tower","Full blockfront on west side of First Avenue between East 92nd and 93rd Streets","1977","Completed","Residential Plaza",,"Schuman, Lichtenstein, Claman","Weintraub & di Domenico; William Q. Brothers III Architect (for alteration in 2010)","Residential Plaza 7323.83 sf","24 Hours","Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Other Required; Planting; Plaque/Sign; Seating; Trees on Street; Trees within Space","treatment of building walls with decorative lattice screen and stucco wall surfacing on East 92nd Street and East 93rd Street, gazebo in area adjacent to garage entrance on East 93rd Street",,"Full/Partial","40.781182","-73.946704","999010","223887","5","154","1078668","1015550023","Yorkville","POINT (-73.946704 40.781182)"
"M080043","Manhattan","1","8","115","EAST 87 STREET","10128","115 EAST 87 STREET, New York, NY 10128","1516","7502","Carnegie Towers","North side of East 87th Street between Lexington and Park Avenues","1972","Completed","Plaza",,"Jay Sam Unger & Associates","Jay Sam Unger & Associates","Plaza 2633.40 sf","24 Hours","None",,,"Full/Partial","40.780796","-73.955598","996547","223745","4","148.02","1048043","1015167502","Upper East Side-Carnegie Hill","POINT (-73.955598 40.780796)"
"M060058","Manhattan","1","6","919","THIRD AVENUE","10022","919 THIRD AVENUE, New York, NY 10022","1329","1",,"East side of Third Avenue between East 55th and 56th Streets","1970","Completed","Plaza",,"Skidmore, Owings & Merrill","Skidmore, Owings & Merrill","Plaza 19772.00 sf","24 Hours","None",,,"Full/Partial","40.758963","-73.967589","993229","215789","4","108","1038577","1013290001","Turtle Bay-East Midtown","POINT (-73.967589 40.758963)"
"M040009","Manhattan","1","4","650","WEST 42 STREET","10036","650 WEST 42 STREET, New York, NY 10036","1089","1","River Place","Block bounded by Eleventh Avenue, Twelfth Avenue, West 41st Street, and West 42nd Street","1999","Completed","Major Public Open Space; Public Open Space","Silverstein Properties","CK Architecture","Thomas Balsley Associates","Major Public Open Space 0.00 sf; Public Open Space 0.00 sf","Restricted Hours","Drinking Fountain; Food Service; Lighting; Litter Receptacles; Other Required; Planting; Plaque/Sign; Retail Frontage; Seating; Tables; Trees on Street; Trees within Space","dog run, pavilion in the northern corner; 1 play area",,"None","40.761271","-74.000466","984121","216628","3","117","1085803","1010890001","Hudson Yards-Chelsea-Flatiron-Union Square","POINT (-74.000466 40.761271)"
"M080068","Manhattan","1","8","444","EAST 86 STREET","10028","444 EAST 86 STREET, New York, NY 10028","1565","29",,"South side of East 86th Street between York and First Avenues. Additional lot: 1565/17,29.","1974","Completed","Plaza","Kal Associates","Philip Birnbaum","Philip Birnbaum","Plaza 7610.00 sf","24 Hours","Lighting; Planting; Seating; Trees within Space",,,"Full/Partial","40.77588","-73.947885","998684","221955","5","144.01","1050543","1015650029","Yorkville","POINT (-73.947885 40.77588)"
"M050081","Manhattan","1","5","235","WEST 48 STREET","10036","235 WEST 48 STREET, New York, NY 10036","1020","5","Ritz","North side of West 48th Street between Broadway and Eighth Avenue","1989","Completed","Urban Plaza","Jason Carter","Schuman Lichtenstein Claman Efron","Schuman Lichtenstein Claman Efron; Thomas Balsley Associates (for alterations circa 2000 and 2009)","Urban Plaza 6690.42 sf","Restricted Hours","Artwork; Lighting; Litter Receptacles; Planting; Plaque/Sign; Retail Frontage; Seating; Tables; Trees on Street; Trees within Space; Water Feature",,,"Full/Partial","40.760894","-73.986092","988103","216491","3","125","1076194","1010200005","Midtown-Midtown South","POINT (-73.986092 40.760894)"
"M050021","Manhattan","1","5","1345","SIXTH AVENUE","10105","1345 SIXTH AVENUE, New York, NY 10105","1007","29","Alliance Capital","West side of Sixth Avenue between West 54th and 55th Streets","1968","Completed","Plaza","Fisher Brothers","Emery Roth & Sons","Emery Roth & Sons","Plaza 30171.00 sf","24 Hours","Artwork; Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Planting; Plaque/Sign; Seating; Tables; Trees within Space; Water Feature",,"Open Air Cafe","Full/Partial","40.763064","-73.979254","989997","217282","4","137","1083719","1010070029","Midtown-Midtown South","POINT (-73.979254 40.763064)"
"M060022","Manhattan","1","6","330","EAST 39 STREET","10016","330 EAST 39 STREET, New York, NY 10016","944","10","New York Tower","South side of East 39th Street between First and Second Avenues","1980","Completed","Plaza",,"Schuman, Lichtenstein, Claman & Efron","Schuman, Lichtenstein, Claman & Efron","Plaza 11512.00 sf","24 Hours","None",,,"Full/Partial","40.747088","-73.972452","991883","211462","4","78","1021923","1009440010","Murray Hill-Kips Bay","POINT (-73.972452 40.747088)"
"M060090","Manhattan","1","6","430","EAST 29 STREET","10016","430 EAST 29 STREET, New York, NY 10016","962","7502","Alexandria Science Center",,,,"Public Access Area",,,,,,,,,,"40.739922","-73.974328","991364","208851","4","62","1087989","1009627502","Murray Hill-Kips Bay","POINT (-73.974328 40.739922)"
"M080011","Manhattan","1","8","220","EAST 65 STREET","10065","220 EAST 65 STREET, New York, NY 10065","1419","7503","Concorde","South side of East 65th Street between Second and Third Avenues","1979","Completed","Plaza",,"Philip Birnbaum","Philip Birnbaum","Plaza 1325.00 sf","24 Hours","None",,,"Full/Partial","40.76444","-73.962659","994594","217785","4","118","1043869","1014197503","Lenox Hill-Roosevelt Island","POINT (-73.962659 40.76444)"
"K020003","Brooklyn","3","2","1","METROTECH CENTER","11201","1 METROTECH CENTER, Brooklyn, NY 11201","147","4",,"Bounded by Jay Street, Tech Place, Bridge Street, Tillary Street, Flatbush Avenue, Duffield Street, and Willoughby Street","1990","Completed","Commons and Public Areas","Forest City MetroTech Associates","Haines Lundberg Waehler/Skidmore, Owings & Merrill/Swanke Hayden Connell","The Ehrenkrantz Group & Eckstut","Commons and Public Areas 0.00 sf","24 Hours","Artwork; Drinking Fountain; Lighting; Litter Receptacles; Other Required; Planting; Plaque/Sign; Seating; Subway; Trees on Street; Trees within Space","Jay Plaza: newsstand, trellis; security",,"Full/Partial","40.693222","-73.986719","987933","191836","33","11","3319418","3001470004","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill","POINT (-73.986719 40.693222)"
"M050027","Manhattan","1","5","825","SEVENTH AVENUE","10019","825 SEVENTH AVENUE, New York, NY 10019","1006","7501","Tower 53","Northwest corner of West 53rd Street and Seventh Avenue","1967","Completed","Plaza","Loews Corporation","Russell M. Boak Associates","Russell M. Boak Associates","Plaza 2554.70 sf","24 Hours","None",,,"Full/Partial","40.762998","-73.981279","989436","217258","4","131","1023166","1010067501","Midtown-Midtown South","POINT (-73.981279 40.762998)"
"Q020002","Queens","4","2","69-02","QUEENS BOULEVARD","11377","69-02 QUEENS BOULEVARD, Queens, NY 11377","2432","9",,,,,"Pedestrian Walkway",,,"RGR Landscape",,,,,,"Full/Partial","40.739685","-73.8953","1013264","208781","30","489","4000000","4024320009","Elmhurst-Maspeth","POINT (-73.8953 40.73968500000001)"
"M060082","Manhattan","1","6","401","EAST 34 STREET","10016","401 EAST 34 STREET, New York, NY 10016","966","1","Rivergate","Entire block bounded by FDR Drive, First Avenue, East 34th Street, and East 35th Street","1985","Completed","Residential Plaza",,"Philip Birnbaum & Associates","2015 Modification: Matthews Nielsen Landscape Architects, PC and LightTime Design [2000 Sources: Philip Birnbaum & Associates; Thomas Balsley Associates; Landgarden Landscape Architects (for alteration)]","Residential Plaza 15682.00 sf","24 Hours","Artwork; Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Other Required; Planting; Plaque/Sign; Retail Frontage; Seating; Tables; Trees on Street; Trees within Space","Childrens play area, game tables and associated seating provided.",,"Full/Partial","40.743838","-73.972537","991860","210278","4","86.01","1022057","1009660001","Turtle Bay-East Midtown","POINT (-73.972537 40.743838)"
"M060006","Manhattan","1","6","166","EAST 34 STREET","10016","166 EAST 34 STREET, New York, NY 10016","889","39",,"West side of Third Avenue between East 33rd and 34th Streets","1974","Completed","Plaza",,"Philip Birnbaum","Philip Birnbaum","Plaza 4412.40 sf","24 Hours","Plaque/Sign",,,"Full/Partial","40.745467","-73.978675","990159","210871","2","72","1018502","1008890039","Murray Hill-Kips Bay","POINT (-73.978675 40.745467)"
"K020010","Brooklyn","3","2","620","FULTON STREET","11217","620 FULTON STREET, Brooklyn, NY 11217","2108","1",,"Building is located at the northeast corner of Fulton Street and St. Felix Street.","2017","Completed","Public Plaza",,,"Langan, Civil Engineer & Landscape Architect","Public Plaza 2768.00 sf","24 Hours","Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Planting; Plaque/Sign; Retail Frontage; Seating; Trees within Space",,,"Full/Partial","40.687418","-73.977918","990374","189722","35","33","3424471","3021080001","Fort Greene","POINT (-73.977918 40.687418)"
"X010001","Bronx","2","1","671","BROOK AVENUE","10455","671 BROOK AVENUE, Bronx, NY 10455","2361","50","La Central",,,"Completed","Skate Park",,,,,,,,,,"40.817686","-73.913747","1008124","237194","17","71","2127324","2023610050","Melrose South-Mott Haven North","POINT (-73.913747 40.817686)"
"R020001","Staten Island","5","2","475","BRIELLE AVENUE","10314","475 BRIELLE AVENUE, Staten Island, NY 10314","1955","1","Landmark Colony",,,,"Publicly Accessible Open Space",,,,,,,,,"None","40.59183","-74.13974","945440","154927","50","273.02","5134761","5019550001","New Springville-Bloomfield-Travis","POINT (-74.13974 40.59183)"
"M010045","Manhattan","1","1","75","WALL STREET","10005","75 WALL STREET, New York, NY 10005","31","7501","Barclays Bank","South side of Wall Street between Water and Pearl Streets","1987","Completed","Arcade; Non-Bonused Public Open Space; Urban Plaza",,"Welton Becket Associates","Welton Becket Associates; M. Paul Friedberg & Partners","Arcade 5179.25 sf; Non-Bonused Public Open Space 0.00 sf; Urban Plaza 7017.50 sf","24 Hours","Bicycle Parking; None; Planting; Plaque/Sign; Seating; Tables; Trees on Street; Trees within Space; Water Feature",,,"Full/Partial","40.705041","-74.008119","981999","196142","1","7","1085950","1000317501","Battery Park City-Lower Manhattan","POINT (-74.008119 40.705041)"
"M050050","Manhattan","1","5","245","PARK AVENUE","10167","245 PARK AVENUE, New York, NY 10167","1301","1",,"Full block bounded by Lexington and Park Avenues and East 46th and 47th Streets","1966","Completed","Arcade; Plaza","Percy and Harold Uris","Shreve, Lamb & Harmon","Shreve, Lamb & Harmon; Moed de Armas & Shannon Architects (for alteration in 2002 and 2008)","Arcade 10401.75 sf; Plaza 19137.80 sf","24 Hours","Bicycle Parking; Lighting; Litter Receptacles; None; Planting; Plaque/Sign; Seating; Tables",,,"Full/Partial","40.754626","-73.974723","991253","214208","4","92","1036205","1013010001","Turtle Bay-East Midtown","POINT (-73.974723 40.754626)"
"M080053","Manhattan","1","8","301","EAST 79 STREET","10075","301 EAST 79 STREET, New York, NY 10075","1542","7501","Continental Towers","Northeast corner of Second Avenue and East 79th Street. Original BBL: 1542/1101-1545,12,49.","1977","Completed","Plaza","79th Associates","Philip Birnbaum and Mathews Nielsen","M. Paul Friedberg; Bill Bott and Mathews Nielsen (for alteration in 2003)","Plaza 8810.20 sf","24 Hours","Lighting; Litter Receptacles; Planting; Plaque/Sign; Seating; Tables; Trees within Space",,,"Full/Partial","40.773327","-73.954245","996923","221024","5","138","1049261","1015427501","Yorkville","POINT (-73.954245 40.773327)"
"M050062","Manhattan","1","5","445","FIFTH AVENUE","10016","445 FIFTH AVENUE, New York, NY 10016","869","7501","Fifth Avenue Tower","Northeast corner of East 39th Street and  Fifth Avenue","1985","Completed","Urban Plaza",,"Emery Roth & Sons","Weintraub & di Domenico","Urban Plaza 2263.00 sf","24 Hours","Lighting; Litter Receptacles; Other Required; Planting; Plaque/Sign; Retail Frontage; Seating; Trees on Street; Trees within Space; Water Feature","colonnade",,"Full/Partial","40.751588","-73.981752","989306","213101","4","82","1017603","1008697501","Murray Hill-Kips Bay","POINT (-73.981752 40.751588)"
"M050085","Manhattan","1","5","146","WEST 57 STREET","10019","146 WEST 57 STREET, New York, NY 10019","1009","7501","Metropolitan Tower","South side of West 57th Street between Sixth and Seventh Avenues","1986","Completed","Through Block Connection; Urban Plaza","Harry Macklowe","Schuman Lichtenstein Claman Efron","Schuman Lichtenstein Claman Efron","Through Block Connection 0.00 sf; Urban Plaza 4375.00 sf","24 Hours; Restricted Hours","Lighting; Litter Receptacles; Planting; Plaque/Sign; Retail Frontage; Seating; Trees on Street; Trees within Space",,,"Full/Partial","40.764719","-73.97929","989987","217885","4","137","1085969","1010097501","Midtown-Midtown South","POINT (-73.97929 40.764719)"
"M050097","Manhattan","1","5","745","SEVENTH AVENUE","10019","745 SEVENTH AVENUE, New York, NY 10019","1002","1",,"East side of Seventh Avenue between West 49th and 50th Streets","1999","Completed","Public Plaza; Underground Passageway","Rockefeller Group Development Corp., Morgan Stanley Dean Witter & Co.","Kohn Pedersen Fox Associates","Kohn Pedersen Fox Associates","Public Plaza 15648.00 sf; Underground Passageway 0.00 sf","Restricted Hours","Elevator; Food Service; Lighting; Planting; Plaque/Sign; Seating; Subway; Tables; Trees within Space; Water Feature",,,"Full/Partial","40.76052","-73.982843","989003","216355","4","125","1084667","1010020001","Midtown-Midtown South","POINT (-73.982843 40.76052)"
"M010028","Manhattan","1","1","85","BROAD STREET","10004","85 BROAD STREET, New York, NY 10004","29","1","Goldman Sachs","Full blockfront on east side of Broad Street between Pearl and South William Streets","1983","Completed","Arcade; Publicly Accessible Lobby; Sidewalk Widening; Urban Plaza","Galbreath-Ruffin Corp.","Skidmore, Owings & Merrill","Skidmore, Owings & Merrill","Arcade 12930.00 sf; Publicly Accessible Lobby 0.00 sf; Sidewalk Widening 3600.00 sf; Urban Plaza 9630.00 sf","24 Hours; Restricted Hours","Lighting; Litter Receptacles; Other Required; Plaque/Sign; Retail Frontage; Seating; Trees on Street; Trees within Space","signage and display methods used to identify the historical significance of the site, approved by the Landmarks Preservation Commission and the City Planning Commission","Open Air Cafe","Full/Partial","40.703993","-74.011054","981185","195760","1","9","1066031","1000290001","Battery Park City-Lower Manhattan","POINT (-74.011054 40.703993)"
"M010010","Manhattan","1","1","88","PINE STREET","10005","88 PINE STREET, New York, NY 10005","38","17","Wall Street Plaza","Bounded by Front Street, Water Street, and Maiden Lane","1971","Completed","Special Permit Plaza",,"I.M. Pei and Partners; C.Y. Tung/Morley Cho","I.M. Pei and Partners; C.Y. Tung/Morley Cho","Special Permit Plaza 9907.00 sf","24 Hours","Artwork; Planting; Seating; Subway; Trees within Space; Water Feature",,,"Full/Partial","40.705662","-74.006168","982540","196368","1","7","1000876","1000380017","Battery Park City-Lower Manhattan","POINT (-74.006168 40.705662)"
"M070016","Manhattan","1","7","61","WEST 62 STREET","10023","61 WEST 62 STREET, New York, NY 10023","1115","7502","The Harmony/David Rubenstein Atrium","North side of West 62nd Street between Broadway and Columbus Avenue","1979","Completed","Covered Plaza","The Harkness Company","Philip Birnbaum/John Gillis","M. Paul Friedberg & Partners; Tod Williams Billie Tsien (for alteration in 2008)","Covered Plaza 6906.00 sf","Closing for Events; Restricted Hours","Climate Control; Drinking Fountain; Elevator; Food Service; Lighting; Other Required; Planting; Plaque/Sign; Programs; Restrooms; Retail Frontage; Seating; Tables; Trees on Street; Water Feature","skylight",,"Full/Partial","40.771115","-73.982837","989004","220215","3","149","1027461","1011157502","Lincoln Square","POINT (-73.982837 40.771115)"
"M080003","Manhattan","1","8","980","FIFTH AVENUE","10075","980 FIFTH AVENUE, New York, NY 10075","1491","1",,"Northeast corner of Fifth Avenue and East 79th Street","1967","Completed","Plaza",,"Paul Resnick & Harry F. Green","Paul Resnick & Harry F. Green","Plaza 2879.50 sf","24 Hours","None",,,"Full/Partial","40.777041","-73.963201","994442","222376","4","142","1046426","1014910001","Upper East Side-Carnegie Hill","POINT (-73.963201 40.777041)"
"M080029","Manhattan","1","8","400","EAST 71 STREET","10021","400 EAST 71 STREET, New York, NY 10021","1465","1","Windsor","Full blockfront on east side of First Avenue between East 70th and 71st Streets","1979","Completed","Plaza",,"Schuman, Lichtenstein, Claman","Schuman, Lichtenstein, Claman","Plaza 7297.86 sf","24 Hours","None",,,"Full/Partial","40.766642","-73.956257","996367","218588","5","124","1045808","1014650001","Lenox Hill-Roosevelt Island","POINT (-73.95625700000001 40.766642)"
"M010023","Manhattan","1","1","90","WASHINGTON STREET","10006","90 WASHINGTON STREET, New York, NY 10006","17","29",,"Bounded by Washington, West, and Rector Streets","1968","Completed","Plaza",,"Fred Safran","Fred Safran","Plaza 8789.00 sf","24 Hours","Bicycle Parking; Lighting; Planting; Plaque/Sign; Seating; Trees within Space",,,"Full/Partial","40.708074","-74.01485","980133","197247","1","13","1000793","1000170029","Battery Park City-Lower Manhattan","POINT (-74.01485 40.708074)"
"M010011","Manhattan","1","1","180","MAIDEN LANE","10005","180 MAIDEN LANE, New York, NY 10005","37","23",,"Full block bounded by South Street, Front Street, Pine Street, and Maiden Lane","1982","Completed","Enclosed Public Space; Outdoor Public Space",,"Swanke Hayden Connell; Kohn Pedersen Fox","Swanke Hayden Connell; Kohn Pedersen Fox; Thomas Balsley Associates (for Outdoor Public Space); Perkins Eastman (2015 Design Change)","Enclosed Public Space 14442.00 sf; Outdoor Public Space 6678.00 sf","24 Hours; Restricted Hours","Artwork; Climate Control; Drinking Fountain; Escalator; Food Service; Litter Receptacles; Other Required; Planting; Plaque/Sign; Programs; Restrooms; Retail Frontage; Seating; Tables; Trees within Space","4,839 sf open exhibit area, 858 sf enclosed exhibit area, 365 sf","Other Permitted","Full/Partial","40.705269","-74.005515","982721","196225","1","7","1000874","1000370023","Battery Park City-Lower Manhattan","POINT (-74.005515 40.705269)"
"M060066","Manhattan","1","6","100","UNITED NATIONS PLAZA","10017","100 UNITED NATIONS PLAZA, New York, NY 10017","1341","7503",,"North side of East 48th Street between First and Second Avenues/ West side of First Avenue between East 48th and 49th Streets","1985","Completed","Arcade; Residential Plaza",,"Schuman, Lichtenstein, Claman, Efron/Der Scutt","Thomas Balsley","Arcade 0.00 sf; Residential Plaza 12093.00 sf","24 Hours","Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Planting; Plaque/Sign; Seating; Trees on Street; Trees within Space; Water Feature",,,"Full/Partial","40.7531","-73.967642","993215","213653","4","90","1039205","1013417503","Turtle Bay-East Midtown","POINT (-73.967642 40.7531)"
"M010041","Manhattan","1","1","175","WATER STREET","10038","175 WATER STREET, New York, NY 10038","71","7501",,"Full block bounded by Water, John, Front, and Fletcher Streets","1984","Completed","Open Pedestrian Area; Special Permit Arcade","Howard Ronson","Fox & Fowle Architects","Fox & Fowle Architects","Open Pedestrian Area 0.00 sf; Special Permit Arcade 0.00 sf","24 Hours","Other Required; Planting; Retail Frontage; Trees within Space","paving Front and Fletcher Streets in a manner consistent with South Street Seaport area",,"Full/Partial","40.706362","-74.005129","982828","196623","1","15.02","1001137","1000717501","Battery Park City-Lower Manhattan","POINT (-74.005129 40.706362)"
"K130001","Brooklyn","3","13","2121","BOARDWALK WEST","11224","2121 BOARDWALK WEST, Brooklyn, NY 11224","7071","142","Seaside Park & Community Arts Center",,,"Completed","Open-Air Auditorium; Public Open Space",,"Gerner Kronick + Valcarcel, pc","Michael Van Valkenburgh Associates, Inc.",,,,,,"Full/Partial","40.572811","-73.98806","987567","147967","47","352","3426960","3070710142","Seagate-Coney Island","POINT (-73.98806 40.572811)"
"M050095","Manhattan","1","5","12","EAST 49 STREET","10017","12 EAST 49 STREET, New York, NY 10017","1284","7","Tower 49","South side of East 49th Street between Madison and Fifth Avenues","1984","Completed","Arcade; Public Access Passageway; Sidewalk Widening; Urban Plaza","Solstead Associates (David and Jean Solomon)","Skidmore, Owings & Merrill","Skidmore, Owings & Merrill; Thomas Balsley Associates (for alteration in 2004)","Arcade 3779.00 sf; Public Access Passageway 0.00 sf; Sidewalk Widening 998.00 sf; Urban Plaza 6387.00 sf","24 Hours; Restricted Hours","Lighting; Litter Receptacles; Planting; Plaque/Sign; Seating; Tables; Trees on Street; Trees within Space",,,"Full/Partial","40.757231","-73.977022","990616","215157","4","94","1035434","1012840007","Midtown-Midtown South","POINT (-73.977022 40.757231)"
"M080101","Manhattan","1","8","205","EAST 92 STREET","10128","205 EAST 92 STREET, New York, NY 10128","1538","7501","The Easton","South of East 93rd Street between Second Avenue and Third Avenue","2016","Completed","Non-Bonused Open Area; Public Plaza","Related Companies","Handel Architects","Starr Whitehouse Landcape","Non-Bonused Open Area 0.00 sf; Public Plaza 10678.00 sf","24 Hours","Artwork; Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Other Required; Planting; Plaque/Sign; Retail Frontage; Seating; Tables; Trees on Street; Trees within Space; Water Feature","skylight",,"Unknown","40.782666","-73.95031","998011","224427","5","154","1090174","1015387501","Yorkville","POINT (-73.95031 40.782666)"
"M050016","Manhattan","1","5","450","PARK AVENUE","10022","450 PARK AVENUE, New York, NY 10022","1292","37",,"Southwest corner of Park Avenue and East 57th Street","1971","Completed","Plaza","Peter Sharp","Emery Roth & Sons","Emery Roth & Sons","Plaza 3900.00 sf","24 Hours","Lighting; Other Required; Planting; Seating; Trees on Street; Water Feature","access from Plaza to lobby",,"Full/Partial","40.761495","-73.971328","992193","216711","4","112.02","1035780","1012920037","Midtown-Midtown South","POINT (-73.971328 40.761495)"
