"objectid","boroughcode","buildingnumber","streetname","pssite","plantingspaceonstreet","width","length","parkname","parkzone","crossstreet1","crossstreet2","communityboard","sanitationzone","zipcode","citycouncil","statesenate","stateassembly","congressional","physicalid","psstatus","geometry","globalid","createddate","updateddate","jurisdiction","overheadutilities","treeguard","latitude","longitude","census_tract","bin","bbl","nta","location"
"122427","Queens","235-03","SEWARD AVENUE","Street","SEWARD AVENUE","0.00000000","0.00000000",,,"236 STREET","235 STREET","413",,"11427","23","11","24","3","0083776","Empty","POINT (1057442.9383335561 207496.56333351135)","F31930BA-47FD-4D9F-B8A2-7A4FA4707D16","2015-03-04T05:00:00.000","2017-04-12T09:35:49.000",,"0",,"40.735867","-73.735883","1301","4166042","4079210044","Bellerose","
,  
(40.73590392543609, -73.73589054380587)"
"122822","Queens","81-07","102 AVENUE","Street",,"0.00000000","0.00000000",,,"84 STREET","81 STREET","409",,"11416","32","15","23","7","0031977","Populated","POINT (1023859.4393752366 187178.40625017881)","BF1A2621-311E-4865-BF58-566D1F722451","2015-03-04T05:00:00.000","2018-05-14T12:50:12.000",,"0",,"40.680319","-73.857183","52","4188850","4090810075","Woodhaven","
,  
(40.68034962962567, -73.85719248700684)"
"122823","Queens","164-04","92 STREET","Street","164 AVENUE","0.00000000","0.00000000",,,"165 AVENUE","164 AVENUE","410",,"11414","32","15","23","8","0033812","Populated","POINT (1028921.9504168928 176331.76625017822)","7E294FBE-2F67-45FF-806B-DC9C381CB81B","2015-03-04T05:00:00.000","2017-05-09T09:27:06.000",,"0",,"40.650365","-73.838728","892","4294654","4140850007","Lindenwood-Howard Beach","
,  
(40.65055396036524, -73.83901206486087)"
"123622","Manhattan","222","BOWERY","Street","BOWERY","0.00000000","0.00000000",,,"PRINCE STREET","RIVINGTON STREET","102",,"10012","1","26","65","7",,"Populated","POINT (986044.37854190171 202333.74333351851)","710AE376-7FD6-4146-B5A8-1174A4DBCADA","2015-03-05T05:00:00.000","2022-07-06T17:02:35.000",,"0",,"40.722015","-73.993398","43","1007397","1004920023","SoHo-TriBeCa-Civic Center-Little Italy","
,  
(40.7220359198932, -73.99352652018682)"
"124422","Brooklyn","10","MAC DONOUGH STREET","Street",,"16.00000000","0.00000000",,,"TOMPKINS AVENUE","MARCY AVENUE","303",,"11216","36","25","56","8","0048539","Populated","POINT (999301.54000023007 187288.49583351612)","B3E480C9-E951-4EB8-BF00-2A6BBC68A701","2015-03-06T05:00:00.000","2018-07-30T14:02:25.000",,"0",,"40.680787","-73.945634","269","3053447","3018540005","Bedford","
,  
(40.680727624558635, -73.94573302735407)"
"124423","Staten Island","405","BRADLEY AVENUE","Street",,"0.00000000","0.00000000",,,"BRADLEY COURT","HAROLD STREET","502",,"10314","49","24","63","11","0054036","Empty","POINT (947866.31875023246 158367.597291857)","8EE97251-0953-4A33-9050-4950F2318BC8","2015-03-06T05:00:00.000","2021-11-26T19:19:28.000",,"0",,"40.601175","-74.131207","18702","5021099","5008170001","New Springville-Bloomfield-Travis","
,  
(40.60128407443782, -74.13102204411231)"
"124424","Staten Island","294","HAROLD STREET","Street",,"0.00000000","0.00000000",,,"BRADLEY AVENUE","WELLBROOK AVENUE","502",,"10314","49","24","63","11","0064943","Populated","POINT (947894.50437523425 158372.901875183)","D8247903-EBCC-47E6-8736-48B593B1E2B9","2015-03-06T05:00:00.000","2021-11-26T19:22:55.000",,"0",,"40.601354","-74.130901","18702","5021099","5008170001","New Springville-Bloomfield-Travis","
,  
(40.601298750096845, -74.13092057296318)"
"124822","Staten Island","405","BRADLEY AVENUE","Street",,"0.00000000","0.00000000",,,"BRADLEY COURT","HAROLD STREET","502",,"10314","49","24","63","11","0054036","Empty","POINT (947847.8725002259 158365.21020852029)","877312FA-0D7B-4508-9AAB-C50F8A48B9E4","2015-03-06T05:00:00.000","2017-04-11T10:10:23.000",,"0",,"40.601175","-74.131207","18702","5021099","5008170001","New Springville-Bloomfield-Travis","
,  
(40.60127744663596, -74.13108845833014)"
"125222","Staten Island","294","HAROLD STREET","Street",,"0.00000000","0.00000000",,,"BRADLEY AVENUE","WELLBROOK AVENUE","502",,"10314","49","24","63","11","0064943","Empty","POINT (947922.52520856261 158374.32479184866)","09AC76E0-89DD-4551-8FC7-D31CEB4E46D7","2015-03-06T05:00:00.000","2017-04-11T10:10:38.000",,"0",,"40.601354","-74.130901","18702","5021099","5008170001","New Springville-Bloomfield-Travis","
,  
(40.601302770615526, -74.13081967432801)"
"126022","Manhattan","340","WEST  50 STREET","Street","W 50 ST","0.00000000","0.00000000",,,"9 AVENUE","8 AVENUE","104",,"10019","3","27","75","10","0116275","Empty","POINT (987653.50458356738 217222.73437517881)","FAD30141-44AD-4A95-BA52-F06FE2387F97","2015-03-08T05:00:00.000","2018-02-21T11:49:59.000",,"0",,"40.762763","-73.987254","127","1086781","1010400050","Clinton","
,  
(40.762902013309805, -73.98771383177144)"
"126422","Manhattan","10","WEST 135 STREET","Street","W 135 ST","0.00000000","0.00000000",,,"LENOX TERRACE PLACE","5 AVENUE","110",,"10037","9","30","70","13","0019603","Empty","POINT (1001279.3033335656 235478.27354185283)","A644AB79-A3CB-4F7F-923B-F308E615CCD4","2015-03-08T05:00:00.000","2019-09-18T13:12:54.000",,"0",,"40.812973","-73.938196","212","1053892","1017300045","Central Harlem North-Polo Grounds","
,  
(40.81299281873849, -73.93848036135194)"
"126823","Manhattan","322","WEST  50 STREET","Street","W 50 ST","0.00000000","0.00000000",,,"9 AVENUE","8 AVENUE","104",,"10019","3","27","75","10","0116275","Empty","POINT (987673.68708355725 217211.01583351195)","4EE7B013-A06E-46D8-9818-B560C49E9180","2015-03-08T05:00:00.000","2021-12-07T19:35:37.000",,"0",,"40.762593","-73.986846","127","1086781","1010400050","Clinton","
,  
(40.76286984113766, -73.98764098178187)"
"127222","Queens","92-014","242 STREET","Street",,"0.00000000","0.00000000",,,"93 AVENUE","BEND","413",,"11426","23","11","33","5","0073555","Empty","POINT (1060090.2770835608 203795.11479185522)","A25C0602-5BC6-478E-9DEF-7043F23C3454","2015-03-09T04:00:00.000",,,"0",,"40.725793","-73.726352","1621","4167924","4080040242","Bellerose","
,  
(40.725722100958436, -73.72637966552335)"
"127223","Staten Island","85","HAROLD STREET","Street",,"0.00000000","0.00000000",,,"GOWER STREET","FANNING STREET","502",,"10314","50","24","63","11","0064935","Empty","POINT (950100.47666689754 158565.51416684687)","C32CA533-648D-49D5-B437-AD1A5876E9DF","2015-03-09T04:00:00.000","2015-10-18T15:39:00.000",,"0",,"40.601769","-74.122853","18702","5020640","5007980030","New Springville-Bloomfield-Travis","
,  
(40.60183620621752, -74.12297758228955)"
"127224","Queens","67-017","214 STREET","Street",,"0.00000000","0.00000000",,,"69 AVENUE","67 AVENUE","411",,"11364","23","16","24","6","0092262","Empty","POINT (1050407.1172918975 210012.12770850956)","79123103-653D-40CC-9ED9-6C6438CC4BE5","2015-03-09T04:00:00.000",,,"0",,"40.743133","-73.761444","1367","4163100","4076260057","Oakland Gardens","
,  
(40.742863926358815, -73.76125373382968)"
"127226","Queens","85-021","150 STREET","Street",,"0.00000000","0.00000000",,,"85 ROAD","85 AVENUE","408",,"11435","24","14","24","6","0027114","Populated","POINT (1037230.6754169017 198337.50520852208)","5FA53832-1420-44E7-B6C2-AC7601E2729C","2015-03-09T04:00:00.000",,,"0",,"40.710897","-73.808956","230","4208349","4097330070","Briarwood-Jamaica Hills","
,  
(40.7109087609878, -73.80889631491311)"
"127227","Queens","93-27","222 STREET","Street",,"0.00000000","0.00000000",,,"94 AVENUE","93 ROAD","413",,"11428","23","11","33","5","0034418","Populated","POINT (1058224.5489585698 202529.44479185343)","99FE920F-5C68-4F25-B042-38BED8A72177","2015-03-09T04:00:00.000","2018-10-11T14:16:51.000",,"0",,"40.722414","-73.733263","564","4230232","4107410001","Queens Village","
,  
(40.72226395886168, -73.73312480220066)"
"127228","Queens","103-017","94 STREET","Street","WOODHAVEN BLVD","0.00000000","0.00000000",,,"ROCKAWAY BOULEVARD","103 AVENUE","410",,"11417","32","15","23","8","0029646","Populated","POINT (1027097.2214585692 187644.72416685522)","F2FAA9DF-F587-44C8-8B86-25D72AE4E287","2015-03-09T04:00:00.000",,,"0",,"40.681638","-73.845593","4002","4189565","4091160053","Ozone Park","
,  
(40.68161448405041, -73.8455160751631)"
"127229","Bronx","1066","EAST 218 STREET","Street","LACONIA AVENUE","0.00000000","0.00000000",,,"LACONIA AVENUE","PAULDING AVENUE","212",,"10469","12","36","83","16","0094800","Populated","POINT (1024995.2250002325 259698.10958351195)","BDF7324E-C3BE-4F38-B2D5-9BC4BB465E89","2015-03-09T04:00:00.000","2017-07-27T13:50:21.000",,"0",,"40.879595","-73.852926","388","2059546","2047000061","Williamsbridge-Olinville","
,  
(40.87939150122717, -73.8526577538963)"
"127622","Manhattan","98","CLINTON STREET","Street","CLINTON ST","0.00000000","0.00000000",,,"WILLIAMSBURG BR BIKE AND PED PTH","RIVINGTON STREET","103",,"10002","1","26","65","12","0160643","Populated","POINT (988275.70520856977 200931.10041685402)","2B1B37B1-37A3-4210-878B-DBA3CFBA29DC","2015-03-09T04:00:00.000","2016-10-14T13:48:33.000",,"0",,"40.718336","-73.98544","1402","1004194","1003480039","Lower East Side","
,  
(40.718185269060996, -73.98547752591789)"
"127623","Manhattan","251","EAST 13 STREET","Street","E 13 ST","0.00000000","0.00000000",,,"2 AVENUE","3 AVENUE","103",,"10003","2","27","66","12","0080041","Populated","POINT (988215.35166689754 205904.25270850956)","6C99D4EF-9481-4A43-B94E-DB80923312C8","2015-03-09T04:00:00.000","2021-04-13T13:57:20.000",,"0",,"40.732132","-73.986541","40","1006911","1004690037","East Village","
,  
(40.73183539196633, -73.98569231717438)"
"127624","Brooklyn","1514","37 STREET","Street","ON 38 ST - IN PLAYGROUND BEHIND HOUSE","18.00000000","0.00000000","DOME PLAYGROUND",,"DAHILL ROAD","15 AVENUE","312",,"0","0","0","0","0","0055088","Empty","POINT (989673.50187523663 171948.10958351195)","F6FBE1E0-C633-46A4-807D-2EED2E3B32FA","2015-03-09T04:00:00.000","2019-08-07T14:27:57.000",,"0",,,,,,,,"
,  
(40.63863277886023, -73.98045838845547)"
"127625","Manhattan","1755","YORK AVENUE","Street","YORK AV","0.00000000","0.00000000",,,"FDR DRIVE SB ENTRANCE YORK AVE","EAST   91 STREET","108",,"10128","5","28","76","12","0019487","Populated","POINT (999614.90250022709 223336.44291685522)","A783840B-36A9-475B-BEE1-E8B2248F6333","2015-03-09T04:00:00.000","2016-10-06T13:57:03.000",,"0",,"40.779425","-73.944597","152","1050756","1015710022","Yorkville","
,  
(40.779669848428135, -73.94452091329741)"
"127626","Manhattan","58","WEST 12 STREET","Street","W 12 ST","0.00000000","0.00000000",,,"AVENUE OF THE AMERICAS","5 AVENUE","102",,"10011","3","27","66","10","0000859","Empty","POINT (985178.842916891 207227.29937517643)","9583C644-9909-4091-9E5E-2B06510FF430","2015-03-09T04:00:00.000","2015-03-09T04:00:00.000",,"0",,"40.735366","-73.996244","63","1009604","1005750126","West Village","
,  
(40.73546766969366, -73.99664838951)"
"128022","Manhattan","340","EAST  73 STREET","Street","E 73 ST","0.00000000","0.00000000",,,"1 AVENUE","2 AVENUE","108",,"10021","5","28","76","12","0023310","Empty","POINT (996506.40750022233 219274.79229184985)","568A662E-15D4-4E57-BD16-F9D55D9C80A2","2015-03-09T04:00:00.000","2020-01-29T16:52:06.000",,"0",,"40.769041","-73.95684","126","1044884","1014470030","Lenox Hill-Roosevelt Island","
,  
(40.76852654034033, -73.95575237109102)"
"128023","Manhattan","327","WEST 4 STREET","Street","W 4 ST","0.00000000","0.00000000",,,"JANE STREET","WEST   12 STREET","102",,"10014","3","27","66","10","0001259","Populated","POINT (983190.3147919029 208112.31166684628)","0291F2B2-E63E-4992-85D6-D987A019D9FC","2015-03-09T04:00:00.000","2016-10-06T19:45:59.000",,"0",,"40.737814","-74.003857","77","1011034","1006150058","West Village","
,  
(40.737896794992885, -74.00382387751313)"
"128024","Queens","94-002","218 STREET","Street",,"0.00000000","0.00000000",,,"94 ROAD","94 AVENUE","413",,"11428","23","14","33","5","0024060","Empty","POINT (1056689.6693752259 201812.69187518954)","92FFFF33-89EA-489F-9460-C3EBF56ECCA6","2015-03-09T04:00:00.000",,,"0",,"40.72033","-73.738622","566","4226757","4106210001","Queens Village","
,  
(40.7203093556924, -73.73866981057843)"
"128422","Manhattan","530","CANAL STREET","Street","CANAL ST","0.00000000","0.00000000",,,"WEST STREET","WASHINGTON STREET","101",,"10013","1","26","66","10","0178664","Populated","POINT (981264.240000233 203429.63708351552)","6006AC89-CBD3-404A-9775-CCEA2CC7212F","2015-03-09T04:00:00.000","2020-02-25T20:27:17.000",,"0",,"40.725075","-74.01043","39","1010325","1005950011","SoHo-TriBeCa-Civic Center-Little Italy","
,  
(40.72504356091416, -74.01077204668289)"
"128423","Queens","240-20","83 AVENUE","Street","241 STREET","0.00000000","0.00000000",,,"241 STREET","240 STREET","413",,"11426","23","11","24","3","0096982","Empty","POINT (1060148.4110419005 207277.94208352268)","7760CDB3-7F87-4115-97A7-5E58D4BC2B40","2015-03-09T04:00:00.000","2017-11-03T11:26:35.000",,"0",,"40.735343","-73.726648","157102","4165788","4079080039","Bellerose","
,  
(40.73528106394752, -73.72613064281605)"
"128425","Manhattan","542","WEST 153 STREET","Street","W 153 ST","0.00000000","0.00000000",,,"BROADWAY","AMSTERDAM AVENUE","109",,"10031","7","31","71","13","0096028","Empty","POINT (999147.6795835644 242097.34625017643)","AC4BB13F-02D6-4975-A18F-1FFBD4B72EF3","2015-03-09T04:00:00.000","2015-03-09T04:00:00.000",,"0",,"40.830784","-73.945161","237","1090330","1020840056","Hamilton Heights","
,  
(40.831164149244756, -73.94616631506352)"
"128426","Manhattan","542","WEST 153 STREET","Street","W 153 ST","0.00000000","0.00000000",,,"BROADWAY","AMSTERDAM AVENUE","109",,"10031","7","31","71","13","0096028","Populated","POINT (999154.62395855784 242093.22312518954)","CE09E6F2-15F7-4353-93F1-D9EE92A98A02","2015-03-09T04:00:00.000","2022-04-27T18:30:48.000",,"0",,"40.830784","-73.945161","237","1090330","1020840056","Hamilton Heights","
,  
(40.83115282073585, -73.94614123030276)"
"128822","Bronx","3726","BRONXWOOD AVENUE","Street",,"0.00000000","0.00000000",,,"EAST  218 STREET","EAST  217 STREET","212",,"10469","12","36","83","16","0057414","Populated","POINT (1023648.9562502354 260158.7943751812)","624FD0B1-4440-4F0A-894A-6A9B1A692964","2015-03-10T04:00:00.000","2021-09-14T18:49:34.000",,"0",,"40.880482","-73.857744","388","2058964","2046880028","Williamsbridge-Olinville","
,  
(40.8806620488411, -73.85752339157239)"
"128823","Bronx","2737","MATTHEWS AVENUE","Street",,"0.00000000","0.00000000",,,"ARNOW AVENUE","ALLERTON AVENUE","211",,"10467","13","36","80","14","0086738","Empty","POINT (1022247.1781252325 255094.56270851195)","EB85EFF6-B658-4419-87F1-640983144DDD","2015-03-10T04:00:00.000","2019-02-05T15:06:23.000",,"0",,"40.866158","-73.862569","340","2053768","2045130046","Bronxdale","
,  
(40.86676845347578, -73.86262128908143)"
"128824","Queens","27-07","167 STREET","Street","167 STREET","0.00000000","0.00000000",,,"29 AVENUE","27 AVENUE","407",,"11358","19","11","26","6","0092712","Populated","POINT (1040307.5212502331 220603.34145851433)","B914F50F-66E2-4665-A74C-EF38E1F4439C","2015-03-10T04:00:00.000","2017-02-13T06:13:27.000",,"0",,"40.772003","-73.797669","1141","4111336","4049190002","Murray Hill","
,  
(40.7720038126404, -73.79761247214171)"
"128825","Queens","30-029","69 STREET","Street","68 street","0.00000000","0.00000000",,,"31 AVENUE","BEND","403",,"11377","22","13","34","14","0026433","Populated","POINT (1012208.7666668892 215366.94645851851)","E9D2728E-E15E-4B65-82D4-DBB46C5EB766","2015-03-10T04:00:00.000","2015-03-10T04:00:00.000",,"0",,"40.75911","-73.898381","30902","4024565","4011180029","Jackson Heights","
,  
(40.757764801208424, -73.89908058460242)"
"128826","Queens","50-023","FRANCIS LEWIS BOULEVARD","Street",,"0.00000000","0.00000000",,,"53 AVENUE","50 AVENUE","411",,"11364","20","11","25","6",,"Populated","POINT (1045604.0135418922 212457.77562518418)","2F0C0FC8-75AE-49A3-8EF7-60388FCAB917","2015-03-10T04:00:00.000","2016-10-24T15:19:00.000",,"0",,"40.750085","-73.778935","145102","4158513","4073770050","Bayside-Bayside Hills","
,  
(40.749611221730774, -73.77856467569248)"
"128827","Queens","50-013","44 STREET","Street",,"0.00000000","0.00000000",,,"LAUREL HILL BOULEVARD","50 AVENUE","402",,"11377","26","12","37","14","0081843","Populated","POINT (1005931.5954168886 207750.90104185045)","C8E1BAF8-B507-4E2A-BA4A-7318752FEA87","2015-03-10T04:00:00.000",,,"0",,"40.737164","-73.921783","187","4437370","4022940026","Hunters Point-Sunnyside-West Maspeth","
,  
(40.736878299961475, -73.92176307810891)"
"129222","Staten Island","208","FISKE AVENUE","Street",,"0.00000000","0.00000000",,,"LEONARD AVENUE","LATHROP AVENUE","501",,"10314","50","24","63","11","0094844","Empty","POINT (947183.37604188919 164519.07312518358)","462E1DE0-B006-4AA4-9876-4CE54597585C","2015-03-10T04:00:00.000","2017-08-24T13:37:30.000",,"0",,"40.61821","-74.133423","201","5011933","5004310021","Westerleigh","
,  
(40.6181657630494, -74.13351516400837)"
"129223","Staten Island","84","OAKVILLE STREET","Street",,"0.00000000","0.00000000",,,"SOREN STREET","BRADLEY AVENUE","502",,"10314","50","24","63","11","0058207","Empty","POINT (947074.02208356559 157485.82312518358)","6D904278-B4B3-4197-A77F-0707135A8D2E","2015-03-10T04:00:00.000","2015-03-13T04:00:00.000",,"0",,"40.598925","-74.133518","27302","5033920","5019720007","New Springville-Bloomfield-Travis","
,  
(40.59886049768704, -74.13387034324202)"
"129622","Queens","197-044","NASHVILLE BOULEVARD","Street",,"0.00000000","0.00000000",,,"122 AVENUE","197 STREET","412",,"11413","27","14","29","5","0082867","Populated","POINT (1053583.983541891 189804.66333352029)","757328E2-3378-4C45-971F-886BF556E8CD","2015-03-10T04:00:00.000","2016-12-15T16:19:42.000",,"0",,"40.687275","-73.750138","376","4274264","4127330019","St. Albans","
,  
(40.68737516008145, -73.74999731900971)"
"129623","Brooklyn","2266","HENDRICKSON STREET","Street","HENDRICKSON STREET","12.00000000","0.00000000",,,"AVENUE V","AVENUE U","318",,"11234","46","22","59","8","0071694","Empty","POINT (1005850.8020835668 160834.28583352268)","2EAB0B2A-F17C-428A-8CFB-2E8F3497F735","2015-03-10T04:00:00.000",,,"0",,"40.608226","-73.922247","662","3340387","3085587501","Georgetown-Marine Park-Bergen Beach-Mill Basin","
,  
(40.60810299019869, -73.92220496831976)"
"129624","Brooklyn","187","18 STREET","Street","18 STREET","2.00000000","0.00000000",,,"5 AVENUE","4 AVENUE","307",,"11215","38","20","51","7","0067670","Empty","POINT (986076.750833556 181241.22833351791)","DDC385AF-B0F2-43FF-B54A-B7F922F0A5F1","2015-03-10T04:00:00.000","2016-02-10T12:24:33.000",,"0",,"40.663974","-73.993213","143","3396793","3006310078","Park Slope-Gowanus","
,  
(40.664141840020164, -73.99341545235836)"
"129625","Queens","58-027","206 STREET","Street",,"0.00000000","0.00000000",,,"HORACE HARDING EXPRESSWAY SR N","58 AVENUE","411",,"11364","23","11","25","6","0034210","Populated","POINT (1047717.4470835626 211261.26062518358)","77728080-487B-4FE8-AE8B-4CE07538A74B","2015-03-10T04:00:00.000","2015-04-13T16:27:35.000",,"0",,"40.74646","-73.771076","1403","4160561","4074570058","Bayside-Bayside Hills","
,  
(40.74631218385016, -73.77094832073728)"
"129626","Queens","50-015","44 STREET","Street",,"0.00000000","0.00000000",,,"LAUREL HILL BOULEVARD","50 AVENUE","402",,"11377","26","12","37","14","0081843","Empty","POINT (1005909.0260418952 207656.066041857)","BE272F34-9A4C-4257-A673-D2860757F989","2015-03-10T04:00:00.000","2015-03-10T04:00:00.000",,"0",,"40.737134","-73.92179","187","4437370","4022940026","Hunters Point-Sunnyside-West Maspeth","
,  
(40.73661805672999, -73.92184482381532)"
"129627","Staten Island","11","KNOX PLACE","Street",,"0.00000000","0.00000000",,,"SLOSSON AVENUE","ROYAL OAK ROAD","501",,"10314","50","24","63","11","0093582","Populated","POINT (952339.17187522352 163664.40833351016)","8AADD266-D82F-4623-BA41-5D91D30233F5","2015-03-10T04:00:00.000","2016-10-12T13:17:20.000",,"0",,"40.615784","-74.115106","147","5009003","5003290080","Westerleigh","
,  
(40.61583995703714, -74.11493980623673)"
