"nta","nta_name","borough","boro_code","company","conduit_route_mileage","street_mileage","conduit_mileage_total","conduit_mileage_available","conduit_mileage_available_1","cd_overlap_1","cd_overlap_2","cd_overlap_3","cd_overlap_4","cd_overlap_5","cd_overlap_6"
"MN17","Midtown-Midtown South","Manhattan","1","ECS","66.6","46.48","1074.8","900.6","0.838","104","105",,,,
"MN19","Turtle Bay-East Midtown","Manhattan","1","ECS","31.5","31.28","554.8","487.1","0.878","106",,,,,
"MN20","Murray Hill-Kips Bay","Manhattan","1","ECS","26.8","25.05","623.4","552.9","0.887","106",,,,,
"MN21","Gramercy","Manhattan","1","ECS","12.7","13.69","282.9","251.6","0.889","106",,,,,
"MN22","East Village","Manhattan","1","ECS","12.2","16.92","318.6","305","0.957","103",,,,,
"MN23","West Village","Manhattan","1","ECS","33","42.84","438.2","358.9","0.819","101","102",,,,
"MN24","SoHo-TriBeCa-Civic Center-Little Italy","Manhattan","1","ECS","55.9","43.18","1181.5","1036.8","0.878","101","102",,,,
"MN25","Battery Park City-Lower Manhattan","Manhattan","1","ECS","49.8","41.33","989.6","857.7","0.867","101","102",,,,
"MN27","Chinatown","Manhattan","1","ECS","17.8","34.57","341.8","315.4","0.923","103",,,,,
"MN28","Lower East Side","Manhattan","1","ECS","17","44.8","134.7","122","0.906","103",,,,,
"MN31","Lenox Hill-Roosevelt Island","Manhattan","1","ECS","15.3","36.41","234.8","206.1","0.878","108",,,,,
"MN32","Yorkville","Manhattan","1","ECS","10.4","19.14","160","145.8","0.911","108",,,,,
"MN33","East Harlem South","Manhattan","1","ECS","15.3","30.08","263.4","237.5","0.902","111",,,,,
"MN34","East Harlem North","Manhattan","1","ECS","16.6","48.68","325.3","302","0.928","111",,,,,
"MN35","Washington Heights North","Manhattan","1","ECS","10.7","28.1","123.3","111.4","0.903","112",,,,,
"MN36","Washington Heights South","Manhattan","1","ECS","15.2","46.06","206.3","193.3","0.937","112",,,,,
"MN40","Upper East Side-Carnegie Hill","Manhattan","1","ECS","26.8","40.42","344.5","306.5","0.89","108",,,,,
"MN50","Stuyvesant Town-Cooper Village","Manhattan","1","ECS","3.4","9.95","42","35.8","0.852","106",,,,,
"MN99","park-cemetery-etc-Manhattan","Manhattan","1","ECS","3.9","139.49","75.9","22.1","0.292","101","102","107","111","112",
