"manhattan_cooperatives_comparable_properties_boro_block_lot","manhattan_cooperatives_comparable_properties_address","borough","postcode","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta","manhattan_cooperatives_comparable_properties_neighborhood","manhattan_cooperatives_comparable_properties_building_classification","manhattan_cooperatives_comparable_properties_total_units","manhattan_cooperatives_comparable_properties_year_built","manhattan_cooperatives_comparable_properties_gross_sqft","manhattan_cooperatives_comparable_properties_est_gross_income","manhattan_cooperatives_comparable_properties_gross_income_per_sqft","manhattan_cooperatives_comparable_properties_full_market_value","manhattan_cooperatives_comparable_properties_market_value_per_sqft","comparable_rental_1_boro_block_lot","comparable_rental_1_address","comparable_rental_1_neighborhood","comparable_rental_1_building_classification","comparable_rental_1_total_units","comparable_rental_1_year_built","comparable_rental_1_gross_sqft","comparable_rental_1_est_gross_income","comparable_rental_1_gross_income_per_sqft","comparable_rental_1_full_market_value","comparable_rental_1_market_value_per_sqft","comparable_rental_1_dist_from_coop_in_miles","comparable_rental_2_boro_block_lot","comparable_rental_2_address","comparable_rental_2_neighborhood","comparable_rental_2_building_classification","comparable_rental_2_total_units","comparable_rental_2_year_built","comparable_rental_2_gross_sqft","comparable_rental_2_est_gross_income","comparable_rental_2_gross_income_per_sqft","comparable_rental_2_full_market_value","comparable_rental_2_market_value_per_sqft","comparable_rental_2_dist_from_coop_in_miles"
"1-00876-0018","34 GRAMERCY PARK
New York, NY 
(40.737344794336, -73.985359929323)","1","10003","40.737418","-73.985313","6","2","50","1017953","1008760018","Gramercy                                                                   ","GRAMERCY","D4-ELEVATOR","45","1909","80000","2700000","33.8","12600000","158","1-00888-0055","142 33 STREET
New York, NY 
(40.656410986197, -74.003425307448)","MURRAY HILL","D1-ELEVATOR","49","1927","26280","910000","34.6","4240000","161","0.6","1-00885-0051","150 30 STREET
New York, NY 
(40.658074964642, -74.001636044993)","MURRAY HILL","D1-ELEVATOR","48","1962","20660","758000","36.7","3530000","171","0.45"
"1-00905-0026","421 2 AVENUE
New York, NY 
(40.738750865112, -73.980260066965)","1","10010","40.738647","-73.980362","6","2","66","1019791","1009050026","Murray Hill-Kips Bay                                                       ","GRAMERCY","D4-ELEVATOR","167","1963","112641","3717153","33","17300000","154","1-00878-0004","295 PARK AVENUE
New York, NY 
(40.756293486044, -73.97441797743)","GRAMERCY","D9-ELEVATOR","190","1900","145299","6617000","45.5","32500000","224","0.25","1-00928-0040","320 23 STREET
New York, NY 
(40.658591389224, -73.991924495047)","KIPS BAY","D6-ELEVATOR","213","1965","153800","6743612","43.8","33100000","215","0.15"
"1-00844-0011","15 16 STREET
New York, NY 
(40.667937859492, -73.995710193809)","1",,,,,,,,,,"FLATIRON","D0-ELEVATOR","11","1908","49520","1535120","31","7150000","144","1-00844-0008","9 16 STREET
New York, NY 
(40.6680646639, -73.995844244183)","FLATIRON","D6-ELEVATOR","16","1900","30680","1268777","41.4","6230000","203","0","1-00818-0010","43 16 STREET
New York, NY 
(40.667497438664, -73.994953975398)","FLATIRON","D9-ELEVATOR","95","1911","64049","3021349","47.2","14800000","231","0.15"
"1-01501-0056","1246 MADISON AVENUE
New York, NY 
(40.783168380139, -73.957120511151)","1","10128","40.783083","-73.957203","8","4","15002","1046978","1015010056","Upper East Side-Carnegie Hill                                              ","UPPER EAST SIDE (79-96)","D4-ELEVATOR","60","1929","166317","4448979","26.7","18400000","111","1-01447-0023","1347 1 AVENUE
New York, NY 
(40.768014803945, -73.95585246709)","UPPER EAST SIDE (59-79)","D6-ELEVATOR","145","1962","165527","4826057","29.2","22500000","136","1",,,,,,,,,,,,
"1-00422-0060","237 ELDRIDGE STREET
New York, NY 
(40.722518102483, -73.989738921154)","1","10002","40.722506","-73.989751","3","1","3601","1005623","1004220060","Chinatown                                                                  ","LOWER EAST SIDE","C6-WALK-UP","42","1900","23260","672214","28.9","2780000","120","1-00205-0004","106 MULBERRY STREET
New York, NY 
(40.717436933017, -73.998372412635)","CHINATOWN","C7-WALK-UP","36","1915","21320","669000","31.4","3120000","146","0.55","1-00164-0019","66 MULBERRY STREET
New York, NY 
(40.715773187263, -73.999379653308)","CHINATOWN","C7-WALK-UP","45","1909","20766","587000","28.3","2430000","117","0.7"
"1-01119-0036","70 CENTRAL PARK
New York, NY 
(40.765243091999, -73.975249669479)","1","10000","40.782295","-73.965126","64","6","143","1000000","1011110001","park-cemetery-etc-Manhattan                                                ","UPPER WEST SIDE (59-79)","D4-ELEVATOR","67","1918","126557","4429495","35","20600000","163","1-01210-0012","147 79 STREET
New York, NY 
(40.629612150649, -74.033321842043)","UPPER WEST SIDE (79-96)","D3-ELEVATOR","61","1926","76193","2581011","33.9","12000000","157","0.7","1-01150-0041","120 79 STREET
New York, NY 
(40.629778856145, -74.034205340369)","UPPER WEST SIDE (59-79)","D3-ELEVATOR","64","1926","114696","3364798","29.3","15700000","137","0.65"
"1-00817-0085","568 AVENUE
New York, NY 
(40.756053999992, -73.986951000288)","1",,,,,,,,,,"FLATIRON","D4-ELEVATOR","121","1955","126300","3662700","29","17100000","135","1-00844-0017","31 UNION SQUARE
New York, NY 
(40.736664438004, -73.990692202505)","FLATIRON","D9-ELEVATOR","88","1902","118067","3557989","30.1","16600000","141","0.15",,,,,,,,,,,,
"1-00822-0045","4 21 STREET
New York, NY 
(40.664958602476, -73.999323715634)","1",,,,,,,,,,"FLATIRON","D4-ELEVATOR","58","2005","119136","5003712","42","24600000","206","1-00850-0039","268 PARK AVENUE
New York, NY 
(40.755671163756, -73.975273676579)","FLATIRON","D6-ELEVATOR","77","1927","99750","4344159","43.6","21300000","214","0.2","1-00850-0064","12 22 STREET
New York, NY 
(40.605227458458, -74.000034101555)","FLATIRON","D5-ELEVATOR","87","1911","78646","3495347","44.4","17200000","219","0.2"
"1-01117-0029","1 64 STREET
New York, NY 
(40.641192091989, -74.025054344213)","1",,,,,,,,,,"UPPER WEST SIDE (59-79)","D4-ELEVATOR","94","1910","119866","4075444","34","19000000","159","1-01210-0012","147 79 STREET
New York, NY 
(40.629612150649, -74.033321842043)","UPPER WEST SIDE (79-96)","D3-ELEVATOR","61","1926","76193","2581011","33.9","12000000","157","0.8","1-01150-0041","120 79 STREET
New York, NY 
(40.629778856145, -74.034205340369)","UPPER WEST SIDE (59-79)","D3-ELEVATOR","64","1926","114696","3364798","29.3","15700000","137","0.7"
"1-01508-0016","139 79 STREET
New York, NY 
(40.62967066888, -74.03357000269)","1",,,,,,,,,,"UPPER EAST SIDE (79-96)","D4-ELEVATOR","20","1928","48600","1652400","34","7700000","158","1-01492-0056","1070 MADISON AVENUE
New York, NY 
(40.777448692033, -73.961293365367)","UPPER EAST SIDE (79-96)","D6-ELEVATOR","21","1920","47380","2353784","49.7","11600000","245","0.2","1-01439-0023","1185 1 AVENUE
New York, NY 
(40.762879675158, -73.959593646731)","UPPER EAST SIDE (59-79)","D7-ELEVATOR","61","1996","50225","2138078","42.6","10500000","209","0.85"
"1-02079-0007","547 147 STREET
New York, NY 
(40.794606089497, -73.822013307006)","1",,,,,,,,,,"HARLEM-UPPER","D4-ELEVATOR","30","1940","42528","595392","14","1260000","29.6","1-02075-0061","3512 BROADWAY
New York, NY 
(40.825526447719, -73.95096914847)","HARLEM-UPPER","D7-ELEVATOR","45","1920","54000","775416","14.36","2620000","48.5","0.2","1-02088-0029","3441 BROADWAY
New York, NY 
(40.823484986712, -73.952722826428)","HARLEM-UPPER","D7-ELEVATOR","37","1910","42860","640764","14.95","2170000","51","0.4"
"1-02070-0024","511 138 STREET
New York, NY 
(40.821428542252, -73.952190696305)","1",,,,,,,,,,"HARLEM-WEST","C6-WALK-UP","15","1910","12640","164320","13","348000","27.5","1-02117-0054","529 158 STREET
New York, NY 
(40.833855773277, -73.942384238874)","WASHINGTON HEIGHTS LOWER","C1-WALK-UP","31","1904","20940","246541","11.77","693000","33.1","1","1-01988-0080","531 135 STREET
New York, NY 
(40.819298149066, -73.953090136823)","HARLEM-WEST","C1-WALK-UP","21","1910","12395","148815","12.01","418000","33.7","0.15"
"1-02243-0230","75 PARK TERRACE
New York, NY 
(40.713935278866, -74.010677170794)","1",,,,,,,,,,"INWOOD","D4-ELEVATOR","78","1939","87400","1223600","14","3810000","43.6","1-02250-0050","583 215 STREET
New York, NY 
(40.871944007864, -73.919055752705)","INWOOD","D1-ELEVATOR","67","1930","68592","993685","14.49","3360000","49","0.1","1-02222-0017","530 207 STREET
New York, NY 
(40.756053999992, -73.986951000288)","INWOOD","D7-ELEVATOR","89","1920","72643","1273933","17.54","4310000","59","0.45"
"1-00798-0017","147 22 STREET
New York, NY 
(40.602550096998, -74.002718227941)","1",,,,,,,,,,"CHELSEA","D0-ELEVATOR","15","1909","45451","1480000","32.6","6890000","152","1-00775-0009","245 25 STREET
New York, NY 
(40.599395932882, -74.002409502923)","CHELSEA","D1-ELEVATOR","68","1938","36500","1237000","33.9","5760000","158","0.2","1-00888-0055","142 33 STREET
New York, NY 
(40.656410986197, -74.003425307448)","MURRAY HILL","D1-ELEVATOR","49","1927","26280","910000","34.6","4240000","161","0.8"
"1-01121-0045","26 69 STREET
New York, NY 
(40.638478087214, -74.034984180512)","1",,,,,,,,,,"UPPER WEST SIDE (59-79)","D4-ELEVATOR","20","1925","27308","1037704","38","4830000","177","1-01167-0007","245 75 STREET
New York, NY 
(40.63183778985, -74.029251897674)","UPPER WEST SIDE (59-79)","D1-ELEVATOR","48","1924","24840","970184","39.1","4760000","192","0.5","1-01244-0022","310 80 STREET
New York, NY 
(40.627729794133, -74.028941953195)","UPPER WEST SIDE (79-96)","D1-ELEVATOR","36","1910","22728","916700","40.3","4500000","198","0.75"
"1-01341-0044","310 49 STREET
New York, NY 
(40.647986863854, -74.013630088827)","1",,,,,,,,,,"MIDTOWN EAST","D4-ELEVATOR","102","1959","60043","2041462","34","9510000","158","1-01439-0046","310 65 STREET
New York, NY 
(40.639140666, -74.023303007238)","UPPER EAST SIDE (59-79)","D9-ELEVATOR","88","1965","76500","2383792","31.2","11100000","145","0.8","1-00925-0060","304 20 STREET
New York, NY 
(40.600996593515, -74.006848454447)","KIPS BAY","D9-ELEVATOR","70","1948","56310","2034409","36.1","9480000","168","1.45"
"1-01492-0011","17 80 STREET
New York, NY 
(40.630485102337, -74.038911799103)","1",,,,,,,,,,"UPPER EAST SIDE (79-96)","D4-ELEVATOR","11","1920","20615","742140","36","3460000","168","1-01448-0037","334 74 STREET
New York, NY 
(40.631904121024, -74.026573572703)","UPPER EAST SIDE (59-79)","D3-ELEVATOR","35","1914","20490","952763","46.5","4680000","228","0.65","1-01460-0039","420 66 STREET
New York, NY 
(40.636631090969, -74.020636310679)","UPPER EAST SIDE (59-79)","D9-ELEVATOR","40","1910","19370","492512","25.4","2040000","105","1"
"1-01377-0003","812 5 AVENUE
New York, NY 
(40.766423003953, -73.971410738197)","1","10065","40.766378","-73.971459","8","4","11401","1040884","1013770003","Upper East Side-Carnegie Hill                                              ","UPPER EAST SIDE (59-79)","D4-ELEVATOR","30","1963","89890","2966370","33","13800000","154","1-01431-0016","231 76 STREET
New York, NY 
(40.631221459132, -74.029897000109)","UPPER EAST SIDE (59-79)","D3-ELEVATOR","90","1938","82065","1892995","23.07","7840000","96","0.8","1-01490-0122","555 78 STREET
New York, NY 
(40.626474707903, -74.022244986526)","UPPER EAST SIDE (59-79)","D3-ELEVATOR","87","1940","75854","2827503","37.3","13200000","174","1.15"
"1-00846-0071","105 5 AVENUE
New York, NY 
(40.738310197317, -73.991933266905)","1","10003","40.73833","-73.991913","5","2","52","1016144","1008460071","Hudson Yards-Chelsea-Flatiron-Union Square                                 ","FLATIRON","D0-ELEVATOR","43","1907","102017","2907484","28.5","13500000","132","1-00844-0017","31 UNION SQUARE
New York, NY 
(40.736664438004, -73.990692202505)","FLATIRON","D9-ELEVATOR","88","1902","118067","3557989","30.1","16600000","141","0.04","1-00850-0039","268 PARK AVENUE
New York, NY 
(40.755671163756, -73.975273676579)","FLATIRON","D6-ELEVATOR","77","1927","99750","4344159","43.6","21300000","214","0.2"
"1-01507-0021","1361 MADISON AVENUE
New York, NY 
(40.786747681816, -73.954530463707)","1","10128","40.786736","-73.95451","8","4","16001","1047427","1015070021","Upper East Side-Carnegie Hill                                              ","UPPER EAST SIDE (79-96)","D4-ELEVATOR","52","1902","68992","2138752","31","9960000","144","1-01517-0043","16O 89 STREET
New York, NY 
(40.62316151649, -74.039623167392)","UPPER EAST SIDE (79-96)","D3-ELEVATOR","51","1938","64272","1688719","26.3","6990000","109","0.4","1-01437-0041","330 63 STREET
New York, NY 
(40.639613228839, -74.021020855337)","UPPER EAST SIDE (59-79)","D1-ELEVATOR","90","1949","70992","2205767","31.1","10300000","145","1.7"
"1-00537-0026","534 LA GUARDIA PLACE
New York, NY 
(40.728678458384, -73.998426371957)","1","10012","40.728534","-73.998564","2","1","65","1008642","1005370026","West Village                                                               ","GREENWICH VILLAGE-CENTRAL","D0-ELEVATOR","16","1912","41384","1500000","36.2","6990000","169","1-00591-0040","317 BLEECKER STREET
New York, NY 
(40.733067149887, -74.00405612786)","GREENWICH VILLAGE-WEST","D7-ELEVATOR","56","1900","41748","1866000","44.7","9160000","219","0.4","1-00617-0036","234 13 STREET
New York, NY 
(40.604941517313, -74.011373131072)","GREENWICH VILLAGE-WEST","D7-ELEVATOR","42","1890","26377","1079000","40.9","5300000","201","0.65"
"1-01602-0060","12 97 STREET
New York, NY 
(40.615234333059, -74.037464095817)","1",,,,,,,,,,"UPPER EAST SIDE (96-110)","D4-ELEVATOR","113","1928","121369","2791487","23","11600000","96","1-01577-0027","28 END AVENUE
New York, NY 
(40.563585540441, -74.178798953878)","UPPER EAST SIDE (79-96)","D6-ELEVATOR","103","1950","109723","3185349","29","14800000","135","1.15","1-01580-0001","1578 YORK AVENUE
New York, NY 
(40.774076234423, -73.948478026449)","UPPER EAST SIDE (79-96)","C7-WALK-UP","14","1910","8975","221387","24.67","917000","102","1.05"
"1-00722-0046","408 25 STREET
New York, NY 
(40.659712472796, -73.996814380624)","1",,,,,,,,,,"CHELSEA","C6-WALK-UP","20","1910","9580","295000","30.8","625000","65","1-00745-0031","303 21 STREET
New York, NY 
(40.660076513904, -73.991258795583)","CHELSEA","C4-WALK-UP","15","1900","9575","300000","31.3","1400000","146","0.25","1-00790-0059","140 15 STREET
New York, NY 
(40.666843843365, -73.992019972049)","CHELSEA","C4-WALK-UP","20","1920","7375","233000","31.6","1090000","148","0.7"
"1-01413-0040","180 79 STREET
New York, NY 
(40.629314385941, -74.032302552029)","1",,,,,,,,,,"UPPER EAST SIDE (59-79)","D4-ELEVATOR","135","1930","243000","7508700","30.9","35000000","144","1-01422-0048","210 68 STREET
New York, NY 
(40.637340130872, -74.027940743125)","UPPER EAST SIDE (59-79)","D6-ELEVATOR","210","1929","243802","10785305","44.2","52900000","217","0.55","1-01568-0001","1700 1 AVENUE
New York, NY 
(40.778473919146, -73.94818125018)","UPPER EAST SIDE (79-96)","D6-ELEVATOR","213","1964","227259","5780597","25.4","23900000","105","0.65"
"1-01586-0035","530 90 STREET
New York, NY 
(40.618689289016, -74.027302654056)","1",,,,,,,,,,"UPPER EAST SIDE (79-96)","D4-ELEVATOR","68","1942","71000","2059000","29","9590000","135","1-01563-0020","449 83 STREET
New York, NY 
(40.624360540036, -74.026243343435)","UPPER EAST SIDE (79-96)","D7-ELEVATOR","74","1985","53130","1664817","31.3","7750000","146","0.35","1-01585-0001","1680 YORK AVENUE
New York, NY 
(40.777457685253, -73.946013884089)","UPPER EAST SIDE (79-96)","D7-ELEVATOR","67","1949","67425","1937925","28.7","8030000","119","0.05"
"1-01217-0011","151 86 STREET
New York, NY 
(40.624264243791, -74.03430930689)","1",,,,,,,,,,"UPPER WEST SIDE (79-96)","D4-ELEVATOR","28","1914","70744","1839344","26","7620000","108","1-01239-0044","2476 BROADWAY
New York, NY 
(40.791855830942, -73.973695016151)","UPPER WEST SIDE (79-96)","D7-ELEVATOR","64","1920","67954","1923124","28.3","7970000","117","0.3","1-01236-0044","2412 BROADWAY
New York, NY 
(40.789976247901, -73.975070978856)","UPPER WEST SIDE (79-96)","D6-ELEVATOR","52","1915","76626","1757811","22.94","7280000","95","0.15"
"1-01229-0061","450 END AVENUE
New York, NY 
(40.756053999992, -73.986951000288)","1",,,,,,,,,,"UPPER WEST SIDE (79-96)","D4-ELEVATOR","56","1931","150285","3456555","23","14300000","95","1-01186-0083","393 END AVENUE
New York, NY 
(40.756053999992, -73.986951000288)","UPPER WEST SIDE (59-79)","D3-ELEVATOR","114","1927","134183","2573018","19.18","9620000","72","0.2","1-01200-0015","27 86 STREET
New York, NY 
(40.625478610078, -74.039434266715)","UPPER WEST SIDE (79-96)","D3-ELEVATOR","64","1926","126045","3285925","26.1","13600000","108","0.45"
"1-01450-0023","1445 1 AVENUE
New York, NY 
(40.770227136137, -73.954233687437)","1","10021","40.769853","-73.954515","8","5","134","1045148","1014500023","Lenox Hill-Roosevelt Island                                                ","UPPER EAST SIDE (59-79)","D4-ELEVATOR","374","1966","388735","12420083","31.9","57900000","149","1-01426-0044","206 72 STREET
New York, NY 
(40.63408576797, -74.029467805907)","UPPER EAST SIDE (59-79)","D6-ELEVATOR","442","1979","377297","18486479","49","90800000","241","0.25","1-01465-0021","1313 YORK AVENUE
New York, NY 
(40.765928376837, -73.954422545063)","UPPER EAST SIDE (59-79)","D6-ELEVATOR","442","1966","400612","12411953","31","57800000","144","0.3"
"1-01493-0001","998 5 AVENUE
New York, NY 
(40.778482912366, -73.962633355191)","1","10028","40.778246","-73.962359","8","4","142","1046660","1014930001","Upper East Side-Carnegie Hill                                              ","UPPER EAST SIDE (79-96)","D4-ELEVATOR","18","1912","145230","4414992","30.4","20600000","142","1-01511-0033","1450 3 AVENUE
New York, NY 
(40.776576349664, -73.955609650142)","UPPER EAST SIDE (79-96)","D6-ELEVATOR","94","1961","147534","3908339","26.5","16200000","110","0.3",,,,,,,,,,,,
"1-01557-0050","1834 2 AVENUE
New York, NY 
(40.783402203867, -73.947713602724)","1","10128","40.783373","-73.94771","8","5","15601","1050322","1015570050","Yorkville                                                                  ","UPPER EAST SIDE (79-96)","D4-ELEVATOR","31","1920","15030","450900","30","956000","64","1-01565-0022","1617 YORK AVENUE
New York, NY 
(40.775353271704, -73.947542731539)","UPPER EAST SIDE (79-96)","D7-ELEVATOR","22","1910","15032","572318","38.1","2670000","178","0.45","1-01529-0015","227 83 STREET
New York, NY 
(40.626077888832, -74.031671762508)","UPPER EAST SIDE (79-96)","D9-ELEVATOR","31","1925","15376","572750","37.2","2670000","174","0.55"
"1-00391-0014","614 9 STREET
New York, NY 
(40.726090813956, -73.979947518578)","1",,,,,,,,,,"ALPHABET CITY","C6-WALK-UP","37","1910","33000","759000","23","1610000","48.8","1-00406-0021","530 13 STREET
New York, NY 
(40.662705282422, -73.979958325162)","ALPHABET CITY","C7-WALK-UP","40","1900","27000","816000","30.2","3800000","141","0.25","1-00399-0026","234 4 STREET
New York, NY 
(40.672559667481, -73.984612529007)","ALPHABET CITY","C7-WALK-UP","31","1900","18690","502000","26.9","2080000","111","0.25"
"1-01397-0001","563 PARK AVENUE
New York, NY 
(40.764885163283, -73.968209151772)","1","10065","40.764771","-73.968135","8","4","11402","1042023","1013970001","Upper East Side-Carnegie Hill                                              ","UPPER EAST SIDE (59-79)","D4-ELEVATOR","21","1910","57847","1735410","30","8080000","140","1-01509-0020","151 80 STREET
New York, NY 
(40.62892422247, -74.033804332886)","UPPER EAST SIDE (79-96)","D6-ELEVATOR","52","1922","57666","3786579","66","18600000","323","0.9","1-01448-0001","1404 2 AVENUE
New York, NY 
(40.769606603937, -73.957750036571)","UPPER EAST SIDE (59-79)","D6-ELEVATOR","66","1966","56980","1633157","28.7","6760000","119","0.65"
"1-00761-0059","344 38 STREET
New York, NY 
(40.65322605328, -74.005682510777)","1",,,,,,,,,,"FASHION","D0-ELEVATOR","27","1915","95402","2350000","24.63","9730000","102","1-00765-0035","78 7 AVENUE
New York, NY 
(40.739443343074, -73.999028917716)","CHELSEA","D7-ELEVATOR","121","1940","128350","3498000","27.3","14500000","113","1.05","1-00732-0007","455 34 STREET
New York, NY 
(40.756053999992, -73.986951000288)","JAVITS CENTER","D6-ELEVATOR","128","1929","97867","2628000","26.9","10900000","111","0.2"
