"manhattan_condominiums_comparable_properties_boro_block_lot","manhattan_condominiums_comparable_properties_condo_section","manhattan_condominiums_comparable_properties_address","borough","postcode","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta","manhattan_condominiums_comparable_properties_neighborhood","manhattan_condominiums_comparable_properties_building_classification","manhattan_condominiums_comparable_properties_total_units","manhattan_condominiums_comparable_properties_year_built","manhattan_condominiums_comparable_properties_gross_sqft","manhattan_condominiums_comparable_properties_estimated_gross_income","manhattan_condominiums_comparable_properties_gross_income_per_sqft","manhattan_condominiums_comparable_properties_estimated_expense","manhattan_condominiums_comparable_properties_expense_per_sqft","manhattan_condominiums_comparable_properties_net_operating_income","manhattan_condominiums_comparable_properties_full_market_value","manhattan_condominiums_comparable_properties_market_value_per_sqft","comparable_rental_1_boro_block_lot","comparable_rental_1_address","comparable_rental_1_neighborhood","comparable_rental_1_building_classification","comparable_rental_1_total_units","comparable_rental_1_year_built","comparable_rental_1_gross_sqft","comparable_rental_1_estimated_gross_income","comparable_rental_1_gross_income_per_sqft","comparable_rental_1_estimated_expense","comparable_rental_1_expense_per_sqft","comparable_rental_1_net_operating_income","comparable_rental_1_full_market_value","comparable_rental_1_market_value_per_sqft","comparable_rental_1_distance_from_condo_in_miles","comparable_rental_2_boro_block_lot","comparable_rental_2_address","comparable_rental_2_neighborhood","comparable_rental_2_building_classification","comparable_rental_2_total_units","comparable_rental_2_year_built","comparable_rental_2_gross_sqft","comparable_rental_2_estimated_gross_income","comparable_rental_2_gross_income_per_sqft","comparable_rental_2_estimated_expense","comparable_rental_2_expense_per_sqft","comparable_rental_2_net_operating_income","comparable_rental_2_full_market_value","comparable_rental_2_market_value_per_sqft","comparable_rental_2_distance_from_condo_in_miles","comparable_rental_3_boro_block_lot","comparable_rental_3_address","comparable_rental_3_neighborhood","comparable_rental_3_building_classification","comparable_rental_3_total_units","comparable_rental_3_year_built","comparable_rental_3_gross_sqft","comparable_rental_3_estimated_gross_income","comparable_rental_3_gross_income_per_sqft","comparable_rental_3_estimated_expense","comparable_rental_3_expense_per_sqft","comparable_rental_3_net_operating_income","comparable_rental_3_full_market_value","comparable_rental_3_market_value_per_sqft","comparable_rental_3_distance_from_condo_in_miles"
"1-00225-7502","2058-R1","16 DESBROSSES STREET","1","10013","40.723387","-74.008972","1","1","39","1088434","1002257502","SoHo-TriBeCa-Civic Center-Little Italy                                     ","TRIBECA","R4-CONDOMINIUM","8","1940","24059","665231","27.65","259837","10.8","405394","2926000","121.62","1-00223-0027","439 WASHINGTON STREET","TRIBECA","C7-WALK-UP","13","1915","12500","152916","12.23","77736","6.22","75180","470000","37.6","0.08","1-00594-0035","308 SPRING STREET","SOHO","C7-WALK-UP","17","1910","8395","232137","27.65","78833","9.39","153304","1105000","131.63","0.1","1-00491-0001","558 BROOME STREET","SOHO","C7-WALK-UP","25","1925","14,737","542,698","36.83","174,819","11.86","367,879","2,709,000","183.82","0.19"
"1-00228-7501","1432-R1","3 WOOSTER STREET","1","10013","40.72109","-74.003745","2","1","47","1087574","1002287501","SoHo-TriBeCa-Civic Center-Little Italy                                     ","SOHO","R4-CONDOMINIUM","11","2003","25300","930028","36.76","310937","12.29","619091","4560000","180.24","1-00419-0072","294 BROOME STREET","LOWER EAST SIDE","D9-ELEVATOR","11","2000","8250","324716","39.36","107643","13.05","217073","1641000","198.91","0.64","1-00506-0016","30 CHARLTON STREET","SOHO","D1-ELEVATOR","86","1920","44256","1643414","37.13","361155","8.16","1282259","9435000","213.19","0.35",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00228-7502","2024-R1","311 WEST BROADWAY","1","10013","40.72173","-74.004308","2","1","47","1087488","1002287502","SoHo-TriBeCa-Civic Center-Little Italy                                     ","SOHO","R4-CONDOMINIUM","67","2007","146294","5973184","40.83","2048116","14","3925068","29647996","202.66","1-00521-0045","303 ELIZABETH STREET","GREENWICH VILLAGE-CENTRAL","D1-ELEVATOR","195","1991","187368","7801991","41.64","1560628","8.33","6241363","40370000","215.46","0.58","1-00641-0017","379 WEST 12 STREET","GREENWICH VILLAGE-WEST","D3-ELEVATOR","148","1996","123646","5173511","41.84","1138827","9.21","4034684","30453000","246.29","1.16",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00230-7503","1111-R1","20 GREENE STREET","1","10013","40.721019","-74.002706","2","1","47","1002990","1002307503","SoHo-TriBeCa-Civic Center-Little Italy                                     ","SOHO","R4-CONDOMINIUM","10","1915","30331","993947","32.77","349110","11.51","644837","4802001","158.32","1-00476-0045","30 GRAND STREET","SOHO","C7-WALK-UP","44","1900","26952","1078338","40.01","322592","11.97","755746","5712000","211.93","0.19","1-00473-0028","31 CROSBY STREET","SOHO","C7-WALK-UP","15","1900","12283","304197","24.77","74749","6.09","229448","1667000","135.72","0.17",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00230-7506","2124-R1","25 MERCER STREET","1","10013","40.720865","-74.001789","2","1","47","1079567","1002307506","SoHo-TriBeCa-Civic Center-Little Italy                                     ","SOHO","R4-CONDOMINIUM","10","1920","17632","497222","28.2","169267","9.6","327955","2366000","134.19","1-00476-0057","32 THOMPSON STREET","SOHO","C7-WALK-UP","18","1920","8992","388275","43.18","128136","14.25","260139","1960000","217.97","0.16","1-00488-0010","72 THOMPSON STREET","SOHO","C7-WALK-UP","36","1910","19002","586820","30.88","154899","8.15","431921","3227000","169.82","0.23",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00231-7501","1354-R1","443 BROADWAY","1","10013","40.720302","-74.001129","2","1","47","1003023","1002317501","SoHo-TriBeCa-Civic Center-Little Italy                                     ","SOHO","R4-CONDOMINIUM","16","1910","44653","1259215","28.2","428669","9.6","830546","5698005","127.61","1-00237-0017","203 GRAND STREET","CHINATOWN","C7-WALK-UP","35","1910","25500","901868","35.37","380817","14.93","521051","3852000","151.06","0.26","1-00488-0010","72 THOMPSON STREET","SOHO","C7-WALK-UP","36","1910","19002","586820","30.88","154899","8.15","431921","3227000","169.82","0.25",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00234-7501","1235-R1","161 GRAND STREET","1","10013","40.719852","-73.998683","2","1","45","1003056","1002347501","SoHo-TriBeCa-Civic Center-Little Italy                                     ","CHINATOWN","R4-CONDOMINIUM","18","1911","45148","1413584","31.31","520556","11.53","893028","6665999","147.65","1-00470-0005","160 MOTT STREET","LITTLE ITALY","D1-ELEVATOR","36","1910","11967","420894","35.17","121774","10.18","299120","2212000","184.84","0.17","1-00470-0029","212 GRAND STREET","LITTLE ITALY","D9-ELEVATOR","16","1920","14221","379406","26.68","131484","9.25","247922","1793000","126.08","0.17",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00235-7501","1936-R1","136 BAXTER STREET","1","10013","40.718606","-73.998658","2","1","41","1087870","1002357501","SoHo-TriBeCa-Civic Center-Little Italy                                     ","CHINATOWN","R4-CONDOMINIUM","12","1915","28370","888265","31.31","230081","8.11","658184","4432999","156.26","1-00470-0029","212 GRAND STREET","LITTLE ITALY","D9-ELEVATOR","16","1920","14221","379406","26.68","131484","9.25","247922","1793000","126.08","0.15","1-00470-0005","160 MOTT STREET","LITTLE ITALY","D1-ELEVATOR","36","1910","11967","420894","35.17","121774","10.18","299120","2212000","184.84","0.15",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00236-7501","0815-R1","173 GRAND STREET","1","10013","40.719534","-73.997947","2","1","41","1003071","1002367501","SoHo-TriBeCa-Civic Center-Little Italy                                     ","CHINATOWN","R4-CONDOMINIUM","39","1990","25786","794982","30.83","257860","10","537122","4013995","155.67","1-00419-0072","294 BROOME STREET","LOWER EAST SIDE","D9-ELEVATOR","11","2000","8250","324716","39.36","107643","13.05","217073","1641000","198.91","0.32","1-00470-0029","212 GRAND STREET","LITTLE ITALY","D9-ELEVATOR","16","1920","14221","379406","26.68","131484","9.25","247922","1793000","126.08","0.12",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00236-7502","2195-R1","145 MULBERRY STREET","1","10013","40.718831","-73.997551","2","1","41","1003078","1002367502","SoHo-TriBeCa-Civic Center-Little Italy                                     ","CHINATOWN","RR-CONDOMINIUM","25","1915","26907","825776","30.69","174088","6.47","651688","4871000","181.03","1-00488-0037","508 BROOME STREET","SOHO","D5-ELEVATOR","14","1900","21598","773765","35.83","191087","8.85","582678","4304000","199.28","0.44","1-00470-0005","160 MOTT STREET","LITTLE ITALY","D1-ELEVATOR","36","1910","11967","420894","35.17","121774","10.18","299120","2212000","184.84","0.12","1-00373-0060","291 EAST 3 STREET","ALPHABET CITY","D5-ELEVATOR","12","1900","11,160","342,516","30.69","72,201","6.47","270,315","1,661,000","148.84","1"
"1-00238-7503","1945-R1","87 ELIZABETH STREET","1","10013","40.718131","-73.996014","2","1","41","1003109","1002387503","SoHo-TriBeCa-Civic Center-Little Italy                                     ","CHINATOWN","R4-CONDOMINIUM","18","1899","14777","401491","27.17","144371","9.77","257120","1854996","125.53","1-00470-0029","212 GRAND STREET","LITTLE ITALY","D9-ELEVATOR","16","1920","14221","379406","26.68","131484","9.25","247922","1793000","126.08","0.09","1-00304-0035","75 CHRYSTIE STREET","CHINATOWN","C7-WALK-UP","45","1910","26964","745551","27.65","277544","10.29","468007","3373000","125.09","0.1",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00239-7501","0744-R1","80 ELIZABETH STREET","1","10013","40.718046","-73.996035","2","1","41","1003115","1002397501","SoHo-TriBeCa-Civic Center-Little Italy                                     ","CHINATOWN","R4-CONDOMINIUM","80","1929","85956","2335425","27.17","936920","10.9","1398505","10091999","117.41","1-00304-0035","75 CHRYSTIE STREET","CHINATOWN","C7-WALK-UP","45","1910","26964","745551","27.65","277544","10.29","468007","3373000","125.09","0.05","1-00470-0029","212 GRAND STREET","LITTLE ITALY","D9-ELEVATOR","16","1920","14221","379406","26.68","131484","9.25","247922","1793000","126.08","0.1",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00273-7501","1438-R1","142 HENRY STREET","1","10002","40.713339","-73.990546","3","1","6","1087057","1002737501","Lower East Side                                                            ","LOWER EAST SIDE","R4-CONDOMINIUM","13","1912","19597","541857","27.65","211648","10.8","330209","2320995","118.44","1-00271-0037","207 MADISON STREET","LOWER EAST SIDE","C7-WALK-UP","21","1920","13910","327419","23.54","77329","5.56","250090","1824000","131.13","0.1","1-00413-0043","259 BROOME STREET","LOWER EAST SIDE","D7-ELEVATOR","55","1920","27349","1103289","40.34","339677","12.42","763612","5770000","210.98","0.33","1-00304-0035","75 CHRYSTIE STREET","CHINATOWN","C7-WALK-UP","45","1910","26,964","745,551","27.65","277,544","10.29","468,007","3,373,000","125.09","0.37"
"1-00273-7502","1999-R1","30 RUTGERS STREET","1","10002","40.712902","-73.990037","3","1","6","1087573","1002737502","Lower East Side                                                            ","LOWER EAST SIDE","R4-CONDOMINIUM","10","2005","7576","249705","32.96","85078","11.23","164627","1225000","161.69","1-00422-0056","247 ELDRIDGE STREET","LOWER EAST SIDE","D9-ELEVATOR","11","2001","7926","174805","22.05","85166","10.75","89639","629000","79.36","0.66","1-00419-0072","294 BROOME STREET","LOWER EAST SIDE","D9-ELEVATOR","11","2000","8250","324716","39.36","107643","13.05","217073","1641000","198.91","0.42","1-00420-0045","150 FORSYTH STREET","LOWER EAST SIDE","D7-ELEVATOR","11","1995","10,000","350,212","35.02","123,009","12.3","227,203","1,681,000","168.1","0.51"
"1-00274-7501","0977-R1","48 MARKET STREET","1","10002","40.711988","-73.994308","3","1","8","1003275","1002747501","Chinatown                                                                  ","LOWER EAST SIDE","R4-CONDOMINIUM","26","1990","27046","677232","25.04","305349","11.29","371883","2701000","99.87","1-00273-0017","191 MADISON STREET","LOWER EAST SIDE","D1-ELEVATOR","24","1910","8995","205854","22.89","90133","10.02","115721","845000","93.94","0.13","1-00163-0021","67 BAYARD STREET","CHINATOWN","C7-WALK-UP","28","1945","14200","374596","26.38","157336","11.08","217260","1572000","110.7","0.31","1-00271-0037","207 MADISON STREET","LOWER EAST SIDE","C7-WALK-UP","21","1920","13,910","327,419","23.54","77,329","5.56","250,090","1,824,000","131.13","0.22"
"1-00274-7502","1291-R1","148 MADISON STREET","1","10002","40.712411","-73.992991","3","1","8","1084603","1002747502","Chinatown                                                                  ","LOWER EAST SIDE","R4-CONDOMINIUM","80","2002","43850","1786449","40.74","573120","13.07","1213329","9166000","209.03","1-00419-0072","294 BROOME STREET","LOWER EAST SIDE","D9-ELEVATOR","11","2000","8250","324716","39.36","107643","13.05","217073","1641000","198.91","0.49","1-00097-0032","24 PECK SLIP","SOUTHBRIDGE","D7-ELEVATOR","10","2004","14261","580960","40.74","186455","13.07","394505","7698000","539.79","0.56","1-00310-0027","35 ESSEX STREET","LOWER EAST SIDE","D5-ELEVATOR","31","1910","26,306","1,241,117","47.18","409,584","15.57","831,533","6,247,000","237.47","0.34"
"1-00274-7503","1603-R1","44 MARKET STREET","1","10002","40.712131","-73.994326","3","1","8","1087489","1002747503","Chinatown                                                                  ","LOWER EAST SIDE","R4-CONDOMINIUM","16","2004","9744","375729","38.56","138365","14.2","237364","1795999","184.32","1-00419-0072","294 BROOME STREET","LOWER EAST SIDE","D9-ELEVATOR","11","2000","8250","324716","39.36","107643","13.05","217073","1641000","198.91","0.49","1-00310-0027","35 ESSEX STREET","LOWER EAST SIDE","D5-ELEVATOR","31","1910","26306","1241117","47.18","409584","15.57","831533","6247000","237.47","0.34",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00276-7501","0858-R1","102 MADISON STREET","1","10002","40.712205","-73.995397","3","1","8","1082937","1002767501","Chinatown                                                                  ","LOWER EAST SIDE","R4-CONDOMINIUM","12","1991","5700","216543","37.99","71706","12.58","144837","1096000","192.28","1-00350-0067","161 ATTORNEY STREET","LOWER EAST SIDE","C1-WALK-UP","18","1910","6750","357036","52.89","89161","13.21","267875","2003000","296.74","0.86","1-00350-0001","166 SUFFOLK STREET","LOWER EAST SIDE","C1-WALK-UP","19","1910","7425","219212","29.52","84845","11.43","134367","1007000","135.62","0.84",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00276-7502","1854-R1","11 MONROE STREET","1","10002","40.711442","-73.995913","3","1","8","1087344","1002767502","Chinatown                                                                  ","LOWER EAST SIDE","R4-CONDOMINIUM","10","2004","6656","242145","36.38","81869","12.3","160276","1182000","177.58","1-00163-0018","69 BAYARD STREET","CHINATOWN","C7-WALK-UP","42","1945","22000","920397","41.84","399654","18.17","520743","3930000","178.64","0.25","1-00419-0072","294 BROOME STREET","LOWER EAST SIDE","D9-ELEVATOR","11","2000","8250","324716","39.36","107643","13.05","217073","1641000","198.91","0.53","1-00248-0070","80 RUTGERS SLIP","LOWER EAST SIDE","D9-ELEVATOR","109","1987","83,904","2,101,131","25.04","947,113","11.29","1,154,018","6,480,000","77.23","0.26"
"1-00277-7501","0723-R1","60 HENRY STREET","1","10002","40.712968","-73.995008","3","1","8","1077812","1002777501","Chinatown                                                                  ","CHINATOWN","R4-CONDOMINIUM","74","1989","47161","1582723","33.56","563574","11.95","1019149","7567998","160.47","1-00163-0021","67 BAYARD STREET","CHINATOWN","C7-WALK-UP","28","1945","14200","374596","26.38","157336","11.08","217260","1572000","110.7","0.21","1-00097-0032","24 PECK SLIP","SOUTHBRIDGE","D7-ELEVATOR","10","2004","14261","580960","40.74","186455","13.07","394505","7698000","539.79","0.48",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00277-7502","0856-R1","46 HENRY STREET","1","10002","40.712924","-73.995527","3","1","8","1003345","1002777502","Chinatown                                                                  ","CHINATOWN","R4-CONDOMINIUM","32","1991","25805","792472","30.71","297790","11.54","494682","3696998","143.27","1-00419-0072","294 BROOME STREET","LOWER EAST SIDE","D9-ELEVATOR","11","2000","8250","324716","39.36","107643","13.05","217073","1641000","198.91","0.49","1-00273-0017","191 MADISON STREET","LOWER EAST SIDE","D1-ELEVATOR","24","1910","8995","205854","22.89","90133","10.02","115721","845000","93.94","0.24",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00277-7503","0884-R1","95 MADISON STREET","1","10002","40.712205","-73.995581","3","1","8","1003333","1002777503","Chinatown                                                                  ","CHINATOWN","R2-CONDOMINIUM","20","1900","11358","227841","20.06","104494","9.2","123347","882000","77.65","1-00277-0043","30 HENRY STREET","CHINATOWN","C7-WALK-UP","18","1900","10836","227598","21","63157","5.83","164441","1207000","111.39","0","1-00277-0020","37 MARKET STREET","CHINATOWN","C7-WALK-UP","13","1900","8975","182848","20.37","106787","11.9","76061","543000","60.5","0",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00283-7502","0607-R1","135 DIVISION STREET","1","10002","40.714489","-73.991155","3","1","6","1075753","1002837502","Lower East Side                                                            ","LOWER EAST SIDE","R4-CONDOMINIUM","28","1988","19924","550899","27.65","215179","10.8","335720","2419000","121.41","1-00273-0017","191 MADISON STREET","LOWER EAST SIDE","D1-ELEVATOR","24","1910","8995","205854","22.89","90133","10.02","115721","845000","93.94","0.09","1-00419-0072","294 BROOME STREET","LOWER EAST SIDE","D9-ELEVATOR","11","2000","8250","324716","39.36","107643","13.05","217073","1641000","198.91","0.34","1-00304-0035","75 CHRYSTIE STREET","CHINATOWN","C7-WALK-UP","45","1910","26,964","745,551","27.65","277,544","10.29","468,007","3,373,000","125.09","0.29"
"1-00284-7501","0163-R1","155 HENRY STREET","1","10002","40.713429","-73.989669","3","1","6","1003628","1002847501","Lower East Side                                                            ","LOWER EAST SIDE","R4-CONDOMINIUM","24","1907","21645","570346","26.35","241342","11.15","329004","2379998","109.96","1-00271-0042","217 MADISON STREET","LOWER EAST SIDE","C7-WALK-UP","21","1900","10230","216350","21.15","61908","6.05","154442","1012000","98.92","0.05","1-00285-0016","219 EAST BROADWAY","LOWER EAST SIDE","C7-WALK-UP","15","1910","10129","303901","30","122936","12.14","180965","1356000","133.87","0.08",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00284-7502","0279-R1","165 HENRY STREET","1","10002","40.713462","-73.989287","3","1","6","1003656","1002847502","Lower East Side                                                            ","LOWER EAST SIDE","R4-CONDOMINIUM","30","1928","21223","547978","25.82","227086","10.7","320892","2324996","109.55","1-00284-0026","169 EAST BROADWAY","LOWER EAST SIDE","C7-WALK-UP","15","1920","9925","350055","35.27","122574","12.35","227481","1682000","169.47","0","1-00271-0065","29 RUTGERS STREET","LOWER EAST SIDE","C7-WALK-UP","22","1920","14450","236402","16.36","113433","7.85","122969","800000","55.36","0.05",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00284-7503","1575-R1","173 EAST BROADWAY","1","10002","40.714093","-73.989687","3","1","6","1003623","1002847503","Lower East Side                                                            ","LOWER EAST SIDE","R4-CONDOMINIUM","29","1912","43723","1253976","28.68","546538","12.5","707438","5313001","121.52","1-00273-0017","191 MADISON STREET","LOWER EAST SIDE","D1-ELEVATOR","24","1910","8995","205854","22.89","90133","10.02","115721","845000","93.94","0.11","1-00354-0020","155 NORFOLK STREET","LOWER EAST SIDE","D1-ELEVATOR","50","1912","22500","726910","32.31","268260","11.92","458650","3414000","151.73","0.46",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00292-7501","0734-R1","1 ELDRIDGE STREET","1","10002","40.714453","-73.993879","3","1","16","1003775","1002927501","Chinatown                                                                  ","CHINATOWN","R4-CONDOMINIUM","8","1988","4227","115186","27.25","45229","10.7","69957","505001","119.47","1-00292-0021","21 ELDRIDGE STREET","CHINATOWN","C7-WALK-UP","22","1900","9475","240471","25.38","102834","10.85","137637","998000","105.33","0","1-00292-0022","19 ELDRIDGE STREET","CHINATOWN","C7-WALK-UP","26","1900","9475","275791","29.11","99824","10.54","175967","1320000","139.31","0",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00293-7501","1877-R1","18 ELDRIDGE STREET","1","10002","40.714906","-73.993622","3","1","16","1087758","1002937501","Chinatown                                                                  ","CHINATOWN","R4-CONDOMINIUM","10","2007","7169","275003","38.36","91907","12.82","183096","1386004","193.33","1-00419-0072","294 BROOME STREET","LOWER EAST SIDE","D9-ELEVATOR","11","2000","8250","324716","39.36","107643","13.05","217073","1641000","198.91","0.3","1-00163-0018","69 BAYARD STREET","CHINATOWN","C7-WALK-UP","42","1945","22000","920397","41.84","399654","18.17","520743","3930000","178.64","0.24",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00297-7501","0367-R1","26 LUDLOW STREET","1","10002","40.715512","-73.990693","3","1","16","1003827","1002977501","Chinatown                                                                  ","LOWER EAST SIDE","R4-CONDOMINIUM","10","1900","6791","147229","21.68","54328","8","92901","673204","99.13","1-00297-0018","23 ESSEX STREET","LOWER EAST SIDE","C7-WALK-UP","10","1900","6175","133874","21.68","41147","6.66","92727","1356000","219.6","0","1-00297-0016","44 HESTER STREET","LOWER EAST SIDE","C7-WALK-UP","17","1900","7786","203944","26.19","82259","10.56","121685","881000","113.15","0","1-00298-0025","17 LUDLOW STREET","LOWER EAST SIDE","C7-WALK-UP","19","1910","8,980","146,626","16.33","68,713","7.65","77,913","528,000","58.8","0.04"
"1-00297-7502","0709-R1","48 HESTER STREET","1","10002","40.715702","-73.990282","3","1","16","1075619","1002977502","Chinatown                                                                  ","LOWER EAST SIDE","R4-CONDOMINIUM","35","1990","23604","724879","30.71","266725","11.3","458154","3423996","145.06","1-00419-0072","294 BROOME STREET","LOWER EAST SIDE","D9-ELEVATOR","11","2000","8250","324716","39.36","107643","13.05","217073","1641000","198.91","0.28","1-00271-0037","207 MADISON STREET","LOWER EAST SIDE","C7-WALK-UP","21","1920","13910","327419","23.54","77329","5.56","250090","1824000","131.13","0.15",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00297-7503","1312-R1","7 ESSEX STREET","1","10002","40.714955","-73.990066","3","1","16","1086162","1002977503","Chinatown                                                                  ","LOWER EAST SIDE","R4-CONDOMINIUM","16","2002","31406","1142550","36.38","402625","12.82","739925","5454002","173.66","1-00419-0072","294 BROOME STREET","LOWER EAST SIDE","D9-ELEVATOR","11","2000","8250","324716","39.36","107643","13.05","217073","1641000","198.91","0.28","1-00413-0043","259 BROOME STREET","LOWER EAST SIDE","D7-ELEVATOR","55","1920","27349","1103289","40.34","339677","12.42","763612","5770000","210.98","0.18","1-00273-0017","191 MADISON STREET","LOWER EAST SIDE","D1-ELEVATOR","24","1910","8,995","205,854","22.89","90,133","10.02","115,721","845,000","93.94","0.16"
"1-00298-7501","0583-R1","51 CANAL STREET","1","10002","40.714848","-73.9917","3","1","16","1075788","1002987501","Chinatown                                                                  ","LOWER EAST SIDE","R4-CONDOMINIUM","41","1941","25795","750892","29.11","279618","10.84","471274","3536997","137.12","1-00470-0029","212 GRAND STREET","LITTLE ITALY","D9-ELEVATOR","16","1920","14221","379406","26.68","131484","9.25","247922","1793000","126.08","0.37","1-00424-0028","139 CHRYSTIE STREET","LOWER EAST SIDE","D7-ELEVATOR","11","1900","10960","345608","31.53","136244","12.43","209364","1562000","142.52","0.32",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00298-7502","1082-R1","18 ORCHARD STREET","1","10002","40.715326","-73.99166","3","1","16","1003839","1002987502","Chinatown                                                                  ","LOWER EAST SIDE","R4-CONDOMINIUM","4","1920","7535","217234","28.83","56136","7.45","161098","1144001","151.82","1-00299-0026","27 ORCHARD STREET","LOWER EAST SIDE","C7-WALK-UP","18","1930","7910","212783","26.9","62886","7.95","149897","1083000","136.92","0.03","1-00294-0024","46 CANAL STREET","LOWER EAST SIDE","C7-WALK-UP","10","1910","5933","171055","28.83","44222","7.45","126833","1725000","290.75","0.05","1-00299-0030","19 ORCHARD STREET","LOWER EAST SIDE","C1-WALK-UP","10","1900","7,784","166,033","21.33"," "," ","166,033","1,868,000","239.98","0.03"
"1-00298-7503","2020-R1","21 LUDLOW STREET","1","10002","40.715348","-73.990798","3","1","16","1003853","1002987503","Chinatown                                                                  ","LOWER EAST SIDE","R4-CONDOMINIUM","23","1910","17899","499919","27.93","192951","10.78","306968","2009999","112.3","1-00271-0037","207 MADISON STREET","LOWER EAST SIDE","C7-WALK-UP","21","1920","13910","327419","23.54","77329","5.56","250090","1824000","131.13","0.18","1-00354-0020","155 NORFOLK STREET","LOWER EAST SIDE","D1-ELEVATOR","50","1912","22500","726910","32.31","268260","11.92","458650","3414000","151.73","0.41",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00303-7501","1483-R1","87 BOWERY","1","10002","40.717033","-73.995563","3","1","16","1003909","1003037501","Chinatown                                                                  ","CHINATOWN","R4-CONDOMINIUM","8","1910","8188","226398","27.65","84255","10.29","142143","1026001","125.31","1-00304-0035","75 CHRYSTIE STREET","CHINATOWN","C7-WALK-UP","45","1910","26964","745551","27.65","277544","10.29","468007","3373000","125.09","0.08","1-00470-0005","160 MOTT STREET","LITTLE ITALY","D1-ELEVATOR","36","1910","11967","420894","35.17","121774","10.18","299120","2212000","184.84","0.2","1-00470-0029","212 GRAND STREET","LITTLE ITALY","D9-ELEVATOR","16","1920","14,221","379,406","26.68","131,484","9.25","247,922","1,793,000","126.08","0.2"
"1-00309-7501","1425-R1","48 ORCHARD STREET","1","10002","40.71647","-73.991068","3","1","16","1003999","1003097501","Chinatown                                                                  ","LOWER EAST SIDE","R4-CONDOMINIUM","25","2003","39027","1303502","33.4","491350","12.59","812152","6041000","154.79","1-00350-0026","19 CLINTON STREET","LOWER EAST SIDE","D1-ELEVATOR","25","2005","36000","1329829","36.94","294256","8.17","1035573","7623000","211.75","0.44","1-00283-0059","136 EAST BROADWAY","LOWER EAST SIDE","D6-ELEVATOR","25","2008","36819","1099415","29.86","471651","12.81","627764","1300000","35.31","0.16",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00310-7503","2116-R1","55 HESTER STREET","1","10002","40.715699","-73.99021","3","1","16","1004049","1003107503","Chinatown                                                                  ","LOWER EAST SIDE","R4-CONDOMINIUM","27","1940","23344","959205","41.09","299270","12.82","659935","4984001","213.5","1-00413-0043","259 BROOME STREET","LOWER EAST SIDE","D7-ELEVATOR","55","1920","27349","1103289","40.34","339677","12.42","763612","5770000","210.98","0.11","1-00163-0018","69 BAYARD STREET","CHINATOWN","C7-WALK-UP","42","1945","22000","920397","41.84","399654","18.17","520743","3930000","178.64","0.42",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00343-7501","1954-R1","78 RIDGE STREET","1","10002","40.717707","-73.983828","3","1","12","1075794","1003437501","Lower East Side                                                            ","LOWER EAST SIDE","R4-CONDOMINIUM","53","1930","56354","2294171","40.71","521275","9.25","1772896","13391995","237.64","1-00348-0040","90 CLINTON STREET","LOWER EAST SIDE","D6-ELEVATOR","36","1900","38498","1366791","35.5","355488","9.23","1011303","7475000","194.17","0.09","1-00411-0058","149 ESSEX STREET","LOWER EAST SIDE","D5-ELEVATOR","25","1910","30870","1417275","45.91","285857","9.26","1131418","8509000","275.64","0.29",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00345-7501","1569-R1","154 ATTORNEY STREET","1","10002","40.720392","-73.98342","3","2","2201","1087572","1003457501","Lower East Side                                                            ","LOWER EAST SIDE","R4-CONDOMINIUM","41","2004","39643","1528634","38.56","461841","11.65","1066793","7689010","193.96","1-00385-0022","234 EAST 3 STREET","ALPHABET CITY","D1-ELEVATOR","19","2001","13517","663173","49.06","214836","15.89","448337","3362000","248.72","0.11","1-00350-0031","164 STANTON STREET","LOWER EAST SIDE","D7-ELEVATOR","20","2005","15793","540121","34.2","138031","8.74","402090","2980000","188.69","0.09",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
