"number","street","borough","block","lot","bin","saf_type","primary","x","y","geocode_status","construction_status","assignment_type","created_date","last_modified_date","postcode","latitude","longitude","community_board","council_district","census_tract","bbl","nta"
"492","WEST 42 STREET","Manhattan","1051","1",,,"false","985592.0","215977.0","Successfully geocoded","Application",,"2010-12-20T00:00:00.000","2010-12-20T00:00:00.000","10036","40.759484","-73.995156","4","3","115","1010517502","Clinton                                                                    "
"570","10 AVENUE","Manhattan","1051","1","1088437",,"true","985468.959838867","215846.371826171","Successfully geocoded","Completed",,"2010-12-20T00:00:00.000","2017-05-16T00:00:00.000","10036","40.759412","-73.995614","4","3","115","1010517502","Clinton                                                                    "
"566","10 AVENUE","Manhattan","1051","1",,,"false","985442.0","215910.0","Successfully geocoded","Application",,"2010-12-20T00:00:00.000","2010-12-20T00:00:00.000","10036","40.7593","-73.995697","4","3","115","1010517502","Clinton                                                                    "
"120","11 AVENUE","Manhattan","692","7","1012292",,"true","982118.362792968","211412.771606445","Successfully geocoded","Completed",,"2010-12-20T00:00:00.000","2017-05-16T00:00:00.000","10011","40.746921","-74.007929","4","3","99","1006927501","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"38","DELANCEY STREET","Manhattan","420","40","1087549",,"false","986551.586242675","201539.374023437","Successfully geocoded","Completed",,"2010-12-21T00:00:00.000","2017-05-16T00:00:00.000","10002","40.719668","-73.991858","3","1","18","1004207501","Chinatown                                                                  "
"49","EAST 129 STREET","Manhattan","1754","25","1087809",,"true","1001353.45300292","233729.942810058","Successfully geocoded","Completed",,"2010-12-21T00:00:00.000","2017-05-16T00:00:00.000","10035","40.808109","-73.938367","11","9","206","1017540025","Central Harlem North-Polo Grounds                                          "
"453","WEST 155 STREET","Manhattan","2107","26","1076739",,"true","1000335.92321777","242163.140441894","Successfully geocoded","Completed",,"2010-12-21T00:00:00.000","2017-05-16T00:00:00.000","10032","40.831002","-73.941605","12","7","239","1021070026","Washington Heights South                                                   "
"101","EAST 10 STREET","Manhattan","466","7501",,,"true","987356.0","205463.0","Successfully geocoded","Application",,"2010-12-21T00:00:00.000","2010-12-21T00:00:00.000","10003","40.730625","-73.988793","3","2","40","1004667501","East Village                                                               "
"83","UNIVERSITY PLACE","Manhattan","563","1","1009127",,"false","986186.075012207","206492.817199707","Successfully geocoded","Completed",,"2011-02-03T00:00:00.000","2017-05-16T00:00:00.000","10003","40.73348","-73.993159","2","2","61","1005630001","West Village                                                               "
"41","EAST 11 STREET","Manhattan","563","1","1009127",,"true","986265.410034179","206385.203186035","Successfully geocoded","Completed",,"2011-02-03T00:00:00.000","2017-05-16T00:00:00.000","10003","40.733164","-73.99296","2","2","61","1005630001","West Village                                                               "
"88","ELDRIDGE STREET","Manhattan","307","24","1082491",,"true","986380.070800781","200590.426208496","Successfully geocoded","Completed",,"2011-02-03T00:00:00.000","2017-05-16T00:00:00.000","10002","40.717236","-73.992424","3","1","16","1003070024","Chinatown                                                                  "
"59","ALLEN STREET","Manhattan","307","24","1082491",,"false","986535.604187011","200529.124206542","Successfully geocoded","Completed",,"2011-02-03T00:00:00.000","2017-05-16T00:00:00.000","10002","40.717104","-73.991458","3","1","16","1003070024","Chinatown                                                                  "
"210","WEST 96 STREET","Manhattan","1243","139",,,"true","992328.0","228640.0","Successfully geocoded","Application","Correction/Reassignment","2011-02-03T00:00:00.000","2013-03-18T00:00:00.000","10025","40.794237","-73.970826","7","6","183","1012430139","Upper West Side                                                            "
"466","WEST 145 STREET","Manhattan","2059","156","1061337",,"true","998874.716186523","239804.844421386","Successfully geocoded","Completed",,"2011-02-28T00:00:00.000","2017-05-16T00:00:00.000","10031","40.824922","-73.946886","9","7","227","1020590156","Hamilton Heights                                                           "
"14","WEST 14 STREET","Manhattan","577","7504","1088513",,"true","985741.270019531","207511.835815429","Successfully geocoded","Completed",,"2011-02-28T00:00:00.000","2017-05-16T00:00:00.000","10011","40.736321","-73.994389","2","3","63","1005777504","West Village                                                               "
"16","WEST 14 STREET","Manhattan","577","7504",,,"false","985792.0","207545.0","Successfully geocoded","Application",,"2011-02-28T00:00:00.000","2011-02-28T00:00:00.000","10011","40.73634","-73.994436","2","3","63","1005777504","West Village                                                               "
"160","EAST 34 STREET","Manhattan","889","50","1018503",,"true","990131.567626953","211000.70703125","Successfully geocoded","Completed",,"2011-02-28T00:00:00.000","2017-05-16T00:00:00.000","10016","40.746104","-73.979036","6","2","72","1008890050","Murray Hill-Kips Bay                                                       "
"350","WEST 23 STREET","Manhattan","746","7507","1087987",,"true","984096.004638671","211064.6328125","Successfully geocoded","Completed",,"2011-02-28T00:00:00.000","2017-05-16T00:00:00.000","10011","40.745894","-73.999931","4","3","93","1007467507","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"540","WEST 50 STREET","Manhattan","1078","53","1027038",,"true","986004.817016601","218119.619384765","Successfully geocoded","Completed",,"2011-02-28T00:00:00.000","2017-05-16T00:00:00.000","10019","40.765305","-73.993282","4","3","129","1010780053","Clinton                                                                    "
"215","WEST 84 STREET","Manhattan","1232","14","1033105",,"true","990735.061218261","225903.851440429","Successfully geocoded","Completed",,"2011-02-28T00:00:00.000","2017-05-16T00:00:00.000","10024","40.786643","-73.976607","7","6","171","1012320014","Upper West Side                                                            "
"217","WEST 84 STREET","Manhattan","1232","14","1033105",,"false","990714.24822998","225919.239196777","Successfully geocoded","Completed",,"2011-02-28T00:00:00.000","2017-05-16T00:00:00.000","10024","40.786668","-73.976665","7","6","171","1012320014","Upper West Side                                                            "
"2322","BROADWAY","Manhattan","1232","14","1033105",,"false","990546.809387207","226015.268981933","Successfully geocoded","Completed",,"2011-02-28T00:00:00.000","2017-05-16T00:00:00.000","10024","40.787181","-73.977455","7","6","171","1012320014","Upper West Side                                                            "
"17","EAST 49 STREET","Manhattan","1285","7501",,,"false","990688.0","215271.0","Successfully geocoded","Application",,"2011-02-15T00:00:00.000","2011-02-15T00:00:00.000","10017","40.757544","-73.976762","5","4","102","1012857501","Midtown-Midtown South                                                      "
"623","5 AVENUE","Manhattan","1285","7501","1082746","Vanity address","true","990797.713439941","215464.442199707","Successfully geocoded","Completed",,"2011-02-15T00:00:00.000","2017-05-16T00:00:00.000","10022","40.758441","-73.977259","5","4","102","1012857501","Midtown-Midtown South                                                      "
"307","WEST 43 STREET","Manhattan","1034","38","1088466",,"true","987089.644592285","215511.148193359","Successfully geocoded","Completed",,"2011-04-08T00:00:00.000","2017-05-16T00:00:00.000","10036","40.758147","-73.989839","4","3","121","1010340038","Clinton                                                                    "
"304","WEST 114 STREET","Manhattan","1847","7502","1088150",,"true","996164.0","231936.0","Successfully geocoded","Completed",,"2011-04-08T00:00:00.000","2017-09-11T00:00:00.000","10026","40.803238","-73.95663","10","9","19702","1018477502","Central Harlem South                                                       "
"231","MOTT STREET","Manhattan","494","24","1007496",,"true","985584.755004882","202540.864196777","Successfully geocoded","Completed",,"2011-04-08T00:00:00.000","2017-05-16T00:00:00.000","10012","40.722537","-73.995119","2","1","43","1004940024","SoHo-TriBeCa-Civic Center-Little Italy                                     "
"440","LAFAYETTE STREET","Manhattan","545","26","1088676",,"true","986468.885009765","205053.009399414","Successfully geocoded","Completed",,"2011-04-08T00:00:00.000","2017-05-16T00:00:00.000","10003","40.729327","-73.991907","2","2","57","1005450026","West Village                                                               "
"10","ASTOR PLACE","Manhattan","545","26","1080094",,"true","986465.921813964","205170.510192871","Successfully geocoded","Completed",,"2011-04-08T00:00:00.000","2017-05-16T00:00:00.000","10003","40.729972","-73.992196","2","2","57","1005450026","West Village                                                               "
"740","BROADWAY","Manhattan","545","26","1080092",,"true","986225.573425292","205175.553222656","Successfully geocoded","Completed",,"2011-04-08T00:00:00.000","2017-05-16T00:00:00.000","10003","40.729884","-73.992993","2","2","57","1005450026","West Village                                                               "
"402","WEST 13 STREET","Manhattan","645","39","1088644",,"true","982495.31842041","209005.79901123","Successfully geocoded","Completed",,"2011-04-08T00:00:00.000","2017-05-16T00:00:00.000","10014","40.740383","-74.006174","2","3","79","1006450039","West Village                                                               "
"103","WEST 110 STREET","Manhattan","1820","7503",,,"true","997273.0","230183.0","Successfully geocoded","Application",,"2011-04-08T00:00:00.000","2011-04-08T00:00:00.000","10026","40.798551","-73.953166","10","9","216","1018207503","Central Harlem South                                                       "
"1510","LEXINGTON AVENUE","Manhattan","1625","16","1088689",,"true","997990.218200683","225958.277038574","Successfully geocoded","Completed",,"2011-04-08T00:00:00.000","2017-05-16T00:00:00.000","10029","40.786761","-73.950289","11","5","15802","1016250016","East Harlem South                                                          "
"1506","LEXINGTON AVENUE","Manhattan","1625","16","1088689",,"true","997962.335998535","225934.033813476","Successfully geocoded","Completed",,"2011-04-08T00:00:00.000","2017-05-16T00:00:00.000","10029","40.786682","-73.950347","11","5","15802","1016250016","East Harlem South                                                          "
"1516","LEXINGTON AVENUE","Manhattan","1625","16",,,"true","998040.0","225963.0","Successfully geocoded","Application",,"2011-04-08T00:00:00.000","2011-04-08T00:00:00.000","10029","40.786882","-73.950202","11","5","15802","1016250016","East Harlem South                                                          "
"454","WEST 54 STREET","Manhattan","1063","5","1088574",,"true","987146.252807617","218680.970642089","Successfully geocoded","Completed",,"2011-04-08T00:00:00.000","2017-05-16T00:00:00.000","10019","40.766625","-73.98865","4","3","133","1010637503","Clinton                                                                    "
"800","10 AVENUE","Manhattan","1063","5","1088574",,"false","987040.118408203","218685.304016113","Successfully geocoded","Completed",,"2011-04-08T00:00:00.000","2017-05-16T00:00:00.000","10019","40.766891","-73.99017","4","3","133","1010637503","Clinton                                                                    "
"39 1/2","CROSBY STREET","Manhattan","482","7503",,,"true","0.0","0.0","Outside of existing street range","Application","New/Permanent","2014-08-27T00:00:00.000","2014-08-27T00:00:00.000",,,,,,,,
"453","WEST 53 STREET","Manhattan","1063","5","1088574",,"false","987074.138793945","218501.551818847","Successfully geocoded","Completed",,"2011-04-08T00:00:00.000","2017-05-16T00:00:00.000","10019","40.765996","-73.989058","4","3","133","1010637503","Clinton                                                                    "
"885","AVENUE OF THE AMERICAS","Manhattan","807","7502","1088533",,"true","987278.660217285","211916.557006835","Successfully geocoded","Completed",,"2011-04-08T00:00:00.000","2017-05-16T00:00:00.000","10001","40.748189","-73.988963","5","3","101","1008077502","Midtown-Midtown South                                                      "
"2512","ADAM C POWELL BOULEVARD","Manhattan","2031","35","1060485",,"true","1001133.15899658","238832.736999511","Successfully geocoded","Completed",,"2011-04-08T00:00:00.000","2017-05-16T00:00:00.000","10039","40.822025","-73.938806","10","9","232","1020310035","Central Harlem North-Polo Grounds                                          "
"2073","BROADWAY","Manhattan","1163","7503","1081034",,"false","989159.88104248","222919.694824218","Successfully geocoded","Completed",,"2010-10-18T00:00:00.000","2017-05-16T00:00:00.000","10023","40.778514","-73.982087","7","6","159","1011637503","Lincoln Square                                                             "
"2298","FREDERICK DOUGLASS BOULEVARD","Manhattan","1929","4","1087917",,"false","997629.743835449","234084.961791992","Successfully geocoded","Completed",,"2010-10-20T00:00:00.000","2017-05-16T00:00:00.000","10027","40.809148","-73.951901","10","9","222","1019297504","Central Harlem South                                                       "
"260","SOUTH STREET","Manhattan","241","10",,,"true","987239.0","198012.0","Successfully geocoded","Application",,"2010-10-21T00:00:00.000","2010-10-21T00:00:00.000","10002","40.710201","-73.988977","3","1","6","1002410010","Lower East Side                                                            "
"50","WEST 87 STREET","Manhattan","1200","54","1031425",,"true","992317.84802246","225890.839782714","Successfully geocoded","Completed",,"2010-10-21T00:00:00.000","2017-05-16T00:00:00.000","10024","40.786559","-73.970266","7","6","173","1012000054","Upper West Side                                                            "
"48","MULBERRY STREET","Manhattan","164","9","1086195",,"true","984372.102233886","199814.31640625","Successfully geocoded","Completed",,"2010-10-21T00:00:00.000","2017-05-16T00:00:00.000","10013","40.71506","-73.999632","3","1","29","1001640009","Chinatown                                                                  "
"153","WEST 132 STREET","Manhattan","1917","10","1058145",,"true","999717.489013671","235518.175231933","Successfully geocoded","Completed",,"2010-10-22T00:00:00.000","2017-05-16T00:00:00.000","10027","40.812819","-73.943713","10","9","226","1019170010","Central Harlem North-Polo Grounds                                          "
"549","12 AVENUE","Manhattan","1107","21","1089010",,"true","983868.743408203","217582.18359375","Outside of existing street range","Completed",,"2010-10-22T00:00:00.000","2017-05-16T00:00:00.000","10036","40.762668","-74.000282","4","3","129","1011070021","Clinton                                                                    "
"27","WEST 19 STREET","Manhattan","821","7505","1084650",,"true","986236.987426757","208815.182617187","Successfully geocoded","Completed",,"2010-12-16T00:00:00.000","2017-05-16T00:00:00.000","10011","40.739548","-73.992451","5","3","54","1008217505","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"331","WEST 22 STREET","Manhattan","746","20","1013352",,"true","984159.083984375","210817.80682373","Successfully geocoded","Completed",,"2010-12-16T00:00:00.000","2017-05-16T00:00:00.000","10011","40.745071","-74","4","3","93","1007460020","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"508H","WEST 23 STREET","Manhattan","8224","111",,,"true","982986.0","211737.0","Successfully geocoded","Application",,"2010-12-20T00:00:00.000","2010-12-20T00:00:00.000",,,,,,,,
"1465","5 AVENUE","Manhattan","1745","7502",,,"true","999387.0","231547.0","Successfully geocoded","Application",,"2010-12-20T00:00:00.000","2010-12-20T00:00:00.000","10035","40.802206","-73.945325","11","9","184","1017457502","East Harlem North                                                          "
"2647","FREDERICK DOUGLASS BOULEVARD","Manhattan","2043","13","1060747",,"true","999810.195617675","238243.75","Successfully geocoded","Completed",,"2010-12-20T00:00:00.000","2017-05-16T00:00:00.000","10030","40.820433","-73.943688","10","9","259","1020430013","Central Harlem North-Polo Grounds                                          "
"196","BOWERY","Manhattan","492","37","1088506",,"true","985941.273986816","202055.250793457","Successfully geocoded","Completed",,"2010-12-20T00:00:00.000","2017-05-16T00:00:00.000","10012","40.721192","-73.993708","2","1","43","1004920037","SoHo-TriBeCa-Civic Center-Little Italy                                     "
"300","WEST 44 STREET","Manhattan","1034","37",,,"true","987221.0","215694.0","Successfully geocoded","Application",,"2010-12-20T00:00:00.000","2010-12-20T00:00:00.000","10036","40.758706","-73.989276","4","3","121","1010340037","Clinton                                                                    "
"310","WEST 44 STREET","Manhattan","1034","37","1088460",,"false","987158.60760498","215691.957824707","Successfully geocoded","Completed",,"2010-12-20T00:00:00.000","2017-05-16T00:00:00.000","10036","40.758792","-73.989478","4","3","121","1010340037","Clinton                                                                    "
"572","10 AVENUE","Manhattan","1051","1",,,"false","985476.0","215972.0","Successfully geocoded","Application",,"2010-12-20T00:00:00.000","2010-12-20T00:00:00.000","10036","40.75947","-73.995575","4","3","115","1010517502","Clinton                                                                    "
"481","WEST 41 STREET","Manhattan","1051","1",,,"false","985517.0","215725.0","Successfully geocoded","Application",,"2010-12-20T00:00:00.000","2010-12-20T00:00:00.000","10036","40.758792","-73.995427","4","3","115","1010517502","Clinton                                                                    "
"479","WEST 41 STREET","Manhattan","1051","1",,,"false","985525.0","215721.0","Successfully geocoded","Application",,"2010-12-20T00:00:00.000","2010-12-20T00:00:00.000","10036","40.758781","-73.995398","4","3","115","1010517502","Clinton                                                                    "
"477","WEST 41 STREET","Manhattan","1051","1",,,"false","985534.0","215716.0","Successfully geocoded","Application",,"2010-12-20T00:00:00.000","2010-12-20T00:00:00.000","10036","40.758767","-73.995365","4","3","115","1010517502","Clinton                                                                    "
"471","WEST 41 STREET","Manhattan","1051","1",,,"false","985559.0","215704.0","Successfully geocoded","Application",,"2010-12-20T00:00:00.000","2010-12-20T00:00:00.000","10036","40.758734","-73.995275","4","3","115","1010517502","Clinton                                                                    "
"545","WEST 20 STREET","Manhattan","692","7",,,"true","982354.0","211202.0","Successfully geocoded","Application",,"2010-12-20T00:00:00.000","2010-12-20T00:00:00.000","10011","40.746386","-74.006861","4","3","99","1006927501","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"138","FORSYTH STREET","Manhattan","420","40",,,"true","986478.0","201633.0","Successfully geocoded","Application",,"2010-12-21T00:00:00.000","2010-12-21T00:00:00.000","10002","40.720113","-73.991962","3","1","18","1004207501","Chinatown                                                                  "
"365","WEST 116 STREET","Manhattan","1943","109","1059045",,"true","996088.195007324","232707.379394531","Successfully geocoded","Completed",,"2010-12-21T00:00:00.000","2017-05-16T00:00:00.000","10026","40.805239","-73.957297","10","9","20102","1019430109","Central Harlem South                                                       "
"917","ST NICHOLAS AVENUE","Manhattan","2107","26","1076739",,"true","1000434.96362304","242142.571594238","Successfully geocoded","Completed",,"2010-12-21T00:00:00.000","2017-05-16T00:00:00.000","10032","40.831397","-73.941214","12","7","239","1021070026","Washington Heights South                                                   "
"250","EAST 87 STREET","Manhattan","1532","22","1048799",,"false","997634.731811523","222924.656005859","Successfully geocoded","Completed",,"2011-01-04T00:00:00.000","2017-05-16T00:00:00.000","10128","40.779011","-73.95236","8","5","14602","1015320022","Yorkville                                                                  "
"200","WEST 72 STREET","Manhattan","1163","7503","1081034",,"true","989093.563232421","223015.448242187","Successfully geocoded","Completed",,"2010-10-18T00:00:00.000","2017-05-16T00:00:00.000","10023","40.77894","-73.982423","7","6","159","1011637503","Lincoln Square                                                             "
"520","WEST 19 STREET","Manhattan","690","7501","1012282",,"true","982302.797424316","210908.325012207","Successfully geocoded","Completed",,"2011-02-03T00:00:00.000","2017-05-16T00:00:00.000","10011","40.745601","-74.006853","4","3","99","1006907501","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"522","WEST 19 STREET","Manhattan","690","7501",,,"false","982349.0","210920.0","Successfully geocoded","Application",,"2011-02-03T00:00:00.000","2011-02-03T00:00:00.000","10011","40.745609","-74.006875","4","3","99","1006907501","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"518","WEST 19 STREET","Manhattan","690","7501",,,"false","982362.0","210913.0","Successfully geocoded","Application",,"2011-02-03T00:00:00.000","2011-02-03T00:00:00.000","10011","40.74559","-74.006828","4","3","99","1006907501","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"210","WEST 27 STREET","Manhattan","776","33","1088614",,"true","985750.79699707","211343.430236816","Successfully geocoded","Completed",,"2011-02-03T00:00:00.000","2017-05-16T00:00:00.000","10001","40.74688","-73.994446","5","3","95","1007760033","Midtown-Midtown South                                                      "
"282","7 AVENUE","Manhattan","776","40","1014236",,"true","985825.197814941","211149.158203125","Successfully geocoded","Completed",,"2011-02-03T00:00:00.000","2017-05-16T00:00:00.000","10001","40.746147","-73.994168","5","3","95","1007760040","Midtown-Midtown South                                                      "
"305","WEST 16 STREET","Manhattan","740","30",,,"true","983679.0","209353.0","Successfully geocoded","Application",,"2011-02-03T00:00:00.000","2011-02-03T00:00:00.000","10011","40.741303","-74.002061","4","3","83","1007407501","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"127","8 AVENUE","Manhattan","740","30",,,"false","983834.0","209306.0","Successfully geocoded","Application",,"2011-02-03T00:00:00.000","2011-02-03T00:00:00.000","10011","40.741174","-74.001501","4","3","83","1007407501","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"135","8 AVENUE","Manhattan","740","30",,,"false","983881.0","209391.0","Successfully geocoded","Application",,"2011-02-03T00:00:00.000","2011-02-03T00:00:00.000","10011","40.741407","-74.001332","4","3","83","1007407501","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"63","ALLEN STREET","Manhattan","307","24","1082491",,"false","986543.28540039","200547.7288208","Successfully geocoded","Completed",,"2011-02-03T00:00:00.000","2017-05-16T00:00:00.000","10002","40.71722","-73.991396","3","1","16","1003070024","Chinatown                                                                  "
"30","ORCHARD STREET","Manhattan","298","7504","1003845",,"true","986632.395812988","199995.35760498","Successfully geocoded","Completed",,"2011-02-03T00:00:00.000","2017-05-16T00:00:00.000","10002","40.715641","-73.991498","3","1","16","1002987504","Chinatown                                                                  "
"233","WEST 49 STREET","Manhattan","1021","7501","1088603",,"true","988260.853027343","216652.218017578","Successfully geocoded","Completed",,"2011-02-03T00:00:00.000","2017-05-16T00:00:00.000","10019","40.761102","-73.985218","5","3","125","1010217501","Midtown-Midtown South                                                      "
"1047","AMSTERDAM AVENUE","Manhattan","1865","1","1082706",,"true","994610.455200195","232237.645996093","Successfully geocoded","Completed",,"2011-02-15T00:00:00.000","2017-05-16T00:00:00.000","10025","40.803951","-73.963139","9","7","19701","1018650001","Morningside Heights                                                        "
