"_2017_organization","project_address","project_title","council_district","community_board_1","_2017_award","postcode","borough","latitude","longitude","community_board_2","bin","bbl","nta"
"New York Theatre Workshop, Inc","79 East 4th Street, New York, NY 10003","Flexible Seating System","2","3","35000.00","10003","Manhattan","40.726483","-73.990096","38","1006601","1004600046","East Village                                                               "
"Nuyorican Poets Cafe Inc.","236 East 3rd Street, New York, NY 10009","Nuyorican Poets Cafe Renovation Project","2","3","250000.00","10009","Manhattan","40.722274","-73.982048","2202","1004592","1003850023","Lower East Side                                                            "
"Spanish Theatre Repertory
Company LTD","138 East 27th Street, New York, NY 10016","In-house Color Production Printer","2","6","55000.00","10016","Manhattan","40.741886","-73.982599","68","1018151","1008820060","Gramercy                                                                   "
"The 122 Community Center, Inc.","150 First Avenue, New York, NY 10009","122CC Code Renovation and New
Addition","2","3","100000.00","10009","Manhattan","40.728261","-73.984785","34","1005894","1004370001","East Village                                                               "
"Theater for the New City
Foundation, Inc.","155 First Avenue, New York NY 10003","A new Seamless roof and HVACs","2","3","100000.00","10003","Manhattan","40.728505","-73.984634","40","1006416","1004517502","East Village                                                               "
"Third Street Music School
Settlement","235 E. 11th Street, New York, NY 10003","Technology Upgrades Project","2","3","52000.00","10003","Manhattan","40.730806","-73.987364","40","1006849","1004677501","East Village                                                               "
"Lesbian & Gay Community Services Center, Inc","208 W 13th St, New York NY 10011","Windows, Facade, & Electronic Key Access","3","2","250000.00","10011","Manhattan","40.738034","-74.000603","77","1067571","1006170047","West Village                                                               "
"Alvin Ailey Dance Foundation, Inc.","405 West 55th Street, New York, NY 10019","Ailey Addition Project","3","4","100000.00","10019","Manhattan","40.766839","-73.987163","139","1026846","1010650029","Clinton                                                                    "
"Atlantic Theater Company","333 West 20th Street, New York, NY 10011","LGT Roof & Windows Replacement","3","4","100000.00","10011","Manhattan","40.743885","-74.00092","89","1013257","1007440020","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"Home for Contemporary Theatre and Art","145 Sixth Avenue, New York, NY 10013","HERE LED Lighting System","3","2","41000.00","10013","Manhattan","40.724971","-74.004477","37","1087061","1004917502","SoHo-TriBeCa-Civic Center-Little Italy                                     "
"Jazz at Lincoln Center, Inc. ***","10 Columbus Circle, New York, NY 10019","Rose Hall Restroom Upgrades","3","4","100000.00","10019","Manhattan","40.767815","-73.98226","145","1026318","1010497501","Lincoln Square                                                             "
"Manhattan Theatre Club","261 West 47th Street, New York, NY 10036","MTC Net3 Dimmer System","3","5","90000.00","10036","Manhattan","40.759974","-73.986428","125","1024753","1010190005","Midtown-Midtown South                                                      "
"Roundabout Theatre Company, Inc.","229 West 54th Street, New York, NY 10019","Studio 54 Fire and Life Safety System","3","5","100000.00","10019","Manhattan","40.764209","-73.982867","137","1024849","1010267501","Midtown-Midtown South                                                      "
"The New 42nd Street","209 West 42nd Street, New York, NY 10036","New Victory Public Spaces Renovation","3","5","100000.00","10036","Manhattan","40.756261","-73.987457","119","1024685","1010140025","Midtown-Midtown South                                                      "
"Project Renewal, Inc.","225 East 45th Street, New York NY 10017","New Providence Backup Generator","4","6","75000.00","10017","Manhattan","40.752396","-73.97232","90","1037587","1013190011","Turtle Bay-East Midtown                                                    "
"Jewish Museum","1109 Fifth Avenue, New York, NY 10128","Computer System","4","8","200000.00","10128","Manhattan","40.785298","-73.957263","16001","1047052","1015040001","Upper East Side-Carnegie Hill                                              "
"New York City Center","130 West West 56th Street, New York, NY
10019","Studio Upgrade","4","5","100000.00","10019","Manhattan","40.764151","-73.978889","137",,,"Midtown-Midtown South                                                      "
"Seventh Regiment Armory
Conservancy, Inc.","643 Park Avenue, New York, NY 10065","Drill Hall Waterproofing & Masonry Work","4","8","100000.00","10065","Manhattan","40.767491","-73.966448","120","1042460","1014010001","Upper East Side-Carnegie Hill                                              "
"The Young Men's & Young
Women's Hebrew Association","1395 Lexington Avenue, New York NY 10128","Fire Alarm System Upgrade","5","8","150000.00","10128","Manhattan","40.783051","-73.952978","15801","1048310","1015200050","Upper East Side-Carnegie Hill                                              "
"City Parks Foundation","50 72nd Street Transverse, New York NY
10021","SummerStage Renovation","6",,"150000.00","10021","Manhattan","40.773423","-73.970145","143","1083827","1011110001","park-cemetery-etc-Manhattan                                                "
"American Museum of Natural History","200 Central Park West, New York, NY 10024","Gilder Ctr for Science Edu. & Innovation","6","7","250000.00","10024","Manhattan","40.781312","-73.972254","165","1083846","1011300001","Upper West Side                                                            "
"Bloomingdale School of Music","323 West 108th Street, New York, NY 10025","New Grand Piano for Recital Hall","6","7","102000.00","10025","Manhattan","40.80314","-73.968073","195","1057302","1018930010","Morningside Heights                                                        "
"City Center of Music & Drama, Inc","20 Lincoln Center, New York, NY 10023","Energy Efficiency and Theater Upgrades","6","7","100000.00","10023","Manhattan","40.771414","-73.983201","149","1028831","1011340005","Lincoln Square                                                             "
"Elaine Kaufman Cultural
Center/Lucy Moses School for Music and Dance","129 West 67th Street, New York, NY 10023","Infrastructure FY17","6","7","100000.00","10023","Manhattan","40.774919","-73.982745","153","1081024","1011390008","Lincoln Square                                                             "
"New York Historical Society","170 Central Park West, New York, NY 10024","Museum Education Technology Center","6","7","100000.00","10024","Manhattan","40.779265","-73.973743","161","1028816","1011290029","Upper West Side                                                            "
"Symphony Space, Inc.","2537 Broadway, New York, NY 10025","Symphony Space Renovation","6","7","50000.00","10025","Manhattan","40.793842","-73.972393","183","1033687","1012420055","Upper West Side                                                            "
"The Metropolitan Museum of Art","1000 Fifth Avenue, New York, NY 10028","Wings A, B & C Skylight/ Mec Replacement","6",,"100000.00","10028","Manhattan","40.778633","-73.962546","143","1083810","1011110001","park-cemetery-etc-Manhattan                                                "
"The Bridge, Inc.","248 West 108th Street, New York NY 10025","IT Infrastructure Enhancement Project","7","7","148000.00","10025","Manhattan","40.802302","-73.966112","195","1056670","1018790057","Morningside Heights                                                        "
"The Brotherhood/Sister Sol","512-514 West 143 Street, New York NY
10031","BHSS Community Center","7","9",,"10031","Manhattan","40.824482","-73.949867","229","1061865","1020740047","Hamilton Heights                                                           "
"Dance Theatre of Harlem, Inc.","466 West 152nd Street, New York, NY
10031","Boiler & HVAC Upgrades","7","9","250000.00","10031","Manhattan","40.829244","-73.943446","23501","1061605","1020660059","Hamilton Heights                                                           "
"East Harlem Tutorial Program","2040-2050 Second Avenue, New York NY 10029","East Harlem Education Center - FY 17","8","11","161000.00","10029","Manhattan","40.790049","-73.942843","170","1089693","1016770001","East Harlem South                                                          "
"Museum of the City of New York","1220 Fifth Avenue, New York, NY 10029","Exterior Rehabilitation & Restoration 2","8","11","200000.00","10029","Manhattan","40.792438","-73.952448","168","1074157","1016090001","East Harlem South                                                          "
"The Children's Aid Society","14-32 West 118th Street, New York NY
10026","Childrens Aid Milbank Pool","9","10","100000.00","10026","Manhattan","40.802278","-73.946257","190","1051435","1016010018","Central Harlem South                                                       "
"Esplanade Gardens, Inc.","2569 Adam Clayton Powell Jr Blvd","Facade Upgrades & Elevator
Modernization","9","10","200000.00",,"Manhattan","40.823872","-73.937438","236","1079773","1020160050","Central Harlem North-Polo Grounds                                          "
"Center for Urban Community Services","302-310  West 127th Street, New York, NY 10027","302-310 W127th St Supportive Housing","9","10","100000.00","10027","Manhattan","40.811565","-73.950451","215","1059346","1019530036","Central Harlem North-Polo Grounds                                          "
"Greater Harlem Housing Development Corporation","200 W. 136th; 488-90 St. Nicholas Avenue; 2518 & 2540 Frederick Douglass Blvd; 229- 245 W. 135th Street; 216 W. 135th St","GHHDC Strivers Plaza Capital Phase 3","9","10","100000.00",,"Manhattan",,,,,,
"Maysles Institute","343 Lenox Ave, New York, NY 10027","Sound System","9","10","51000.00","10027","Manhattan","40.809254","-73.944416","224","1086536","1019120130","Central Harlem North-Polo Grounds                                          "
"The Studio Museum in Harlem","142 and 144 West 125th Street, New York,
NY 10027","New Building Project","9","10","100000.00","10027","Manhattan",,,,,,
"New York Restoration Project","3725 10th Avenue, New York, NY 10034","Sherman Creek Park","10","12","257000.00","10034","Manhattan","40.860433","-73.921855","299","1089884","1021500001","Marble Hill-Inwood                                                         "
"Council on the Environment, Inc. d/b/a GrowNYC","(Will be parked inside the warehouse in the Bronx)","Greenmarket Co. Van","1 - Org",,"42000.00",,"Manhattan",,,,,,
"Urban Resource Institute","Will be parked off street at URI's shelters.","Urban Resource Institute DV Shelter Vans","1- Org",,"40000.00",,"Manhattan",,,,,,
"Borough of Manhattan Community College","199 Chambers Street","LED Lighting","Council District 1 CM Chin","1","225000.00",,"Manhattan","40.716838","-74.012117","39","1066406","1001420050","SoHo-TriBeCa-Civic Center-Little Italy                                     "
"Manhattan Early College School for Advertising","411 Pearl Street","Classroom Technology Upgrade","Council District 1 CM Chin","1","100000.00",,"Manhattan","40.711442","-74.000851","29","1001388","1001130100","Chinatown                                                                  "
"Battery Park City School","55 Battery Place","Laptop Carts Purchase","Council District 1 CM Chin","1","100000.00",,"Manhattan","40.70644","-74.017818","31704","1087945","1000160040","Battery Park City-Lower Manhattan                                          "
"Stuyvesant High School","345 Chambers Street","Science Lab Upgrade","Council District 1 CM Chin","1","300000.00",,"Manhattan","40.71759","-74.013748","31703","1084587","1000160215","Battery Park City-Lower Manhattan                                          "
"The Urban Assembly Maker Academy","411 Pearl Street, 4th Floor","Classroom Technology Upgrade","Council District 1 CM Chin","1","100000.00",,"Manhattan","40.711442","-74.000851","29","1001388","1001130100","Chinatown                                                                  "
"The Urban Assembly School for Emergency Management","411 Pearl Street, Room B33","Classroom Technology Upgrade","Council District 1 CM Chin","1","100000.00",,"Manhattan","40.711442","-74.000851","29","1001388","1001130100","Chinatown                                                                  "
"75 Morton Street School - I.S. 323 & P94","c/o P.S. 126MAT, 80 Catherine Street","Experimental Roof Garden Ecosystem","Council
District 3 CM
Johnson","2","100000.00",,"Manhattan",,,,,,
"City-As-School High School","16 Clarkson Street","Hydroponics Learning Infrastructure","Council
District 3 CM
Johnson","2","100000.00",,"Manhattan","40.729412","-74.006148","67","1009757","1005810054","West Village                                                               "
"Hudson River Park Trust","353 West Street, Pier 40, 2nd Fl.","Chelsea Waterside Park","Council
District 3 CM
Johnson","2","119000.00",,"Manhattan","40.729719","-74.010622","69","1012249","1006560001","West Village                                                               "
"Merchant's House Museum","29 East 4th Street","Slate Roof and Fire Escape Renovation","Council
District 2 CM
Mendez","2","250000.00",,"Manhattan","40.727579","-73.992528","57","1008785","1005440071","West Village                                                               "
"NYC iSchool","131 Avenue of the Americas","Classroom Technology Upgrade","Council
District 3 CM
Johnson","2","100000.00",,"Manhattan","40.7244","-74.004625","37","1007378","1004910016","SoHo-TriBeCa-Civic Center-Little Italy                                     "
"Bard High School Early College","525 East Houston Street","Classroom Technology Upgrade","Council
District 2 CM
Mendez","3","100000.00",,"Manhattan","40.719029","-73.975891","1002","1004062","1003250025","Lower East Side                                                            "
"Cascades High School","198 Forsyth Street","Classroom Technology Upgrade","Council District 1 CM Chin","3","100000.00",,"Manhattan","40.72252","-73.990728","3601","1005626","1004220072","Chinatown                                                                  "
"The New York Public Library","President's Office Stephen A. Schwarzman Building,  476 Fifth Avenue","Chatham Square Library Mechanical Upgrade","Council District 1 CM Chin","3","200000.00",,"Manhattan",,,,,,
"East Side Community High School","420 East 12th Street","Classroom Technology Upgrade","Council
District 2 CM
Mendez","3","100000.00",,"Manhattan","40.729589","-73.982555","34","1005974","1004390017","East Village                                                               "
"Essex Street Academy","350 Grand Street","Locker Room Renovation","Council District 1 CM Chin","3","150000.00",,"Manhattan","40.716778","-73.989337","18","1005283","1004080030","Chinatown                                                                  "
"The School for Global Leaders","145 Stanton Street","Library Upgrade","Council District 1 CM Chin","3","100000.00",,"Manhattan","40.720581","-73.985645","3001","1004323","1003540080","Chinatown                                                                  "
"New Explorations into Science, Technology & Math","111 Columbia Street","Classroom Technology Upgrade","Council
District 2 CM
Mendez","3","100000.00",,"Manhattan","40.718895","-73.979308","2201","1004070","1003350001","Lower East Side                                                            "
"P.S. 63 - Star Academy","121 East 3rd Street","Video Surveillance Camera","Council
District 2 CM
Mendez","3","50000.00",,"Manhattan","40.724117","-73.986381","32","1005760","1004310014","East Village                                                               "
"P.S. 126 - Manhattan Academy of Technology","80 Catherine Street","Gym/Auditorium Renovation","Council District 1 CM Chin","3","200000.00",,"Manhattan","40.710729","-73.996631","25","1083357","1001110160","Chinatown                                                                  "
"P.S. 140 - Nathan Straus Preparatory School of Humanities","123 Ridge Street","Classroom Technology Upgrade","Council District 1 CM Chin","3","100000.00",,"Manhattan","40.71925","-73.983056","2201","1004091","1003440001","Lower East Side                                                            "
"P.S. 142 - Amalia Castro School","100 Attorney Street","Classroom Technology Upgrade","Council District 1 CM Chin","3","100000.00",,"Manhattan","40.718383","-73.984452","1402","1004080","1003430001","Lower East Side                                                            "
"P.S. 184M - Shuang Wen School","327 Cherry Street","Classroom Technology Upgrade","Council District 1 CM Chin","3","125000.00",,"Manhattan","40.711549","-73.986542","201","1003143","1002450007","Lower East Side                                                            "
"P.S. 361 - The Children's Workshop School","610 East 12th Street","Playground Resurfacing & Renovation","Council
District 2 CM
Mendez","3","225000.00",,"Manhattan","40.727892","-73.978525","28","1079053","1003940012","Lower East Side                                                            "
"Pace High School","100 Hester Street","Classroom Technology Upgrade","Council District 1 CM Chin","3","100000.00",,"Manhattan","40.716553","-73.993092","16","1082489","1003010003","Chinatown                                                                  "
"University Neighborhood High School","200 Monroe Street","Classroom Technology Upgrade","Council District 1 CM Chin","3","100000.00",,"Manhattan","40.712399","-73.984497","202","1003214","1002590044","Lower East Side                                                            "
"Sara Roosevelt Park","167-191 Forsyth Street","Sara Roosevelt Park Pathways and Fencing Renovation","Council District 1 CM Chin","3","300000.00",,"Manhattan",,,,,,
"DeWitt Clinton Park","601 West 52nd Street","De Witt Clinton Park Staircase Renovation","Council
District 3 CM
Johnson","4","500000.00",,"Manhattan","40.767268","-73.994022","135","1027153","1011000001","Clinton                                                                    "
"High School for Environmental Studies","444 West 56th Street","Hydroponics Learning Infrastructure","Council
District 3 CM
Johnson","4","200000.00",,"Manhattan","40.767791","-73.987531","139","1026841","1010650001","Clinton                                                                    "
"Independence High School","850 Tenth Avenue","Classroom Technology Upgrade","Council
District 3 CM
Johnson","4","100000.00",,"Manhattan","40.768343","-73.989108","139","1026841","1010650001","Clinton                                                                    "
"John Jay College of Criminal Justice","524 West 59th Street, Suite 625","Classroom/Public Spaces Technology Upgrade","Council
District 6 CM
Rosentha
l","4","275000.00",,"Manhattan","40.770794","-73.988534","147","1027084","1010870005","Lincoln Square                                                             "
"Landmark High School","351 West 18th Street","Classroom Technology Upgrade","Council
District 3 CM
Johnson","4","100000.00",,"Manhattan","40.742867","-74.002136","89","1013096","1007420007","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"Manhattan Bridges High School","525 West 50th Street","Classroom Technology Upgrade","Council
District 3 CM
Johnson","4","100000.00",,"Manhattan","40.765184","-73.992953","135","1083802","1010790029","Clinton                                                                    "
"Manhattan Business Academy","351 West 18th Street","Classroom Technology Upgrade","Council
District 3 CM
Johnson","4","100000.00",,"Manhattan","40.742867","-74.002136","89","1013096","1007420007","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"The New York Public Library","President's Office Stephen A. Schwarzman Building,  476 Fifth Avenue","Muhlenberg Library Mechanical Upgrade","Council
District 3 CM
Johnson","4","200000.00",,"Manhattan",,,,,,
"NYC Lab High School for Collaborative Studies","333 West 17th Street","Locker Replacement","Council
District 3 CM
Johnson","4","100000.00",,"Manhattan","40.742129","-74.002198","83","1079152","1007410010","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"Quest to Learn School","351 West 18th Street","Classroom Technology Upgrade","Council
District 3 CM
Johnson","4","100000.00",,"Manhattan","40.742867","-74.002136","89","1013096","1007420007","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"Sakura Park","115-145 Calremont Avenue","Sakura Park Staircase  Renovation","Council
District 7 CM
Levine","9","375000.00",,"Manhattan",,,,,,
"The High School of Fashion Industries","225 West 24th Street","Gymnasium Upgrade","Council
District 3 CM
Johnson","4","77000.00",,"Manhattan","40.745156","-73.996074","91","1014174","1007740019","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"Urban Assembly School for Design and Construction","525 W. 50th Street, 4th Fl.","Classroom Technology Upgrade","Council
District 3 CM
Johnson","4","100000.00",,"Manhattan","40.765184","-73.992953","135","1083802","1010790029","Clinton                                                                    "
"Fashion Institute of Technology","Marvin Feldman Center, Suite C-908 227 West 27th Street","School of Graduate Studies Renovation","Council
District 3 CM
Johnson","5","150000.00",,"Manhattan",,,,,,
"School of the Future","127 East 22nd Street","Auditorium Upgrade","Council
District 2 CM
Mendez","5","175000.00",,"Manhattan","40.738952","-73.985479","68","1018014","1008780016","Gramercy                                                                   "
"The Graduate Center -City University of New York","365 - 5th Avenue, Suite 8201","Graduate Center  Energy Savings","Council
District 4 CM
Garodnic
k","5","200000.00",,"Manhattan",,,,,,
"Baruch College","1 Bernard Baruch Way, Box D-0710","17 Lexington Wireless Network","Council
District 2 CM
Mendez","6","250000.00",,"Manhattan","40.740601","-73.983389","68","1086514","1008800024","Gramercy                                                                   "
"High School of Art and Design","245 East 56th Street","Classroom Technology Upgrade","Council
District 4 CM
Garodnic
k","6","100000.00",,"Manhattan","40.759147","-73.966979","108","1038593","1013300015","Turtle Bay-East Midtown                                                    "
"Global Learning Collaborative School","145 West 84th Street","Classroom Technology Upgrade","Council
District 6 CM
Rosentha
l","7","100000.00",,"Manhattan","40.785803","-73.974614","169","1032128","1012150001","Upper West Side                                                            "
"High School for Arts, Imagination and Inquiry","122 Amsterdam Avenue","Maxine Green Guidance and Pupil Personnel Revamp","Council
District 6 CM
Rosentha
l","7","200000.00",,"Manhattan","40.774351","-73.984753","151","1030343","1011570025","Lincoln Square                                                             "
"M.S. 250 - West Side Collaborative Middle School","735 West End Avenue","Classroom Technology Upgrade","Council
District 6 CM
Rosentha
l","7","100000.00",,"Manhattan","40.795157","-73.973292","183","1034190","1012530065","Upper West Side                                                            "
"M.S. 256 - Academic and Athletic Excellence School","154 West 93rd Street","Classroom Technology Upgrade","Council
District 6 CM
Rosentha
l","7","100000.00",,"Manhattan","40.791728","-73.970845","177","1032522","1012230005","Upper West Side                                                            "
"M.S. 258 - Community Action School","154 West 93rd Street","Art Room Renovation","Council
District 6 CM
Rosentha
l","7","100000.00",,"Manhattan","40.791728","-73.970845","177","1032522","1012230005","Upper West Side                                                            "
"West Prep Academy","150 West 105th Street","Green Roof Feasibility Study","Council
District 7 CM
Levine","7","100000.00",,"Manhattan","40.799178","-73.964842","189","1076625","1018590001","Upper West Side                                                            "
"M.S. 54 - Booker T. Washington Middle School","103 West 107th Street","Classroom Technology Upgrade","Council
District 7 CM
Levine","7","100000.00",,"Manhattan","40.800119","-73.962837","193","1055990","1018620011","Morningside Heights                                                        "
"Dual Language Middle School - 03M24","32 West 92nd Street, Rm. 319","Classroom Technology Upgrade","Council
District 6 CM
Rosentha
l","7","100000.00",,"Manhattan","40.789526","-73.967574","177","1081042","1012050006","Upper West Side                                                            "
"Mott Hall 2","234 West 109th Street, 4th Fl.","Hydroponics Learning Infrastructure","Council
District 7 CM
Levine","7","100000.00",,"Manhattan","40.802917","-73.965613","195","1056676","1018800013","Morningside Heights                                                        "
"P.S. 9 - The Sarah Anderson School","100 West 84th Street","Infrastructure Renovation","Council
District 6 CM
Rosentha
l","7","290000.00",,"Manhattan","40.785287","-73.97343","169","1032119","1012140029","Upper West Side                                                            "
"P.S. 84 - Lillian Weber School of the Arts","32 West 92nd Street","Roof Repair and Courtyard STEM Space","Council
District 6 CM
Rosentha
l","7","150000.00",,"Manhattan","40.789526","-73.967574","177","1081042","1012050006","Upper West Side                                                            "
"P.S. 87 - William T. Sherman School","160 West 78th Street","Hydroponics Learning Infrastructure","Council
District 6 CM
Rosentha
l","7","48000.00",,"Manhattan","40.781958","-73.977638","161","1030196","1011490007","Upper West Side                                                            "
"P.S. 166 - Richard Rogers School of Arts and Technology","132 W. 89th Street","Auditorium Renovation","Council
District 6 CM
Rosentha
l","7","100000.00",,"Manhattan","40.788865","-73.971847","173","1032308","1012190047","Upper West Side                                                            "
"P.S. 191 - Museum Magnet School","210 West 61st Street","Classroom Technology Upgrade","Council
District 6 CM
Rosentha
l","7","100000.00",,"Manhattan","40.771925","-73.987328","147","1030320","1011520029","Lincoln Square                                                             "
"P.S. 199 - Jessie Isador Straus School","270 West 70th Street","Science Center","Council
District 6 CM
Rosentha
l","7","91000.00",,"Manhattan","40.778059","-73.984449","155","1030351","1011580040","Lincoln Square                                                             "
"P.S. 333 - Manhattan School for Children","154 West 93 Street","Auditorium Lighting","Council
District 6 CM
Rosentha
l","7","170000.00",,"Manhattan","40.791728","-73.970845","177","1032522","1012230005","Upper West Side                                                            "
"Special Music School","122 Amsterdam Avenue","Classroom Technology Upgrade","Council
District 6 CM
Rosentha
l","7","100000.00",,"Manhattan","40.774351","-73.984753","151","1030343","1011570025","Lincoln Square                                                             "
"West End Secondary School - M291","227 West 61st Street","Classroom Technology Upgrade","Council
District 6 CM
Rosentha
l","7","50000.00",,"Manhattan","40.772007","-73.987479","151","1030328","1011540108","Lincoln Square                                                             "
"Manhattan Hunter Science High School","122 Amsterdam Avenue","Hydroponics Learning Infrastructure","Council
District 6 CM
Rosentha
l","7","35000.00",,"Manhattan","40.774351","-73.984753","151","1030343","1011570025","Lincoln Square                                                             "
"Carl Schurz Park","97 South End Avenue","Carl Schurz Park Playground Renovation","Council
District 5 CM
Kallos","8","300000.00",,"Manhattan","40.708381","-74.017461","31704",,,"Battery Park City-Lower Manhattan                                          "
"East Side Middle School","331 East 91st Street","Hydroponics Learning Infrastructure","Council
District 5 CM
Kallos","8","100000.00",,"Manhattan","40.780706","-73.948553","154","1081267","1015540032","Yorkville                                                                  "
"Hunter College, City University of New York","695 Park Avenue","Black Box Renovation","Council
District 4 CM
Garodnic
k","8","250000.00",,"Manhattan","40.768973","-73.965367","120","1081419","1014030001","Upper East Side-Carnegie Hill                                              "
"Life Sciences Secondary School","320 East 96th Street","Gym Renovation","Council
District 5 CM
Kallos","8","200000.00",,"Manhattan","40.783625","-73.945637","15601","1050338","1015580034","Yorkville                                                                  "
"M.S. 167M - Robert F. Wagner Middle School","220 East 76th Street","Classroom Technology Upgrade","Council
District 4 CM
Garodnic
k","8","100000.00",,"Manhattan","40.77205","-73.958066","134","1044058","1014300005","Lenox Hill-Roosevelt Island                                                "
"P.S. 151 - Yorkville Community School","421 East 88th Street","Hydroponics Learning Infrastructure","Council
District 5 CM
Kallos","8","100000.00",,"Manhattan","40.777911","-73.947757","14402","1050618","1015680008","Yorkville                                                                  "
"P.S. 183 - Robert L. Stevenson School","419 East 66th Street","Classroom Technology Upgrade","Council
District 5 CM
Kallos","8","100000.00",,"Manhattan","40.763736","-73.95815","116","1045569","1014610007","Lenox Hill-Roosevelt Island                                                "
"P.S. 198M - The Straus School","1700 Third Avenue","Split Level HVAC for Auditorium and Cafeteria Installation","Council
District 5 CM
Kallos","8","250000.00",,"Manhattan","40.784826","-73.949611","15801","1048492","1015240023","Upper East Side-Carnegie Hill                                              "
"P.S./I.S. 217 - The Roosevelt Island School","645 Main Street","Green Roof","Council
District 5 CM
Kallos","8","200000.00",,"Manhattan","40.763894","-73.947916","23802","1084848","1013730001","Lenox Hill-Roosevelt Island                                                "
"The Carter Burden Center for the Aging","1484 First Avenue","Covello Kitchen Relocation","Council District 8 - CM Mark-
Viverito","11","100000.00",,"Manhattan","40.771244","-73.953478","132","1081248","1014720003","Lenox Hill-Roosevelt Island                                                "
"Hunter College Campus Schools","71 East 94th Street","Athletic Facilities Renovation","Council
District 4 CM
Garodnic
k","8","115000.00",,"Manhattan","40.785602","-73.954323","16001","1047404","1015060021","Upper East Side-Carnegie Hill                                              "
"Columbia Secondary School for Math, Science and Engineering","425 West 123rd Street","Engineering Lab","Council
District 7 CM
Levine","9","150000.00",,"Manhattan","40.810431","-73.955809","20901","1059526","1019640012","Morningside Heights                                                        "
"John H. Finley Campus School - P.S./M.S. 129M","425 West 130th Street","Classroom Technology Upgrade","Council
District 9 CM
Levine","9","50000.00",,"Manhattan","40.814637","-73.951912","21703","1059407","1019570010","Manhattanville                                                             "
"Morningside Park","70-74 Morningside Drive","Morningside Park Playground Renovation","Council
District 7 CM
Levine","9","300000.00",,"Manhattan","40.80682","-73.95886","20101","1059498","1019610057","Morningside Heights                                                        "
"P.S. 36 - Margaret Douglas Elementary School","123 Morningside Drive","Classroom Technology Upgrade","Council
District 7 CM
Levine","9","100000.00",,"Manhattan","40.81027","-73.957482","19701","1055890","1018500002","Morningside Heights                                                        "
"P.S. 125 - The Ralph Bunche School of Urban Farming","425 West 123rd Street","Hydroponics Learning Infrastructure","Council
District 7 CM
Levine","9","100000.00",,"Manhattan","40.810431","-73.955809","20901","1059526","1019640012","Morningside Heights                                                        "
"P.S./M.S. 161M - Don Pedro Albizu Campos School","499 West 133rd Street","Classroom Technology Upgrade","Council District 9 - CM
Dickens","9","100000.00",,"Manhattan","40.81755","-73.953041","21303","1059645","1019710001","Manhattanville                                                             "
