"organization","project_title","project_address","community_board","council_district","fy18_award","postcode","borough","latitude","longitude","census_tract","bin","bbl","nta"
"Carl Schurz Playground","Reconstruction Project","East End Ave. to East River, E.  84 St to E. 95 St","CB8","CD5","475000.00",,"Manhattan",,,,,,
"Center For Urban Community Services","Gap from deep affordability, higher construction costs","302-312 W. 127th
St.","CB11","CD8","3000000.00",,"Manhattan","40.811565","-73.950451","215","1059346","1019530036","Central Harlem North-Polo Grounds                                          "
"Central Park East 1 Elementary School SLT","Central Park East 1 Elementary School, Classroom Upgrades","1573 Madison Avenue, New York, NY, 10029","CB11","CD8","115000.00","10029","Manhattan","40.793763","-73.949381","17401","1051515","1016120050","East Harlem South                                                          "
"Central Park East High School","Auditorium Lighting","1573 Madison Ave, New York, NY 10029","CB11","CD8","125000.00","10029","Manhattan","40.793763","-73.949381","17401","1051515","1016120050","East Harlem South                                                          "
"Central Park East II Elementary School","Classroom Technology Upgrade","19 E. 103rd Street, NY, NY 10029 and
1615 Madison Ave
New York, NY 10029","CB11","CD8","100000.00","10029","Manhattan","40.792122","-73.951961","168","1051497","1016090007","East Harlem South                                                          "
"Child Welfare Organizing Project","Kitchen upgrade","80 E110th Street, suite 1E  New York, New York,
10029","CB11","CD8","500000.00","10029","Manhattan","40.79568","-73.946555","17401","1078868","1016150023","East Harlem South                                                          "
"China Institute in America, Inc.","Ground Floor Renovations, 100 Washington","100 Washington Street","CB1","CD1","100000.00",,"Manhattan","40.708494","-74.014291","13","1088750","1000557501","Battery Park City-Lower Manhattan                                          "
"City College Academy of the Arts","“Century 21 Classrooms Renovation”","4600 Broadway New York, NY 10040","CB12","CD10","226000.00","10040","Manhattan","40.86079","-73.930672","285","1076756","1021720016","Washington Heights North                                                   "
"Coalition School for Social Change","School Library","2351 1st Avenue New York, NY 10035","CB11","CD8","50000.00","10035","Manhattan","40.798884","-73.933319","194","1054786","1017970100","East Harlem North                                                          "
"Columbia Secondary School for Math, Science
and Engineering","Sixth Floor Technology Center Upgrades","425 West 123rd Street, New York, NY 10027","CB9","CD7","100000.00","10027","Manhattan","40.810431","-73.955809","20901","1059526","1019640012","Morningside Heights                                                        "
"Columbia Secondary School for Math, Science
and Engineering","Synthetic Turf Installation - Playground 125","Morningside Avenue between 123rd and 124th
Street","CB9","CD7","500000.00",,"Manhattan",,,,,,
"Community Health Academy of Heights","STEAM and Literacy Program","504 West 158th St. New York, NY 10032","CB12","CD7","100000.00","10032","Manhattan","40.833687","-73.942072","241","1089242","1021160031","Washington Heights South                                                   "
"Community Health Project, Inc.","H.O.T.T. Mobile Medical Unit","234 East 121 Street","CB11","CD8","100000.00",,"Manhattan","40.800761","-73.936813","194","1088155","1017850034","East Harlem North                                                          "
"Community League of the Heights, Inc","150th street Cluster","615 w 150th street & 601 w 148th street, NY, NY
                                                                                         10032                                                                                        ","CB12","CD10","3200000.00",,"Manhattan","40.829798","-73.948595","237","1062448","1020970020","Hamilton Heights                                                           "
"Community Math & Science Prep","A+STEAM LABS","401 W. 164 Street New York, NY 10032","CB12","CD10","100000.00","10032","Manhattan","40.836536","-73.937159","24301","1062636","1021110024","Washington Heights South                                                   "
"Countee Cullen Library","Façade Renovations","104 West 136th Street, New York, NY 10030","CB10","CD9","1500000.00","10030","Manhattan","40.814997","-73.940918","228","1058275","1019200026","Central Harlem North-Polo Grounds                                          "
"CS 154 Harriet Tubman Learning Center","Classroom Technology Upgrade","250 W. 127th St.,
New York, NY 10027","CB10","CD9","100000.00","10027","Manhattan","40.810928","-73.948938","224","1058671","1019320010","Central Harlem North-Polo Grounds                                          "
"CUNY Graduate School of Journalism","Audio and Video Distribution System","219 West 40th Street, New York, NY, 10019","CB5","CD3","250000.00","10019","Manhattan","40.755092","-73.988674","113","1080830","1010120015","Midtown-Midtown South                                                      "
"Dance Theatre of Harlem","HVAC & Boiler Renovation","466 West 152nd
Street, 10031","CB9","CD7","200000.00","10031","Manhattan","40.829244","-73.943446","23501","1061605","1020660059","Hamilton Heights                                                           "
"Dos Puentes Elementary School","Cafeteria Upgrade","185 Wadsworth Ave., New York, NY 10033","CB12","CD10","200000.00","10033","Manhattan","40.850626","-73.934377","271","1063947","1021650026","Washington Heights North                                                   "
"Downtown Community Television Center,
Inc.","DCTV Moveable Studio Lighting System","DCTV 87 Lafayette
Street, 10013","CB1","CD1","125000.00","10013","Manhattan","40.717324","-74.00154","31","1002355","1001970001","SoHo-TriBeCa-Civic Center-Little Italy                                     "
"Dr. Horan School PS 79M","Equity and Technology Upgrade","55 East 120th Street, NY,NY 10035","CB11","CD9","100000.00","10035","Manhattan","40.802419","-73.942634","198","1053968","1017470001","East Harlem North                                                          "
"Dual Language Middle School","Library Upgrade","32 W. 92nd Street, Room 319, New
York, NY 10025","CB7","CD6","75000.00","10025","Manhattan","40.789526","-73.967574","177","1081042","1012050006","Upper West Side                                                            "
"Dyckman Farmhouse Museum","ADA Ramp and Interior Bathroom","4881 Broadway, New York, NY 10034","CB12","CD10","375000.00","10034","Manhattan","40.867125","-73.92283","295","1075616","1022410035","Marble Hill-Inwood                                                         "
"Riverside-Inwood Neighborhood Gardens","RING Garden project","Riverside Drive and Dyckman Street, New York,
NY 10034","CB12","CD10","50000.00","10034","Manhattan",,,,,,
"Eagle Academy for Young Men of Harlem","Streaming University Project","6 Edgecombe Avenue, New York, NY 10030","CB10","CD9","140000.00","10030","Manhattan","40.817372","-73.947712","22102","1059460","1019600001","Central Harlem North-Polo Grounds                                          "
"East Harlem Arts and Education LDC","Heckscher Building Roof Renovation","1230 Fifth Ave","CB11","CD8","250000.00",,"Manhattan","40.793072","-73.951992","168","1051499","1016100001","East Harlem South                                                          "
"East Harlem Council for Human Services, Inc.","Boriken Shuttle","122nd Street (2265 Third Avenue)","CB11","CD8","55000.00",,"Manhattan",,,,,,
"East Harlem Scholars Academy II Charter School","Classroom Technology Upgrades","1573 Madison Avenue, New York, NY 10029","CB11","CD8","100000.00","10029","Manhattan","40.793763","-73.949381","17401","1051515","1016120050","East Harlem South                                                          "
"East Side Community School","East Side Community Health, Recreation, and Arts Center Scoping
Project","420 East 12th Street, New York, NY 10009","CB3","CD2","65000.00","10009","Manhattan","40.729589","-73.982555","34","1005974","1004390017","East Village                                                               "
"Educational Alliance, Inc.","IT Upgrade Stage 2","197 East
Broadway, 10002","CB3","CD1","120000.00","10002","Manhattan","40.714219","-73.988219","6","1003704","1002850029","Lower East Side                                                            "
"Elaine Kaufman Music Center/Lucy Moses School for
Music and Dance","Infrastructure FY18","129 West 67th
Street, 10023","CB7","CD6","235000.00","10023","Manhattan","40.774919","-73.982745","153","1081024","1011390008","Lincoln Square                                                             "
"Elizabeth Cady Stanton and Susan
B. Anthony Woman Suffrage Movement
Monument","Monument Siting","Central Park, West 77th Street, New York, New York, 10024","CB7","CD6","100000.00","10024","Manhattan",,,,,,
"Ensemble Studio Theatre, Inc.","Himan Brown Center for EST","545 West 52nd
Street, 10019","CB4","CD3","200000.00","10019","Manhattan","40.766642","-73.992538","135","1083290","1010810080","Clinton                                                                    "
"Esplanade Gardens, Inc.","Elevator Modernization","101 West 147th
Street, 129 West
147th Street, 2541
7th Avenue, 2569
7th Avenue, 700 Lenox Avenue and 720 Lenox Avenue, New York, NY","CB10","CD9","500000.00",,"Manhattan","40.821922","-73.93572","236","1079771","1020160050","Central Harlem North-Polo Grounds                                          "
"Essex Street Academy","Boys' Locker Room Renovation","350 Grand Street, New York, NY, 10002","CB3","CD1","200000.00","10002","Manhattan","40.716778","-73.989337","18","1005283","1004080030","Chinatown                                                                  "
"Fashion Institute of Technology","Green Roof—Business and Liberal Arts Center","227 West 27th Street, New York, NY 10001","CB5","CD3","100000.00","10001","Manhattan","40.747031","-73.99476","95","1014251","1007770018","Midtown-Midtown South                                                      "
"FDNY","Window Replacement in Firehouses","145 West 100th Street, New York, NY 10025","CB7","CD7","250000.00","10025","Manhattan","40.795924","-73.966726","189","1055910","1018550005","Upper West Side                                                            "
"Film Forum, Inc.","Theater Seating System","209 West Houston
Street, 10014","CB2","CD3","112000.00","10014","Manhattan","40.728493","-74.00425","37","1008118","1005200001","SoHo-TriBeCa-Civic Center-Little Italy                                     "
"Fiorello H. LaGuardia High School of Music & Art and Performing
Arts","Revamp of STEM Facilities","100 Amsterdam Avenue, Manhattan, NY, 10023","CB7","CD6","100000.00","10023","Manhattan","40.773629","-73.985273","151","1030341","1011560030","Lincoln Square                                                             "
"Forsyth Satellite Academy","Student Restroom Renovations","198 Forsyth Street, New York, NY 10002, 2nd
Floor","CB3","CD1","75000.00",,"Manhattan","40.72252","-73.990728","3601","1005626","1004220072","Chinatown                                                                  "
"Frederick Douglass Boulevard Garden Committee","Community Garden Restoration","301 West 152nd Street, New York, NY 10039","CB10","CD9","119000.00","10039","Manhattan","40.82732","-73.938837","23502","1060874","1020460056","Central Harlem North-Polo Grounds                                          "
"Friends of Manahttan School for Children","Replace Rigging, stage curtain, fire curtain and replace planking on
stage floor in Auditorium","154 West 93 Street New York, NY 10025","CB7","CD6","200000.00","10025","Manhattan","40.791728","-73.970845","177","1032522","1012230005","Upper West Side                                                            "
"Gina Gibney Dance, Inc.","Accessible Elevator for 280 Broadway","197 East
Broadway, 10002","CB1 (CB3)","CD1","165000.00","10002","Manhattan","40.714219","-73.988219","6","1003704","1002850029","Lower East Side                                                            "
"Global Learning Collaborative","Manhattan  STEM Initiative with A+ STEM Labs Inc.","145 West 84th Street, New York, NY 10024","CB7","CD6","100000.00","10024","Manhattan","40.785803","-73.974614","169","1032128","1012150001","Upper West Side                                                            "
"God's Love We Deliver Inc","Refrigerated Delivery Van for Manhattan","166 Avenue of Americas","CB2","CD3","46000.00",,"Manhattan","40.725619","-74.003976","49","1007816","1005040043","SoHo-TriBeCa-Civic Center-Little Italy                                     "
"Gouverneur Gardens Housing Corporation","Tank-less Heaters","305 Madison Street, New York, NY 10002","CB3","CD1","130000.00","10002","Manhattan","40.713129","-73.984637","202","1083402","1002670001","Lower East Side                                                            "
"Gouverneur Health","Vehicle Replacement","227 Madison Street, New York, NY 10002","CB3","CD1","100000.00","10002","Manhattan","40.712784","-73.988417","6","1003224","1002700032","Lower East Side                                                            "
"Grand Street Settlement, Inc.","80 Pitt Street Renovation","80 Pitt Street
10002","CB3","CD2","250000.00","10002","Manhattan","40.718328","-73.98245","2201","1084357","1003380001","Lower East Side                                                            "
"Greater Harlem Housing Development Corporation","Greater Harlem Housing 8A Capital","488-90 St. Nicholas
Ave.; 2518-20 &
2540-42 Frederick
Douglass Blvd.; 229 to 235 W. 135th St.; 216-18 W. 135th St.;
200 W. 136th St.","CB10","CD9","250000.00",,"Manhattan","40.81656","-73.948258","22102","1059459","1019590058","Central Harlem North-Polo Grounds                                          "
"Gregorio Luperon High School for Science and
Mathematics","Steps to STEAM","501 W 165th St.,
New York, NY 10032","CB12","CD10","100000.00","10032","Manhattan","40.838167","-73.938642","251","1085733","1021230045","Washington Heights South                                                   "
"Hamilton Grange Middle School","Gymnasium and Cafeteria Upgrade","500 West 138th Street, New York, NY, 10031","CB9","CD7","136000.00","10031","Manhattan","40.820953","-73.951145","22301","1084132","1019880166","Manhattanville                                                             "
"Hamilton Heights School","Playground upgrades","1750 Amsterdam Avenue, New York, NY 10030","CB9","CD7","200000.00","10030","Manhattan","40.826295","-73.946845","233","1081834","1020780019","Hamilton Heights                                                           "
"Harlem Hebrew Language Academy Charter School","Classroom Technology Upgrades","147 St. Nicholas Avenue, New York, NY 10026","CB10","CD9","100000.00","10026","Manhattan","40.804551","-73.95275","218","1058397","1019230049","Central Harlem South                                                       "
"Harvey Milk High School","Public Address system and presentation equipment","2 Astor Place, New York City, NY 10003","CB2","CD2","47000.00","10003","Manhattan","40.730038","-73.992632","57","1080092","1005450026","West Village                                                               "
"Henry Street Settlement","Abrons Arts Center: Interior Improvement","265 Henry Street,
10002","CB3","CD1","200000.00","10002","Manhattan","40.713857","-73.984532","202","1079627","1002880078","Lower East Side                                                            "
"High School for Law and Public Service","Classroom Courtroom Upgrade","549 Audubon Avenue, New York, NY 10040","CB12","CD10","80000.00","10040","Manhattan","40.855954","-73.927051","277","1076751","1021600018","Washington Heights North                                                   "
"High School for Media and Communications","George Washington Educational Campus
Television and Recording Studio","549 Audubon Avenue, New York, NY 10040","CB12","CD10","700000.00","10040","Manhattan","40.855954","-73.927051","277","1076751","1021600018","Washington Heights North                                                   "
"High School of Economics & Finance","Classroom Technology Upgrades","100 Trinity Place, New York, NY 10006","CB1","CD1","50000.00","10006","Manhattan","40.709196","-74.012022","13","1001037","1000520001","Battery Park City-Lower Manhattan                                          "
"High School of Hospitality Management","Classroom Technology Upgrades","525 West 50th Street, New York, NY 10019","CB4","CD3","100000.00","10019","Manhattan","40.765184","-73.992953","135","1083802","1010790029","Clinton                                                                    "
"Home for Contemporary Theatre and Art","HEREs AV Wireless System","145 6th Avenue,
10013","CB2","CD3","38000.00","10013","Manhattan","40.724971","-74.004477","37","1087061","1004917502","SoHo-TriBeCa-Civic Center-Little Italy                                     "
"HS for Environmental Studies","Gym Bleachers","444 West 56th street, N.Y, N.Y, 10019","CB4","CD3","75000.00","10019","Manhattan","40.767791","-73.987531","139","1026841","1010650001","Clinton                                                                    "
"Hudson Guild Inc. Renovation","Fulton Center Renovation","119 - 9th Avenue New York, NY
                                                                                         10011                                                                                        ","CB4","CD3","250000.00",,"Manhattan",,,,,,
"Hudson River Park","Pier 45 Hex Paver Restoration","West 10th Street, New York, NY 10014","CB2","CD3","230000.00","10014","Manhattan",,,,,,
"Hunter College","Hunter College Computer Science Expansion","695 Park Avenue, New York, NY 10065","CB8","CD4","200000.00","10065","Manhattan","40.768973","-73.965367","120","1081419","1014030001","Upper East Side-Carnegie Hill                                              "
"International High School at Union Square","Classroom Technology Upgrades - Laptop Carts","40 Irving Place, New York, NY 10003","CB6","CD2","100000.00","10003","Manhattan","40.735494","-73.987659","50","1017828","1008720057","Gramercy                                                                   "
"Intrepid Museum Foundation","Pier 86: Replacement of Final Segment","One Intrepid Plaza, West 46th Street 12 Avenue, 10036","CB4","CD3","100000.00","10036","Manhattan",,,,,,
"Inwood Early College High School","1:1 Project","650 Academy Street, 4th floor, New York, NY,
10034","CB12","CD10","107000.00","10034","Manhattan","40.866053","-73.924835","291","1076776","1022330020","Marble Hill-Inwood                                                         "
"IS 528 Bea Fuller Rodgers Intermediate
School","Gymnasium","180 Wadworth Avenue, New York, NY 10033","CB12","CD10","200000.00","10033","Manhattan",,,,,,
"IS289 Hudson River Middle School","Classroom Technology Upgrades","201 Warren Street, New York, NY 10282","CB1","CD1","100000.00","10282","Manhattan","40.716668","-74.013542","31703","1085568","1000160220","Battery Park City-Lower Manhattan                                          "
"Japan Society, Inc.","HVAC Project","333 East 47th
Street, 10017","CB6","CD4","100000.00","10017","Manhattan","40.752645","-73.969054","90","1038908","1013400016","Turtle Bay-East Midtown                                                    "
"Jazz at Lincoln Center, Inc.","Technology Request","3 Columbus Circle,
10019","CB7","CD3","40000.00","10019","Manhattan","40.766846","-73.981964","137","1024900","1010297501","Midtown-Midtown South                                                      "
"Jewish Board of Family and Children's Services","Vehicle- Riveredge","600 East 125th Street (Vehicle Parking)","CB11","CD8","36000.00",,"Manhattan","40.789591","-73.929973","240","1085876","1018190010","park-cemetery-etc-Manhattan                                                "
"John Jay College of Criminal Justice","IT Server and Storage Upgrades","524 West 59th Street, New York, New York, 10019","CB4","CD6","200000.00","10019","Manhattan","40.770794","-73.988534","147","1027084","1010870005","Lincoln Square                                                             "
"Joseph Daniel Wilson Garden","Site Acquisition","219 West 122nd Street, New York, NY 10027","CB10","CD9","300000.00","10027","Manhattan","40.807407","-73.950588","222","1000000","1019280023","Central Harlem South                                                       "
"Kips Bay Neighborhood Association Inc.","KBK9 Dog Run within Bellevue South Park (aka Kips Bay Park)","E. 26-E. 28th
Streets, Mt. Carmel Pl, New York, NY, 10016","CB6","CD2","150000.00","10016","Manhattan",,,,,,
"La MaMa Experimental Theatre Club, Inc.","Renovation of 74A East 4th Street","74A East 4th Street 10003","CB3","CD2","250000.00","10003","Manhattan","40.726494","-73.990169","38",,,"East Village                                                               "
"Landmark High School","Classroom Technology Upgrades","351 W. 18th
Street, New York, NY 10011","CB4","CD3","80000.00","10011","Manhattan","40.742867","-74.002136","89","1013096","1007420007","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"Leadership and Public Service High School","Library Upgrade","90 Trinity Place, 13th Floor, New York, NY 10006","CB1","CD1","100000.00","10006","Manhattan","40.70873","-74.012332","13","1001035","1000510015","Battery Park City-Lower Manhattan                                          "
"Liberty High School Academy for
Newcomers","Literacy Center/Publishing
Hub/Library","250 W. 18th
Street, New York, NY, 10011","CB4","CD3","250000.00","10011","Manhattan","40.741657","-73.999307","81","1013858","1007670068","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"Lower East Side Tenement Museum","97 Orchard St. Preservation/ Restoration","91 Orchard Street,
10002","CB3","CD1","200000.00","10002","Manhattan","40.718252","-73.990181","18","1079706","1004140059","Chinatown                                                                  "
"Lower Manhattan Cultural Council,
Inc.","LMCCs Renovation of Building 110 at GI","125 Maiden Lane, 2nd Floor,","CB1","CD1","200000.00",,"Manhattan","40.706397","-74.006341","1502","1087484","1000707501","Battery Park City-Lower Manhattan                                          "
"Mabou Mines
Development Foundation","Initial Outfitting - New Theater","150 First Avenue
10009","CB3","CD2","51000.00","10009","Manhattan","40.728261","-73.984785","34","1005894","1004370001","East Village                                                               "
"Madison Square Park","Eternal Light Flagstaff Renovation","24th Street and Fifth Avenue, New York, NY, 10010","CB5","CD2","200000.00","10010","Manhattan",,,,,,
"Manhattan Bridges High School","A+ STEM Labs/Carts","525 W. 50th St.
New York, NY
10019","CB4","CD3","100000.00","10019","Manhattan","40.765184","-73.992953","135","1083802","1010790029","Clinton                                                                    "
"Manhattan Class Company, Inc","MCC Theater Moveable Equipment","231 West 29th
Street, Suite 303,
10001","CB4 (CB5)","CD3","425000.00","10001","Manhattan","40.748299","-73.993937","95","1014283","1007790017","Midtown-Midtown South                                                      "
"Manhattan Early College School for
Advertising","Fitness Center Renovation","411 Pearl Street,
NY, NY 10038","CB1","CD1","150000.00","10038","Manhattan","40.711442","-74.000851","29","1001388","1001130100","Chinatown                                                                  "
"Manhattan Hunter Science High School","MLK Greenhouse","MLK Campus 122 Amsterdam Avenue, New york,
NY 10023","CB7","CD6","150000.00","10023","Manhattan","40.774351","-73.984753","151","1030343","1011570025","Lincoln Square                                                             "
"Manhattan Theatre Club","Public WiFi System","311 West 43rd Street, 8th Floor, 10036","CB5 (CB4)","CD3","100000.00","10036","Manhattan","40.75818","-73.989922","121","1024965","1010340022","Clinton                                                                    "
"Marta Valle High School","Marta Valle Culinary Arts Program","145 Stanton Street, New York,
NY 10002","CB1","CD1","150000.00","10002","Manhattan","40.720581","-73.985645","3001","1004323","1003540080","Chinatown                                                                  "
"Matthew P. Sapolin Park","Playground Renovations","270 West 70th Street, New York, NY 10023","CB7","CD6","50000.00","10023","Manhattan","40.778059","-73.984449","155","1030351","1011580040","Lincoln Square                                                             "
"MFY Legal Services, Inc.","MFY Infrastructure Network Project","299 Broadway","CB1","CD1","141000.00",,"Manhattan","40.715046","-74.005591","33","1001648","1001500031","SoHo-TriBeCa-Civic Center-Little Italy                                     "
"Millennium High School","Library Partition Wall","75 Broad Street, 12th floor, New York, NY 10004","CB1","CD1","350000.00","10004","Manhattan","40.704487","-74.011556","9","1000849","1000290070","Battery Park City-Lower Manhattan                                          "
"Morningside Park","Playground Reconstruction Project","West 117th Street
& Morningside Ave.","CB10","CD7","500000.00",,"Manhattan",,,,,,
"Mosaic Preparatory
Academy","“A+ MOBILE STEM LABS”","141 East 111 Street, New York,
NY 10029","CB11","CD8","100000.00","10029","Manhattan","40.79564","-73.94441","172","1081346","1016390003","East Harlem South                                                          "
"Mott Hall II","Classroom Technology Upgrade","234 West 109th Street, New York, NY 10025","CB7","CD7","120000.00","10025","Manhattan","40.802917","-73.965613","195","1056676","1018800013","Morningside Heights                                                        "
"MS 114 East Side Middle School","Classroom Technology Upgrades","331 E 91st St, New York, NY 10128","CB8","CD5","100000.00","10128","Manhattan","40.780706","-73.948553","154","1081267","1015540032","Yorkville                                                                  "
"MS 131","Advancing Arts & Community through Multimedia Technology
in Our Common","100 Hester Street New York, NY 10002","CB3","CD1","100000.00","10002","Manhattan","40.716553","-73.993092","16","1082489","1003010003","Chinatown                                                                  "
"MS 322","Classroom Technology Upgrades","4600 Broadway, New York, NY
10040","CB12","CD10","100000.00","10040","Manhattan","40.86079","-73.930672","285","1076756","1021720016","Washington Heights North                                                   "
"MS 324","Bathroom and Technology Upgrade","21 Jumel Place,
New York, NY, 10032","CB12","CD10","148000.00","10032","Manhattan","40.839305","-73.936159","249","1076741","1021120058","Washington Heights South                                                   "
"MS 54 Booker T Washington","Classroom Technology Upgrade","103 W. 107th
Street, New York, NY, 10025","CB7","CD7","100000.00","10025","Manhattan","40.800119","-73.962837","193","1055990","1018620011","Morningside Heights                                                        "
"MS177 Yorkville East Middle School","Classroom Technology Upgrades","1458 York Ave., New York, NY
10075","CB8","CD5","100000.00","10075","Manhattan","40.770419","-73.951135","132","1046411","1014890001","Lenox Hill-Roosevelt Island                                                "
"Murray Hill Academy","Classroom Technology Upgrades","111 East 33rd Street 8th Floor NY, NY 10016","CB5","CD2","100000.00","10016","Manhattan","40.746176","-73.981241","72","1087537","1008897501","Murray Hill-Kips Bay                                                       "
"Museum of Chinese in America","Recording Studio - A/V System","215 Centre Street,
10013","CB2","CD1","69000.00","10013","Manhattan","40.719383","-73.998867","45","1003058","1002340017","SoHo-TriBeCa-Civic Center-Little Italy                                     "
"Museum of Jewish Heritage -- A Living Memorial to the
  Holocaust                                                                                                                                                                       ","Revitalizing MJHs Core Exhibition","36 Battery Place,
10280","CB1","CD1","250000.00","10280","Manhattan","40.705806","-74.018019","31704","1084594","1000160010","Battery Park City-Lower Manhattan                                          "
"Museum of the City of New York.","Telephone system replacement","1220 Fifth Avenue,
10029","CB11","CD8","59000.00","10029","Manhattan","40.792438","-73.952448","168","1074157","1016090001","East Harlem South                                                          "
"New Explorations
into Science, Technology & Math","Classroom Technology Upgrades","111 Columbia
Street, NY, NY, 10002","CB3","CD2","100000.00","10002","Manhattan","40.718895","-73.979308","2201","1004070","1003350001","Lower East Side                                                            "
"New Group, Inc.","The New Group at The Lucille Lortel Theatre","410 West 42nd
Street, 10036","CB4","CD3","250000.00","10036","Manhattan","40.758652","-73.993185","115","1026330","1010510029","Clinton                                                                    "
"New York City Center","Masonry and Roof O","130 West 56th
Street 10019","CB5","CD4","264000.00","10019","Manhattan","40.764151","-73.978889","137","1023391","1010080015","Midtown-Midtown South                                                      "
"New York Live Arts, Inc.","Live Arts Lobby Renovation","219 West 19th
Street, 10011","CB4","CD3","150000.00","10011","Manhattan","40.741983","-73.998221","87","1013977","1007697506","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"New York Restoration Project","Rodale Pleasant Park Community Garden","437 East 114th Street","CB5","CD8","292000.00",,"Manhattan","40.794109","-73.934909","178","1089064","1017080020","East Harlem North                                                          "
"New York Shakespeare Festival","Artist Rehearsal and New Work Development","440 Lafayette
Street 10003","CB2","CD2","300000.00","10003","Manhattan","40.729327","-73.991907","57","1088676","1005450026","West Village                                                               "
"New York Theatre Workshop","Theatrical Lighting System","83 East 4th Street 10003","CB3","CD2","42000.00","10003","Manhattan","40.726423","-73.989956","38","1006600","1004600045","East Village                                                               "
