"houseofworship","streetaddress","city","state","postcode","entrydate","permitnumber","dateissue","dateexpiry","permitstatus","permittype","borough","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta","geocoded_column"
"Antioch Baptist Church","828 Greene Avenue","Brooklyn","NY","11221","2008-04-25T00:00:00.000","2022-7468","2022-06-10T00:00:00.000","2023-05-31T00:00:00.000","Active","Renew","3","40.690248","-73.935032","3","36","291","3044038","3016200025","Stuyvesant Heights","POINT (-73.935032 40.690248)"
"Antioch Baptist Church","107-14 Pinegrove Street","Jamaica","NY","11435","2011-03-03T00:00:00.000","2022-7309","2022-03-04T00:00:00.000","2023-03-31T00:00:00.000","Active","Renew","4","40.690143","-73.805374","12","28","198","4448845","4100720010","South Jamaica","POINT (-73.805374 40.690143)"
"Apostolic Faith Church Mission","265 Lafayette Avenue","Brooklyn","NY","11238","2010-10-02T00:00:00.000","2021-7036","2021-10-01T00:00:00.000","2022-10-31T00:00:00.000","Active","Renew","3","40.688236","-73.965669","2","35","197","3055341","3019320001","Clinton Hill","POINT (-73.965669 40.688236)"
"Apostolic Gospel Church of Christ Inc","99-105 Chester Street","Brooklyn","NY","11212","2010-01-20T00:00:00.000","2021-6860","2021-06-18T00:00:00.000","2022-06-30T00:00:00.000","Active","Renew","3","40.669032","-73.911521","16","41","924","3326591","3035210033","Brownsville","POINT (-73.911521 40.669032)"
"Assafa Islamic Center Inc .","172 Eldridge Street","New York","NY","10002","2016-10-02T00:00:00.000","2022-7187","2022-01-05T00:00:00.000","2023-01-31T00:00:00.000","Active","Renew","1","40.720211","-73.990902","3","1","18","1089458","1004150010","Chinatown","POINT (-73.990902 40.720211)"
"Ateret Torah Center","901 Quentin Road","Brooklyn","NY","11223","2008-04-25T00:00:00.000","2022-7239","2022-02-02T00:00:00.000","2023-02-28T00:00:00.000","Active","Renew","3","40.607654","-73.963755","15","44","420","3176271","3066410038","Homecrest","POINT (-73.963755 40.607654)"
"Battalion Pentecostal Assembly","454 Beach 67th Street","Arverne","NY","11692","2008-04-28T00:00:00.000","2021-6945","2021-07-30T00:00:00.000","2022-08-31T00:00:00.000","Active","Renew","4","40.593999","-73.796263","14","31","964","4438906","4160400024","Hammels-Arverne-Edgemere","POINT (-73.796263 40.593999)"
"Bay Ridge Spanish SDA Church","5318 4th Avenue","Brooklyn","NY","11220","2021-10-22T00:00:00.000","2022-7318","2022-03-09T00:00:00.000","2023-03-31T00:00:00.000","Active","Renew","3","40.644639","-74.014493","7","38","76","3014204","3008140043","Sunset Park West","POINT (-74.014493 40.644639)"
"Bedford Central Presbyterian Church","1200 Dean Street","Brooklyn","NY","11216","2008-04-28T00:00:00.000","2021-7135","2021-11-23T00:00:00.000","2022-11-30T00:00:00.000","Active","Renew","3","40.676836","-73.949271","8","36","315","3030357","3012130005","Crown Heights North","POINT (-73.949271 40.676836)"
"Bethany Baptist Church","460 Marcus Garvey Blvd.","Brooklyn","NY","11216","2018-09-25T00:00:00.000","2021-6998","2021-09-09T00:00:00.000","2022-08-31T00:00:00.000","Active","Renew","3","40.681137","-73.937687","3","36","273","3053589","3018560041","Stuyvesant Heights","POINT (-73.937687 40.681137)"
"Bethany French Baptist Church","471 Elmont Rd.","Elmont","NY","11003","2008-04-29T00:00:00.000","2021-6907","2021-07-02T00:00:00.000","2022-07-31T00:00:00.000","Active","Renew",,,,,,,,,,
"Beth Chana","712 Bedford Avenue","Brooklyn","NY","11206","2013-05-28T00:00:00.000","2022-7242","2022-02-03T00:00:00.000","2023-02-28T00:00:00.000","Active","Renew","3","40.699547","-73.957145","1","33","537","3392365","3022620024","Williamsburg","POINT (-73.957145 40.699547)"
"Bethel Assembly Of God","128 - 18  115th Avenue","S. Ozone Park","NY","11420","2008-04-30T00:00:00.000","2021-7148","2021-12-02T00:00:00.000","2022-11-30T00:00:00.000","Active","Renew","4","40.679292","-73.811549","10","28","176","4574874","4116720008","South Ozone Park","POINT (-73.811549 40.679292)"
"Bethel Assembly Of God","77 Eldridge Street","New York","NY","10002","2008-04-30T00:00:00.000","2022-7203","2022-01-06T00:00:00.000","2023-01-31T00:00:00.000","Active","Renew","1","40.716989","-73.992572","3","1","16","1003966","1003060030","Chinatown","POINT (-73.992572 40.716989)"
"Bethelite Community Baptist Church","38 West 123rd Street","New York","NY","10027","2013-06-24T00:00:00.000","2022-7456","2022-06-03T00:00:00.000","2023-06-30T00:00:00.000","Active","Renew","1","40.80603","-73.945434","10","9","200","1053413","1017210031","Central Harlem South","POINT (-73.945434 40.80603)"
"Bethel Tabernacle AME Church","90 Schenectady Ave.","Brooklyn","NY","11213","2018-09-20T00:00:00.000","2021-7103","2021-11-03T00:00:00.000","2022-09-30T00:00:00.000","Active","Renew","3","40.676221","-73.933214","8","36","309","3035672","3013410044","Crown Heights North","POINT (-73.933214 40.676221)"
"Bethenia Baptist Church","720 Hancock Street","Brooklyn","NY","11233","2008-05-01T00:00:00.000","2022-7198","2022-01-06T00:00:00.000","2023-01-31T00:00:00.000","Active","Renew","3","40.68522","-73.926596","3","36","383","3330960","3016620044","Stuyvesant Heights","POINT (-73.926596 40.68522)"
"Beth Gavriel Bukharian Congregation","66-35 108th Street","Forest Hills","NY","11375","2010-01-22T00:00:00.000","2022-7410","2022-05-10T00:00:00.000","2023-03-31T00:00:00.000","Active","Renew","4","40.729471","-73.847809","6","29","741","4051845","4021750001","Forest Hills","POINT (-73.847809 40.729471)"
"Beth Hamedrash Shaarei Yosher","4102 16th Ave","Brooklyn","NY","11204","2010-02-08T00:00:00.000","2022-7425","2022-05-24T00:00:00.000","2023-06-30T00:00:00.000","Active","Renew","3","40.635449","-73.98093","12","39","230","3125720","3053630042","Borough Park","POINT (-73.98093 40.635449)"
"Beth Hamedrosh Anshei Hrubishov","691 Crown Street","Brooklyn","NY","11213","2014-02-27T00:00:00.000","2021-7116","2021-11-12T00:00:00.000","2022-07-31T00:00:00.000","Active","Replace","3","40.665438","-73.93515","9","35","353","3038079","3014130055","Crown Heights North","POINT (-73.93515 40.665438)"
"Bethlehem Church Of God In Christ, Inc.","163-17 107th Avenue","Jamaica","NY","11433","2014-12-08T00:00:00.000","2022-7307","2022-03-03T00:00:00.000","2023-03-31T00:00:00.000","Active","Renew","4","40.69825","-73.792194","12","27","254","4216294","4101610037","South Jamaica","POINT (-73.792194 40.69825)"
"Bethlehem Missionary Church Inc","218-38 98 Avenue","Queens Village","NY","11429","2008-05-01T00:00:00.000","2022-7378","2022-04-14T00:00:00.000","2023-04-30T00:00:00.000","Active","Renew","4","40.71638","-73.736314","13","27","568","4230859","4107690024","Queens Village","POINT (-73.736314 40.71638)"
"Bhavaannee Maa Mandir, Inc.","239 Mckinley Avenue","Brooklyn","NY","11208","2010-04-23T00:00:00.000","2022-7270","2022-02-14T00:00:00.000","2023-02-28T00:00:00.000","Active","Renew","3","40.680492","-73.867127","5","37","1186","3000000","3041740001","Cypress Hills-City Line","POINT (-73.867127 40.680492)"
"Bibleway House Of Blessings","675 Franklin Avenue","Brooklyn","NY","11238","2016-03-18T00:00:00.000","2022-7316","2022-03-08T00:00:00.000","2023-03-31T00:00:00.000","Active","Renew","3","40.675464","-73.956223","8","35","221","3030860","3012240005","Crown Heights North","POINT (-73.956223 40.675464)"
"Bnei Aram Soba","1616 Ocean Parkway","Brooklyn","NY","11223","2011-04-01T00:00:00.000","2022-7370","2022-04-11T00:00:00.000","2023-04-30T00:00:00.000","Active","Renew","3","40.609151","-73.967647","15","44","422","3176091","3066370012","Homecrest","POINT (-73.967647 40.609151)"
"Bnei Binyamin","727 Avenue O","Brooklyn","NY","11230","2014-01-27T00:00:00.000","2022-7459","2022-06-07T00:00:00.000","2023-06-30T00:00:00.000","Active","Renew","3","40.612156","-73.966421","12","44","442","3173891","3065890050","Ocean Parkway South","POINT (-73.966421 40.612156)"
"Bnei Binyamin","1938 Coney Island Avenue","Brooklyn","NY","11230","2022-06-07T00:00:00.000","2022-7460","2022-06-07T00:00:00.000","2023-06-30T00:00:00.000","Active","New","3","40.610406","-73.962468","12","44","420","3175215","3066170045","Homecrest","POINT (-73.962468 40.610406)"
"Bodhisattva Wish Temple","131-29 31st ave 2fl","flushing","NY","11354","2021-10-08T00:00:00.000","2022-7230","2022-01-20T00:00:00.000","2022-11-30T00:00:00.000","Active","Renew","4","40.769218","-73.838115","7","19","907","4442073","4043610027","College Point","POINT (-73.838115 40.769218)"
"Bosansko Hercegovacki Islamic Center of NY","37-46 Crescent Street","Long Island Cit","NY","11101","2016-11-17T00:00:00.000","2022-7208","2022-01-06T00:00:00.000","2023-01-31T00:00:00.000","Active","Renew","4","40.756397","-73.935199","1","26","33","4004447","4003670042","Queensbridge-Ravenswood-Long Island City","POINT (-73.935199 40.756397)"
"Bronx Church Of God","987 Washington Avenue","Bronx","NY","10456","2016-03-31T00:00:00.000","2022-7383","2022-04-25T00:00:00.000","2023-04-30T00:00:00.000","Active","Renew","2","40.825951","-73.909874","3","17","185","2001553","2023860056","Morrisania-Melrose","POINT (-73.909874 40.825951)"
"Bronx Full Gospel Tabernacle Inc","4221 Park Avenue","Bronx","NY","10457","2010-11-01T00:00:00.000","2021-7122","2021-11-23T00:00:00.000","2022-11-30T00:00:00.000","Active","Renew","2","40.847984","-73.899156","6","15","379","2011095","2030270041","Mount Hope","POINT (-73.899156 40.847984)"
"Brooklyn Baptist Church","733 44th Street","Brooklyn","NY","11220","2013-03-19T00:00:00.000","2022-7361","2022-04-05T00:00:00.000","2023-04-30T00:00:00.000","Active","Renew","3","40.645258","-74.001485","7","38","92","3011043","3007320065","Sunset Park East","POINT (-74.001485 40.645258)"
"Brooklyn Chinese Baptist Church","5123 7th  Avenue","Brooklyn","NY","11220","2010-04-23T00:00:00.000","2021-7160","2021-12-03T00:00:00.000","2022-12-31T00:00:00.000","Active","Renew","3","40.641708","-74.006666","7","38","108","3013726","3008020001","Sunset Park East","POINT (-74.006666 40.641708)"
"Brooklyn Heights Synagogue","131 Remsen Street","Brooklyn","NY","11201","2014-01-08T00:00:00.000","2022-7274","2022-02-17T00:00:00.000","2023-02-28T00:00:00.000","Active","Replace","3","40.693769","-73.993307","2","33","502","3002069","3002490006","Brooklyn Heights-Cobble Hill","POINT (-73.993307 40.693769)"
"Brooklyn Miracle Temple","333 Rogers Avenue","Brooklyn","NY","11225","2008-05-05T00:00:00.000","2021-7012","2021-09-14T00:00:00.000","2022-09-30T00:00:00.000","Active","Renew","3","40.665112","-73.953717","9","35","321","3330690","3013050005","Crown Heights South","POINT (-73.953717 40.665112)"
"Butler Memorial United Methodist Church","3920 Paulding Ave","Bronx","NY","10469","2016-10-03T00:00:00.000","2021-6898","2021-07-01T00:00:00.000","2022-07-31T00:00:00.000","Active","Renew","2","40.883616","-73.852852","12","12","398","2064836","2048690031","Williamsbridge-Olinville","POINT (-73.852852 40.883616)"
"Calvary Assembly of God","102-07 Rockaway Boulevard","Ozone Park","NY","11417","2008-04-28T00:00:00.000","2021-7130","2021-11-23T00:00:00.000","2022-11-30T00:00:00.000","Active","Renew","4","40.679703","-73.837608","10","32","94","4438644","4095250040","South Ozone Park","POINT (-73.837608 40.679703)"
"Calvary Community Church Inc.","1496 St. Johns Place","Brooklyn","NY","11233","2011-08-22T00:00:00.000","2021-7007","2021-09-10T00:00:00.000","2022-08-31T00:00:00.000","Active","Renew","3","40.670455","-73.928764","8","41","349","3037117","3013850035","Crown Heights North","POINT (-73.928764 40.670455)"
"Calvary Pentecostal Church Inc","151 Woodruff Ave","Brooklyn","NY","11226","2016-05-12T00:00:00.000","2021-6955","2021-08-02T00:00:00.000","2022-08-31T00:00:00.000","Active","Renew","3","40.654328","-73.961131","14","40","50803","3115939","3050540062","Flatbush","POINT (-73.961131 40.654328)"
"Central Presbyterian Church","593 Park Avenue","New York","NY","10021","2008-04-28T00:00:00.000","2022-7221","2022-01-12T00:00:00.000","2022-11-30T00:00:00.000","Active","Renew","1","40.765795","-73.967683","8","4","120","1042124","1013980072","Upper East Side-Carnegie Hill","POINT (-73.967683 40.765795)"
"Central Synagogue","652 Lexington Avenue","New York","NY","10022","2010-04-23T00:00:00.000","2022-7339","2022-03-22T00:00:00.000","2023-02-28T00:00:00.000","Active","Renew","1","40.759485","-73.970195","5","4","100","1036488","1013090056","Turtle Bay-East Midtown","POINT (-73.970195 40.759485)"
"Centro Cristiano Familia De Fe Inc","97-18 148th Street","Jamaica","NY","11435","2021-09-15T00:00:00.000","2021-7082","2021-10-22T00:00:00.000","2022-10-31T00:00:00.000","Active","New","4","40.697716","-73.804082","12","28","208","4214615","4100320013","Jamaica","POINT (-73.804082 40.697716)"
"Chabad House Bowery","353 Bowery","New York","NY","10003","2020-09-27T00:00:00.000","2022-7406","2022-05-03T00:00:00.000","2022-12-31T00:00:00.000","Active","Renew","1","40.726686","-73.99168","3","2","38","1006566","1004597502","East Village","POINT (-73.99168 40.726686)"
"Charity Baptist Church of Christ","142 Watkins Street","Brooklyn","NY","11212","2019-09-18T00:00:00.000","2021-7076","2021-10-18T00:00:00.000","2022-10-31T00:00:00.000","Active","Renew","3","40.669443","-73.907811","16","41","906","3081108","3035240023","Brownsville","POINT (-73.907811 40.669443)"
"Chinese Christian Herald Crusades","156-03 Horace Harding Expy.","Flushing","NY","11367","2008-04-28T00:00:00.000","2021-7038","2021-10-01T00:00:00.000","2022-10-31T00:00:00.000","Active","Renew","4","40.738948","-73.812113","7","20","1215","4146290","4067340001","Queensboro Hill","POINT (-73.812113 40.738948)"
"Chinese Conservative Baptist Church","103 Madison Street","New York","NY","10002","2008-04-29T00:00:00.000","2022-7199","2022-01-06T00:00:00.000","2023-01-31T00:00:00.000","Active","Renew","1","40.712233","-73.995278","3","1","8","1003335","1002770015","Chinatown","POINT (-73.995278 40.712233)"
"Chinese Evangel Mission Church","31 Monroe Street, 1st Floor","New York","NY","10002","2021-11-24T00:00:00.000","2021-7141","2021-11-24T00:00:00.000","2022-11-30T00:00:00.000","Active","New","1","40.711538","-73.994968","3","1","8","1088682","1002767503","Chinatown","POINT (-73.994968 40.711538)"
"Chinese Evangel Mission Church","97 Madison Street","New York","NY","10002","2011-06-17T00:00:00.000","2021-7088","2021-10-27T00:00:00.000","2022-08-31T00:00:00.000","Active","Replace","1","40.712214","-73.995506","3","1","8","1003334","1002770012","Chinatown","POINT (-73.995506 40.712214)"
"Chinese Evangel Mission Church of Queens","203-10 Rocky Hill Road","Bayside","NY","11361","2009-11-20T00:00:00.000","2022-7416","2022-05-16T00:00:00.000","2023-05-31T00:00:00.000","Active","Renew","4","40.753282","-73.777145","11","20","145102","4157908","4073550076","Bayside-Bayside Hills","POINT (-73.777145 40.753282)"
"Chinese for Christ New York Church","142-21 Franklin Avenue","Flushing","NY","11355","2008-04-29T00:00:00.000","2021-7144","2021-11-26T00:00:00.000","2022-12-31T00:00:00.000","Active","Renew","4","40.756537","-73.823108","7","20","857","4441214","4051810056","Flushing","POINT (-73.823108 40.756537)"
"Chinese Missionary Baptist Church of New York Inc.","136 Henry Street","New York","NY","10002","2011-12-20T00:00:00.000","2022-7292","2022-03-03T00:00:00.000","2023-03-31T00:00:00.000","Active","Renew","1","40.713319","-73.990784","3","1","6","1003262","1002730031","Lower East Side","POINT (-73.990784 40.713319)"
"Chinese Promise Baptist Church","842 41st Street","Brooklyn","NY","11232","2014-07-10T00:00:00.000","2021-6908","2021-07-02T00:00:00.000","2022-07-31T00:00:00.000","Active","Renew","3","40.645554","-73.997481","12","38","92","3018229","3009230024","Sunset Park East","POINT (-73.997481 40.645554)"
"Chinese United Methodist Church","69 Madison Street","New York","NY","10002","2008-04-29T00:00:00.000","2022-7216","2022-01-10T00:00:00.000","2023-01-31T00:00:00.000","Active","Renew","1","40.712115","-73.996562","3","1","8","1079617","1002770056","Chinatown","POINT (-73.996562 40.712115)"
"Chosen Generation Ministry","220 Sullian Place","Brooklyn","NY","11225","2020-10-06T00:00:00.000","2021-7037","2021-10-01T00:00:00.000","2022-10-31T00:00:00.000","Active","Renew",,,,,,,,,,
"Christ Apostolic Church WOSEM","442 East 183rd Street","Bronx","NY","10458","2015-04-07T00:00:00.000","2022-7382","2022-04-25T00:00:00.000","2023-04-30T00:00:00.000","Active","Renew","2","40.85566","-73.894152","6","15","385","2011334","2030380016","Claremont-Bathgate","POINT (-73.894152 40.85566)"
"Christian Church John 3:16","102-07 43rd Avenue","Corona","NY","11368","2008-04-29T00:00:00.000","2021-7120","2021-11-22T00:00:00.000","2022-11-30T00:00:00.000","Active","Renew","4","40.747267","-73.862518","4","21","405","4048572","4019770004","North Corona","POINT (-73.862518 40.747267)"
"Christian Church John 3:16 of Brooklyn Inc.","127 Carlton Ave","Brooklyn","NY","11205","2021-11-24T00:00:00.000","2021-7142","2021-11-24T00:00:00.000","2022-11-30T00:00:00.000","Active","Renew","3","40.693952","-73.973062","2","35","18501","3058041","3020440006","Fort Greene","POINT (-73.973062 40.693952)"
"Christian Church Of Christ The King Is Coming","2414 Valentine Avenue","Bronx","NY","10458","2015-04-07T00:00:00.000","2022-7455","2022-06-02T00:00:00.000","2022-12-31T00:00:00.000","Active","Renew","2","40.859639","-73.896984","5","15","39902","2013455","2031470016","Bedford Park-Fordham North","POINT (-73.896984 40.859639)"
"Christian Ministry of Family Integration Inc.","1875 Amsterdam ave.","New York","NY","10031","2016-05-23T00:00:00.000","2021-6965","2021-08-26T00:00:00.000","2022-07-31T00:00:00.000","Active","Renew","1","40.830106","-73.94403","9","7","23501","1061642","1020670063","Hamilton Heights","POINT (-73.94403 40.830106)"
"Christian Testimony Church","87-11 Whitney Ave.","Elmhurst","NY","11373","2019-03-13T00:00:00.000","2022-7472","2022-06-13T00:00:00.000","2023-06-30T00:00:00.000","Active","Renew","4","40.742679","-73.878017","4","25","469","4038995","4015590028","Elmhurst","POINT (-73.878017 40.742679)"
"Christ & Saint Stephen's Church","122 West 69th Street","New York","NY","10023","2011-11-03T00:00:00.000","2021-7156","2021-12-03T00:00:00.000","2022-12-31T00:00:00.000","Active","Renew","1","40.77578","-73.980929","7","6","153","1028947","1011400041","Lincoln Square","POINT (-73.980929 40.77578)"
"Christ Temple Of The Apostolic Faith Inc.","13-17 West 128th Street","New York","NY","10027","2016-04-22T00:00:00.000","2021-6872","2021-06-18T00:00:00.000","2022-06-30T00:00:00.000","Active","Renew","1","40.808655","-73.941592","10","9","208","1076429","1017260044","Central Harlem North-Polo Grounds","POINT (-73.941592 40.808655)"
"Christ United Methodist Church","673 45th Street","Brooklyn","NY","11220","2012-03-05T00:00:00.000","2022-7288","2022-03-03T00:00:00.000","2023-03-31T00:00:00.000","Active","Renew","3","40.645699","-74.003733","7","38","96","3332045","3007400043","Sunset Park East","POINT (-74.003733 40.645699)"
"Church Of Abiding Presence","1672 East 172nd Street","Bronx","NY","10472","2014-07-22T00:00:00.000","2021-6934","2021-07-30T00:00:00.000","2022-07-31T00:00:00.000","Active","Renew","2","40.832099","-73.872606","9","18","64","2025420","2037800029","West Farms-Bronx River","POINT (-73.872606 40.832099)"
"Church Of Christ Hollis","214-11 Jamaica Avenue","Queens Village","NY","11428","2014-11-09T00:00:00.000","2021-6913","2021-07-06T00:00:00.000","2022-07-31T00:00:00.000","Active","Renew","4","40.716479","-73.743442","13","23","542","4226194","4106040030","Queens Village","POINT (-73.743442 40.716479)"
"Church of God Inc","3917 Church Avenue","Brooklyn","NY","11203","2014-12-22T00:00:00.000","2022-7222","2022-01-12T00:00:00.000","2023-01-31T00:00:00.000","Active","Renew","3","40.651251","-73.940714","17","41","814","3327748","3048760035","East Flatbush-Farragut","POINT (-73.940714 40.651251)"
"Church Of God In Christ Jesus ND, Inc.","476 Kosciuszko Street","Brooklyn","NY","11221","2010-04-23T00:00:00.000","2021-6971","2021-08-26T00:00:00.000","2022-08-31T00:00:00.000","Active","Renew","3","40.69248","-73.935163","3","36","289","3043404","3016060028","Stuyvesant Heights","POINT (-73.935163 40.69248)"
"Church of God Mission Board","636 East 6th Street","New York","NY","10009","2015-12-11T00:00:00.000","2022-7418","2022-05-16T00:00:00.000","2023-05-31T00:00:00.000","Active","New","1","40.723866","-73.980161","3","2","2601","1004654","1003870127","Lower East Side","POINT (-73.980161 40.723866)"
"Church of God of Prophecy","1243 Bushwick Avenue","Brooklyn","NY","11221","2008-05-01T00:00:00.000","2021-6996","2021-09-01T00:00:00.000","2022-09-30T00:00:00.000","Active","Renew","3","40.687578","-73.914749","4","37","399","3078191","3033950001","Bushwick South","POINT (-73.914749 40.687578)"
"Church of God of Prophecy All Nations","856 Clarkson Avenue","Brooklyn","NY","11203","2008-05-01T00:00:00.000","2021-6990","2021-09-01T00:00:00.000","2022-09-30T00:00:00.000","Active","Renew","3","40.656687","-73.929695","17","41","868","3100851","3046380002","Rugby-Remsen Village","POINT (-73.929695 40.656687)"
"Church of God of Woodycrest Avenue","923 Woodycrest Avenue","Bronx","NY","10452","2019-09-18T00:00:00.000","2021-7139","2021-11-23T00:00:00.000","2022-11-30T00:00:00.000","Active","Renew","2","40.830811","-73.929417","4","8","189","2003180","2025110040","Highbridge","POINT (-73.929417 40.830811)"
"Church of Grace to Fujianese","133-135 Allen Street","New York","NY","10002","2011-10-27T00:00:00.000","2021-7086","2021-10-27T00:00:00.000","2022-10-31T00:00:00.000","Active","Renew","1","40.720006","-73.989971","3","1","18","1005489","1004150027","Chinatown","POINT (-73.989971 40.720006)"
"Church of Grace to Fujianese","5212 6th Avenue","Brooklyn","NY","11220","2015-01-21T00:00:00.000","2022-7338","2022-03-22T00:00:00.000","2023-03-31T00:00:00.000","Active","Renew","3","40.642532","-74.009426","7","38","100","3391500","3008080040","Sunset Park East","POINT (-74.009426 40.642532)"
"Church of Notre Dame","405 West 114th Street","New York","NY","10025","2011-09-22T00:00:00.000","2021-7091","2021-10-28T00:00:00.000","2022-10-31T00:00:00.000","Active","Renew","1","40.804858","-73.960415","9","7","20101","1056038","1018670014","Morningside Heights","POINT (-73.960415 40.804858)"
"Church of Our Saviour","59 Park Avenue","New York","NY","10016","2017-11-02T00:00:00.000","2021-7185","2021-12-15T00:00:00.000","2022-12-31T00:00:00.000","Active","Renew","1","40.749346","-73.979681","6","4","80","1019119","1008930092","Murray Hill-Kips Bay","POINT (-73.979681 40.749346)"
"Church Of Promise In Christ Inc.","474 Kosciuszko Street","Brooklyn","NY","11221","2011-08-29T00:00:00.000","2021-7039","2021-10-01T00:00:00.000","2022-10-31T00:00:00.000","Active","Renew","3","40.692471","-73.935225","3","36","289","3043403","3016060026","Stuyvesant Heights","POINT (-73.935225 40.692471)"
"Church of Sacred Heart of Jesus","457 West 51st  Street","New York","NY","10019","2022-03-18T00:00:00.000","2022-7421","2022-05-20T00:00:00.000","2023-05-31T00:00:00.000","Active","Renew","1","40.764778","-73.990051","4","3","133","1026715","1010610007","Clinton","POINT (-73.990051 40.764778)"
"Church of Saint Peter","3245 Kingsbridge Avenue","Bronx","NY","10463","2008-05-23T00:00:00.000","2022-7220","2022-01-12T00:00:00.000","2022-12-31T00:00:00.000","Active","Renew","2","40.882125","-73.904337","8","11","287","2083579","2057560235","Spuyten Duyvil-Kingsbridge","POINT (-73.904337 40.882125)"
"Church of St. Frances of Rome","4307 Barnes Avenue","Bronx","NY","10466","2008-05-01T00:00:00.000","2021-7040","2021-10-01T00:00:00.000","2022-10-31T00:00:00.000","Active","Renew","2","40.895125","-73.853036","12","11","434","2097002","2050450085","Woodlawn-Wakefield","POINT (-73.853036 40.895125)"
"Church of the Blessed Sacrement","152 West 71st Street","New York","NY","10023","2019-10-30T00:00:00.000","2021-7107","2021-11-05T00:00:00.000","2022-11-30T00:00:00.000","Active","Renew","1","40.777348","-73.980744","7","6","157","1029777","1011420061","Lincoln Square","POINT (-73.980744 40.777348)"
"Church of the Covenant","310 East 42nd Street","New York","NY","10017","2008-05-02T00:00:00.000","2022-7322","2022-03-11T00:00:00.000","2023-03-31T00:00:00.000","Active","Renew","1","40.749627","-73.971755","6","4","88","1038657","1013340046","Turtle Bay-East Midtown","POINT (-73.971755 40.749627)"
"Church of the Good Shepherd","96 - 07 103rd Avenue","Ozone Park","NY","11416","2008-05-02T00:00:00.000","2021-7041","2021-10-01T00:00:00.000","2022-10-31T00:00:00.000","Active","Renew","4","40.682585","-73.843928","9","32","4001","4189351","4091030034","Woodhaven","POINT (-73.843928 40.682585)"
