CB Link ID,Borough,Community Board,Council District,Latitude,Longitude,Project Status,Street Address,Postcode,Link Site ID,Link Smoke Tested and Activated (A),Link Installation (A),Neighborhood Tabulation Area (NTA),Building Identification Number (BIN),Borough-Block-Lot (BBL),Census Tract (CT),Cross Street 1,Cross Street 2,IxN Corner,Location,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
mn-08-120999,Manhattan,108,4,40.77237577,-73.95895916,Live,198 EAST 76 STREET,10021,mn-08-120999,03/24/2016 12:00:00 AM,03/05/2016 12:00:00 AM,Upper East Side-Carnegie Hill,1043151,1014100040,1012800,3 AVENUE,LEXINGTON AVENUE,SW,"(40.77237577, -73.95895916)",12083,23,4,51,11
qu-01-125131,Queens,401,22,40.76676629,-73.92127596,Live,31-02 30 AVENUE,11102,qu-01-125131,06/26/2017 12:00:00 AM,05/06/2017 12:00:00 AM,Astoria,4008486,4006150035,4006300,31 STREET,32 STREET,SE,"(40.76676629, -73.92127596)",16859,39,3,4,72
qu-06-124180,Queens,406,29,40.719293,-73.839741,Live,110-44 QUEENS BOULEVARD,11375,qu-06-124180,07/29/2016 12:00:00 AM,07/20/2016 12:00:00 AM,Forest Hills,4078798,4032920015,4076901,ASCAN AVENUE,73 ROAD,SE,"(40.719293, -73.839741)",14786,40,3,28,70
LINK-021395,Queens,409,32,40.69591252,-73.83880988,Live,108-25 JAMAICA AVENUE,11418,qu-09-145879,08/14/2017 12:00:00 AM,07/15/2017 12:00:00 AM,Richmond Hill,4192172,4092040043,4012800,108 STREET,109 STREET,NW,"(40.69591252, -73.83880988)",24014,46,3,41,60
mn-04-108509,Manhattan,104,3,40.74475,-73.998736,Live,238 8 AVENUE,10011,mn-04-108509,04/07/2016 12:00:00 AM,03/16/2016 12:00:00 AM,Hudson Yards-Chelsea-Flatiron-Union Square,1014103,1007720003,1009100,WEST 22 STREET,WEST 23 STREET,NE,"(40.74475, -73.998736)",12074,12,4,10,6
mn-01-137333,Manhattan,101,1,40.71724104,-74.00173929,Live,80 LAFAYETTE STREET,10013,mn-01-137333,07/21/2016 12:00:00 AM,07/13/2016 12:00:00 AM,SoHo-TriBeCa-Civic Center-Little Italy,1001870,1001720020,1003100,WHITE STREET,FRANKLIN STREET,SW,"(40.71724104, -74.00173929)",12076,56,4,32,2
mn-05-122541,Manhattan,105,3,40.76397808,-73.98262883,Repair Pending,1701 BROADWAY,10019,mn-05-122541,07/19/2016 12:00:00 AM,04/30/2016 12:00:00 AM,Midtown-Midtown South,1024839,1010250044,1013100,WEST 54 STREET,WEST 53 STREET,SW,"(40.76397808, -73.98262883)",12081,11,4,10,10
mn-05-133354,Manhattan,105,3,40.75766558,-73.98587842,Live,1515 BROADWAY,10036,mn-05-133354,03/05/2018 12:00:00 AM,12/18/2016 12:00:00 AM,Midtown-Midtown South,1024714,1010160036,1011900,WEST 45 STREET,WEST 44 STREET,NW,"(40.75766558, -73.98587842)",13094,11,4,10,8
,Queens,412,27,40.6996088,-73.803352,Installed,94-12 150 STREET,11435,qu-12-GF44698,,07/20/2022 12:00:00 AM,Jamaica,4214020,4100000024,,150TH STREET,149TH STREET,NW,"(40.6996088, -73.803352)",24670,41,3,6,61
mn-07-120513,Manhattan,107,7,40.795171,-73.971048,Live,230 WEST 97 STREET,10025,mn-07-120513,07/08/2016 12:00:00 AM,05/27/2016 12:00:00 AM,Upper West Side,1056064,1018680044,1018300,BROADWAY,AMSTERDAM AVENUE,SE,"(40.795171, -73.971048)",12422,20,4,23,15
mn-05-122878,Manhattan,105,4,40.75795791,-73.97792563,Live,2 WEST 49 STREET,10020,mn-05-122878,10/20/2017 12:00:00 AM,04/02/2017 12:00:00 AM,Midtown-Midtown South,1034508,1012640040,1009600,5 AVENUE,6 AVENUE,SW,"(40.75795791, -73.97792563)",12082,11,4,51,10
mn-07-140140,Manhattan,107,6,40.77662556,-73.98232347,Live,2029 BROADWAY,10023,mn-07-140140,11/17/2020 12:00:00 AM,04/04/2018 12:00:00 AM,Lincoln Square,1076231,1011417502,1015300,WEST 69 STREET,WEST 70 STREET,NW,"(40.77662556, -73.98232347)",12420,20,4,19,12
mn-10-120621,Manhattan,110,9,40.811325,-73.952053,Live,320 ST. NICHOLAS AVENUE,10027,mn-10-120621,12/20/2016 12:00:00 AM,10/29/2016 12:00:00 AM,Central Harlem South,1059317,1019520043,1025700,WEST 126 STREET,WEST 125 STREET,SE,"(40.811325, -73.952053)",12424,18,4,36,18
mn-06-133709,Manhattan,106,2,40.74171074,-73.97797283,Live,522 2 AVENUE,10016,mn-06-133709,12/05/2017 12:00:00 AM,10/06/2017 12:00:00 AM,Murray Hill-Kips Bay,1020614,1009350001,1007000,EAST 29 STREET,EAST 30 STREET,NE,"(40.74171074, -73.97797283)",12078,71,4,50,7
LINK-020759,Brooklyn,301,33,40.732735,-73.954581,Live,984 MANHATTAN AVENUE,11222,bk-01-145863,08/02/2017 12:00:00 AM,07/01/2017 12:00:00 AM,Greenpoint,3064316,3025330005,3057500,HURON STREET,INDIA STREET,SE,"(40.732735, -73.954581)",18182,36,2,38,57
mn-02-122264,Manhattan,102,3,40.73288433,-74.00023841,Live,375 6 AVENUE,10014,mn-02-122264,05/16/2018 12:00:00 AM,03/10/2018 12:00:00 AM,West Village,1010249,1005920066,1007100,WAVERLY PLACE,WEST WASHINGTON PLACE,SW,"(40.73288433, -74.00023841)",12077,57,4,10,3
mn-04-134597,Manhattan,104,3,40.7383024,-73.99629565,Live,555 6 AVENUE,10011,mn-04-134597,04/11/2018 12:00:00 AM,03/03/2018 12:00:00 AM,Hudson Yards-Chelsea-Flatiron-Union Square,1014560,1007910036,1008100,WEST 15 STREET,WEST 16 STREET,NW,"(40.7383024, -73.99629565)",12074,12,4,10,7
LINK-018040,Queens,406,29,40.726495,-73.853138,Live,100-26 QUEENS BOULEVARD,11375,qu-06-145846,08/16/2017 12:00:00 AM,05/20/2017 12:00:00 AM,Forest Hills,4075137,4031700031,4071306,67 ROAD,67 AVENUE,SW,"(40.726495, -73.853138)",14786,40,3,28,70
mn-06-135588,Manhattan,106,2,40.73422211,-73.98665825,Live,146 3 AVENUE,10003,mn-06-135588,05/22/2017 12:00:00 AM,04/29/2017 12:00:00 AM,Gramercy,1017803,1008710039,1005000,EAST 15 STREET,EAST 16 STREET,NW,"(40.73422211, -73.98665825)",11724,71,4,50,7
mn-12-120769,Manhattan,112,10,40.84867304,-73.9340696,Live,1400 ST. NICHOLAS AVENUE,10033,mn-12-120769,04/19/2018 12:00:00 AM,12/05/2017 12:00:00 AM,Washington Heights North,1063634,1021530057,1026900,WEST 180 STREET,WEST 181 STREET,NE,"(40.84867304, -73.9340696)",13091,47,4,39,22
qu-03-111054,Queens,403,21,40.74825267,-73.87871569,Live,87-15 ROOSEVELT AVENUE,11372,qu-03-111054,09/08/2017 12:00:00 AM,07/08/2017 12:00:00 AM,Jackson Heights,4036272,4014750027,4027900,88 STREET,87 STREET,MIDBLOCK,"(40.74825267, -73.87871569)",14783,65,3,21,73
LINK-019773,Queens,406,29,40.72117684,-73.84560657,Live,107-15 70 ROAD,11375,qu-06-145955,01/16/2018 12:00:00 AM,09/30/2017 12:00:00 AM,Forest Hills,4077480,4032380014,4071100,AUSTIN STREET,QUEENS BOULEVARD,MIDBLOCK,"(40.72117684, -73.84560657)",14786,40,3,28,70
LINK-020598,Bronx,203,17,40.82251879,-73.91069013,Live,871 BROOK AVENUE,10451,bx-03-146043,04/24/2018 12:00:00 AM,01/14/2018 12:00:00 AM,Morrisania-Melrose,2001203,2023650029,2014100,3 AVENUE,EAST 161 STREET,NW,"(40.82251879, -73.91069013)",10929,34,5,43,25
qu-01-136651,Queens,401,26,40.751953,-73.927493,Live,36-02 NORTHERN BOULEVARD,11101,qu-01-136651,04/09/2018 12:00:00 AM,03/09/2018 12:00:00 AM,Hunters Point-Sunnyside-West Maspeth,4003101,4002140016,4017100,36 STREET,STANDARD LANE,SE,"(40.751953, -73.927493)",16858,39,3,33,72
mn-06-136617,Manhattan,106,2,40.74122503,-73.97893462,Live,501 2 AVENUE,10016,mn-06-136617,11/09/2020 12:00:00 AM,05/08/2018 12:00:00 AM,Murray Hill-Kips Bay,1019898,1009090028,1006600,EAST 28 STREET,EAST 29 STREET,MIDBLOCK,"(40.74122503, -73.97893462)",12078,71,4,50,7
mn-04-134553,Manhattan,104,3,40.74269967,-73.99679984,Repair Pending,180 7 AVENUE,10011,mn-04-134553,02/28/2018 12:00:00 AM,08/19/2017 12:00:00 AM,Hudson Yards-Chelsea-Flatiron-Union Square,1014037,1007700041,1008700,WEST 21 STREET,WEST 20 STREET,SW,"(40.74269967, -73.99679984)",12074,12,4,10,6
bk-07-125928,Brooklyn,306,39,40.6807318,-73.97744609,Live,63 5 AVENUE,11217,bk-06-125928,06/23/2017 12:00:00 AM,04/28/2017 12:00:00 AM,Park Slope-Gowanus,3018705,3009350009,3012902,ST MARKS AVENUE,PROSPECT PLACE,SE,"(40.6807318, -73.97744609)",17619,14,2,27,50
LINK-021928,Brooklyn,305,37,40.67699412,-73.89835842,Live,2598 FULTON STREET,11207,bk-05-145937,01/22/2018 12:00:00 AM,09/23/2017 12:00:00 AM,East New York,3000000,3036680008,3119800,SHEFFIELD AVENUE,GEORGIA AVENUE,SW,"(40.67699412, -73.89835842)",17214,45,2,37,47
mn-08-120996,Manhattan,108,4,40.773006,-73.958069,Live,1349 3 AVENUE,10075,mn-08-120996,07/19/2016 12:00:00 AM,07/08/2016 12:00:00 AM,Lenox Hill-Roosevelt Island,1044096,1014320001,1013400,EAST 77 STREET,EAST 78 STREET,NE,"(40.773006, -73.958069)",10092,23,4,51,11
mn-08-138320,Manhattan,108,4,40.76606,-73.963554,Live,165 EAST 66 STREET,10065,mn-08-138320,10/16/2017 12:00:00 AM,07/29/2017 12:00:00 AM,Upper East Side-Carnegie Hill,1042464,1014010033,1012000,3 AVENUE,LEXINGTON AVENUE,NW,"(40.76606, -73.963554)",10090,23,4,51,11
mn-07-121306,Manhattan,107,6,40.787028,-73.977832,Live,2315 BROADWAY,10024,mn-07-121306,12/14/2016 12:00:00 AM,11/02/2016 12:00:00 AM,Upper West Side,1032791,1012310055,1017100,WEST 84 STREET,WEST 83 STREET,SW,"(40.787028, -73.977832)",12421,20,4,19,12
bk-01-140988,Brooklyn,301,33,40.71777024,-73.95786908,Live,182 BEDFORD AVENUE,11249,bk-01-140988,01/29/2019 12:00:00 AM,11/03/2017 12:00:00 AM,North Side-South Side,3062079,3023270022,3055300,NORTH 7 STREET,NORTH 6 STREET,SW,"(40.71777024, -73.95786908)",17613,36,2,38,57
mn-04-137461,Manhattan,104,3,40.76704736,-73.98993307,Live,800 10 AVENUE,10019,mn-04-137461,02/08/2018 12:00:00 AM,09/23/2017 12:00:00 AM,Clinton,1088574,1010637503,1013300,WEST 54 STREET,WEST 53 STREET,SE,"(40.76704736, -73.98993307)",12081,12,4,10,10
LINK-020497,Bronx,201,8,40.80638485,-73.91624535,Live,601 EAST 138 STREET,10454,bx-01-146054,07/11/2018 12:00:00 AM,02/12/2018 12:00:00 AM,Mott Haven-Port Morris,2003635,2025510065,2002702,ST ANN'S AVENUE,CYPRESS AVENUE,MIDBLOCK,"(40.80638485, -73.91624535)",10932,49,5,35,23
LINK-020994,Queens,402,26,40.74432049,-73.95348371,Live,47-43 VERNON BOULEVARD,11101,qu-02-146059,04/24/2018 12:00:00 AM,01/17/2018 12:00:00 AM,Hunters Point-Sunnyside-West Maspeth,4000266,4000450002,4000700,48 AVENUE,47 ROAD,NE,"(40.74432049, -73.95348371)",16858,53,3,33,66
mn-03-133442,Manhattan,103,2,40.73412708,-73.98977798,Live,145 4 AVENUE,10003,mn-03-133442,11/10/2016 12:00:00 AM,10/22/2016 12:00:00 AM,East Village,1077569,1005590009,1004200,EAST 14 STREET,EAST 13 STREET,SE,"(40.73412708, -73.98977798)",11724,70,4,50,5
LINK-020932,Queens,401,26,40.75364064,-73.91840166,Live,43-40 NORTHERN BOULEVARD,11101,qu-01-145954,11/07/2017 12:00:00 AM,09/30/2017 12:00:00 AM,Hunters Point-Sunnyside-West Maspeth,4441943,4001430500,4017100,44 STREET,45 STREET,MIDBLOCK,"(40.75364064, -73.91840166)",16858,39,3,33,72
qu-02-128387,Queens,402,26,40.74306271,-73.9206815,Live,45-02 44 STREET,11104,qu-02-128387,02/02/2017 12:00:00 AM,11/19/2016 12:00:00 AM,Hunters Point-Sunnyside-West Maspeth,4001993,4001680031,4018300,QUEENS BOULEVARD,47 AVENUE,NW,"(40.74306271, -73.9206815)",16861,53,3,33,66
bx-01-116415,Bronx,201,17,40.81675132,-73.92295481,Live,522 MORRIS AVENUE,10451,bx-01-116415,03/06/2017 12:00:00 AM,01/21/2017 12:00:00 AM,Melrose South-Mott Haven North,2091151,2023300001,2006500,EAST 148 STREET,EAST 149 STREET,NE,"(40.81675132, -73.92295481)",10929,49,5,43,23
10332,Manhattan,106,2,40.73985154,-73.97932655,Live,470 2 AVENUE,10016,mn-06-121448,01/16/2019 12:00:00 AM,08/09/2018 12:00:00 AM,Murray Hill-Kips Bay,1082730,1009340001,1006600,EAST 27 STREET,EAST 26 STREET,NE,"(40.73985154, -73.97932655)",12078,71,4,50,7
qu-09-124784,Queens,409,32,40.69756287,-73.8362804,Repair Pending,112-01 JAMAICA AVENUE,11418,qu-09-124784,07/31/2017 12:00:00 AM,05/20/2017 12:00:00 AM,Richmond Hill,4192681,4092260034,4013000,112 STREET,113 STREET,NE,"(40.69756287, -73.8362804)",24014,46,3,41,60
mn-07-133404,Manhattan,107,6,40.78185329,-73.98083572,Live,2160 BROADWAY,10023,mn-07-133404,06/27/2016 12:00:00 AM,05/25/2016 12:00:00 AM,Upper West Side,1030861,1011680022,1016300,WEST 76 STREET,WEST 77 STREET,NE,"(40.78185329, -73.98083572)",12420,20,4,19,12
qu-01-125170,Queens,401,22,40.76516019,-73.93142777,Live,21-01 BROADWAY,11106,qu-01-125170,05/17/2017 12:00:00 AM,03/25/2017 12:00:00 AM,Astoria,4006385,4005540015,4007700,21 STREET,23 STREET,NE,"(40.76516019, -73.93142777)",16863,39,3,4,72
mn-05-121991,Manhattan,105,3,40.75431145,-73.98833004,Live,550 7 AVENUE,10018,mn-05-121991,01/18/2017 12:00:00 AM,11/12/2016 12:00:00 AM,Midtown-Midtown South,1014501,1007890036,1011300,WEST 39 STREET,WEST 40 STREET,NW,"(40.75431145, -73.98833004)",12080,11,4,10,8
mn-12-120768,Manhattan,112,10,40.84808255,-73.93451006,Live,1380 ST. NICHOLAS AVENUE,10033,mn-12-120768,12/07/2020 12:00:00 AM,04/14/2018 12:00:00 AM,Washington Heights South,1079911,1021530029,1026100,WEST 179 STREET,WEST 180 STREET,NE,"(40.84808255, -73.93451006)",13091,47,4,39,22
mn-06-138570,Manhattan,106,4,40.74867273,-73.97332638,Live,245 EAST 40 STREET,10017,mn-06-138570,04/04/2018 12:00:00 AM,11/04/2017 12:00:00 AM,Turtle Bay-East Midtown,1037175,1013140021,1008800,2 AVENUE,TUNNEL EXIT STREET,NW,"(40.74867273, -73.97332638)",12079,71,4,51,9
mn-10-120046,Manhattan,110,9,40.812611,-73.945458,Live,2215 ADAM CLAYTON POWELL JR. BOULEVARD,10027,mn-10-120046,02/23/2017 12:00:00 AM,12/06/2016 12:00:00 AM,Central Harlem North-Polo Grounds,1058070,1019150061,1022600,WEST 131 STREET,WEST 130 STREET,SE,"(40.812611, -73.945458)",12424,18,4,36,20
LINK-018403,Bronx,207,14,40.86676519,-73.89780278,Live,2616 JEROME AVENUE,10468,bx-07-145933,11/03/2017 12:00:00 AM,09/16/2017 12:00:00 AM,Bedford Park-Fordham North,2014132,2031910020,2040100,EAST 193 STREET,EAST KINGSBRIDGE ROAD,SE,"(40.86676519, -73.89780278)",11606,24,5,29,34
mn-05-144692,Manhattan,105,4,40.76032636,-73.98369329,Live,737 7 AVENUE,10019,mn-05-144692,06/12/2017 12:00:00 AM,05/13/2017 12:00:00 AM,Midtown-Midtown South,1022699,1010017501,1012500,WEST 49 STREET,WEST 48 STREET,SE,"(40.76032636, -73.98369329)",12081,11,4,51,10
mn-08-135066,Manhattan,108,4,40.76389092,-73.96208669,Live,1223 2 AVENUE,10065,mn-08-135066,04/11/2018 12:00:00 AM,01/27/2018 12:00:00 AM,Lenox Hill-Roosevelt Island,1043870,1014197501,1011800,EAST 64 STREET,EAST 65 STREET,NW,"(40.76389092, -73.96208669)",10090,23,4,51,11
LINK-021927,Brooklyn,305,37,40.67722165,-73.89746353,Live,2631 FULTON STREET,11207,bk-05-145931,01/05/2018 12:00:00 AM,09/17/2017 12:00:00 AM,East New York,3000000,3036590001,3119800,PENNSYLVANIA AVENUE,SHEFFIELD AVENUE,NW,"(40.67722165, -73.89746353)",17214,45,2,37,47
mn-06-133338,Manhattan,106,2,40.734031,-73.986488,Live,147 3 AVENUE,10003,mn-06-133338,04/04/2018 12:00:00 AM,04/29/2017 12:00:00 AM,Gramercy,1019523,1008970001,1004800,EAST 15 STREET,EAST 16 STREET,NE,"(40.734031, -73.986488)",11724,71,4,50,7
bk-03-108944,Brooklyn,303,36,40.69895576,-73.93893235,Live,846 BROADWAY,11206,bk-03-108944,09/06/2018 12:00:00 AM,04/10/2018 12:00:00 AM,Bushwick South,3251257,3015790034,3028501,PARK AVENUE,ELLERY STREET,SW,"(40.69895576, -73.93893235)",17213,69,2,49,52
qu-04-136367,Queens,404,21,40.74804918,-73.87938648,Live,86-18 ROOSEVELT AVENUE,11372,qu-04-136367,12/27/2017 12:00:00 AM,08/31/2017 12:00:00 AM,Elmhurst,4037049,4015010054,4026901,ELBERTSON STREET,87 STREET,SW,"(40.74804918, -73.87938648)",14784,66,3,21,68
LINK-018218,Bronx,201,8,40.81015856,-73.92788597,Live,197 LINCOLN AVENUE,10451,bx-01-145916,02/22/2018 12:00:00 AM,08/31/2017 12:00:00 AM,Mott Haven-Port Morris,2000780,2023180022,2005100,EAST 137 STREET,3 AVENUE,NW,"(40.81015856, -73.92788597)",10932,49,5,35,23
LINK-020509,Bronx,201,8,40.80628664,-73.91795518,Live,211 ST. ANN'S AVENUE,10454,bx-01-146053,07/02/2018 12:00:00 AM,02/12/2018 12:00:00 AM,Mott Haven-Port Morris,2000051,2022650050,2002500,EAST 137 STREET,EAST 138 STREET,NW,"(40.80628664, -73.91795518)",10932,49,5,35,23
qu-01-125148,Queens,401,22,40.76368606,-73.91505124,Live,30-01 STEINWAY STREET,11103,qu-01-125148,06/29/2017 12:00:00 AM,05/06/2017 12:00:00 AM,Astoria,4011253,4006800046,4014900,30 AVENUE,31 AVENUE,SE,"(40.76368606, -73.91505124)",16860,39,3,4,72
bx-05-111503,Bronx,205,15,40.85054841,-73.90095411,Live,305 EAST BURNSIDE AVENUE,10457,bx-05-111503,06/13/2017 12:00:00 AM,05/10/2017 12:00:00 AM,Mount Hope,2013524,2031490068,2038100,VALENTINE AVENUE,RYER AVENUE,MIDBLOCK,"(40.85054841, -73.90095411)",10935,6,5,22,29
mn-11-137841,Manhattan,111,8,40.80154018,-73.937249,Live,2239 3 AVENUE,10035,mn-11-137841,03/31/2016 12:00:00 AM,02/27/2016 12:00:00 AM,East Harlem North,1054622,1017860047,1019400,EAST 122 STREET,EAST 121 STREET,SE,"(40.80154018, -73.937249)",13093,7,4,35,16
LINK-018087,Brooklyn,314,40,40.6452617,-73.95814408,Live,1052 FLATBUSH AVENUE,11226,bk-14-145789,09/15/2017 12:00:00 AM,03/06/2017 12:00:00 AM,Flatbush,3117661,3051250070,3051001,DURYEA PLACE,BEVERLEY ROAD,NW,"(40.6452617, -73.95814408)",13510,60,2,11,43
mn-06-138165,Manhattan,106,4,40.747672,-73.976965,Live,164 EAST 37 STREET,10016,mn-06-138165,06/24/2016 12:00:00 AM,05/14/2016 12:00:00 AM,Murray Hill-Kips Bay,1018969,1008920047,1008000,3 AVENUE,LEXINGTON AVENUE,SW,"(40.747672, -73.976965)",12078,71,4,51,9
mn-01-136177,Manhattan,101,1,40.7039098,-74.00908241,Live,55 WATER STREET,10004,mn-01-136177,02/23/2018 12:00:00 AM,11/11/2017 12:00:00 AM,Battery Park City-Lower Manhattan,1083346,1000327501,1000900,HANOVER SQUARE,COENTIES SLIP,SW,"(40.7039098, -74.00908241)",11726,56,4,32,1
mn-07-133634,Manhattan,107,6,40.792132,-73.973409,Live,2482 BROADWAY,10025,mn-07-133634,05/31/2018 12:00:00 AM,04/10/2018 12:00:00 AM,Upper West Side,1033612,1012400024,1017900,WEST 92 STREET,WEST 93 STREET,NE,"(40.792132, -73.973409)",12422,20,4,19,15
mn-02-123586,Manhattan,102,3,40.72492489,-74.00579536,Live,118 VARICK STREET,10013,mn-02-123586,10/02/2020 12:00:00 AM,07/31/2018 12:00:00 AM,SoHo-TriBeCa-Civic Center-Little Italy,1000000,1004910003,1003700,DOMINICK STREET,BROOME STREET,SE,"(40.72492489, -74.00579536)",12076,57,4,10,1
mn-05-137863,Manhattan,105,3,40.75153962,-73.99036533,Live,458 7 AVENUE,10001,mn-05-137863,06/05/2017 12:00:00 AM,11/12/2016 12:00:00 AM,Midtown-Midtown South,1014409,1007840047,1010900,WEST 34 STREET,WEST 35 STREET,NW,"(40.75153962, -73.99036533)",11722,11,4,10,8
mn-07-121312,Manhattan,107,6,40.78460807,-73.97977572,Live,246 WEST 80 STREET,10024,mn-07-121312,11/21/2016 12:00:00 AM,11/04/2016 12:00:00 AM,Upper West Side,1032645,1012270054,1016700,BROADWAY,WEST END AVENUE,SW,"(40.78460807, -73.97977572)",12421,20,4,19,12
qu-01-125113,Queens,401,22,40.76427257,-73.9159581,Live,37-20 30 AVENUE,11103,qu-01-125113,06/26/2017 12:00:00 AM,04/22/2017 12:00:00 AM,Astoria,4010592,4006590050,4006300,38 STREET,37 STREET,SW,"(40.76427257, -73.9159581)",16860,39,3,4,72
mn-07-120510,Manhattan,107,7,40.79714851,-73.9696072,Live,219 WEST 100 STREET,10025,mn-07-120510,09/06/2016 12:00:00 AM,08/13/2016 12:00:00 AM,Upper West Side,1056481,1018720019,1018700,BROADWAY,AMSTERDAM AVENUE,NE,"(40.79714851, -73.9696072)",12422,20,4,23,15
mn-06-121820,Manhattan,106,4,40.75587721,-73.97102968,Live,160 EAST 50 STREET,10022,mn-06-121820,06/24/2016 12:00:00 AM,05/14/2016 12:00:00 AM,Turtle Bay-East Midtown,1036446,1013040033,1010000,3 AVENUE,LEXINGTON AVENUE,SW,"(40.75587721, -73.97102968)",12079,71,4,51,9
mn-07-120524,Manhattan,107,7,40.79673748,-73.96864684,Live,201 WEST 100 STREET,10025,mn-07-120524,10/10/2016 12:00:00 AM,07/28/2016 12:00:00 AM,Upper West Side,1056483,1018720029,1018700,AMSTERDAM AVENUE,BROADWAY,NW,"(40.79673748, -73.96864684)",12422,20,4,23,15
