"staten_island_condominium_property_boro_block_lot","staten_island_condominium_property_condo_section","staten_island_condominium_property_address","borough","postcode","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta","staten_island_condominium_property_neighborhood","staten_island_condominium_property_building_classification","staten_island_condominium_property_total_units","staten_island_condominium_property_year_built","staten_island_condominium_property_gross_sqft","staten_island_condominium_property_est_gross_income","staten_island_condominium_property_gross_income_per_sqft","staten_island_condominium_property_full_market_value","staten_island_condominium_property_market_value_per_sqft","_comparable_rental_1_boro_block_lot","comparable_rental_1_address","comparable_rental_1_neighborhood","comparable_rental_1_building_classification","comparable_rental_1_total_units","comparable_rental_1_year_built","comparable_rental_1_gross_sqft","comparable_rental_1_est_gross_income","comparable_rental_1_gross_income_per_sqft","comparable_rental_1_full_market_value","comparable_rental_1_market_value_per_sqft","comparable_rental_1_dist_from_coop_in_miles","comparable_rental_2_boro_block_lot","comparable_rental_2_address","comparable_rental_2_neighborhood","comparable_rental_2_building_classification","comparable_rental_2_total_units","comparable_rental_2_year_built","comparable_rental_2_gross_sqft","comparable_rental_2_est_gross_income","comparable_rental_2_gross_income_per_sqft","comparable_rental_2_full_market_value","comparable_rental_2_market_value_per_sqft","comparable_rental_2_dist_from_coop_in_miles"
"5-00251-7501","48-R1","200 HART BOULEVARD Staten Island
, New York 
(40.630545188103, -74.100480181042)","5","10301","40.630241","-74.100342","1","49","59","5006886","5002517501","New Brighton-Silver Lake                                                   ","SILVER LAKE","R4-ELEVATOR","47","1937","51552","530470","10.29","1789998","34.7","5-03168-0161","1000 TARGEE STREET Staten Island
, New York 
(40.60461509118, -74.091130512314)","GRASMERE","D5-ELEVATOR","98","1972","74260","863625","11.63","3040000","40.9","1.85",,,,,,,,,,,,
"5-02452-7501","107-R1","41 WELLINGTON COURT Staten Island
, New York 
(40.58180433527, -74.155975957294)","5","10314","40.58178","-74.156027","2","51","27702","5090787","5024527501","Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   ","NEW SPRINGVILLE","R4-ELEVATOR","37","1989","47880","556844","11.63","1959988","40.9","5-03168-0161","1000 TARGEE STREET Staten Island
, New York 
(40.60461509118, -74.091130512314)","GRASMERE","D5-ELEVATOR","98","1972","74260","863625","11.63","3040000","40.9","3.85",,,,,,,,,,,,
"5-02452-7503","122-R2","171 WELLINGTON COURT Staten Island
, New York 
(40.579252097538, -74.158584918046)","5","10314","40.579141","-74.158746","2","51","27702","5121203","5024527503","Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   ","NEW SPRINGVILLE","R4-ELEVATOR","37","0","47880","584614","12.21","2200011","45.9","5-02102-0028","121 FREEDOM AVENUE Staten Island
, New York 
(40.596275618399, -74.163689832199)","NEW SPRINGVILLE","C9-WALK-UP","56","1971","43200","527431","12.21","1980000","45.8","1.25",,,,,,,,,,,,
"5-03543-7501","89-R1","175 ZOE STREET Staten Island
, New York 
(40.585210439186, -74.100235657366)","5","10305","40.584504","-74.100979","2","50","11401","5091251","5035437501","Old Town-Dongan Hills-South Beach                                          ","GRANT CITY","R4-ELEVATOR","100","1986","78903","917641","11.63","3230016","40.9","5-03168-0161","1000 TARGEE STREET Staten Island
, New York 
(40.60461509118, -74.091130512314)","GRASMERE","D5-ELEVATOR","98","1972","74260","863625","11.63","3040000","40.9","1.35",,,,,,,,,,,,
"5-02829-7501","100-R1","31 HYLAN BOULEVARD Staten Island
, New York 
(40.615139309097, -74.064118271652)","5","10305","40.614937","-74.06448","1","49","6","5157402","5028297501","Stapleton-Rosebank                                                         ","ROSEBANK","R4-ELEVATOR","52","0","74326","915696","12.32","3439999","46.3","5-03003-0082","20 MERLE PLACE Staten Island
, New York 
(40.606544053893, -74.068392968784)","ROSEBANK","D1-ELEVATOR","64","1964","61130","752935","12.32","2830000","46.3","0.55","5-03168-0161","1000 TARGEE STREET Staten Island
, New York 
(40.60461509118, -74.091130512314)","GRASMERE","D5-ELEVATOR","98","1972","74260","863625","11.63","3040000","40.9","1.6"
"5-02400-7501","115-R1","80 RICHMOND HILL ROAD Staten Island
, New York 
(40.606674000105, -74.162401000006)","5","10314","40.587767","-74.165557","2","51","27702","5104717","5024007501","Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   ","NEW SPRINGVILLE","R4-ELEVATOR","243","1990","208726","2849109","13.65","11299972","54","5-01248-0200","110 CONTINENTAL PLACE Staten Island
, New York 
(40.6301776142, -74.161901685738)","MARINERS HARBOR","D3-ELEVATOR","224","1953","222300","2251899","10.13","7610000","34.2","3.35","5-01245-0001","311 GRANDVIEW AVENUE Staten Island
, New York 
(40.633115984528, -74.165156786585)","MARINERS HARBOR","D1-ELEVATOR","381","1953","312400","3164612","10.13","10700000","34.3","3.45"
"5-00631-7501","94-R1","755 NARROWS ROAD Staten Island
, New York 
(40.61012016427, -74.091832001613)","5",,,,,,,,,,"GRYMES HILL","R4-ELEVATOR","93","1987","72970","922340","12.64","3469998","47.6","5-00589-0053","610 VICTORY BOULEVARD Staten Island
, New York 
(40.627610170242, -74.090799115238)","GRYMES HILL","D1-ELEVATOR","72","1940","72600","917480","12.64","3450000","47.5","1.15","5-00589-0035","650 VICTORY BOULEVARD Staten Island
, New York 
(40.626508976909, -74.091573825891)","GRYMES HILL","D1-ELEVATOR","61","1940","72860","816594","11.21","2880000","39.5","1.15"
"5-02450-7506","39-R1","2 ELMWOOD PARK DRIVE Staten Island
, New York 
(40.581240171487, -74.162691437459)","5","10314","40.581202","-74.162664","2","51","27702","5040473","5024507506","Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   ","NEW SPRINGVILLE","R4-ELEVATOR","177","1983","195678","1831546","9.36","6040019","30.9","5-03157-0001","1950 CLOVE ROAD Staten Island
, New York 
(40.606004051169, -74.0866151394)","GRASMERE","D1-ELEVATOR","177","1973","180495","1690099","9.36","5570000","30.9","4.1",,,,,,,,,,,,
"5-02451-7501","113-R1","95 ESSEX DRIVE Staten Island
, New York 
(40.581413291802, -74.158406698073)","5","10314","40.58151","-74.158363","2","51","27702","5095347","5024517501","Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   ","NEW SPRINGVILLE","R4-ELEVATOR","31","1989","35212","416205","11.82","1470005","41.7","5-02102-0028","121 FREEDOM AVENUE Staten Island
, New York 
(40.596275618399, -74.163689832199)","NEW SPRINGVILLE","C9-WALK-UP","56","1971","43200","527431","12.21","1980000","45.8","1.1","5-02102-0045","105 FREEDOM AVENUE Staten Island
, New York 
(40.597154815328, -74.163823994035)","NEW SPRINGVILLE","C9-WALK-UP","36","1971","29200","333781","11.43","1180000","40.4","1.1"
"5-02450-7509","4-R1","5 WINDHAM LOOP Staten Island
, New York 
(40.577781779523, -74.162934305459)","5","10314","40.577988","-74.162923","2","51","27702","5112323","5024507509","Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   ","NEW SPRINGVILLE","R4-ELEVATOR","163","0","176455","1621621","9.19","5340022","30.3","5-02877-0025","55 BOWEN STREET Staten Island
, New York 
(40.614664489609, -74.083054238405)","CONCORD-FOX HILLS","D1-ELEVATOR","156","1973","154860","2145073","13.85","6590000","42.6","4.6",,,,,,,,,,,,
"5-02862-7501","86-R1","50 BELAIR ROAD Staten Island
, New York 
(40.610766562862, -74.065995096615)","5","10305","40.610847","-74.065867","1","49","8","5043008","5028627501","Stapleton-Rosebank                                                         ","ROSEBANK","R2-WALK-UP","48","1985","51425","529163","10.29","1789999","34.8","5-03168-0161","1000 TARGEE STREET Staten Island
, New York 
(40.60461509118, -74.091130512314)","GRASMERE","D5-ELEVATOR","98","1972","74260","863625","11.63","3040000","40.9","1.4",,,,,,,,,,,,
"5-00610-7502","34-R1","850 HOWARD AVENUE Staten Island
, New York 
(40.612753157995, -74.098375773552)","5","10301","40.612648","-74.098623","1","49","47","5015704","5006107502","Grymes Hill-Clifton-Fox Hills                                              ","SUNNYSIDE","R4-ELEVATOR","67","1981","65392","672883","10.29","2270011","34.7","5-03168-0161","1000 TARGEE STREET Staten Island
, New York 
(40.60461509118, -74.091130512314)","GRASMERE","D5-ELEVATOR","98","1972","74260","863625","11.63","3040000","40.9","0.75",,,,,,,,,,,,
"5-03318-7501","97-R1","163 CROMWELL AVENUE Staten Island
, New York 
(40.590139318373, -74.09591840145)","5","10304","40.590267","-74.096213","2","50","9602","5091156","5033187501","Old Town-Dongan Hills-South Beach                                          ","DONGAN HILLS","R2-WALK-UP","48","0","38424","395382","10.29","1340021","34.9","5-03168-0161","1000 TARGEE STREET Staten Island
, New York 
(40.60461509118, -74.091130512314)","GRASMERE","D5-ELEVATOR","98","1972","74260","863625","11.63","3040000","40.9","0.9",,,,,,,,,,,,
"5-02451-7501","113-R2","75 ESSEX DRIVE Staten Island
, New York 
(40.581684751099, -74.158126386843)","5","10314","40.581736","-74.158126","2","51","27702","5095348","5024517501","Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   ","NEW SPRINGVILLE","R4-ELEVATOR","31","1989","35212","416205","11.82","1469995","41.7","5-02102-0045","105 FREEDOM AVENUE Staten Island
, New York 
(40.597154815328, -74.163823994035)","NEW SPRINGVILLE","C9-WALK-UP","36","1971","29200","333781","11.43","1180000","40.4","1.1","5-02102-0028","121 FREEDOM AVENUE Staten Island
, New York 
(40.596275618399, -74.163689832199)","NEW SPRINGVILLE","C9-WALK-UP","56","1971","43200","527431","12.21","1980000","45.8","1.1"
