Leveranciers;6000 - ICT overig;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Uitbesteding ICT;Eindtotaal
RPS advies- en ingenieursbureau B.V.;;;;;;;;4;4
Runbook Company B.V.;;;1;;;;;;1
S.C.I. Services B.V.;;;;1;;;;;1
SAP Nederland B.V.;;;4;2;;;;;4
Sas Institute B.V.;;;3;;;;;;3
Schleifenbauer Products B.V.;;1;1;;;;;;1
Scholten Awater B.V.;;5;4;;;;;;6
Schuttelaar & Partners, Maatsch. Comm. B.V.;;;;1;;;;;1
Science In Action B.V.;;;;1;;;;1;1
Science Plus Group;;;1;2;;;;;2
SDL Netherlands B.V.;;;;2;;;;;2
Seagull Technologies B.V.;;;;1;;;;;1
Sectra Communications B.V.;;;;;;;2;;2
SEEBURGER Benelux;;;1;;;;;;1
Shimadzu Benelux;;;;1;;;;;1
Siemens Nederland;;;1;;;;;;1
Siemens Nederland N.V.;;;;2;;;;;2
Sintec B.V.;;;;;;;1;;1
SmartDocuments Nederland B.V.;;;;1;;;;;1
Sogeti Nederland B.V.;;;4;6;;2;;;6
SparkleFlow B.V.;;;2;;;;;;2
SPIE Nederland B.V.;;;;;1;;;;1
Stg. KNMP Fnds./Greshoff-Opwijrda-Hegewisch;;;;;;;;1;1
Stichting Accessibility;;;1;1;;;;;1
Stichting Dutch Hospital Data;;;;;;;;1;1
Stichting Perinatale Registratie Nederland;;;;;;;;1;1
Stichting SBOH;;;;;;;;2;2
Stichting VeiligheidNL;;;;;;;;1;1
Stratec Services B.V.;;1;;;;;;;1
Studio2 Communications B.V.;;;1;;;;;;1
Sumatra Software B.V.;;;1;;;;;;1
Superoffice Benelux B.V.;;;;1;;;;;1
SURFmarket;;;5;2;;;;;5
SURFnet B.V.;;;;;;2;;4;5
Systeemhuis Compri B.V.;;;;1;;;;;1
T&T Compet&t.b.v.;;;;4;;4;;3;5
Tam Tam B.V.;;;1;1;;;;;1
Tangram B.V.;;;;1;;;;;1
Tappan Communicatie B.V.;;;;1;;;;;1
Technische Unie B.V.;;1;;;;;;;1
Technolution B.V.;;;4;;;;;;4
Tele2 Nederland B.V.;;;;;;;2;;2
Telecom Service Leek B.V.;;;;;;;1;;1
Telegrootgebruik B.V.;;;;;;;4;2;5
Telindus-ISIT B.V.;;4;3;;;;;;4
The Courseware Company B.V.;;;1;1;;;;2;2
THE IMPLEMENTATION GROUP TIG;;;;1;;;;;1
The MathWorks B.V.;;;2;1;;;;;2
The Voip Company;;;;;;;1;;1
Thermo Fisher Scientific B.V.;;;2;2;;;;;3
Thinkworks B.V.;;;;1;;;;;1
TNO B.V.;;;;2;;;;2;3
Topdesk B.V.;;;1;2;;;;;2
TOPdesk Nederland B.V.;;;2;2;;;;;3
Total Identity;;;;2;;;;;2
Transfer Consulting B.V.;;;;2;;;;;2
Transmedia B.V.;;;;1;;;;;1
TriOpSys B.V.;;;;2;;;;;2
Triple P Nederland B.V.;;1;3;;;;2;;4
Triskelion B.V.;;;;;;;;1;1
Triv Internet Solutions;;;;1;;;;;1
TWC Automatiseringsdiensten B.V.;;;1;;;;;;1
Two Kings B.V.;;;;2;;;;;2
Uitgetypt.nl;;;;;;;;1;1
UNO2CLOUD B.V.;;;2;;;;;;2
update software Benelux;;;;3;;;;;3
Uptrends B.V.;;;;;1;;;;1
Utica B.V.;;;;1;;;;;1
Van Swinden Laboratorium;;;;;;;;1;1
VCD IT Groep B.V.;;;;;;;;5;5
Verdonck, Klooster & Associates B.V.;;;2;;;;;;2
Vevida;;;;1;;;;;1
Viadesk;;;2;2;;;;;3
Vibspec;;;;;;;;1;1
Vicrea Solutions B.V.;;;1;;;;;;1
VitalHealth Software Holding B.V.;;;;;;;;1;1
VLC Nederland B.V.;;;4;2;;;;;4
Vodafone;;;;;;;1;;1
Vodafone Libertel B.V.;;1;;1;;;5;;5
Waters Chromatography B.V.;;1;;;;;;;1
WebEx Communications B.V.;;;;;;;1;;1
Webservices.nl B.V.;;;;1;;;;;1
White Queen B.V.;;;;;;;;2;2
WhiteVision Software Bedenkers B.V.;;;1;1;;;;;2
Willems Koeltechniek B.V.;;;;;1;;;;1
WorkSphere;;;2;;;;;;2
Xelion B.V.;;;2;;;;;;2
Xerox (Nederland) B.V.;;;4;1;;;;1;4
XMARK B.V.;;;;;;;1;;1
Xolphin B.V.;;;;1;;;1;;1
XS4ALL Internet B.V.;;;1;1;;;1;1;1
Yogh;;;;1;;;;;1
Youwe Online B.V.;;;;1;;;;;1
Z Index B.V.;;;;1;;;;;1
Zaaks! B.V.;;;2;1;;;;;2
Zet Solutions B.V.;;;;;1;;;;1
Zetacom B.V.;;;1;;;;;;1
Ziggo B.V.;;1;;;;;;;1
Zinnebeeld;;;;;1;;;;1
Eindtotaal;2;7;8;8;;4;7;6;9
