FID,hoofdlands,landschap,bijzgebied,code,avw,eenheden,vrij_opp,vrij_nat,vrij_overi,advies,volgorde,zaakid,aanbeveli,opmerking,Shape__Area,Shape__Length
41, , ,"archeologisch onderzocht terrein, vrijgegeven", , ,"archeologisch onderzocht terrein, vrijgegeven", , , ,"geen onderzoek noodzakelijk; meldingsplicht voor eventuele vondsten",27,2365851100,geen vervolgonderzoek,geen vervolgonderzoek,3342.23837280273,275.887983295359
42, , ,"archeologisch onderzocht terrein, vrijgegeven", , ,"archeologisch onderzocht terrein, vrijgegeven", , , ,"geen onderzoek noodzakelijk; meldingsplicht voor eventuele vondsten",27,2419781100,geen vervolgonderzoek,geen vervolgonderzoek,1453.43877410889,192.76250497412
43, , ,"archeologisch onderzocht terrein, vrijgegeven", , ,"archeologisch onderzocht terrein, vrijgegeven", , , ,"geen onderzoek noodzakelijk; meldingsplicht voor eventuele vondsten",27,2261052100,geen vervolgonderzoek,geen onderzoek noodzakelijk,18075.886932373,779.927722363806
44, , ,"archeologisch onderzocht terrein, niet vrijgegeven", , ,"archeologisch onderzocht terrein, niet vrijgegeven", , , , , ,2261052100,vervolgonderzoek aanbevolen,"bij onderzoek geen betredingstoestemming, verwachting dus ongewijzigd",5048.18197631836,351.598781912504
45, , ,"archeologisch onderzocht terrein, vrijgegeven", , ,"archeologisch onderzocht terrein, vrijgegeven", , , ,"geen onderzoek noodzakelijk; meldingsplicht voor eventuele vondsten",27,4557971100,geen vervolgonderzoek,geen vervolgonderzoek,1492.11102294922,184.581793249037
46, , ,"archeologisch onderzocht terrein, vrijgegeven", , ,"archeologisch onderzocht terrein, vrijgegeven", , , ,"geen onderzoek noodzakelijk; meldingsplicht voor eventuele vondsten",27,4557971100,geen vervolgonderzoek,geen vervolgonderzoek,5305.36253356934,767.786794060253
47, , ,"archeologisch onderzocht terrein, niet vrijgegeven", , ,"archeologisch onderzocht terrein, niet vrijgegeven", , , , , ,2261052100,vervolgonderzoek aanbevolen,"vervolgonderzoek aanbevolen, zie  betreffend onderzoek",1051.28967285156,131.425145327465
48, , ,"archeologisch onderzocht terrein, niet vrijgegeven", , ,"archeologisch onderzocht terrein, niet vrijgegeven", , , , , ,2365851100,vervolgonderzoek aanbevolen,"vervolgonderzoek aanbevolen, zie  betreffend onderzoek",11287.3743209839,473.940057968456
49, , ,"archeologisch onderzocht terrein, niet vrijgegeven", , ,"archeologisch onderzocht terrein, niet vrijgegeven", , , , , ,2365851100,vervolgonderzoek aanbevolen,"vervolgonderzoek aanbevolen, zie  betreffend onderzoek",1774.50717926025,186.166821530791
50, , ,"archeologisch onderzocht terrein, niet vrijgegeven", , ,"archeologisch onderzocht terrein, niet vrijgegeven", , , , , ,2365851100,vervolgonderzoek aanbevolen,"vervolgonderzoek aanbevolen, zie  betreffend onderzoek",1891.67798614502,166.995358750597
51, , ,"archeologisch onderzocht terrein, niet vrijgegeven", , ,"archeologisch onderzocht terrein, niet vrijgegeven", , , , , ,2365851100,vervolgonderzoek aanbevolen,"vervolgonderzoek aanbevolen, zie  betreffend onderzoek",31261.9096069336,879.624930522877
52, , ,"archeologisch onderzocht terrein, niet vrijgegeven", , ,"archeologisch onderzocht terrein, niet vrijgegeven", , , , , ,2365851100,vervolgonderzoek aanbevolen,"vervolgonderzoek aanbevolen, zie  betreffend onderzoek",3965.35474395752,225.803564838939
53, , ,"archeologisch onderzocht terrein, niet vrijgegeven", , ,"archeologisch onderzocht terrein, niet vrijgegeven", , , , , ,2365851100,vervolgonderzoek aanbevolen,"vervolgonderzoek aanbevolen, zie  betreffend onderzoek",11223.074760437,453.036757048213
54, , ,"archeologisch onderzocht terrein, niet vrijgegeven", , ,"archeologisch onderzocht terrein, niet vrijgegeven", , , , , ,2365851100,vervolgonderzoek aanbevolen,"vervolgonderzoek aanbevolen, zie  betreffend onderzoek",3322.96090698242,220.185315701426
55, , ,"archeologisch onderzocht terrein, vrijgegeven", , ,"archeologisch onderzocht terrein, vrijgegeven", , , ,"geen onderzoek noodzakelijk; meldingsplicht voor eventuele vondsten",27,2427979100,geen vervolgonderzoek,opgegraven,2009.14562988281,320.21835185819
56, , ,"archeologisch onderzocht terrein, vrijgegeven", , ,"archeologisch onderzocht terrein, vrijgegeven", , , ,"geen onderzoek noodzakelijk; meldingsplicht voor eventuele vondsten",27,2427979100,geen vervolgonderzoek,opgegraven,1368.97620391846,215.721096283012
57, , ,"archeologisch onderzocht terrein, vrijgegeven", , ,"archeologisch onderzocht terrein, vrijgegeven", , , ,"geen onderzoek noodzakelijk; meldingsplicht voor eventuele vondsten",27,2427979100,geen vervolgonderzoek,opgegraven,1419.04149627686,232.730768574943
58, , ,"archeologisch onderzocht terrein, vrijgegeven", , ,"archeologisch onderzocht terrein, vrijgegeven", , , ,"geen onderzoek noodzakelijk; meldingsplicht voor eventuele vondsten",27,2427979100,geen vervolgonderzoek,opgegraven,1288.35155487061,250.074552496749
59, , ,"archeologisch onderzocht terrein, vrijgegeven", , ,"archeologisch onderzocht terrein, vrijgegeven", , , ,"geen onderzoek noodzakelijk; meldingsplicht voor eventuele vondsten",27,2316481100,geen vervolgonderzoek,geen vervolgonderzoek,10529.971824646,434.818243191224
60, , ,"archeologisch onderzocht terrein, vrijgegeven", , ,"archeologisch onderzocht terrein, vrijgegeven", , , ,"geen onderzoek noodzakelijk; meldingsplicht voor eventuele vondsten",27,2388483100,geen vervolgonderzoek,geen vervolgonderzoek,624.074256896973,125.430872309072
61, , ,"archeologisch onderzocht terrein, vrijgegeven", , ,"archeologisch onderzocht terrein, vrijgegeven", , , ,"geen onderzoek noodzakelijk; meldingsplicht voor eventuele vondsten",27,2388483100,geen vervolgonderzoek,geen vervolgonderzoek,470.640098571777,88.0778907278762
62, , ,"archeologisch onderzocht terrein, vrijgegeven", , ,"archeologisch onderzocht terrein, vrijgegeven", , , ,"geen onderzoek noodzakelijk; meldingsplicht voor eventuele vondsten",27,2388483100,geen vervolgonderzoek,geen vervolgonderzoek,457.814018249512,86.1309014888889
63, , ,"archeologisch onderzocht terrein, vrijgegeven", , ,"archeologisch onderzocht terrein, vrijgegeven", , , ,"geen onderzoek noodzakelijk; meldingsplicht voor eventuele vondsten",27,2428001100,geen vervolgonderzoek,geen vervolgonderzoek,8596.30195617676,532.606495846625
64, , ,"archeologisch onderzocht terrein, vrijgegeven", , ,"archeologisch onderzocht terrein, vrijgegeven", , , ,"geen onderzoek noodzakelijk; meldingsplicht voor eventuele vondsten",27,4018697100,geen vervolgonderzoek,geen vervolgonderzoek,2881.86332702637,251.835671674826
65, , ,"archeologisch onderzocht terrein, vrijgegeven", , ,"archeologisch onderzocht terrein, vrijgegeven", , , ,"geen onderzoek noodzakelijk; meldingsplicht voor eventuele vondsten",27,4616111100,geen vervolgonderzoek,geen vervolgonderzoek,9082.70894622803,485.349237843625
66, , ,"archeologisch onderzocht terrein, vrijgegeven", , ,"archeologisch onderzocht terrein, vrijgegeven", , , ,"geen onderzoek noodzakelijk; meldingsplicht voor eventuele vondsten",27,2354073100,geen vervolgonderzoek,geen vervolgonderzoek,2726.98617553711,216.85088045227
67, , ,"archeologisch onderzocht terrein, vrijgegeven", , ,"archeologisch onderzocht terrein, vrijgegeven", , , ,"geen onderzoek noodzakelijk; meldingsplicht voor eventuele vondsten",27,2372655100,geen vervolgonderzoek,geen vervolgonderzoek,40537.89087677,895.029815615478
68, , ,"archeologisch onderzocht terrein, vrijgegeven", , ,"archeologisch onderzocht terrein, vrijgegeven", , , ,"geen onderzoek noodzakelijk; meldingsplicht voor eventuele vondsten",27,2472244100,geen vervolgonderzoek,geen vervolgonderzoek,5025.84122467041,278.780886246906
69, , ,"archeologisch onderzocht terrein, vrijgegeven", , ,"archeologisch onderzocht terrein, vrijgegeven", , , ,"geen onderzoek noodzakelijk; meldingsplicht voor eventuele vondsten",27,2400234100,geen vervolgonderzoek,geen vervolgonderzoek,30866.1149368286,1294.94475161769
70, , ,"archeologisch onderzocht terrein, vrijgegeven", , ,"archeologisch onderzocht terrein, vrijgegeven", , , ,"geen onderzoek noodzakelijk; meldingsplicht voor eventuele vondsten",27,4564167100,geen vervolgonderzoek,geen vervolgonderzoek,4674.22952270508,354.91546549838
71, , ,"archeologisch onderzocht terrein, vrijgegeven", , ,"archeologisch onderzocht terrein, vrijgegeven", , , ,"geen onderzoek noodzakelijk; meldingsplicht voor eventuele vondsten",27,4569879100,geen vervolgonderzoek,geen vervolgonderzoek,4762.24198913574,366.243668429899
72, , ,"archeologisch onderzocht terrein, vrijgegeven", , ,"archeologisch onderzocht terrein, vrijgegeven", , , ,"geen onderzoek noodzakelijk; meldingsplicht voor eventuele vondsten",27,2392127100,geen vervolgonderzoek,geen vervolgonderzoek,8682.48670959473,600.302695637525
73, , ,"archeologisch onderzocht terrein, vrijgegeven", , ,"archeologisch onderzocht terrein, vrijgegeven", , , ,"geen onderzoek noodzakelijk; meldingsplicht voor eventuele vondsten",27,2370881100,geen vervolgonderzoek,geen vervolgonderzoek,17776.6077423096,601.17103164278
74, , ,"archeologisch onderzocht terrein, vrijgegeven", , ,"archeologisch onderzocht terrein, vrijgegeven", , , ,"geen onderzoek noodzakelijk; meldingsplicht voor eventuele vondsten",27,2383800100,geen vervolgonderzoek,geen vervolgonderzoek,20217.8942489624,570.252500119703
75, , ,"archeologisch onderzocht terrein, vrijgegeven", , ,"archeologisch onderzocht terrein, vrijgegeven", , , ,"geen onderzoek noodzakelijk; meldingsplicht voor eventuele vondsten",27,4606643100,geen vervolgonderzoek,geen vervolgonderzoek,1292.80802154541,166.735724006315
76, , ,"archeologisch onderzocht terrein, vrijgegeven", , ,"archeologisch onderzocht terrein, vrijgegeven", , , ,"geen onderzoek noodzakelijk; meldingsplicht voor eventuele vondsten",27,"	
2314861100",geen vervolgonderzoek,geen vervolgonderzoek,6866.02208709717,376.334143881705
77, , ,"archeologisch onderzocht terrein, vrijgegeven", , ,"archeologisch onderzocht terrein, vrijgegeven", , , ,"geen onderzoek noodzakelijk; meldingsplicht voor eventuele vondsten",27,2365851100,geen vervolgonderzoek,geen vervolgonderzoek,3263.48862457275,288.06808950296
78, , ,"archeologisch onderzocht terrein, vrijgegeven", , ,"archeologisch onderzocht terrein, vrijgegeven", , , ,"geen onderzoek noodzakelijk; meldingsplicht voor eventuele vondsten",27,2438232100,geen vervolgonderzoek,geen vervolgonderzoek,357.33699798584,82.7327742282822
79, , ,"archeologisch onderzocht terrein, vrijgegeven", , ,"archeologisch onderzocht terrein, vrijgegeven", , , ,"geen onderzoek noodzakelijk; meldingsplicht voor eventuele vondsten",27,2443521100,geen vervolgonderzoek,opgegraven,1164.03548431396,156.698998814684
80, , ,"archeologisch onderzocht terrein, vrijgegeven", , ,"archeologisch onderzocht terrein, vrijgegeven", , , ,"geen onderzoek noodzakelijk; meldingsplicht voor eventuele vondsten",27,2443521100,geen vervolgonderzoek,opgegraven,441.36302947998,138.168667730878
81, , ,"archeologisch onderzocht terrein, vrijgegeven", , ,"archeologisch onderzocht terrein, vrijgegeven", , , ,"geen onderzoek noodzakelijk; meldingsplicht voor eventuele vondsten",27,2443521100,geen vervolgonderzoek,opgegraven,717.034278869629,129.173308259781
82, , ,"archeologisch onderzocht terrein, vrijgegeven", , ,"archeologisch onderzocht terrein, vrijgegeven", , , ,"geen onderzoek noodzakelijk; meldingsplicht voor eventuele vondsten",27,2443521100,geen vervolgonderzoek,opgegraven,698.609901428223,119.693813254636
83, , ,"archeologisch onderzocht terrein, vrijgegeven", , ,"archeologisch onderzocht terrein, vrijgegeven", , , ,"geen onderzoek noodzakelijk; meldingsplicht voor eventuele vondsten",27,2443521100,geen vervolgonderzoek,opgegraven,662.875457763672,110.858815313595
84, , ,"archeologisch onderzocht terrein, vrijgegeven", , ,"archeologisch onderzocht terrein, vrijgegeven", , , ,"geen onderzoek noodzakelijk; meldingsplicht voor eventuele vondsten",27,2322734100,geen vervolgonderzoek,opgegraven,57.4029922485352,39.8352769319223
85, , ,"archeologisch onderzocht terrein, vrijgegeven", , ,"archeologisch onderzocht terrein, vrijgegeven", , , ,"geen onderzoek noodzakelijk; meldingsplicht voor eventuele vondsten",27,2328218100,geen vervolgonderzoek,opgegraven,55.0207214355469,41.4875629410514
86, , ,"archeologisch onderzocht terrein, vrijgegeven", , ,"archeologisch onderzocht terrein, vrijgegeven", , , ,"geen onderzoek noodzakelijk; meldingsplicht voor eventuele vondsten",27,2328218100,geen vervolgonderzoek,opgegraven,174.520317077637,85.8049855254772
87, , ,"archeologisch onderzocht terrein, vrijgegeven", , ,"archeologisch onderzocht terrein, vrijgegeven", , , ,"geen onderzoek noodzakelijk; meldingsplicht voor eventuele vondsten",27,2328218100,geen vervolgonderzoek,opgegraven,11.4927673339844,18.8211660405364
88, , ,"archeologisch onderzocht terrein, vrijgegeven", , ,"archeologisch onderzocht terrein, vrijgegeven", , , ,"geen onderzoek noodzakelijk; meldingsplicht voor eventuele vondsten",27,2328218100,geen vervolgonderzoek,opgegraven,4.67374420166016,12.0013652453636
89, , ,"archeologisch onderzocht terrein, vrijgegeven", , ,"archeologisch onderzocht terrein, vrijgegeven", , , ,"geen onderzoek noodzakelijk; meldingsplicht voor eventuele vondsten",27,2328218100,geen vervolgonderzoek,opgegraven,5.00392913818359,10.2114615794739
90, , ,"archeologisch onderzocht terrein, vrijgegeven", , ,"archeologisch onderzocht terrein, vrijgegeven", , , ,"geen onderzoek noodzakelijk; meldingsplicht voor eventuele vondsten",27,2328218100,geen vervolgonderzoek,opgegraven,7.54032897949219,15.2685784030218
91, , ,"archeologisch onderzocht terrein, vrijgegeven", , ,"archeologisch onderzocht terrein, vrijgegeven", , , ,"geen onderzoek noodzakelijk; meldingsplicht voor eventuele vondsten",27,2328218100,geen vervolgonderzoek,opgegraven,17.6358489990234,19.3870683774162
92, , ,"archeologisch onderzocht terrein, vrijgegeven", , ,"archeologisch onderzocht terrein, vrijgegeven", , , ,"geen onderzoek noodzakelijk; meldingsplicht voor eventuele vondsten",27,2378422100,geen vervolgonderzoek,"booronderzoek, geen acheologische verwachting",1740.37796020508,534.502934324321
93, , ,"archeologisch onderzocht terrein, vrijgegeven", , ,"archeologisch onderzocht terrein, vrijgegeven", , , ,"geen onderzoek noodzakelijk; meldingsplicht voor eventuele vondsten",27,2346021100,geen vervolgonderzoek,geen vervolgonderzoek,1988.21686553955,198.320382274216
94, , ,"archeologisch onderzocht terrein, vrijgegeven", , ,"archeologisch onderzocht terrein, vrijgegeven", , , ,"geen onderzoek noodzakelijk; meldingsplicht voor eventuele vondsten",27,4557971100,geen vervolgonderzoek,geen vervolgonderzoek,16505.6128616333,816.179745446438
95, , ,"archeologisch onderzocht terrein, vrijgegeven", , ,"archeologisch onderzocht terrein, vrijgegeven", , , ,"geen onderzoek noodzakelijk; meldingsplicht voor eventuele vondsten",27,2446057100,geen vervolgonderzoek,geen vervolgonderzoek,281066.642303467,5366.50826560187
96, , ,"archeologisch onderzocht terrein, niet vrijgegeven", , ,"archeologisch onderzocht terrein, niet vrijgegeven", , , , , ,2352250100,vervolgonderzoek aanbevolen,"vervolgonderzoek aanbevolen, zie  betreffend onderzoek",2002.5392074585,190.509559883312
97, , ,"archeologisch onderzocht terrein, vrijgegeven", , ,"archeologisch onderzocht terrein, vrijgegeven", , , ,"geen onderzoek noodzakelijk; meldingsplicht voor eventuele vondsten",27,4549466100,geen vervolgonderzoek,geen vervolgonderzoek,3904.82334899902,387.125616978655
98, , ,"archeologisch onderzocht terrein, niet vrijgegeven", , ,"archeologisch onderzocht terrein, niet vrijgegeven", , , , , ,2434839100,vervolgonderzoek aanbevolen, ,3826535.39879608,9349.31918269599
99, , ,"archeologisch onderzocht terrein, niet vrijgegeven", , ,"archeologisch onderzocht terrein, niet vrijgegeven", , , , , ,2141342100,vervolgonderzoek aanbevolen,"vervolgonderzoek aanbevolen, zie  betreffend onderzoek",74052.7104568481,1140.75647202044
100, , ,"archeologisch onderzocht terrein, vrijgegeven", , ,"archeologisch onderzocht terrein, vrijgegeven", , , ,"geen onderzoek noodzakelijk; meldingsplicht voor eventuele vondsten",27,2011134100,geen vervolgonderzoek,"Conclusie booronderzoek Exaltus, 2001: alleen potentiele vindplaatsen in westelijk deel. Later is dit op basis van boor- en sonderingsonderzoek alsnog vrijgegeven, muv een rechthoekig blok (zie ook RAAP-rapport 4187 uit 2007).",824778.839782715,7399.48859376662
