categorie;overtreding;oms_feitgroep;mate_overschrijding;aantal
VG;bord A1;Snelheid buiten bebouwde kom ;30;1234
VI;wegwerkzaamheden (bord A1);Snelheid buiten bebouwde kom ;24;23
VH;bord A3;Snelheid buiten bebouwde kom ;21;11
VN;bord A3;Snelheid autosnelwegen;19;6
VA;gedrag;Snelheid binnen bebouwde kom ;13;39199
VL;gedrag;Snelheid autosnelwegen;25;644
VB;bord A1;Snelheid binnen bebouwde kom ;24;674
VI;wegwerkzaamheden (bord A1);Snelheid buiten bebouwde kom ;27;29
VL;gedrag;Snelheid autosnelwegen;6;38552
VA;gedrag;Snelheid binnen bebouwde kom ;12;52591
VA;gedrag;Snelheid binnen bebouwde kom ;23;5409
VD;wegwerkzaamheden (bord A1);Snelheid binnen bebouwde kom ;11;136
VF;gedrag;Snelheid buiten bebouwde kom ;12;19493
VA;gedrag;Snelheid binnen bebouwde kom ;16;18025
VM;bord A1;Snelheid autosnelwegen;23;8070
VO;wegwerkzaamheden (bord A1);Snelheid autosnelwegen;6;1393
VL;gedrag;Snelheid autosnelwegen;38;170
VN;bord A3;Snelheid autosnelwegen;24;3
VM;bord A1;Snelheid autosnelwegen;6;143210
VL;gedrag;Snelheid autosnelwegen;24;585
VP;wegwerkzaamheden (bord A3);Snelheid autosnelwegen;9;3
VO;wegwerkzaamheden (bord A1);Snelheid autosnelwegen;9;934
VV;erf;Snelheid binnen woonerf;14;2
VM;bord A1;Snelheid autosnelwegen;29;3440
VH;bord A3;Snelheid buiten bebouwde kom ;23;13
VF;gedrag;Snelheid buiten bebouwde kom ;9;33481
VA;gedrag;Snelheid binnen bebouwde kom ;15;22747
VM;bord A1;Snelheid autosnelwegen;34;1648
VM;bord A1;Snelheid autosnelwegen;36;1427
VP;wegwerkzaamheden (bord A3);Snelheid autosnelwegen;27;4
VS;bord A1 30 km/u;Snelheid binnen bebouwde kom ;17;121
VM;bord A1;Snelheid autosnelwegen;5;185050
VA;gedrag;Snelheid binnen bebouwde kom ;10;85377
VF;gedrag;Snelheid buiten bebouwde kom ;25;2165
VO;wegwerkzaamheden (bord A1);Snelheid autosnelwegen;12;607
VF;gedrag;Snelheid buiten bebouwde kom ;30;1531
VO;wegwerkzaamheden (bord A1);Snelheid autosnelwegen;20;217
VG;bord A1;Snelheid buiten bebouwde kom ;4;116203
VL;gedrag;Snelheid autosnelwegen;32;238
VC;bord A3;Snelheid binnen bebouwde kom ;25;1
VC;bord A3;Snelheid binnen bebouwde kom ;17;1
VF;gedrag;Snelheid buiten bebouwde kom ;19;5042
VM;bord A1;Snelheid autosnelwegen;19;14122
VD;wegwerkzaamheden (bord A1);Snelheid binnen bebouwde kom ;27;16
VP;wegwerkzaamheden (bord A3);Snelheid autosnelwegen;17;2
VL;gedrag;Snelheid autosnelwegen;22;758
VS;bord A1 30 km/u;Snelheid binnen bebouwde kom ;20;88
VL;gedrag;Snelheid autosnelwegen;1;37312
VN;bord A3;Snelheid autosnelwegen;12;1
VS;bord A1 30 km/u;Snelheid binnen bebouwde kom ;9;114
VA;gedrag;Snelheid binnen bebouwde kom ;29;1903
VS;bord A1 30 km/u;Snelheid binnen bebouwde kom ;10;127
VF;gedrag;Snelheid buiten bebouwde kom ;15;11425
VC;bord A3;Snelheid binnen bebouwde kom ;14;2
VL;gedrag;Snelheid autosnelwegen;18;1351
VN;bord A3;Snelheid autosnelwegen;23;3
VL;gedrag;Snelheid autosnelwegen;2;25547
VB;bord A1;Snelheid binnen bebouwde kom ;29;370
VA;gedrag;Snelheid binnen bebouwde kom ;4;384382
VL;gedrag;Snelheid autosnelwegen;21;917
VL;gedrag;Snelheid autosnelwegen;20;1075
VB;bord A1;Snelheid binnen bebouwde kom ;18;1738
VA;gedrag;Snelheid binnen bebouwde kom ;8;140394
VG;bord A1;Snelheid buiten bebouwde kom ;20;4187
VA;gedrag;Snelheid binnen bebouwde kom ;24;4378
VS;bord A1 30 km/u;Snelheid binnen bebouwde kom ;11;127
VS;bord A1 30 km/u;Snelheid binnen bebouwde kom ;29;27
VD;wegwerkzaamheden (bord A1);Snelheid binnen bebouwde kom ;26;8
VM;bord A1;Snelheid autosnelwegen;9;73450
VG;bord A1;Snelheid buiten bebouwde kom ;17;7138
VL;gedrag;Snelheid autosnelwegen;28;462
VL;gedrag;Snelheid autosnelwegen;23;655
VS;bord A1 30 km/u;Snelheid binnen bebouwde kom ;8;133
VS;bord A1 30 km/u;Snelheid binnen bebouwde kom ;6;146
VS;bord A1 30 km/u;Snelheid binnen bebouwde kom ;27;39
VN;bord A3;Snelheid autosnelwegen;31;17
VN;bord A3;Snelheid autosnelwegen;34;7
VV;erf;Snelheid binnen woonerf;23;1
VF;gedrag;Snelheid buiten bebouwde kom ;13;16025
VN;bord A3;Snelheid autosnelwegen;22;6
VK;wegwerkzaamheden (bord A3);Snelheid buiten bebouwde kom ;30;2
VL;gedrag;Snelheid autosnelwegen;5;47854
VG;bord A1;Snelheid buiten bebouwde kom ;16;7747
VV;erf;Snelheid binnen woonerf;22;2
VH;bord A3;Snelheid buiten bebouwde kom ;28;3
VG;bord A1;Snelheid buiten bebouwde kom ;11;25593
VF;gedrag;Snelheid buiten bebouwde kom ;5;86297
VF;gedrag;Snelheid buiten bebouwde kom ;16;9430
VS;bord A1 30 km/u;Snelheid binnen bebouwde kom ;15;121
VB;bord A1;Snelheid binnen bebouwde kom ;15;2975
VF;gedrag;Snelheid buiten bebouwde kom ;14;13489
VB;bord A1;Snelheid binnen bebouwde kom ;25;610
VD;wegwerkzaamheden (bord A1);Snelheid binnen bebouwde kom ;5;285
VP;wegwerkzaamheden (bord A3);Snelheid autosnelwegen;13;2
VH;bord A3;Snelheid buiten bebouwde kom ;19;7
VD;wegwerkzaamheden (bord A1);Snelheid binnen bebouwde kom ;16;75
VI;wegwerkzaamheden (bord A1);Snelheid buiten bebouwde kom ;30;20
VV;erf;Snelheid binnen woonerf;9;1
VO;wegwerkzaamheden (bord A1);Snelheid autosnelwegen;5;1746
VG;bord A1;Snelheid buiten bebouwde kom ;14;12036
VF;gedrag;Snelheid buiten bebouwde kom ;20;4378
VL;gedrag;Snelheid autosnelwegen;33;207
VN;bord A3;Snelheid autosnelwegen;36;24
VH;bord A3;Snelheid buiten bebouwde kom ;9;1
VF;gedrag;Snelheid buiten bebouwde kom ;26;2409
VC;bord A3;Snelheid binnen bebouwde kom ;29;1
VL;gedrag;Snelheid autosnelwegen;15;2144
VN;bord A3;Snelheid autosnelwegen;29;18
VD;wegwerkzaamheden (bord A1);Snelheid binnen bebouwde kom ;25;12
VB;bord A1;Snelheid binnen bebouwde kom ;22;1043
VL;gedrag;Snelheid autosnelwegen;19;1201
VO;wegwerkzaamheden (bord A1);Snelheid autosnelwegen;28;53
VN;bord A3;Snelheid autosnelwegen;20;21
VM;bord A1;Snelheid autosnelwegen;17;23731
VO;wegwerkzaamheden (bord A1);Snelheid autosnelwegen;10;760
VH;bord A3;Snelheid buiten bebouwde kom ;12;1
VF;gedrag;Snelheid buiten bebouwde kom ;11;23292
VF;gedrag;Snelheid buiten bebouwde kom ;17;13888
VL;gedrag;Snelheid autosnelwegen;8;13249
VI;wegwerkzaamheden (bord A1);Snelheid buiten bebouwde kom ;22;29
VI;wegwerkzaamheden (bord A1);Snelheid buiten bebouwde kom ;5;73
VI;wegwerkzaamheden (bord A1);Snelheid buiten bebouwde kom ;16;18
VG;bord A1;Snelheid buiten bebouwde kom ;15;9570
VM;bord A1;Snelheid autosnelwegen;27;5082
VD;wegwerkzaamheden (bord A1);Snelheid binnen bebouwde kom ;10;186
VN;bord A3;Snelheid autosnelwegen;38;22
VH;bord A3;Snelheid buiten bebouwde kom ;25;6
VG;bord A1;Snelheid buiten bebouwde kom ;7;58523
VL;gedrag;Snelheid autosnelwegen;14;2458
VL;gedrag;Snelheid autosnelwegen;4;53790
VC;bord A3;Snelheid binnen bebouwde kom ;19;2
VP;wegwerkzaamheden (bord A3);Snelheid autosnelwegen;11;1
VP;wegwerkzaamheden (bord A3);Snelheid autosnelwegen;20;4
VB;bord A1;Snelheid binnen bebouwde kom ;27;911
VS;bord A1 30 km/u;Snelheid binnen bebouwde kom ;19;87
VN;bord A3;Snelheid autosnelwegen;35;22
VS;bord A1 30 km/u;Snelheid binnen bebouwde kom ;21;64
VO;wegwerkzaamheden (bord A1);Snelheid autosnelwegen;4;2006
VL;gedrag;Snelheid autosnelwegen;3;18186
VL;gedrag;Snelheid autosnelwegen;31;295
VD;wegwerkzaamheden (bord A1);Snelheid binnen bebouwde kom ;24;15
VD;wegwerkzaamheden (bord A1);Snelheid binnen bebouwde kom ;18;49
VH;bord A3;Snelheid buiten bebouwde kom ;26;3
VB;bord A1;Snelheid binnen bebouwde kom ;12;5518
VA;gedrag;Snelheid binnen bebouwde kom ;20;8815
VD;wegwerkzaamheden (bord A1);Snelheid binnen bebouwde kom ;29;7
VF;gedrag;Snelheid buiten bebouwde kom ;23;2888
VN;bord A3;Snelheid autosnelwegen;37;27
VI;wegwerkzaamheden (bord A1);Snelheid buiten bebouwde kom ;21;18
VL;gedrag;Snelheid autosnelwegen;34;232
VF;gedrag;Snelheid buiten bebouwde kom ;27;1823
VB;bord A1;Snelheid binnen bebouwde kom ;13;4574
VB;bord A1;Snelheid binnen bebouwde kom ;21;1148
VL;gedrag;Snelheid autosnelwegen;7;25982
VB;bord A1;Snelheid binnen bebouwde kom ;10;8420
VH;bord A3;Snelheid buiten bebouwde kom ;27;14
VO;wegwerkzaamheden (bord A1);Snelheid autosnelwegen;13;518
VP;wegwerkzaamheden (bord A3);Snelheid autosnelwegen;23;7
VP;wegwerkzaamheden (bord A3);Snelheid autosnelwegen;19;3
VH;bord A3;Snelheid buiten bebouwde kom ;13;1
VG;bord A1;Snelheid buiten bebouwde kom ;5;92511
VM;bord A1;Snelheid autosnelwegen;32;2363
VA;gedrag;Snelheid binnen bebouwde kom ;17;15416
VS;bord A1 30 km/u;Snelheid binnen bebouwde kom ;7;169
VD;wegwerkzaamheden (bord A1);Snelheid binnen bebouwde kom ;7;241
VB;bord A1;Snelheid binnen bebouwde kom ;6;23202
VL;gedrag;Snelheid autosnelwegen;10;5551
VP;wegwerkzaamheden (bord A3);Snelheid autosnelwegen;16;1
VS;bord A1 30 km/u;Snelheid binnen bebouwde kom ;26;37
VO;wegwerkzaamheden (bord A1);Snelheid autosnelwegen;30;56
VO;wegwerkzaamheden (bord A1);Snelheid autosnelwegen;29;40
VS;bord A1 30 km/u;Snelheid binnen bebouwde kom ;25;43
VM;bord A1;Snelheid autosnelwegen;12;44099
VA;gedrag;Snelheid binnen bebouwde kom ;25;3562
VI;wegwerkzaamheden (bord A1);Snelheid buiten bebouwde kom ;18;21
VM;bord A1;Snelheid autosnelwegen;4;255784
VH;bord A3;Snelheid buiten bebouwde kom ;29;9
VC;bord A3;Snelheid binnen bebouwde kom ;18;1
VH;bord A3;Snelheid buiten bebouwde kom ;17;5
VF;gedrag;Snelheid buiten bebouwde kom ;18;5805
VL;gedrag;Snelheid autosnelwegen;12;3467
VS;bord A1 30 km/u;Snelheid binnen bebouwde kom ;23;59
VS;bord A1 30 km/u;Snelheid binnen bebouwde kom ;12;134
VD;wegwerkzaamheden (bord A1);Snelheid binnen bebouwde kom ;23;21
VG;bord A1;Snelheid buiten bebouwde kom ;10;31214
VB;bord A1;Snelheid binnen bebouwde kom ;19;1447
VF;gedrag;Snelheid buiten bebouwde kom ;24;2507
VM;bord A1;Snelheid autosnelwegen;31;2492
VP;wegwerkzaamheden (bord A3);Snelheid autosnelwegen;22;11
VM;bord A1;Snelheid autosnelwegen;14;31410
VN;bord A3;Snelheid autosnelwegen;27;19
VM;bord A1;Snelheid autosnelwegen;13;37682
VA;gedrag;Snelheid binnen bebouwde kom ;27;2783
VI;wegwerkzaamheden (bord A1);Snelheid buiten bebouwde kom ;11;54
VO;wegwerkzaamheden (bord A1);Snelheid autosnelwegen;18;250
VH;bord A3;Snelheid buiten bebouwde kom ;20;14
VB;bord A1;Snelheid binnen bebouwde kom ;9;10770
VS;bord A1 30 km/u;Snelheid binnen bebouwde kom ;24;68
VS;bord A1 30 km/u;Snelheid binnen bebouwde kom ;5;166
VP;wegwerkzaamheden (bord A3);Snelheid autosnelwegen;26;3
VO;wegwerkzaamheden (bord A1);Snelheid autosnelwegen;7;1222
VG;bord A1;Snelheid buiten bebouwde kom ;27;1833
VB;bord A1;Snelheid binnen bebouwde kom ;30;376
VH;bord A3;Snelheid buiten bebouwde kom ;30;5
VM;bord A1;Snelheid autosnelwegen;10;61315
VA;gedrag;Snelheid binnen bebouwde kom ;30;1626
VN;bord A3;Snelheid autosnelwegen;28;81
VG;bord A1;Snelheid buiten bebouwde kom ;28;1359
VI;wegwerkzaamheden (bord A1);Snelheid buiten bebouwde kom ;13;38
VM;bord A1;Snelheid autosnelwegen;16;22863
VG;bord A1;Snelheid buiten bebouwde kom ;13;16082
VD;wegwerkzaamheden (bord A1);Snelheid binnen bebouwde kom ;8;246
VN;bord A3;Snelheid autosnelwegen;26;27
VI;wegwerkzaamheden (bord A1);Snelheid buiten bebouwde kom ;20;26
VG;bord A1;Snelheid buiten bebouwde kom ;9;38164
VM;bord A1;Snelheid autosnelwegen;28;3885
VI;wegwerkzaamheden (bord A1);Snelheid buiten bebouwde kom ;25;10
VP;wegwerkzaamheden (bord A3);Snelheid autosnelwegen;30;10
VM;bord A1;Snelheid autosnelwegen;30;3274
VL;gedrag;Snelheid autosnelwegen;29;459
VO;wegwerkzaamheden (bord A1);Snelheid autosnelwegen;16;327
VL;gedrag;Snelheid autosnelwegen;36;268
VS;bord A1 30 km/u;Snelheid binnen bebouwde kom ;13;136
VM;bord A1;Snelheid autosnelwegen;39;39
VN;bord A3;Snelheid autosnelwegen;17;2
VD;wegwerkzaamheden (bord A1);Snelheid binnen bebouwde kom ;12;140
VP;wegwerkzaamheden (bord A3);Snelheid autosnelwegen;25;1
VF;gedrag;Snelheid buiten bebouwde kom ;8;41302
VI;wegwerkzaamheden (bord A1);Snelheid buiten bebouwde kom ;17;26
VA;gedrag;Snelheid binnen bebouwde kom ;9;108463
VM;bord A1;Snelheid autosnelwegen;25;6014
VA;gedrag;Snelheid binnen bebouwde kom ;26;3109
VO;wegwerkzaamheden (bord A1);Snelheid autosnelwegen;8;1062
VO;wegwerkzaamheden (bord A1);Snelheid autosnelwegen;19;185
VG;bord A1;Snelheid buiten bebouwde kom ;18;5484
VF;gedrag;Snelheid buiten bebouwde kom ;21;3864
VD;wegwerkzaamheden (bord A1);Snelheid binnen bebouwde kom ;17;55
VP;wegwerkzaamheden (bord A3);Snelheid autosnelwegen;24;2
VC;bord A3;Snelheid binnen bebouwde kom ;15;1
VG;bord A1;Snelheid buiten bebouwde kom ;29;1183
VC;bord A3;Snelheid binnen bebouwde kom ;23;5
VI;wegwerkzaamheden (bord A1);Snelheid buiten bebouwde kom ;15;37
VH;bord A3;Snelheid buiten bebouwde kom ;16;1
VL;gedrag;Snelheid autosnelwegen;9;7857
VG;bord A1;Snelheid buiten bebouwde kom ;25;2006
VM;bord A1;Snelheid autosnelwegen;38;1353
VH;bord A3;Snelheid buiten bebouwde kom ;22;14
VB;bord A1;Snelheid binnen bebouwde kom ;8;14078
VL;gedrag;Snelheid autosnelwegen;37;179
VO;wegwerkzaamheden (bord A1);Snelheid autosnelwegen;15;367
VB;bord A1;Snelheid binnen bebouwde kom ;14;3657
VI;wegwerkzaamheden (bord A1);Snelheid buiten bebouwde kom ;4;65
VN;bord A3;Snelheid autosnelwegen;33;9
VI;wegwerkzaamheden (bord A1);Snelheid buiten bebouwde kom ;23;33
VF;gedrag;Snelheid buiten bebouwde kom ;10;27549
VL;gedrag;Snelheid autosnelwegen;35;264
VD;wegwerkzaamheden (bord A1);Snelheid binnen bebouwde kom ;15;63
VD;wegwerkzaamheden (bord A1);Snelheid binnen bebouwde kom ;21;21
VH;bord A3;Snelheid buiten bebouwde kom ;18;7
VG;bord A1;Snelheid buiten bebouwde kom ;8;47610
VN;bord A3;Snelheid autosnelwegen;11;2
VF;gedrag;Snelheid buiten bebouwde kom ;4;110080
VM;bord A1;Snelheid autosnelwegen;33;1938
VI;wegwerkzaamheden (bord A1);Snelheid buiten bebouwde kom ;6;59
VI;wegwerkzaamheden (bord A1);Snelheid buiten bebouwde kom ;28;20
VA;gedrag;Snelheid binnen bebouwde kom ;14;29084
VF;gedrag;Snelheid buiten bebouwde kom ;22;3285
VI;wegwerkzaamheden (bord A1);Snelheid buiten bebouwde kom ;8;39
VN;bord A3;Snelheid autosnelwegen;25;6
VC;bord A3;Snelheid binnen bebouwde kom ;26;1
VB;bord A1;Snelheid binnen bebouwde kom ;17;2245
VD;wegwerkzaamheden (bord A1);Snelheid binnen bebouwde kom ;9;189
VL;gedrag;Snelheid autosnelwegen;39;9
VA;gedrag;Snelheid binnen bebouwde kom ;6;232693
VO;wegwerkzaamheden (bord A1);Snelheid autosnelwegen;23;122
VO;wegwerkzaamheden (bord A1);Snelheid autosnelwegen;26;85
VH;bord A3;Snelheid buiten bebouwde kom ;24;6
