FID,NITG,INTERN_NR,MV_TOV_NAP,LENGTE_BORING,DIEPTE_TOV_NAP,DATUM_BORING,BOORSTAAT_TNO_LINK,META_DATA_TNO_LINK,PDF_BOORSTAAT_AANWEZIG_JANEE,PDF_BESTAND_LINK,KLASSE,GEOMETRIE
MIL_BOD_BOOR.fid-36cc8544_1861f90ef02_2cbe,B40C3355,711,21.1,18.2,2.9,20-08-2009,"<A HREF=""http://www2.dinoloket.nl//dinoLks/minisite/borlithology?hideButtons=false&nitgNumber=B40C3355"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",,"ja, maar rapportage is nog niet aanwezig","<A HREF=""http://145.11.60.41/imap/multimedia/rapport nog niet aanwezig"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",Boorstaten10_20,POINT (187342 428632)
MIL_BOD_BOOR.fid-36cc8544_1861f90ef02_2cbf,B40C3356,712,18.6,14.6,4,18-08-2009,"<A HREF=""http://www2.dinoloket.nl//dinoLks/minisite/borlithology?hideButtons=false&nitgNumber=B40C3356"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",,"ja, maar rapportage is nog niet aanwezig","<A HREF=""http://145.11.60.41/imap/multimedia/rapport nog niet aanwezig"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",Boorstaten10_20,POINT (187309 428739)
MIL_BOD_BOOR.fid-36cc8544_1861f90ef02_2cc0,B40C3357,713,14.81,11.9,2.91,19-08-2009,"<A HREF=""http://www2.dinoloket.nl//dinoLks/minisite/borlithology?hideButtons=false&nitgNumber=B40C3357"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",,"ja, maar rapportage is nog niet aanwezig","<A HREF=""http://145.11.60.41/imap/multimedia/rapport nog niet aanwezig"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",Boorstaten10_20,POINT (187198 428742)
MIL_BOD_BOOR.fid-36cc8544_1861f90ef02_2cc1,B40C3358,714,15,12,3,04-11-2009,"<A HREF=""http://www2.dinoloket.nl//dinoLks/minisite/borlithology?hideButtons=false&nitgNumber=B40C3358"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",,"ja, maar rapportage is nog niet aanwezig","<A HREF=""http://145.11.60.41/imap/multimedia/rapport nog niet aanwezig"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",Boorstaten10_20,POINT (187169 428651)
MIL_BOD_BOOR.fid-36cc8544_1861f90ef02_2cc2,B40C3359,K1,24,59,-35,05-04-2007,"<A HREF=""http://www2.dinoloket.nl//dinoLks/minisite/borlithology?hideButtons=false&nitgNumber=B40C3359"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",,ja,"<A HREF=""http://145.11.60.41/imap/multimedia/ondergrond/ROC_boorstaten.pdf#page=2"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",Boorstaten40_200,POINT (186986 428016)
MIL_BOD_BOOR.fid-36cc8544_1861f90ef02_2cc3,B40C3360,PB1,24,70,-46,07-12-2005,"<A HREF=""http://www2.dinoloket.nl//dinoLks/minisite/borlithology?hideButtons=false&nitgNumber=B40C3360"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",,ja,"<A HREF=""http://145.11.60.41/imap/multimedia/ondergrond/ROC_boorstaten.pdf#page=10"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",Boorstaten40_200,POINT (187027 428181)
MIL_BOD_BOOR.fid-36cc8544_1861f90ef02_2cc4,B40C3361,W1,24,57,-33,30-03-2007,"<A HREF=""http://www2.dinoloket.nl//dinoLks/minisite/borlithology?hideButtons=false&nitgNumber=B40C3361"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",,ja,"<A HREF=""http://145.11.60.41/imap/multimedia/ondergrond/ROC_boorstaten.pdf#page=6"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",Boorstaten40_200,POINT (187100 428195)
MIL_BOD_BOOR.fid-36cc8544_1861f90ef02_2cc5,B40C3362,-,9,115,-106,27-08-2009,"<A HREF=""http://www2.dinoloket.nl//dinoLks/minisite/borlithology?hideButtons=false&nitgNumber=B40C3362"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",,-,"<A HREF=""http://145.11.60.41/imap/multimedia/"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",Boorstaten40_200,POINT (186004 432480)
MIL_BOD_BOOR.fid-36cc8544_1861f90ef02_2cc6,B40C3363,-,0.9,115,-114.1,20-08-2009,"<A HREF=""http://www2.dinoloket.nl//dinoLks/minisite/borlithology?hideButtons=false&nitgNumber=B40C3363"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",,-,"<A HREF=""http://145.11.60.41/imap/multimedia/"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",Boorstaten40_200,POINT (185068 432564)
MIL_BOD_BOOR.fid-36cc8544_1861f90ef02_2cc7,B40D0001,-,15,81,-66,01-01-1907,"<A HREF=""http://www2.dinoloket.nl//dinoLks/minisite/borlithology?hideButtons=false&nitgNumber=B40D0001"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",,-,"<A HREF=""http://145.11.60.41/imap/multimedia/"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",Boorstaten40_200,POINT (192090 426858)
MIL_BOD_BOOR.fid-36cc8544_1861f90ef02_2cc8,B40D0002,-,12,10.01,1.99,01-01-1924,"<A HREF=""http://www2.dinoloket.nl//dinoLks/minisite/borlithology?hideButtons=false&nitgNumber=B40D0002"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",,-,"<A HREF=""http://145.11.60.41/imap/multimedia/"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",Boorstaten10_20,POINT (192110 426935)
MIL_BOD_BOOR.fid-36cc8544_1861f90ef02_2cc9,B40D0003,-,11.5,18,-6.5,01-01-1922,"<A HREF=""http://www2.dinoloket.nl//dinoLks/minisite/borlithology?hideButtons=false&nitgNumber=B40D0003"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",,-,"<A HREF=""http://145.11.60.41/imap/multimedia/"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",Boorstaten10_20,POINT (191718 427080)
MIL_BOD_BOOR.fid-36cc8544_1861f90ef02_2cca,B40D0004,-,39,39,0,01-01-1920,"<A HREF=""http://www2.dinoloket.nl//dinoLks/minisite/borlithology?hideButtons=false&nitgNumber=B40D0004"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",,-,"<A HREF=""http://145.11.60.41/imap/multimedia/"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",Boorstaten30_40,POINT (191700 426840)
MIL_BOD_BOOR.fid-36cc8544_1861f90ef02_2ccb,B40D0005,-,23.5,34.5,-11,15-12-1911,"<A HREF=""http://www2.dinoloket.nl//dinoLks/minisite/borlithology?hideButtons=false&nitgNumber=B40D0005"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",,-,"<A HREF=""http://145.11.60.41/imap/multimedia/"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",Boorstaten30_40,POINT (191990 426596)
MIL_BOD_BOOR.fid-36cc8544_1861f90ef02_2ccc,B40D0006,-,25.85,57.8,-31.95,01-01-1912,"<A HREF=""http://www2.dinoloket.nl//dinoLks/minisite/borlithology?hideButtons=false&nitgNumber=B40D0006"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",,-,"<A HREF=""http://145.11.60.41/imap/multimedia/"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",Boorstaten40_200,POINT (192000 426600)
MIL_BOD_BOOR.fid-36cc8544_1861f90ef02_2ccd,B40D0007,-,80,27.6,52.4,Zie bij TNO-link naar metadata,"<A HREF=""http://www2.dinoloket.nl//dinoLks/minisite/borlithology?hideButtons=false&nitgNumber=B40D0007"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",,-,"<A HREF=""http://145.11.60.41/imap/multimedia/"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",Boorstaten20_30,POINT (191510 426490)
MIL_BOD_BOOR.fid-36cc8544_1861f90ef02_2cce,B40D0008,-,81.5,26.25,55.25,01-01-1922,"<A HREF=""http://www2.dinoloket.nl//dinoLks/minisite/borlithology?hideButtons=false&nitgNumber=B40D0008"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",,-,"<A HREF=""http://145.11.60.41/imap/multimedia/"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",Boorstaten20_30,POINT (191504 426497)
MIL_BOD_BOOR.fid-36cc8544_1861f90ef02_2ccf,B40D0009,-,12.3,12.5,-0.2,01-01-1926,"<A HREF=""http://www2.dinoloket.nl//dinoLks/minisite/borlithology?hideButtons=false&nitgNumber=B40D0009"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",,-,"<A HREF=""http://145.11.60.41/imap/multimedia/"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",Boorstaten10_20,POINT (192440 426680)
MIL_BOD_BOOR.fid-36cc8544_1861f90ef02_2cd0,B40D0010,-,57,16,41,01-01-1920,"<A HREF=""http://www2.dinoloket.nl//dinoLks/minisite/borlithology?hideButtons=false&nitgNumber=B40D0010"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",,-,"<A HREF=""http://145.11.60.41/imap/multimedia/"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",Boorstaten10_20,POINT (192060 426430)
MIL_BOD_BOOR.fid-36cc8544_1861f90ef02_2cd1,B40D0011,-,14,17,-3,01-01-1926,"<A HREF=""http://www2.dinoloket.nl//dinoLks/minisite/borlithology?hideButtons=false&nitgNumber=B40D0011"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",,-,"<A HREF=""http://145.11.60.41/imap/multimedia/"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",Boorstaten10_20,POINT (193050 426370)
MIL_BOD_BOOR.fid-36cc8544_1861f90ef02_2cd2,B40C3298,2,10.06,4.25,5.81,01-08-2000,"<A HREF=""http://www2.dinoloket.nl//dinoLks/minisite/borlithology?hideButtons=false&nitgNumber=B40C3298"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",,ja,"<A HREF=""http://145.11.60.41/imap/multimedia/infiltratie/121.pdf#page=11"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",Boorstaten0_10,POINT (186950 431630)
MIL_BOD_BOOR.fid-36cc8544_1861f90ef02_2cd3,B40C3299,3,9.61,6.25,3.36,01-08-2000,"<A HREF=""http://www2.dinoloket.nl//dinoLks/minisite/borlithology?hideButtons=false&nitgNumber=B40C3299"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",,ja,"<A HREF=""http://145.11.60.41/imap/multimedia/infiltratie/121.pdf#page=11"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",Boorstaten0_10,POINT (186645 431725)
MIL_BOD_BOOR.fid-36cc8544_1861f90ef02_2cd4,B40C3300,4,9.91,4,5.91,01-08-2000,"<A HREF=""http://www2.dinoloket.nl//dinoLks/minisite/borlithology?hideButtons=false&nitgNumber=B40C3300"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",,ja,"<A HREF=""http://145.11.60.41/imap/multimedia/infiltratie/121.pdf#page=11"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",Boorstaten0_10,POINT (188550 432920)
MIL_BOD_BOOR.fid-36cc8544_1861f90ef02_2cd5,B40C3301,5,10.17,7.75,2.42,01-08-2000,"<A HREF=""http://www2.dinoloket.nl//dinoLks/minisite/borlithology?hideButtons=false&nitgNumber=B40C3301"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",,ja,"<A HREF=""http://145.11.60.41/imap/multimedia/infiltratie/121.pdf#page=11"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",Boorstaten0_10,POINT (188860 431625)
MIL_BOD_BOOR.fid-36cc8544_1861f90ef02_2cd6,B40C3302,6,9.93,5.25,4.68,01-08-2000,"<A HREF=""http://www2.dinoloket.nl//dinoLks/minisite/borlithology?hideButtons=false&nitgNumber=B40C3302"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",,ja,"<A HREF=""http://145.11.60.41/imap/multimedia/infiltratie/121.pdf#page=11"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",Boorstaten0_10,POINT (187875 431480)
MIL_BOD_BOOR.fid-36cc8544_1861f90ef02_2cd7,B40C3303,7,10.36,4.25,6.11,01-08-2000,"<A HREF=""http://www2.dinoloket.nl//dinoLks/minisite/borlithology?hideButtons=false&nitgNumber=B40C3303"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",,ja,"<A HREF=""http://145.11.60.41/imap/multimedia/infiltratie/121.pdf#page=11"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",Boorstaten0_10,POINT (187840 430120)
MIL_BOD_BOOR.fid-36cc8544_1861f90ef02_2cd8,B40C3304,8,10.14,4.25,5.89,01-08-2000,"<A HREF=""http://www2.dinoloket.nl//dinoLks/minisite/borlithology?hideButtons=false&nitgNumber=B40C3304"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",,ja,"<A HREF=""http://145.11.60.41/imap/multimedia/infiltratie/121.pdf#page=11"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",Boorstaten0_10,POINT (188140 430802)
MIL_BOD_BOOR.fid-36cc8544_1861f90ef02_2cd9,B40C3305,9,9.62,3.75,5.87,01-08-2000,"<A HREF=""http://www2.dinoloket.nl//dinoLks/minisite/borlithology?hideButtons=false&nitgNumber=B40C3305"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",,ja,"<A HREF=""http://145.11.60.41/imap/multimedia/infiltratie/121.pdf#page=11"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",Boorstaten0_10,POINT (187270 430595)
MIL_BOD_BOOR.fid-36cc8544_1861f90ef02_2cda,B40C3306,M1,14,50,-36,08-06-2005,"<A HREF=""http://www2.dinoloket.nl//dinoLks/minisite/borlithology?hideButtons=false&nitgNumber=B40C3306"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",,ja,"<A HREF=""http://145.11.60.41/imap/multimedia/bodemonderz/3654.pdf#page=8"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",Boorstaten40_200,POINT (186191 427586)
MIL_BOD_BOOR.fid-36cc8544_1861f90ef02_2cdb,B40C3307,M2,12,52,-40,24-08-2005,"<A HREF=""http://www2.dinoloket.nl//dinoLks/minisite/borlithology?hideButtons=false&nitgNumber=B40C3307"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",,ja,"<A HREF=""http://145.11.60.41/imap/multimedia/bodemonderz/3654.pdf#page=9"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",Boorstaten40_200,POINT (185840 427559)
MIL_BOD_BOOR.fid-36cc8544_1861f90ef02_2cdc,B40C3308,M3,15.5,62,-46.5,23-08-2005,"<A HREF=""http://www2.dinoloket.nl//dinoLks/minisite/borlithology?hideButtons=false&nitgNumber=B40C3308"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",,ja,"<A HREF=""http://145.11.60.41/imap/multimedia/bodemonderz/3654.pdf#page=10"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",Boorstaten40_200,POINT (186352 427717)
MIL_BOD_BOOR.fid-36cc8544_1861f90ef02_2cdd,B40C3309,M4,10.7,62,-51.3,23-08-2005,"<A HREF=""http://www2.dinoloket.nl//dinoLks/minisite/borlithology?hideButtons=false&nitgNumber=B40C3309"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",,ja,"<A HREF=""http://145.11.60.41/imap/multimedia/bodemonderz/3654.pdf#page=11"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",Boorstaten40_200,POINT (185946 427995)
MIL_BOD_BOOR.fid-36cc8544_1861f90ef02_2cde,B40C3310,M5,10.65,60,-49.35,14-05-2005,"<A HREF=""http://www2.dinoloket.nl//dinoLks/minisite/borlithology?hideButtons=false&nitgNumber=B40C3310"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",,ja,"<A HREF=""http://145.11.60.41/imap/multimedia/bodemonderz/4885.pdf#page=54"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",Boorstaten40_200,POINT (185638 427848)
MIL_BOD_BOOR.fid-36cc8544_1861f90ef02_2cdf,B40C3311,M6,10.45,60,-49.55,14-05-2005,"<A HREF=""http://www2.dinoloket.nl//dinoLks/minisite/borlithology?hideButtons=false&nitgNumber=B40C3311"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",,ja,"<A HREF=""http://145.11.60.41/imap/multimedia/bodemonderz/4885.pdf#page=54"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",Boorstaten40_200,POINT (185669 428192)
MIL_BOD_BOOR.fid-36cc8544_1861f90ef02_2ce0,B40C3312,M7,10.75,60,-49.25,14-05-2005,"<A HREF=""http://www2.dinoloket.nl//dinoLks/minisite/borlithology?hideButtons=false&nitgNumber=B40C3312"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",,ja,"<A HREF=""http://145.11.60.41/imap/multimedia/bodemonderz/4885.pdf#page=55"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",Boorstaten40_200,POINT (186071 428286)
MIL_BOD_BOOR.fid-36cc8544_1861f90ef02_2ce1,B40C3313,4003,24.11,40,-15.89,14-05-2005,"<A HREF=""http://www2.dinoloket.nl//dinoLks/minisite/borlithology?hideButtons=false&nitgNumber=B40C3313"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",,ja,"<A HREF=""http://145.11.60.41/imap/multimedia/bodemonderz/3079.pdf#page=88"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",Boorstaten30_40,POINT (186409 427335)
MIL_BOD_BOOR.fid-36cc8544_1861f90ef02_2ce2,B40C3314,4004,24.25,40,-15.75,14-05-2005,"<A HREF=""http://www2.dinoloket.nl//dinoLks/minisite/borlithology?hideButtons=false&nitgNumber=B40C3314"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",,ja,"<A HREF=""http://145.11.60.41/imap/multimedia/bodemonderz/3079.pdf#page=88"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",Boorstaten30_40,POINT (186452 427214)
