BOOMSOORT,LATIJNSENA,STATUS,PLANTJAAR,HOOGTE,DIAMETER,EINDBEELD,VITALITEIT,LEVENSVERW,BEHEERDER,KORTETERM,OPPERVLAK,RANDLENGTE,LANGETERM,VTACONTROL,WEGTYPE,STANDPLAAT,GEOID,longitude,latitude
Esdoorn,Acer rubrum Scanlon,Basis,1965,12-15,70 t/m 75,TR 3.00,Basis,>15 jr,REB Stedelijk,BgsA,0,0,Geen actie,C 1 x 3jr,Voetpad,Gazon,118880,5.42941289018,51.4451587167
Es,Fraxinus excelsior,Basis,1990,9-12,30 t/m 35,TR 4.20,Basis,>15 jr,REB Stedelijk,OhsB,2.5,0,Geen actie,C 1 x 3jr,DB 1 rijstr./rr,Verharding,104570,5.47046801027,51.477909147299997
Eik,Quercus rubra,Waardevol,1945,15-18,65 t/m 70,TR 4.20,Basis,>15 jr,REB Stedelijk,OhsB,0,0,Geen actie,C 1 x 3jr,Fietspad,Berm,64768,5.44755931588,51.478640513899997
Valse Christusdoorn,Gleditsia triacanthos Sunburst,Basis,1985,12-15,35 t/m 40,TR 3.00,Basis,>15 jr,REB Stedelijk,OhsB,0,0,Geen actie,C 1 x 3jr,Voetpad,Beplanting,17289,5.51931071658,51.4364646382
Populier,Populus Canadensis Gelrica,Basis,1963,< 6,0 t/m 5,TR 3.00,Geen,Geen,REB Stedelijk,BgsA,0,0,Boomspiegel verwijderen,C 1 x 3jr,EB geen rijstr.ind,Beplanting,122665,5.51448665379,51.453397720600002
Peer,Pyrus calleryana Chanticleer,Waardevol,1990,6-9,15 t/m 20,TR 4.20,Basis,>15 jr,REB Stedelijk,BgsB,2.5,0,Geen actie,C 1 x 3jr,EB 1 rijstr./rr,Verharding,136165,5.46876337638,51.431080012499997
Berk,Betula pendula,Waardevol,1960,18-24,40 t/m 45,TR 4.20,Basis,>15 jr,REB Stedelijk,OhsB,0,0,Geen actie,C 1 x 3jr,Fietspad,Berm,51113,5.45415092665,51.470730171699998
Eik,Quercus robur,Basis,1980,12-15,30 t/m 35,TR 4.20,Basis,>15 jr,REB Stedelijk,BgsB,0,0,Geen actie,C 1 x 3jr,Fietspad,Berm,73237,5.50482808855,51.484319681700001
Populier,Populus nigra Italica,Basis,1965,> 24,75 t/m 80,TR 4.20,Basis,>15 jr,REB Stedelijk,OhsB,0,0,Geen actie,C 1 x 3jr,EB geen rijstr.ind,Beplanting,18669,5.49931925374,51.424556560699997
Krentenboom,Amelanchier arborea Robin Hill,Basis,2005,< 6,5 t/m 10,TR 4.20,Basis,>15 jr,REB Stedelijk,BgsB,2.5,0,Geen actie,C 1 x 3jr,EB geen rijstr.ind,Verharding,125305,5.47755325898,51.465242519199997
Eik,Quercus cerris,Waardevol,1950,15-18,60 t/m 65,TR 4.20,Basis,>15 jr,REB Stedelijk,OhsB,0,0,Geen actie,C 1 x 3jr,EB geen rijstr.ind,Gazon,103724,5.48724950305,51.473984845399997
Esdoorn,Acer platanoides Schwedleri,Basis,1975,9-12,30 t/m 35,TR 4.20,Basis,>15 jr,REB Stedelijk,BgsB,2.5,0,Geen actie,C 1 x 3jr,EB geen rijstr.ind,Verharding,62669,5.49301462227,51.439011495800003
Berk,Betula papyrifera,Basis,1970,< 6,0 t/m 5,TR 4.20,Geen,Geen,REB Stedelijk,BgsA,0,0,Boomspiegel verwijderen,C 1 x 3jr,Voetpad,Verharding,127719,5.47551061234,51.475042717100003
Linde,Tilia platyphyllos,Basis,1975,18-24,70 t/m 75,TR 3.00,Basis,>15 jr,REB Stedelijk,OhsB,0,0,Geen actie,C 1 x 3jr,Voetpad,Gazon,26664,5.51032584674,51.437074600800003
Wilg,Salix alba Liempde,Basis,1960,18-24,75 t/m 80,TR 4.20,Basis,>15 jr,REB Stedelijk,OhsB,0,0,Geen actie,C 1 x jr,EB 1 rijstr./rr,Beplanting,21156,5.5065193063,51.424115594699998
Iep,Ulmus Lobel,Basis,1975,9-12,30 t/m 35,TR 4.20,Basis,>15 jr,REB Stedelijk,BgsB,2.5,0,Geen actie,C 1 x 3jr,DB> 1 rijstr./rr,Verharding,63624,5.50503562093,51.439241104600001
Eik,Quercus robur,Basis,1970,18-24,40 t/m 45,TR 3.00,Basis,>15 jr,REB Stedelijk,OhsB,0,0,Geen actie,C 1 x 3jr,NVT,Beplanting,75040,5.47193725062,51.4806836594
Esdoorn,Acer platanoides Cleveland,Basis,1990,< 6,5 t/m 10,TR 4.20,Laag,10-15 jr,REB Stedelijk,BgsB,2.5,0,Geen actie,C 1 x 3jr,EB geen rijstr.ind,Verharding,67242,5.42235329745,51.479264255899999
Es,Fraxinus excelsior Diversifolia,Basis,1995,< 6,5 t/m 10,TR 4.20,Basis,>15 jr,REB Stedelijk,BgsB,2.5,0,Geen actie,C 1 x 3jr,EB 1 rijstr./rr,Verharding,53465,5.46633928348,51.485825646099997
,,Basis,1990,6-9,15 t/m 20,TR 3.00,Basis,>15 jr,REB Stedelijk,BgsB,0,0,Geen actie,C 1 x 3jr,Fietspad,Beplanting,116240,5.43245529981,51.423775622800001
Eik,Quercus robur,Waardevol,1950,15-18,50 t/m 55,TR 4.20,Basis,>15 jr,REB Stedelijk,OhsB,0,0,Geen actie,C 1 x 3jr,EB geen rijstr.ind,Berm,132860,5.53074605189,51.435194564299998
Wilg,Salix alba,Basis,1980,< 6,30 t/m 35,Knot,Basis,>15 jr,REB Buitengebied,Altijd,0,0,Geen actie,C 1 x 5jr,Voetpad,Berm,78590,5.5053218025,51.4881558019
Eik,Quercus robur,Waardevol,1985,15-18,20 t/m 25,TR 3.00,Basis,>15 jr,REB Stedelijk,BgsB,0,0,Geen actie,C 1 x 3jr,Fietspad,Berm,20207,5.5299344699,51.432228645899997
Kers,Prunus padus Albertii,Basis,2008,,,TR 3.00,,,REB Stedelijk,BgsB,,0,Geen actie,C 1 x 3jr,,Verharding,38246,5.47378273171,51.4697411171
Es,Fraxinus excelsior Geessink,Basis,1990,< 6,10 t/m 15,TR 4.20,Basis,10-15 jr,REB Stedelijk,BgsB,2.5,0,Geen actie,C 1 x 3jr,EB geen rijstr.ind,Verharding,106962,5.5181040168,51.443584743000002
Populier,Populus alba,Basis,1970,> 24,70 t/m 75,TR 4.20,Basis,>15 jr,REB Stedelijk,OhsB,0,0,Geen actie,C 1 x 3jr,EB geen rijstr.ind,Beplanting,123579,5.47296985476,51.427287961499999
Iep,Ulmus hollandica Vegeta,Waardevol,1970,12-15,30 t/m 35,TR 4.20,Basis,>15 jr,REB Stedelijk,OhsB,0,0,Geen actie,C 1 x 3jr,EB 1 rijstr./rr,Berm,43463,5.48774726435,51.475660667500001
Berk,Betula pendula,Basis,1970,15-18,35 t/m 40,TR 3.00,Basis,>15 jr,REB Buitengebied,BgsA,0,0,Geen actie,C 1 x 5jr,Voetpad,Beplanting,983,5.51313741642,51.456534859400001
Berk,Betula pendula,Basis,1980,12-15,35 t/m 40,TR 3.00,Basis,>15 jr,REB Stedelijk,BgsB,0,0,Geen actie,C 1 x 3jr,EB geen rijstr.ind,Beplanting,110827,5.43941454155,51.425445697400001
Valse acasia,Robinia pseudoacacia,Waardevol,1965,12-15,45 t/m 50,TR 4.20,Basis,>15 jr,REB Stedelijk,OhsB,>2.5-5,0,Geen actie,C 1 x jr,EB geen rijstr.ind,Verharding,3899,5.4682624436,51.4245461804
Valse acasia,Robinia pseudoacacia Bessoniana,Basis,1950,12-15,65 t/m 70,TR 4.20,Laag,10-15 jr,REB Stedelijk,OhsB,>5,0,NO,C 1 x jr,EB geen rijstr.ind,Verharding,15885,5.49679159478,51.421804202099999
Esdoorn,Acer campestre,Basis,1990,6-9,10 t/m 15,TR 3.00,Basis,>15 jr,REB Stedelijk,BgsB,2.5,2,Geen actie,C 1 x 3jr,Voetpad,Gazon,27598,5.52076610436,51.450956261800002
Es,Fraxinus americana Microcarpa,Basis,1970,12-15,35 t/m 40,TR 4.20,Basis,>15 jr,REB Stedelijk,BgsB,2.5,0,Geen actie,C 1 x 3jr,EB geen rijstr.ind,Verharding,47204,5.45259907991,51.478812666400003
Esdoorn,Acer platanoides,Basis,1985,6-9,15 t/m 20,TR 4.20,Basis,>15 jr,REB Stedelijk,BgsB,2.5,0,Geen actie,C 1 x 3jr,EB geen rijstr.ind,Verharding,83173,5.4343894199,51.423743339200001
Meidoorn,Crataegus crus-galli Salicifolia,Basis,1995,< 6,20 t/m 25,TR 3.00,Basis,>15 jr,REB Stedelijk,OhsB,0,0,Geen actie,C 1 x 3jr,Voetpad,Beplanting,137249,5.44793109555,51.414803691000003
Es,Fraxinus excelsior,Basis,1995,< 6,15 t/m 20,TR 4.20,Basis,>15 jr,REB Stedelijk,BgsB,>2.5-5,0,Geen actie,C 1 x 3jr,EB geen rijstr.ind,Verharding,109506,5.43937786859,51.413666495500003
Eik,Quercus robur,Basis,1985,9-12,25 t/m 30,TR 4.20,Basis,>15 jr,REB Stedelijk,BgsB,2.5,0,Geen actie,C 1 x 3jr,EB 1 rijstr./rr,Verharding,132546,5.46760329418,51.4168909339
Es,Fraxinus excelsior,Basis,1990,< 6,15 t/m 20,TR 4.20,Basis,>15 jr,REB Stedelijk,BgsB,2.5,0,Geen actie,C 1 x 3jr,EB geen rijstr.ind,Verharding,63150,5.44500755552,51.488352313
,,,0,,,,,,Particulier,,,0,,,,,29440,5.49340750053,51.457146749099998
Esdoorn,Acer platanoides Schwedleri,Waardevol,1960,15-18,45 t/m 50,TR 4.20,Basis,>15 jr,REB Stedelijk,OhsB,>2.5-5,0,Geen actie,C 1 x 3jr,EB geen rijstr.ind,Verharding,5099,5.44068556832,51.4398288983
Lijsterbes,Sorbus hybrida Gibbsii,Basis,1985,< 6,25 t/m 30,TR 4.20,Basis,>15 jr,REB Stedelijk,OhsB,2.5,0,Geen actie,C 1 x 3jr,EB geen rijstr.ind,Verharding,51457,5.44615397333,51.485611691999999
Esdoorn,Acer platanoides,Basis,1985,6-9,25 t/m 30,TR 4.20,Basis,>15 jr,REB Stedelijk,BgsB,2.5,0,Geen actie,C 1 x 3jr,EB geen rijstr.ind,Verharding,83463,5.44043320058,51.422095790199997
Haagbeuk,Carpinus betulus Purpurea,Basis,1990,< 6,10 t/m 15,TR 4.20,Basis,>15 jr,REB Stedelijk,BgsB,2.5,0,Geen actie,C 1 x 3jr,EB geen rijstr.ind,Verharding,58549,5.47959156442,51.4861117803
Eik,Quercus robur,Basis,1980,9-12,30 t/m 35,TR 3.00,Basis,>15 jr,REB Stedelijk,BgsB,0,0,Geen actie,C 1 x 3jr,Fietspad,Beplanting,102047,5.44628335026,51.424660853299997
Populier,Populus canescens,Basis,1980,> 24,50 t/m 55,TR 4.20,Basis,>15 jr,REB Buitengebied,OhsB,0,0,Geen actie,C 1 x 5jr,EB geen rijstr.ind,Berm,94152,5.50202528322,51.4890022222
Paardenkastanje,Aesculus carnea Briotii,Basis,1985,6-9,35 t/m 40,TR 4.20,Laag,5-10 jr,REB Stedelijk,BgsA,2.5,0,Geen actie,C 1 x 3jr,EB geen rijstr.ind,Verharding,62095,5.51326516561,51.438161479400001
Esdoorn,Acer platanoides Schwedleri,Basis,1980,< 6,15 t/m 20,TR 4.20,Basis,10-15 jr,REB Stedelijk,BgsB,2.5,0,Geen actie,C 1 x 3jr,EB geen rijstr.ind,Verharding,11272,5.49358034096,51.417100735699997
Wilg,Salix matsudana Tortuosa,Basis,1960,12-15,50 t/m 55,TR 3.00,Laag,10-15 jr,REB Stedelijk,OhsB,0,0,Geen actie,C 1 x 3jr,Voetpad,Beplanting,74701,5.45028909552,51.483731867300001
Esdoorn,Acer platanoides,Basis,1990,6-9,15 t/m 20,TR 4.20,Basis,>15 jr,REB Stedelijk,BgsB,2.5,0,Geen actie,C 1 x 3jr,EB geen rijstr.ind,Verharding,82674,5.43330694739,51.423443614500002
Eik,Quercus robur,Monumentaal,1930,> 24,70 t/m 75,TR 4.20,Basis,>15 jr,REB Stedelijk,OhsA,0,0,Geen actie,C 1 x 3jr,Fietspad,Beplanting,71596,5.43949317045,51.456400401000003
Eik,Quercus robur,Waardevol,1960,15-18,40 t/m 45,TR 4.20,Basis,>15 jr,REB Stedelijk,OhsB,0,0,Geen actie,C 1 x 3jr,EB geen rijstr.ind,Berm,67614,5.54016233993,51.432246750799997
Iep,Ulmus hollandica Commelin,Basis,1980,> 24,40 t/m 45,TR 4.20,Basis,>15 jr,REB Stedelijk,OhsB,0,0,Geen actie,C 1 x 3jr,Fietspad,Beplanting,82302,5.4394551158,51.4199432992
Es,Fraxinus excelsior,Basis,1990,< 6,20 t/m 25,TR 3.00,Basis,>15 jr,REB Stedelijk,BgsA,0,0,Geen actie,C 1 x 3jr,Voetpad,Berm,82872,5.4472858894,51.426413924599998
Wilg,Salix alba,Waardevol,1990,< 6,30 t/m 35,Knot,Basis,>15 jr,REB Stedelijk,Altijd,0,0,Geen actie,C 1 x 3jr,EB geen rijstr.ind,Berm,78587,5.50310741545,51.489660729800001
Haagbeuk,Carpinus betulus Purpurea,Basis,1990,< 6,5 t/m 10,TR 4.20,Basis,>15 jr,REB Stedelijk,BgsB,2.5,0,Geen actie,C 1 x 3jr,EB geen rijstr.ind,Verharding,53862,5.46420043301,51.485921667
Eik,Quercus robur,Basis,1975,15-18,35 t/m 40,TR 4.20,Basis,>15 jr,REB Stedelijk,BgsB,0,0,Geen actie,C 1 x 3jr,EB geen rijstr.ind,Berm,137189,5.36110764582,51.443970364999998
Es,Fraxinus excelsior,Waardevol,1960,15-18,70 t/m 75,TR 3.00,Basis,>15 jr,REB Buitengebied,OhsA,0,0,Geen actie,C 1 x 5jr,Voetpad,Berm,53568,5.50664677079,51.4757334906
Paardenkastanje,Aesculus hippocastanum Baumannii,Waardevol,1980,9-12,35 t/m 40,TR 4.20,Basis,5-10 jr,REB Stedelijk,BgsA,>2.5-5,0,Geen actie,C 1 x 3jr,EB geen rijstr.ind,Verharding,81235,5.46184099362,51.422409765499999
Peer,Pyrus calleryana Chanticleer,Basis,2006,< 6,10 t/m 15,TR 4.20,Basis,>15 jr,REB Stedelijk,BgsB,2.5,0,Geen actie,C 1 x 3jr,EB geen rijstr.ind,Verharding,109350,5.45024470366,51.418296454100002
Kers,Prunus serrulata Kanzan,Waardevol,1965,6-9,25 t/m 30,TR 3.00,Basis,10-15 jr,REB Stedelijk,BgsA,0,0,Geen actie,C 1 x 3jr,DB 1 rijstr./rr,Gazon,11201,5.49559359424,51.416026141099998
Linde,Tilia vulgaris europaea,Basis,1990,9-12,30 t/m 35,TR 4.20,Basis,>15 jr,REB Stedelijk,BgsB,2.5,0,Geen actie,C 1 x 3jr,EB geen rijstr.ind,Verharding,134965,5.46369604432,51.432900299499998
Es,Fraxinus angustifolia Raywood,Basis,1970,15-18,50 t/m 55,TR 3.00,Basis,>15 jr,REB Stedelijk,OhsB,0,0,Geen actie,C 1 x 3jr,Voetpad,Beplanting,62102,5.43996715706,51.4162028382
Meidoorn,Crataegus crus-galli Salicifolia,Waardevol,1975,6-9,25 t/m 30,TR 3.00,Basis,>15 jr,REB Stedelijk,OhsB,0,0,Geen actie,C 1 x 3jr,EB geen rijstr.ind,Beplanting,97494,5.51366875377,51.429181134899999
Plataan,Platanus hispanica,Waardevol,1950,15-18,65 t/m 70,TR 4.20,Basis,>15 jr,REB Stedelijk,OhsB,>5,0,Geen actie,C 1 x 3jr,Eenrw.1 rijstr,Verharding,130652,5.45813686778,51.419631512199999
Populier,Populus euramericana,Basis,1975,> 24,45 t/m 50,TR 4.20,Basis,>15 jr,REB Buitengebied,OhsA,0,0,Geen actie,C 1 x 5jr,Voetpad,Berm,57960,5.45518978844,51.486509874500001
Eik,Quercus robur,Basis,1975,12-15,60 t/m 65,TR 3.00,Basis,>15 jr,REB Stedelijk,OhsB,0,0,Geen actie,C 1 x 3jr,Voetpad,Beplanting,67224,5.46164017291,51.480216228099998
Els,Alnus spaethii,Basis,2001,9-12,10 t/m 15,TR 4.20,Basis,>15 jr,REB Stedelijk,BgsB,2.5,2,Geen actie,C 1 x 3jr,EB geen rijstr.ind,Gazon,12788,5.47883675903,51.4150903317
Plataan,Platanus hispanica,Basis,1970,15-18,40 t/m 45,TR 4.20,Basis,>15 jr,REB Stedelijk,OhsB,2.5,0,Geen actie,C 1 x 3jr,EB geen rijstr.ind,Verharding,16431,5.52027822808,51.445782494299998
Plataan,Platanus hispanica,Basis,1970,9-12,55 t/m 60,Kandelaber,Basis,>15 jr,REB Stedelijk,Altijd,>2.5-5,0,Geen actie,C 1 x 3jr,EB geen rijstr.ind,Verharding,121188,5.5108862845,51.4356917088
Populier,Populus canescens,Basis,2000,18-24,15 t/m 20,Vrij uitgroei,Basis,>15 jr,REB Buitengebied,OhsB,0,0,Geen actie,C 1 x 5jr,NVT,Berm,117946,5.50631152915,51.481487871500001
Es,Fraxinus excelsior,Basis,1975,9-12,25 t/m 30,TR 4.20,Basis,>15 jr,REB Stedelijk,OhsB,0,0,Geen actie,C 1 x 3jr,Voetpad,Beplanting,84303,5.43394860687,51.410862922600003
,,Basis,1975,< 6,25 t/m 30,Vrij uitgroei,,,REB Stedelijk,OhsB,0,0,Geen actie,C 1 x 3jr,NVT,Berm,44275,5.43821893813,51.476293631600001
Eik,Quercus robur,Basis,2004,< 6,5 t/m 10,TR 4.20,Basis,>15 jr,REB Stedelijk,BgsB,2.5,4,Geen actie,C 1 x 3jr,EB geen rijstr.ind,Gazon,4645,5.45129282564,51.416865070599997
Berk,Betula pendula,Basis,1975,18-24,30 t/m 35,TR 4.20,Basis,>15 jr,REB Stedelijk,OhsB,0,0,Geen actie,C 1 x 3jr,Fietspad,Beplanting,3714,5.42580466683,51.442036577700001
Esdoorn,Acer rubrum,Basis,1990,9-12,30 t/m 35,TR 4.20,Basis,>15 jr,REB Stedelijk,BgsB,2.5,0,Geen actie,C 1 x 3jr,EB 1 rijstr./rr,Verharding,50927,5.46046729414,51.480706188399999
Valse acasia,Robinia pseudoacacia,Waardevol,1960,12-15,45 t/m 50,TR 4.20,Basis,>15 jr,REB Stedelijk,OhsB,>5,0,Geen actie,C 1 x 3jr,EB 1 rijstr./rr,Verharding,96046,5.43602681871,51.420531265599998
Esdoorn,Acer campestre Elsrijk,Basis,1975,12-15,45 t/m 50,TR 4.20,Basis,>15 jr,REB Stedelijk,OhsB,0,0,Geen actie,C 1 x 3jr,EB geen rijstr.ind,Beplanting,20754,5.5064443992,51.428177616500001
Esdoorn,Acer platanoides Olmsted,Basis,2005,< 6,5 t/m 10,TR 4.20,Basis,>15 jr,REB Stedelijk,BgsB,2.5,0,Geen actie,C 1 x 3jr,EB geen rijstr.ind,Verharding,133282,5.44527196766,51.425389904699998
Hemelboom,Ailanthus altissima,Basis,1995,< 6,15 t/m 20,TR 4.20,Basis,>15 jr,REB Stedelijk,OhsB,2.5,0,Geen actie,C 1 x 3jr,EB geen rijstr.ind,Verharding,110361,5.43221418105,51.412480421600002
Es,Fraxinus angustifolia Raywood,Basis,2000,< 6,5 t/m 10,TR 4.20,Basis,>15 jr,REB Stedelijk,BgsB,2.5,4,Geen actie,C 1 x 3jr,EB geen rijstr.ind,Gazon,1626,5.4735978885,51.492898962600002
Eik,Quercus robur,Basis,1970,9-12,40 t/m 45,TR 4.20,Basis,>15 jr,REB Stedelijk,BgsB,0,0,Geen actie,C 1 x 3jr,DB 1 rijstr./rr,Beplanting,39945,5.45155096664,51.482932975399997
Eik,Quercus rubra,Waardevol,1950,18-24,50 t/m 55,TR 4.20,Basis,>15 jr,REB Stedelijk,OhsB,0,0,Geen actie,C 1 x 3jr,Fietspad,Berm,84038,5.43548057345,51.414176696799998
Eik,Quercus robur,Basis,1970,9-12,30 t/m 35,TR 4.20,Basis,>15 jr,REB Stedelijk,BgsB,2.5,0,Geen actie,C 1 x 3jr,DB 1 rijstr./rr,Verharding,45002,5.44867903695,51.489068139899999
Eik,Quercus robur,Waardevol,1950,15-18,55 t/m 60,TR 4.20,Basis,>15 jr,REB Stedelijk,OhsB,0,0,Geen actie,C 1 x 3jr,Fietspad,Beplanting,48261,5.44597349001,51.489945822499998
Valse Christusdoorn,Gleditsia triacanthos Skyline,Basis,1976,18-24,50 t/m 55,TR 4.20,Basis,>15 jr,REB Stedelijk,OhsB,2.5,0,Geen actie,C 1 x 3jr,EB geen rijstr.ind,Verharding,10057,5.49489903391,51.4299302071
Beuk,Fagus sylvatica,Waardevol,1980,15-18,45 t/m 50,TR 3.00,Basis,>15 jr,REB Buitengebied,BgsA,0,0,Geen actie,C 1 x 5jr,Fietspad,Berm,604,5.49891169866,51.458642917100001
Paardenkastanje,Aesculus hippocastanum Baumannii,Basis,1980,15-18,60 t/m 65,TR 3.00,Basis,5-10 jr,REB Stedelijk,BgsB,0,0,Geen actie,C 1 x 3jr,NVT,Beplanting,25582,5.51098423215,51.435896636800003
