FID,vrt_code,vrtnaam,haven_vaar,meetpunt_b,meetpunt_e,trajectlen,trajectnr,traject_v_,ysc_naam,ysc_nr,ysc_tel_nr,kenmerk_id,id,se_anno_cad_data,gdb_geomattr_data,shape
ijstraject.62,231,Lage Vaart,,1,20.8,,09 - 11,Lage Dwarsvaart - De Vaart (Lage Vaart),Prov. Flevoland,,0320-265761,,21485,,,"LINESTRING (52.40329999800002 5.239599999000006, 52.399599998999975 5.243999998999982, 52.39779999899997 5.245900000999995, 52.393899999999974 5.250500000999978, 52.38280000200001 5.263300001999994, 52.38149999799998 5.2654, 52.38089999900001 5.267700002000026, 52.380600001999994 5.269999999999982, 52.38069999999999 5.272799998999972, 52.382300000999976 5.278000001000009, 52.39229999899999 5.307900000000018, 52.39799999799999 5.324799999999982, 52.403399999999976 5.3405999990000055, 52.40590000200001 5.347800001999985, 52.411499999 5.361200000999986, 52.43509999999998 5.416000000999986, 52.43629999799998 5.418400001000009, 52.4375 5.420200001000012, 52.443700001000025 5.42700000100001, 52.444800000999976 5.428699999999992, 52.446199998 5.431100000000015, 52.447900000999994 5.434900001000017, 52.449700001999986 5.4384000000000015, 52.455200002000026 5.448600001999978, 52.464400001 5.464499998999997, 52.46579999800002 5.466800001000024)"
ijstraject.111,230,Vaarweg van Amsterdam via de Houtribsluizen naar Lemmer,,15.5,34.1,,22 - 23,Houtribsluizen - Lichtboei BvK,RWS Midden-Nederland Noord,,0320-261111,,19121,,,"LINESTRING (52.442299999 5.209800001000019, 52.49260000100003 5.3465000020000275, 52.50169999899998 5.371500000000026, 52.502999999 5.378199998000014, 52.50829999899997 5.405299999000022, 52.50880000000001 5.408199998999976, 52.50939999899998 5.4109999980000225, 52.51170000100001 5.422800000999985, 52.512200001999986 5.425200000000018, 52.51299999999998 5.428399999000021, 52.516700000000014 5.432700001000001, 52.519299999 5.4334999989999915, 52.52800000100001 5.434199999999976)"
ijstraject.63,086,"Zwolle-IJsselkanaal, Zwarte Water, Zwolsche Diep, Ramsdiep en Schokkerhaven",,3,17.2,,14 - 15,Zwolle - Zwartsluis,RWS Oost-Nederland Noord en Oost,,026-3642747,,21538,,,"LINESTRING (52.52510000000001 6.072200000000009, 52.52620000000002 6.071600000999979, 52.52769999999998 6.070500001000028, 52.52829999800002 6.070500001000028, 52.52910000100002 6.070599999000024, 52.53180000200001 6.073199998999996, 52.533199998999976 6.073600001999978, 52.534400000999995 6.074099998999998, 52.53799999900002 6.074499998000022, 52.540100000999985 6.074799999999982, 52.54140000000001 6.075199999000006, 52.542700000000025 6.076099999000007, 52.54540000100002 6.07869999899998, 52.54720000200001 6.0817000010000015, 52.550400000000025 6.087600000000009, 52.553300001000025 6.093099999999993, 52.5539 6.093600001000027, 52.55449999899997 6.093800000999977, 52.5557 6.094500002000018, 52.55620000099998 6.095199997999998, 52.55660000099999 6.095699998999976, 52.557700001 6.097500000000025, 52.558400000999995 6.0984000000000265, 52.56199999900002 6.099899999999991, 52.563099998999974 6.100999999999999, 52.56500000099999 6.102699998999981, 52.566300001 6.103599998999982, 52.56760000100002 6.103599998999982, 52.56969999900002 6.103200000000015, 52.57209999899999 6.103200000000015, 52.575300001000016 6.103500000999986, 52.576900002 6.103399998999976, 52.578100000000006 6.102699998999981, 52.582100000000025 6.098700001999987, 52.582400001999986 6.0984000000000265, 52.584899999000015 6.095600002000026, 52.58680000200002 6.0940000009999835, 52.58870000000002 6.090899999999976, 52.590100001999986 6.087499998999988, 52.591699999000014 6.085200000999976, 52.5933 6.084100001000024, 52.595699998999976 6.083700001000011, 52.596600000000024 6.083900001000018, 52.598000001 6.084600002000002, 52.598900001000004 6.085200000999976, 52.59989999999999 6.086500000000001, 52.601199999000016 6.088500001, 52.602899998 6.091499999000007, 52.60310000200002 6.091699999000014, 52.60410000000002 6.093099999999993, 52.605200000000025 6.093899998999973, 52.60649999999998 6.094200000000001, 52.60770000100001 6.093699999000023, 52.608899999000016 6.092799999000022, 52.6096 6.091800001000024, 52.61129999899998 6.089400001000001, 52.61419999999998 6.083999999000014, 52.61609999799998 6.080800001, 52.618900000999986 6.077599998999972, 52.621800001999986 6.0764000010000245, 52.62249999900001 6.076099999000007, 52.623399999000014 6.076200001000018, 52.62479999999999 6.0767999999999915, 52.628899999 6.0779, 52.63089999900001 6.0782999990000235, 52.63280000200001 6.07800000200001, 52.63450000099999 6.077100001000019, 52.63549999899999 6.076099999000007)"
ijstraject.64,403,"Vaargeul langs Pollendam, Blauwe Slenk, Vliestroom en Zuider Stortemelk",,26.1,30.4,,09 - 10,Vliestroom - Vlieland,RWS Noord-Nederland Waddenzee,,0562-443100,,21680,,,"LINESTRING (53.292700000000025 5.175599999999974, 53.293499999000005 5.175599999999974, 53.296899999999994 5.175200000000018, 53.29930000000002 5.17489999899999, 53.30220000100002 5.173999998999989, 53.30339999900002 5.1735999989999755, 53.30510000100003 5.172899998999981, 53.30759999899999 5.171500001000027, 53.30939999999998 5.170000001999995, 53.31080000100002 5.168099998999992, 53.31229999999999 5.165700000000015, 53.317000001999986 5.157299998999974, 53.318899999999985 5.152800001000003, 53.32070000099998 5.149300002000018, 53.3211 5.14820000200001, 53.321800000999986 5.147300001000019, 53.32260000000002 5.145199998999999, 53.32189999899998 5.1442000010000015, 53.321199998 5.143100000999993, 53.32009999799999 5.139199997999981, 53.31899999799998 5.134199998999975, 53.31650000100001 5.118000000999984, 53.315800000000024 5.113699999000005, 53.31490000000002 5.107500001999995, 53.31270000000001 5.099499999999978, 53.31080000100002 5.094200000000001)"
ijstraject.65,206,Oude Rijn,,31.1,35.1,,10 - 13,Gouwe - Bodegraven(Oude Rijn),Prov. Zuid-Holland,,0182-513096,,21711,,,"LINESTRING (52.10680000100001 4.729200002000027, 52.10709999900001 4.72830000099998, 52.10759999999999 4.726500000999977, 52.107999999000015 4.725099999000008, 52.10819999900002 4.723900001000004, 52.10849999999999 4.722399998000014, 52.10909999900002 4.719200000000001, 52.109999999000024 4.715500001000009, 52.1105 4.713799998000013, 52.11140000099999 4.7117000000000075, 52.112599999 4.709399997999981, 52.113099999999974 4.708299997999973, 52.113499999 4.707100000000025, 52.113999999999976 4.705499998999983, 52.114399999 4.703800000000001, 52.11470000100002 4.701599999999985, 52.115200001999995 4.698800000999995, 52.11549999900001 4.697400000000016, 52.11619999999999 4.694800000999976, 52.11709999999999 4.692200001000003, 52.11750000000001 4.690900001999978, 52.11780000099998 4.6895000000000095, 52.117899998999974 4.688099998999974, 52.117899998999974 4.685199997999973, 52.118000000999984 4.682200000000023, 52.11809999899998 4.6798, 52.1182 4.678800002000003, 52.118299998 4.677599999999984, 52.118799998999975 4.675799998999992, 52.11910000099999 4.674500000000023)"
ijstraject.66,076b,Bladderswijk (Oranjekanaal) en Bargermeerkanaal,,0,7,,13 - 14,Bladderswijk,Prov. Drenthe,,0592-365345,,21780,,,"LINESTRING (52.722800001999985 6.970199997999998, 52.72419999900001 6.968199997999989, 52.7278 6.962800000000016, 52.73119999800002 6.957600001000003, 52.7337 6.954000000000008, 52.734399999999994 6.95300000200001, 52.73680000000002 6.949400000000026, 52.737900000000025 6.947700000999987, 52.73979999900001 6.944899998999972, 52.74049999900001 6.943799999000021, 52.74170000100003 6.942099999999982, 52.75010000200001 6.929400000999976, 52.75240000000002 6.925999998999998, 52.75240000000002 6.926100001000009, 52.752700000999994 6.925599999999974, 52.753300000000024 6.924699998999984, 52.75369999899999 6.92410000000001, 52.75400000100001 6.923799998999982, 52.754399999999976 6.923400000000015, 52.754700001 6.9232000000000085, 52.75510000100002 6.922899998999981, 52.755499999999984 6.922800000999985, 52.75580000100001 6.922699998999974, 52.75659999999999 6.922699998999974, 52.75790000000001 6.922800000999985, 52.75970000000001 6.923000000000002, 52.76010000000002 6.923000000000002, 52.760400000999994 6.922899998999981, 52.76110000199998 6.922699998999974, 52.76170000100001 6.922300000000007, 52.76399999900002 6.920299999000008, 52.76940000100001 6.916000000999986, 52.771499999000014 6.91429999799999, 52.77299999799999 6.913099999999986)"
ijstraject.67,401,Schulpengat,,21.2,24.5,,02 - 03,Marsdiep,Oudeschild,,0222-312710,,21987,,,"LINESTRING (52.96660000100002 4.787799999000015, 52.96799999799998 4.786200001999987, 52.96880000099998 4.785300001999985, 52.96909999799999 4.784600001000001, 52.96930000200001 4.784299998999984, 52.96999999899998 4.782800000000009, 52.970500000000015 4.78090000200001, 52.970800000999986 4.779699999999991, 52.97120000000001 4.777199998000015, 52.971299998000006 4.776400000000024, 52.97150000200003 4.773699998999973, 52.97170000199998 4.768700000000024, 52.972399998000014 4.758600000000001, 52.97320000100001 4.7490000020000025, 52.97340000000003 4.745499998000014, 52.97320000100001 4.741599999000016)"
ijstraject.68,102,"Nieuwe Maas, Nieuwe Waterweg en Maasmond",,5,13.1,,01 - 02,Brienenoordbrug - Parkhaven(Nw Maas),HCC Rotterdam,,010-2522400,,22022,,,"LINESTRING (51.9058 4.5535999979999815, 51.905099999000015 4.548799998999982, 51.90489999900001 4.547400001000028, 51.90390000100001 4.542399998999997, 51.900300000000016 4.5284999979999725, 51.90010000000001 4.526799998999991, 51.900300000000016 4.524999998999988, 51.901099998999996 4.521499999000014, 51.90150000199998 4.520199998999999, 51.90269999999998 4.518700000000024, 51.90410000100002 4.517700002000026, 51.90549999799998 4.517200000999992, 51.90599999900002 4.517099998999981, 51.909100000000024 4.516700000000014, 51.91120000199999 4.51619999899998, 51.912799999000015 4.514899999000022, 51.91450000200001 4.512699999000006, 51.91620000099999 4.509700000000009, 51.917300001 4.506000001000018, 51.918000000999996 4.503300000000024, 51.918200001 4.501800000999992, 51.91809999899999 4.500200000000007, 51.917700000000025 4.497900001999994, 51.917100000999994 4.4956000000000245, 51.91550000000001 4.492600001000028, 51.913400002 4.489300001000004, 51.91090000000003 4.486400000999993, 51.910300001999985 4.486200000999986, 51.909299998999984 4.485399998999981, 51.90859999899999 4.4846, 51.90569999799999 4.481100000000026, 51.904399997999974 4.479499998999984, 51.902199998000015 4.474499999999978, 51.90050000000002 4.468899998999973, 51.90010000000001 4.467700001000026, 51.899599998999975 4.463399998999989)"
ijstraject.69,103,"Pannerdensch Kanaal, Neder-Rijn en Lek",,14.7,25.5,,08 - 09,Arnhem - Sluis Driel,RWS Oost-Nederland Zuid,,026-3642747,,22252,,,"LINESTRING (51.97010000099999 5.924400002000027, 51.97089999899998 5.920099999999991, 51.97150000200003 5.918000000999996, 51.972199999 5.916499998000006, 51.97289999899999 5.915100000999985, 51.973999999 5.913400002000003, 51.97430000100002 5.912799999000015, 51.974800001999995 5.911800001000017, 51.97569999799998 5.9094000009999945, 51.97610000100002 5.9080000000000155, 51.97659999899997 5.9065000009999835, 51.97720000100003 5.905000001000019, 51.9778 5.903599999999983, 51.97879999899999 5.9015000019999775, 51.980799999 5.897899999999993, 51.981299999999976 5.896999999999991, 51.98200000100002 5.895399999000006, 51.982399999999984 5.894299998999998, 51.98259999999999 5.893399998999996, 51.98290000100002 5.892200000999992, 51.982999999000015 5.890999998999973, 51.983100001000025 5.889899999000022, 51.98319999900002 5.8889000010000245, 51.983100001000025 5.887699999000006, 51.982999999000015 5.886199999999974, 51.98270000100001 5.884599998999988, 51.982299997999974 5.883000001000028, 51.98189999900001 5.881700002000002, 51.98149999999998 5.880499999999984, 51.980999999000005 5.8790000010000085, 51.980399999999975 5.87779999899999, 51.979800001 5.876600000999986, 51.97879999899999 5.875100002000011, 51.977499998999974 5.873399999000014, 51.976699999999994 5.872400001000017, 51.97610000100002 5.871800001999986, 51.97520000100002 5.870700001999978, 51.97410000100001 5.869600002000027, 51.973000001 5.868500002000019, 51.972500000000025 5.868000000999984, 51.97170000199998 5.866799999000023, 51.97100000099999 5.865499999000008, 51.970500000000015 5.864399999, 51.97010000099999 5.863099999999974, 51.969799998999974 5.861499998999989, 51.96950000200002 5.8596, 51.96950000200002 5.857900001000019, 51.969599999000025 5.856400001999987, 51.969799998999974 5.854600000999994, 51.970199998 5.853100002000019, 51.97120000000001 5.849499999999978, 51.971799998999984 5.847300000000018, 51.97230000000002 5.845300000000009, 51.972800001999985 5.843199997999989, 51.973099999 5.84129999999999, 51.973299999000005 5.840100001999986, 51.97340000000003 5.8390000019999775, 51.97349999800002 5.838000000000022, 51.973599999999976 5.836800002000018, 51.973599999999976 5.83570000200001, 51.973599999999976 5.834499999999991, 51.973599999999976 5.833199999999977, 51.97349999800002 5.832100000000025, 51.97340000000003 5.830899998999996, 51.97320000100001 5.829700000999992, 51.973000001 5.828499998999973, 51.972699999999975 5.826900002000002, 51.973099999 5.826599999999985, 51.97320000100001 5.826000001000011, 51.973299999000005 5.825599997999973, 51.97320000100001 5.824000001000002, 51.972800001999985 5.822299998000005, 51.972100001 5.8194000010000195, 51.971299998000006 5.816799998000022, 51.96889999899997 5.809999999000013, 51.967599999000015 5.80680000000001, 51.96609999999998 5.802900001000012, 51.96330000099999 5.7946999999999775, 51.962699998000005 5.792899999999975, 51.961900000000014 5.791299998999989, 51.96090000100003 5.790100000999985)"
ijstraject.70,060,Lemmer - Delfzijl,,0,26.5,,01 - 02,Eemskanaal,RWS Noord-Nederland Lemmer-Delfzijl,,000-0000000,,22451,,,"LINESTRING (53.32479999999998 6.944499999000016, 53.3211 6.940999999999974, 53.319200002 6.939100000999986, 53.31500000099999 6.934900001000017, 53.31390000099998 6.932900000000018, 53.31370000200002 6.932300000999987, 53.313499998 6.931899998000006, 53.313099998999974 6.931100000000015, 53.31260000200001 6.9295999999999935, 53.312100000999976 6.927499997999973, 53.311799999000016 6.925400000000025, 53.31170000100002 6.9232000000000085, 53.311799999000016 6.921399999000016, 53.31239999799999 6.909499998999991, 53.312899999000024 6.901099998999996, 53.31329999899998 6.897500001000026, 53.312899999000024 6.893100000999993, 53.31139999999999 6.884399998999982, 53.309799999000006 6.875300001000028, 53.30849999899999 6.867699999000024, 53.30559999899998 6.850699997999982, 53.30510000100003 6.847899998999992, 53.30469999799999 6.8455000000000155, 53.30290000100001 6.834899999000015, 53.301899999 6.829399998999975, 53.30139999800002 6.8267999999999915, 53.30079999899999 6.824599999999975, 53.29650000100003 6.811900001000026, 53.293499999000005 6.803100001000018, 53.29129999899999 6.796599999000023, 53.28970000100003 6.79219999899999, 53.287199999999984 6.784699998999997, 53.28510000199998 6.778900001000011, 53.28290000200002 6.772700000999976, 53.282099999000025 6.770799997999973, 53.277199998000015 6.757100001000026, 53.27340000100003 6.746199998999998, 53.272100002 6.742500000000007, 53.270199999 6.7360999989999755, 53.26859999800001 6.731499999999983, 53.26720000099999 6.728200000000015, 53.26570000100003 6.724499999999978, 53.264400002 6.721400000000017, 53.26299999999998 6.717999997999982, 53.261799999000004 6.714800000000025, 53.25880000000001 6.706500000999995, 53.25649999799998 6.70010000100001, 53.253800001 6.692699999000013, 53.25110000000001 6.685099999999977, 53.248699999999985 6.678399999000021, 53.245299999 6.668799999999976, 53.24410000099999 6.66580000099998, 53.23999999799997 6.657000002000018, 53.237799998000014 6.652199998000015, 53.236699998000006 6.649900000999992, 53.235599998 6.646600001000024, 53.232999999000015 6.636900000000026, 53.22940000099999 6.62420000100002, 53.22340000000003 6.602000002000011, 53.221799998999984 6.5965000020000275)"
ijstraject.71,121,"Gekan. Dieze, Zuid-Willemsvaart, Verbindingskanaal in het Bossche Veld",,80.3,90,,25 - 26,Sluis 6 - Helmond(Z.W.vaart),RWS Zuid-Nederland Noord-Brabant,,013-5811881,,22491,,,"LINESTRING (51.442299999 5.692099999999982, 51.44499999999999 5.692299998999999, 51.449400000000026 5.692899997999973, 51.452500000999976 5.693599999000014, 51.45609999800001 5.694299999999998, 51.45939999799998 5.694899998999972, 51.462800000000016 5.694800000999976, 51.464400001 5.694499999000016, 51.46779999900002 5.6933999990000075, 51.47230000000002 5.691300001000002, 51.473000001 5.691100000999995, 51.47500000100001 5.690099998999983, 51.482500001999995 5.686199999999985, 51.486200000999986 5.684099998000022, 51.48989999999998 5.681899998000006, 51.49309999899998 5.680000000000007, 51.49540000000002 5.6784999999999854, 51.49749999900001 5.67700000100001, 51.4991 5.675599999999974, 51.50180000099999 5.6732000000000085, 51.50340000199998 5.671599999000023, 51.512800001000016 5.661299999999983, 51.517700002000026 5.655799999999999, 51.518399998999996 5.654800002000002, 51.518899999999974 5.653999999000007, 51.51940000100001 5.653000001000009, 51.51969999800002 5.651900001000001, 51.51999999999998 5.650699998999983, 51.520100001 5.649099997999997, 51.520100001 5.6480999999999995, 51.51999999999998 5.646999999999991)"
ijstraject.72,201,Vaarweg vanaf de Oude-Wetering via Leiden en Delft naar Rotterdam,,6.3,14.1,,06 - 07,Leiden - Ringvaart Haarlemmermeer,Prov. Zuid-Holland,,070-4418536,,22606,,,"LINESTRING (52.21930000200001 4.557000000000016, 52.21930000200001 4.555500000999984, 52.2192 4.5545999999999935, 52.21900000099998 4.553699999999992, 52.21880000099998 4.553100001000018, 52.21750000100002 4.551300000000026, 52.217300002 4.550799998999992, 52.21649999900001 4.548700000999986, 52.215899999999976 4.548300002000019, 52.215300001 4.548099997999998, 52.21460000100001 4.547899998999981, 52.214499999 4.547899998999981, 52.21370000000002 4.548000000000002, 52.212699998000005 4.547400001000028, 52.21170000000001 4.546399999000016, 52.21070000200001 4.544199999, 52.210000001000026 4.542899999999975, 52.20980000100002 4.542599998000014, 52.209299999999985 4.541999998999984, 52.20870000100001 4.541700002000027, 52.20829999799997 4.541800000000023, 52.208000001000016 4.541800000000023, 52.207600001 4.541999998999984, 52.206700001 4.542800001999979, 52.206500000999995 4.543099998999992, 52.20560000099999 4.5443000010000105, 52.20549999899998 4.544199999, 52.204200000000014 4.543799999999976, 52.201299999000014 4.540199998999981, 52.19760000000002 4.535700001000009, 52.19660000099998 4.5344000009999945, 52.1943 4.531300000999977, 52.19269999900001 4.529599997999981, 52.19209999999998 4.529199999000014, 52.19150000100001 4.5284999979999725, 52.18990000000002 4.524599998999975, 52.188800000000015 4.522300001000019, 52.188099998999974 4.521299999000007, 52.187100000999976 4.520599999000012, 52.18609999900002 4.52030000100001, 52.18490000100002 4.519999999999982, 52.184300001999986 4.519699998000021, 52.183699999 4.518899999999974, 52.18290000000002 4.518300001, 52.18210000200003 4.518300001, 52.18160000099999 4.518399998999996, 52.18100000200002 4.5181999989999895, 52.180500000999984 4.517999998999983, 52.180199999000024 4.517900000999987, 52.17990000200001 4.5178000000000225, 52.17969999799999 4.517700002000026, 52.17929999900002 4.517700002000026, 52.1789 4.5178000000000225, 52.17799999900001 4.518100000999993, 52.17749999799997 4.518100000999993, 52.17700000100001 4.518100000999993, 52.17669999999998 4.517999998999983, 52.176300000000026 4.5178000000000225, 52.175900001 4.517700002000026, 52.175400000000025 4.5178000000000225, 52.175099999 4.517999998999983, 52.174800000999994 4.5181999989999895, 52.17450000000002 4.518399998999996, 52.17430000000002 4.518399998999996, 52.173599998999975 4.517999998999983, 52.173 4.517400000000009, 52.17260000099998 4.517000000999985, 52.17199999799999 4.516399997999997, 52.17159999900002 4.5157999990000235, 52.171399999000016 4.5154, 52.1712 4.515199999999993, 52.171100002 4.515099998999972, 52.17089999799998 4.515000000999976, 52.17069999900002 4.515000000999976, 52.17040000100002 4.515099998999972, 52.17009999999999 4.515299997999989, 52.16959999900001 4.5154, 52.16930000100001 4.515600000000006, 52.168799999999976 4.515600000000006, 52.168299999 4.515700001000027, 52.167700000000025 4.515700001000027, 52.16719999899999 4.515900000999977, 52.16670000200003 4.515999998999973, 52.16609999899998 4.516100000999984, 52.165700000000015 4.516100000999984, 52.16550000000001 4.515999998999973, 52.16519999899998 4.5157999990000235, 52.16470000100003 4.51550000200001, 52.16400000099998 4.515099998999972, 52.163400002 4.515000000999976, 52.16299999900002 4.515000000999976, 52.16270000100002 4.515000000999976, 52.16169999900001 4.514800001000026, 52.16160000100001 4.514800001000026, 52.16090000000003 4.514600001000019, 52.160599999 4.514699999000015)"
ijstraject.73,201,Vaarweg vanaf de Oude-Wetering via Leiden en Delft naar Rotterdam,,31,37.8,,02 - 03,Delft - Den Haag,Prov. Zuid-Holland,,070-4418536,,22723,,,"LINESTRING (52.056299998999975 4.347800001999985, 52.05620000099998 4.347500000000025, 52.05310000100002 4.343699999000023, 52.05290000100001 4.3434999990000165, 52.052599999999984 4.343299999999999, 52.05200000100001 4.343199997999989, 52.051800001000004 4.342999997999982, 52.05139999800002 4.342900000999975, 52.05079999899999 4.342900000999975, 52.049800000999994 4.342999997999982, 52.048599998999975 4.343199997999989, 52.04450000100002 4.343800000999977, 52.043000000999996 4.3440000009999835, 52.040700000000015 4.344400000000007, 52.03970000100003 4.344500002000018, 52.037799999000015 4.344900000999985, 52.03660000100001 4.345100000999992, 52.035500001 4.345400002000019, 52.033799998000006 4.345600002000026, 52.028099999000005 4.346600000000024, 52.02450000099998 4.347199998999997, 52.0231 4.347600001999979, 52.022399999000015 4.347899998999992, 52.021499999000014 4.3484000000000265, 52.02079999799997 4.348599999999976, 52.020500001000016 4.348999999, 52.019900001999986 4.350099999000008, 52.01969999800002 4.351699999999994, 52.019600000000025 4.352499998999974, 52.01969999800002 4.355700001000002, 52.019499999000004 4.356899999000007, 52.019000000999995 4.357799999000008, 52.014800001000026 4.363600001000009, 52.01309999799997 4.3660999979999815, 52.011900000000026 4.3680999989999805, 52.011300000999995 4.368900000999986, 52.010699998999996 4.3691000009999925, 52.01020000099999 4.369199998999989, 52.00970000000001 4.3691000009999925, 52.009300000999986 4.368900000999986, 52.008699998 4.368000000999984, 52.00749999999999 4.365499999000008, 52.00569999999999 4.361499998999989)"
ijstraject.74,233,"Noordzeekanaal, Afgesloten-IJ en Buiten-IJ",,0,7.9,,03 - 04,Zijkanaal C - IJmuiden(Noordzeekan.),Gem. Amsterdam CNB,,020-6221515,,22859,,,"LINESTRING (52.46599999799997 4.622499999000013, 52.465700001000016 4.624400001000026, 52.464999999999975 4.628600000999995, 52.464999999999975 4.628699998999991, 52.464499999 4.631499997999981, 52.46409999999997 4.633600000000001, 52.463900000000024 4.636199999999974, 52.463900000000024 4.641700000000014, 52.46400000199998 4.646299999000007, 52.46370000000002 4.6515000019999775, 52.46240000099999 4.657600000999992, 52.46110000099998 4.662300001999995, 52.45879999900001 4.668600000000026, 52.452199999000015 4.680700000000002, 52.447400000000016 4.689199998999982, 52.44330000100001 4.696699998999975, 52.43780000100003 4.708000001000016, 52.435899999000014 4.713000000000022, 52.43439999999998 4.718299999999999, 52.433600001 4.721600000000024)"
