Leverancier;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;7410 - Verwerven en afstoten;Eindtotaal
Anoniem_BZK_438;3;;;;3
Anoniem_BZK_446;;;;6;6
Anoniem_BZK_452;;;;2;2
Anoniem_BZK_52;1;;;;1
Anoniem_BZK_58;1;;;;1
Anoniem_BZK_59;4;;;;4
Anoniem_BZK_60;1;;;;1
Anoniem_BZK_66;2;;;;2
Anoniem_BZK_68;1;;;;1
Anoniem_BZK_77;;;;1;1
Anoniem_BZK_79;1;;;;1
Anoniem_BZK_85;3;;;;3
Anoniem_BZK_86;6;;;;6
Anoniem_BZK_87;6;;;;6
Anoniem_BZK_89;1;;;;1
Anoniem_BZK_96;1;;;;1
Antalis B.V.;1;;;;1
Antea Nederland B.V.;5;;;;5
Anticimex;2;;;;2
Antropia B.V.;1;;;;1
AON Nederl. Makel. in Assurant.-Risico-Advis.;;;;;
APA Construction N.V.;2;;;;2
Apac Airconditioning B.V.;3;;;;3
APAC Services B.V.;5;;;;5
APCOA Parking Nederland B.V.;1;;;;1
APO IMMO KAP INZ.ZKN;;4;;5;5
Applicom Nederland B.V.;2;;;;2
APPM Management Consultants B.V.;;;;;
Apptimize;1;;;;1
Aprisco Retail Parks III B.V.;;;;6;6
AQ Cumulus B.V.;1;;;;1
AQ Group B.V.;1;;;;1
Aquatech NV;1;;;;1
AquaTerra-KuiperBurger (ATKB);1;;;;1
ARCADIS Nederland;7;;;;7
Architectenbureau De Twee Snoeken B.V.;6;;;;6
Architectenbureau Prent B.V.;1;;;;1
Arends Advies;;;;1;1
ARG Group;2;;;;2
Arian Tuintechniek;3;;;;3
Ark Portfolio III Owner C.V.;;;;5;5
Arno Dols Hoveniersbedrijf;2;;;;2
Arnold Pander;1;;;;1
Aronsohn Construct. Raadgev. Ingenieurs B.V.;1;;;;1
Arsycon B.V.;1;;;;1
Art View;;;;1;1
Arubaanse Schilders- en Afwerkingsbedrijf;5;;;;5
Arubaanse Wegenbouw Maatschappij N.V.;1;;;;1
Arup B.V.;7;;;;7
ASB Sanering B.V.;2;;;;2
ASB Security B.V.;2;;;;2
Asbest Partners Brabant B.V.;2;;;;2
Asbestsanering en Milieutechniek Heezen B.V.;2;;;;2
Asbestsanering Zuid Nederland;1;;;;1
ASD Aruba Supplies & Distributors NV;2;;;;2
Asecos B.V.;1;;;;1
Asiaquest Ventures Holding N.V.;;;;4;4
Asito B.V.;1;;;;1
Askon Eden Architectuur;1;;;;1
ASR Dutch Mobility Office Custodian B.V.;;4;;6;6
ASSA ABLOY Entrance Systems;5;;;;5
ASSA ABLOY Nederland B.V.;2;;;;2
At Osborne B.V.;4;;;;4
Atelier Eline Hoftiezer;2;;;;2
Atelier Lennart van Dijk;2;;;;2
Atelier Liesbeth Stinissen;1;;;;1
Atelier Walvis Groep;2;;;;2
Atelier ZET;1;;;;1
Ates Control B.V.;2;;;;2
Atrium Vastgoedmanagement B.V.;;;;1;1
Aukje Dekker;2;;;;2
Ausems Vastgoed B.V.;1;;;;1
Autobusbedrijf Doornbos B.V.;;;;1;1
Automatic Signal Rijsenhout B.V.;5;;;;5
Aveco De Bondt;2;;;;2
Avitec Infra & Milieu N.V.;6;;;;6
Axis Holding B.V.;;;;4;4
B&G Hekwerk B.V.;1;;;;1
B. van den Hoek Wegenbouw B.V.;2;;;;2
B. Wolbrink;1;;;;1
B.R.I. Sicherheidstechnik GmbH;1;;;;1
B.R.I. Sicherheitstechnik;1;;;;1
B.R.N. Parket B.V.;1;;;;1
B.V. Aannemingsbedrijf J.J. Meijer;3;;;;3
B.V. Betonbouw Curacao;1;;;;1
B.V. Bouw- & Aannemingsbedr. G. de Haan & Zn.;2;;;;2
B.V. Bouwbedrijf Breumelhof;7;;;;7
B.V. Bouwbedrijf J.A. van Niftrik;5;;;;5
B.V. 'Esbi';;;;2;2
B.V. Eurodeur v/h Stam en Visser;1;;;;1
B.V. Exploitatie Reservegronden Flevoland;;;;2;2
B.V. Handel- en Exploitatiemij. Ruygrok;;;;2;2
B.V. Technisch Bureau 'Massier';6;;;;6
B2B Bedrijfshygiëne B.V.;1;;;;1
Baac Bur. Bouwh. Archeol. Archit.&Cult.hist.;1;;;;1
Babbage Company B.V.;1;;;;1
Baggerbedrijf De Boer;4;;;;4
Baks Loon- en Grondverzetbedrijf B.V.;5;;;;5
Balance B.V.;;;;1;1
Balance Liftadvies B.V.;2;;;;2
Balentin Rioleringsbeheer & Constructie;2;;;;2
Ballast Nedam Infra B.V.;1;;;;1
Balm B.V.;1;;;;1
BAM Bouw en Techniek B.V.;9;;;;9
BAM Bouw en Techniek regio Zuidwest;5;;;;5
BAM Energy Systems B.V.;1;;;;1
Banketbakkerij Maison Kelder B.V.;1;;;;1
Banketbakkerij-Tearoom H. van Haaren;1;;;;1
Basalt Bouwadvies B.V.;6;;;;6
BAS-Bouwkundig Adviesbureau Spaans;1;;;;1
Base Projecten B.V.;2;;;;2
BaseValue B.V.;;;;2;2
Bastion Zuid B.V.;;;;7;7
BAYERNFONDS IMMOBILIENVERWALTUNG GMBH & CO. OBJECT HOLLAND 2 KG;;4;;8;9
Bayernfonds Immobilienverwaltung GMBH&Co object Holland 1 KG;3;8;;7;9
BBA Binnenmilieu B.V.;2;;;;2
BBA Bur. voor Bouwh. en Architect.geschied.;2;;;;2
BBC Bouwmanagement B.V.;5;;;;5
BCM Consultancy B.V.;;;;1;1
bct architecten, ingenieurs en adviseurs B.V.;1;;;;1
BDA Dak- en Geveladvies B.V.;2;;;;2
BedrijfsMotivaties B.V.;1;;;;1
Beelen Dakdekkers;4;;;;4
Beens Dredging B.V.;6;;;;6
beersnielsen lichtontwerpers;1;;;;1
Beerstra Installatietechniek;4;;;;4
Beheer Kaya Grandi Stichting;;;;5;5
Beheeraccent B.V.;2;;;;2
Beijer en Zoon B.V.;1;;;;1
BeInControl Security Systems B.V.;2;;;;2
BeKaZet Vastgoed B.V.;;;;5;5
Belderink & Zn. Schilders- en Spuitbedr. B.V.;2;;;;2
Bergh Brandkasten Service B.V.;1;;;;1
Bergsma Drain B.V.;2;;;;2
Berki Brandbeveiliging B.V.;5;;;;5
Berko Noord B.V.;2;;;;2
BERNS Architectuur B.V.;4;;;;4
Best Value Group B.V.;1;;;;1
Best Vision Inventarisaties B.V.;;;;1;1
Beta-Guard B.V.;2;;;;2
Betonboringen Zuid-Nederland B.V.;1;;;;1
Beuk Touringcars;1;;;;1
Bevers Service & Onderhoud B.V.;1;;;;1
Bierman Henket architecten B.V.;7;;;;7
BIJ HOUT reclame- & vlaggenmakers;1;;;;1
Bijlsma Hijs- en Heftechniek Joure B.V.;5;;;;5
Bilfinger Tebodin Netherlands B.V.;2;;;;2
BIMlink B.V.;3;;;;3
BINK Elektro B.V.;4;;;;4
Biolab Research & Solutions B.V.;2;;;;2
Bison Investments B.V.;;2;;3;4
BJ projectmanagement B.V.;3;;;;3
BK Ingenieurs B.V.;1;;;;1
BK Welding Construction;5;;;;5
BKB;3;;;;3
BKFF bas kijzers fotografie en film;;;;1;1
BLB NRW NL Munster;3;;;;3
Blinckschoon;;;;1;1
Bloemenhuis Duivenvoorden;1;;;;1
BLR-Bimon;1;;;;1
Blue Current B.V.;1;;;;1
Blue Star B.V.;7;;;;7
Blygold Schiphol B.V.;5;;;;5
BMD Advies Centraal Nederland B.V.;2;;;;2
BME Asbest Consult B.V.;2;;;;2
BMV Makelaars B.V.;1;;;;1
BNA;1;;;;1
BNV B.V.;;;;2;2
Boag B.V.;1;;;;1
Bobeja Bonaire B.V.;;;;5;5
Boels Verhuur B.V.;;;;1;1
Boels Verhuur Zwolle;1;;;;1
Boerderij Levensvreugd;1;;;;1
Boerhof Projectinrichters;4;;;;4
Boermans Elektrotechniek B.V.;2;;;;2
Boersen Bliksembeveiliging B.V.;1;;;;1
Boersma's Drainagebedrijf B.V.;2;;;;2
Bohama Aruba N.V.;2;;;;2
Bolidt Kunststoftoepassing B.V.;2;;;;2
Bomendienst;1;;;;1
Bomenwacht Nederland B.V.;1;;;;1
Bon Bon Partyservice B.V.;1;;;;1
Bonaire Laboratorium (Bonlab) N.V.;1;;;;1
Bonaire werf- en Jachhaven N.V. harbor village marina;;2;;2;2
Bonairiaanse Wegenbouw Maatschappij NV;1;;;;1
Booms & Kuipers technisch adviesbureau B.V.;4;;;;4
Boomtotaalzorg;1;;;;1
BOOT organiserend ingenieursburo B.V.;3;;;;3
Bordbusters B.V.;;;;1;1
Boribon B.V.;3;;;;3
Bork Asbestsaneringen B.V.;2;;;;2
Bork Sloopwerken B.V.;2;;;;2
Borrenbergs Bouwbedrijf B.V.;9;;;;9
Borrenbergs Projectinrichting;3;;;;3
Bos Elektrotechniek B.V.;2;;;;2
Bos-, Natuur- en Landschapsbeheer Johan Rap;1;;;;1
Bosch Thermotechniek B.V.;2;;;;2
Bosker International B.V.;1;;;;1
Bosman Watermanagement B.V.;1;;;;1
Botterweck B.V.;4;;;;4
bouAd adviesgroep;2;;;;2
Bouma Sport en Groen B.V.;5;;;;5
Boutellier Studie & Strategie;1;;;;1
Bouter B.V.;7;;;;7
Bouw- en Aannemingsbedrijf L. Dijkxhoorn B.V.;4;;;;4
Bouw- en Restauratieadviesburo Holtzer;2;;;;2
Bouwadvies Tuenter;3;;;;3
Bouwbedrijf aan de Stegge Twello B.V.;2;;;;2
Bouwbedrijf Buiteveld B.V.;2;;;;2
Bouwbedrijf De Boer B.V.;1;;;;1
Bouwbedrijf De Witte B.V.;7;;;;7
Bouwbedrijf De Zwart B.V.;4;;;;4
Bouwbedrijf Frankena;2;;;;2
Bouwbedrijf Gebroeders in den Eng B.V.;3;;;;3
Bouwbedrijf Joziasse B.V.;5;;;;5
Bouwbedrijf Kreeft B.V.;7;;;;7
Bouwbedrijf Meliskerke B.V.;5;;;;5
Bouwbedrijf Meliskerke Beheer B.V.;4;;;;4
Bouwbedrijf Pennings B.V.;7;;;;7
Bouwbedrijf van Norel B.V.;5;;;;5
Bouwbedrijf van Schijndel B.V.;6;;;;6
Bouwbedrijf Zegers Arnhem B.V.;3;;;;3
Bouwbedrijf Zwarts Naaldwijk B.V.;7;;;;7
Bouwburo Vitruvius B.V.;1;;;;1
Bouwcenter Govers B.V.;1;;;;1
Bouwcomb. Dura Vermeer Trebbe Gerechtsg. VOF;7;;;;7
Bouwcombinatie NCIA V.O.F.;7;;;;7
Bouwcombinatie Paleis van Justitie;8;;;;8
Bouwconsulting B.V.;;2;;4;4
Bouwgroep Dijkstra Draisma;7;;;;7
BouwHeeren;2;;;;2
BouwHeeren B.V.;2;;;;2
Bouwinvest Dutch Institutional Office Fund NV;;7;;8;8
BouwkostenExpert B.V.;1;;;;1
Bouwkundig Bureau Oudewaal;1;;;;1
Bouwmaatschappij Bonaire B.V.;2;;;;2
Bouwmeester Boomverzorging;1;;;;1
BouwQ B.V.;2;;;;2
Bouwstart V.O.F.;2;;;;2
Bouwstudio PelserHartman B.V.;3;;;;3
Bovenregionaal kantoor;2;;;;2
Bovero B.V.;1;;;;1
BP Management B.V.;1;;;;1
BQ Duiker B.V.;1;;;;1
Brabantse Montage Dakbedekkingen B.V.;3;;;;3
BRABOB B.V.;4;;;;4
Brain of buildings B.V.;7;;;;7
Brain of buildings tech-engineering B.V.;1;;;;1
Brakel Caribbean Glas & Aluminium N.V.;1;;;;1
Brands Bouw B.V.;4;;;;4
Brandsma Dakservice;1;;;;1
Brandzorg B.V.;1;;;;1
Break and Build Construction;3;;;;3
Breda Bouw B.V.;2;;;;2
Breedveld & Schroder;6;;;;6
Breijer Contractonderhoud B.V.;8;;;;8
Breman Utiliteit Zwolle B.V.;5;;;;5
Bremen Bouwadviseurs B.V.;6;;;;6
Breure B.V.;1;;;;1
BRI Groep;3;;;;3
Brian Franken Technieken B.V.;4;;;;4
Brink Management & Advies B.V.;7;;;;7
BrinkBox B.V.;1;;;;1
Brion's Construction;1;;;;1
BRiQ valuation & research B.V.;;;;1;1
Broekema Wegenbouw B.V.;4;;;;4
Bron-technologie B.V.;1;;;;1
Broodjepercm;;;;1;1
Brosaun quality tents;;;;1;1
Bruijns Glas en Schilderwerken B.V.;4;;;;4
Bruijs en Streep restauratie;1;;;;1
Bruynzeel Storage Systems B.V.;1;;;;1
Bryant Park Netherlands Acquisition I B.V.;;4;;7;7
BTI BV;1;;;;1
BTL Advies B.V.;1;;;;1
BTL Realisatie B.V.;7;;;;7
BTS;1;;;;1
BuckAdvies;1;;;;1
Budgetcam;1;;;;1
Budui Enterprises N.V. dba Pica Piedra;1;;;;1
Buijtendijk B.V.;1;;;;1
Building and Maintenance Services B.V.;4;;;;4
Building for Tomorrow B.V.;1;;;;1
Buis Keukens B.V.;2;;;;2
Buiten makelaars en adviseurs;;;;1;1
Buko Bouw & Winkels B.V.;7;;;;7
Bulldozerbedrijf J. van Lingen;3;;;;3
Bumicom Telecommunicatie B.V.;1;;;;1
Bur. Bouwhist. Onderzoek/Restauratie Franken;1;;;;1
Bur. LUBBERS Landschapsarch. & Stedenbw B.V.;1;;;;1
Bur. v. Bouwhist. Ond. & Rest. K.C. v.d. Ende;2;;;;2
Bureau G.I.T.;1;;;;1
Bureau Guusje;1;;;;1
Bureau Kroner architecten B.V.;2;;;;2
Bureau Meervelt;1;;;;1
Bureau Meerwaarde;1;;;;1
Bureau Van Eig;2;;;;2
Bureau Veldweg B.V.;;;;1;1
Bureau Vlaardingerbroek B.V.;2;;;;2
Bureau voor bouwhistorisch onderzoek;2;;;;2
Bureau voor Overheidscommunicatie B.V.;4;;;;4
Bureau Waardenburg B.V.;1;;;;1
Bureau Wiegel B.V.;1;;;;1
bureau ZWIRT;1;;;;1
BurgtBouw B.V.;1;;;;1
Burgundy Street B.V.;1;;;;1
Burgy Bouwbedrijf B.V.;3;;;;3
Buro Antares B.V.;1;;;;1
Buro Mees B.V.;4;;;;4
buro PROSPECT;3;;;;3
BURO38;2;;;;2
Business Automation & Security Concepts NV dba BASCO N.V.;1;;;;1
Business Solutions;3;;;;3
BUSS IMMOBILIENFONDS HOLLAND 1 GMBH & CO. KG;;4;;7;7
Buursema's Bouwbedrijf B.V.;2;;;;2
Buveco Gasdetection B.V.;2;;;;2
Buyitdirect.com B.V.;3;;;;3
Buysen Schilders B.V.;4;;;;4
Buytels Bouwbedrijf B.V.;3;;;;3
BVLP 1-3 B.V.;;2;;3;4
BWT Nederland B.V.;1;;;;1
C&H EUROPE;1;;;;1
C.V. RRE Bokelweg;;2;;;2
C.V. Vastgoed Paterswoldseweg 814;;2;;6;6
C.V. Ypenburg;;;;2;2
C2 Civil & Construction;1;;;;1
Cadac Group AEC B.V.;2;;;;2
Café-Rest. Hoornstertil;1;;;;1
CAG;8;;;;8
CAG AMned B.V.;2;;;;2
Camelot Beheer B.V.;2;;;;2
Camelot Vastgoedbeheer en Beveiliging B.V.;2;;;;2
CarBon6 B.V.;;5;;6;6
CareX Fryslân B.V.;2;;;;2
Caribbean Coastal & Civil Engineering N.V.;4;;;;4
CARIBBEAN ENGINEERING & CONSULTANCY COMPANY;2;;;;2
Caribbean Fasteners N.V.;1;;;;1
Caribbean Floors;4;;;;4
Caribbean Innovation Branding & Design Bonaire N.V.;3;;;;3
Caribbean Project Developers BV;1;;;;1
CARMEN LOUISE SUARES-MARS, JOHN A. SUARES;;;;3;3
Carnegie-Stichting;1;;;;1
Caspar Janssen Journalistiek;2;;;;2
Catering Cor Jansen B.V.;1;;;;1
Catering Kookatelier Boschloo;1;;;;1
Cavalier Logistics;1;;;;1
CBRE B.V.;;6;;5;6
CBRE DOF Custodian B.V.;2;7;;7;8
CBRE DRES Custodian II B.V.;;;;4;4
CBRE Valuation Advisory;1;;;;1
CDR Vastgoed B.V.;;2;;5;5
Cedric Consult B.V.;3;;;;3
Centraal Bureau Bouwbegeleiding B.V.;2;;;;2
Centrica Business Solutions B.V.;3;;;;3
CENTURIO B.V.;2;;;;2
CertiQ B.V.;1;;;;1
Certitudo Amsterdam City II B.V.;;3;;5;6
Ch.O.A. van der Valk B.V.;1;;;;1
Château Royal Events;;;;1;1
Chris Kabel;1;;;;1
Christalessa Pensioenfonds Steven Gibbs Stichting;;;;4;4
CHS Technical Contracting & Trading Company N.V.;7;;;;7
CHUBB BEVEILIGING B.V.;2;;;;2
Chubb Fire & Security B.V.;7;;;;7
Chubb Fire & Security Groningen;1;;;;1
Churchill Tower 1 B.V.;;;;;
Cinco Cleaning B.V.;1;;;;1
Circusvis;1;;;;1
City Dust Studio;1;;;;1
Civil Management Arnhem B.V.;1;;;;1
Claessens Onroerend Goed B.V.;;1;;2;2
CLB Integrated Solutions B.V.;1;;;;1
Climat Systems Brabant B.V.;1;;;;1
C-Mark B.V.;3;;;;3
Cnossen Infra B.V.;5;;;;5
Coaton B.V.;2;;;;2
Cocari II Stichting;;;;3;3
Collectie Consult;1;;;;1
Colliers International REMS Retail;4;;;;4
Colt International B.V.;2;;;;2
Combinatie De Kroon B.V.;4;;;;4
Commonwealth War Graves Commission;1;;;;1
Complex E-Techniek B.V.;3;;;;3
Comtest Engineering;1;;;;1
ComVest Consultancy B.V.;2;;;;2
Conan B.V.;5;;;;5
Con-c B.V.;;;;3;3
Concorde Group B.V.;1;;;;1
condor;2;;;;2
Coneco Building Automation B.V.;2;;;;2
Confina B.V.;;1;;2;2
Conradi's Constructie;2;;;;2
Constructie-adviesbureau S3 B.V.;1;;;;1
Constructiebureau Bogaards B.V.;2;;;;2
Constructif B.V.;7;;;;7
Cooltech Airconditioning Company N.V.;2;;;;2
Coöperatie Bosgroep Noord-Oost Nederland U.A.;2;;;;2
Copier Water B.V.;3;;;;3
Copijn Realisatie B.V.;1;;;;1
Cor Buist Schilders;6;;;;6
Cor van Raaij Elektrotechniek B.V.;1;;;;1
Cornelissen Aannemingsbedrijf B.V.;7;;;;7
Cornelissen Service en Onderhoud B.V.;7;;;;7
Corum Convictions;;4;;7;7
Cosource B.V.;4;;;;4
Costo Transport- en Opslagtechniek B.V.;1;;;;1
Courtyard Property S.à r.l.;;6;;7;8
Crawford;1;;;;1
Crawford h.o.d.n. ASSA ABLOY Entrance;1;;;;1
CRH Mobile Fencing & Security B.V.;7;;;;7
Crimson Historians and Urbanists;3;;;;3
Cristal Mechanical Services N.V.;1;;;;1
Croon advocaten N.V.;3;;;;3
Croon Caribe;5;;;;5
Croon Elektrotechniek B.V.;7;;;;7
Crown Properties B.V.;;3;;6;6
CSC Installatie B.V.;4;;;;4
CSN B.V.;;;;1;1
CSU B.V.;3;;;;3
Cubord Reclameborden B.V.;;;;2;2
