OBJECTID,PUIC,NAAM,LEVENSCYCLUS_STATUS,FUNCTIE,REF_DIENSTREGELPUNT_PUIC,REF_STUURSPOOR_PUIC,PERRON_NUMMER,REF_PERRONWAND_PUIC,KMLINT,KMLINT_OMSCHRIJVING,GEOCODE,SUBCODE,GEOCODE_NR,GEOSUBCODE,GEOCODE_NAAM,KM_GEOCODE_VAN_T,KM_GEOCODE_TOT_T,OFFSETBEGIN,OFFSETBEGIN_T,OFFSETEIND,OFFSETEIND_T,BEHEERDER,X_BEGIN,Y_BEGIN,X_EIND,Y_EIND,LENGTE,GELDIG_VANAF,PUBLICATIEDATUM,LATITUDE_BEGIN,LONGITUDE_BEGIN,LATITUDE_EIND,LONGITUDE_EIND,REF_DIENSTREGELPUNT_NAAM,KM_GEOCODE_TOT,KM_GEOCODE_VAN
11,24dc47f3-2aad-4c19-bf4a-b10b6b8d5017,29,Onbekend,O Opstelspoor,0afd9a45-aa43-4c41-abbb-ecefe81f058d,2d1682e7-0bf4-4ed0-815c-e1b325f1af0f,,,Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,508,,508,508__,Arnhem,"91,087519","90,617124",-17.338697,"-17,338697",-25.604804,"-25,604804",ProRail,189499.55392405,444350.08548945,189031.095,444396.76299999,470.80229315,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,51.98647309,5.88943575,51.98692154,5.88262097,Ahbo,90.617124,91.087519
12,31af79a9-80bc-432e-a4ca-754e260c0e15,33a,Onbekend,R Restspoor,0afd9a45-aa43-4c41-abbb-ecefe81f058d,72bfe1d8-01f5-4a27-a24c-b0f9c6dc5a49,,,Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,508,,508,508__,Arnhem,"90,924419","90,976977",-29.688858,"-29,688858",-33.883296,"-33,883296",ProRail,189342.271,444380.124,189395.483,444378.89899999,53.26011006,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,51.98675283,5.88714918,51.98673852,5.88792367,Ahbo,90.976977,90.924419
13,b8d5044a-582e-4b0a-9d2c-e9dbd2a8c00a,122,Onbekend,R Restspoor,08c43113-a39a-4281-b0ea-958a2a803d13,fee23174-8fa5-46dc-8947-e4b3aed088e6,,,Ass-Rtd,Amsterdam Sloterdijk - Rotterdam ,527,c,527,527_c,Haarlem,"17,423743","17,780240",11.231748,"11,231748",7.102331,"7,102331",ProRail,103445.92395515,489216.70250731,103110.89,489108.12599999,357.45623524,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,52.38838014,4.62989562,52.3873728,4.62499133,Hlm,17.78024,17.423743
14,87e240a0-2a03-4029-8041-43853a5e6dcd,124,Onbekend,R Restspoor,08c43113-a39a-4281-b0ea-958a2a803d13,0a07b7a6-e470-48f3-9d51-980748233eb7,,,Hlm-Hlmjl,Haarlem - Haarlem Julianalaan ,527,f,527,527_f,Haarlem,"500,829017","500,830017",2.03937,"2,039370",2.03065,"2,030650",ProRail,103222.131386,489199.50677259,103221.155,489199.28899999,1.00004999,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,52.38820454,4.62661115,52.38820249,4.62659684,Hlm,500.830017,500.829017
15,458063ff-71d4-4699-9213-72ef60c91390,126,Onbekend,R Restspoor,05ba7c08-bc46-492a-8554-870b23a20bf4,54eedd1f-4e3d-4254-979e-2fe6bfcba870,,,Hlm-Utg,Haarlem - Uitgeest ,082,,82,082__,Haarlem - Santpoort Noord,"1,275999","1,402037",-0.447535,"-0,447535",0.615822,"0,615822",ProRail,102990.80945058,489742.23378332,102989.8,489868.575,126.71985977,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,52.39306007,4.62312937,52.39419539,4.62309497,Nspl,1.402037,1.275999
16,8c899941-65ff-4c04-aa94-fd0c1262c6f5,129,Onbekend,R Restspoor,05ba7c08-bc46-492a-8554-870b23a20bf4,73380aeb-7dd2-4538-877e-babb87c45671,,,,,,,,,,,,,,,,,102983.42107711,489852.8702803,103088.583,489346.201,521.32843217,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,,,,,Nspl,,
17,660df466-97e5-46e2-b716-8c33724f4449,53,Onbekend,R Restspoor,8e03a001-3779-4713-b1b8-b0865864a752,b891505c-5a70-41df-9dac-8e333e071397,,,Ass-Rtd,Amsterdam Sloterdijk - Rotterdam ,085,,85,085__,Haarlem - Warmond,"18,935065","19,593989",-4.28402,"-4,284020",-4.424122,"-4,424122",ProRail,102552.989,488123.46399999,102341.07198928,487498.74547389,659.68523888,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,52.37847074,4.61695067,52.37283619,4.61393658,Hg,19.593989,18.935065
18,6aabed39-9517-4814-afec-8661b1caff8c,73,Onbekend,OV Overgangsspoor PPLG naar onbeveiligd gebied,8e03a001-3779-4713-b1b8-b0865864a752,9c22c2c3-cb3e-47b9-ad89-fa10bfc46fb5,,,Ass-Rtd,Amsterdam Sloterdijk - Rotterdam ,085,,85,085__,Haarlem - Warmond,"19,794022","19,847901",-2.409822,"-2,409822",-2.334296,"-2,334296",ProRail,102277.15930918,487309.47823119,102259.823,487258.38,53.95888582,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,52.37112913,4.61302783,52.37066826,4.61278131,Hg,19.847901,19.794022
19,6791e09c-9f5d-45b4-a6dd-931ce7eddb6b,MJ,Onbekend,R Restspoor,8e03a001-3779-4713-b1b8-b0865864a752,3a6b3f9e-5e4e-4f63-9391-ef830986647c,,,Ass-Rtd,Amsterdam Sloterdijk - Rotterdam ,085,,85,085__,Haarlem - Warmond,"18,650000","19,687991",-0.239741,"-0,239741",1.783899,"1,783899",ProRail,102639.96419372,488394.4384,102306.944,487414.63099999,1034.85945138,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,52.38091426,4.61818566,52.37207699,4.61344866,Hg,19.687991,18.65
20,6559499b-8b7a-40bb-b996-af974b45c939,104,Onbekend,OV Overgangsspoor PPLG naar onbeveiligd gebied,1423d351-9c26-4eed-a99c-a18a627e8c8f,eba9214b-ac09-44b7-ad58-b7442929fd61,,,,,,,,,,,,,,,,,104380.81406151,489047.43790924,104862.162,488614.56199999,656.61091012,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,,,,,Spbr,,
21,7f58caf4-434d-4a44-a69c-34bf4846f4a6,54,Onbekend,O Opstelspoor,0afd9a45-aa43-4c41-abbb-ecefe81f058d,a93aa6b3-a7e9-42fa-983a-a39177563734,,,Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,508,,508,508__,Arnhem,"90,777733","90,614394",-29.442066,"-29,442066",-40.896425,"-40,896425",ProRail,189193.89739009,444394.89470179,189028.28599999,444412.048,166.49884681,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,51.98689474,5.88499074,51.98705909,5.88258159,Ahbo,90.614394,90.777733
22,47c9ecd7-5589-436d-bd6d-e77527aa9d9c,56,Onbekend,O Opstelspoor,0afd9a45-aa43-4c41-abbb-ecefe81f058d,d37f9254-2ee5-44de-bfc2-fdef7ba5dfff,,,Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,508,,508,508__,Arnhem,"90,868569","90,610162",-42.786081,"-42,786081",-54.365663,"-54,365663",ProRail,189287.44573481,444399.02888836,189023.95499999,444425.50699999,264.8187599,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,51.98692613,5.88635296,51.98718033,5.88251988,Ahbo,90.610162,90.868569
23,d580bc24-5c02-4db2-ac12-c31fc2d2a79a,62,Onbekend,O Opstelspoor,0afd9a45-aa43-4c41-abbb-ecefe81f058d,dc7d1827-dc63-443d-8175-c42e3b76f9ff,,,Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,508,,508,508__,Arnhem,"90,779134","90,611114",-70.416648,"-70,416648",-82.094447,"-82,094447",ProRail,189198.38896579,444435.64624312,189024.856,444453.238,174.42673109,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,51.98726074,5.88506019,51.98742952,5.88253575,Ahbo,90.611114,90.779134
24,f5534767-cce3-4d3c-8674-70a97cc63c6c,68,Onbekend,O Opstelspoor,0afd9a45-aa43-4c41-abbb-ecefe81f058d,01f706ec-8ab2-4cfc-8b75-f180eedb33d9,,,Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,508,,508,508__,Arnhem,"90,836063","90,651021",-82.602582,"-82,602582",-107.487341,"-107,487341",ProRail,189258.7634189,444442.1236761,189065.333,444478.727,197.70724736,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,51.98731524,5.88593974,51.98765613,5.88312753,Ahbo,90.651021,90.836063
25,31b83359-6bfd-4134-a878-f29b09b94280,70,Onbekend,O Opstelspoor,0afd9a45-aa43-4c41-abbb-ecefe81f058d,25ccb9ba-607f-44b7-9a8b-dcdf87f247e3,,,Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,508,,508,508__,Arnhem,"90,786198","90,613070",-102.682864,"-102,682864",-122.180846,"-122,180846",Derden - Overig - NS Onderhoud & Service (vastgesteld op 03-04-2018),189207.777,444467.28999999,189026.74799999,444493.329,183.249847,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,51.98754457,5.88520002,51.98778973,5.88256728,Ahbo,90.61307,90.786198
26,7245f7dd-0785-48ef-a948-9d0526710a28,TA,Onbekend,BR Brug-spoor,32f28a2a-4633-4cde-8906-d5fad70bee70,367f82c4-e68d-4bd4-9211-de7441482cd6,,,Zl-Lw,Zwolle - Leeuwarden ,009,,9,009__,Meppel - Leeuwarden,"153,100001","152,400000",-2.52761,"-2,527610",-1.930985,"-1,930985",ProRail,184337.53360648,566485.87455202,184552.863,565819.932,699.93850097,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,53.0844017,5.82505275,53.07840591,5.82820548,Pmk,152.4,153.100001
27,a0768026-e432-44bb-9420-ded91540f79a,905,Onbekend,R Restspoor,ddeca1c2-4958-4ca7-9540-718ee5ce19b9,d481b94e-3847-48f4-83a3-1868abf1556f,,,Wp-Llso,Weesp - Lelystad Opstel. ,135,,135,135__,Weesp Aansl. - Lelystad Industrieterrein,"15,580739","15,946727",-6.646835,"-6,646835",-7.881671,"-7,881671",ProRail,143915.81632596,487590.40032171,144280.33199999,487635.498,368.1524027,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,52.37607302,5.22442839,52.37648557,5.22977996,Alm,15.946727,15.580739
28,da43f37d-d1d8-47ef-b972-06c2c6a4c539,113,Onbekend,R Restspoor,3b0fd00c-5a11-452c-a2ca-cf0acd1b8e19,7db44f8c-f636-475c-846c-6d53c76ea7ab,,,,,,,,,,,,,,,,,155202.17212508,463993.45337342,155448.492,464306.234,398.12752647,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,,,,,Ama,,
29,c4470e67-8bb9-4e20-a04c-ab5845a6fd66,122,Onbekend,R Restspoor,7018bf44-3bc8-4059-b854-2d55357d9b51,477055c1-e559-4359-ad35-6f805abdb76b,,,Ama-Htba,Amersfoort Aansluiting - Hattemerbroek Aansluiting ,505,a,505,505_a,Amersfoort Aansl.,"23,543008","23,553397",7.52348,"7,523480",7.617802,"7,617802",ProRail,155697.86893912,464659.29836584,155703.777,464667.943,10.47107215,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,52.17008613,5.39740489,52.17016382,5.39749127,Amfs,23.553397,23.543008
30,af8d2f6f-794b-41ca-b3ad-2844eb085e90,12,Onbekend,O Opstelspoor,d7c60cb9-1265-40f5-9463-6b03775337dd,0c5531cf-0f5e-4178-a608-6679182d50ca,,,Asd-Zp,Amsterdam Centraal - Zutphen ,506,b,506,506_b,Amersfoort,"44,378706","44,512956",-73.704963,"-73,704963",-73.881898,"-73,881898",ProRail,153849.77900636,462887.77143202,153984.64199999,462895.645,135.10267566,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,52.15416301,5.37039629,52.15423404,5.37236692,Amf,44.512956,44.378706
31,1aa4dd6e-694f-4a9c-afc8-6f8d58c44a39,132a,Onbekend,R Restspoor,d7c60cb9-1265-40f5-9463-6b03775337dd,ea74a3ca-334b-449a-9a4f-189891c2345c,,,Amf-Amfwph,Amersfoort - Amersfoort Hoofdwerkplaats ,900,,900,900__,Amersfoort Hoofdwerkplaats,"200,506251","200,599726",-16.339646,"-16,339646",-5.957017,"-5,957017",Derden - Overig,153050.352,463114.277,153139.245,463083.09499999,94.72266744,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,52.15619661,5.35871356,52.15591665,5.36001272,Amf,200.599726,200.506251
32,1b796157-a0e0-4e26-a1e0-63d18ea116ef,135,Onbekend,O Opstelspoor,d7c60cb9-1265-40f5-9463-6b03775337dd,9e633996-5372-490c-9cdd-94f45f618f36,,,Amf-Amfwph,Amersfoort - Amersfoort Hoofdwerkplaats ,900,,900,900__,Amersfoort Hoofdwerkplaats,"200,469509","200,687198",-23.517007,"-23,517007",-24.310167,"-24,310167",Derden - Overig,153021.818,463134.01699999,153228.514,463083.798,213.47686939,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,52.15637393,5.35829648,52.15592326,5.36131719,Amf,200.687198,200.469509
33,bbd0fb78-4b6a-4b35-994d-f828e13af088,139,Onbekend,O Opstelspoor,d7c60cb9-1265-40f5-9463-6b03775337dd,2f6bae38-03d7-4aa6-8015-43f2b8d97b2b,,,Amf-Amfwph,Amersfoort - Amersfoort Hoofdwerkplaats ,900,,900,900__,Amersfoort Hoofdwerkplaats,"200,401925","200,687008",-30.578877,"-30,578877",-46.390979,"-46,390979",Derden - Overig,152961.722,463168.85499999,153232.696,463105.47999999,279.17947551,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,52.15668684,5.35741809,52.15611815,5.36137819,Amf,200.687008,200.401925
34,63ef59d0-9d38-4d38-a3d8-69a791207fdd,902,Onbekend,R Restspoor,38ad23a3-8fa4-440f-b67a-90022dce15a5,c70ecd9d-4b75-4628-add9-0db8689b959f,,,,,,,,,,,,,,,,,105714.591,488512.95699999,105539.484,488493.141,176.30667639,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,,,,,Hlmwph,,
35,2f1592b9-a3e4-4301-95fe-601867fa7cfc,909a,Onbekend,R Restspoor,38ad23a3-8fa4-440f-b67a-90022dce15a5,cea86bf6-c63a-4ab8-9b32-2a52f43d5c41,,,Spbr-Hlmwph,Spaarne (brug o/h - bij Haarlem) - Haarlem Hoofdwerkplaats ,901,,901,901__,Haarlem Hoofdwerkplaats,"100,714336","100,907448",-79.993618,"-79,993618",-118.140997,"-118,140997",Derden - Overig - NS Onderhoud & Service (onder voorbehoud),104961.48299999,488424.03499999,104762.93799999,488404.623,199.50870111,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,52.38139681,4.65227477,52.38120422,4.64936184,Hlmwph,100.907448,100.714336
36,fe52e613-b4a8-4cfe-97d7-376c60d404ba,910,Onbekend,R Restspoor,38ad23a3-8fa4-440f-b67a-90022dce15a5,8868228c-b4bb-4479-84c8-36dc50f7afad,,,Spbr-Hlmwph,Spaarne (brug o/h - bij Haarlem) - Haarlem Hoofdwerkplaats ,901,,901,901__,Haarlem Hoofdwerkplaats,"100,272155","100,401032",8.130497,"8,130497",-0.401174,"-0,401174",Derden - Overig - NS Onderhoud & Service (onder voorbehoud),105415.29399999,488497.29399999,105286.677,488486.25699999,129.5077964,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,52.38209637,4.65892865,52.38198554,4.65704138,Hlmwph,100.401032,100.272155
37,202ab660-a9a7-48c7-a280-ca248d9b75dd,929a,Onbekend,O Opstelspoor,38ad23a3-8fa4-440f-b67a-90022dce15a5,b2671b8a-3835-4bd3-9e17-ed228d5c9598,,,Spbr-Hlmwph,Spaarne (brug o/h - bij Haarlem) - Haarlem Hoofdwerkplaats ,901,,901,901__,Haarlem Hoofdwerkplaats,"100,681037","100,802229",-60.154918,"-60,154918",-83.879276,"-83,879276",Derden - Overig - NS Onderhoud & Service (onder voorbehoud),104996.803,488440.005,104872.807,488429.62099999,124.4304165,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,52.38154355,4.65279111,52.38143892,4.65097164,Hlmwph,100.802229,100.681037
38,73731cf2-a9c6-4183-a9d5-268ebc9b1056,691,Onbekend,IU In-/uitrijspoor,3e18f8e7-86c5-435a-9fe9-a42609fc5d97,b1c1ef2a-b8b5-4100-8e8b-174e81c34241,,,Ut-Rtd,Utrecht Centraal - Rotterdam Centraal ,100,,100,100__,Utrecht Centraal - Harmelen Aansl.,"9,099926","8,592920",-8.095841,"-8,095841",-6.308046,"-6,308046",ProRail,127228.04314391,457497.49574795,127730.346,457432.50699999,506.49007494,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,52.10501979,4.9818372,52.10446065,4.98917396,Hmlva,8.59292,9.099926
39,b992d253-f4d1-4b97-ae21-346c4795330b,693,Onbekend,IU In-/uitrijspoor,3e18f8e7-86c5-435a-9fe9-a42609fc5d97,ff9a5ef6-f59e-49e5-a65f-b9022cc60739,,,Ut-Rtd,Utrecht Centraal - Rotterdam Centraal ,100,,100,100__,Utrecht Centraal - Harmelen Aansl.,"9,100064","8,593064",3.859392,"3,859392",5.644889,"5,644889",ProRail,127229.57932238,457509.35347783,127731.872,457444.363,506.47996796,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,52.10512645,4.98185866,52.10456728,4.98919528,Hmlva,8.593064,9.100064
40,e5dd69d6-0b33-47d7-8fd2-8158d94c5f89,DA,Onbekend,R Restspoor,1f92e383-02e9-4140-9b5b-b2f20288c900,18695221-eaa1-4a7f-ad35-5d92ddada525,,,Ut-Rtd,Utrecht Centraal - Rotterdam Centraal ,100,,100,100__,Utrecht Centraal - Harmelen Aansl.,"10,739978","9,957065",0.782519,"0,782519",7.500734,"7,500734",ProRail,125603.48134372,457572.2215411,126380.458,457621.02799999,781.64117309,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,52.10560756,4.95811892,52.10608692,4.9694556,Hmla,9.957065,10.739978
41,b231b06f-024d-4185-815d-b688afd3ab6e,DF,Onbekend,IU In-/uitrijspoor,1f92e383-02e9-4140-9b5b-b2f20288c900,318bf389-bea3-4643-9b96-3acc91e07df0,,,,,,,,,,,,,,,,,122713.29225983,456143.38227334,121903.09699999,455715.525,916.23261221,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,,,,,Hmla,,
42,fa2ea0bc-ddd2-4a27-89cb-362bfe8403db,DQ,Onbekend,R Restspoor,1f92e383-02e9-4140-9b5b-b2f20288c900,9448dd7b-7d4c-4c58-bc19-943b09b859fc,,,Bkl-Hmla,Breukelen - Harmelen Aansl. ,099,,99,099__,Breukelen - Harmelen Aansl.,"6,947747","7,238126",13.90577,"13,905770",16.833765,"16,833765",ProRail,125778.15730016,457883.00960465,125575.717,457676.511,289.62790035,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,52.10841011,4.96064186,52.10654342,4.95770467,Hmla,7.238126,6.947747
43,338a4c1c-c751-40b6-8a3f-30a3383d4c44,KL,Onbekend,IU In-/uitrijspoor,fa6cb638-c593-4fbb-84be-51055c00f18f,e130a574-7f33-4842-b9e0-5629bb45f0e5,,,Ut-Rtd,Utrecht Centraal - Rotterdam Centraal ,101,,101,101__,Harmelen Aansl. - Woerden,"13,385003","13,390009",-3.671476,"-3,671476",-3.667352,"-3,667352",ProRail,123233.41551027,456409.78094536,123229.064,456407.48499999,4.92052029,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,52.09502889,4.92363386,52.095008,4.92357058,Wd,13.390009,13.385003
44,8b3e072a-bde3-4c77-96b6-27f2afaeb306,TH,Onbekend,R Restspoor,468f012d-7807-4908-ae61-53e1fe7cd1c8,5dde7086-35d2-470f-82a1-852ea0dd64df,,,Zd-Sgra,Zaandam - Amsterdam Singelgracht Aansl. ,139,,139,139__,Zaandam - Amsterdam Sloterdijk,"175,772917","176,150226",11.33472,"11,334720",10.519709,"10,519709",ProRail,115242.65617218,490266.41846812,115372.079,489909.44099999,381.15338338,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,52.39879559,4.80305031,52.39559674,4.80499397,Hrpa,176.150226,175.772917
45,68d62542-bdea-43b2-a9a5-ccc4b8dbcedf,10,Onbekend,O Opstelspoor,66e954bf-bbd4-42aa-a295-ce0d845bf606,46c3789a-ef6d-4ce5-99a4-a2d4addf0596,,,Zd-Ekz,Zaandam - Enkhuizen ,626,c,626,626_c,Hoorn,"32,473307","32,196436",-22.765046,"-22,765046",-41.852756,"-41,852756",ProRail,132480.545,517603.716,132205.053,517658.39899999,280.90602787,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,52.64545806,5.05447431,52.64593804,5.05040016,Hn,32.196436,32.473307
