Ministerie;Leveranciers;6000 - ICT overig;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Uitbesteding ICT;Eindtotaal
AZ;Software Connection B.V.;;;;;1;;;;1
AZ;Solvinity B.V.;;;;;;;;3;3
AZ;Stemmenbank.nl;;;;;;;1;;1
AZ;Studio 3005;;;;;;;;1;1
AZ;Tam Tam B.V.;;;;;1;;;2;2
AZ;Tele2 Nederland B.V.;;;;;;;2;;2
AZ;Telindus-ISIT B.V.;;6;3;;;3;;;6
AZ;TOPdesk Nederland B.V.;;;;;1;;;;1
AZ;Trusted-ID B.V.;;;;;2;;;;2
AZ;UBM Nederland;;;;;1;;;;1
AZ;UNIT4 Business Software B.V.;;;;;2;;;;2
AZ;Viadesk;;;;;2;;;;2
AZ;Vodafone;;;;;;;3;;3
AZ;Vosko Communications B.V.;;;;;;1;;;1
AZ;Winkwaves B.V.;;;;2;;;;;2
AZ;Xerox (Nederland) B.V.;;;;;1;;;;1
AZ;Xillio B.V.;;;;;1;;;;1
AZ;Zapaday B.V.;;;;2;;;;;2
BZ;Atos Nederland B.V.;;;;;;;;7;7
BZ;Axez ICT Solutions B.V.;;;;5;;;;;5
BZ;Beyond Reality B.V.;;;;;;2;;;2
BZ;CA software B.V.;;;;1;;;;;1
BZ;Caesar Accounts;;;;;;;;2;2
BZ;Capgemini N.V.;;;;;;;;7;7
BZ;CCV Services B.V.;;;;;;;1;;1
BZ;Cinnamon Interactive B.V.;;;;;;2;2;;2
BZ;COMPAREX Nederland B.V.;;7;;3;4;;2;2;7
BZ;DHL Finance Services B.V.;;;;;;;;1;1
BZ;Discountoffice.nl B.V.;;1;;;;;;;1
BZ;Ecorys B.V.;;2;;;;;;;2
BZ;Entopic Expert Services B.V.;;;;;;;;2;2
BZ;Gannexion B.V.;;;;;;;3;;3
BZ;Hennequin Consultancy B.V.;;;;;;;;2;2
BZ;In2Content B.V.;;;;;;;;1;1
BZ;Interactive Blueprints B.V.;;2;;;;;;;2
BZ;Internetworking Security Services eXperts;;1;;;;;;;1
BZ;IT-Staffing Nederland B.V.;;;;;;;;2;2
BZ;Ivo Broekhuizen Communicatie;;;;;;;1;;1
BZ;KBcom;;;;;;;1;;1
BZ;Microsoft B.V.;;7;;;;;;4;7
BZ;mijndomein.nl B.V.;;;;;;;;1;1
BZ;Misco Solutions B.V.;;2;;;;;;;2
BZ;Molenaar & Lok Consultancy B.V.;;;;;;;;2;2
BZ;NFGD Zoetermeer B.V.;;2;;;;;;;2
BZ;Nyala Media;;1;;;;;;;1
BZ;Orange Business Netherlands B.V.;;;;;1;;9;7;9
BZ;Outpost24 Benelux B.V.;;;;;;;1;;1
BZ;P & A Software B.V.;;;;;2;;;;2
BZ;Planon B.V.;;;;;4;;;;4
BZ;PointLogic HR B.V.;;;;2;1;;;;2
BZ;PQR B.V.;;3;;;;;;;3
BZ;Protinus IT B.V.;;2;;;;;;;2
BZ;Public Partners B.V.;;;;;;;;2;2
BZ;QSM Nederland B.V.;;2;;;;;;;2
BZ;Ricoh;;2;;;;;;;2
BZ;Tangram B.V.;;;;;1;;;;1
BZ;Telegrootgebruik B.V.;;6;;;;;2;;6
BZ;Transip B.V.;;1;;;;;1;;1
BZ;Twynstra Gudde;;;;;;;;3;3
BZ;UP learning B.V.;;;;;1;;;;1
BZ;Verizon Nederland B.V.;;;;;;;1;;1
BZ;VerversAdvies B.V.;;;;;;;;2;2
BZ;Vodafone;;;;;;;7;;7
BZ;XS4ALL Internet B.V.;;;;;;;1;;1
BZK;2CoolMonkeys B.V.;;;2;;;;;;2
BZK;2Xplain V.O.F.;;;;;;;;3;3
BZK;3Bplus B.V.;;;;;;;1;;1
BZK;5hart-IT Opleidingen B.V.;2;;;;;;;;2
BZK;7AM B.V.;;;;;;;;1;1
BZK;7Zebra's;;;1;;;;;;1
BZK;Aaaaha! The Actor Factory B.V.;;;;;;;;1;1
BZK;ABF Research B.V.;;;4;;;;1;;4
BZK;Accenture B.V.;;;;;2;;;;2
BZK;Actis B.V.;;;;;;;;1;1
BZK;ADO Hospitality & Events B.V.;;;;;;;;1;1
BZK;Advies Talent B.V.;;;;;;;1;;1
BZK;Adviesgroep Beleidscommunicatie B.V.;;;;;;;2;;2
BZK;Advisie Business Consultants;;;;;2;;;;2
BZK;AEREA B.V.;;;;;;;1;;1
BZK;Agumar Systems B.V.;;;1;;;;;;1
BZK;AIRINC Nederland;;;1;;;;;;1
BZK;ALBION;;;;;;;1;;1
BZK;Albyco Nederland B.V.;;;;;;1;;;1
BZK;AlterNET Internet B.V.;;;;;4;;;;4
BZK;AMPLEXOR Netherlands;;;;;;;;2;2
BZK;And International Publishers N.V.;;;;;5;;;;5
BZK;anoniem;;3;1;1;;;5;2;5
BZK;ANP Photo;;;;;;;1;;1
BZK;Antwoordservice Nederland B.V.;;;;;;;;1;1
BZK;Apple Retail Netherlands B.V.;;1;;;;;;;1
BZK;ARCADIS Nederland;;;4;;;;2;;4
BZK;Archidat B.V.;;;;;1;;;;1
BZK;ArchiXL B.V.;;;;;;;;1;1
BZK;Argo 360;;;1;;;;;;1
BZK;Asp4all Hosting B.V.;;;3;;5;;;3;5
BZK;Atos Nederland B.V.;;;2;;6;7;2;7;8
BZK;ATPS B.V.;;1;;;;;;;1
BZK;Avex B.V.;;1;;;;;;;1
BZK;Aviste B.V.;;2;1;;;;;;2
BZK;Azerty;;;;;;;;1;1
BZK;B.V. Technisch Bureau Jacot;;1;;;;;;;1
BZK;B3partners B.V.;;;2;;;;;;2
BZK;Backup Transport & Depot Services B.V.;;3;;;;;;1;3
BZK;Banketbakkerij Boheemen;;;;;;;;1;1
BZK;Beautiful Minds;;;;;;;1;;1
BZK;Bechtle direct B.V.;;;;;1;;;;1
BZK;Bellshape B.V.;;;;;2;;;;2
BZK;Bentley Systems Netherlands B.V.;;;1;2;;;;1;2
BZK;Bento Presentaties;;;;;;;1;;1
BZK;Bestax;;;;;;;;1;1
BZK;Betawerk B.V.;;;1;;;;;;1
BZK;Bex*communicatie;;;1;;;;2;;2
BZK;Binnenlands Bestuur B.V.;;;;;;;2;;2
BZK;BIS Bedrijfs Informatie Systemen B.V.;;7;5;;;;;;7
BZK;Bizzdesign;;;;;1;;;;1
BZK;Blinker B.V.;;;;1;1;;;1;2
BZK;Bloxx;;;;1;;;;;1
BZK;Blue Collar Hotel B.V.;;;;;;;;1;1
BZK;BMC Implementatie;;;;;;;;2;2
BZK;bol.com B.V.;;;1;;;;;;1
BZK;Boom B.V.;;;;;;;;2;2
BZK;BOOM Communicatie;;;;;;;1;;1
BZK;Boom Distributie Centrum;;;1;;;;2;;2
BZK;Brantjes Data Vernietiging B.V.;;;;;1;;;;1
BZK;Bravosolution Benelux;;;1;;2;;;;2
BZK;Briss;;;1;;;;;;1
BZK;BT Nederland N.V.;;2;5;;4;5;5;;7
BZK;BTC Teleconsult;;6;1;;;;7;;7
BZK;BudgetVertalingOnline;;;;;;;1;;1
BZK;Buitengoed Hagenhorst Exploitatie B.V.;;;;;;;;1;1
BZK;Bureautaal B.V.;;;;;;;;1;1
BZK;Buro B.;;;;;;;2;;2
BZK;Buro Financieel Advies Ede;;;;;;;1;;1
BZK;BusinessForensics B.V.;;;2;;;;;;2
BZK;BWS Consulting B.V.;;;;;;;;4;4
BZK;CAD & Company Products B.V.;;;;;;;;2;2
BZK;Canon Nederland;;2;1;;;;;;2
BZK;Canon Nederland N.V.;1;;;;;;;;1
BZK;Capgemini N.V.;;;;;5;;;;5
BZK;Capgemini Nederland B.V.;7;;7;4;7;2;;7;9
BZK;CBizz B.V.;1;;1;;;;;;1
BZK;Cendris Dataconsulting B.V.;;;1;;;;;;1
BZK;Centraal Boekhuis B.V.;;;;;;;1;;1
BZK;Central Point Software;;;;;;;;1;1
BZK;Centric;;;3;;7;5;;;7
BZK;Centric IT Solutions B.V.;;2;1;;;;;;2
BZK;Centric Test & Security Professionals B.V.;;;;;1;;;2;2
BZK;CERRIX B.V.;;;;;;;;1;1
BZK;CGI Nederland;;;;;;;;1;1
BZK;CGI Nederland B.V.;;;2;;7;;;8;9
BZK;Cimsolutions;;;2;;;;;;2
BZK;Cirquest B.V.;;;1;;;;;;1
BZK;Claranet;;;;;1;;;;1
BZK;Cloud Seven B.V.;;;;;;;1;;1
BZK;Clownfish Creatieve Communicatie B.V.;;;;;;;1;;1
BZK;CM Telecom B.V.;;;;;;;1;7;7
BZK;Co & Co Solutions B.V.;;;;;3;;;;3
BZK;Colorworks B.V.;;;;;;;;1;1
BZK;Colour-Digital B.V.;;;;;;;;1;1
BZK;Colourful Insights;;;1;;;;;;1
BZK;Communicatietante;;;;;;;1;;1
BZK;COMPAREX Nederland B.V.;2;5;5;7;9;2;;5;9
BZK;Compumatica Secure Networks B.V.;;2;1;;;;;;2
BZK;Computel Stand-By B.V.;;;1;;;;;;1
BZK;Computest Group B.V.;;;;;;;;1;1
BZK;Computest Services B.V.;;;;;;1;;3;3
BZK;Concept7 B.V.;;;;;;;;2;2
BZK;Concorde Group B.V.;;;;;;;2;;2
BZK;Coney Analytix;;;;;1;;;;1
BZK;Connected Information Systems B.V.;;;;;;;;2;2
BZK;ConnectTools B.V.;;;1;;;;;;1
BZK;Contracto B.V.;;;;2;;;;;2
BZK;Controle Support B.V.;;;;;;;;1;1
BZK;Coolblue B.V.;;;;;;;;1;1
BZK;Coöperatieve Circle Economy UA;;;;;;;1;;1
BZK;Coosto B.V.;;;2;;;;;;2
BZK;Copas B.V.;;;;;;;;2;2
BZK;Covalent Infra Technology Solutions B.V.;;;;3;;;;;3
BZK;Creativa Design;;;;;;;1;;1
BZK;CrMatch B.V.;;;1;;;;;;1
BZK;Croon Elektrotechniek B.V.;;;;;;;1;;1
BZK;CSU Food Services;;;;;;;;2;2
BZK;Cu4it B.V.;;;;;1;;;;1
BZK;Dalosy Projecten B.V.;;1;1;;;;;;1
BZK;Dankers & Frank;;;;;;1;;;1
BZK;De Grote Slok;;;;;;;;1;1
BZK;de Persgroep Nederland B.V.;;;;;;;1;;1
BZK;DE POUS;;;;;;;;1;1
BZK;DE REE archiefsystemen;;;4;;;;;;4
BZK;De Superhelden;;;;;;;1;;1
BZK;De Telefoongids Holding B.V.;;;;;;;1;;1
BZK;Dell B.V.;;;;;;;;1;1
BZK;Deloitte Accountants B.V.;;;;;;;;4;4
BZK;Deloitte Consulting B.V.;;;;;;;;4;4
BZK;Delta 3;;;;;;;;1;1
BZK;DEMO Consultants B.V.;;;;;1;;;;1
BZK;Detron Telecom Enterprise;;5;2;7;4;4;4;4;7
BZK;Digidentity B.V.;;;;1;2;;;1;2
BZK;Dijkgraaf-Rijsdorp B.V.;;1;;;;;;;1
BZK;Discountoffice.nl B.V.;;1;1;;;;;;1
BZK;Docspro B.V.;;;3;;;;;;3
BZK;Donki Gotte;;;;;;;1;;1
BZK;Dotweb Systems B.V.;;;;2;1;;;;2
BZK;Driebit Hosting B.V.;;;3;;;;1;;3
BZK;EasyStaff Flex Services B.V.;;;;;;;;2;2
BZK;eBrella Front-end B.V.;;;;;;;;2;2
BZK;EBSCO Information Services B.V.;;;;;;;1;;1
BZK;Edery International B.V.;;;;;;1;1;;1
BZK;Eduvision B.V.;;;;;;;;1;1
BZK;Ehrm Vision;;;;;2;;;;2
BZK;Eleqtron;;;1;;;;;;1
BZK;Elevated Graphics B.V.;;;;;;;1;;1
BZK;EMC Computer Systems (Benelux) B.V.;;;;;5;;;;5
BZK;EMMA Communicatie B.V.;;;4;;;;2;;4
BZK;EnablE-U B.V.;;;;;1;;;;1
BZK;Eneco Zakelijk;;;3;;;;;;3
BZK;Entopic B.V.;;;;1;;;;;1
BZK;ENVIEM Oil Nederland B.V.;;;2;;;;;;2
BZK;Envolve B.V.;;;;;;;;1;1
BZK;EPI-USE B.V.;;;;2;1;;;1;2
BZK;Ernst & Young Certifypoint B.V.;;;;;;;;4;4
BZK;Eurofiber Nederland;;;;;1;;2;;2
BZK;Evema Telecom B.V.;;1;;;;;;;1
BZK;E-Vent entertainment;;;;;;;1;;1
BZK;Evite Services B.V.;;;2;;;;;;2
BZK;Exact Software Nederland B.V.;;;;;3;;;;3
BZK;ExperiCom B.V.;;;;;;;2;;2
BZK;Explore-IT B.V.;;;;;1;;;;1
BZK;Expo Display Service;;;;;;;;1;1
BZK;ExpoStoreOnline;;;;;;;1;;1
BZK;Extra;;;;;;;1;;1
BZK;ezCompany B.V.;;;;;;;;2;2
BZK;F&B V.O.F.;;;;;;;1;;1
BZK;Facilion B.V.;;;1;;;;;;1
BZK;Familyvoices;;;;;;;1;;1
BZK;File2share B.V.;1;;2;2;1;;;;2
BZK;FilmService B.V.;;;;;;;1;;1
BZK;Finalist IT Group B.V.;;;2;;;;;;2
BZK;Finnegan's Apeldoorn B.V.;;;;;1;;;;1
BZK;firMM information/service design B.V.;;;;;;;1;;1
BZK;FirstService;;;;;;;1;;1
BZK;Florijn Consultancy;;;1;;;;;;1
BZK;Flowlogics;;;;;;;;3;3
BZK;For Conference B.V.;;;;;;2;;1;2
BZK;Formzet B.V.;;;;;;;1;;1
BZK;Forrester Research B.V.;;;;;3;;;;3
BZK;Forsite Media;;;1;;;;;;1
BZK;Fortune Factory B.V.;;;;;;;1;;1
BZK;Fotogeniek;;;;;;;1;;1
BZK;Fox-IT B.V.;3;;2;;;;;;4
BZK;Franke Interim Management B.V.;;;;;;;;1;1
BZK;Fujitsu Technology Solutions B.V.;1;1;6;;1;;;6;7
BZK;Future Produkties;;;;;;;1;;1
BZK;Futurecheck;;;;;;;1;;1
BZK;Futureproof Document Solutions;;;;;2;;;;2
BZK;Gartner Nederland B.V.;;;;;2;;;2;3
BZK;Gazmedia;;;2;;;;;;2
BZK;GBBO;;;;;;;1;;1
BZK;gefeliciTAART B.V.;;;;;;;;1;1
BZK;Gemnet B.V.;;;;;;4;;;4
BZK;Gemoro B.V.;;;2;;;;;;2
BZK;Genesys Webdesign;;;;4;4;;;;5
BZK;Geodan B.V.;;;1;;;;;;1
BZK;Geschenkbezorgen.nl B.V.;;;;;;;;1;1
BZK;Getronics Nederland B.V.;;;2;2;;;;;2
BZK;Gobo Image;;;;;;;1;;1
BZK;Goodstore Netherlands B.V.;;;;;;;;1;1
BZK;Grafisch Buro van Erkelens B.V.;;;1;;;;2;;2
BZK;Grapefish;;;;;;;1;;1
BZK;GraphiX Visions B.V.;;;;;;;1;;1
BZK;Green Valley;;;;;;2;;;2
BZK;Greengiving;;;;;;;;1;1
BZK;Greenonline B.V.;;;;;;;1;;1
BZK;GXS B.V.;;;;;7;;;;7
BZK;H.T.A. Systems B.V.;;;;2;;;;;2
BZK;Hartman en Jacq Fotografen;;;;;;;1;;1
BZK;Hatchfund.nl;;;2;;;;;;2
BZK;Havana Orange B.V.;;;;;;;2;;2
BZK;Hay Group B.V.;;1;;;;;;;1
BZK;HeadFirst B.V.;;;;;;;;1;1
BZK;HEC B.V.;2;;;;;;;3;4
BZK;Hecla Professional Audio & Video Systems;;;1;;;;;;1
BZK;Hega Offset B.V.;;;;;;;1;;1
BZK;Helder Hosting B.V.;;;1;;;;;;1
BZK;Henriëtte Prast;;;;;;;1;;1
BZK;Het Vertaalcollectief;;;;;;;1;;1
BZK;Heuvelman Sound & Vision B.V.;;6;5;;;;;;6
BZK;Hewlett-Packard Nederland B.V.;;;4;;;;;;4
BZK;Hoezee B.V.;;;;;;;;1;1
BZK;Holland Service Koeriers C.V.;;;;;;;;1;1
BZK;Hollandse Hoogte B.V.;;;1;;;;1;;1
BZK;Hollandse Telecommunicatie Maatschappij;;;;;;;1;;1
BZK;HSK Interventie B.V.;;;;;;;1;;1
BZK;Huiswerk;;;;;;;2;;2
BZK;Hulskamp Audiovisueel Den Haag;;3;;;;;;;3
BZK;IBM Nederland B.V.;;;;;7;;;;7
BZK;ICTroom Company B.V.;;;1;;;;;;1
BZK;ID Ware International B.V.;;;;;4;2;1;7;7
BZK;Imago B.V.;;;2;;;;;;2
BZK;In2Content B.V.;;;;;;;;1;1
BZK;in60seconds;;;;;;;2;;2
BZK;Indocs;;;;2;;;;;2
BZK;Infoprojects;;;2;;;;;;2
BZK;Information Builders (Benelux) B.V.;;;2;;;;;;2
BZK;ING Bank N.V.;;;1;;;;;;1
BZK;InnoValor B.V.;;;;;;;;2;2
BZK;Innovero Software Solutions B.V.;;;2;;;;;;2
BZK;InsightsWorld B.V.;;;;;2;;;;2
BZK;Inspring Media B.V.;;;1;;;;;;1
BZK;Intelectric Network Solutions (INS) B.V.;;;;;;;1;;1
BZK;Inter Access B.V.;;;;;;;;4;4
BZK;Intermax Hosting B.V.;;;;;2;1;;;2
BZK;Interned Services;;;2;;1;;;;2
BZK;internetpeople.nl;;;1;;;;;;1
BZK;Involon B.V.;;;;1;;;;;1
BZK;IOVIO BPT B.V.;;;;;;;;2;2
BZK;Iris-International;;;1;;;;;;1
BZK;IT Management Group;1;;;;;;;;1
BZK;Itera B.V.;;;;;1;;;;1
BZK;IT-Staffing Nederland B.V.;;;4;;1;;;4;4
BZK;IVU Traffic Technologies Benelux B.V.;;;4;;;;;;4
BZK;iWelcome B.V.;;;;;2;;;;2
BZK;Jaarbeurs B.V.;;;;;;;;1;1
BZK;Joules Unlimited B.V.;;;1;;;;;;1
BZK;Jumble;;1;;;;;1;;1
BZK;Kaliber Interactive B.V.;;;;;;;;7;7
BZK;Kapitein Koen;;;;;;;2;;2
BZK;KBenP;;;3;;;;;;3
BZK;Kijkerd Producties;;;;;;;1;;1
BZK;Klarna B.V.;;;;;;;;1;1
BZK;Koning & Hartman B.V.;;;1;;;;;;1
BZK;Koninklijke Kampert en Helm Rotaform B.V.;;;;;;;;5;5
BZK;KPMG Advisory N.V.;;;;;;;;4;4
BZK;KPMG N.V.;;;2;;;;;;2
BZK;KPN B.V.;5;;3;;1;1;3;;6
BZK;KPN BV;;;4;2;1;1;7;;7
BZK;KPN Corporate Market;;;;2;7;4;;4;7
BZK;KPN Corporate Market B.V.;;;;;;;2;;2
BZK;KPN Groningen rek. 4697801;;;;;;;1;;1
BZK;KPN Lokale Overheid (Gemnet B.V.);;;1;;2;;1;;2
BZK;KPN Telecommerce B.V.;;;;;;1;1;;1
BZK;KPN Winkel;;;;;;1;;;1
BZK;KSMT;;;2;;;;;;2
BZK;Launch Group;;;;;;;;2;2
BZK;Leene Communicatie;;;;;;;3;;3
BZK;Lexmark International B.V.;;;;1;;;;;1
BZK;LimoenGroen B.V.;;;;;;;;1;1
BZK;Ljs Automatisering B.V.;;1;;;;;;;1
BZK;Lof Media B.V.;;;;;;;1;;1
BZK;Login B.V.;;;1;;;;;;1
BZK;LPBL B.V.;;;;;;;2;;2
BZK;Luna.nl B.V.;;;1;;;;;;1
BZK;Lyreco Nederland B.V.;;1;1;;;;;;1
BZK;Maarten Balyon Grafische Vormgeving;;;;;;;2;;2
BZK;MacTwo;;1;1;;;;;;1
BZK;Mahieu Web Development B.V.;;;1;;;;;;1
BZK;Management Centrum Partners B.V.;;;;;;;;6;6
BZK;Mangrove B.V.;;;;;;;;2;2
BZK;Manpower Solutions B.V.;;;;;;;1;;1
BZK;Manutan B.V.;;1;1;;;;;;1
BZK;Markus Design;;;;;;;1;;1
BZK;Marosel B.V.;;;;1;;;;2;2
BZK;Maters & Hermsen Journalistiek B.V.;;;;;;;4;;4
BZK;Mavim B.V.;2;;;;1;;;;2
BZK;Maxd'Oro B.V.;;;;;;;;2;2
BZK;Maxmind B.V.;;;;;1;;;;1
BZK;MCW Studio's B.V.;;;;;;;2;;2
BZK;Media Markt Rijswijk B.V.;;;;;;1;;;1
BZK;Metri B.V.;3;;;;;;;;3
BZK;Mies/Tekst en Training;;;;;;;2;;2
BZK;Mihosnet;;;;;1;;;;1
BZK;mijndomein.nl B.V.;;;;1;;;;;1
BZK;Milvum;;;2;;;;;;2
BZK;Minkels B.V.;;2;;;;;;;2
BZK;Misco Nederland B.V.;;;;;;1;;;1
BZK;Misco Solutions B.V.;2;8;5;;4;1;1;;8
BZK;MMM Interactieve Communicatie;;;;;1;1;;;1
BZK;Mogador Productions;;;;;;;1;;1
BZK;Mproof Beheer B.V.;;;;;2;;;;2
BZK;MSI Communication B.V.;;;;;;;;1;1
BZK;Multor Media B.V.;;;;;;;1;;1
BZK;myBrand;;2;;;;;;;2
BZK;MyCom Apeldoorn;;1;;;;;;;1
BZK;MyCom Nederland B.V.;;;;;;;;1;1
BZK;N3WSTRATEGY;;;2;;;;;;2
BZK;Nationale Beeldbank B.V.;;;;;;;1;;1
BZK;NCC Group Escrow Europe B.V.;;;;1;;;;;1
BZK;NCCW B.V.;;;;3;;;;;3
BZK;NEC Nederland B.V.;;;;;2;;;;2
BZK;Nederland ICT;;;;;;2;;;2
BZK;Nemesys;;;;;;;;1;1
BZK;Netcreators B.V.;;;;;1;2;1;2;3
BZK;Nétive VMS B.V.;;;;;5;;;;5
BZK;NetQuestionnaires Nederland B.V.;;;;;1;;;;1
BZK;Network Operations;;;1;;;;;;1
BZK;Networking4all B.V.;;;;1;2;;;;2
BZK;New Babylon Meeting Center B.V.;;;;;;;;2;2
BZK;New Nexus B.V.;;;;;;;;1;1
BZK;Newitera B.V.;;;;1;;;;;1
BZK;NH Den Haag;;;;;;;;2;2
BZK;Nieman Groep B.V.;;;;;;;1;;1
BZK;Noise B.V.;;;3;;;;1;;3
BZK;Norisk Keymanagement B.V.;;1;1;;;;;;1
BZK;Nota Bene B.V.;;;;;1;;;;1
BZK;NowOnline.nl;;;2;;;;;;2
BZK;NRC Media Holding B.V.;;;;;;;1;;1
BZK;NSD International NL B.V.;;1;;;;;;;1
BZK;NubiloSoft B.V.;;;;2;;;;;2
BZK;O2 Communicatieadviesbureau B.V.;;;;;;;1;;1
BZK;Odyssee;;;;1;;;;;1
BZK;OGD ICT-Diensten;;;;;;;;4;4
BZK;One Shoe B.V.;;;;;;1;;;1
BZK;Onesto Automatisering;;;1;;;;;;1
BZK;OpenDoc Society;;;;;;;;2;2
BZK;Openindex B.V.;;;1;;;;;;1
BZK;Optima Forma B.V.;;;;;;;2;;2
BZK;OR.nl Internetdiensten B.V.;;;;;;1;;;1
BZK;Oracle Nederland;1;;;7;7;;;;7
BZK;Orcavoice B.V.;;;;;;;1;;1
BZK;Ordina N.V.;;;;;7;;;6;7
BZK;Ordina Nederland B.V.;;;;1;;;;;1
BZK;Ordina Technologie & Competenties B.V.;;;;;7;;;4;7
BZK;Oribi Software B.V.;;;;;2;;;;2
BZK;OSAGE communicatie en ontwerp;;;;;;;1;;1
BZK;Ostman International B.V.;;;;;;1;;;1
BZK;Otys International B.V.;;;;;2;;;;2
BZK;PACT Public Affairs B.V.;;;;;;;1;;1
BZK;Panteia B.V.;;;;;;;1;3;3
BZK;Paralax B.V.;;;;;3;1;;1;3
BZK;Pardon Consult;;;1;;;;;1;1
BZK;Pardon Consult B.V.;;;;;1;;;;1
BZK;PBLQ HEC;;;;;;;;1;1
BZK;PCextreme B.V.;;;1;;;;;;1
BZK;PersonnelView;;;;;1;;;;1
BZK;Pianohandel Mos en Spetter;;;1;;;;;;1
BZK;Pine Digital Security;;;1;;;;;;1
BZK;Pink Elephant;;;;;3;;;1;3
BZK;PinkRoccade Local Government;;;;1;;;;;1
BZK;Plan- en Adviesburo Snijder;;;;;;;1;;1
BZK;Planon B.V.;;;;;5;;;;5
BZK;Plusport B.V.;;;;1;;;;;1
BZK;Poortvliet Fotografie V.O.F.;;;;;;;1;;1
BZK;Postcode.NL B.V.;;;;1;;;;;1
BZK;PQR B.V.;;7;6;;4;6;;3;8
BZK;Pricewaterhousecoopers Advisory N.V.;1;;2;;;;;;2
BZK;Pricewaterhousecoopers N.V.;;;;;;;;4;4
BZK;PricewaterhouseCoopers Services B.V.;;;;;;;1;;1
BZK;PRiMAN Talent Management;;;;;1;;;;1
BZK;Prime Contact B.V.;;;;;2;;;2;2
BZK;Primera Van der Zwaan;;;;;;;1;;1
BZK;Prindustry B.V.;;;;;1;;;;1
BZK;Process Express B.V.;;;;;;;;1;1
BZK;Procura;;;;;;;1;;1
BZK;Protinus IT B.V.;1;8;6;7;5;3;2;4;8
BZK;Provarix B.V.;;;1;;;;;;1
BZK;Public Cinema;;;;;;;1;;1
BZK;Public Creation;;;;;;;3;;3
BZK;Publiek Denken;;;;;;;1;;1
BZK;Q Delft B.V.;;;2;;2;;;;2
BZK;Qi ict;;;;;;3;;;3
BZK;QS Solutions;;;1;;;;;;1
BZK;QS solutions B.V.;;;1;;;;;;1
BZK;Quality Support B.V.;;;;;;;;1;1
BZK;QuoVadis Trustlink B.V.;;;;1;2;1;;2;3
BZK;Raatwerk B.V.;;;1;;;;;;1
