ADRES;APOTHEEK;HUISARTS;FYSIO;TANDARTS;BIBLIOTHEEK;PSYCHO;ZIEKENHUIS;VERPLEEGHUIS;VERZORGINGSHUIS;FITPLAATS;OVHALTE_RG;OUDERENSOCIETEIT;BUURTHUIS;BUURTHUISVANDETOEKOMST;PRIMAIROND;KINDEROPVANG;ZORGINSTELLING;WELZIJN;SUPERMARKT;COUNTER
C.A. van Beverenstraat 43;845;967;89;201;1061;1506;2343;1368;951;3488;655;90;1095;207;123;120;951;1095;777;80
C.A. van Beverenstraat 56;837;959;102;214;1053;1520;2356;1381;942;3501;647;76;1087;194;109;109;942;1087;790;81
Molenbrink 39;937;1199;465;805;973;551;3428;1944;1011;4432;531;119;119;1230;757;164;1011;119;557;82
Molenbrink 63;942;1204;471;810;979;556;3434;1950;1017;4438;537;55;55;1236;763;100;1017;55;563;83
Molenbrink 16;833;1095;361;701;869;447;3324;1841;907;4329;427;140;140;1126;653;184;907;140;453;84
Molenbrink 34;903;1103;487;709;877;455;3450;1849;915;4337;553;153;153;1252;661;198;915;153;579;85
Westerbaenstraat 81 en 1 andere adressen;583;519;454;345;417;394;1435;1054;908;2714;177;502;241;1012;517;105;908;241;326;1
Westerbaenstraat 63;604;542;474;366;438;417;1458;1077;929;2737;197;523;261;1035;540;128;929;261;347;2
Westerbaenstraat 65;609;537;480;371;443;411;1453;1072;934;2731;203;528;267;1030;535;122;934;267;352;3
Weststraat 42;316;539;295;618;752;1106;3341;978;645;2347;314;267;567;310;1110;141;645;567;412;4
Westeinde 22;227;227;333;29;964;259;887;1079;1622;2521;344;271;517;378;261;49;1079;517;246;5
Reitzstraat 65 en 6 andere adressen;297;432;353;416;774;1162;1460;916;573;1224;147;267;251;929;344;330;573;251;205;6
Jacob Marisstraat 22 en 6 andere adressen;328;187;187;575;520;1214;1456;558;1788;2147;363;79;360;145;233;80;558;360;200;7
Bosboomstraat 13 en 5 andere adressen;416;275;253;515;587;1281;1543;470;1876;2235;451;167;448;58;145;145;470;448;268;8
Laan van Vredestein 91;464;514;514;68;1341;1910;1704;854;474;2364;405;474;655;474;708;161;474;655;523;9
Vlamingstraat 24;236;236;291;451;551;251;984;1450;1209;2944;176;375;591;389;595;416;1209;591;143;10
Ieplaan 185 en 43 andere adressen;620;533;179;67;616;808;836;2023;225;1724;369;93;521;1053;102;102;225;521;564;11
Zutfensestraat 91 en 2 andere adressen;197;439;113;240;1678;2245;2480;957;1474;2430;284;342;1483;342;438;213;957;1483;427;12
Ru Parestraat 152;404;399;429;826;613;1306;2580;927;687;3415;337;592;616;740;792;380;687;616;601;13
Pretoriusstraat 68 en 8 andere adressen;408;509;500;569;884;1088;1343;763;705;1342;300;377;189;855;138;112;705;189;253;14
Laan van Vredestein 84;369;419;419;73;1374;1942;1609;759;380;2447;311;380;561;380;613;87;380;561;428;15
Laan van Vredestein 90;385;435;435;56;1390;1958;1625;775;395;2430;326;395;576;395;629;102;395;576;444;16
Laan van Vredestein 106 en 1 andere adressen;495;545;545;100;1378;1947;1735;885;506;2401;437;506;687;506;740;192;506;687;554;17
Laan van Vredestein 118;481;531;531;85;1364;1932;1721;871;491;2386;422;491;672;491;725;178;491;672;540;18
Orveltestraat 56 en 2 andere adressen;91;171;284;111;1120;1249;1468;1382;1312;2113;398;649;1342;931;328;86;1312;1342;460;19
Orveltestraat 81 en 25 andere adressen;452;452;268;501;1180;945;1165;1785;1469;2122;421;431;1759;943;685;408;1469;1759;520;20
Schoeplaan 178 en 7 andere adressen;558;571;447;695;765;1267;3542;1943;2045;299;367;219;384;250;221;158;1943;384;270;21
Rogstraat 13;121;144;144;191;277;954;3349;597;549;2432;299;116;124;657;803;281;549;124;521;22
Van Swietenstraat 55 en 1 andere adressen;700;228;230;409;470;328;1395;979;618;2201;286;254;572;1076;609;232;618;572;504;23
Ammunitiehaven 827 en 16 andere adressen;190;309;526;216;997;968;2327;449;361;2655;493;892;1222;362;604;112;361;1222;865;24
Ammunitiehaven 865 en 7 andere adressen;391;522;635;349;693;460;2109;639;592;2774;253;370;694;592;729;343;592;694;384;25
Joubertstraat 124 en 8 andere adressen;519;482;328;493;1090;916;1316;736;815;1204;208;437;424;683;387;385;736;424;406;26
Joubertstraat 152 en 2 andere adressen;482;482;291;456;1123;879;1354;773;778;1167;171;400;387;646;350;348;773;387;369;27
Lippe-Biesterfeldweg 6;194;194;266;652;403;1118;2416;763;523;3251;41;405;405;721;653;170;523;405;391;28
Lippe-Biesterfeldweg 8B;227;227;231;685;436;1108;2449;796;495;3284;74;394;438;686;620;203;495;438;424;29
Joubertstraat 72 en 1 andere adressen;560;429;382;547;1037;970;1263;683;858;1258;263;491;418;737;366;340;683;418;461;30
Ketelstraat 22;695;708;584;578;750;1405;3679;2080;2182;182;504;102;521;388;104;104;2080;521;408;31
Stuwstraat 206 en 7 andere adressen;593;606;509;790;827;1302;3577;1978;2080;394;428;311;401;268;316;178;1978;401;332;32
Ketelstraat 38;736;749;624;618;790;1445;3720;2121;2223;222;544;142;561;428;144;144;2121;561;448;33
Ketelstraat 48;762;775;650;644;816;1471;3746;2147;2249;248;570;135;588;454;171;169;2147;588;474;34
Ketelstraat 50;766;779;654;648;821;1475;3750;2151;2253;252;574;131;592;458;175;165;2151;592;478;35
Van Brakelstraat 52 en 4 andere adressen;388;347;281;292;163;247;1579;1187;402;2623;293;334;357;1224;416;189;402;357;129;36
Van Brakelstraat 36 en 17 andere adressen;426;384;318;253;124;284;1540;1148;439;2584;311;295;318;1185;376;219;439;318;167;37
Cornelis Houtmanstraat 3A en 6 andere adressen;730;167;86;311;390;614;2522;1984;641;1443;336;550;642;776;155;128;641;642;411;38
Cornelis Houtmanstraat 13A en 5 andere adressen;708;188;64;289;367;636;2544;2005;663;1440;314;528;620;754;132;105;663;620;389;39
Zwanenlaan 5;768;340;218;337;1036;639;630;1373;1496;1037;305;1052;1052;933;234;147;1373;1052;890;40
Zwanenlaan 14;696;387;386;266;1215;797;809;1299;1675;1084;353;1231;1231;1091;279;279;1299;1231;1069;41
Zijpendalstraat 221 en 5 andere adressen;289;210;210;1053;1070;2520;3477;1431;210;2335;464;522;1090;2025;277;219;210;1090;393;42
Rochussenstraat 23;322;220;220;557;490;1184;1511;509;1788;2202;418;134;365;96;183;78;509;365;171;43
Bosboomstraat 7;387;301;212;477;556;1249;1586;429;1853;2277;417;209;430;16;103;103;429;430;236;44
Rochussenstraat 40;340;238;238;538;509;1202;1529;490;1806;2221;437;152;383;77;164;97;490;383;189;45
Zijpendalstraat 162 en 7 andere adressen;276;197;197;1040;1057;2531;3464;1442;197;2322;451;534;1077;2012;263;206;197;1077;379;46
Langeland 18;604;684;470;503;1610;684;5307;3500;1864;5704;526;660;4239;1865;994;543;1864;4239;813;47
Ruychrocklaan 340;1188;1188;195;136;1443;887;903;2336;495;77;471;569;2690;768;0;419;495;2690;533;48
Leyweg 3;159;304;225;525;1500;1244;1116;1098;408;1380;122;375;684;938;431;340;408;684;591;49
Goudlaan 47;796;778;412;412;1901;1603;1048;1012;937;2597;651;581;602;937;752;522;937;602;701;50
Hobbemaplein 4 en 86 andere adressen;52;52;372;120;121;1254;887;1105;875;1765;115;39;407;971;301;301;875;407;221;51
Langeland 3;572;651;437;470;1577;651;5275;3467;1831;5671;493;627;4207;1832;955;510;1831;4207;780;52
Van Ostadestraat 455 en 6 andere adressen;365;365;344;228;548;1737;1370;1183;1277;1658;159;382;293;857;263;231;1183;293;334;53
Langeland 48;480;560;346;379;1486;560;5183;3376;1740;5580;402;536;4115;1741;870;419;1740;4115;689;54
Dedemsvaartweg 157;688;359;465;128;1525;1254;1250;1177;955;2454;303;285;1138;1060;443;124;955;1138;913;55
Langeland 21;580;659;445;478;1585;659;5283;3475;1839;5679;501;636;4215;1840;969;518;1839;4215;789;56
Langeland 23;563;643;428;461;1568;643;5266;3458;1822;5662;484;619;4198;1823;952;501;1822;4198;772;57
Langeland 26;528;608;394;427;1534;608;5231;3424;1788;5628;450;584;4163;1789;918;467;1788;4163;737;58
Reykjavikweg 31;300;380;246;199;1385;380;5083;3275;1639;5479;222;356;4015;1640;692;301;1639;4015;509;59
Kopenhagenweg 26;229;188;333;97;1391;188;5089;3260;1645;5485;159;220;4021;1646;719;220;1645;4021;433;60
Kopenhagenweg 44;273;233;376;142;1434;233;5132;3303;1688;5528;204;265;4064;1689;764;263;1688;4064;390;61
Woudenbergstraat 49 en 5 andere adressen;678;859;416;799;1802;674;1314;2017;626;942;312;706;771;900;673;322;626;771;532;62
Visafslagweg 50;975;1020;194;1221;1077;1381;3218;1302;215;2258;533;869;1108;299;1235;358;215;1108;800;63
Vissershavenstraat 29 en 1 andere adressen;564;727;149;823;935;1239;3307;1160;246;2347;122;491;761;473;1324;95;246;761;607;64
Voornsestraat 9;246;246;254;866;1803;1082;1397;2334;2031;232;127;407;407;1616;376;247;2031;407;241;65
Woudenbergstraat 65 en 5 andere adressen;670;863;407;790;1796;666;1305;2008;618;934;315;697;763;891;665;325;618;763;523;66
Van Boetzelaerlaan 101;642;421;118;325;1371;380;1387;1567;1009;1232;138;626;743;1300;344;295;1009;743;521;157
Van Boetzelaerlaan 105;628;408;104;311;1384;367;1400;1554;1022;1218;143;613;730;1313;331;282;1022;730;534;158
Van Boetzelaerlaan 121;573;353;49;257;1437;312;1453;1499;1075;1163;88;558;675;1366;276;227;1075;675;588;159
Coevordenstraat 367 en 5 andere adressen;306;406;852;86;313;1443;2098;678;1146;2494;205;247;1762;257;554;281;678;1762;745;160
Coevordenstraat 385 en 5 andere adressen;323;423;835;69;330;1426;2115;661;1129;2511;188;230;1780;240;571;265;661;1780;762;161
Jan Muschlaan 68 en 9 andere adressen;1079;1269;344;201;1586;767;933;2479;318;264;351;318;2832;517;307;284;318;2832;413;162
Celebesstraat 53 en 3 andere adressen;427;93;110;51;764;668;2692;1620;1377;2937;430;84;1576;190;494;129;1377;1576;475;163
Celsiusstraat 24 en 2 andere adressen;393;236;236;451;466;538;1910;1314;351;882;243;292;783;292;197;197;351;783;432;164
Campanulastraat 67 en 29 andere adressen;695;637;137;586;1017;455;2600;1129;53;3451;196;33;1782;866;431;431;53;1782;167;165
Cantateplein 19;820;844;611;435;678;977;3188;1535;810;4023;373;289;622;935;61;61;810;622;656;166
Cantateplein 53;727;733;500;324;567;866;3077;1424;716;3912;275;318;511;987;301;301;716;511;545;167
Citroenstraat 29 en 2 andere adressen;547;486;237;314;1341;1122;1747;943;761;1815;289;281;1106;804;707;315;761;1106;149;168
Claude Debussystraat 120;872;437;838;802;810;1391;2186;659;940;3016;436;562;562;776;485;139;659;562;844;169
Cliviastraat 25;574;516;510;257;882;352;3048;994;543;3486;209;482;1292;647;501;101;543;1292;538;170
Cliviastraat 27;576;518;514;252;884;356;3052;996;547;3488;213;478;1287;642;497;105;547;1287;542;171
Cliviastraat 8;528;470;464;305;836;306;3001;948;497;3440;163;500;1340;695;549;55;497;1340;492;172
Cartesiusstraat 179 en 3 andere adressen;360;257;289;302;293;407;1737;1488;234;898;267;322;678;234;184;184;234;678;259;209
Cartesiusstraat 183 en 1 andere adressen;355;252;284;297;288;412;1732;1492;239;893;262;327;683;239;189;182;239;683;254;210
Cartesiusstraat 288 en 1 andere adressen;243;140;269;282;269;466;1717;1590;353;781;243;244;760;353;303;70;353;760;235;211
Carel Reinierszkade 187 en 3 andere adressen;233;35;233;350;635;286;3071;1735;1174;1307;151;141;726;297;220;260;1174;726;518;212
Robertaland 13 en 1 andere adressen;669;307;119;478;1974;450;4380;723;434;712;214;396;1223;313;223;223;434;1223;192;213
Rusthoekstraat 24;531;152;358;538;515;698;3004;248;107;2551;147;618;618;1010;791;428;107;618;782;214
Rusthoekstraat 48;626;143;191;427;637;864;3171;415;178;2717;63;621;627;1161;688;347;178;627;948;215
Ripperdastraat 74 en 1 andere adressen;783;476;114;157;1558;346;1849;1691;1489;792;68;249;90;1169;386;352;1489;90;611;216
Roggeveenstraat 163;545;110;108;365;459;111;1518;1126;322;2404;234;348;653;1198;601;170;322;653;287;217
Roggeveenstraat 56 en 1 andere adressen;594;159;157;340;324;160;1377;985;459;2416;260;265;523;1057;464;107;459;523;336;218
Roerstraat 29A en 1 andere adressen;271;153;83;454;367;700;3015;592;743;2055;152;138;241;449;947;310;592;241;220;219
Symfoniestraat 91;658;658;429;249;492;791;3003;1349;686;3837;304;436;436;1010;372;195;686;436;470;220
Strausslaan 15 en 5 andere adressen;993;556;274;144;534;763;2838;744;715;3288;673;717;760;704;559;139;715;760;1006;221
Van Swietenstraat 107 en 4 andere adressen;680;214;176;235;653;314;1583;1166;458;2243;249;235;553;1213;735;97;458;553;347;222
Van Swietenstraat 69 en 2 andere adressen;673;201;203;383;496;301;1422;1005;592;2228;270;228;546;1102;636;206;592;546;477;223
Strausslaan 44;1059;583;302;172;600;829;2865;810;781;3354;739;783;788;770;624;205;781;788;1046;224
Symfoniestraat 83;641;641;412;232;475;774;2986;1332;669;3820;287;419;419;1041;392;226;669;419;453;225
Cees Laseurlaan 1195 en 69 andere adressen;1058;1248;395;556;1937;616;1002;2360;210;619;226;210;3188;384;663;315;210;3188;359;173
Jan Muschlaan 132 en 7 andere adressen;1129;1319;294;251;1636;817;983;2529;268;314;348;268;2883;467;358;234;268;2883;463;174
Clematisstraat 2B en 1 andere adressen;93;85;98;101;1361;916;1794;574;695;2495;148;128;982;574;364;83;574;982;871;175
Catharinaland 149 en 7 andere adressen;543;725;330;355;2362;1115;4770;445;757;1203;368;445;1125;755;499;439;445;1125;695;176
Coevordenstraat 116 en 5 andere adressen;413;512;886;416;419;1618;2195;978;1010;1952;133;408;1220;402;352;322;978;1220;827;177
Celebesstraat 84;532;40;216;156;660;657;2798;1685;1356;3043;433;190;1565;296;600;234;1356;1565;581;178
Celebesstraat 94;566;73;249;190;627;624;2774;1651;1322;3077;400;223;1532;330;633;200;1322;1532;615;179
Chrysantplein 13;311;232;366;259;1406;701;1525;518;663;2332;244;204;812;451;411;307;518;812;744;180
Chrysantplein 15;323;221;355;247;1409;690;1536;529;652;2320;232;215;801;462;422;318;529;801;755;181
Claude Debussystraat 83;722;294;695;666;667;1248;2036;553;790;2868;286;420;420;740;342;215;553;420;694;182
Claude Debussystraat 89;693;279;666;685;686;1267;2006;524;761;2839;257;438;438;759;361;234;524;438;665;183
Celebesstraat 37 en 2 andere adressen;339;181;165;106;843;723;2604;1615;1432;2850;348;30;1632;103;406;41;1432;1632;388;184
Celebesstraat 12;279;196;227;168;905;786;2544;1555;1494;2790;288;92;1694;43;346;47;1494;1694;328;185
Claude Debussystraat 11;846;175;577;547;548;1129;2160;506;834;2863;316;301;301;622;223;230;506;301;819;186
Claude Debussystraat 13;880;178;579;550;551;1132;2193;481;836;2839;292;304;304;598;226;205;481;304;852;187
Claude Debussystraat 42;842;315;717;646;688;1269;2156;503;910;2860;313;441;441;619;363;94;503;441;814;188
Celebesstraat 49A en 1 andere adressen;381;138;123;63;800;681;2647;1632;1389;2892;391;39;1589;145;449;84;1389;1589;430;189
Citroenstraat 69 en 2 andere adressen;626;407;315;235;1262;1043;1826;864;839;1893;210;360;1027;725;628;236;839;1027;228;190
Pippelingstraat 26 en 4 andere adressen;663;379;352;207;1234;994;1863;836;876;1916;161;382;977;676;579;208;836;977;229;191
Coevordenstraat 180 en 5 andere adressen;359;459;940;362;365;1672;2142;1032;1064;2006;188;354;1274;348;387;268;1032;1274;789;192
Celebesstraat 81;518;26;202;142;674;670;2783;1698;1369;3029;446;176;1578;282;586;221;1369;1578;567;193
Celebesstraat 117;577;85;261;201;615;611;2762;1639;1310;3088;387;235;1519;341;645;188;1310;1519;626;194
Celebesstraat 4;251;169;255;195;932;808;2517;1528;1514;2762;261;120;1721;0;319;75;1514;1721;300;195
Cees Laseurlaan 47 en 26 andere adressen;1295;1411;149;304;1666;960;1126;2560;339;300;419;339;2913;538;295;305;339;2913;606;196
C.A. van Beverenplein 17;784;946;18;157;1040;1426;2299;1324;901;3444;596;165;1074;283;199;37;901;1074;696;197
C.A. van Beverenplein 19;773;934;31;170;1028;1414;2311;1336;889;3457;584;178;1063;295;211;26;889;1063;685;198
Cartesiusstraat 316 en 5 andere adressen;269;194;323;336;300;519;1754;1694;458;807;274;248;654;458;408;124;458;654;266;199
2e De Carpentierstraat 143A;495;311;175;210;731;220;2750;1968;790;2075;137;282;472;814;441;66;790;472;468;200
2e De Carpentierstraat 147;505;321;185;220;741;230;2760;1963;800;2085;147;292;482;824;451;57;800;482;478;201
2e De Carpentierstraat 153;519;335;200;235;756;244;2775;1949;814;2100;162;307;496;839;441;43;814;496;492;202
Catharinaland 197 en 7 andere adressen;620;801;407;431;2439;1191;4847;521;833;1279;444;521;1201;832;576;515;521;1201;772;203
Burgemeester van der Werffstraat 85 en 1 andere adressen;805;391;302;438;1439;458;1835;1504;1419;1099;204;388;361;1475;290;161;1419;361;495;204
Burgemeester van der Werffstraat 97 en 1 andere adressen;850;313;262;417;1361;502;1879;1464;1342;1061;164;326;321;1429;212;121;1342;321;417;205
Burgemeester van der Werffstraat 111 en 1 andere adressen;878;285;291;446;1332;531;1908;1444;1313;1089;192;297;349;1400;183;150;1313;349;388;206
Charlotte de Bourbonstraat 165 en 5 andere adressen;1325;856;1016;654;981;912;2896;1348;1442;3016;460;331;372;1443;751;612;1348;372;362;207
Cees Laseurlaan 1057 en 14 andere adressen;1176;1366;271;477;1862;751;1040;2495;130;540;210;130;3109;259;584;236;130;3109;397;208
Molenbrink 50;925;1153;453;758;927;504;3416;1898;965;4386;519;119;119;1218;711;164;965;119;545;86
Mezenlaan 28;753;133;242;235;550;338;280;1571;1024;1243;185;566;566;702;137;122;1024;566;498;87
Mispelstraat 10;393;259;25;234;1181;916;2074;873;723;2338;342;164;899;471;388;95;723;899;601;88
Mispelstraat 32;336;236;70;290;1237;973;2016;816;779;2395;285;220;956;528;445;60;779;956;658;89
Nicolaas Tulpstraat 4;542;525;203;268;321;561;1430;1941;661;1173;254;344;650;661;538;101;661;650;203;90
Van Musschenbroekstraat 231 en 5 andere adressen;472;619;193;180;416;1139;3113;1815;1909;1025;202;270;624;812;387;200;1815;624;154;91
Van Musschenbroekstraat 78 en 5 andere adressen;362;510;288;167;497;1035;3036;1711;1807;1042;325;173;599;702;412;97;1711;599;249;92
Namensestraat 16;119;239;322;199;1658;2057;2291;723;1240;2625;147;172;1563;532;204;81;723;1563;617;93
Mient 197;600;103;413;103;579;437;1593;1569;623;1246;173;305;305;768;510;259;623;305;635;94
Molenbrink 8;853;1068;381;674;842;420;3345;1814;880;4302;448;208;208;1146;626;253;880;208;474;95
Mient 259;618;428;431;281;904;440;1775;1319;431;1571;33;115;423;454;369;123;431;423;824;96
Mient 265;623;433;471;285;909;445;1780;1290;471;1576;33;86;428;493;408;94;471;428;795;97
Mient 267;628;438;476;291;914;450;1785;1284;476;1581;39;80;433;498;414;88;476;433;789;98
Nassau Dillenburgstraat 2;31;435;618;283;1161;557;2136;2088;1134;2367;308;891;1999;1161;773;29;1134;1999;617;99
Mient 353 en 2 andere adressen;714;495;416;296;1227;763;2098;977;789;1894;56;304;746;548;451;143;789;746;482;100
Nassau Dillenburgstraat 41;162;280;470;128;1006;641;1981;2138;979;2212;247;736;2083;1006;618;92;979;2083;468;101
Nassau Dillenburgstraat 20 en 1 andere adressen;85;355;545;203;1081;573;2056;2104;1054;2287;322;811;2016;1081;693;85;1054;2016;543;102
Mosveen 20;662;662;662;698;1489;1938;2623;382;1091;3941;478;592;819;2090;161;161;382;819;613;103
Mient 365 en 2 andere adressen;693;473;394;275;1248;784;2095;956;810;1915;34;325;767;526;429;121;810;767;461;104
Molenbrink 68;961;1224;490;829;998;575;3453;1969;1036;4457;556;0;22;1255;782;67;1036;22;582;105
Pisuissestraat 180 en 10 andere adressen;683;750;415;492;584;980;3090;1436;720;3924;286;209;528;951;467;467;720;528;561;106
Pellenaerstraat 33;878;450;342;266;1170;1704;3539;1396;1325;1588;207;631;821;927;466;339;1325;821;661;107
Pisuissestraat 84 en 10 andere adressen;625;625;386;413;459;955;2965;1312;653;3800;161;95;403;933;404;404;653;403;437;108
Pisuissestraat 138 en 10 andere adressen;671;682;403;435;516;968;3022;1369;709;3857;218;175;460;939;412;412;709;460;493;109
Piet Heinstraat 25 en 1 andere adressen;494;355;44;131;450;542;1759;1474;932;2909;378;231;384;1250;481;181;932;384;452;110
Pieter van den Zandestraat 37 en 5 andere adressen;607;111;342;358;991;360;1042;1048;1474;2533;358;562;808;645;276;96;1048;808;458;111
Paramaribostraat 127;396;599;634;622;1296;600;2309;2013;1306;2555;507;861;1862;811;756;321;1306;1862;557;112
De Perponcherstraat 117;663;298;62;141;737;387;1667;1250;487;2225;260;218;536;1196;706;210;487;536;253;113
De Perponcherstraat 131;642;325;108;96;783;342;1712;1296;442;2271;217;263;582;1242;661;164;442;582;208;114
De Perponcherstraat 74 en 1 andere adressen;629;268;270;449;525;368;1383;966;658;2129;227;184;502;1063;664;212;658;502;477;115
Paramaribostraat 89;365;567;603;590;1265;569;2278;1981;1275;2523;475;829;1831;779;724;289;1275;1831;526;116
Paramaribostraat 117;370;572;608;595;1270;574;2283;1986;1280;2528;481;834;1836;784;729;294;1280;1836;531;117
Gentsestraat 121B en 2 andere adressen;361;282;241;119;1403;1934;2503;787;1166;2468;225;421;1368;421;351;162;787;1368;506;118
Frankenstraat 96;506;276;235;127;1002;387;2158;926;1189;1606;232;405;866;1341;421;319;926;866;396;119
Frankenstraat 104;482;252;260;102;1027;363;2134;951;1214;1581;207;381;841;1341;446;344;951;841;371;120
Gentsestraat 115;340;301;259;138;1381;1913;2521;805;1145;2447;203;400;1347;400;369;181;805;1347;485;121
Gentsestraat 145;420;161;120;166;1462;1993;2381;678;1196;2596;237;355;1428;549;229;41;678;1428;633;122
Fuchsiastraat 105 en 1 andere adressen;172;172;211;181;1268;1029;1873;654;808;2608;230;207;1095;654;423;163;654;1095;796;123
Franklinstraat 3 en 1 andere adressen;397;390;260;237;752;171;1524;1108;734;1763;336;185;270;734;411;318;734;270;473;124
Frederik Hendriklaan 13;656;365;177;273;783;415;2484;428;634;2076;244;775;886;1226;270;270;428;886;418;125
Gentsestraat 169;354;43;113;287;1583;2029;2264;560;1078;2717;120;237;1549;560;111;111;560;1549;740;126
Fuchsiastraat 143 en 1 andere adressen;285;285;215;204;1156;1141;1986;730;897;2631;163;320;1207;730;425;275;730;1207;684;127
Galileistraat 169;481;265;224;88;504;197;1518;1719;551;1352;251;454;557;551;376;94;551;557;355;128
Galileistraat 177;504;289;236;64;480;173;1494;1743;527;1328;249;430;580;527;352;70;527;580;378;129
Galileistraat 187;534;318;203;32;447;141;1462;1772;495;1295;217;398;610;495;320;38;495;610;359;130
Frederik Hendriklaan 53 en 1 andere adressen;500;370;271;120;931;466;2328;576;782;1959;101;826;1034;1374;296;140;576;1034;262;131
Frederik Hendriklaan 69 en 2 andere adressen;303;294;74;127;1126;294;2130;771;977;1762;122;757;1217;1554;247;143;771;1217;65;132
Gaslaan 220 en 6 andere adressen;333;333;184;408;988;140;1621;1021;627;1555;411;248;330;627;145;202;627;330;427;133
Galileistraat 26;184;167;190;223;760;259;1662;1556;625;1608;197;184;260;625;401;64;625;260;300;134
Georges Bizetstraat 77;618;374;332;350;885;884;2639;951;505;3273;559;343;343;825;327;343;505;343;907;135
Frankenslag 306 en 1 andere adressen;308;165;190;183;1311;245;1854;1106;1311;1342;116;505;838;1507;257;85;1106;838;474;136
Frankenslag 320;359;188;138;131;1363;297;1803;1157;1363;1290;168;557;786;1559;280;108;1157;786;526;137
Frankenslag 338;414;242;83;76;1417;351;1748;1212;1370;1235;222;611;731;1612;334;162;1212;731;580;138
Georges Bizetstraat 97;575;397;355;373;908;907;2595;911;462;3268;515;299;299;848;284;299;462;299;930;139
Georges Bizetstraat 105;671;408;519;537;781;1072;2423;739;558;3096;549;127;127;855;112;127;558;127;1065;140
Genemuidenstraat 157 en 7 andere adressen;373;503;715;635;490;1200;1798;1137;1398;2046;161;193;1430;795;437;219;1137;1430;445;141
Fuchsiastraat 41 en 1 andere adressen;118;118;156;126;1402;894;1739;519;673;2479;206;153;960;519;388;28;519;960;929;142
Van den Boschstraat 292 en 5 andere adressen;1200;673;936;523;945;801;2935;1165;1283;2834;396;322;363;1284;569;540;1165;363;353;143
Van Boetzelaerlaan 38;768;278;293;82;1270;445;1285;1694;908;1269;261;663;809;1198;471;120;908;809;619;144
Van Boetzelaerlaan 80;635;411;160;89;1402;312;1418;1561;1040;1153;128;548;676;1331;338;216;1040;676;732;145
Van Beuningenstraat 74 en 1 andere adressen;233;204;204;220;1285;204;2061;1008;1214;1592;206;636;1088;1596;460;275;1008;1088;221;146
Bezuidenhoutseweg 466B;1104;741;692;302;2268;365;4400;1163;726;1146;647;689;1657;828;796;102;726;1657;764;147
Van Bleiswijkstraat 216;316;67;128;126;1437;50;1944;1082;1287;1753;148;974;1249;1857;164;250;1082;1249;296;148
Van Bleiswijkstraat 250 en 3 andere adressen;285;0;174;172;1482;41;1914;1127;1333;1722;117;943;1219;1827;210;296;1127;1219;342;149
Blois van Treslongstraat 23 en 2 andere adressen;791;154;316;347;1404;401;1420;1717;1042;1080;284;474;622;1333;494;264;1042;622;753;150
Bierstraat 17 en 1 andere adressen;305;245;213;245;387;474;1621;747;503;2375;151;417;728;504;384;253;503;728;332;151
Billitonstraat 13;169;147;296;282;1018;731;2440;1463;1437;2685;197;206;1807;101;234;161;1437;1807;223;152
Van Boetzelaerlaan 41;814;224;351;367;1138;613;1154;1775;776;1422;125;490;965;1067;420;191;776;965;429;153
Van Boetzelaerlaan 49;789;250;325;374;1164;588;1180;1749;802;1439;100;516;951;1093;395;217;802;951;455;154
