CATEGORIE;OVERTREDING;OMS_FEITGROEP;MATE_OVERSCHRIJDING;AANTAL
VL;gedrag;Snelheid autosnelweg;28;676
VI;wegwerkzaamheden (bord A1);Snelheid buiten bebouwde kom;4;97
VH;bord A3;Snelheid buiten bebouwde kom;23;15
VH;bord A3;Snelheid buiten bebouwde kom;19;8
VV;erf;Snelheid woonerf;19;1
VC;bord A3;Snelheid binnen bebouwde kom;6;1
VM;bord A1;Snelheid autosnelweg;7;161703
VA;gedrag;Snelheid binnen bebouwde kom;26;4427
VG;bord A1;Snelheid buiten bebouwde kom;24;3191
VB;bord A1;Snelheid binnen bebouwde kom;15;4413
VS;bord A1 30 km/u;Snelheid binnen bebouwde kom;14;185
VL;gedrag;Snelheid autosnelweg;38;261
VO;wegwerkzaamheden (bord A1);Snelheid autosnelweg;20;248
VS;bord A1 30 km/u;Snelheid binnen bebouwde kom;13;220
VC;bord A3;Snelheid binnen bebouwde kom;30;1
VN;bord A3;Snelheid autosnelweg;38;35
VN;bord A3;Snelheid autosnelweg;32;22
VH;bord A3;Snelheid buiten bebouwde kom;30;10
VP;wegwerkzaamheden (bord A3);Snelheid autosnelweg;28;5
VC;bord A3;Snelheid binnen bebouwde kom;20;2
VA;gedrag;Snelheid binnen bebouwde kom;27;4089
VG;bord A1;Snelheid buiten bebouwde kom;16;11084
VM;bord A1;Snelheid autosnelweg;38;1905
VG;bord A1;Snelheid buiten bebouwde kom;9;55282
VM;bord A1;Snelheid autosnelweg;18;23188
VM;bord A1;Snelheid autosnelweg;21;15397
VB;bord A1;Snelheid binnen bebouwde kom;11;9861
VM;bord A1;Snelheid autosnelweg;36;2007
VA;gedrag;Snelheid binnen bebouwde kom;29;2777
VB;bord A1;Snelheid binnen bebouwde kom;29;553
VI;wegwerkzaamheden (bord A1);Snelheid buiten bebouwde kom;5;100
VO;wegwerkzaamheden (bord A1);Snelheid autosnelweg;17;322
VB;bord A1;Snelheid binnen bebouwde kom;21;1629
VP;wegwerkzaamheden (bord A3);Snelheid autosnelweg;30;14
VI;wegwerkzaamheden (bord A1);Snelheid buiten bebouwde kom;14;39
VC;bord A3;Snelheid binnen bebouwde kom;15;1
VP;wegwerkzaamheden (bord A3);Snelheid autosnelweg;25;2
VA;gedrag;Snelheid binnen bebouwde kom;4;563908
VL;gedrag;Snelheid autosnelweg;3;26063
VF;gedrag;Snelheid buiten bebouwde kom;21;5591
VL;gedrag;Snelheid autosnelweg;21;1358
VM;bord A1;Snelheid autosnelweg;35;2378
VP;wegwerkzaamheden (bord A3);Snelheid autosnelweg;23;13
VD;wegwerkzaamheden (bord A1);Snelheid binnen bebouwde kom;18;60
VD;wegwerkzaamheden (bord A1);Snelheid binnen bebouwde kom;26;11
VN;bord A3;Snelheid autosnelweg;37;34
VD;wegwerkzaamheden (bord A1);Snelheid binnen bebouwde kom;20;41
VN;bord A3;Snelheid autosnelweg;24;6
VP;wegwerkzaamheden (bord A3);Snelheid autosnelweg;27;9
VV;erf;Snelheid woonerf;11;1
VM;bord A1;Snelheid autosnelweg;19;20241
VM;bord A1;Snelheid autosnelweg;37;2686
VS;bord A1 30 km/u;Snelheid binnen bebouwde kom;11;212
VM;bord A1;Snelheid autosnelweg;27;7305
VB;bord A1;Snelheid binnen bebouwde kom;26;731
VB;bord A1;Snelheid binnen bebouwde kom;19;2095
VO;wegwerkzaamheden (bord A1);Snelheid autosnelweg;11;780
VO;wegwerkzaamheden (bord A1);Snelheid autosnelweg;12;675
VS;bord A1 30 km/u;Snelheid binnen bebouwde kom;17;198
VV;erf;Snelheid woonerf;18;2
VN;bord A3;Snelheid autosnelweg;36;29
VN;bord A3;Snelheid autosnelweg;11;2
VV;erf;Snelheid woonerf;16;1
VA;gedrag;Snelheid binnen bebouwde kom;8;205803
VF;gedrag;Snelheid buiten bebouwde kom;4;159737
VL;gedrag;Snelheid autosnelweg;4;80957
VM;bord A1;Snelheid autosnelweg;30;4538
VA;gedrag;Snelheid binnen bebouwde kom;14;42320
VL;gedrag;Snelheid autosnelweg;8;19080
VA;gedrag;Snelheid binnen bebouwde kom;28;3230
VF;gedrag;Snelheid buiten bebouwde kom;26;3394
VO;wegwerkzaamheden (bord A1);Snelheid autosnelweg;21;195
VI;wegwerkzaamheden (bord A1);Snelheid buiten bebouwde kom;8;58
VD;wegwerkzaamheden (bord A1);Snelheid binnen bebouwde kom;21;27
VS;bord A1 30 km/u;Snelheid binnen bebouwde kom;25;72
VC;bord A3;Snelheid binnen bebouwde kom;17;3
VP;wegwerkzaamheden (bord A3);Snelheid autosnelweg;20;4
VC;bord A3;Snelheid binnen bebouwde kom;14;2
VC;bord A3;Snelheid binnen bebouwde kom;28;1
VV;erf;Snelheid woonerf;20;1
VA;gedrag;Snelheid binnen bebouwde kom;12;77061
VM;bord A1;Snelheid autosnelweg;33;2754
VO;wegwerkzaamheden (bord A1);Snelheid autosnelweg;5;1892
VG;bord A1;Snelheid buiten bebouwde kom;27;2645
VL;gedrag;Snelheid autosnelweg;30;986
VS;bord A1 30 km/u;Snelheid binnen bebouwde kom;5;264
VO;wegwerkzaamheden (bord A1);Snelheid autosnelweg;28;64
VV;erf;Snelheid woonerf;25;1
VM;bord A1;Snelheid autosnelweg;9;106769
VG;bord A1;Snelheid buiten bebouwde kom;12;30526
VL;gedrag;Snelheid autosnelweg;5;71961
VA;gedrag;Snelheid binnen bebouwde kom;21;10750
VB;bord A1;Snelheid binnen bebouwde kom;18;2537
VD;wegwerkzaamheden (bord A1);Snelheid binnen bebouwde kom;13;137
VL;gedrag;Snelheid autosnelweg;18;1979
VO;wegwerkzaamheden (bord A1);Snelheid autosnelweg;27;186
VP;wegwerkzaamheden (bord A3);Snelheid autosnelweg;26;3
VH;bord A3;Snelheid buiten bebouwde kom;21;16
VP;wegwerkzaamheden (bord A3);Snelheid autosnelweg;19;5
VH;bord A3;Snelheid buiten bebouwde kom;28;5
VV;erf;Snelheid woonerf;13;3
VA;gedrag;Snelheid binnen bebouwde kom;30;2377
VG;bord A1;Snelheid buiten bebouwde kom;11;37103
VB;bord A1;Snelheid binnen bebouwde kom;8;20373
VO;wegwerkzaamheden (bord A1);Snelheid autosnelweg;8;1178
VG;bord A1;Snelheid buiten bebouwde kom;23;3791
VD;wegwerkzaamheden (bord A1);Snelheid binnen bebouwde kom;5;322
VL;gedrag;Snelheid autosnelweg;31;406
VI;wegwerkzaamheden (bord A1);Snelheid buiten bebouwde kom;6;72
VS;bord A1 30 km/u;Snelheid binnen bebouwde kom;29;34
VC;bord A3;Snelheid binnen bebouwde kom;11;1
VD;wegwerkzaamheden (bord A1);Snelheid binnen bebouwde kom;24;23
VN;bord A3;Snelheid autosnelweg;12;1
VV;erf;Snelheid woonerf;12;1
VC;bord A3;Snelheid binnen bebouwde kom;26;1
VF;gedrag;Snelheid buiten bebouwde kom;15;16213
VG;bord A1;Snelheid buiten bebouwde kom;15;13621
VM;bord A1;Snelheid autosnelweg;31;3448
VN;bord A3;Snelheid autosnelweg;35;26
VI;wegwerkzaamheden (bord A1);Snelheid buiten bebouwde kom;22;39
VD;wegwerkzaamheden (bord A1);Snelheid binnen bebouwde kom;25;20
VH;bord A3;Snelheid buiten bebouwde kom;12;2
VP;wegwerkzaamheden (bord A3);Snelheid autosnelweg;16;1
VP;wegwerkzaamheden (bord A3);Snelheid autosnelweg;18;4
VA;gedrag;Snelheid binnen bebouwde kom;16;26259
VL;gedrag;Snelheid autosnelweg;9;11346
VF;gedrag;Snelheid buiten bebouwde kom;24;3561
VI;wegwerkzaamheden (bord A1);Snelheid buiten bebouwde kom;13;42
VL;gedrag;Snelheid autosnelweg;37;261
VN;bord A3;Snelheid autosnelweg;31;36
VS;bord A1 30 km/u;Snelheid binnen bebouwde kom;20;124
VP;wegwerkzaamheden (bord A3);Snelheid autosnelweg;17;3
VV;erf;Snelheid woonerf;22;3
VV;erf;Snelheid woonerf;9;1
VB;bord A1;Snelheid binnen bebouwde kom;10;12301
VA;gedrag;Snelheid binnen bebouwde kom;20;12874
VB;bord A1;Snelheid binnen bebouwde kom;5;45021
VA;gedrag;Snelheid binnen bebouwde kom;24;6331
VG;bord A1;Snelheid buiten bebouwde kom;18;7725
VL;gedrag;Snelheid autosnelweg;16;2832
VS;bord A1 30 km/u;Snelheid binnen bebouwde kom;7;259
VF;gedrag;Snelheid buiten bebouwde kom;22;4845
VG;bord A1;Snelheid buiten bebouwde kom;26;2577
VS;bord A1 30 km/u;Snelheid binnen bebouwde kom;16;142
VS;bord A1 30 km/u;Snelheid binnen bebouwde kom;26;55
VC;bord A3;Snelheid binnen bebouwde kom;12;1
VC;bord A3;Snelheid binnen bebouwde kom;10;1
VF;gedrag;Snelheid buiten bebouwde kom;5;124481
VG;bord A1;Snelheid buiten bebouwde kom;5;135364
VF;gedrag;Snelheid buiten bebouwde kom;14;19216
VO;wegwerkzaamheden (bord A1);Snelheid autosnelweg;7;1345
VS;bord A1 30 km/u;Snelheid binnen bebouwde kom;6;227
VS;bord A1 30 km/u;Snelheid binnen bebouwde kom;10;193
VI;wegwerkzaamheden (bord A1);Snelheid buiten bebouwde kom;25;19
VH;bord A3;Snelheid buiten bebouwde kom;15;6
VH;bord A3;Snelheid buiten bebouwde kom;26;3
VM;bord A1;Snelheid autosnelweg;17;33803
VL;gedrag;Snelheid autosnelweg;23;964
VM;bord A1;Snelheid autosnelweg;12;63589
VM;bord A1;Snelheid autosnelweg;23;11517
VM;bord A1;Snelheid autosnelweg;28;5495
VL;gedrag;Snelheid autosnelweg;13;4165
VS;bord A1 30 km/u;Snelheid binnen bebouwde kom;12;209
VA;gedrag;Snelheid binnen bebouwde kom;25;5269
VL;gedrag;Snelheid autosnelweg;32;357
VH;bord A3;Snelheid buiten bebouwde kom;22;20
VS;bord A1 30 km/u;Snelheid binnen bebouwde kom;21;109
VI;wegwerkzaamheden (bord A1);Snelheid buiten bebouwde kom;16;27
VH;bord A3;Snelheid buiten bebouwde kom;13;5
VC;bord A3;Snelheid binnen bebouwde kom;29;2
VG;bord A1;Snelheid buiten bebouwde kom;19;6552
VA;gedrag;Snelheid binnen bebouwde kom;19;15399
VF;gedrag;Snelheid buiten bebouwde kom;17;19793
VL;gedrag;Snelheid autosnelweg;19;1744
VG;bord A1;Snelheid buiten bebouwde kom;20;5888
VM;bord A1;Snelheid autosnelweg;39;39
VD;wegwerkzaamheden (bord A1);Snelheid binnen bebouwde kom;15;72
VN;bord A3;Snelheid autosnelweg;17;2
VM;bord A1;Snelheid autosnelweg;15;38465
VM;bord A1;Snelheid autosnelweg;6;209492
VM;bord A1;Snelheid autosnelweg;14;45212
VB;bord A1;Snelheid binnen bebouwde kom;6;34047
VL;gedrag;Snelheid autosnelweg;12;5052
VF;gedrag;Snelheid buiten bebouwde kom;8;59449
VD;wegwerkzaamheden (bord A1);Snelheid binnen bebouwde kom;10;211
VL;gedrag;Snelheid autosnelweg;29;646
VL;gedrag;Snelheid autosnelweg;22;1092
VD;wegwerkzaamheden (bord A1);Snelheid binnen bebouwde kom;23;37
VO;wegwerkzaamheden (bord A1);Snelheid autosnelweg;18;282
VI;wegwerkzaamheden (bord A1);Snelheid buiten bebouwde kom;15;44
VS;bord A1 30 km/u;Snelheid binnen bebouwde kom;27;49
VN;bord A3;Snelheid autosnelweg;23;7
VS;bord A1 30 km/u;Snelheid binnen bebouwde kom;8;206
VO;wegwerkzaamheden (bord A1);Snelheid autosnelweg;29;55
VN;bord A3;Snelheid autosnelweg;19;9
VH;bord A3;Snelheid buiten bebouwde kom;17;13
VN;bord A3;Snelheid autosnelweg;25;9
VV;erf;Snelheid woonerf;15;1
VG;bord A1;Snelheid buiten bebouwde kom;4;170176
VM;bord A1;Snelheid autosnelweg;10;88951
VM;bord A1;Snelheid autosnelweg;24;9703
VO;wegwerkzaamheden (bord A1);Snelheid autosnelweg;6;1533
VF;gedrag;Snelheid buiten bebouwde kom;11;33180
VA;gedrag;Snelheid binnen bebouwde kom;18;18245
VG;bord A1;Snelheid buiten bebouwde kom;14;17297
VO;wegwerkzaamheden (bord A1);Snelheid autosnelweg;9;1024
VD;wegwerkzaamheden (bord A1);Snelheid binnen bebouwde kom;16;84
VO;wegwerkzaamheden (bord A1);Snelheid autosnelweg;10;841
VS;bord A1 30 km/u;Snelheid binnen bebouwde kom;9;193
VS;bord A1 30 km/u;Snelheid binnen bebouwde kom;15;190
VI;wegwerkzaamheden (bord A1);Snelheid buiten bebouwde kom;12;53
VN;bord A3;Snelheid autosnelweg;27;34
VD;wegwerkzaamheden (bord A1);Snelheid binnen bebouwde kom;17;64
VH;bord A3;Snelheid buiten bebouwde kom;25;7
VI;wegwerkzaamheden (bord A1);Snelheid buiten bebouwde kom;11;63
VI;wegwerkzaamheden (bord A1);Snelheid buiten bebouwde kom;10;64
VK;wegwerkzaamheden (bord A3);Snelheid buiten bebouwde kom;30;4
VH;bord A3;Snelheid buiten bebouwde kom;18;7
VA;gedrag;Snelheid binnen bebouwde kom;7;263101
VA;gedrag;Snelheid binnen bebouwde kom;17;22290
VF;gedrag;Snelheid buiten bebouwde kom;9;48051
VB;bord A1;Snelheid binnen bebouwde kom;16;3557
VB;bord A1;Snelheid binnen bebouwde kom;28;636
VL;gedrag;Snelheid autosnelweg;24;888
VD;wegwerkzaamheden (bord A1);Snelheid binnen bebouwde kom;6;280
VI;wegwerkzaamheden (bord A1);Snelheid buiten bebouwde kom;23;47
VN;bord A3;Snelheid autosnelweg;16;2
VP;wegwerkzaamheden (bord A3);Snelheid autosnelweg;11;1
VA;gedrag;Snelheid binnen bebouwde kom;6;341034
VG;bord A1;Snelheid buiten bebouwde kom;8;69436
VG;bord A1;Snelheid buiten bebouwde kom;17;10201
VM;bord A1;Snelheid autosnelweg;22;13173
VB;bord A1;Snelheid binnen bebouwde kom;22;1538
VF;gedrag;Snelheid buiten bebouwde kom;28;2226
VI;wegwerkzaamheden (bord A1);Snelheid buiten bebouwde kom;21;25
VD;wegwerkzaamheden (bord A1);Snelheid binnen bebouwde kom;12;161
VV;erf;Snelheid woonerf;14;3
VC;bord A3;Snelheid binnen bebouwde kom;25;1
VA;gedrag;Snelheid binnen bebouwde kom;9;158671
VA;gedrag;Snelheid binnen bebouwde kom;10;125099
VA;gedrag;Snelheid binnen bebouwde kom;23;7825
VL;gedrag;Snelheid autosnelweg;34;358
VL;gedrag;Snelheid autosnelweg;35;379
VG;bord A1;Snelheid buiten bebouwde kom;28;1899
VM;bord A1;Snelheid autosnelweg;34;2326
VO;wegwerkzaamheden (bord A1);Snelheid autosnelweg;24;135
VI;wegwerkzaamheden (bord A1);Snelheid buiten bebouwde kom;20;36
VH;bord A3;Snelheid buiten bebouwde kom;24;9
VI;wegwerkzaamheden (bord A1);Snelheid buiten bebouwde kom;30;31
VC;bord A3;Snelheid binnen bebouwde kom;8;2
VN;bord A3;Snelheid autosnelweg;34;12
VN;bord A3;Snelheid autosnelweg;10;2
VK;wegwerkzaamheden (bord A3);Snelheid buiten bebouwde kom;28;1
VM;bord A1;Snelheid autosnelweg;5;269962
VL;gedrag;Snelheid autosnelweg;6;56976
VF;gedrag;Snelheid buiten bebouwde kom;10;39558
VO;wegwerkzaamheden (bord A1);Snelheid autosnelweg;4;2195
VI;wegwerkzaamheden (bord A1);Snelheid buiten bebouwde kom;18;30
VL;gedrag;Snelheid autosnelweg;33;306
VL;gedrag;Snelheid autosnelweg;36;378
VH;bord A3;Snelheid buiten bebouwde kom;29;13
VN;bord A3;Snelheid autosnelweg;21;22
VH;bord A3;Snelheid buiten bebouwde kom;20;19
VP;wegwerkzaamheden (bord A3);Snelheid autosnelweg;9;3
VK;wegwerkzaamheden (bord A3);Snelheid buiten bebouwde kom;27;2
VM;bord A1;Snelheid autosnelweg;4;372761
VM;bord A1;Snelheid autosnelweg;8;129812
VL;gedrag;Snelheid autosnelweg;11;6217
VL;gedrag;Snelheid autosnelweg;27;820
VF;gedrag;Snelheid buiten bebouwde kom;25;3137
VL;gedrag;Snelheid autosnelweg;14;3586
VO;wegwerkzaamheden (bord A1);Snelheid autosnelweg;19;233
VO;wegwerkzaamheden (bord A1);Snelheid autosnelweg;25;133
VI;wegwerkzaamheden (bord A1);Snelheid buiten bebouwde kom;9;62
VI;wegwerkzaamheden (bord A1);Snelheid buiten bebouwde kom;24;38
VN;bord A3;Snelheid autosnelweg;29;47
VP;wegwerkzaamheden (bord A3);Snelheid autosnelweg;21;2
VV;erf;Snelheid woonerf;28;1
VC;bord A3;Snelheid binnen bebouwde kom;22;1
VV;erf;Snelheid woonerf;24;1
VF;gedrag;Snelheid buiten bebouwde kom;7;75502
VL;gedrag;Snelheid autosnelweg;7;37831
VF;gedrag;Snelheid buiten bebouwde kom;16;13425
VA;gedrag;Snelheid binnen bebouwde kom;15;33176
VF;gedrag;Snelheid buiten bebouwde kom;19;7114
VG;bord A1;Snelheid buiten bebouwde kom;22;4485
VB;bord A1;Snelheid binnen bebouwde kom;30;546
VO;wegwerkzaamheden (bord A1);Snelheid autosnelweg;23;143
VD;wegwerkzaamheden (bord A1);Snelheid binnen bebouwde kom;7;279
VN;bord A3;Snelheid autosnelweg;20;27
VP;wegwerkzaamheden (bord A3);Snelheid autosnelweg;22;13
VN;bord A3;Snelheid autosnelweg;28;96
VK;wegwerkzaamheden (bord A3);Snelheid buiten bebouwde kom;23;5
VP;wegwerkzaamheden (bord A3);Snelheid autosnelweg;24;2
VC;bord A3;Snelheid binnen bebouwde kom;21;1
VM;bord A1;Snelheid autosnelweg;11;74996
VL;gedrag;Snelheid autosnelweg;26;950
VF;gedrag;Snelheid buiten bebouwde kom;27;2599
VB;bord A1;Snelheid binnen bebouwde kom;13;6561
VG;bord A1;Snelheid buiten bebouwde kom;29;1640
VO;wegwerkzaamheden (bord A1);Snelheid autosnelweg;13;584
VL;gedrag;Snelheid autosnelweg;20;1572
VB;bord A1;Snelheid binnen bebouwde kom;20;1878
VL;gedrag;Snelheid autosnelweg;17;2584
VO;wegwerkzaamheden (bord A1);Snelheid autosnelweg;15;403
VD;wegwerkzaamheden (bord A1);Snelheid binnen bebouwde kom;28;9
VP;wegwerkzaamheden (bord A3);Snelheid autosnelweg;29;5
