Leveranciers;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7410 - Verwerven en afstoten;Eindtotaal
Chubb Fire & Security Twente;;;4;4
Cibt Brussel;2;;;2
CIBT Netherlands;2;;;2
Civiel Technisch Bureau Haaglanden B.V.;1;;;1
CLAPE CONSULTORES E PROMOTORES DE;1;;;1
Clockwork B.V.;1;;;1
CM Partners B.V.;1;;;1
Co̦peratie immix UA;1;;;1
Coffee Land Ltd Almaty;1;;;1
COMPAREX Nederland B.V.;1;;;1
Con Edison New York;;;1;1
Conducto Opleidingen B.V.;1;;;1
Congrestolken Amsterdam;1;;;1
Connexxion Taxi Services B.V.;1;;;1
Constructora Ginaka S.R.L. Santo Do;;;1;1
Control Risks Group Amsterdam;2;;;2
Copex Air B.V.;2;;;2
Cushman & Wakefield Londen;;;1;1
Customeyes B.V.;2;;;2
Daan Herweg Muziek;1;;;1
De Bakkerswinkel Den Haag;1;;;1
De Coronas;1;;;1
De Gruijter Sprl Deurne;1;;;1
De Vreede Advocaten B.V.;1;;;1
Design Erick van Egeraat B.V.;;;1;1
Diana van der Stelt Change Management;1;;;1
Diner Thuis;1;;;1
Dubois & Co. Registeraccountants;1;;;1
Dunea Zoetermeer;1;;;1
Dutch Centre For International Cult;1;;;1
Eca International Londen;2;;;2
Edwin Groen Tweewielers B.V.;1;;;1
Egas, J.I.B. Vertaler Spaans Hilver;1;;;1
EGM Architecten B.V.;;;2;2
English Translation Service;2;;;2
ESB B.V.;1;;;1
E-Vent entertainment;1;;;1
Ex Interiors B.V.;;;1;1
Facilitylinq B.V.;;;2;2
Fish En Meat B.V. Den Haag;1;;;1
Foodlovers 'Catering voor liefhebbers';1;;;1
For Your Promotions B.V.;1;;;1
Fruitful Office Benelux;1;;;1
FUGRO (HONG KONG) LTD.;;;3;3
G4S Cash Solutions B.V.;1;;;1
Geplus Arhitekti D.O.O. Zagreb;;;2;2
Geschenkbezorgen.NL Haarlem;1;;;1
Gh Holding B.V.;1;;;1
Gibson, A.R. Amsterdam;1;;;1
Gloed Holding B.V.;1;;;1
Groupe 3 Architectes Rabat;;;2;2
Happy Copy B.V.;1;;;1
Harmony Relocation B.V.;7;;;7
Hart Beach B.V.;1;;;1
HaskoningDHV Nederland B.V.;;;2;2
Hedera Sassenheim;1;;;1
Helder Graveertechniek Den Haag;1;;;1
Helicon Conservation Support B.V.;1;;;1
Hendarti;1;;;1
Het Bakkertje;1;;;1
Het Kookplein Den Haag;1;;;1
Het Nutshuis;1;;;1
Hilgers Consultancy - Partner in Leren/Ontw.;1;;;1
Historische Uitgeverij;1;;;1
Hocarest B.V.;1;;;1
Holding Beheermaatschappij Ropeni B.V.;1;;;1
Hotel Contact B.V.;2;;;2
HR Via Care B.V.;1;;;1
HSK Interventie B.V.;1;;;1
HTM Specials B.V.;1;;;1
Huijer Evening Dress B.V.;1;;;1
Hydrobru Brussel;;1;;1
IDEAS - INTERN. DEVELOPMENT EVALUAT;2;;;2
IDEMIA The Netherlands B.V.;1;;;1
Iiie-International Initiative For I;3;;;3
Impero Romano Holding B.V.;1;;;1
In2Content B.V.;1;;;1
ING Bank;1;;;1
ING Bank N.V.;1;;;1
INSINOORITOIMISTO AKVEDUKTI OY;;;1;1
Intact;2;;;2
ISSOS B.V.;;;4;4
iTennis;1;;;1
Jagafer Consulting Services JCS;1;;;1
Jill Whittaker Communications;1;;;1
Jordan Electricity Company Amman;1;;;1
Kartex V.O.F.;1;;;1
Kenter B.V. Zutphen;;1;;1
Kessels & Smit Something B.V.;2;;;2
King Ict D.O.O. Zagreb;;;3;3
Klima M D.O.O. Zagreb;;;4;4
Koken-op-maat;1;;;1
Koning Harder - concept & ontwerp;1;;;1
Koninklijke Haskoning DHV Groep B.V.;;;2;2
Kontek Hoofddorp;;;3;3
Koolhaas Concepts B.V.;1;;;1
Korporaal Installatietechniek B.V.;;;3;3
Ksg Incompany Nieuwegein;1;;;1
Kunstgras Events B.V.;1;;;1
La Vina B.V.;1;;;1
Lavista Relatiegeschenken B.V.;1;;;1
Leertouwer Van Dijck & U B.V.;1;;;1
Les Ombrelles Visspecialieiten;1;;;1
Lingua Viva Traductores Sas Bogota;1;;;1
Livady Architects Helsinki;;;2;2
Lyreco / Ahrend Sint-Oedenrode;;;3;3
M.G. Geerlinks;1;;;1
Maison De La Foret Den Haag;1;;;1
Mama Cash Amsterdam;1;;;1
Maters & Hermsen Journalistiek B.V.;1;;;1
Maxilia Holding B.V.;1;;;1
Metamorfose Vertalingen B.V.;1;;;1
Miyahuna Amman;1;;;1
MOA Center For Information Based;1;;;1
MobileXpense SA;6;;;6
Mondt-Schouten, M.A.A. Leiden;1;;;1
Monterosa Construction Ltd Lagos;;;2;2
Munckhof Taxi B.V.;1;;;1
Museumhavencaf̩ Gouda;1;;;1
National Grid Newark;;1;;1
National Grid Newark 11741;;;1;1
Nederland. Vereniging voor Aanbestedingsrecht;1;;;1
Nespresso Nederland B.V.;1;;;1
New Babylon Meeting Center B.V.;1;;;1
NFGD Zoetermeer B.V.;3;;;3
Noordzij Partners B.V.;1;;;1
Nyc Fire Department New York;;;1;1
Ontbijt & Lunch Juni;1;;;1
Paagman B.V.;1;;;1
Partnership Learning Loop;1;;;1
PATboard B.V.;1;;;1
PEC Zwolle Werkt;1;;;1
Pellenaer Events B.V.;1;;;1
Pels Rijcken & Droogleever Fortuijn N.V.;1;;;1
People & Print Group;1;;;1
Pepco Philadelphia;;;1;1
Perticas;1;;;1
Phenix Capital Impact Events B.V.;1;;;1
PointLogic HR B.V.;2;;;2
Poldersport B.V.;1;;;1
Postcode.NL B.V.;1;;;1
PR Housing B.V.;1;;;1
PRETUL SUCCESULUI SRL;;;1;1
Prinses Christina Concours Den Haag;1;;;1
Pro Gas Amman;1;;;1
Proconsa De Concreto Proyetos;;;1;1
Promopodium B.V.;1;;;1
Protinus IT B.V.;1;;;1
Public Partners B.V.;4;;;4
QAYS TOLK EN VERTAALBUREAU;1;;;1
Radar Vertige Training & Opleiding B.V.;1;;;1
Ranta-Aho Oy Espoo;;;1;1
Rederij Van der Meer;1;;;1
Renaissance Amsterdam Hotel;1;;;1
Restaurant De Knip;1;;;1
Restaurant Onz;1;;;1
Restaurant Spijs;1;;;1
Royal HaskoningDHV;;;3;3
Saez Ruiz, M.A. Albarracin;2;;;2
Saraya Albinaa Contracting Riyadh;;;4;4
SBI Training en Advies/FNV Formaat B.V.;1;;;1
Scenarios 4 Summits B.V.;2;;;2
Scenarios4Summits Den Haag;1;;;1
Schut-Copex B.V.;1;;4;4
Sdu Uitgevers B.V.;5;;;5
Shared Business B.V.;1;;;1
Shukoh Co., Ltd Tokyo;;;1;1
Significant B.V.;1;;;1
Sikasa;1;;;1
Siwi-Stockholm International Water;1;;;1
Smartvizual Amsterdam;1;;;1
Sodexo Altys B.V.;1;;;1
Sofitel Hotel Brussel;1;;;1
Sophie Eats.;1;;;1
Sp Yuri Taubkin Minsk;;;1;1
Spaces B.V.;1;;;1
Spencer Medical B.V.;1;;;1
Sporttainment Center De Uithof B.V.;1;;;1
Staples Nederland B.V.;1;;;1
Star Construction Islamabad;;;4;4
Stb Interior Sdn Bhd Kuala Lumpur;;;1;1
Steijger Producties Den Haag;1;;;1
Stg. Beh. Drd.gld. Linssen & Frissen Advocat.;1;;;1
Sticht. Centr. For Int. Legal Cooperation;1;;;1
Sticht. Int. Development Publications;1;;;1
Stichting Achmea Rechtsbijstand;1;;;1
Stichting Argus;1;;;1
Stichting Caop / Bios Den Haag;1;;;1
Stichting DSFW Foundation;1;;;1
Stichting Escher Collectie Den Haag;1;;;1
Stichting Fonds Instituut Clingendael;2;;;2
Stichting Internat. Perscentrum 'Nieuwspoort';1;;;1
Stichting Lof Foundation;1;;;1
Stichting The Hague Marketing Bureau;1;;;1
Stichting Theatergroep MES;1;;;1
STM;;;1;1
Strandpaviljoen De Kwartel B.V.;1;;;1
STROMINVEST;;;4;4
Studio Zeitgeist Amsterdam;1;;;1
Sumo Sushi & Grill Restaurant Den H;1;;;1
Sweco Nederland B.V.;2;;2;3
Sweco Vastgoedmanagement B.V.;;;2;2
T.B.A. Training Begeleiding en Advies;1;;;1
Tabasco;1;;;1
Taxibedrijf Van der Wijst;1;;;1
Team Heiner B.V.;1;;;1
TeamSupport Creating Together B.V.;2;;;2
Technisch Bureau Koppes B.V.;;;3;3
Technisch Bureau Verhagen B.V.;1;;;1
Technolab Bv Berkel En Roden;;;2;2
THE BOULEVARD ARJAAN BY ROTANA;1;;;1
The Design Group Five International;;;2;2
The Dj Company;1;;;1
THE NYC DEPT OF BUILDINGS;;;1;1
Thomson Reuters (Markets) Amsterdam;2;;;2
TimeChimp;1;;;1
TOKI ASLI;1;;;1
TOUR AS D.O.O.;;;1;1
Unclogged English;2;;;2
UTS Abbink Den Haag;1;;;1
V.O.F. aan Wal;1;;;1
Van Kappel Security Solutions B.V.;1;;;1
Vantilt Producties B.V.;1;;;1
Varty, P. Hong Kong;;;1;1
VCK Travel B.V.;1;;;1
Vereniging van de Dienst Buitenlandse Zaken;1;;;1
Vereniging VNO-NCW;1;;;1
Vertaalbureau mr. Ellen Smits;1;;;1
Vital Change B.V.;1;;;1
Vluchtelingenwerk Nederland Amsterd;1;;;1
Vvi--Van Vollenhoven Instituut Leid;1;;;1
Washington Gas Philadelphia;;;1;1
Webbeat Products B.V.;1;;;1
Weichert Property Mgmt Morris Plain;;;1;1
Weldam Advocaten Utrecht;1;;;1
World Forum Convention Center N.V.;1;;;1
WSSC WASHINGTON SUBURBAN SANITARY;;;1;1
Xerox (Nederland) B.V.;2;;1;2
Your Choice Catering Amsterdam;1;;;1
Eindtotaal;7;1;7;8
