LANDCODE,INLEES_DATUM,GEMEENTE,GEMEENTE_CODE,JAAR,PERIODE,BELEIDSPROGRAMMA,ORGANISATIE, SUBSIDIE BESCHIKT ,BEKOSTIGD UIT RIJKSINKOMSTEN,WETTELIJKE TAAK,GLOBAAL OVERZICHT GESUBSIDIEERDE ACTIVITEITEN
NL,4-8-2017,Vlaardingen,0622,2017,Q2,Programma Kunst en Cultuur,Stichting Nationale Gedenkdagen Vlaardingen, 17.500,00 ,Nee,Nee,Koningsdag.
NL,4-8-2017,Vlaardingen,0622,2017,Q2,Programma Kunst en Cultuur,Stichting Vlaardingen 1018 i.o., 20.500,00 ,Nee,Nee,voorbereiding re-enactment in 2018
NL,4-8-2017,Vlaardingen,0622,2017,Q2,Programma Kunst en Cultuur,Stichting Vlaardingen 1018 i.o., 20.500,00 ,Nee,Nee,voorbereiding stadsspektakel in 2018
NL,4-8-2017,Vlaardingen,0622,2017,Q2,Programma Kunst en Cultuur,Stichting Halen en Brengen , 24.000,00 ,Nee,Nee,VL.Loggerfestival.
NL,4-8-2017,Vlaardingen,0622,2017,Q2,Programma Kunst en Cultuur,Stichting Zomerterras, 46.000,00 ,Nee,Nee,Zomerterras.
NL,4-8-2017,Vlaardingen,0622,2017,Q2,Programma Onderwijs, economie en haven,Stichting Aanzet, 5.453,00 ,Ja,Nee,Extra uren peuterconsulent aanvulling op reguliere beschikking 2017.
NL,4-8-2017,Vlaardingen,0622,2017,Q2,Programma Onderwijs, economie en haven,Komkids Kinderopvang b.v., 6.240,00 ,Ja,Nee,"Eenmailige compensatie voor VVE activiteiten."
NL,4-8-2017,Vlaardingen,0622,2017,Q2,Programma Onderwijs, economie en haven,Stichting Aanzet, 6.732,00 ,Ja,Nee,Ouderbijeenkomsten bij de Globe.
NL,4-8-2017,Vlaardingen,0622,2017,Q2,Programma Onderwijs, economie en haven,Stichting Stadshart Vlaardingen, 11.575,00 ,Nee,Nee,Verdere uitvoering van overeenkomst van opdracht binnenstadsmanager Vlaardingen t.b.v. continuering opdrachtverstrekking binnenstadsmanager.
NL,4-8-2017,Vlaardingen,0622,2017,Q2,Programma Onderwijs, economie en haven,Kinderopvang Bambinboos, 12.480,00 ,Ja,Ja,"Eenmalige compensatie voor VVE activiteiten."
NL,4-8-2017,Vlaardingen,0622,2017,Q2,Programma Onderwijs, economie en haven,UNIEK Kinderopvang B.V., 12.480,00 ,Ja,Nee,Eenmailige compensatie voor VVE activiteiten.
NL,4-8-2017,Vlaardingen,0622,2017,Q2,Programma Onderwijs, economie en haven,Stichting Stadshart Vlaardingen, 20.400,00 ,Nee,Nee,Verdere uitvoering van overeenkomst van opdracht binnenstadsmanager Vlaardingen t.b.v. continuering opdrachtverstrekking binnenstadsmanager. Periode mei 2017 t/m december 2017.
NL,4-8-2017,Vlaardingen,0622,2017,Q2,Programma Onderwijs, economie en haven,Stichting Aanzet, 24.000,00 ,Ja,Ja,Voorleesexpress.
NL,4-8-2017,Vlaardingen,0622,2017,Q2,Programma Onderwijs, economie en haven,UNIEK Kinderopvang B.V., 39.350,00 ,Nee,Nee,Eenmalige compensatie overhead kosten.
NL,4-8-2017,Vlaardingen,0622,2017,Q2,Programma Onderwijs, economie en haven,Komkids Kinderopvang b.v., 132.722,00 ,Ja,Ja,Peuterspeelzaalwerk.
NL,4-8-2017,Vlaardingen,0622,2017,Q2,Programma Onderwijs, economie en haven,Stichting Wijzer in Opvang, 464.832,00 ,Ja,Ja,Peuterspeelzaalwerk 2017.
NL,4-8-2017,Vlaardingen,0622,2017,Q2,Programma Sociaal domein,Stichting Stadspodium , 1.000,00 ,Nee,Nee,"Tijdens de Landelijke Vredesweek  op 20 september 2017  interactieve theatervoorstellingen organiseren die passen binnen het thema van de Vredesweek: 'De kracht van de verbeelding'. Het gaat om 2 voorstellingen.
Theatervoorstelling om 15.00 uur voor 15 jaar en ouder en 30 jaar en ouder voor 80 personen.  Theatervoorstelling om 20.30 uur voor 30 jaar en ouder voor 80 personen. "
NL,4-8-2017,Vlaardingen,0622,2017,Q2,Programma Sociaal domein,basisschool De Hoeksteen, 1.240,00 ,Nee,Nee,Welzijnssubsidie: Take Care weerbaarheidstraining om kinderen weerbaar te maken.
NL,4-8-2017,Vlaardingen,0622,2017,Q2,Programma Sociaal domein,Stichting UN1EK - CBS Het Visnet, 1.240,00 ,Nee,Nee,Welzijnssubsidie: Take Care weerbaarheidstraining om kinderen weerbaar te maken.
NL,4-8-2017,Vlaardingen,0622,2017,Q2,Programma Sociaal domein,Stichting Wijzer - OBS Het Breinpaleis, 1.240,00 ,,,Welzijnssubsidie: Take Care weerbaarheidstraining om kinderen weerbaar te maken.
NL,4-8-2017,Vlaardingen,0622,2017,Q2,Programma Sociaal domein,Stichting Dag Zonder Drempels, 1.800,00 ,Ja,Ja,Op de dag zonder drempels wordt er een activiteit georganiseerd om mantelzorgers extra aandacht te geven. Men kan een massage ontvangen en een presentje.
NL,4-8-2017,Vlaardingen,0622,2017,Q2,Programma Sociaal domein,Minters, 3.200,00 ,Nee,Nee,Onderzoek.
NL,4-8-2017,Vlaardingen,0622,2017,Q2,Programma Sociaal domein,Stichting Vrienden van de Voggel, 4.000,00 ,Nee,Nee,Welzijnssubsidie: Activiteiten voor mensen met een verstandelijke handicap. Ontmoeting, spel/sport, educatie.
NL,4-8-2017,Vlaardingen,0622,2017,Q2,Programma Sociaal domein,Stichting Mamacafe Vlaardingen, Schiedam en Maassluis, 4.855,00 ,Nee,Nee,Welzijnssubsidie: bijdrage in de kosten voor organisatie van het Mamacaf in Vlaardingen als laagdrempelige ontmoetingsplek voor kersverse ouders en hun kinderen in de leeftijd van 0-4 jaar.
NL,4-8-2017,Vlaardingen,0622,2017,Q2,Programma Sociaal domein,Minters , 7.672,00 ,Ja,Ja,Extra inzet van de gezinsspecialist gedurende 28 weken x 4 uur.
NL,4-8-2017,Vlaardingen,0622,2017,Q2,Programma Sociaal domein,Stichting Halt, 7.905,00 ,Nee,Nee,Aanbieden van 35 lessen vuurwerkvoorlichting.
NL,4-8-2017,Vlaardingen,0622,2017,Q2,Programma Sociaal domein,MEE ZHN (stichting VTV), 8.100,00 ,Nee,Nee,"De subsidie omvat de inzet van een beweegcoach voor totaal 160 uur. De beweegcoach adviseert ondersteunt begeleidt en stimuleert bij een sportvraag van mensen met een beperking. De beweegcoach adviseert de sporter maar ook vooral de verenigingen en beheerders van odaties. De beweegcoach heeft een verbinding met  de wijkteams en werkt nauw samen met de buurtsportcoach aangepast sporten van stichting Vlaardingen in Beweging. De inzet draagt bij aan de versterking van de buurtsportcoach aangepast sporten als aan de sportcoaches trainers van verenigingen.  Voor 2017 worden 10 individuele trajecten begeleid. Daarnaast organiseert de beweegcoach minimaal twee bijeenkomsten en 12 verenigingsbezoeken voor de versterking van het netwerk rondom aangepast sporten. De beweegcoach zal de sportconsulent van Spormee raadplegen daar waar meer deskundigheid nodig is inzake bewegen of daar waar afstemming noodzakelijk is bij cli‰nten die binnen de samenwerkende gemeentes van doen hebben."
NL,4-8-2017,Vlaardingen,0622,2017,Q2,Programma Sociaal domein,Stichting Vlaardingen Geeft, 11.250,00 ,Nee,Nee,Welzijnssubsidie: Opzetten en realiseren Vlaardings Inloophuis de Boei. In dit inloophuis worden activiteiten georganiseerd voor ontmoeting kankerpatienten en hun netwerk.
NL,4-8-2017,Vlaardingen,0622,2017,Q2,Programma Sociaal domein,Slachtofferhulp Nederland regio Zuidwest, 18.680,00 ,Nee,Nee,"Activiteiten op het gebied van slachtofferhulp, o.a. opvang na een delict verkeersongeval en calamiteit ondersteuning bij het verwerkingsproces hulp bij schadeafhandeling ondersteuning bij de afhandeling van een strafzaak verwijzing naar netwerkpartners."
NL,4-8-2017,Vlaardingen,0622,2017,Q2,Programma Sociaal domein,Humanitas afdeling Nieuwe Waterweg Noord, 19.418,00 ,,,Behoud en verdere doorontwikkeling van een netwerk schuldhulppreventie in de wijk Westwijk in Vlaardingen.
NL,4-8-2017,Vlaardingen,0622,2017,Q2,Programma Sociaal domein,Stichting UN1EK - IKC de Ark, 24.079,00 ,Nee,Nee,Inzet pedagogisch medewerker bij de uitvoering van de Familieklas. De subsidie is in 2016 bevoorschot. 
NL,4-8-2017,Vlaardingen,0622,2017,Q2,Programma Sociaal domein,Minters, 45.000,00 ,Nee,Nee,inzet van burenbemiddelaars en opzetten van netwerk met ketenpartners
NL,4-8-2017,Vlaardingen,0622,2017,Q2,Programma Sociaal domein,Stichting VluchtelingenWerk Zuid-West Nederland locatie Vlaardingen, 73.350,00 ,Ja,Ja,Taalcentrum Vlaardingen.
NL,4-8-2017,Vlaardingen,0622,2017,Q2,Programma Sociaal domein,Cooperatie VlaardingenWerkt, 88.000,00 ,Ja,Nee,"Inzamelen sorteren distribueren van huisraad en afleveren bij woning vergunninghouder het leveren van hand en spandiensten aan organisaties en initiatieven uit het netwerk in orde maken van woningen fietsenproject project Thuis afgehaald."
NL,4-8-2017,Vlaardingen,0622,2017,Q2,Programma Sociaal domein,Minters, 90.000,00 ,Ja,Nee,"inzet van 1 FTE bij de uitvoering van de Sociale Aanpak Westwijk meer in het bijzonder voor het kernteam ""Samen Buurten"". "
NL,4-8-2017,Vlaardingen,0622,2017,Q2,Programma Sociaal domein,Stichting Elckerlyc, 170.000,00 ,Nee,Nee,Opvang en begeleiding in de voorziening plusvoorziening maatschappelijke opvang (mogelijk vervolg na opvang binnen de dak- en thuislozen opvang De Elementen).
NL,4-8-2017,Vlaardingen,0622,2017,Q2,Programma Sociaal domein,Minters, 415.287,00 ,Ja,Ja,"inzet van 2 FTE in de wijkteams die tot op heden worden bekostigd door Minters zelfinzet van 2 FTE extra in de wijkteams ten behoeve van drangcasussen van JBRR
scholing, vervanging van personeel tijdens scholing en aanpassing in registratiesysteem en werkproces in het kader van de implementatie van de resultaatgerichte bekostiging jeugdhulp vanaf 2018."
NL,4-8-2017,Vlaardingen,0622,2017,Q2,Programma Sociaal domein,MEE ZHN (stichting VTV), 791.039,00 ,Ja,Ja,"Deelname in de 4 wijkteams middels inzet van 6,52 fte en het bieden van onafhankelijke cli‰ntondersteuning, zowel voor jeugd als volwassenen middels inzet van 1,44 fte. Het schuiven met de inzet van fte tussen wijkteam en onafhankelijke cli‰ntondersteuning kan alleen plaatsvinden in nauw overleg met Minters.  Daarnaast bijdrage aan bovenregionale activiteiten te weten integrale vroeghulp crisishulpverlening expertise netwerken en sociale kaart en inzet van een gedragsdeskundige ten behoeve van de professionals van de sociale wijkteams. Deze inzet omvat 150 uur."
NL,4-8-2017,Vlaardingen,0622,2017,Q2,Programma Sport en Recreatie,Vlaardingse Reddingsbrigade, 14.500,00 ,Nee,Nee,Het organiseren en uitvoeren van de activiteiten in het kader van het reddend zwemmen ( uitgesloten zijn uw activiteiten voor het lesgeven A B en C diploma).
NL,4-8-2017,Vlaardingen,0622,2017,Q2,Programma Sport en Recreatie,Stichting YETS Foundation, 14.950,00 ,Nee,Nee,"Activiteiten in het kader van voorkomen van maatschappelijke uitval onder kwetsbare jongeren (12-18 jaar) door deelnemers intensief te ondersteunen in hun sociaal-emotionele cognitieve en gedragsmatige ontwikkeling door middel van sportactiviteiten."
NL,4-8-2017,Vlaardingen,0622,2017,Q2,Programma Sport en Recreatie,Stichting Vlaardingen in Beweging, 282.000,00 ,Ja,Nee,Projectleiding project Gezond oud worden in Vlaardingen. Het project wordt uitgevoerd door duo projectleiders. Zij dragen zorg voor de coordinatie van het uitvoeringsprogramma 'Gezond oud worden in Vlaardingen'. Het project is opgedeeld in 3 fasen.
NL,4-8-2017,Vlaardingen,0622,2017,Q2,Programma Veiligheid en Handhaving,Stichting Vlaardingen in Beweging , 30.000,00 ,Nee,Nee,"Dit project richt zich de komende 2 jaar op sociaal maatschappelijke thema's voor inwoners van de Westwijk. Dit project richt zich in beginsel op de doelgroep 4-12 jarigen.In samenwerking met Voetbalvereniging DVO'32 onderwijs en de diverse maatschappelijke organisaties en instellingen wordt door de buurtsportcoach een programma aan sport en beweegactiviteiten opgezet. Deze activiteiten dragen bij aan een beter woon- en leefklimaat. Doelstelling van dit project is ondermeer het terugdringen van de jeugdoverlast in de Westwijk. Daarnaast is er aandacht voor een gezonde leefstijl, sociale cohesie en sportparticipatie."
