OBJECTID,REF_FUNCTIONELE_SPOORTAK_PUIC,REF_FYSIEKE_SPOORTAK_PUIC,REF_WISSEL_KRUISINGBEEN_PUIC,KMLINT,KMLINT_OMSCHRIJVING,GEOCODE,SUBCODE,GEOCODE_NR,GEOSUBCODE,GEOCODE_NAAM,KM_GEOCODE,KM_GEOCODE_T,OFFSET,OFFSET_T,KM_SPOORTAK,KM_SPOORTAK_T,LATITUDE,LONGITUDE,X,Y,Z
11,8a1cbe2c-54ac-49f2-a5ab-4522978ef2c7,,401d3d18-bd0a-4fb1-929f-ac3e0db9a1a7,Zd-Ekz,Zaandam - Enkhuizen ,079,,79,079__,Zaandam - Hoorn,14.882232,"14,882232",1.754806,"1,754806",0.1,"0,100000",52.51254162,4.97240347,126841.17321931,502842.95851882,-0.27377087
12,87bde0b6-3e0b-40d0-b246-e6aaf8747fff,0f564afd-5655-498f-8b6d-0a4656bfe97a,,Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,507,b,507,507_b,Velperbroek Aansl.,94.968977,"94,968977",2.023265,"2,023265",0.530277,"0,530277",51.97911156,5.94341129,193213.483,443558.097,18.241
13,456adfea-3c54-4378-973e-a203fa764b65,,2d0a9518-66d5-4a80-a5a5-940b33ce2d26,Ah-Zl,Arnhem - Zwolle ,609,,609,609__,Zutphen,27.276038,"27,276038",-0.266695,"-0,266695",0,"0,000000",52.14391497,6.19042678,209980.998,462051.935,11.705
14,92bbb39a-6880-45f0-b810-2583e6d3379c,,77ecb5e0-18d7-404e-9f7d-f63dc04d1392,Dv-Aml,Deventer - Almelo ,024,,24,024__,Deventer - Wierden,10.910449,"10,910449",1.76852,"1,768520",14.9,"14,900000",52.25677658,6.31713406,218492.85899343,474711.99435604,10.09910704
15,052e4da3-709c-4270-8a18-5a87965c023c,1622131a-9447-4c92-b55a-9ac4569f3711,,Dv-Aml,Deventer - Almelo ,019,,19,019__,Wierden - Almelo,36.799515,"36,799515",3.989465,"3,989465",2.684867,"2,684867",52.36413482,6.63613808,240066.28314788,486983.04839778,13.21117447
16,7ecf8209-a425-45ae-9288-3205a44a6a54,,be1de061-3304-4860-a9ae-8bb8433df193,Mt-Vl,Maastricht - Venlo ,553,c,553,553_c,Sittard,21.698024,"21,698024",-35.040199,"-35,040199",0,"0,000000",51.0009014,5.85769042,188027.136,334690.061,49.302
17,7ed42ab0-93db-4315-8b7b-5db39bbc9f98,,8c623da1-fcb9-4d71-89cb-63b6cd32076e,Zd-Sgra,Zaandam - Amsterdam Singelgracht Aansl. ,139,,139,139__,Zaandam - Amsterdam Sloterdijk,175.810776,"175,810776",23.294807,"23,294807",0,"0,000000",52.39843281,4.80300395,115239.175,490226.08,3.722
18,30646932-f74a-4dfc-8d9e-c7abac2456ec,,ec962cd8-14e7-4040-9a89-04a04ca03391,Hea-Emn,Herfte Aansl. - Emmen ,203,,203,203__,Mariënberg - Emmen,52.973818,"52,973818",-0.454266,"-0,454266",0.3,"0,300000",52.64432219,6.7237195,245455.37628066,518261.68989928,10.8234797
19,93e23720-c75b-4feb-81e7-528ef0b3e821,,db0783fa-fb54-47f6-9e59-8afae9b05c1e,Asd-Zp,Amsterdam Centraal - Zutphen ,087,,87,087__,Weesp Aansl. - Hilversum,22.974824,"22,974824",-2.304373,"-2,304373",6.3,"6,300000",52.27298882,5.16016151,139503.60164808,476132.63446592,2.8521313
20,44730ff2-2fc8-499a-bb8a-c5b761102a83,,6285332e-6fff-4b6d-9338-5dcb2f38b42c,Zp-Esg,Zutphen - Enschede Grens ,028,,28,028__,Hengelo - Enschede Grens,46.700032,"46,700032",-4.825308,"-4,825308",0.481098,"0,481098",52.25393599,6.81250304,252318.808,474945.416,21.67000003
21,ccf746c5-2d2c-4d97-91c3-0d4b223f771d,5e27d63f-91e0-4b57-b307-483dfd23b33e,,Brech-Brzv,Betuweroute Echteld - Betuweroute Zevenaar ,158,,158,158__,Ressen = Bemmel - Zevenaar,101.513793,"101,513793",-2.237665,"-2,237665",12.243502,"12,243502",51.92174941,6.01203451,197982.95755463,437214.69414814,11.95501533
22,189ba727-5460-40d4-9e3e-2a38f5dcddce,,f304e034-c97a-465f-86ea-44901c1263ed,Whz-Bot,"Rotterdam, Emplacement Waalhaven Zuid - Rotterdam, Botlek",950,a,950,950_a,Barendrecht Vork - Rotterdam Maasvlakte,6.758348,"6,758348",125.778005,"125,778005",0.3,"0,300000",51.87178338,4.44562012,90156.05631431,431890.50724218,3.79702779
23,a44659ab-5865-42b5-9f8e-b511760db1fe,,1d4aae4e-c5c1-4924-ada4-90418c3aff93,Whz-Bot,"Rotterdam, Emplacement Waalhaven Zuid - Rotterdam, Botlek",950,a,950,950_a,Barendrecht Vork - Rotterdam Maasvlakte,17.091875,"17,091875",33.378526,"33,378526",0.5,"0,500000",51.86887816,4.2992473,80071.44728412,431708.00211223,4.21416624
24,eeb1c716-eb5e-44ee-9e18-d34d6c2fdd9a,,e7dbe502-36a3-4177-bf8e-257fe1a61833,Mvta-Mvtn,Maasvlakte Aansl. - Maasvlakte Noordwesthoek ,478,a,478,478_a,Rotterdam Europoort 4,1.76263,"1,762630",-67.077431,"-67,077431",0.9,"0,900000",51.94064123,4.02546927,61367.12328634,440008.88034482,5.219
25,f1105f50-f9bb-4ead-b8b1-52bbffd6b4c4,,d0ca2698-e824-4693-825e-14541e6d52c5,Bd-Rtd,Breda - Rotterdam Centraal ,163,,163,163__,Rotterdam Lombardijen - Rotterdam Centraal,48.01087,"48,010870",2.718339,"2,718339",0.751884,"0,751884",51.92324442,4.48470698,92918.83987668,437581.42706138,-1.46055575
26,136f8682-f0cb-4b3e-ac61-543091289d84,,36739392-8718-4a4a-a0cb-f518ad9d0ced,Awhv-Asd,Amsterdam Westhaven (gebied) - Amsterdam Centraal ,586,,586,586__,Amsterdam Centraal,80.3657,"80,365700",31.275096,"31,275096",0,"0,000000",52.38063885,4.89472969,121468.535,488199.887,5.484
27,d8814689-2114-4931-a195-d09194e02bbf,,e4696042-fe1c-4db9-b231-cce5a10e2faa,Zl-Lw,Zwolle - Leeuwarden ,009,,9,009__,Meppel - Leeuwarden,135.715394,"135,715394",-1.496834,"-1,496834",8,"8,000000",52.94410289,5.93418907,191768.50851566,550923.3503714,2.16718202
28,c755dc28-97e7-40c7-9600-d06540a43184,,de60ed65-e3f5-4fb2-a205-e630a1682a07,Ut-Amf,Utrecht - Amersfoort ,090,,90,090__,Den Dolder - Amersfoort,17.890934,"17,890934",57.723834,"57,723834",0,"0,000000",52.14487885,5.33018844,151097.326,461856.214,11.09
29,9dc6f5d7-429a-45fd-913d-8de71315c409,,b6e3ec42-1371-43b9-896a-9ea4b9b5d06d,Ldvn-Ldvwpl,Leidschenveen - Leidschendam werkplaats ,922,,922,922__,Leidschendam Lijnwerkplaats,18.412791,"18,412791",-136.742526,"-136,742526",0.22388,"0,223880",52.07472246,4.38245339,86118.39,454525.677,-0.551
30,5557f5b6-0b1a-4899-b4e6-c75d688628fc,,683f7951-c851-46e9-996e-dd1c38b56d08,Mvtnwa-Mvtyn,Maasvlakte Noordwesthoek Aansl. - Maasvlakte Yangtzehaven Noord ,479,a,479,479_a,Maasvlakte 2,301.275007,"301,275007",50.60204,"50,602040",0.5,"0,500000",51.94710487,4.00396177,59902.09099123,440755.86753133,5.13463108
31,4a77aa14-a14a-40d6-b457-4a63c28a7faf,,9c17a4bd-f5f7-4116-af3a-17853923746d,Wp-Llso,Weesp - Lelystad Opstel. ,135,,135,135__,Weesp Aansl. - Lelystad Industrieterrein,37.105728,"37,105728",2.154399,"2,154399",14.9,"14,900000",52.48353932,5.46457007,160255.42004724,499538.1130502,1.52586404
32,9dfbbf83-8178-4876-899f-f76130ac50fd,,511ae893-0a79-4e5a-afe1-a4658fe3b9fa,Asd-Zp,Amsterdam Centraal - Zutphen ,087,,87,087__,Weesp Aansl. - Hilversum,26.0452,"26,045200",-14.975839,"-14,975839",0.6,"0,600000",52.24613038,5.17073764,140216.5394426,473142.08425892,3.92619745
33,d41dcdc0-f08d-4194-b053-3556d8df0083,,408f5483-6168-4831-b2d7-e51098c58649,Bnn-Ed,Barneveld Noord - Ede=Wageningen ,211,,211,211__,Barneveld Noord - Ede=Wageningen,19.715189,"19,715189",-0.309319,"-0,309319",1.9,"1,900000",52.10386784,5.62975422,171617.82171492,457319.65615797,15.79545818
34,dfff9034-f6cb-4033-8ba2-ed3b13a83ff5,,60d45998-93f4-4ca6-b45e-b2dc6448269f,Vet-Mtn,Verschau (D) - Maastricht Noord ,069,,69,069__,Simpelveld - Schin op Geul,15.065001,"15,065001",-0.347767,"-0,347767",3.3,"3,300000",50.82199641,5.9450931,194314.18420513,314830.58146943,131.53503133
35,f6b5fd90-6bdb-427a-b59b-acab99706b5f,,bf119c57-8a0c-40ff-8da1-d7184040fc4a,Awhv-Asd,Amsterdam Westhaven (gebied) - Amsterdam Centraal ,586,,586,586__,Amsterdam Centraal,80.501816,"80,501816",23.468289,"23,468289",0,"0,000000",52.38005829,4.89653431,121590.969,488134.459,5.444
36,eff66ec3-a421-442a-bde8-7b2c108a04ea,,cfba938c-c7af-45d9-a943-0017055888c1,Zl-Lw,Zwolle - Leeuwarden ,009,,9,009__,Meppel - Leeuwarden,146.90164,"146,901640",2.519555,"2,519555",8.2,"8,200000",53.03074717,5.85145383,186144.98950578,560526.15611401,1.19286347
37,6e2458ef-f0b4-4aeb-be52-5677fd1e3fca,,8be6a98b-5009-4bd2-a2b2-a103ac500c85,Kfhz-Kfhn,Kijfhoek Zuid - Kijfhoek Noord ,924,a,924,924_a,Kijfhoek,34.504357,"34,504357",-129.432003,"-129,432003",0.2,"0,200000",51.82813486,4.60279536,100927.52445304,426906.13004979,-0.29671558
38,e46fba15-9f04-4c99-8b6d-184cced77364,,68eac2c7-9a5c-473f-86e3-e50f5788bf7e,Zlw-Np,Lage Zwaluwe - Nispen ,545,b,545,545_b,Roosendaal,23.640014,"23,640014",6.067696,"6,067696",0.2,"0,200000",51.53584036,4.45316115,90195.83525665,394511.12351012,3.17549715
39,16f3094f-5782-4330-9b01-effec8c89d63,,46b4239b-62ab-4431-bfea-28c331900035,Ah-Zl,Arnhem - Zwolle ,018,,18,018__,Deventer - Zwolle,58.628811,"58,628811",1.740957,"1,740957",5.2,"5,200000",52.38256062,6.13448739,205878.22414509,488562.32814329,3.73319523
40,93b538e2-7ef8-4770-ba9d-23b2984ac399,,fb04a2cf-1edf-49f2-b8e2-74c848fdea66,Vl-Ehv,Venlo - Eindhoven ,055,,55,055__,Blerick - Eindhoven,34.585286,"34,585286",-1.86032,"-1,860320",5,"5,000000",51.46856332,5.7143592,177732.44217825,386662.31018884,21.23442009
41,98f60b7b-aba5-4d6b-969a-22ca16372e9f,,cfd68b5b-d953-4794-89e7-2a3889d699e0,Ama-Htba,Amersfoort Aansluiting - Hattemerbroek Aansluiting ,017,,17,017__,Amersfoort Aansl. - Hattemerbroek,70.386965,"70,386965",16.099427,"16,099427",0.7,"0,700000",52.4122964,5.89999061,189889.48194189,491731.96361842,10.53261749
42,a85d341d-237d-4eea-a9c4-77f5ef3d7d5d,,8fb5e579-5ef1-4388-b3f7-2fa0bdd16432,Est-Gdm,Elst - Geldermalsen ,042,,42,042__,Vork - Kesteren,19.233693,"19,233693",-2.172094,"-2,172094",16.361156,"16,361156",51.92933286,5.60564639,170024.58760881,437896.0997665,7.19654235
43,a9ea57cd-575e-436d-8130-9de3e3f303ce,,8cedee29-b152-4e6a-ad91-31f5ed5e2d0a,Mt-Vl,Maastricht - Venlo ,553,c,553,553_c,Sittard,22.014388,"22,014388",-34.652983,"-34,652983",0,"0,000000",51.00355306,5.85927273,188136.304,334985.771,49.223
44,58f5e949-6fe3-42bf-868e-8267a9e7510c,,ba102beb-0922-4083-ada8-926ce70ed9cc,Brda-Bdgr,Barendrecht Aansl. - Breda Grens ,121,b,121,121_b,Breda - Lage Zwaluwe,233.580205,"233,580205",-2.531914,"-2,531914",0.7,"0,700000",51.66609914,4.67906336,106009.48378611,408825.63865741,0.73466687
45,093064ed-1a43-4e9e-aa4e-5c0f3b9571c7,2da990ec-1ea6-49f6-b711-d1826ac8f193,,Ass-Rtd,Amsterdam Sloterdijk - Rotterdam ,539,,539,539__,Schiedam Centrum,80.094344,"80,094344",14.771615,"14,771615",0.8,"0,800000",51.92069185,4.41486939,88111.23382194,437359.40575466,3.97458695
46,e35fad25-1792-403f-8616-ded39a6c9576,,6a6b2535-069d-40fc-bd3f-4bff19d7ff1c,Mt-Vl,Maastricht - Venlo ,517,b,517,517_b,Venlo,69.177983,"69,177983",2.893435,"2,893435",0,"0,000000",51.35944385,6.17695709,210006.746,374769.513,21.19
47,cf3e4fd0-ddb8-4cb7-b96e-74823a28e7ca,2f0a245b-28e5-494a-8585-270a5e937726,,Aml-Hgl,Almelo - Hengelo ,025,,25,025__,Almelo - Hengelo,1.099893,"1,099893",2.068162,"2,068162",0.083557,"0,083557",52.35465702,6.65817828,241585.86,485954.744,11.98
48,165bafef-a496-4c88-8e9c-994b5da8c465,,4c06db34-24e9-43f5-b17f-09b2c8dc5826,Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,035,,35,035__,Lunetten - De Haar Aansl.,52.583061,"52,583061",23.590496,"23,590496",0.1,"0,100000",52.06584491,5.348365,152336.84278012,453062.15390559,14.85029066
49,c73fbfb6-92d9-4ccb-95e4-6f855ce3bf8a,,5ded185b-bcb4-4993-a9b9-3c4f6463ad90,Kfhz-Kfhn,Kijfhoek Zuid - Kijfhoek Noord ,924,a,924,924_a,Kijfhoek,34.901078,"34,901078",-41.532967,"-41,532967",0.4,"0,400000",51.83076441,4.59870264,100648.57323355,427201.72258559,-0.3272022
50,eda389e9-24e3-405a-ae88-249d16d7c4ca,,284940bc-b93c-4155-a828-076cc116f72a,Ama-Htba,Amersfoort Aansluiting - Hattemerbroek Aansluiting ,017,,17,017__,Amersfoort Aansl. - Hattemerbroek,66.125679,"66,125679",-2.390092,"-2,390092",4,"4,000000",52.38890428,5.85037457,186530.33504741,489106.50280531,12.86516854
51,4ffa1bdd-c90d-43da-9cf0-51ce7a4d9e26,,9a3da6b7-ae45-4749-9683-8ef4d21e8e04,Brvalw-Brvalo,Betuweroute Valburg West - Betuweroute Valburg Oost ,938,,938,938__,CUP Valburg,0.139549,"0,139549",-5.287245,"-5,287245",0,"0,000000",51.90582182,5.77795434,181889.982,435330.114,8.942
52,f458b57b-481f-49b8-96dc-04f2aac70dac,,926bea56-3d8c-483f-b53f-5c9fbe81ed00,Dz-Dzsh,Delfzijl - Delfzijl Stamlijn Havenschap ,803,h,803,803_h,Delfzijl Stamlijn Havenschap,103.254294,"103,254294",-4.7824,"-4,782400",0.266567,"0,266567",53.3154282,6.95111676,259225.245,593239.887,1.956
53,6bd3ec63-df8d-47ef-9a0d-533c4301a4ed,,53476f2d-0e4f-40c7-bf87-9d4e4913ddce,Rsd-Vs,Roosendaal - Vlissingen ,127,a,127,127_a,Roosendaal - Vlissingen,17.044838,"17,044838",-2.3624,"-2,362400",3.7,"3,700000",51.45431397,4.29765067,79271.34560687,385591.71303654,6.56912005
54,878d776c-e4cd-4ef8-b237-7c74cd4b39e3,,d8504fca-84e0-4f41-ab3a-c78d4964faa5,Ut-Rtd,Utrecht Centraal - Rotterdam Centraal ,100,,100,100__,Utrecht Centraal - Harmelen Aansl.,3.080535,"3,080535",4.125556,"4,125556",4.6,"4,600000",52.0987149,5.06901765,133197.74668238,456766.28977497,9.21843147
55,39ac8905-04a0-40ef-a906-8c0f65d01a8f,,837dde9c-4d5d-4749-829e-b3bb7a78b309,Zvg-Em,Zevenaar Grens - Emmerich (D) ,779,,779,779__,Emmerich (D) - Zevenaar Grens,60.918763,"60,918763",-9.356819,"-9,356819",0.463764,"0,463764",51.83448439,6.25380943,214730.224,427677.109,18.037
56,fb58ea6f-9d63-44de-84cd-9d95604cfb67,,dc185df8-c96e-4827-86c2-bbca13fc3b4f,Tnzz-Tnzzw,Terneuzen Zuidzijde (Racc.) - Terneuzen Zwedenweg ,557,f,557,557_f,Terneuzen Aansl.,400.542,"400,542000",-1.704655,"-1,704655",0.259416,"0,259416",51.30719118,3.83713603,46918.437,369806.071,3.665
57,ec4a95a8-8cfe-4474-93a9-3bb7c6a4b120,,285fe03a-c94d-4ba0-9d94-09e3f099c348,Sdmga-Vdgvch,Schiedam Goederenoverdrachtspoor Aansluiting -  Vlaardingen Vulcaanhaven ,115,d,115,115_d,Schiedam Centrum - Vlaardingen Vulcaanhaven,504.805693,"504,805693",-0.106061,"-0,106061",0,"0,000000",51.9045835,4.35899813,84242.563,435620.269,2.884
58,5380f68c-7c4d-47dc-9ddc-ea2f64a554b4,,03998cbb-87ad-487a-97e5-2e58e0894d18,Zlw-Np,Lage Zwaluwe - Nispen ,545,b,545,545_b,Roosendaal,23.754303,"23,754303",3.430611,"3,430611",0.036037,"0,036037",51.53485225,4.45272494,90164.163,394401.589,2.981
59,cf3e4fd0-ddb8-4cb7-b96e-74823a28e7ca,2f0a245b-28e5-494a-8585-270a5e937726,,Aml-Hgl,Almelo - Hengelo ,025,,25,025__,Almelo - Hengelo,3.892219,"3,892219",1.830374,"1,830374",2.883557,"2,883557",52.33491722,6.68000602,243111.96713384,483784.99313182,12.42125676
60,20e35ff4-e332-43c0-9dca-5ff58df41ac4,,6acb3d0d-3f91-4e15-95bd-290473e752b1,Awhv-Asd,Amsterdam Westhaven (gebied) - Amsterdam Centraal ,586,,586,586__,Amsterdam Centraal,80.784934,"80,784934",29.886841,"29,886841",0.282205,"0,282205",52.3787577,4.9000924,121832.26,487988.117,5.584
61,add246f8-07c3-4484-8582-88de65645816,,872b62b4-5f6e-46dd-bc6c-153ca9c5571a,Mt-Vl,Maastricht - Venlo ,517,b,517,517_b,Venlo,69.400777,"69,400777",-27.682473,"-27,682473",0.258786,"0,258786",51.36112021,6.17548885,209902.47,374954.896,20.959
62,6f802a19-9aa7-4070-9db2-7872d93aa01b,0b7bb238-4473-4afc-9e0b-8788ef71e995,,Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,108,,108,108__,De Haar Aansl. - Ede=Wageningen,64.600031,"64,600031",-2.149377,"-2,149377",3.691899,"3,691899",52.05037248,5.51994356,164105.32146442,451348.38281015,9.65882105
63,90a2f921-2261-4fe2-80d7-8aaba9d35472,,a844ca17-d3ea-46ac-ba6a-6d1badecaace,Brech-Brzv,Betuweroute Echteld - Betuweroute Zevenaar ,155,b,155,155_b,Meteren Aansl. - Ressen = Bemmel,64.940209,"64,940209",1.858342,"1,858342",0.4,"0,400000",51.9192869,5.50094532,162825.0359948,436761.9568278,6.01795059
64,61d192be-2e45-4ea5-9f04-b7baa37baf3d,,3ebd3cdf-b0f7-410a-a05b-c3a8845b5cc9,Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,531,c,531,531_c,Utrecht Centraal,37.032253,"37,032253",10.028798,"10,028798",1.4,"1,400000",52.0766719,5.12803468,137232.87935716,454297.76379131,5.182
65,f8ab9251-7818-4a98-bf1a-225113f325cd,,6a28e282-9670-406f-a237-bf342779059d,Mt-Vl,Maastricht - Venlo ,520,a,520,520_a,Maastricht,0.820828,"0,820828",6.148055,"6,148055",0,"0,000000",50.85478598,5.70363161,177283.075,318376.664,46.824
66,ae23778f-01c8-4066-9757-d1ce364bb1c5,,dd5da96d-dbc0-452c-8710-48747dc0680b,Hlg-Nscg,Harlingen - Nieuweschans Grens ,002,,2,002__,Leeuwarden - Groningen,49.072301,"49,072301",-2.076498,"-2,076498",9.1,"9,100000",53.255285,6.11665171,203683.02759842,585660.75199871,2.95859775
67,4a77aa14-a14a-40d6-b457-4a63c28a7faf,,9c17a4bd-f5f7-4116-af3a-17853923746d,Wp-Llso,Weesp - Lelystad Opstel. ,135,,135,135__,Weesp Aansl. - Lelystad Industrieterrein,32.905649,"32,905649",1.733259,"1,733259",10.7,"10,700000",52.45713169,5.42040928,157256.95846237,496597.49452965,3.01322815
68,c3a5737e-0fb5-4d98-b298-ea62718b957e,,ae023910-bd13-4159-9732-1a26f9c5abc9,Gpda-Asra,Gaasperdammerweg Aansl. - Amsterdam Riekerpolder Aansl. ,144,a,144,144_a,Duivendrecht - Amsterdam Riekerpolder,154.872029,"154,872029",-5.559079,"-5,559079",1.2,"1,200000",52.33904377,4.87864648,120340.98794779,483579.4693048,6.827
69,86c05c5a-8c95-4113-9c66-3be50963e974,,86528c1f-99ec-4ab0-8558-fa28808bd953,Eupwo-Qh,Europaweg Oost - Quarleshaven ,817,g,817,817_g,Vlissingen Sloehaven,300.395703,"300,395703",0.708612,"0,708612",0.4,"0,400000",51.46131511,3.7248733,39482.2802639,387121.72873376,5.96719602
70,507f23a9-5b70-46c0-8a55-de1a622c68f6,2897e25e-f8e3-459d-ba68-7f750ca05b2e,,Eupwz-Spjw,Europaweg Zuid - Spanjeweg ,817,d,817,817_d,Vlissingen Sloehaven,160.304671,"160,304671",-0.299621,"-0,299621",0.334088,"0,334088",51.43684778,3.71575978,38786.65084019,384414.68350312,5.51837859
71,24b93a90-2464-4de9-93a9-491650fec2e7,,ae24ad19-8a51-4348-8726-464c815946ce,Vet-Mtn,Verschau (D) - Maastricht Noord ,521,b,521,521_b,Schin op Geul,22.158196,"22,158196",-2.086967,"-2,086967",0.005126,"0,005126",50.85611903,5.87058892,189038.969,318589.275,97.901
72,137d9a53-35bb-47b5-8863-49d64de2f495,,ab03fe70-dc67-435a-8268-22b7692b3e93,Kn-Vlgr,Kaldenkirchen (D) - Venlo Grens ,780,,780,780__,Venlo Grens - Keulen (D),17.155914,"17,155914",-1.110864,"-1,110864",0.1,"0,100000",51.32318512,6.20530907,212026.63771419,370757.63929338,46.7851266
73,863767b5-397a-4dec-955d-ba1115b49017,,df8013de-d370-417f-9adc-42f0b16ec204,Zl-Lw,Zwolle - Leeuwarden ,502,b,502,502_b,Meppel,101.319493,"101,319493",3.186678,"3,186678",0.104868,"0,104868",52.69657179,6.1994213,209906.876,523548.026,2.401
74,be4269c8-3b84-4b92-8812-356ab2a2b4d4,,16bad397-8869-4790-b952-603177c263ea,Bd-Ehv,Breda - Eindhoven ,551,b,551,551_b,Tilburg,21.989368,"21,989368",-10.602761,"-10,602761",0.2,"0,200000",51.56097281,5.08133014,133789.9114696,396936.41264836,17.81461449
75,c31df4c6-061b-4d77-bf4e-c5953c9d3871,,57226c4b-23fb-4367-bc66-3172037223d3,Ht-Nm,s-Hertogenbosch - Nijmegen ,047,,47,047__,s Hertogenbosch - Nijmegen,52.247784,"52,247784",-0.317037,"-0,317037",0,"0,000000",51.80563826,5.67176099,174625.889,424150.199,8.82
76,677d85ac-af11-4fce-9c8c-919a50a7fbfb,,3c20dd7e-56ee-41f4-a424-ac9d5752bc43,Bd-Ehv,Breda - Eindhoven ,617,a,617,617_a,Boxtel,41.333757,"41,333757",2.060254,"2,060254",1.8,"1,800000",51.56814575,5.33583964,151439.02724707,397691.18786247,9.44792837
77,33386229-e9a4-4145-a0e8-d8ef4e8d2258,1077f3ba-5242-4948-b89b-3abc1e7c7a0f,,Gb-Nm,Groesbeek - Nijmegen ,048,,48,048__,Nijmegen Grens - Nijmegen,5.795323,"5,795323",-0.418383,"-0,418383",1.5,"1,500000",51.77577114,5.89979917,190376.85108639,420913.70411841,49.10255555
78,d648f062-186f-4cc3-9883-f3dc252c0986,05f135c1-0feb-45d3-ba41-7e42a0ea7e64,,Bdl-Rm,Budel - Roermond ,059,,59,059__,Weert - Roermond,79.909055,"79,909055",-1.748424,"-1,748424",7.570936,"7,570936",51.22927655,5.92425706,192513.03728861,360128.52664219,28.59551329
