Ministerie;Handelsnaam;9301 - Laboratoriumonderzoek;9302 - Laboratoriummaterialen;9303 - Laboratoriuminstrumenten;9304 - Aankoop onderzoeksmateriaal;9305 - Research & development;9410 - Lokale belastingen - waterschapslasten;9500 - AZ specifiek;9510 - BZ specifiek;9520 - BZK specifiek;9530 - DEF specifiek;9540 - EZ specifiek;9550 - Fin specifiek;9560 - I&M specifiek;9570 - OCW specifiek;9580 - SZW specifiek;9590 - V&J specifiek;9600 - VWS specifiek;Eindtotaal
BZK;Café-Restaurant Floor B.V.;;;;;;;;;;1;;;;;;;;1
BZK;CAG;;;;;;;;;1;;;;;;;;;1
BZK;Camelot Vastgoedbeheer B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Camelot Vastgoedbeheer en Beveiliging B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Caminada Notarissen;;;;;;;;;1;;;;;;;;;1
BZK;Cardietech Nederland B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Caribbean Led Lights;;;;;;;;;1;;;;;;;;;1
BZK;Carpetright;;;;;;;;;1;;;;;;;;;1
BZK;Catering Cor Jansen B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Catering Oud London B.V.;;;;;;;;;;1;;;;;;;;1
BZK;Centric Netherlands B.V.;;;;;;;;;1;;;;;;;;;1
BZK;C-Mark Consultants;;;;;;;;;1;;;;;;;;;1
BZK;College van Kerkrentmeesters;;;;;;;;;1;;;;;;;;;1
BZK;Consolidated Nederland B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Constructie Bureau De Prouw B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Coolworld Nederland B.V.;;;;;;;;;;1;;;;;;;;1
BZK;Co�peratie Exploitatie Bouwcampus UA;;;;;;;;;;1;;;;;;;;1
BZK;Crawford;;;;;;;;;;1;;;;;;;;1
BZK;CredVice;;;;;;;;;1;;;;;;;;;1
BZK;Croon advocaten N.V.;;;;;;;;;;1;;;;;;;;1
BZK;Croonwolter&dros B.V.;;;;;;;;;1;;;;;;;;;1
BZK;CROWNE PLAZA;;;;;;;;;1;;;;;;;;;1
BZK;Cubord Reclameborden B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Cuvo;;;;;;;;;1;;;;;;;;;1
BZK;Cysocial;;;;;;;;;1;;;;;;;;;1
BZK;Da Ellen Films;;;;;;;;;;1;;;;;;;;1
BZK;DBH Business Services International B.V.;;;;;;;;;1;;;;;;;;;1
BZK;de Baarnse notarissen;;;;;;;;;1;;;;;;;;;1
BZK;De Comme B.V.;;;;;;;;;;1;;;;;;;;1
BZK;De Haan;;;;;;;;;1;;;;;;;;;1
BZK;De Haan & Hilbers notarissen;;;;;;;;;1;;;;;;;;;1
BZK;De Haan-van Ooyen II B.V.;;;;;;;;;;1;;;;;;;;1
BZK;De Haarlemse Makelaars B.V.;;;;;;;;;1;;;;;;;;;1
BZK;De Hair-Vrijdag-Maris Notarissen;;;;;;;;;1;;;;;;;;;1
BZK;De Kabath Vastgoedbescherming B.V.;;;;;;;;;1;;;;;;;;;1
BZK;de Kerf & van Sprang notarissen;;;;;;;;;1;;;;;;;;;1
BZK;De Kim Hekwerk;;;;;;;;;1;;;;;;;;;1
BZK;De Koningshof;;;;;;;;;1;;;;;;;;;1
BZK;De Mik Adviesbureau;;;;;;;;;1;;;;;;;;;1
BZK;De Ruiter Mos Netwerk Notarissen;;;;;;;;;1;;;;;;;;;1
BZK;De SeniorenMakelaar;;;;;;;;;1;;;;;;;;;1
BZK;De Steekproef;;;;;;;;;;1;;;;;;;;1
BZK;De Sterke Stad High Park B.V.;;;;;;;;;1;;;;;;;;;1
BZK;De Taxatheek Holding B.V.;;;;;;;;;1;;;;;;;;;1
BZK;De Tijd Notariaat B.V.;;;;;;;;;1;;;;;;;;;1
BZK;de Viet Bos en Boombeheer;;;;;;;;;;1;;;;;;;;1
BZK;De VriesVellenga Leenknegt Notarissen B.V.;;;;;;;;;1;;;;;;;;;1
BZK;De Waard Makelaars B.V.;;;;;;;;;1;;;;;;;;;1
BZK;De Zwarte Vosch B.V.;;;;;;;;;;1;;;;;;;;1
BZK;Dekoratie Studio Ferry Winkler B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Deloitte Accountancy & Advies B.V.;;;;;;;;;1;;;;;;;;;1
