FID,aanlegjaar,omschrijving,thema,verhardingsfunctie,verhardingssoort,geometrie
O10002_GBI_Wegen_en_bruggen.12,Niet ingevuld,overbrugging vlak,Brug,Niet ingevuld,Niet ingevuld,"MULTIPOLYGON (((170459.69 487008.838, 170463.324 487012.444, 170463.684 487012.802, 170463.691 487012.809, 170465.018 487014.129, 170465.855 487014.961, 170466.11 487015.215, 170471.463 487020.538, 170471.752 487020.825, 170471.171 487021.222, 170470.825 487021.458, 170468.403 487023.111, 170468.128 487023.298, 170461.431 487027.869, 170460.822 487028.284, 170460.533 487027.997, 170458.601 487026.076, 170454.653 487022.151, 170452.966 487020.475, 170452.545 487020.056, 170448.945 487016.477, 170448.518 487016.052, 170446.86 487014.405, 170443.899 487011.461, 170440.938 487008.518, 170440.645 487008.226, 170441.235 487007.811, 170447.865 487003.163, 170448.126 487002.98, 170450.864 487001.06, 170450.985 487000.975, 170451.457 487000.643, 170451.75 487000.935, 170458.146 487007.295, 170459.33 487008.473, 170459.69 487008.838)))"
O10002_GBI_Wegen_en_bruggen.13,Niet ingevuld,overbrugging vlak,Brug,Niet ingevuld,Niet ingevuld,"MULTIPOLYGON (((183063.397 504104.405, 183080.563 504101.095, 183081.096 504103.793, 183063.922 504107.091, 183063.397 504104.405)))"
O10002_GBI_Wegen_en_bruggen.14,Niet ingevuld,overbrugging vlak,Brug,Niet ingevuld,Niet ingevuld,"MULTIPOLYGON (((176335.768 505030.602, 176335.437 505030.232, 176346.504 505019.992, 176346.901 505020.403, 176349.299 505023.027, 176350.963 505024.843, 176351.478 505025.371, 176341.673 505034.358, 176340.356 505035.565, 176339.838 505035.01, 176338.201 505033.22, 176335.768 505030.602)))"
O10002_GBI_Wegen_en_bruggen.15,Niet ingevuld,overbrugging vlak,Brug,Niet ingevuld,Niet ingevuld,"MULTIPOLYGON (((176379.308 504982.424, 176379.512 504982.234, 176384.951 504977.198, 176385.278 504976.895, 176386.232 504977.986, 176396.332 504988.968, 176396.9 504989.578, 176397.695 504990.431, 176397.486 504990.626, 176392.047 504995.692, 176391.806 504995.916, 176390.982 504995.031, 176390.443 504994.452, 176380.261 504983.515, 176379.308 504982.424)))"
O10002_GBI_Wegen_en_bruggen.16,Niet ingevuld,overbrugging vlak,Brug,Niet ingevuld,Niet ingevuld,"MULTIPOLYGON (((185966.86 504137.44, 185967.507 504134.709, 185984.589 504138.775, 185984.577 504138.826, 185983.955 504141.46, 185983.942 504141.539, 185966.86 504137.44)))"
O10002_GBI_Wegen_en_bruggen.17,Niet ingevuld,overbrugging vlak,Brug,Niet ingevuld,Niet ingevuld,"MULTIPOLYGON (((176398.377 503675.931, 176398.565 503677.61, 176394.008 503678.177, 176393.814 503676.441, 176398.377 503675.931)))"
O10002_GBI_Wegen_en_bruggen.18,Niet ingevuld,overbrugging vlak,Brug,Niet ingevuld,Niet ingevuld,"MULTIPOLYGON (((175361.524 491604.903, 175354.696 491618.276, 175352.921 491617.368, 175359.749 491604.018, 175361.524 491604.903)))"
O10002_GBI_Wegen_en_bruggen.19,Niet ingevuld,overbrugging vlak,Brug,Niet ingevuld,Niet ingevuld,"MULTIPOLYGON (((171147.954 510422.642, 171142.847 510441.359, 171141.984 510444.521, 171141.905 510444.81, 171141.65 510444.74, 171141.384 510444.668, 171135.34 510443.022, 171134.93 510442.91, 171134.699 510442.847, 171134.778 510442.558, 171141.649 510417.524, 171141.728 510417.235, 171141.728 510417.234, 171141.93 510417.289, 171142.214 510417.366, 171148.355 510419.006, 171148.67 510419.091, 171148.906 510419.154, 171148.827 510419.443, 171147.954 510422.642)))"
O10002_GBI_Wegen_en_bruggen.20,Niet ingevuld,overbrugging vlak,Brug,Niet ingevuld,Niet ingevuld,"MULTIPOLYGON (((175593.535 503264.472, 175592.872 503266.957, 175578.344 503262.784, 175579.013 503260.365, 175593.535 503264.472)))"
O10002_GBI_Wegen_en_bruggen.21,Niet ingevuld,overbrugging vlak,Brug,Niet ingevuld,Niet ingevuld,"MULTIPOLYGON (((176757.389 503337.709, 176755.379 503337.92, 176753.849 503321.86, 176755.859 503321.65, 176757.389 503337.709)))"
O10002_GBI_Wegen_en_bruggen.22,Niet ingevuld,overbrugging vlak,Brug,Niet ingevuld,Niet ingevuld,"MULTIPOLYGON (((171769.554 503094.972, 171771.94 503095.24, 171772.135 503095.262, 171772.054 503095.858, 171761.545 503189.349, 171761.503 503189.731, 171761.311 503189.709, 171758.77 503189.45, 171752.422 503188.745, 171749.4 503188.41, 171749.196 503188.387, 171749.25 503187.91, 171749.345 503187.07, 171750.061 503180.712, 171759.786 503094.373, 171759.84 503093.879, 171760.024 503093.9, 171762.988 503094.233, 171769.554 503094.972)))"
O10002_GBI_Wegen_en_bruggen.23,Niet ingevuld,overbrugging vlak,Brug,Niet ingevuld,Niet ingevuld,"MULTIPOLYGON (((177775.718 504536.99, 177776.147 504538.912, 177779.23 504538.331, 177779.297 504538.672, 177779.737 504540.886, 177771.949 504542.433, 177771.531 504540.327, 177771.425 504539.806, 177774.592 504539.202, 177774.203 504537.279, 177775.718 504536.99)))"
O10002_GBI_Wegen_en_bruggen.84,Niet ingevuld,overbrugging vlak,Brug,Niet ingevuld,Niet ingevuld,"MULTIPOLYGON (((174877.294 505824.648, 174878.879 505827.016, 174884.812 505832.295, 174886.529 505834.857, 174883.166 505836.586, 174882.001 505834.774, 174876.058 505829.552, 174873.912 505826.352, 174877.294 505824.648)))"
O10002_GBI_Wegen_en_bruggen.24,Niet ingevuld,overbrugging vlak,Brug,Niet ingevuld,Niet ingevuld,"MULTIPOLYGON (((178097.696 504488.311, 178097.281 504486.258, 178105.115 504484.676, 178105.509 504486.626, 178105.644 504487.293, 178102.5 504487.909, 178103.091 504490.615, 178101.471 504490.661, 178100.958 504488.239, 178097.814 504488.874, 178097.696 504488.311)))"
O10002_GBI_Wegen_en_bruggen.25,Niet ingevuld,overbrugging vlak,Brug,Niet ingevuld,Niet ingevuld,"MULTIPOLYGON (((172108.476 513090.238, 172107.679 513091.299, 172106.952 513090.754, 172107.759 513089.68, 172110.236 513086.384, 172110.5 513086.031, 172111.227 513086.577, 172110.805 513087.138, 172108.476 513090.238)))"
O10002_GBI_Wegen_en_bruggen.26,Niet ingevuld,overbrugging vlak,Brug,Niet ingevuld,Niet ingevuld,"MULTIPOLYGON (((173790.047 511526.097, 173793.414 511523.89, 173795.516 511527.239, 173792.133 511529.408, 173784.643 511534.208, 173781.114 511536.47, 173779.102 511533.27, 173782.604 511530.975, 173790.047 511526.097)))"
O10002_GBI_Wegen_en_bruggen.27,Niet ingevuld,overbrugging vlak,Brug,Niet ingevuld,Niet ingevuld,"MULTIPOLYGON (((179465.027 504845.285, 179463.732 504845.566, 179459.868 504846.403, 179458.896 504846.614, 179458.339 504843.933, 179459.264 504843.733, 179463.142 504842.897, 179464.465 504842.611, 179465.027 504845.285)))"
O10002_GBI_Wegen_en_bruggen.28,Niet ingevuld,overbrugging vlak,Brug,Niet ingevuld,Niet ingevuld,"MULTIPOLYGON (((175738.36 496975.475, 175738.995 496974.585, 175741.828 496970.614, 175759.087 496946.422, 175760.131 496944.958, 175761.121 496943.57, 175762.536 496941.587, 175762.545 496941.575, 175762.839 496941.16, 175763.044 496940.875, 175763.249 496940.59, 175763.467 496940.287, 175763.639 496940.41, 175766.076 496942.093, 175771.779 496946.22, 175773.829 496947.66, 175773.964 496947.755, 175773.729 496948.09, 175773.52 496948.374, 175773.31 496948.658, 175773.075 496948.988, 175770.598 496952.467, 175769.464 496954.055, 175752.238 496978.183, 175749.487 496982.037, 175748.451 496983.506, 175748.28 496983.746, 175748.108 496983.986, 175747.834 496984.37, 175747.68 496984.26, 175745.62 496982.85, 175739.9 496978.77, 175737.48 496977.03, 175737.326 496976.92, 175737.62 496976.51, 175737.798 496976.262, 175738.36 496975.475)))"
O10002_GBI_Wegen_en_bruggen.29,Niet ingevuld,overbrugging vlak,Brug,Niet ingevuld,Niet ingevuld,"MULTIPOLYGON (((178602.753 494107.071, 178608.637 494098.36, 178609.655 494096.853, 178611.81 494098.308, 178610.892 494099.668, 178605.001 494108.388, 178604.132 494109.675, 178601.977 494108.22, 178602.753 494107.071)))"
O10002_GBI_Wegen_en_bruggen.30,Niet ingevuld,overbrugging vlak,Brug,Niet ingevuld,Niet ingevuld,"MULTIPOLYGON (((184004.98 504153.84, 184004.98 504153.463, 184004.997 504140.007, 184004.998 504139.608, 184004.999 504139.095, 184006.173 504139.071, 184007.899 504139.055, 184011.548 504139.004, 184013.647 504138.96, 184014.839 504138.959, 184014.839 504139.426, 184014.839 504139.814, 184014.829 504153.269, 184014.829 504153.637, 184014.829 504154.135, 184013.909 504154.151, 184006.435 504154.28, 184004.979 504154.305, 184004.98 504153.84)))"
O10002_GBI_Wegen_en_bruggen.31,Niet ingevuld,overbrugging vlak,Brug,Niet ingevuld,Niet ingevuld,"MULTIPOLYGON (((182093.865 504338.887, 182093.794 504338.532, 182093.7 504338.057, 182095.448 504337.68, 182101.505 504336.373, 182103.319 504335.981, 182103.386 504336.322, 182103.485 504336.824, 182106.069 504349.972, 182106.159 504350.43, 182106.252 504350.905, 182104.516 504351.279, 182098.511 504352.571, 182096.662 504352.969, 182096.569 504352.502, 182096.486 504352.085, 182093.865 504338.887)))"
O10002_GBI_Wegen_en_bruggen.32,Niet ingevuld,overbrugging vlak,Brug,Niet ingevuld,Niet ingevuld,"MULTIPOLYGON (((171811.793 490792.843, 171808.27 490797.515, 171807.197 490798.939, 171806.493 490799.872, 171806.333 490799.752, 171805.459 490799.091, 171805.299 490798.971, 171806.045 490797.977, 171807.097 490796.575, 171810.509 490792.027, 171811.83 490790.267, 171812.497 490789.378, 171812.657 490789.498, 171813.554 490790.175, 171813.714 490790.295, 171813.021 490791.214, 171811.793 490792.843)))"
O10002_GBI_Wegen_en_bruggen.33,Niet ingevuld,overbrugging vlak,Brug,Niet ingevuld,Niet ingevuld,"MULTIPOLYGON (((171918.073 488676.741, 171915.457 488668.681, 171915.368 488668.405, 171915.51 488668.36, 171918.085 488667.539, 171918.227 488667.494, 171918.327 488667.802, 171920.921 488675.829, 171921.023 488676.144, 171920.88 488676.19, 171918.32 488677.016, 171918.177 488677.062, 171918.073 488676.741)))"
O10002_GBI_Wegen_en_bruggen.34,Niet ingevuld,overbrugging vlak,Brug,Niet ingevuld,Niet ingevuld,"MULTIPOLYGON (((171872.446 488579.457, 171873.338 488578.245, 171879.941 488569.257, 171880.061 488569.347, 171883.068 488571.585, 171883.188 488571.675, 171876.581 488580.573, 171875.669 488581.809, 171875.548 488581.721, 171872.567 488579.545, 171872.446 488579.457)))"
O10002_GBI_Wegen_en_bruggen.35,Niet ingevuld,overbrugging vlak,Brug,Niet ingevuld,Niet ingevuld,"MULTIPOLYGON (((169352.968 500516.597, 169368.367 500525.615, 169373.83 500528.814, 169374.092 500528.967, 169374.001 500529.122, 169373.84 500529.39, 169370.81 500534.63, 169370.6 500535.04, 169370.508 500535.197, 169370.227 500535.032, 169364.708 500531.805, 169349.503 500522.918, 169344.147 500519.787, 169343.795 500519.581, 169343.886 500519.426, 169344.04 500519.17, 169347.09 500513.869, 169347.3 500513.52, 169347.406 500513.34, 169347.742 500513.537, 169352.968 500516.597)))"
O10002_GBI_Wegen_en_bruggen.36,Niet ingevuld,overbrugging vlak,Brug,Niet ingevuld,Niet ingevuld,"MULTIPOLYGON (((181185.367 505714.475, 181184.32 505714.181, 181183.963 505714.076, 181184.04 505713.815, 181184.767 505711.334, 181186.697 505704.743, 181187.452 505702.165, 181187.823 505702.273, 181188.843 505702.568, 181191.712 505703.398, 181192.46 505703.615, 181194.892 505704.318, 181199.57 505705.671, 181201.072 505706.106, 181216.814 505710.66, 181218.249 505711.075, 181223.539 505712.606, 181229.098 505714.216, 181229.721 505714.394, 181230.068 505714.495, 181230.055 505714.538, 181229.977 505714.805, 181229.302 505717.113, 181227.365 505723.739, 181226.68 505726.085, 181226.57 505726.46, 181226.228 505726.36, 181225.71 505726.199, 181224.166 505725.75, 181220.055 505724.556, 181214.812 505723.032, 181213.298 505722.592, 181197.596 505718.029, 181196.107 505717.596, 181191.476 505716.25, 181188.991 505715.528, 181188.241 505715.31, 181185.367 505714.475)))"
O10002_GBI_Wegen_en_bruggen.37,Niet ingevuld,overbrugging vlak,Brug,Niet ingevuld,Niet ingevuld,"MULTIPOLYGON (((175961.942 504120.124, 175962.778 504117.453, 175962.818 504117.326, 175967.992 504100.797, 175968.448 504099.34, 175968.642 504098.721, 175968.919 504098.806, 175970.225 504099.212, 175976.219 504101.077, 175976.905 504101.29, 175980.011 504102.257, 175980.284 504102.338, 175980.09 504102.962, 175977.939 504109.843, 175974.401 504121.138, 175973.565 504123.805, 175972.542 504127.073, 175971.31 504131.006, 175960.86 504164.366, 175958.798 504170.947, 175958.365 504172.331, 175957.451 504175.248, 175956.274 504179.007, 175956.079 504179.628, 175955.803 504179.541, 175952.704 504178.573, 175952.006 504178.354, 175946.179 504176.534, 175944.73 504176.081, 175944.454 504175.994, 175944.648 504175.375, 175946.674 504168.901, 175947.107 504167.518, 175947.145 504167.397, 175948.896 504161.801, 175949.223 504160.757, 175959.745 504127.143, 175960.6 504124.41, 175961.942 504120.124)))"
O10002_GBI_Wegen_en_bruggen.38,Niet ingevuld,overbrugging vlak,Brug,Niet ingevuld,Niet ingevuld,"MULTIPOLYGON (((172115.002 510680.825, 172115.398 510680.934, 172115.26 510681.436, 172113.948 510686.217, 172112.567 510691.25, 172110.077 510700.428, 172108.604 510705.83, 172107.361 510710.389, 172107.26 510710.759, 172106.97 510710.669, 172106.867 510710.637, 172109.562 510700.762, 172100.857 510698.309, 172098.175 510708.187, 172097.996 510708.142, 172097.75 510708.079, 172097.831 510707.783, 172099.144 510702.983, 172100.575 510697.75, 172103.069 510688.577, 172104.439 510683.519, 172105.696 510678.877, 172105.846 510678.323, 172106.256 510678.425, 172103.631 510688.091, 172112.349 510690.548, 172115.002 510680.825)))"
O10002_GBI_Wegen_en_bruggen.39,Niet ingevuld,overbrugging vlak,Brug,Niet ingevuld,Niet ingevuld,"MULTIPOLYGON (((183115.253 505404.485, 183116.445 505404.485, 183116.445 505408.485, 183115.259 505408.485, 183104.943 505408.483, 183104.403 505408.482, 183104.382 505404.482, 183104.943 505404.483, 183115.253 505404.485)))"
O10002_GBI_Wegen_en_bruggen.40,Niet ingevuld,overbrugging vlak,Brug,Niet ingevuld,Niet ingevuld,"MULTIPOLYGON (((181131.044 504544.592, 181108.749 504549.394, 181106.058 504549.974, 181105.025 504550.197, 181101.652 504550.923, 181101.651 504550.923, 181100.722 504551.123, 181100.721 504551.123, 181095.86 504552.181, 181095.567 504552.244, 181095.504 504551.951, 181094.775 504548.569, 181094.712 504548.275, 181095.005 504548.212, 181099.911 504547.165, 181099.92 504547.163, 181100.817 504546.971, 181100.824 504546.969, 181104.096 504546.264, 181105.234 504546.019, 181107.891 504545.446, 181130.461 504540.584, 181133.532 504539.923, 181138.491 504538.855, 181139.256 504538.69, 181143.497 504537.766, 181143.79 504537.703, 181143.853 504537.996, 181144.582 504541.378, 181144.645 504541.672, 181144.352 504541.735, 181140.048 504542.652, 181139.329 504542.807, 181134.02 504543.95, 181131.044 504544.592)))"
O10002_GBI_Wegen_en_bruggen.41,Niet ingevuld,overbrugging vlak,Brug,Niet ingevuld,Niet ingevuld,"MULTIPOLYGON (((174600.485 495933.03, 174623.855 495968.356, 174622.717 495969.099, 174599.332 495933.796, 174600.485 495933.03)))"
O10002_GBI_Wegen_en_bruggen.42,Niet ingevuld,overbrugging vlak,Brug,Niet ingevuld,Niet ingevuld,"MULTIPOLYGON (((175373.469 503924.979, 175373.573 503924.543, 175381.585 503926.852, 175390.231 503928.982, 175399.456 503930.482, 175399.351 503930.981, 175398.919 503932.952, 175398.743 503933.649, 175389.49 503930.968, 175382.065 503929.172, 175372.813 503927.684, 175372.999 503926.918, 175373.469 503924.979)))"
O10002_GBI_Wegen_en_bruggen.43,Niet ingevuld,overbrugging vlak,Brug,Niet ingevuld,Niet ingevuld,"MULTIPOLYGON (((172080.215 508655.183, 172093.544 508634.24, 172093.592 508634.164, 172096.358 508635.922, 172096.337 508635.957, 172082.894 508656.868, 172080.215 508655.183)))"
O10002_GBI_Wegen_en_bruggen.44,Niet ingevuld,overbrugging vlak,Brug,Niet ingevuld,Niet ingevuld,"MULTIPOLYGON (((177315.395 504608.27, 177315.316 504608.058, 177314.621 504606.221, 177314.521 504605.952, 177314.985 504605.894, 177317.064 504605.69, 177319.559 504605.445, 177322.758 504605.132, 177334.356 504603.994, 177335.616 504603.871, 177338.024 504603.635, 177340.143 504603.427, 177340.641 504603.386, 177340.743 504603.66, 177341.406 504605.471, 177341.483 504605.677, 177346.646 504619.541, 177347.128 504620.834, 177347.228 504621.102, 177346.767 504621.166, 177344.644 504621.4, 177342.301 504621.659, 177341.01 504621.801, 177334.314 504622.54, 177332.659 504622.722, 177328.799 504623.148, 177326.253 504623.429, 177323.747 504623.705, 177321.711 504623.93, 177321.236 504623.975, 177321.134 504623.701, 177315.395 504608.27)))"
O10002_GBI_Wegen_en_bruggen.45,Niet ingevuld,overbrugging vlak,Brug,Niet ingevuld,Niet ingevuld,"MULTIPOLYGON (((174994.178 504187.123, 175018.047 504192.151, 175017.591 504194.455, 174993.671 504189.41, 174994.178 504187.123)))"
O10002_GBI_Wegen_en_bruggen.46,Niet ingevuld,overbrugging vlak,Brug,Niet ingevuld,Niet ingevuld,"MULTIPOLYGON (((175114.14 504070.751, 175107.397 504046.816, 175109.144 504046.323, 175115.887 504070.259, 175114.14 504070.751)))"
O10002_GBI_Wegen_en_bruggen.47,Niet ingevuld,overbrugging vlak,Brug,Niet ingevuld,Niet ingevuld,"MULTIPOLYGON (((178505.318 505701.478, 178503.773 505701.672, 178503.623 505701.674, 178502.602 505701.819, 178499.601 505702.243, 178496.171 505702.728, 178487.073 505704.015, 178486.924 505704.032, 178485.385 505704.185, 178485.302 505702.929, 178484.759 505692.981, 178484.709 505691.689, 178486.283 505691.419, 178486.433 505691.415, 178488.663 505691.112, 178502.924 505689.173, 178503.074 505689.167, 178504.7 505688.967, 178504.765 505690.281, 178505.256 505700.23, 178505.318 505701.478)))"
O10002_GBI_Wegen_en_bruggen.48,Niet ingevuld,overbrugging vlak,Brug,Niet ingevuld,Niet ingevuld,"MULTIPOLYGON (((175072.396 503949.111, 175072.012 503950.978, 175053.069 503946.434, 175053.484 503944.523, 175072.396 503949.111)))"
O10002_GBI_Wegen_en_bruggen.49,Niet ingevuld,overbrugging vlak,Brug,Niet ingevuld,Niet ingevuld,"MULTIPOLYGON (((175413.88 505516.195, 175414.166 505516.226, 175410.446 505557.071, 175407.671 505579.115, 175407.385 505579.084, 175403.933 505578.718, 175401.356 505578.445, 175401.052 505578.412, 175404.418 505538.719, 175407.563 505515.523, 175407.882 505515.557, 175410.45 505515.83, 175413.88 505516.195)))"
O10002_GBI_Wegen_en_bruggen.50,Niet ingevuld,overbrugging vlak,Brug,Niet ingevuld,Niet ingevuld,"MULTIPOLYGON (((173194.649 502750.541, 173203.413 502746.894, 173203.8 502746.733, 173205.214 502750.202, 173204.841 502750.352, 173195.97 502753.928, 173194.649 502750.541)))"
O10002_GBI_Wegen_en_bruggen.51,Niet ingevuld,overbrugging vlak,Brug,Niet ingevuld,Niet ingevuld,"MULTIPOLYGON (((177940.933 504493.164, 177943.146 504492.694, 177948.984 504520.148, 177949.502 504522.583, 177951.258 504530.838, 177949.04 504531.309, 177943.182 504503.748, 177942.623 504501.118, 177940.933 504493.164)))"
O10002_GBI_Wegen_en_bruggen.52,Niet ingevuld,overbrugging vlak,Brug,Niet ingevuld,Niet ingevuld,"MULTIPOLYGON (((171180.187 492063.205, 171180.481 492065.686, 171180.503 492065.87, 171135.658 492070.845, 171135.641 492070.639, 171135.399 492068.15, 171134.617 492061.194, 171134.344 492058.692, 171134.323 492058.502, 171179.119 492053.552, 171179.14 492053.743, 171179.419 492056.245, 171180.187 492063.205)))"
O10002_GBI_Wegen_en_bruggen.53,Niet ingevuld,overbrugging vlak,Brug,Niet ingevuld,Niet ingevuld,"MULTIPOLYGON (((175012.227 496257.27, 175012.202 496257.991, 174972.526 496256.643, 174972.559 496255.657, 174972.628 496253.634, 174972.985 496253.646, 175012.304 496254.982, 175012.297 496255.202, 175012.227 496257.27)))"
O10002_GBI_Wegen_en_bruggen.54,Niet ingevuld,overbrugging vlak,Brug,Niet ingevuld,Niet ingevuld,"MULTIPOLYGON (((175129.335 505487.065, 175135.812 505487.726, 175136.511 505487.794, 175140.017 505488.135, 175140.116 505487.468, 175140.661 505487.539, 175140.316 505504.735, 175138.83 505507.584, 175138.045 505515.413, 175138.834 505518.048, 175135.759 505535.201, 175135.193 505535.131, 175135.246 505534.411, 175131.762 505534.039, 175131.055 505533.964, 175124.543 505533.268, 175121.88 505532.984, 175121.789 505533.746, 175121.704 505533.739, 175121.222 505533.699, 175121.693 505516.272, 175123.045 505513.627, 175123.838 505505.933, 175123.043 505503.082, 175126.163 505485.923, 175126.731 505485.997, 175126.655 505486.731, 175129.335 505487.065)))"
O10002_GBI_Wegen_en_bruggen.55,Niet ingevuld,overbrugging vlak,Brug,Niet ingevuld,Niet ingevuld,"MULTIPOLYGON (((172419.209 508927.9, 172398.23 508943.827, 172396.92 508942.22, 172396.726 508941.983, 172417.883 508926.059, 172419.209 508927.9)))"
O10002_GBI_Wegen_en_bruggen.56,Niet ingevuld,overbrugging vlak,Brug,Niet ingevuld,Niet ingevuld,"MULTIPOLYGON (((171063.909 489911.863, 171063.533 489908.723, 171063.446 489907.99, 171062.323 489898.607, 171062.205 489897.614, 171061.902 489895.076, 171063.376 489894.9, 171063.68 489897.449, 171063.799 489898.442, 171064.916 489907.781, 171065.004 489908.516, 171065.383 489911.687, 171063.909 489911.863)))"
O10002_GBI_Wegen_en_bruggen.57,Niet ingevuld,overbrugging vlak,Brug,Niet ingevuld,Niet ingevuld,"MULTIPOLYGON (((176468.779 496056.648, 176468.651 496056.871, 176467.783 496058.379, 176454.664 496051.069, 176455.497 496049.566, 176455.628 496049.33, 176468.779 496056.648)))"
O10002_GBI_Wegen_en_bruggen.58,Niet ingevuld,overbrugging vlak,Brug,Niet ingevuld,Niet ingevuld,"MULTIPOLYGON (((176458.002 496044.963, 176459.951 496041.513, 176473.123 496048.743, 176472.997 496048.972, 176471.144 496052.338, 176458.002 496044.963)))"
O10002_GBI_Wegen_en_bruggen.59,Niet ingevuld,overbrugging vlak,Brug,Niet ingevuld,Niet ingevuld,"MULTIPOLYGON (((174041.822 506567.702, 174034.419 506569.908, 174033.127 506570.293, 174032.787 506569.785, 174032.579 506569.474, 174032.557 506569.442, 174024.685 506557.68, 174024.332 506557.153, 174024.231 506557.003, 174025.409 506556.648, 174032.945 506554.379, 174034.103 506554.03, 174034.388 506554.454, 174034.676 506554.883, 174042.56 506566.612, 174042.776 506566.933, 174043.042 506567.338, 174041.822 506567.702)))"
O10002_GBI_Wegen_en_bruggen.60,Niet ingevuld,overbrugging vlak,Brug,Niet ingevuld,Niet ingevuld,"MULTIPOLYGON (((180379.576 495313.687, 180379.7 495313.51, 180395.26 495324.24, 180395.028 495324.578, 180393.635 495326.61, 180393.45 495326.88, 180377.87 495316.12, 180379.576 495313.687)))"
