OBJECTID,pandstatus,bouwjaar,energielab
97,Pand in gebruik,1929,geen label
98,Pand in gebruik,1917,geen label
99,Pand in gebruik,1900,geen label
100,Pand in gebruik,1965,geen label
101,Pand in gebruik,1900,D
102,Pand in gebruik,1932,geen label
103,Pand in gebruik,1960,geen label
104,Pand in gebruik,1960,geen label
105,Pand in gebruik,1974,geen label
106,Pand in gebruik,1965,geen label
107,Pand in gebruik,1968,G
108,Pand in gebruik,1920,geen label
109,Pand in gebruik,1700,geen label
110,Pand in gebruik,1965,E
111,Pand in gebruik,1921,geen label
112,Pand in gebruik,1966,geen label
113,Pand in gebruik,1933,geen label
114,Pand in gebruik,1957,geen label
115,Pand in gebruik,1902,geen label
116,Pand in gebruik,1969,D
117,Pand in gebruik,1915,geen label
118,Pand in gebruik,1912,geen label
119,Pand in gebruik,1921,geen label
120,Pand in gebruik,1965,F
121,Pand in gebruik,1930,geen label
122,Pand in gebruik,1925,geen label
123,Pand in gebruik,1889,geen label
124,Pand in gebruik,1983,G
125,Pand in gebruik,1932,A+
126,Pand in gebruik,1915,geen label
127,Pand in gebruik,1894,geen label
128,Pand in gebruik,1957,geen label
129,Pand in gebruik,1900,geen label
130,Pand in gebruik,1850,geen label
131,Pand in gebruik,1893,geen label
132,Pand in gebruik,1870,geen label
133,Pand in gebruik,1966,geen label
134,Pand in gebruik,1968,geen label
135,Pand in gebruik,1980,E
136,Pand in gebruik,1973,F
137,Pand in gebruik,1972,geen label
138,Pand in gebruik,1955,geen label
139,Pand in gebruik,1962,geen label
140,Pand in gebruik,1939,geen label
141,Pand in gebruik,1930,geen label
142,Pand in gebruik,1895,geen label
143,Pand in gebruik,1889,geen label
144,Pand in gebruik,1924,geen label
145,Pand in gebruik,1957,geen label
146,Pand in gebruik,1957,geen label
147,Pand in gebruik,1893,geen label
148,Pand in gebruik,1938,geen label
149,Pand in gebruik,1900,geen label
150,Pand in gebruik,1976,E
151,Pand in gebruik,1894,geen label
152,Pand in gebruik,1975,geen label
153,Pand in gebruik,1879,geen label
154,Pand in gebruik,1660,geen label
155,Pand in gebruik,1924,geen label
156,Pand in gebruik,1917,geen label
157,Pand in gebruik,1825,geen label
158,Pand in gebruik,1875,geen label
159,Pand in gebruik,1810,geen label
160,Pand in gebruik,1907,geen label
161,Pand in gebruik,1923,geen label
162,Pand in gebruik,1930,geen label
163,Pand in gebruik,1938,geen label
164,Pand in gebruik,1930,geen label
165,Pand in gebruik,1894,geen label
166,Pand in gebruik,1916,geen label
167,Pand in gebruik,1956,G
168,Pand in gebruik,1922,geen label
169,Pand in gebruik,1957,geen label
170,Pand in gebruik,1976,geen label
171,Pand in gebruik,1917,geen label
172,Pand in gebruik,1917,geen label
173,Pand in gebruik,1978,E
174,Pand in gebruik,1951,geen label
175,Pand in gebruik,1951,geen label
176,Pand in gebruik,1958,G
177,Pand in gebruik,1913,geen label
178,Pand in gebruik,1965,F
179,Pand in gebruik,1976,F
180,Pand in gebruik,1917,geen label
181,Pand in gebruik,1968,F
182,Pand in gebruik,1989,geen label
183,Pand in gebruik,1924,geen label
184,Pand in gebruik,1850,geen label
185,Pand in gebruik,1929,geen label
186,Pand in gebruik,1911,geen label
187,Pand in gebruik,1905,geen label
188,Pand in gebruik,1965,geen label
189,Pand in gebruik,1900,geen label
190,Pand in gebruik,1906,geen label
191,Pand in gebruik,1978,E
192,Pand in gebruik,1927,E
193,Pand in gebruik,1900,geen label
194,Pand in gebruik,1975,D
195,Pand in gebruik,1938,geen label
196,Pand in gebruik,1929,geen label
197,Pand in gebruik,1975,F
198,Pand in gebruik,1969,F
199,Pand in gebruik,1912,geen label
200,Pand in gebruik,1925,geen label
201,Pand in gebruik,1920,geen label
202,Pand in gebruik,1960,geen label
203,Pand in gebruik,1935,geen label
204,Pand in gebruik,1938,geen label
205,Pand in gebruik,1964,geen label
206,Pand in gebruik,1923,geen label
207,Pand in gebruik,1920,geen label
208,Pand in gebruik,1960,F
209,Pand in gebruik,1920,geen label
210,Pand in gebruik,1957,E
211,Pand in gebruik,1921,geen label
212,Pand in gebruik,1909,geen label
213,Pand in gebruik,1926,geen label
214,Pand in gebruik,2009,geen label
215,Pand in gebruik,1967,geen label
216,Pand in gebruik,1977,geen label
217,Pand in gebruik,1922,C
218,Pand in gebruik,1974,E
219,Pand in gebruik,1971,geen label
220,Pand in gebruik,1966,geen label
221,Pand in gebruik,1525,geen label
222,Pand in gebruik,1968,geen label
223,Pand in gebruik,1970,E
224,Pand in gebruik,1920,geen label
225,Pand in gebruik,1928,geen label
226,Pand in gebruik,1974,geen label
227,Pand in gebruik,1930,geen label
228,Pand in gebruik,1931,G
229,Pand in gebruik,1932,geen label
230,Pand in gebruik,1966,E
231,Pand in gebruik,1895,geen label
232,Pand in gebruik,1860,G
233,Pand in gebruik,1899,geen label
234,Pand in gebruik,1977,E
235,Pand in gebruik,1969,geen label
236,Pand in gebruik,1983,D
237,Pand in gebruik,1965,D
238,Pand in gebruik,1860,geen label
239,Pand in gebruik,1902,geen label
240,Pand in gebruik,1936,geen label
241,Pand in gebruik,1956,geen label
242,Pand in gebruik,1957,G
243,Pand in gebruik,1993,geen label
244,Pand in gebruik,1969,E
245,Pand in gebruik,1937,geen label
246,Pand in gebruik,1909,geen label
247,Pand in gebruik,1860,geen label
248,Pand in gebruik,1955,E
249,Pand in gebruik,1893,geen label
250,Pand in gebruik,1775,geen label
251,Pand in gebruik,1914,geen label
252,Pand in gebruik,1963,G
253,Pand in gebruik,1957,geen label
254,Pand in gebruik,1636,geen label
255,Pand in gebruik,1860,geen label
256,Pand in gebruik,1900,geen label
257,Pand in gebruik,1930,geen label
258,Pand in gebruik,1975,C
259,Pand in gebruik,1860,geen label
260,Pand in gebruik,1907,geen label
261,Pand in gebruik,1902,G
262,Pand in gebruik,1976,E
263,Pand in gebruik,1961,F
264,Pand in gebruik,1968,F
265,Pand in gebruik,1975,F
266,Pand in gebruik,1875,geen label
267,Pand in gebruik,1911,geen label
268,Pand in gebruik,1894,geen label
269,Pand in gebruik,1991,geen label
270,Pand in gebruik,1908,geen label
271,Pand in gebruik,1937,geen label
272,Pand in gebruik,1700,geen label
273,Pand in gebruik,1966,E
274,Pand in gebruik,1930,geen label
275,Pand in gebruik,1900,geen label
276,Pand in gebruik,1904,geen label
277,Pand in gebruik,1900,geen label
278,Pand in gebruik,2000,C
279,Pand in gebruik,1936,geen label
280,Pand in gebruik,1914,geen label
281,Pand in gebruik,1993,C
282,Pand in gebruik,1919,D
283,Pand in gebruik,1900,geen label
284,Pand in gebruik,1978,geen label
285,Pand in gebruik,1968,F
286,Pand in gebruik,1933,geen label
287,Pand in gebruik,1971,F
288,Pand in gebruik,1964,G
289,Pand in gebruik,1971,geen label
290,Pand in gebruik,1974,geen label
291,Pand in gebruik,1900,geen label
292,Pand in gebruik,1965,geen label
293,Pand in gebruik,1967,F
294,Pand in gebruik,1966,E
295,Pand in gebruik,1878,geen label
296,Pand in gebruik,1907,geen label
297,Pand in gebruik,1964,geen label
298,Pand in gebruik,1860,geen label
299,Pand in gebruik,1929,geen label
300,Pand in gebruik,1900,geen label
301,Pand in gebruik,1913,geen label
302,Pand in gebruik,1907,geen label
303,Pand in gebruik,1956,geen label
304,Pand in gebruik,1910,geen label
305,Pand in gebruik,1978,geen label
306,Pand in gebruik,1998,B
307,Pand in gebruik,1900,geen label
308,Pand in gebruik,1968,G
309,Pand in gebruik,1949,G
310,Pand in gebruik,1930,geen label
311,Pand in gebruik,1929,geen label
312,Pand in gebruik,1904,geen label
313,Pand in gebruik,1965,geen label
314,Pand in gebruik,1957,geen label
315,Pand in gebruik,1985,geen label
316,Pand in gebruik,1924,geen label
317,Pand in gebruik,1963,geen label
318,Pand in gebruik,1879,geen label
319,Pand in gebruik,1880,geen label
320,Pand in gebruik,1817,geen label
321,Pand in gebruik,1977,E
322,Pand in gebruik,1976,geen label
323,Pand in gebruik,1934,geen label
324,Pand in gebruik (niet ingemeten),2011,geen label
325,Pand in gebruik,1985,geen label
326,Pand in gebruik,1956,geen label
327,Pand in gebruik,1825,geen label
328,Pand in gebruik,1959,G
329,Pand in gebruik,1929,geen label
330,Pand in gebruik,1923,geen label
331,Pand in gebruik,1959,E
332,Pand in gebruik,1917,geen label
333,Pand in gebruik,1964,F
334,Pand in gebruik,1900,geen label
335,Pand in gebruik,1923,geen label
336,Pand in gebruik,1933,geen label
337,Pand in gebruik,1875,geen label
338,Pand in gebruik,1958,geen label
339,Pand in gebruik,1885,geen label
340,Pand in gebruik,1907,geen label
341,Pand in gebruik,1903,geen label
342,Pand in gebruik,1982,E
343,Pand in gebruik,1915,geen label
344,Pand in gebruik,1972,E
345,Pand in gebruik,1707,geen label
346,Pand in gebruik,1966,geen label
347,Pand in gebruik,1957,E
348,Pand in gebruik,1975,geen label
349,Pand in gebruik,1972,geen label
350,Pand in gebruik,1900,geen label
351,Pand in gebruik,1900,geen label
352,Pand in gebruik,1925,geen label
353,Pand in gebruik,1905,geen label
354,Pand in gebruik,1976,E
355,Pand in gebruik,1938,geen label
356,Pand in gebruik,1968,G
357,Pand in gebruik,1892,geen label
358,Pand in gebruik,1914,geen label
359,Pand in gebruik,1886,geen label
360,Pand in gebruik,1951,geen label
361,Pand in gebruik,1912,geen label
362,Pand in gebruik,1981,geen label
363,Pand in gebruik,1912,geen label
364,Pand in gebruik,1907,geen label
365,Pand in gebruik,1923,geen label
366,Pand in gebruik,1974,geen label
367,Pand in gebruik,1978,geen label
368,Pand in gebruik,1894,geen label
369,Pand in gebruik,1984,geen label
370,Pand in gebruik,1969,D
371,Pand in gebruik,1966,F
372,Pand in gebruik,1971,geen label
373,Pand in gebruik,1950,geen label
374,Pand in gebruik,1954,G
375,Pand in gebruik,1910,geen label
376,Pand in gebruik,1933,geen label
377,Pand in gebruik,1978,D
378,Pand in gebruik,1911,geen label
379,Pand in gebruik,1993,geen label
380,Pand in gebruik,1900,geen label
381,Pand in gebruik,1900,geen label
382,Pand in gebruik,1974,geen label
383,Pand in gebruik,1955,geen label
384,Pand in gebruik,1962,geen label
385,Pand in gebruik,1926,geen label
386,Pand in gebruik,1938,geen label
387,Pand in gebruik,1962,geen label
388,Pand in gebruik,1966,geen label
389,Pand in gebruik,1906,geen label
390,Pand in gebruik,1895,geen label
391,Pand in gebruik,1909,geen label
392,Pand in gebruik,1974,geen label
393,Pand in gebruik,1914,geen label
394,Pand in gebruik,1966,geen label
395,Pand in gebruik,1926,geen label
396,Pand in gebruik,1952,F
397,Pand in gebruik,1900,geen label
398,Pand in gebruik,1976,E
399,Pand in gebruik,1900,geen label
400,Pand in gebruik,1902,geen label
401,Pand in gebruik,1974,G
402,Pand in gebruik,1937,geen label
403,Pand in gebruik,1905,geen label
404,Pand in gebruik,1963,geen label
405,Pand in gebruik,1935,geen label
406,Pand in gebruik,1913,geen label
407,Pand in gebruik,1962,geen label
408,Pand in gebruik,1966,E
409,Pand in gebruik,1977,D
410,Pand in gebruik,1957,geen label
411,Pand in gebruik,1935,geen label
412,Pand in gebruik,1933,geen label
413,Pand in gebruik,1997,C
414,Pand in gebruik,1933,geen label
415,Pand in gebruik,1930,geen label
416,Pand in gebruik,1893,geen label
417,Pand in gebruik,1965,G
418,Pand in gebruik,1956,geen label
419,Pand in gebruik,1902,geen label
420,Pand in gebruik,1972,F
421,Pand in gebruik,1909,geen label
422,Pand in gebruik,1955,geen label
423,Pand in gebruik,1900,geen label
424,Pand in gebruik,1893,geen label
425,Pand in gebruik,1973,geen label
426,Pand in gebruik,1991,geen label
427,Pand in gebruik,1924,geen label
428,Pand in gebruik,1977,geen label
429,Pand in gebruik,1960,geen label
430,Pand in gebruik,1905,geen label
431,Pand in gebruik,1900,geen label
432,Pand in gebruik,1900,D
433,Pand in gebruik,1860,geen label
434,Pand in gebruik,1959,G
435,Pand in gebruik,1981,geen label
436,Pand in gebruik,1933,geen label
437,Pand in gebruik,1976,E
438,Pand in gebruik,1962,geen label
439,Pand in gebruik,1973,F
440,Pand in gebruik,1991,C
441,Pand in gebruik,1965,geen label
442,Pand in gebruik,1914,geen label
443,Pand in gebruik,1915,geen label
444,Pand in gebruik,1971,G
445,Pand in gebruik,1956,geen label
446,Pand in gebruik,1935,geen label
447,Pand in gebruik,1978,E
448,Pand in gebruik,1938,geen label
449,Pand in gebruik,1927,geen label
450,Pand in gebruik,1911,geen label
451,Pand in gebruik,1914,geen label
452,Pand in gebruik,1909,F
453,Pand in gebruik,1924,geen label
454,Pand in gebruik,1900,geen label
455,Pand in gebruik,1910,G
456,Pand in gebruik,1966,geen label
457,Pand in gebruik,1970,geen label
458,Pand in gebruik,1860,geen label
459,Pand in gebruik,1908,geen label
460,Pand in gebruik,1975,F
461,Pand in gebruik,1984,E
462,Pand in gebruik,1880,F
463,Pand in gebruik,1886,geen label
464,Pand in gebruik,1968,F
465,Pand in gebruik,1927,geen label
466,Pand in gebruik,1926,geen label
467,Pand in gebruik,1960,geen label
468,Bouw gestart,2009,geen label
469,Pand in gebruik,1966,geen label
470,Pand in gebruik,1957,F
471,Pand in gebruik,1964,F
472,Pand in gebruik,1976,geen label
473,Pand in gebruik,1924,geen label
474,Pand in gebruik,1939,geen label
475,Sloopvergunning verleend,1958,G
476,Pand in gebruik,1600,geen label
477,Pand in gebruik,1925,geen label
478,Pand in gebruik,1952,geen label
479,Pand in gebruik,1984,E
480,Pand in gebruik,1952,geen label
481,Pand in gebruik,1963,E
482,Pand in gebruik,1905,geen label
483,Pand in gebruik,1961,E
484,Pand in gebruik,1913,geen label
485,Pand in gebruik,1963,E
486,Pand in gebruik,1971,F
487,Pand in gebruik,1911,geen label
488,Pand in gebruik,1918,geen label
489,Pand in gebruik,1985,D
490,Pand in gebruik,1930,geen label
491,Pand in gebruik,1978,E
492,Pand in gebruik,1993,geen label
493,Pand in gebruik,1980,geen label
494,Pand in gebruik,1966,geen label
495,Pand in gebruik,1905,geen label
496,Pand in gebruik,1968,E
497,Pand in gebruik,1879,geen label
498,Pand in gebruik,1894,geen label
499,Pand in gebruik,1899,geen label
500,Pand in gebruik,1780,geen label
501,Pand in gebruik,1909,geen label
502,Pand in gebruik,1616,geen label
503,Pand in gebruik,1933,geen label
504,Pand in gebruik,1908,geen label
505,Pand in gebruik,1922,geen label
506,Pand in gebruik,1963,geen label
507,Pand in gebruik,1979,geen label
508,Pand in gebruik,1961,geen label
509,Pand in gebruik,1938,geen label
510,Pand in gebruik,1675,geen label
511,Pand in gebruik,1850,geen label
512,Pand in gebruik,1863,F
513,Pand in gebruik,1998,B
514,Pand in gebruik,1922,geen label
515,Pand in gebruik,1965,F
516,Pand in gebruik,1906,geen label
517,Pand in gebruik,1966,geen label
518,Pand in gebruik,1860,D
519,Pand in gebruik,1890,geen label
520,Pand in gebruik,1975,F
521,Pand in gebruik,1950,geen label
522,Pand in gebruik,1965,geen label
523,Pand in gebruik,1959,E
524,Pand in gebruik,1956,geen label
525,Pand in gebruik,1930,geen label
526,Pand in gebruik,1894,geen label
527,Pand in gebruik,1900,geen label
528,Pand in gebruik,1928,geen label
529,Pand in gebruik,1904,geen label
530,Pand in gebruik,1978,C
531,Pand in gebruik,1882,geen label
532,Pand in gebruik,1907,geen label
533,Pand in gebruik,1961,G
534,Pand in gebruik,2007,geen label
535,Pand in gebruik,1915,geen label
536,Pand in gebruik,1966,geen label
537,Pand in gebruik (niet ingemeten),2010,geen label
538,Pand in gebruik,1933,geen label
539,Pand in gebruik,1929,geen label
540,Pand in gebruik,1982,geen label
541,Pand in gebruik,1953,G
542,Pand in gebruik,1937,geen label
543,Pand in gebruik,1930,geen label
544,Pand in gebruik,1965,geen label
545,Pand in gebruik,1918,geen label
546,Pand in gebruik,1914,geen label
547,Pand in gebruik,1883,geen label
548,Pand in gebruik,1910,geen label
549,Pand in gebruik,1976,E
550,Pand in gebruik,1966,geen label
551,Pand in gebruik,1962,geen label
552,Pand in gebruik,1860,geen label
553,Pand in gebruik,1930,D
554,Pand in gebruik,1922,geen label
555,Pand in gebruik,1926,geen label
556,Pand in gebruik,1900,geen label
557,Pand in gebruik,1967,F
558,Pand in gebruik,1926,A+
559,Pand in gebruik,1859,geen label
560,Pand in gebruik,1870,geen label
561,Pand in gebruik,1750,geen label
562,Pand in gebruik,1963,geen label
563,Pand in gebruik,1915,geen label
564,Pand in gebruik,1968,G
565,Pand in gebruik,1961,F
566,Pand in gebruik,1962,E
567,Pand in gebruik,1906,geen label
568,Pand in gebruik,1923,geen label
569,Pand in gebruik,1675,geen label
570,Pand in gebruik,1953,geen label
571,Pand in gebruik,1800,geen label
572,Pand in gebruik,1974,geen label
573,Pand in gebruik,1988,F
574,Pand in gebruik,1880,geen label
575,Pand in gebruik,1974,geen label
576,Pand in gebruik,1895,E
577,Pand in gebruik,1900,geen label
578,Pand in gebruik,1972,geen label
579,Pand in gebruik,1964,geen label
580,Pand in gebruik,1958,geen label
581,Pand in gebruik,1957,geen label
582,Pand in gebruik,1957,geen label
583,Pand in gebruik,1675,geen label
584,Pand in gebruik,1966,F
585,Pand in gebruik,1860,geen label
586,Pand in gebruik,1981,D
587,Pand in gebruik,1980,geen label
588,Pand in gebruik,1907,geen label
589,Pand in gebruik,1978,geen label
590,Pand in gebruik,1961,F
591,Pand in gebruik,1920,geen label
592,Pand in gebruik,1978,geen label
593,Pand in gebruik,1913,geen label
594,Pand in gebruik,1895,D
595,Pand in gebruik,1980,G
596,Pand in gebruik,1921,geen label
597,Pand in gebruik,1986,E
598,Pand in gebruik (niet ingemeten),2011,geen label
599,Pand in gebruik,1974,geen label
600,Pand in gebruik,1984,E
601,Pand in gebruik,1905,geen label
602,Pand in gebruik,1928,geen label
603,Pand in gebruik,1924,geen label
604,Pand in gebruik,1972,geen label
605,Pand in gebruik,1902,geen label
606,Pand in gebruik,1700,geen label
607,Pand in gebruik,1973,geen label
608,Pand in gebruik,1965,geen label
609,Pand in gebruik,1927,geen label
610,Pand in gebruik,1960,G
611,Pand in gebruik,1956,geen label
612,Pand in gebruik,1920,geen label
613,Pand in gebruik,1900,geen label
614,Pand in gebruik,1616,geen label
615,Pand in gebruik,1966,geen label
616,Pand in gebruik,1956,G
617,Pand in gebruik,1900,E
618,Pand in gebruik,1859,geen label
619,Pand in gebruik,1978,E
620,Pand in gebruik,1920,geen label
621,Pand in gebruik,1923,geen label
622,Pand in gebruik,1965,G
623,Pand in gebruik,1966,geen label
624,Pand in gebruik,1900,geen label
625,Pand in gebruik,1904,geen label
626,Pand in gebruik,1897,geen label
627,Pand in gebruik,1900,geen label
628,Pand in gebruik,1904,geen label
629,Pand in gebruik,1892,geen label
630,Pand in gebruik,1975,C
631,Pand in gebruik,1870,geen label
632,Pand in gebruik,1919,geen label
633,Pand in gebruik,1882,geen label
634,Pand in gebruik,1900,geen label
635,Pand in gebruik,1909,geen label
636,Pand in gebruik,1976,geen label
637,Pand in gebruik,1938,geen label
638,Pand in gebruik,1872,geen label
639,Pand in gebruik,1887,geen label
640,Pand in gebruik,1980,F
641,Pand in gebruik,1938,geen label
642,Pand in gebruik,1966,geen label
643,Pand in gebruik,1950,geen label
644,Pand in gebruik,1965,geen label
645,Pand in gebruik,1892,geen label
646,Pand in gebruik,1900,geen label
647,Pand in gebruik,1951,geen label
648,Pand in gebruik,1923,geen label
649,Pand in gebruik,1937,geen label
650,Pand in gebruik,1959,geen label
651,Pand in gebruik,1893,geen label
652,Pand in gebruik,1962,geen label
653,Pand in gebruik,1930,geen label
654,Pand in gebruik,1960,geen label
655,Pand in gebruik,1875,geen label
656,Pand in gebruik,1958,G
657,Pand in gebruik,1975,geen label
658,Pand in gebruik,1962,geen label
659,Pand in gebruik,1955,geen label
660,Pand in gebruik,1850,geen label
661,Pand in gebruik,1962,geen label
662,Pand in gebruik,1929,geen label
663,Pand in gebruik,1930,geen label
664,Pand in gebruik,1959,E
665,Pand in gebruik,2007,geen label
666,Pand in gebruik,1991,C
667,Pand in gebruik,1969,G
668,Pand in gebruik,1920,geen label
669,Pand in gebruik,1913,geen label
670,Pand in gebruik,1966,G
671,Pand in gebruik,1958,geen label
672,Pand in gebruik,1860,geen label
673,Pand in gebruik,1900,geen label
674,Pand in gebruik,1916,geen label
675,Pand in gebruik,2008,geen label
676,Pand in gebruik,1900,geen label
677,Pand in gebruik,1984,E
678,Pand in gebruik,1907,geen label
679,Pand in gebruik,1960,geen label
680,Pand in gebruik,1917,geen label
681,Pand in gebruik,1900,geen label
682,Pand in gebruik,1928,geen label
683,Pand in gebruik,1959,E
684,Pand in gebruik,1905,geen label
685,Pand in gebruik,1957,geen label
686,Pand in gebruik,1957,geen label
687,Pand in gebruik,1923,geen label
688,Pand in gebruik,1900,geen label
689,Pand in gebruik,1929,geen label
690,Pand in gebruik,1864,geen label
691,Pand in gebruik,1957,geen label
692,Sloopvergunning verleend,1958,G
693,Pand in gebruik,1917,geen label
694,Pand in gebruik,1974,geen label
695,Pand in gebruik,1912,geen label
696,Pand in gebruik,1931,geen label
697,Pand in gebruik,1971,F
698,Pand in gebruik,1971,geen label
699,Pand in gebruik,1906,geen label
700,Pand in gebruik,1962,D
701,Pand in gebruik,1907,geen label
702,Pand in gebruik,1890,geen label
703,Pand in gebruik,1960,G
704,Pand in gebruik,2003,geen label
705,Pand in gebruik,1895,D
706,Pand in gebruik,1966,geen label
707,Pand in gebruik,1969,geen label
708,Pand in gebruik,1978,D
709,Pand in gebruik,1917,geen label
710,Pand in gebruik,1903,geen label
711,Pand in gebruik,1957,geen label
712,Pand in gebruik,1966,F
713,Pand in gebruik,1965,geen label
714,Pand in gebruik,1956,geen label
715,Pand in gebruik,1922,D
716,Pand in gebruik,1912,geen label
717,Pand in gebruik,1860,geen label
718,Pand in gebruik,1890,geen label
719,Pand in gebruik,1938,geen label
720,Pand in gebruik,1700,geen label
721,Pand in gebruik,1957,geen label
722,Pand in gebruik,1978,geen label
723,Pand in gebruik,1965,geen label
724,Pand in gebruik,1991,C
725,Pand in gebruik,1917,geen label
726,Pand in gebruik,1929,geen label
727,Pand in gebruik,1912,geen label
728,Pand in gebruik,2008,D
729,Pand in gebruik,1900,geen label
730,Pand in gebruik,1928,geen label
731,Pand in gebruik,1906,geen label
