FID,mirtnr,mirtnrid,project,omschr,onderwerp,gebied,fase,ministerie,besluit,startreal,oplevering,f_mln,gdb_geomattr_data,shape
mirt2021_punten_modaliteit.23,454,45401,Emplacement Den Haag Centraal, ,Spoorwegen personen,Zuidwest-Nederland,Planuitwerking,IenW, ,2020,2023-2025,66,,POINT (82134.74060000107 455297.76359999925)
mirt2021_punten_modaliteit.24,399,39902,Breda Centraal (t.b.v. Nieuw Sleutelproject),Den Haag CS,Spoorwegen personen,Zuid-Nederland,Realisatie,IenW/BZK, ,2012,2022,111,,POINT (82134.74060000107 455297.76359999925)
mirt2021_punten_modaliteit.25,399,39903,Breda Centraal (t.b.v. Nieuw Sleutelproject),Rotterdam CS,Spoorwegen personen,Zuid-Nederland,Realisatie,IenW/BZK, ,2012,2022,111,,POINT (91858.9908999987 437794.2670000009)
mirt2021_punten_modaliteit.26,399,39904,Breda Centraal (t.b.v. Nieuw Sleutelproject),Utrecht CS,Spoorwegen personen,Zuid-Nederland,Realisatie,IenW/BZK, ,2012,2022,111,,POINT (136001.34659999982 455787.3548000008)
mirt2021_punten_modaliteit.27,399,39905,Breda Centraal (t.b.v. Nieuw Sleutelproject),Arnhem CS,Spoorwegen personen,Zuid-Nederland,Realisatie,IenW/BZK, ,2012,2022,111,,POINT (190215.07820000127 444180.4404999986)
mirt2021_punten_modaliteit.28,399,39906,Breda Centraal (t.b.v. Nieuw Sleutelproject),Breda Station NS,Spoorwegen personen,Zuid-Nederland,Realisatie,IenW/BZK, ,2012,2022,111,,POINT (112918.86199999973 400888.4232000001)
mirt2021_punten_modaliteit.29,453,45301,Nieuwe Sluis Terneuzen, ,Hoofdvaarwegen,Zuidwest-Nederland,Realisatie,IenW,2016,2018,2023,223,,POINT (45770.03519999981 373166.1596999988)
mirt2021_punten_modaliteit.30,491,49101,Nijmegen omarmt de Waal (Waalfront), ,Integrale gebiedsopgaven,Oost-Nederland,Realisatie,BZK, ,2009,2027,25,,POINT (186725.79940000176 429630.85489999875)
mirt2021_punten_modaliteit.31,518,51801,Lichteren Buitenhaven IJmuiden en Energiehaven, ,Hoofdvaarwegen,Noordwest-Nederland,Realisatie,IenW, , , ,66,,POINT (99562.83199999854 498280.1422000006)
mirt2021_punten_modaliteit.32,513,51301,Zeetoegang IJmond, ,Hoofdvaarwegen,Noordwest-Nederland,Realisatie,IenW, , ,2022,1038,,POINT (102093.67990000173 498036.36670000106)
