Leverancier;4000 - Diensten en middelen overig;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement, Documentontwikkeling en -verwerking;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;Eindtotaal
Fox Reclame;1;;;;;;;;;;1
Frama Nederland;1;;;;;;;;;;1
Frame Engineering B.V.;1;;;;;;;;;;1
FRAMO C.V.;1;;;;;;;;;;1
Frank Techniek;1;;;;;;;;;;1
Frans B.V.;;1;;;;;;;;;1
Freedom Motors Nederland B.V.;1;;;;;;;;;;1
Freyja Fence B.V.;;;;;;;;;1;;1
Fri-Jo Lichtreclame B.V.;1;;;;;;;;;;1
Frisian Industries B.V.;1;;;;;;;;;;1
Frisian Motors B.V.;2;;;;;;;;;;2
Fritz-Events B.V.;1;;;;;;;;;;1
Fromm Nederland B.V.;1;;;;;;;;;;1
Fruitkracht;;1;;;;;;;;;1
Fruitzaam Gifts;;1;;;;;;;;;1
FS NL Poortgebouw Opco 16 B.V.;;1;;;;;;;;;1
Funk-e Animations B.V.;1;;;;;;;;;;1
Fusion Plaza Zwolle B.V.;1;;;;;;;;;;1
Fussia B.V.;;1;;;;;;;;;1
G&H Gascontrol B.V.;1;;;;;;;;;;1
G.F.P. (Gear for Professionals) B.V.;2;;;;;;;;;;2
G.S.P. B.V.;3;;;;;;;;;;3
Gajes in de Bajes B.V.;;1;;;;;;;;;1
Gartner Nederland B.V.;3;;;;;;;;;;3
Gasdepot Pul;;;;;1;;;1;;;1
Gasterij 't Hilletje;;1;;;;;;;;;1
Gasthuys De Notabelen;;1;;;;;;;;;1
Gebr. Houterman Beheer B.V.;1;;;;;;;;;;1
Gefco Benelux;;;1;;;;;;;;1
Geling's Langste Autowasstraat B.V.;1;;;;;;;;;;1
Geometius B.V.;1;;;;;;;;;;1
Get out of here B.V.;;1;;;;;;;;;1
Glas Geschenken Gouda;1;;;;;;;;;;1
Glas Voorthuizen;1;;;;;;;;;;1
Glasverpakkingen.nl;1;;;;;;;;;;1
Global Knowledge Network Netherlands B.V.;1;;;;;;;;;;1
GMC-Instruments Nederland B.V.;1;;;;;;;;;;1
Go Rental B.V.;1;;;;;;;;;;1
Goat Music;1;;;;;;;;;;1
Goba B.V.;1;;;;;;;;;;1
Goedhart Boeken;1;;;;;;;;;;1
Golfcentrum Roosendaal B.V.;1;;;;;;;;;;1
Good Xpress B.V.;;;;;;;;1;;;1
Goodstore;;;;;;;;1;;;1
Gordian Logistic Experts B.V.;;;;;;;2;;;;2
Gotcha;1;;;;;;;;;;1
Gouwenberg vloeren.gordijnen.zonwering;;;;;;;;2;;;2
Governance & Integrity International B.V.;1;;;;;;;;;;1
Gowa Sportswear B.V.;1;;;;;;;;;;1
GPEX B.V.;1;;;;;;;;;;1
Grafisch Bedrijf Goes B.V.;2;;;;;;;;;;2
Grand Cafe Brasserie Brocante;;1;;;;;;;;;1
Grandcafe Haagsche Bluf;;1;;;;;;;;;1
Gravure '85;1;;;;;;;;;;1
Greenzz B.V.;;;;;;;;1;;;1
Greetz B.V.;;1;;;;;;;;;1
Grevenbroek Music;1;;;;;;;;;;1
Groasis B.V.;;;;;;;1;;;;1
Groenendijk Bedrijfskleding B.V.;1;;;;;;;;;;1
Groningen Airport Eelde N.V.;2;;;;;;;;;;2
Groot Diving;1;;;;;;;;;;1
Grottendieck Bezuidenhout B.V.;;;;;;;;;1;;1
Grottendieck Maatwerk;;;;;;;;1;1;;1
Gruppo Corso Limited;1;;;;;;;;;;1
Guliker's Gas- en Oliehandel B.V.;1;;;;;;;;;;1
Gullimex B.V.;1;;;;;;;;;;1
Gusto Mangia e Bevi;;1;;;;;;;;;1
Gymboxx B.V.;2;;;;;;;;;;2
H & S Cleaning B.V.;;1;;;;;;;;;1
Hacon Containers;2;;;;;;;1;;;2
Haesje Claes B.V.;;1;;;;;;;;;1
Hagisto;1;;;;;;;;;;1
Hako B.V.;1;;;1;;;;1;1;;1
Halfords;;;;;;;;;1;;1
Hamag Magazijninrichting B.V.;1;;;;;;;;;;1
Hamer B.V.;1;;;;;;;;;;1
Handelsmaatschappij Goos B.V.;1;;;;;;;;;;1
Handelsonderneming Dirks B.V.;2;;;;;;;;;;2
Handelsonderneming Dolco Kampen B.V.;1;;;;;;;;;;1
Handelsonderneming Louter;1;;;;;;;;;;1
Handelsonderneming Pehavo Uden B.V.;1;;;;;;;;;;1
Handelsonderneming T. Brinkman;1;;;;;;;;;;1
Handelsonderneming Topscore V.O.F.;1;;;;;;;;;;1
Handelsonderneming Van der Blij B.V.;1;;;;;;;;;;1
Handelsonderneming Veenstra;1;;;;;;;;;;1
Hanneke's Workshops;1;;;;;;;1;;;1
Hanos Heerenveen B.V.;;1;;;;;;;;;1
Harbers Trucks Barneveld B.V.;1;;;;;;;;;;1
Hart voor verhalen;1;;;;;;;;;;1
Hartech Meet- & Testapparatuur B.V.;1;;;;;;;;;;1
Hartwig Instruments B.V.;1;;;;;;;;;;1
HazeNotes;1;;;;;;;;;;1
H'Baron;;1;;;;;;;;;1
HBC - Wooncomfort;1;;;;;;;;;;1
HBL Online B.V.;1;;;;;;;;;;1
HBM Machines B.V.;1;;;;;;;;;;1
HE Den Haag B.V.;;1;;;;;;;;;1
Health2Work B.V.;;;;;;;;1;1;;1
Heerlijkheid Marienwaerdt;;1;;;;;;;;;1
Heidelberg Benelux B.V.;;;;;;;;;1;;1
Heidrick & Struggles B.V.;1;;;;;;;;;;1
Heike Dierrijk Klinieken B.V.;;;1;;;;;;;;1
Heineken Nederland B.V.;;2;;;;;;;;;2
Helder Graveertechniek en Naamplaat-Ind. B.V.;;;;;;;;;1;;1
Helder Vastgoed Schilderwerken B.V.;2;;;;;;;;;;2
Héman Verhuurservice B.V.;;;;;;;;1;;;1
Henri Bloem's Wijnkoperij;;1;;;;;;;;;1
Henry's Project Management;1;;;;;;;;;;1
Heraldic United;1;;;;;;;;;;1
Heras Mobile Fencing & Security;1;;;;;;;;;;1
Hermans Beheer B.V.;2;;;;;;;;;;2
Het Bezinningsbureau;;1;;;;;;;;;1
Het Kabinet, Eten en Drinken;;1;;;;;;;;;1
Het Ketelhuis Utrecht;;1;;;;;;;;;1
Het Portret Restaurant;1;;;;;;;;;;1
Het Spreeuwken B.V.;;1;;;;;;;;;1
Het Zalmhuis B.V.;1;;;;;;;;;;1
Hexagone Benelux;;;;;;;;1;;;1
High Security International B.V.;1;;;;;;;;;;1
Hijman Schoonmaakartikelen B.V.;1;;;;;;;;;;1
Hilda B.V.;;1;;;;;;;;;1
Hill Knives Holland;1;;;;;;;;;;1
Hilti Nederland B.V.;1;;;;;;;;;;1
Hilton Royal Parc Soest;;1;;;;;;;;;1
HippoLine B.V.;1;;;;;;;;;;1
Hoarse Fashion;2;;;;;;;;;;2
Hobbit Imaging Software B.V.;2;;;;;;;;;;2
Hobrand B.V.;1;;;;;;;;;;1
Hobutra B.V.;1;;;;;;;;;;1
Hocus Pocus Zoetwaren;1;;;;;;;;;;1
Hodij Coatings B.V.;1;;;;;;;;;;1
Hoffmann Quality Tools B.V.;1;;;;;;;;;;1
Hogenboom Vakantieparken B.V.;1;;;;;;;;;;1
Holding Beheermaatschappij Ropeni B.V.;;1;;;;;;;;;1
Holland Casino;1;;;;;;;;;;1
Holland Inbouw;1;;;;;;;;;;1
Hollands Wondere Wereld;1;;;;;;;;;;1
Home Security XL;1;;;;;;;;;;1
Homeij Nederland B.V.;;;;;;;;1;;;1
Hommes;;1;;;;;;;;;1
Hondenhotel Maas en Waal;;;1;;;;;;;;1
Hoogenbosch Schoenpoetsmachines;1;;;;;;;;;;1
Hoogendoorn Projectbeplanting V.O.F.;1;;;;;;;;;;1
Hooghoudt B.V.;1;;;;;;;;;;1
Horeca heaven B.V.;1;;;;;;;;;;1
Horeca Meubilair Den Haag B.V.;1;;;;;;;;;;1
Horeca non food trading;1;;;;;;;;;;1
Horecarama B.V.;1;;;;;;;;;;1
Hotel Akersloot;;1;;;;;;;;;1
Hotel Des Indes B.V.;;1;;;;;;;;;1
Hotel Exploitatie Huisduinen B.V.;;1;;;;;;;;;1
Hotel Mitland;;1;;;;;;;;;1
Hotel Post Plaza B.V.;;1;;;;;;;;;1
Hotel Schimmel B.V.;;1;;;;;;;;;1
Hotel Vught B.V.;;1;;;;;;;;;1
Hotel Zaltbommel Exploitatie B.V.;;1;;;;;;;;;1
Hotel-Restaurant 'De Zwarte Boer' B.V.;;1;;;;;;;;;1
Hotel-Restaurant 'Oud London';;1;;;;;;;;;1
Hotzone Solutions B.V.;1;;;;;;;;;;1
House of Bloomz;;1;;;;;;1;;;1
House of Lords B.V.;;1;;;;;;;;;1
Hout Centrum Roden;1;;;;;;;;;;1
HSK Interventie B.V.;1;;;;;;;;;;1
Hugen Brandbeveiliging en Adviesbureau B.V.;1;;;;;;;;;;1
Huisartsenpraktijk 'de Meulehoek';1;;;;;;;;;;1
Huisjes Sportswear;1;;;;;;;;;;1
Human Capital Kantoorinrichting;;;;;;;;3;;;3
Humphrey's Leeuwarden B.V.;;1;;;;;;;;;1
Humphrey's Restaurant;;1;;;;;;;;;1
Humphrey's Utrecht B.V.;;1;;;;;;;;;1
Hunter 4 all sports B.V.;1;;;;;;;;;;1
Hurricane Textile & Sportswear B.V.;1;;;;;;;;;;1
Hutten Business Catering B.V.;2;;;;;;;;;;2
Huurdeman B.V.;1;;;;;;;;;;1
HvH Advocaten;1;;;;;;;;;;1
Hydrauliekservice Utrecht B.V.;1;;;;;;;;;;1
Hydrotek B.V.;1;;;;;;;;;;1
Hyscon Friesland;1;;;;;;;;;;1
I.S.P.S.;;;;;;;;;1;;1
I.T.C. Alles voor Uw Kantoor N.V.;;;;1;;;;;;;1
I.T.M. Interma V.O.F.;;;;;;;;1;;;1
Ibouw Bouwmarkt B.V.;1;;;;;;;;;;1
IceSolutions;1;;;;;;;;;;1
ID Systemen Nederland B.V.;1;;;;;;;;;;1
Identiteit & Diensten B.V.;1;;;;;;;;;;1
Igo-Post B.V.;1;;;;;;;;;;1
IJzerhandel Staphorst B.V.;1;;;;;;;;;;1
Ik wil Graffiti;1;;;;;;;;;;1
iLLustratief;1;;;;;;;;;;1
Imaging People;1;;;;;;;;;;1
Imbema Rhiwa B.V.;1;;;;;;;;;;1
In Pace B.V.;;1;;;;;;;;;1
In 't Groene Woud B.V.;;1;;;;;;;;;1
Inbraakpreventie 'M.I.B.' B.V.;1;;;;;;;;;;1
Industore B.V.;1;;;;;;;;;;1
Informatiebord.nl B.V.;1;;;;;;1;1;1;;1
Informatique Computers & Componenten;1;;;;;;;;;;1
Infosequre;2;;;;;;;;;;2
ING Bank N.V.;2;;;;;;;;;;2
Ingressus B.V.;1;;;;;;;;;;1
Inside Office;1;;;;;;;;;;1
Insign Trading;;;;;;;;;1;;1
Installatie Buro IBS Oele Schoo B.V.;2;;;;;;;;;;2
Int. Handelsonderneming 'Explora' B.V.;1;;;;;;;;1;;2
Intercédé B.V.;1;;;;;;;;;;1
InterDuinen B.V.;1;;;;;;;;;;1
Interflon Holland B.V.;1;;;;;;;;;;1
Interflow B.V.;1;;;;;;;;;;1
Intergamma Bouwmarkten Exploitatie B.V.;1;;;;;;;;;;1
International Music School Netherlands;1;;;;;;;;;;1
Internedservices;1;;;;;;;;;;1
Interprint Zeefdrukkers;1;;;;;;;;;;1
Intersafe Netherlands B.V.;1;;;;;;;;;;1
Interspiro B.V.;1;;;;;;;;;;1
Intertoys;1;;;;;;;;;;1
Intertrust (Netherlands) B.V.;1;;;;;;;;;;1
Intimus International Netherlands B.V.;1;;;;;;;1;2;;2
Intratuin Barneveld B.V.;;;;;;;;1;;;1
Intratuin Duiven;;;;;;;;1;;;1
InVentic;1;;;;;;;;;;1
Ipol B.V.;1;;;;;;;;;;1
IQ-Pass International B.V.;;;1;;;;;;;;1
Isero IJzerwarengroep;1;;;;;;;1;;;1
Israel Producten Centrum;;1;;;;;;;;;1
Isuzu Benelux;2;;;;;;;;;;2
itsme B.V.;1;;;;;;;;;;1
IVL Services;2;;;;;;;;;;2
Iwena B.V.;1;;;;;;;;;;1
J.B.S. Handelsonderneming;3;;;;;;;;;;3
Jachthaven Biesbosch B.V.;1;;;;;;;;;;1
Jalema B.V.;1;;;;;;;;;;1
Janus Vaten B.V.;;;;;;;;;1;;1
Japans Restaurant Natsumi Fusion B.V.;;1;;;;;;;;;1
Jarp;1;;;;;;;;;;1
Javaanse catering Ramini;;1;;;;;;;;;1
Jay's Welding & Cutting;;;;;;;;1;;;1
Jazet Reclame Vormgeving B.V.;1;;;;;;;;;;1
JCB;1;;;;;;;;;;1
JD Holding Alphen aan den Rijn B.V.;;;;;;3;;;;;3
JENS brand support;1;;;;;;;;;;1
Jet Aviation Netherlands B.V.;2;;;;;;;;;;2
JKN Logistics B.V.;1;;;;;;;;;;1
JN Music;1;;;;;;;;;;1
JoConnect;1;;;;;;;;;;1
Jonker CarrosserieÃƒÂ«n B.V.;1;;;;;;;;;;1
Joomla Website Designer;1;;;;;;;;;;1
Joulz Infradiensten B.V.;1;;;;;;;;;;1
Joyce Bloembinderij;1;;;;;;;;;;1
JR wanden en plafonds;1;;;;;;;;;;1
JS Laadtechniek B.V.;1;;;;;;;;;;1
Jungheinrich Nederland B.V.;2;;;;;;;1;;;2
Jura Nederland B.V.;;;;;;;;;1;;1
Jura Service Factory B.V.;;;;;;;;;1;;1
Just Inspired Media;1;;;;;;;;;;1
Jy B.V.;;1;;;;;;;;;1
K.G. Business Support;1;;;;;;;;1;;1
K2-Publisher B.V.;1;;;;;;;;;;1
Kaap Doorn B.V.;;1;;;;;;;;;1
Kabeldirect;1;;;;;;;;;;1
Kabelshop B.V.;1;;;;;;;;;;1
Kadobon Online B.V.;;1;;;;;;;;;1
Kaja Horeca Interieur B.V.;1;;;;;;;;;;1
Kalibra International B.V.;1;;;;;;;;;;1
Kamera Express;1;;;;;;;;;;1
Kamera Express Zwolle B.V.;1;;;;;;;;;;1
Kameryck B.V.;;1;;;;;;;;;1
Kannegieter Electronica B.V.;1;;;;;;;;;;1
Kantoorcentraal;;;;;;;;;1;;1
KantoorExpert Groep;1;;;;;;;;;;1
Kantoormeubelshop.nl;;;;;;;;1;;;1
Kantoorstempels.nl B.V.;1;;;;;;;;;;1
Karcher B.V.;2;;;;;;;;;;2
Kaslander Coaching;;1;;;;;;;;;1
Kasteel de Wittenburg B.V.;;1;;;;;;;;;1
KATO Group B.V.;1;;;;;;;;;;1
Katreintje;;;;;;;;1;;;1
Kavo Nederland B.V.;1;;;;;;;;;;1
Keemink Integrale Veiligheid Management;1;;;;;;;;;;1
Keepgo Europe B.V.;1;;;;;;;;;;1
Kelder & Co B.V.;1;;;;;;;;;;1
Kennelbouw Exclusief V.O.F.;1;;3;;;;;;;;3
Kennes Verhuurt Uden B.V.;1;;;;;;;;;;1
Kentie Nederland B.V.;1;;;;;;;;1;;1
Kessel Rental B.V.;;2;;;;;;;;;2
Ketelaar Sport Zevenaar B.V.;1;;;;;;;;;;1
Keysight Technologies Netherlands B.V.;1;;;;;;;;;;1
kibaek.nl;1;;;;;;;;;;1
Kijlstra Beton;1;;;;;;;;;;1
King Nederland B.V.;2;;;7;;;;;;;7
KING Software;1;;;;;;;;;;1
Kistler B.V.;1;;;;;;;;;;1
Kivo Petfood;;;1;;;;;;;;1
Kiwi Electronics B.V.;1;;;;;;;;;;1
Klanklichaam;1;;;;;;;;;;1
Klein Units B.V.;;;1;;;;;;;;1
Kleyn Trucks B.V.;;;;;;;;;3;;3
Klimwandspecialist;1;;;;;;;;;;1
Kliniek voor Gezelschapsdieren 'Kerkewijk';1;;;;;;;;;;1
KM Human Factors Engineering;1;;;;;;;;;;1
Knapzak Benelux B.V.;1;;;;;;;;;;1
Knol Steam Cleaning Systems B.V.;1;;;;;;;;;;1
Kobatt Benelux B.V.;1;;;;;;;;;;1
Kocken Industrieovenbouw B.V.;1;;;;;;;;;;1
Kok Tuinmachines;;;;;;;;1;;;1
Koks After Sales B.V.;1;;;;;;;;;;1
Kolibri Labels B.V.;;;;;;;;1;;;1
Kon. Ver. Agent Halverhout-Zwart-Zurmühlen BV;;1;;;;;;;;;1
Konijnenburg B.V.;1;;;;;;;;;;1
Koninklijke Begeer B.V.;2;1;;;;;;;;;2
Koninklijke Burgers' Zoo;1;;;;;;;;;;1
Koninklijke Gazelle N.V.;1;;;;;;;;;;1
Kooi Trading B.V.;2;;;;;;;;;;2
Kooistra Detectors B.V.;1;;;;;;;;;;1
Korst Medische Instrumenten B.V.;1;;;;;;;;;;1
Kraakman Perfors B.V.;;;;;;;;1;;;1
Krea Doe Wijchen;1;;;;;;;;;;1
Krijger international;1;;;;;;;;;;1
Krijnen eSolutions B.V.;1;;;;;;;;;;1
Krijtbordenservice;;;;;;;;1;1;;1
Kroll Ontrack B.V.;2;;;;;;;;;;2
Kruizinga B.V.;1;;;;;;;;;;1
KSG B.V.;2;;;;;;;;;;2
Kuenen Keurslager;;1;;;;;;;;;1
Kuipers Gassen Eemnes V.O.F.;1;;;;;;;;;;1
Kurk24 B.V.;1;;;;;;;;;;1
Kwakkelglas;1;;;;;;;;;;1
kwaliteitmondkapjes;;;;;;;;;1;;1
Kwekerij Hoveniersbedrijf Groeiend Groen;;;;;;;;1;;;1
Kwint B.V.;1;;;;;;;;;;1
L&S Specials B.V.;2;;;;;;;;;;2
Labelfuse B.V.;1;;;;;;;;;;1
Labkoo B.V.;1;;;;;;;;;;1
Laboral Diagnostics;1;;;;;;;;;;1
Laboral Diagnostics B.V.;1;;;;;;;;;;1
Laevo B.V.;1;;;;;;;;;;1
Lagendijk Sportprijzen;1;;;;;;;;;;1
Lampe Technical Textiles B.V.;1;;;;;;;;;;1
Landal GreenParks Holding B.V.;1;;;;;;;;;;1
Landgoed Hoenderdaell B.V.;;1;;;;;;;;;1
Langenhuizen Glasservice;1;;;;;;;;;;1
laptopshuren.nl B.V.;1;;;;;;;;;;1
Lasaulec B.V.;3;;;;;;;;1;;3
Laska Computers;7;;;;;;;;;;7
Layher B.V.;3;;;;;;;;2;;3
LB Handel;;1;;;;;;;;;1
Le Bistroquet B.V.;;1;;;;;;;;;1
Learningtour;1;;;;;;;;;;1
Leba 'Bakker' Sport B.V.;1;;;;;;;;1;;1
LeFactory;;;;;;;;;1;;1
Leica Geosystems B.V.;2;;;;;;;;;;2
Leitz Service B.V.;1;;;;;;;;;;1
Lekkerkerker;;;;;;;;1;;;1
Lemmens Motorsport;1;;;;;;;;;;1
Lemmet;;;;;;;;;1;;1
Lemon Grass Gastronomie B.V.;;1;;;;;;;;;1
Lennart Films;1;;;;;;;;;;1
Leoxx B.V.;;;;;;;;1;;;1
Leuk! Eten & Drinken;;1;;;;;;;;;1
Level Acoustics & Vibration B.V.;2;;;;;;;;;;2
Lichtendonk Lijsten;1;;;;;;;;;;1
Liever Liesje Entertainment;1;;;;;;;;;;1
Linde Homecare Benelux B.V.;1;;;;;;;;;;1
Line Up Events;1;;;;;;;;;;1
Linge Zicht;;1;;;;;;;;;1
Linker Aanhangwagens;1;;;;;;;;;;1
LION;1;;;;;;;;;;1
Livewords;1;;;;;;;;;;1
livingprojects B.V.;1;;;;;;;;;;1
lizacompany;1;;;;;;;;2;;2
Lloyd's Register Nederland B.V.;2;;;;;;;;;;2
LM Consultancy B.V.;1;;;;;;;;;;1
Load-Lok Nederland B.V.;1;;;;;;;;;;1
Loc Logistiek Opleidingscentrum B.V.;1;;;;;;;;;;1
Locatie 78 B.V.;;1;;;;;;;;;1
logistiekconcurrent.nl;1;;;;;;;;;;1
Logitrade Logistic Systems B.V.;1;;;;;;;;;;1
Logoprint B.V.;1;;;;;;;;;;1
LOOF;;1;;;;;;;;;1
Loonbedrijf Tot;;;;;;;1;;;;1
Loonstra Computer Services;1;;;;;;;;;;1
Loos Slijptechniek & Cutting Solutions B.V.;;;;;;;;;1;;1
Louwman Amsterdam West;1;;;;;;;;;;1
Löwik en Zoon B.V.;;;;;;;;2;;;2
Loyalty Makers B.V.;;;;;;;;2;;;2
LSG;1;;;;;;;;;;1
Lucas Duiksport B.V.;1;;;;;;;;;;1
Luijten Duidelijk;1;;;;;;;;;;1
Lumen Lawyers B.V.;2;;;;;;;;;;2
Lunchroom Royal Corner;1;2;;;;;;;;;2
Lunchroom-Cafetaria 'De Pruttelpot';;1;;;;;;;;;1
Luxottica The Netherlands B.V.;;;;;;;;;2;;2
LV Equipment B.V.;4;;;;;;;;;;4
Lyreco Nederland B.V.;1;;;;;;;;;;1
M & R Music;1;;;;;;;;;;1
M.E. Design & Safety V.O.F.;1;;;;;;;;;;1
M.E.G.A. Sport Equipment;;;;;;;;1;;;1
M.M.C. International B.V.;1;;;;;;;;;;1
M+P, raadgevende ingenieurs B.V.;1;;;;;;;;;;1
M2 Printing B.V.;1;;;;;;;;;;1
Maas;1;;;;;;;;;;1
Maastricht Aachen Airport B.V.;1;;;;;;;;;;1
Maatschap Dierenkliniek Dronten;;;1;;;;;;;;1
Maatschap Veldhuizen/Bouwmeester;1;;;;;;;;;;1
Madame Laurine;;1;;;;;;;;;1
Maeseo;1;;;;;;;;;;1
Mag. 45 B.V.;1;;;;;;;;;;1
Magazijn V;1;;;;;;;;;;1
Maha Nederland B.V.;1;;;;;;;;;;1
Mahanakorn B.V.;;1;;;;;;;;;1
Mainpress B.V.;1;;;;;;;;;;1
Maison Jacques, Grimestudio;1;;;;;;;;;;1
Maison van den Boer B.V.;;2;;;;;;;;;2
Make;1;;;;;;;;;;1
Makerpoint B.V.;1;;;;;;;;;;1
Makro Zelfbedieningsgroothandel;1;;;;;;;;;;1
Man Print & Sign B.V.;;;;;;;;1;;;1
Manege Soethout;1;;;;;;;;;;1
Manutan B.V.;3;1;;1;;;;1;1;;4
Mapro B.V.;1;;;;;;;;;;1
Marad Match*maker;1;;;;;;;;;;1
Marbo Promotions;1;;;;;;;;;;1
Marco Woonadviseurs B.V.;;;;;;;;2;;;2
Marfo B.V.;;1;;;;;;;;;1
Margrietbloembinders B.V.;1;1;;;;;;;;;1
Mariënhof Amersfoort B.V.;1;;;;;;;;;;1
Marine Trading & Services B.V.;1;;;;;;;;;;1
Marku Den Bosch B.V.;1;;;;;;;;;;1
Marlin Contract B.V.;2;;;;;;;;;;2
Marsman h.o.d.n. The Read Shop Express;1;;;;;;;;;;1
Marsoft Kabeltelevisie & Communicatie;1;;;;;;;;;;1
Martens van Wezel Kartonnages B.V.;;;;;;;;;1;;1
Martijn's Bicycle Service;1;;;;;;;;;;1
Marvo Systeemplafonds B.V.;1;;;;;;;;;;1
Masco Kantoor Installaties B.V.;1;;;;;;;;;;1
Masterkey-Plus B.V.;;;;3;;;;;;;3
Mastermate Brinkman B.V.;1;;;;;;;;;;1
Mastertent B.V.;3;;;;;;;;;;3
Matco B.V.;1;;;;;;;;;;1
Matco International Waalwijk B.V.;1;;;;;;;;;;1
Max ICT B.V.;2;;;;;;;;;;2
Maxilia B.V.;1;;;;;;;;;;1
MB Business Promotion B.V.;1;;;;;;;;;;1
MB Safety B.V.;1;;;;;;;;;;1
MCB Direct Twente;1;;;;;;;;;;1
MCB Specials B.V.;1;;;;;;;;;;1
MCD AniCura B.V.;;;1;;;;;;;;1
Mc-Ent Management;2;;;;;;;;;;2
MD Techniek B.V.;1;;;;;;;;;;1
Mectec Hefbruggen & Equipment B.V.;1;;;;;;;;;;1
Media 73 B.V.;1;;;;;;;;1;;1
Media Markt Zwolle;;;;;;;;;1;;1
Medimpex Systems B.V.;;;1;;;;;;;;1
Medisch Specialisten Noord West;1;;;;;;;;;;1
Medisol B.V.;1;;;;;;;;;;1
Meesterzaak;1;;;;;;;;;;1
Meetingselect B.V.;;7;;;;;;;;;7
Mekelenkamp I plantenman.nl;1;;;;;;;;;;1
Melanie Video Producties;1;;;;;;;;;;1
Melitta Professional Coff. Sol. Benelux B.V.;1;;;;;;;;;;1
Mennens Groningen B.V.;1;;;;;;;;;;1
Mennens Hengelo B.V.;1;;;;;;;;;;1
Mennens Rotterdam B.V.;1;;;;;;;;;;1
Mera Benelux B.V.;1;;;;;;;;;;1
Mercedes-Benz Dealer Bedrijven B.V.;1;;;;;;;;;;1
Mereboer Uitvaartzorg B.V.;1;;;;;;;;;;1
Merheim B.V.;1;;;;;;;;;;1
Mestenmaker Handelsonderneming B.V.;;;;;;;;1;;;1
Metafa Holland B.V.;1;;;;;;;;;;1
Metal Machinebouwers B.V.;1;;;;;;;;;;1
Metaphora Holding B.V.;;;;;;;;;1;;1
Metos B.V.;;;;;;;;2;;;2
Metresys;1;;;;;;;;;;1
Mettler-Toledo B.V.;1;;;;;;;;;;1
Meutgeert Music;1;;;;;;;;;;1
Mexicaans restaurant el Castillo;1;;;;;;;;;;1
Meximum Promotions V.O.F.;;1;;;;;;;;;1
MH Roadstyling B.V.;1;;;;;;;;;;1
MHJ Groep;;1;;;;;;;;;1
Micro-Mail Zeewolde B.V.;1;;;;;;;;;;1
Miedema Bouwmaterialen B.V.;;;;1;;;;;;;1
Miele Nederland B.V.;1;;;;;;;;;;1
MijnRegister B.V.;;1;;;;;;;;;1
Mika op Missie;1;;;;;;;;;;1
Milandhof Zegveld B.V.;;1;;;;;;;;;1
MILE Gear;2;;;;;;;;;;2
Military Master Models;;1;;;;;;;;;1
Millers;;1;;;;;;;;;1
Minerva Meettechniek B.V.;2;;;;;;;;;;2
MINIDIS B.V.;2;;;;;;;;;;2
Minigrip;1;;;;;;;;1;;1
Mirion Technologies (Dosimetry Services) B.V.;1;;;;;;;;;;1
MJG music;1;;;;;;;;;;1
MK2 Audiovisueel B.V.;2;;;;;;;;3;;3
Mobiele Hollandse Slijpservice Centraal;;;;;;;;1;;;1
Modelbouw Krikke;1;;;;;;;;;;1
Moduli Print B.V.;1;;;;;7;;;1;;7
Moesman's Antieke/Oude/Nwe. Stijl Meubelmak.;;;;;;;;1;;;1
Moestuin Maarschalkerweerd B.V.;;1;;;;;;;;;1
Monkland Productions;1;;;;;;;;;;1
Monopoly 't Corps;1;;;;;;;;;;1
Montani - creatief strategisch online;1;;;;;;;;;;1
Monuta Uitvaartverzorging;3;;;;;;;;;;3
Mooi Creatie;1;;;;;;;;;;1
Mooii Eten & Drinken B.V.;;1;;;;;;;;;1
More 2 Safety B.V.;1;;;;;;;;;;1
Moreforless;1;;;;;;;;;;1
Mo-Tech Industries;1;;;;;;;1;;;1
Motel Assen B.V.;;1;;;;;;;;;1
Motrac Intern Transport B.V.;1;;;;;;;;;;1
Mouwes Kosher Delicatessen;;1;;;;;;;;;1
MP2 Automatisering B.V.;1;;;;;;;;;;1
MRproducts Nederland B.V.;1;;;;;;;;;;1
MSA Nederland B.V.;2;;;;;;;;1;;2
MSM-Edison B.V.;1;;;;;;;;;;1
Mts Diergeneeskundig Centrum Maas en Waal;;;1;;;;;;;;1
Multi Bier B.V.;1;;;;;;;;;;1
Multi Supplies;1;;;;;;;;;;1
Multi-3Dprint B.V.;1;;;;;;;;;;1
Multi-Crane International B.V.;1;;;;;;;;;;1
Multigift Relatiegeschenken B.V.;;1;;;;;;;;;1
MULTI-OFFICE Zoetermeer;1;;;;;;;;;;1
Multi-Post Mail Systems B.V.;2;;;;;;;;;;2
Multitools;1;;;;;;;;;;1
Munters Netherlands B.V.;1;;;;;;;;;;1
Mus Verpakkingen B.V.;;;;;;;;;1;;1
Museum Catering Den Haag B.V.;;1;;;;;;;;;1
Music Dept.;1;;;;;;;;;;1
Musicus Nefs;1;;;;;;;;;;1
Muta Sport Nederland B.V.;1;1;;;;;;;;;1
muziekboot.nl;;1;;;;;;;;;1
Muziekcentrale Adams B.V.;1;;;;;;;;;;1
