OBJECTID,PUIC,TIJDSTIP_REGISTRATIE,BGTBRONHOUDERCODE,BGTBRONHOUDER,BGTSTATUS,RELATIEVEHOOGTELIGGING,FYSIEK_VOORKOMEN,GEOCODE,SUBCODE,GEOCODE_NR,GEOSUBCODE,GEOCODE_NAAM,KMLINT,KMLINT_OMSCHRIJVING,KM_GEOCODE_VLAKPUNT,KM_GEOCODE_VLAKPUNT_T,REGIO_NAAM,REGIO_AFKORTING,CONTRACTGEBIED_NAAM,CONTRACTGEBIED_NR,CONTRACTGEBIED_TYPE,PGO_GEBIED_NAAM,TECHNIEKVELD,ONDERHOUDSREGIO_NAAM,ONDERHOUDSREGIO_AFKORTING,BEHEERDER,X_VLAKPUNT,Y_VLAKPUNT,LATITUDE_VLAKPUNT,LONGITUDE_VLAKPUNT,OPPERVLAKTE,POSITIONELE_NAUWKEURIGHEID_MM,STATUS,Shape__Area,Shape__Length
11,691a66529d8c4e45b4a2fd2317dd54cc,2020/09/18 15:56:36+00,L0004,Prorail,bestaand,0,gesloten verharding,922,,922,922__,Leidschendam Lijnwerkplaats,Ldvn-Ldvwpl,Leidschenveen - Leidschendam werkplaats ,18.32912,"18,329120",Randstad Zuid,RZ,n.v.t.,,,n.v.t.,,n.v.t.,,Derden - Overig,86170.0925,454459.98436,52.07413816,4.38322086,13.889808,283,gerealiseerd,13.889808,19.1410454652038
12,b8b33ee47b854b25ba3eaae6a76987e2,2015/08/04 15:27:53+00,L0004,Prorail,bestaand,0,gesloten verharding,564,b,564,564_b,Den Haag Binckhorst,Gd-Gvc,Gouda - Den Haag Centraal ,23.706546,"23,706546",Randstad Zuid,RZ,Den Haag,2,BAAN,Den Haag,BAAN,Randstad Zuid,RZ,ProRail,83403.39265,454325.6535,52.07258021,4.34289906,25.186046,283,gerealiseerd,25.1860465,26.9271552434432
13,5cce93b0f49742ecb822f50fd994ce87,2015/08/04 15:27:52+00,L0004,Prorail,bestaand,0,gesloten verharding,564,b,564,564_b,Den Haag Binckhorst,Gd-Gvc,Gouda - Den Haag Centraal ,23.701974,"23,701974",Randstad Zuid,RZ,Den Haag,2,BAAN,Den Haag,BAAN,Randstad Zuid,RZ,ProRail,83406.267874,454321.721,52.07254524,4.34294182,8.013529,283,gerealiseerd,8.0135285,19.8883821246087
14,ed33bdaa45864c769ba1bff1fccce553,2016/06/14 10:48:26+00,L0004,Prorail,bestaand,0,gesloten verharding,862,,862,862__,Budel Zinkfabriek,Bdla-Bdlz,Budel Aansl. - Budel Zinkfabriek ,102.520368,"102,520368",Zuid,Z,n.v.t.,,,n.v.t.,,n.v.t.,,Derden - Overig,169996.756,360742.281561,51.23583637,5.60193219,12.525068,283,gerealiseerd,12.525068,14.3907474618564
15,c6f0fe2f17f443c995cfd23e0bbe70e9,2016/02/23 07:25:03+00,L0004,Prorail,bestaand,0,gesloten verharding,862,,862,862__,Budel Zinkfabriek,Bdla-Bdlz,Budel Aansl. - Budel Zinkfabriek ,102.548633,"102,548633",Zuid,Z,n.v.t.,,,n.v.t.,,n.v.t.,,Derden - Overig,170012.8005,360715.396,51.23559428,5.60216079,14.281074,283,gerealiseerd,14.281074,15.2513932488194
16,c845cbe75e1b473199ec15c1231f73ad,2016/02/23 07:25:03+00,L0004,Prorail,bestaand,0,gesloten verharding,862,,862,862__,Budel Zinkfabriek,Bdla-Bdlz,Budel Aansl. - Budel Zinkfabriek ,102.535412,"102,535412",Zuid,Z,n.v.t.,,,n.v.t.,,n.v.t.,,Derden - Overig,170005.1735,360727.959947,51.23570741,5.60205212,14.280773,283,gerealiseerd,14.2807725,15.2510528255407
17,5608899e015b4e5c8fd05b1c614cf361,2015/04/01 10:33:19+00,L0004,Prorail,bestaand,0,gesloten verharding,531,c,531,531_c,Utrecht Centraal,Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,35.61065,"35,610650",Randstad Noord,RN,Utrecht,13,BAAN,Neerlands Midden,BAAN,Randstad Noord,RN,ProRail,136244.6585,455271.692873,52.08539309,5.11356662,14.3572,283,gerealiseerd,14.3572,30.5718259522881
18,166272aab03c45da9b7159ad38d290f0,2021/01/27 07:53:54+00,L0004,Prorail,bestaand,0,gesloten verharding,620,,620,620__,Alkmaar,Hdr-Zd,Den Helder - Zaandam ,41.70623,"41,706230",Randstad Noord,RN,Alkmaar,7,BAAN,Hollands Noorderkwartier,BAAN,Randstad Noord,RN,ProRail,111444.099518,517005.8575,52.63880957,4.7437503,3.077398,283,gerealiseerd,3.0773985,7.40689774276912
19,9160ea8a9c434280a1b7d0d676bf1620,2021/01/27 07:53:54+00,L0004,Prorail,bestaand,0,gesloten verharding,620,,620,620__,Alkmaar,Hdr-Zd,Den Helder - Zaandam ,41.733735,"41,733735",Randstad Noord,RN,Alkmaar,7,BAAN,Hollands Noorderkwartier,BAAN,Randstad Noord,RN,ProRail,111417.196623,517000.8905,52.63876278,4.74335353,3.428308,283,gerealiseerd,3.4283085,7.7168947003105
20,721958d04d42424bbda58625e45680ea,2020/02/11 08:36:27+00,L0004,Prorail,bestaand,0,onverhard,032,,32,032__,Blauwkapel - Lunetten,Hvs-Utm,Hilversum - Utrecht Maliebaan ,16.382124,"16,382124",Randstad Noord,RN,n.v.t.,,,n.v.t.,,n.v.t.,,Derden - Overig,137464.775,455360.013,52.08622688,5.13136316,25.641256,283,gerealiseerd,25.641256,21.8827905026987
21,7ff998923b47438cbc7b1551d7ee18f5,2020/09/18 15:56:31+00,L0004,Prorail,bestaand,0,gesloten verharding,922,,922,922__,Leidschendam Lijnwerkplaats,Ldvn-Ldvwpl,Leidschenveen - Leidschendam werkplaats ,18.275199,"18,275199",Randstad Zuid,RZ,n.v.t.,,,n.v.t.,,n.v.t.,,Derden - Overig,86202.1875,454418.93545,52.07377325,4.38369721,12.441489,283,gerealiseerd,12.441489,19.7853474833385
