OBJECTID,REF_FUNCTIONELE_SPOORTAK_NAAM,REF_FUNCTIONELE_SPOORTAK_PUIC,TECHNIEKVELD,PGO_GEBIED_NAAM,PGO_GEBIED_NR,OPC_GEBIED_NAAM,OPC_GEBIED_NR,PCA,KM_SPOORTAK_VAN,KM_SPOORTAK_VAN_T,KM_SPOORTAK_TOT,KM_SPOORTAK_TOT_T
55,,,BVL,Limburg,340,Roermond,25,Strukton Rail,,,,
56,,,Seinwezen,Twente,410,Twente,32,VolkerRail,,,,
57,,,Telecom,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
58,,,Baan,Den Haag,110,Den Haag,2,VolkerRail,,,,
59,,,Baan,Eemland,200,Amersfoort,12,ASSET Rail,,,,
60,,,Telecom,Limburg,340,Maastricht,26,Strukton Rail,,,,
61,,,Kunstwerken,Zeeland,310,Roosendaal,19,Strukton Rail,,,,
62,,,Kunstwerken,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
63,,,Kunstwerken,Zeeland,310,Goes,18,Strukton Rail,,,,
64,,,3kv,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
65,,,BVL,De Peel,300,Venlo,27,ASSET Rail,,,,
66,,,BVL,Limburg,340,Roermond,25,Strukton Rail,,,,
67,,,Seinwezen,Rijn en Gouwe,100,Leiden,1,BAM Rail,,,,
68,,,3kv,Drenthe,440,Overijssel,34,ASSET Rail,,,,
69,,,3kv,Den Haag,110,Den Haag,2,VolkerRail,,,,
70,,,Basis,Zeeland,310,Roosendaal,19,Strukton Rail,,,,
71,,,Baan,Twente,410,Twente,32,VolkerRail,,,,
72,,,BVL,Amstelsepoort,230,Duivendrecht,10,Strukton Rail,,,,
73,,,Kunstwerken,Eemland,200,Amersfoort,12,ASSET Rail,,,,
74,,,3kv,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
75,,,BVL,De Peel,300,Eindhoven,24,ASSET Rail,,,,
76,,,Seinwezen,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
77,,,Telecom,Hollands Noorderkwartier,210,Alkmaar,7,VolkerRail,,,,
78,,,3kv,Dordrecht,140,Dordrecht,5,ASSET Rail,,,,
79,,,Baan,Drenthe,440,Overijssel,34,ASSET Rail,,,,
80,,,Seinwezen,,,,,,,,,
81,,,Kunstwerken,Drenthe,440,Overijssel,34,ASSET Rail,,,,
82,,,3kv,Wadden,420,Groningen,37,Strukton Rail,,,,
83,,,Basis,Drenthe,440,Overijssel,34,ASSET Rail,,,,
84,,,3kv,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
85,,,Seinwezen,,,,,,,,,
86,,,BVL,Zee-Zevenaar,130,Kijfhoek,99,VolkerRail,,,,
87,,,3kv,Eemland,200,Amersfoort,12,ASSET Rail,,,,
88,,,Telecom,,,,,,,,,
89,,,Telecom,Neerlands Midden,250,Woerden,14,ASSET Rail,,,,
90,,,BVL,Neerlands Midden,250,Utrecht,13,ASSET Rail,,,,
91,,,Basis,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
92,,,Basis,Gelre,400,Maas en Waal,28,ASSET Rail,,,,
93,,,Baan,Zee-Zevenaar,130,Kijfhoek,99,VolkerRail,,,,
94,,,Telecom,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
95,,,Baan,Drenthe,440,Drenthe,35,ASSET Rail,,,,
96,,,Telecom,Wadden,420,Groningen,37,Strukton Rail,,,,
97,,,Basis,Hollands Noorderkwartier,210,Alkmaar,7,VolkerRail,,,,
98,,,Baan,Zee-Zevenaar,130,Kijfhoek,99,VolkerRail,,,,
99,,,Seinwezen,Neerlands Midden,250,Utrecht,13,ASSET Rail,,,,
100,,,Seinwezen,Eemland,200,Amersfoort,12,ASSET Rail,,,,
101,,,Seinwezen,Gelre,400,Maas en Waal,28,ASSET Rail,,,,
102,,,Baan,Betuwe,320,Den Bosch,21,Strukton Rail,,,,
103,,,Telecom,Limburg,340,Maastricht,26,Strukton Rail,,,,
104,,,Baan,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
105,,,Kunstwerken,Zeeland,310,Roosendaal,19,Strukton Rail,,,,
106,,,BVL,Rijn en Gouwe,100,Rijn en Gouwe,81,BAM Rail,,,,
107,,,Kunstwerken,Rotterdam,120,Rotterdam,3,VolkerRail,,,,
108,,,3kv,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
109,,,BVL,De Peel,300,Eindhoven,24,ASSET Rail,,,,
110,,,Kunstwerken,De Peel,300,Venlo,27,ASSET Rail,,,,
111,,,Telecom,Drenthe,440,Drenthe,35,ASSET Rail,,,,
112,,,Kunstwerken,Neerlands Midden,250,Utrecht,13,ASSET Rail,,,,
113,,,Basis,Limburg,340,Maastricht,26,Strukton Rail,,,,
114,,,Baan,Veluwe,430,IJsselstreek,31,Strukton Rail,,,,
115,,,Telecom,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
116,,,Kunstwerken,De Peel,300,Eindhoven,24,ASSET Rail,,,,
117,,,Kunstwerken,Eemland,200,Amersfoort,12,ASSET Rail,,,,
118,,,Basis,Kennemerland,240,Haarlem,8,Strukton Rail,,,,
119,,,Baan,Wadden,420,Friesland,36,Strukton Rail,,,,
120,,,Basis,Brabant,330,Boxtel,23,ASSET Rail,,,,
121,,,BVL,Limburg,340,Maastricht,26,Strukton Rail,,,,
122,,,Baan,Twente,410,Twente,32,VolkerRail,,,,
123,,,3kv,Twente,410,Twente,32,VolkerRail,,,,
124,,,Telecom,Drenthe,440,Overijssel,34,ASSET Rail,,,,
125,,,Kunstwerken,Zee-Zevenaar,130,Kijfhoek,99,VolkerRail,,,,
126,,,3kv,Hollands Noorderkwartier,210,Heerhugowaard,6,VolkerRail,,,,
127,,,Telecom,Zeeland,310,Roosendaal,19,Strukton Rail,,,,
128,,,Baan,Wadden,420,Groningen,37,Strukton Rail,,,,
129,,,Basis,Limburg,340,Maastricht,26,Strukton Rail,,,,
130,,,Telecom,De Peel,300,Venlo,27,ASSET Rail,,,,
131,,,Basis,Veluwe,430,IJsselstreek,31,Strukton Rail,,,,
132,,,Kunstwerken,Brabant,330,Breda,20,ASSET Rail,,,,
133,,,BVL,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
134,,,Telecom,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
135,,,3kv,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
136,,,BVL,Neerlands Midden,250,Utrecht,13,ASSET Rail,,,,
137,,,Telecom,Zee-Zevenaar,130,Kijfhoek,99,VolkerRail,,,,
138,,,3kv,Drenthe,440,Overijssel,34,ASSET Rail,,,,
139,,,BVL,Drenthe,440,Drenthe,35,ASSET Rail,,,,
140,,,3kv,De Peel,300,Venlo,27,ASSET Rail,,,,
141,,,Telecom,Hollands Noorderkwartier,210,Alkmaar,7,VolkerRail,,,,
142,,,BVL,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
143,,,Seinwezen,Eemland,200,Amersfoort,12,ASSET Rail,,,,
144,,,Telecom,Zee-Zevenaar,130,A15trace,71,VolkerRail,,,,
145,,,BVL,Drenthe,440,Overijssel,34,ASSET Rail,,,,
146,,,Kunstwerken,Kennemerland,240,Haarlem,8,Strukton Rail,,,,
147,,,Seinwezen,Wadden,420,Friesland,36,Strukton Rail,,,,
148,,,Seinwezen,De Peel,300,Venlo,27,ASSET Rail,,,,
149,,,Kunstwerken,Zee-Zevenaar,130,Kijfhoek,99,VolkerRail,,,,
150,,,3kv,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
151,,,Seinwezen,Eemland,200,Amersfoort,12,ASSET Rail,,,,
152,,,BVL,Wadden,420,Friesland,36,Strukton Rail,,,,
153,,,Seinwezen,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
154,,,Telecom,Wadden,420,Groningen,37,Strukton Rail,,,,
155,,,Telecom,Drenthe,440,Drenthe,35,ASSET Rail,,,,
156,,,Telecom,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
157,,,Baan,Drenthe,440,Overijssel,34,ASSET Rail,,,,
158,,,Seinwezen,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
159,,,3kv,Amstelsepoort,230,Duivendrecht,10,Strukton Rail,,,,
160,,,3kv,Neerlands Midden,250,Utrecht,13,ASSET Rail,,,,
161,,,Baan,De Peel,300,Eindhoven,24,ASSET Rail,,,,
162,,,Seinwezen,Den Haag,110,Den Haag,2,VolkerRail,,,,
163,,,3kv,Zeeland,310,Roosendaal,19,Strukton Rail,,,,
164,,,3kv,Gelre,400,Achterhoek,30,ASSET Rail,,,,
165,,,BVL,,,,,,,,,
166,,,Seinwezen,Gelre,400,Maas en Waal,28,ASSET Rail,,,,
167,,,Seinwezen,Twente,410,Twente,32,VolkerRail,,,,
168,,,3kv,Gelre,400,Maas en Waal,28,ASSET Rail,,,,
169,,,Kunstwerken,Zeeland,310,Roosendaal,19,Strukton Rail,,,,
170,,,Kunstwerken,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
171,,,Telecom,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
172,,,Basis,Zeeland,310,Goes,18,Strukton Rail,,,,
173,,,Kunstwerken,Hollands Noorderkwartier,210,Alkmaar,7,VolkerRail,,,,
174,,,Kunstwerken,Eemland,200,Amersfoort,12,ASSET Rail,,,,
175,,,Kunstwerken,Twente,410,Twente,32,VolkerRail,,,,
176,,,Seinwezen,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
177,,,Seinwezen,Limburg,340,Roermond,25,Strukton Rail,,,,
178,,,Basis,Wadden,420,Groningen,37,Strukton Rail,,,,
179,,,Seinwezen,Amstelsepoort,230,Weesp,11,Strukton Rail,,,,
180,,,Baan,Limburg,340,Maastricht,26,Strukton Rail,,,,
181,,,Kunstwerken,Wadden,420,Groningen,37,Strukton Rail,,,,
182,,,Baan,De Peel,300,Venlo,27,ASSET Rail,,,,
183,,,Baan,Hollands Noorderkwartier,210,Alkmaar,7,VolkerRail,,,,
184,,,Basis,Zeeland,310,Roosendaal,19,Strukton Rail,,,,
185,,,Baan,Eemland,200,Amersfoort,12,ASSET Rail,,,,
186,,,Baan,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
187,,,Kunstwerken,Den Haag,110,Den Haag,2,VolkerRail,,,,
188,,,Seinwezen,Zeeland,310,Goes,18,Strukton Rail,,,,
189,,,Kunstwerken,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
190,,,3kv,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
191,,,BVL,Gelre,400,Maas en Waal,28,ASSET Rail,,,,
192,,,3kv,Dordrecht,140,Dordrecht,5,ASSET Rail,,,,
193,,,Telecom,Eemland,200,Amersfoort,12,ASSET Rail,,,,
194,,,3kv,Rotterdam,120,Rotterdam,3,VolkerRail,,,,
195,,,BVL,Veluwe,430,IJsselstreek,31,Strukton Rail,,,,
196,,,Basis,,,,,,,,,
197,,,Basis,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
198,,,Seinwezen,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
199,,,3kv,Zeeland,310,Roosendaal,19,Strukton Rail,,,,
200,,,3kv,Kennemerland,240,Haarlem,8,Strukton Rail,,,,
201,,,3kv,De Peel,300,Venlo,27,ASSET Rail,,,,
202,,,Basis,Amstelsepoort,230,Weesp,11,Strukton Rail,,,,
203,,,Telecom,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
204,,,BVL,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
205,,,Seinwezen,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
206,,,Seinwezen,Kennemerland,240,Haarlem,8,Strukton Rail,,,,
207,,,Seinwezen,Limburg,340,Maastricht,26,Strukton Rail,,,,
208,,,Telecom,Eemland,200,Amersfoort,12,ASSET Rail,,,,
209,,,Seinwezen,Wadden,420,Groningen,37,Strukton Rail,,,,
210,,,BVL,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
211,,,BVL,Den Haag,110,Den Haag,2,VolkerRail,,,,
212,,,Baan,Den Haag,110,Den Haag,2,VolkerRail,,,,
213,,,Telecom,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
214,,,Telecom,Zee-Zevenaar,130,A15trace,71,VolkerRail,,,,
215,,,BVL,De Peel,300,Eindhoven,24,ASSET Rail,,,,
216,,,Seinwezen,Rotterdam,120,Rotterdam,3,VolkerRail,,,,
217,,,Seinwezen,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
218,,,Kunstwerken,Kennemerland,240,Haarlem,8,Strukton Rail,,,,
219,,,Telecom,Wadden,420,Groningen,37,Strukton Rail,,,,
220,,,3kv,Limburg,340,Maastricht,26,Strukton Rail,,,,
221,,,Telecom,Den Haag,110,Den Haag,2,VolkerRail,,,,
222,,,Basis,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
223,,,Telecom,Drenthe,440,Overijssel,34,ASSET Rail,,,,
224,,,Telecom,Eemland,200,Amersfoort,12,ASSET Rail,,,,
225,,,Kunstwerken,Den Haag,110,Den Haag,2,VolkerRail,,,,
226,,,BVL,Gelre,400,Maas en Waal,28,ASSET Rail,,,,
227,,,Baan,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
228,,,Basis,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
229,,,Basis,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
230,,,Telecom,Zeeland,310,Goes,18,Strukton Rail,,,,
231,,,Seinwezen,Amstelsepoort,230,Weesp,11,Strukton Rail,,,,
232,,,Telecom,De Peel,300,Eindhoven,24,ASSET Rail,,,,
233,,,Seinwezen,Drenthe,440,Overijssel,34,ASSET Rail,,,,
234,,,Telecom,Zee-Zevenaar,130,Kijfhoek,99,VolkerRail,,,,
235,,,Telecom,Neerlands Midden,250,Utrecht,13,ASSET Rail,,,,
236,,,Kunstwerken,Neerlands Midden,250,Utrecht,13,ASSET Rail,,,,
237,,,Basis,Den Haag,110,Den Haag,2,VolkerRail,,,,
238,,,Kunstwerken,Neerlands Midden,250,Utrecht,13,ASSET Rail,,,,
239,,,Basis,Eemland,200,Amersfoort,12,ASSET Rail,,,,
240,,,3kv,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
241,,,3kv,Amstelsepoort,230,Weesp,11,Strukton Rail,,,,
242,,,Telecom,Zeeland,310,Goes,18,Strukton Rail,,,,
243,,,Baan,,,,,,,,,
244,,,3kv,De Peel,300,Eindhoven,24,ASSET Rail,,,,
245,,,3kv,Zeeland,310,Goes,18,Strukton Rail,,,,
246,,,3kv,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
247,,,Telecom,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
248,,,Kunstwerken,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
249,,,Seinwezen,Wadden,420,Friesland,36,Strukton Rail,,,,
250,,,Baan,Eemland,200,Amersfoort,12,ASSET Rail,,,,
251,,,Seinwezen,Gelre,400,Maas en Waal,28,ASSET Rail,,,,
252,,,Baan,Wadden,420,Groningen,37,Strukton Rail,,,,
253,,,Baan,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
254,,,Kunstwerken,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
255,,,Kunstwerken,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
256,,,Seinwezen,Dordrecht,140,Dordrecht,5,ASSET Rail,,,,
257,,,3kv,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
258,,,Baan,Neerlands Midden,250,Utrecht,13,ASSET Rail,,,,
259,,,Seinwezen,Den Haag,110,Den Haag,2,VolkerRail,,,,
260,,,Telecom,Den Haag,110,Den Haag,2,VolkerRail,,,,
261,,,3kv,Limburg,340,Maastricht,26,Strukton Rail,,,,
262,,,3kv,De Peel,300,Eindhoven,24,ASSET Rail,,,,
263,,,Baan,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
264,,,Seinwezen,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
265,,,Seinwezen,Den Haag,110,Den Haag,2,VolkerRail,,,,
266,,,Kunstwerken,Zee-Zevenaar,130,Kijfhoek,99,VolkerRail,,,,
267,,,Baan,Drenthe,440,Drenthe,35,ASSET Rail,,,,
268,,,BVL,Betuwe,320,Den Bosch,21,Strukton Rail,,,,
269,,,Seinwezen,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
270,,,BVL,Rotterdam,120,Rotterdam,3,VolkerRail,,,,
271,,,Kunstwerken,Wadden,420,Friesland,36,Strukton Rail,,,,
272,,,Basis,Veluwe,430,IJsselstreek,31,Strukton Rail,,,,
273,,,Baan,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
274,,,Seinwezen,Limburg,340,Roermond,25,Strukton Rail,,,,
275,,,Seinwezen,De Peel,300,Eindhoven,24,ASSET Rail,,,,
276,,,Basis,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
277,,,Basis,Neerlands Midden,250,Utrecht,13,ASSET Rail,,,,
278,,,Seinwezen,Den Haag,110,Den Haag,2,VolkerRail,,,,
279,,,Kunstwerken,Limburg,340,Roermond,25,Strukton Rail,,,,
280,,,BVL,Hollands Noorderkwartier,210,Alkmaar,7,VolkerRail,,,,
281,,,Basis,Wadden,420,Groningen,37,Strukton Rail,,,,
282,,,Seinwezen,Drenthe,440,Drenthe,35,ASSET Rail,,,,
283,,,Baan,Kennemerland,240,Haarlem,8,Strukton Rail,,,,
284,,,Baan,Wadden,420,Groningen,37,Strukton Rail,,,,
285,,,Baan,Rijn en Gouwe,100,Rijn en Gouwe,81,BAM Rail,,,,
286,,,3kv,Neerlands Midden,250,Utrecht,13,ASSET Rail,,,,
287,,,Baan,Eemland,200,Amersfoort,12,ASSET Rail,,,,
288,,,BVL,Zee-Zevenaar,130,A15trace,71,VolkerRail,,,,
289,,,Telecom,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
290,,,Telecom,Zeeland,310,Goes,18,Strukton Rail,,,,
291,,,BVL,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
292,,,Telecom,Eemland,200,Amersfoort,12,ASSET Rail,,,,
293,,,3kv,Kennemerland,240,Haarlem,8,Strukton Rail,,,,
294,,,Seinwezen,Den Haag,110,Den Haag,2,VolkerRail,,,,
295,,,Seinwezen,Rotterdam,120,Rotterdam,3,VolkerRail,,,,
296,,,Seinwezen,Zee-Zevenaar,130,A15trace,71,VolkerRail,,,,
297,,,Telecom,Wadden,420,Friesland,36,Strukton Rail,,,,
298,,,3kv,Limburg,340,Maastricht,26,Strukton Rail,,,,
299,,,3kv,Zeeland,310,Goes,18,Strukton Rail,,,,
300,,,Seinwezen,Dordrecht,140,Dordrecht,5,ASSET Rail,,,,
301,,,Kunstwerken,Zee-Zevenaar,130,Kijfhoek,99,VolkerRail,,,,
302,,,BVL,Zeeland,310,Roosendaal,19,Strukton Rail,,,,
303,,,Telecom,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
304,,,Basis,Eemland,200,Amersfoort,12,ASSET Rail,,,,
305,,,Basis,Neerlands Midden,250,Utrecht,13,ASSET Rail,,,,
306,,,Seinwezen,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
307,,,Telecom,De Peel,300,Eindhoven,24,ASSET Rail,,,,
308,,,3kv,Betuwe,320,Den Bosch,21,Strukton Rail,,,,
309,,,Telecom,Twente,410,Twente,32,VolkerRail,,,,
310,,,Seinwezen,Den Haag,110,Den Haag,2,VolkerRail,,,,
311,,,Baan,Neerlands Midden,250,Utrecht,13,ASSET Rail,,,,
312,,,Basis,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
313,,,BVL,Drenthe,440,Overijssel,34,ASSET Rail,,,,
314,,,BVL,Rotterdam,120,Rotterdam,3,VolkerRail,,,,
315,,,BVL,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
316,,,Seinwezen,Den Haag,110,Den Haag,2,VolkerRail,,,,
317,,,BVL,Kennemerland,240,Haarlem,8,Strukton Rail,,,,
318,,,Telecom,Neerlands Midden,250,Utrecht,13,ASSET Rail,,,,
319,,,3kv,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
320,,,Kunstwerken,Zee-Zevenaar,130,Kijfhoek,99,VolkerRail,,,,
321,,,Basis,Zeeland,310,Roosendaal,19,Strukton Rail,,,,
322,,,Basis,Eemland,200,Amersfoort,12,ASSET Rail,,,,
323,,,BVL,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
324,,,Baan,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
325,,,Telecom,Gelre,400,Achterhoek,30,ASSET Rail,,,,
326,,,Seinwezen,Drenthe,440,Drenthe,35,ASSET Rail,,,,
327,,,BVL,Twente,410,Twente,32,VolkerRail,,,,
328,,,3kv,Kennemerland,240,Haarlem,8,Strukton Rail,,,,
329,,,Basis,Drenthe,440,Drenthe,35,ASSET Rail,,,,
330,,,3kv,Limburg,340,Maastricht,26,Strukton Rail,,,,
331,,,Telecom,De Peel,300,Eindhoven,24,ASSET Rail,,,,
332,,,Telecom,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
333,,,Seinwezen,Limburg,340,Maastricht,26,Strukton Rail,,,,
334,,,Seinwezen,Eemland,200,Amersfoort,12,ASSET Rail,,,,
335,,,Seinwezen,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
336,,,BVL,Den Haag,110,Den Haag,2,VolkerRail,,,,
337,,,Baan,De Peel,300,Eindhoven,24,ASSET Rail,,,,
338,,,Telecom,Dordrecht,140,Dordrecht,5,ASSET Rail,,,,
339,,,Seinwezen,Brabant,330,Breda,20,ASSET Rail,,,,
340,,,Baan,Neerlands Midden,250,Utrecht,13,ASSET Rail,,,,
341,,,Telecom,Zeeland,310,Roosendaal,19,Strukton Rail,,,,
342,,,3kv,Amstelsepoort,230,Weesp,11,Strukton Rail,,,,
343,,,Kunstwerken,Twente,410,Twente,32,VolkerRail,,,,
344,,,3kv,Amstelsepoort,230,Weesp,11,Strukton Rail,,,,
345,,,Seinwezen,Amstelsepoort,230,Weesp,11,Strukton Rail,,,,
346,,,Baan,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
347,,,Seinwezen,Eemland,200,Amersfoort,12,ASSET Rail,,,,
348,,,Basis,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
349,,,Seinwezen,Hollands Noorderkwartier,210,Alkmaar,7,VolkerRail,,,,
350,,,BVL,Zee-Zevenaar,130,Kijfhoek,99,VolkerRail,,,,
351,,,Kunstwerken,,,,,,,,,
352,,,Basis,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
353,,,3kv,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
354,,,Baan,Amstelsepoort,230,Duivendrecht,10,Strukton Rail,,,,
355,,,Telecom,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
356,,,Basis,Eemland,200,Amersfoort,12,ASSET Rail,,,,
357,,,Kunstwerken,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
358,,,3kv,Zee-Zevenaar,130,Kijfhoek,99,VolkerRail,,,,
359,,,BVL,Veluwe,430,IJsselstreek,31,Strukton Rail,,,,
360,,,3kv,Limburg,340,Maastricht,26,Strukton Rail,,,,
