FID,OVW_STARTDATUM,BOOMHOOGTE,BOOMKLASSE,BOOMSOORT,BUURT,EIGENAAR,FOTO,FUNCTIE,GEOMETRIE,GEOVISIA_ID,KROONDIAMETER,NEDERLANDSE_NAAM,OBJECT_EINDDATUM,PLANTJAAR,PLANTWIJZE,REDEN_WAARDEVOL,STAMDIAMETER,STANDPLAATS,STATUS,STRAATNAAM,WIJKNAAM,LATITUDE,LONGITUDE,STATUS_AFVALLIJST,FOTO_ORG,OVW_MAX_SIZE
Monumentale_bomen.142436,2023-02-03,18-24 m,Geen vrije uitgroei,Fagus sylvatica,Huijgenslaan e.o.,Gemeente Amersfoort,FB725772-7085-47C6-AC06-872C3E247B3F,Buurt- en blokgroen,POINT (52.14586515754414 5.371108223796671),2C15F094-71C0-4764-87CF-4952F78909DF,24,gewone beuk,,1920,Bomenrij,Beeldbepalendheid,76-100 cm,Asfalt,Monumentaal,Huijgenslaan,De Berg-Zuid,52.1458615804978,5.37110850468094,Monumentale boom APV 2017,FB725772-7085-47C6-AC06-872C3E247B3F,0

Monumentale_bomen.142437,2023-02-03,18-24 m,Geen vrije uitgroei,Fagus sylvatica,Huijgenslaan e.o.,Gemeente Amersfoort,483CBB2E-D2F8-4D75-A484-FC4BC237DACA,Buurt- en blokgroen,POINT (52.147378151534454 5.373717034997658),D7859AFD-1A30-411E-A34E-62E74CED0464,24,gewone beuk,,1920,Bomenrij,Beeldbepalendheid,100-125 cm,Asfalt,Monumentaal,Huijgenslaan,De Berg-Zuid,52.1473745814787,5.37371728721817,Monumentale boom APV 2017,483CBB2E-D2F8-4D75-A484-FC4BC237DACA,0

Monumentale_bomen.142438,2023-02-03,18-24 m,Geen vrije uitgroei,Robinia pseudoacacia,Vlasakkers,Gemeente Amersfoort,14D46BFD-790B-42D7-9C86-EF720D54A461,Bos- en natuurgebieden,POINT (52.14043010272964 5.35369041453544),CAB97EF8-B076-49D4-BFDC-CAC6E5645F50,15,valse acacia,,1930,Groep,Beeldbepalendheid,76-100 cm,Ruw gras,Monumentaal,Stichtse Rotonde,Bosgebied,52.1404264648868,5.35369082151105,,14D46BFD-790B-42D7-9C86-EF720D54A461,0

Monumentale_bomen.142439,2023-02-03,18-24 m,Geen vrije uitgroei,Quercus rubra,Staatsliedenbuurt-Oost,Gemeente Amersfoort,6402CC0D-0DF8-49DF-B2BD-574E22EC69EC,Buurt- en blokgroen,POINT (52.152029912997584 5.3705931579244695),6D8F27DE-1D94-48C2-9DF6-2A60C29072FF,21,Amerikaanse eik,,< 1930,Bomenrij,Beeldbepalendheid,76-100 cm,Gazon,Monumentaal,Heinsiuslaan,De Berg-Noord,52.1520263105056,5.37059336364915,Monumentale boom APV 2017,6402CC0D-0DF8-49DF-B2BD-574E22EC69EC,0

Monumentale_bomen.142440,2023-02-03,18-24 m,Geen vrije uitgroei,Quercus rubra,Staatsliedenbuurt-Oost,Gemeente Amersfoort,99FCDB15-F8E8-47F0-B591-93DAF48AB78F,Buurt- en blokgroen,POINT (52.152382243789404 5.370620790292764),216F26D9-4EF3-424B-94F7-ABC59852231A,24,Amerikaanse eik,,< 1930,Bomenrij,Beeldbepalendheid,100-125 cm,Asfalt,Monumentaal,Heinsiuslaan,De Berg-Noord,52.1523786400483,5.37062099150323,Monumentale boom APV 2017,99FCDB15-F8E8-47F0-B591-93DAF48AB78F,0

Monumentale_bomen.142441,2023-02-03,18-24 m,Geen vrije uitgroei,Fagus sylvatica,Huijgenslaan e.o.,Gemeente Amersfoort,6950A058-B6D4-4B13-B308-AD3269412D8B,Buurt- en blokgroen,POINT (52.14661582778229 5.372478353287171),BA5E82AE-1996-4137-95C4-7A1C33D96C88,24,gewone beuk,,1920,Bomenrij,Beeldbepalendheid,100-125 cm,Asfalt,Monumentaal,Huijgenslaan,De Berg-Zuid,52.1466122545635,5.37247861972701,Monumentale boom APV 2017,6950A058-B6D4-4B13-B308-AD3269412D8B,0

Monumentale_bomen.142442,2023-02-03,12-15 m,Geen vrije uitgroei,Castanea sativa,Juliana van Stolberg,Gemeente Amersfoort,06C81BDE-DBD4-4D33-B721-99B0AC83B7D2,Buurt- en blokgroen,POINT (52.14606193455817 5.37957733767809),451C8DB4-F292-4412-B8E3-68EC694EA04A,15,tamme kastanje,,1930,Bomenrij,Beeldbepalendheid,76-100 cm,Gazon,Monumentaal,Graaf Willemlaan,De Berg-Zuid,52.1460583977206,5.37957758519237,Monumentale boom APV 2017,06C81BDE-DBD4-4D33-B721-99B0AC83B7D2,0

Monumentale_bomen.142443,2023-02-03,18-24 m,Geen vrije uitgroei,Quercus rubra,Klein Zwitserland-Laag,Gemeente Amersfoort,6B339340-07DE-4336-A501-BE749E885A9E,Buurt- en blokgroen,POINT (52.137699972703274 5.372119330529758),D79F1126-2736-4BFA-BAFE-C9317FBCB3A7,18,Amerikaanse eik,,1900,Groep,Beeldbepalendheid,76-100 cm,Gazon,Monumentaal,Kapelweg,De Berg-Zuid,52.1376964276225,5.37211971043124,,6B339340-07DE-4336-A501-BE749E885A9E,0

Monumentale_bomen.142444,2023-02-03,18-24 m,Geen vrije uitgroei,Quercus rubra,Regentesselaan e.o.,Gemeente Amersfoort,0E36D1D3-1CA5-419D-B194-06074CBB4F21,Buurt- en blokgroen,POINT (52.14948460479408 5.3718727177343935),193853C2-433C-4895-9B76-D7BF0B49D257,24,Amerikaanse eik,,<1930,Bomenrij,Beeldbepalendheid,76-100 cm,Asfalt,Monumentaal,Koningin Sophialaan,De Berg-Noord,52.1494810181303,5.37187295034965,Categorie 2,0E36D1D3-1CA5-419D-B194-06074CBB4F21,0

Monumentale_bomen.142445,2023-02-03,18-24 m,Geen vrije uitgroei,Quercus rubra,Huijgenslaan e.o.,Gemeente Amersfoort,9F77ACC8-FC36-4770-8477-730F7DFBBA4F,Buurt- en blokgroen,POINT (52.14733131350913 5.3728535972352045),5158FD74-6EE1-415D-9DBB-DFE0C9381822,21,Amerikaanse eik,,1930*,Bomenrij,Beeldbepalendheid,100-125 cm,Asfalt,Monumentaal,Bilderdijklaan,De Berg-Zuid,52.1473277394911,5.3728538532625,Monumentale boom APV 2017,9F77ACC8-FC36-4770-8477-730F7DFBBA4F,0

Monumentale_bomen.142446,2023-02-03,18-24 m,Geen vrije uitgroei,Quercus rubra,Huijgenslaan e.o.,Gemeente Amersfoort,AD5545E7-E44D-4027-A22F-ACA3CF1670A6,Buurt- en blokgroen,POINT (52.147218092146126 5.373077165843199),7F9FE105-82BF-470F-8A3A-ACAC56A92EB7,21,Amerikaanse eik,,1930*,Bomenrij,Beeldbepalendheid,100-125 cm,Gazon,Monumentaal,Bilderdijklaan,De Berg-Zuid,52.1472145196086,5.37307742246908,Monumentale boom APV 2017,AD5545E7-E44D-4027-A22F-ACA3CF1670A6,0

Monumentale_bomen.142447,2023-02-03,18-24 m,Geen vrije uitgroei,Fagus sylvatica Atropunicea,Huijgenslaan e.o.,Gemeente Amersfoort,D2495E8C-E3FA-4D1E-A023-CC21C49312E9,Buurt- en blokgroen,POINT (52.149076229127544 5.376219321436485),A4216884-B3EF-4FCD-BEC8-6FA534BB0354,27,bruine beuk,,1900,Bomenrij,Beeldbepalendheid,100-125 cm,Asfalt,Monumentaal,Steven van der Hagenlaan,De Berg-Zuid,52.1490726648715,5.37621954257941,Monumentale boom APV 2017,D2495E8C-E3FA-4D1E-A023-CC21C49312E9,0

Monumentale_bomen.142448,2023-02-03,>24 m,Geen vrije uitgroei,Quercus rubra,Oranjebuurt,Gemeente Amersfoort,18D84E4C-144C-4544-B829-CC9FAF2C6179,Buurt- en blokgroen,POINT (52.14550336555939 5.367901586280271),488257D5-D7E4-41B0-8F28-41C28FB612D2,24,Amerikaanse eik,,<1930,Bomenrij,Beeldbepalendheid,76-100 cm,Asfalt,Monumentaal,Dillenburglaan,De Berg-Noord,52.1454997747084,5.36790188329837,Categorie 2,18D84E4C-144C-4544-B829-CC9FAF2C6179,0

Monumentale_bomen.142449,2023-02-03,18-24 m,Geen vrije uitgroei,Quercus rubra,Oranjebuurt,Gemeente Amersfoort,E81AB3C5-36A9-44C4-A3AD-262D5A97C260,Buurt- en blokgroen,POINT (52.145440402193664 5.367609425381086),C27CB6D0-D4AB-480B-8F5A-B2B596E86BAC,24,Amerikaanse eik,,<1930,Bomenrij,Beeldbepalendheid,76-100 cm,Asfalt,Monumentaal,Dillenburglaan,De Berg-Noord,52.1454368102015,5.36760972423243,Categorie 2,E81AB3C5-36A9-44C4-A3AD-262D5A97C260,0

Monumentale_bomen.142450,2023-02-03,18-24 m,Geen vrije uitgroei,Quercus rubra,Staatsliedenbuurt-Oost,Gemeente Amersfoort,61E2AF2F-7531-4F78-9E34-E1C62B5F9137,Buurt- en blokgroen,POINT (52.15185195068247 5.370584456669579),FE1A93B5-B1D2-4B7C-8B72-3E061ACD772C,24,Amerikaanse eik,,< 1930,Bomenrij,Beeldbepalendheid,76-100 cm,Gazon,Monumentaal,Heinsiuslaan,De Berg-Noord,52.1518483488437,5.37058466465303,Monumentale boom APV 2017,61E2AF2F-7531-4F78-9E34-E1C62B5F9137,0

Monumentale_bomen.142451,2023-02-03,18-24 m,Geen vrije uitgroei,Quercus rubra,Staatsliedenbuurt-Oost,Gemeente Amersfoort,962B8720-FE77-4952-A538-6B818866D0CC,Buurt- en blokgroen,POINT (52.15246671482645 5.370509710316406),D8211763-3459-4B83-A771-57E608A3B0AB,27,Amerikaanse eik,,< 1930,Bomenrij,Beeldbepalendheid,100-125 cm,Asfalt,Monumentaal,Heinsiuslaan,De Berg-Noord,52.1524631102282,5.37050991091675,Monumentale boom APV 2017,962B8720-FE77-4952-A538-6B818866D0CC,0

Monumentale_bomen.142452,2023-02-03,18-24 m,Geen vrije uitgroei,Fagus sylvatica,Huijgenslaan e.o.,Gemeente Amersfoort,D5F578CD-0909-4247-85A2-C3E225ACFD5D,Buurt- en blokgroen,POINT (52.14720555136503 5.373439497120026),02287675-3AFC-4875-BF2D-F7B1F707A218,24,gewone beuk,,1920,Bomenrij,Beeldbepalendheid,76-100 cm,Asfalt,Monumentaal,Huijgenslaan,De Berg-Zuid,52.1472019806071,5.37343975255854,Monumentale boom APV 2017,D5F578CD-0909-4247-85A2-C3E225ACFD5D,0

Monumentale_bomen.142453,2023-02-03,18-24 m,Geen vrije uitgroei,Quercus rubra,Klein Zwitserland-Laag,Gemeente Amersfoort,819C8914-2F61-4454-B806-8A4FA8A8DF01,Buurt- en blokgroen,POINT (52.136780808998694 5.370405147954745),75C027FC-046C-4582-9EFF-E29BBA2E6ADB,30,Amerikaanse eik,,1900,Groep,Beeldbepalendheid,126-150 cm,Gazon,Monumentaal,Kapelweg,De Berg-Zuid,52.1367772586099,5.37040554476918,,819C8914-2F61-4454-B806-8A4FA8A8DF01,0

Monumentale_bomen.142454,2023-02-03,18-24 m,Geen vrije uitgroei,Quercus rubra,Vlasakkers,Gemeente Amersfoort,D9A97AE4-76CB-4E16-BE4D-2FFF6CB72494,Bos- en natuurgebieden,POINT (52.14187829604236 5.354530766778453),59B789FD-3BCA-4F92-A1BB-BD0714BA234A,27,Amerikaanse eik,,1930*,Groep,Beeldbepalendheid,100-125 cm,Ruw gras,Monumentaal,Daam Fockemalaan,Bosgebied,52.1418746571086,5.35453115418204,,D9A97AE4-76CB-4E16-BE4D-2FFF6CB72494,0

Monumentale_bomen.142455,2023-02-03,15-18 m,Geen vrije uitgroei,Tilia x europaea Euchlora,Juliana van Stolberg,Gemeente Amersfoort,6008B67B-4EFE-437B-BC07-73E4374FAD45,Pareltjes,POINT (52.14699227325033 5.381106838931097),7E241F57-9095-4C13-8573-104C70DCF3F0,15,Krimlinde,,1930,Bomenrij,Beeldbepalendheid,51-75 cm,Gazon,Monumentaal,Graaf Hendriklaan,De Berg-Zuid,52.1469887406207,5.38110706868705,Monumentale boom APV 2017,6008B67B-4EFE-437B-BC07-73E4374FAD45,0

Monumentale_bomen.142456,2023-02-03,18-24 m,Geen vrije uitgroei,Tilia x europaea Euchlora,Juliana van Stolberg,Gemeente Amersfoort,82613A51-9B8D-4DCD-8041-EDFC20FE8D5D,Pareltjes,POINT (52.147057871361575 5.380836546604632),5DEAACFF-6D5D-4CBA-8037-F065BA8867C2,15,Krimlinde,,1930,Bomenrij,Beeldbepalendheid,51-75 cm,Gazon,Monumentaal,Graaf Hendriklaan,De Berg-Zuid,52.1470543371561,5.38083677650326,Monumentale boom APV 2017,82613A51-9B8D-4DCD-8041-EDFC20FE8D5D,0

Monumentale_bomen.142457,2023-02-03,15-18 m,Geen vrije uitgroei,Tilia x europaea Euchlora,Juliana van Stolberg,Gemeente Amersfoort,804EACB9-0737-4FB9-9312-94D9E0DB81C7,Pareltjes,POINT (52.14708482785208 5.380699209475754),DDDB4333-1FCF-4C3E-B602-B6B9BA66EAA8,15,Krimlinde,,1930,Bomenrij,Beeldbepalendheid,51-75 cm,Gazon,Monumentaal,Graaf Hendriklaan,De Berg-Zuid,52.1470812928694,5.38069943953095,Monumentale boom APV 2017,804EACB9-0737-4FB9-9312-94D9E0DB81C7,0

Monumentale_bomen.142458,2023-02-03,15-18 m,Geen vrije uitgroei,Tilia x europaea Euchlora,Juliana van Stolberg,Gemeente Amersfoort,67795877-2FDE-4EC4-9FD0-D4165D1D3D16,Pareltjes,POINT (52.14711537928716 5.380560410723502),AF445A15-439B-4E09-8956-C60651158EF3,15,Krimlinde,,1930,Bomenrij,Beeldbepalendheid,51-75 cm,Gazon,Monumentaal,Graaf Hendriklaan,De Berg-Zuid,52.1471118435075,5.38056064089416,Monumentale boom APV 2017,67795877-2FDE-4EC4-9FD0-D4165D1D3D16,0

Monumentale_bomen.142459,2023-02-03,18-24 m,Geen vrije uitgroei,Tilia x europaea Euchlora,Juliana van Stolberg,Gemeente Amersfoort,9D5764FD-CA5C-473C-A229-D4682904BEF1,Pareltjes,POINT (52.14714952557967 5.380418689184461),DFFC0B5D-0102-4684-A996-F0A885073F77,15,Krimlinde,,1930,Bomenrij,Beeldbepalendheid,51-75 cm,Gazon,Monumentaal,Graaf Hendriklaan,De Berg-Zuid,52.1471459889758,5.38041891943498,Monumentale boom APV 2017,9D5764FD-CA5C-473C-A229-D4682904BEF1,0

Monumentale_bomen.142460,2023-02-03,18-24 m,Geen vrije uitgroei,Tilia x europaea Euchlora,Juliana van Stolberg,Gemeente Amersfoort,514A0091-9E36-4264-8549-8F717DA3284A,Pareltjes,POINT (52.1471800767472 5.380279890039042),4E5C4BCE-2093-445F-A44D-28D94C2328B5,15,Krimlinde,,1930,Bomenrij,Beeldbepalendheid,51-75 cm,Gazon,Monumentaal,Graaf Hendriklaan,De Berg-Zuid,52.1471765393471,5.38028012040602,Monumentale boom APV 2017,514A0091-9E36-4264-8549-8F717DA3284A,0

Monumentale_bomen.142461,2023-02-03,18-24 m,Geen vrije uitgroei,Tilia x europaea Euchlora,Juliana van Stolberg,Gemeente Amersfoort,464D4305-BE68-41FD-A84F-18C223221A00,Pareltjes,POINT (52.147211526329365 5.380138168496869),68D1044D-4A03-4BA9-9E60-93E980AC54BC,15,Krimlinde,,1930,Bomenrij,Beeldbepalendheid,51-75 cm,Gazon,Monumentaal,Graaf Hendriklaan,De Berg-Zuid,52.1472079881156,5.38013839897994,Monumentale boom APV 2017,464D4305-BE68-41FD-A84F-18C223221A00,0

Monumentale_bomen.142462,2023-02-03,18-24 m,Geen vrije uitgroei,Quercus rubra,Vlasakkers,Gemeente Amersfoort,2FB5E539-B256-4F58-9F19-996370E974B5,Bos- en natuurgebieden,POINT (52.14164728683916 5.354462276654623),2CFB9904-08D0-477D-84C6-DE7B062B1F4E,24,Amerikaanse eik,,1930,Groep,Beeldbepalendheid,100-125 cm,Ruw gras,Monumentaal,Daam Fockemalaan,Bosgebied,52.1416436483736,5.35446266696652,,2FB5E539-B256-4F58-9F19-996370E974B5,0

