id;omschrijving;guid;punt_geometrie
542834;Zuiderzee/IJdoorn;{42776A72-E193-4992-AC96-2779FE436B2C};POINT (117337.14227476735 496141.0522102291)
542835;Cor Geugjesstraat;{BACD70F9-B6A0-4AE6-960A-0324D2FECBA9};POINT (117276.39466277874 495197.55802114017)
542836;Rederstraat;{E1C9FA3D-D41E-4AA6-80CD-BED188C7EC55};POINT (117030.9888735141 495256.1494251563)
542837;Brusselse straat Veldpark;{3DFE1C90-B035-4701-A40F-3A08B3BDBA62};POINT (116996.10142087216 495726.6581626749)
542838;Herderstraat;{D082C332-A764-4C8E-B1AA-28EED39119A0};POINT (116711.16885913035 495953.01424826833)
542839;Koning Davidstraat;{E0AAF71F-7FD9-4EE3-A989-C886E515BC13};POINT (116570.29934093436 496212.5108723098)
542841;Boeg de;{8B898552-3F8E-48A6-A9E6-89862895F3FF};POINT (116743.74730710592 495136.46560790454)
542842;Perzikkruidweg bij school;{2BDD4316-5E0E-4C15-81CC-635B715D3622};POINT (117210.52376650226 496861.2021666528)
542843;Fluitekruidweg to. Wijde Blik;{9ADBE01A-92C3-45E0-B52E-539CFEE585E9};POINT (117345.51710672642 496895.6817638348)
542844;Leverkruidweg 100 RECHTS;{09C2E71F-0EAE-4231-9024-BADE4DB158C4};POINT (117017.43990648522 496966.1175566602)
542845;Hondsdrafweg (M-4);{54D2CE38-3092-4D76-8192-F14FAEBD03FE};POINT (116648.36428131425 496971.51907110296)
542846;Zilverschoonplein;{0FD67131-51A3-49FB-9EE9-AE4FC96B5A81};POINT (116477.48123903034 497013.6887409888)
542847;Leverkruidweg 301 LINKS;{F95214B3-728D-4899-92E2-8E834F71393B};POINT (116982.8073869889 497080.4997002455)
542848;Paardebloem;{D121E5CE-EB28-4E48-8609-5E28A902FCDB};POINT (116782.51716777454 497158.20180884463)
542849;Ereprijsweg;{8CF0DECD-E524-4E39-9DB1-CE4DEDE07CDB};POINT (116349.95360313577 497043.81477641175)
542850;Hof v. Holland;{F8598C82-9266-49B6-9D66-658A9CBDC5DD};POINT (116427.39729448577 496339.05042852345)
542852;Jagersplas/Reitdiep;{CD005AAD-D1D1-4B8A-9EAB-689641DB496A};POINT (117471.77797276127 497720.9199812206)
542853;Hoendiep (L-9);{F4A8B1E6-6182-4B0D-A881-AB49735902E7};POINT (117194.74877570783 497773.24670279986)
542854;Veenwetering (L-10);{BC106F32-D783-489A-A8D1-BE69A75BF7C5};POINT (117684.19968607508 497843.35983191105)
542855;Scholtenstraat dr. /Oude Zwan (L-1);{D9A5AD9D-789D-4084-B407-6FDC942CF2AE};POINT (116787.12589949784 497785.8636666647)
542856;St. Wilibrordus (L-2);{277BD4A0-7F11-4C7B-A065-2F7DFDB03938};POINT (116847.7356217047 497859.37225755706)
542857;Schildmeer -Nieuwemeer;{E4F6E6C3-DB5A-482E-B732-782D7D8CFAF4};POINT (117925.72898452646 498019.8719637011)
542858;Veersemeer-Amstelmeer;{8FC17F74-3681-42BC-83AD-B649911B58F2};POINT (117826.727409544 498026.65626295883)
542859;Rijn/De Tref;{4070CA0B-03F5-4A7C-8BB3-CE2C65F9301C};POINT (117572.67025628412 497981.32940639096)
542860;Eemmeer (L-23);{127D8DAE-1B0A-419D-8793-A96939B9434C};POINT (117871.77167127813 498231.3301033569)
542861;De Sint Pieter (L-3);{E2D97773-C14B-47E7-8F32-6B4B19105946};POINT (116926.75056201487 497971.73950801406)
542862;De Koopman;{BE2C3901-5561-44F1-B9B0-E451169976A8};POINT (117019.00471851748 498074.1321963968)
542863;Heger/Ketelmeer (L-15);{663362D6-0BE2-404C-80B5-274DBA14C69A};POINT (118044.69971558233 498154.97133772663)
542864;Winkelcentrum Pl. Kalf;{F37F6B4D-CE2F-41BA-A79E-F5A62398C947};POINT (117493.94555324184 497962.16131952597)
542865;Bolksbeek (L-11);{395A379D-D31C-424F-AFE5-F71019FE4A62};POINT (117529.30616431084 498104.82131468994)
542866;Wildschutter de (L-24);{456C96C6-B065-4052-B2CE-7E64E2E11EC8};POINT (117268.15295712615 498195.2215342378)
542867;Lovinkbeek (noordrand);{FB831C03-ABAD-417F-8F31-1A2E2B5BBCD6};POINT (117931.44206787224 498329.5672621785)
542868;Damsterdiep (L-25);{6227CC91-28F4-4A59-AD33-8D8F6A9A0471};POINT (117331.84736152554 497997.06698892335)
542869;Leurbeek  (noordrand);{4B4D2F13-D233-48D9-81ED-0FDF24966ECF};POINT (117704.66610373674 498281.6752942243)
542870;De Lastdrager;{8BC47EDB-9EBE-4E72-84CC-4DC21229924E};POINT (117219.27478583067 498035.9431573935)
542871;Loenensebeek (noordrand) (L-26);{5E807F16-9699-44E9-8B23-6827078D105B};POINT (117797.97593259656 498304.5066747259)
542873;Koerakinstraat;{A0DBE782-F690-4E54-BDD5-89DB3C205ECD};POINT (117195.6345 493560.6435)
542874;Jasykofstraat 9;{D7C0DA15-469D-4EA1-B858-6AE9AC98913C};POINT (116360.5678100569 494486.17870309093)
542875;Sacharovplein;{E43ABFF5-1A79-4888-9E60-A454CFDE15BA};POINT (116561.00565675306 494628.5756041861)
542876;Houthavenkade/Provincialeweg;{35A25DD3-1934-4077-89E8-EEAB89B16980};POINT (116463.49966818302 494113.7500494561)
542877;Hogendijk bij school;{A0B88124-1A15-4674-8425-85C36ACCB261};POINT (116475.43413572689 494386.2016545596)
542878;Archangelstraat;{F1DF106D-4645-49DE-8B66-2D941924C24B};POINT (117178.05779215439 493600.16190772835)
542879;Hallingen;{6E2B24F6-9AFE-427C-AE19-5BDA5E071242};POINT (116942.3854751857 494209.88721111306)
542880;Botenmakersstraat nabij nr. 89;{6D24410B-6E8E-4B19-9065-FEEE5C5005A3};POINT (116336.75537484522 495024.40445777815)
542881;Statenhoek/Groenland 3 (K-6);{B2B1480C-B9F4-4ACB-B05C-19B9C15ED23B};POINT (116230.60921180423 495138.79570604564)
542882;Parkstraat;{36F108E7-7221-45C9-B9F5-44BED13BBECD};POINT (116303.45907960975 495330.1550281866)
542883;Haremakersbuurt / Kauwerspad;{000C4053-B420-44C2-AB7E-E70859453310};POINT (116300.21687941297 495805.27895136987)
542884;Lucy Stonestraat      Balspel;{B9B8E576-CEC2-4A84-91E8-5D7B1DB519FA};POINT (116059.27161426842 494918.2978246907)
542885;Pablo Picassostraat;{0716798D-A38F-4AD6-8752-5911DF01B8A0};POINT (115826.1533333716 496351.34692650975)
542886;Claude Monetstraat;{F51DF40F-8997-4C83-9864-2EC485F118FB};POINT (115994.32581725261 496097.3266672974)
542887;Terschellingstraat (K-1);{306EC1AA-9F94-4251-8BEE-33B3DB280396};POINT (115742.00029688365 496399.2275080934)
542888;Ameland;{6C70ABDD-247D-4BF0-94AA-1FEC9965DDDF};POINT (115582.89988249293 496524.96085861383)
542889;Lucy Stonestraat;{C523EBE1-29A6-463D-89D2-66ECA6676C53};POINT (116041.75511805629 494960.416791563)
542891;Midvoor de;{E3AAA790-6CBB-4657-9111-A7268D795631};POINT (115482.66984061789 494088.9585254445)
542892;Dom H.Camarasstraat;{D9A21A2D-561D-4C0E-97D8-6A1481B9DAA5};POINT (115531.91889314017 494274.3329621381)
542894;Handzaag;{E201BC1E-2949-46B7-9560-4237ADE58539};POINT (115718.11377142063 494380.90355003433)
542895;Cantate;{C5E1A8D2-ACBF-4181-AA78-1DF3B06C09FB};POINT (115315.6608585427 494760.8423361373)
542896;Aria;{A9C2ECFD-A0F0-4175-B0E5-C20E9FF0670E};POINT (115213.006792585 494918.6210865683)
542898;Polkahof;{81AE3319-B29B-43E9-9A1D-B9A6375DABA4};POINT (115513.73259197813 494911.3453126691)
542899;Pieter Stastokstraat 32;{BBD62A43-CE66-4C85-A428-6D469B2F86CC};POINT (115356.04447196597 495095.6281350889)
542900;Eline Veere Plantsoen 55;{40DB02F5-6BD2-4454-8FFF-55633A4E4635};POINT (115163.2527163376 495149.69593892334)
542901;Ferd. Huyckstraat 32;{FFE9ABCA-A9A0-404C-9E15-F3ECF18D9710};POINT (115289.56606245218 495310.1935605998)
542902;Spaarndamstraat 10;{ABF19F94-8A6D-451C-A59E-93EB59B9C69E};POINT (115528.55964173257 495444.6169786106)
542903;Schardamstraat nr 13;{14ABCA77-8AFF-46DF-8519-0965AA17D716};POINT (115458.49913636436 495415.0220184947)
542904;Obdamstraat;{950FFE99-73E1-4D5F-98CB-28A6C18F648B};POINT (115497.53662058647 495513.51600233203)
542905;Caro v. Eijkstraat;{7C537981-CF19-4671-B400-6CA714C341BC};POINT (115086.80406496738 495369.37442923425)
542907;Neerkesweide / Westerweide;{1FD7B30A-29C9-443A-9D4E-6BBD654AE0C4};POINT (115377.03285003366 495743.94494242745)
542908;Kooijmanstraat S / Zandlevenstraat;{C993EC25-5D93-4595-B3C1-7F7F836A57B4};POINT (115050.05304944792 495825.71696061967)
542909;J. Breebaardstr/Zandlevenstr;{0015D6EC-E35A-4D3E-9FAE-3FF258D66BBB};POINT (114978.85163030397 495954.1812767203)
542910;Oldebroekstraat;{5A78FDF8-06E8-42EC-A381-824F0473F5F8};POINT (115202.83070794704 496111.39681200904)
542911;Houtveldweg;{FAB7C6B7-6158-4457-A9A5-5394AF4E0B2B};POINT (114830.44750000001 496129.8335)
542912;Betje Wolfstraat;{6554C367-B062-4B63-9799-01CF59B1BC61};POINT (114870.87581894457 496296.46789776854)
542913;Bovenveen;{5F417781-0D94-4D34-A6A2-2DE6802A6034};POINT (115203.85265018001 496389.0564750205)
542914;Weiteveen  (JOP);{AF60A98D-F5BE-4F43-9DB7-D781B6D55AD4};POINT (115404.51913614571 496305.84273173235)
542915;Ilpendamstraat;{AD0A65E4-7080-48F0-BEC1-7988C0696ACF};POINT (115417.40671427001 495264.97385247046)
542917;Machinistenstraat sport;{5D9C7F63-FF7B-4E0C-B4AC-313A0915EE92};POINT (115658.50497597193 496725.82904902904)
542918;Machinistenstraat (F-9);{A70AC31F-7CC8-49B9-BB4E-1937BAB1AC3F};POINT (115670.15272258542 496726.89457046875)
542920;Badhuisstraat (F-10);{CA90C3DA-8B1A-4ABD-A8C1-AF70AF9EEA19};POINT (115735.07656067818 497310.33188114245)
542921;Zuiderkerkstraat (F-5);{3F66F582-2155-41D0-9A48-9F506EAF576D};POINT (115645.55111980472 497366.47689988307)
542922;Beatrixstraat;{26F4B5B2-CA78-49FC-B753-5020D2401FA1};POINT (115615.88242694153 497400.6447603429)
542923;A8terna Skate;{17865534-CE41-4964-88BF-2E63C51DFB47};POINT (115597.66791509968 497534.5111680001)
542924;Pinkstraat t.o molen (F-2);{792147CC-ED77-4FF4-B7A1-67D482432D43};POINT (115612.86438727027 497769.652576809)
542926;Kogerpark (F-1);{E97D71D8-603A-4282-B067-89C5E1CBB616};POINT (115687.34249439824 498039.9834968899)
542927;Mostertzoom;{1D87967B-62C1-4D9A-A392-35F71C09B8B0};POINT (115182.2300832553 496578.3137535757)
542928;Henneland 35;{A41456FF-EAAA-4E3A-B6EE-47DEB6D9EDE5};POINT (115104.5649219293 496653.48571517714)
542929;Schotsstreep 26 (G-58) 't Vierkantje;{84631F4B-D913-4A61-BFC0-34A15F69C305};POINT (114911.82575249749 496636.7211896651)
542930;Legerland 1 (G-29);{3614F391-9D36-4EEE-8205-8F630E58886F};POINT (115279.07934339628 496774.0946227801)
542931;Ruigebol;{1E4AF963-431C-44D1-9849-5BD83C5633DE};POINT (114807.16396942858 496831.2728653812)
542932;Potasland/Spoorland;{8EFE7CC5-B950-4F8E-87A0-0E5DBF4C7FA7};POINT (115363.1003811723 496983.1832815497)
542933;Molenwerf bij school;{9C208EAB-EE4B-4C5C-BCEB-295FD2F5C5E6};POINT (115032.71778590296 496927.59201507835)
542934;Sijbrandakker thv nr 7;{98FD89F5-3D5E-4DA1-89B2-71DB8F933CAA};POINT (114693.15356093737 496911.35389022226)
542935;Elzeboom;{5AA81F20-660F-4901-8222-5DC3504A622C};POINT (115046.69709931353 497079.7425709171)
542936;Loermanakker 35 (G-44);{233B0B1B-18A8-4695-9D74-2E1237A5F0FD};POINT (114787.01618668558 497086.48949674383)
542937;Wildemanakker;{5FFC909B-9650-48A6-A8DB-081D3A0C0CF5};POINT (114683.01356899386 497060.7455365643)
542938;Turfakker thv flat;{D1241517-2C3F-4BEE-8BBC-9A9AD5BA136A};POINT (114663.61996521722 497189.0290113087)
542940;Vijfpootveld 34 (G-7);{C74055DA-2BBE-48F6-81A7-C15DE8F2E336};POINT (115340.53975694279 497330.34837679367)
542941;Kuiperveld 13 (G-3);{EADBD39F-1DC0-4119-9D6F-B166E65B0AAB};POINT (115084.19250015647 497372.1999630747)
542942;Knosterveld Nr. 2;{99766760-16EA-4158-8D03-346AEEF52F02};POINT (114942.992337203 497358.01506261143)
542943;Woldeveld 26 (G-5);{E9784128-228D-4892-B05C-514F5ED87DD0};POINT (115082.09003823792 497458.1018379317)
542944;Vijverzoom t/o 13;{6D5A6089-6BD8-430F-80AF-D521FD335901};POINT (114609.82275835394 496841.12758357206)
542946;Turfakker / Hofakker;{B47FB326-E317-43F3-AC96-EA354ACFF20D};POINT (114617.87897717449 497307.53543306596)
542947;Sijbrandakker Sport;{7B6C30FB-85FA-4825-A0B8-1AAC27CBFE9B};POINT (114795.4753850144 496938.6457187979)
542948;Boukezoom;{7F0904CC-D16F-4954-A875-023D24CE4ADF};POINT (115316.78446968508 497525.59663906315)
542949;Boschstraat (E-5);{DB2FF000-7E82-4DF3-A7FF-8CB9519CFB07};POINT (115852.73011767697 498465.09587636025)
542950;Prunuslaan 't Skeve Wippie (E-3);{7FA39A52-6ACE-4EA3-8817-57414169C89B};POINT (115563.84976148726 498693.05660382326)
542951;Tuinstraat/borgesiusstraat;{E126F74C-C2F2-46F7-A60C-183DB8C991AA};POINT (115850.98449048471 498708.82630638056)
542953;Blauwe Reigerstraat;{FCD004B9-B275-4631-B487-9DF24F65FA21};POINT (115621.40284994768 499097.59044936945)
542954;Hazepad;{7FFA7E89-82FC-4A3E-9D97-42B089494866};POINT (115746.46731059765 498920.5745131751)
542955;Borstiusstraat Drs.;{7CEF1D41-D1CD-4FC9-9BB2-B78C3CA17A9F};POINT (115145.82330315761 498279.73577070824)
542956;Butterkamp (E-9);{E125B52F-DA12-4228-A4CD-857954625DAF};POINT (114972.95391355769 498338.3189530696)
542957;Jan Steynstraat;{5BC58C4D-A230-48BC-AEF4-6100CF82D4BE};POINT (114988.86171799057 498419.1972307955)
542958;Triangelhof;{2D4CFF6B-A6C5-42C1-AD27-B47801FF2291};POINT (114755.93057317044 498500.4341095826)
542959;Horststraat Dr.v.;{7D6E422F-0AA3-452C-87FB-FA780C84C6E8};POINT (115326.02723685165 498509.726232866)
542960;Paukenhof (E-6);{E998669C-270D-4F2E-91B4-EB2813DF7FAE};POINT (114876.91191410032 498547.8126328109)
542961;Andriesenstraat H;{38D05FF2-F607-4D80-925D-9CF6A37E8FDE};POINT (114382.21767072965 498525.57761892676)
542962;Lennonstraat J. bij Trapveld Sjalom;{4375036E-8E57-4EDF-AFE5-9A776BD8364C};POINT (114944.22963330917 498778.49814818735)
542963;Ravelstraat  Marice Rechts t.o. nr 75;{71D21341-5730-4D8B-A574-C013A87D36CE};POINT (114553.59260902817 498803.4867966139)
542964;Ravelstraat Marice Links t.o. nr 25;{33DFF090-05C2-4DEF-A09D-C776B66E96C4};POINT (114588.22069348529 498657.08454281377)
542965;Goodmanstraat B. nabij nr. 9;{8408F46B-248C-4E2F-AF10-CADEC52AC682};POINT (115290.22963861295 498849.67208103096)
542966;Lennonstraat J. achter nr.115;{E5D70331-2F98-4AB8-AFB1-9180F67E5E67};POINT (114905.01830482001 498856.9685217636)
542967;Debussystraat Claude;{7F44885A-437E-4DF5-9622-893C99AB443F};POINT (114903.47082480424 498980.9474506906)
542968;Lennonstraat J.bij school;{A0810571-6835-4B04-8C03-6950DAA8D126};POINT (114857.79530760917 498732.73668977985)
542969;Armstrongstraat hoek L. Hardingstraat;{5BFB5413-F677-4A06-91A5-2BABDA953F3A};POINT (115345.84532597483 498988.0319358429)
542970;Presleystraat Elvis;{6FEDD1F6-49A8-4062-B2B4-22C66C8B7844};POINT (115056.65853543386 498757.2920021321)
542971;Ellingtonstraat D. hoek Armstrongstraat L.;{48E35D5C-9EAC-47D7-BDFB-A915276F59CE};POINT (115355.79552643945 499194.5126623568)
542973;Soendastraat;{0C663357-3462-4397-A759-5455C8AA5770};POINT (115625.66777432855 499753.0300475806)
542974;Riouwstraat/Vermeerkade (D5);{E40A7000-3BD4-4AB9-8A61-B58BDEC567A2};POINT (115415.8743553327 499534.25460287975)
542975;Bankakade/Bilitonkade  (D-3);{778E1E64-BEF7-498A-AF4F-1C9354D000B8};POINT (115423.13982866684 500043.3946756992)
542976;Riouwstraat thv nr 6;{E8A9215E-8B20-4329-BBAC-89B6A6E861B8};POINT (115251.04404167517 499909.7450214851)
542977;Warmoestraat (D-8);{5B0FF31B-8F76-4780-966E-CA3315EBDC60};POINT (115320.96066072627 500165.7062625562)
542978;Voltastraat;{5A587615-3C17-4BEC-BE3D-08E2BC7DAF7C};POINT (115027.05464195806 500234.3461508897)
542979;Weverstraat;{9C9EAC3A-DAE2-44C1-AB7A-69B897EEA88B};POINT (114832.07898706837 500393.5456686129)
542980;Ruysdaelkade;{346E6385-6331-43E6-9E27-6ED2EFC3E765};POINT (115570.47678750166 499355.3979155658)
542981;Kortewegstraat Dr. Sport;{E014B104-9AC7-4A22-B804-0F67A071F7DA};POINT (114183.96808019777 500808.65338855586)
542982;Kortewegstraat Dr.;{99F76107-976E-4BB4-9F35-D154210747B8};POINT (114174.28626209898 500782.25355783757)
542983;Elzenstraat (C-24);{D35D3EAF-57AB-4DCD-B24B-2D19A1CFA476};POINT (114084.93072161118 500627.7138206389)
542984;Transvaalstraat;{2D442F81-7FB2-4DC7-9F54-B9A231CC7C63};POINT (114295.42206164746 500728.99824701936)
542985;Kerkstraat;{63F36626-1390-42AC-8CE1-B9A89E2FE8D0};POINT (114344.85329489758 500949.4574720926)
542986;Bleekerstraat (C-26);{491887B6-7778-4D6F-93FE-2395F380F248};POINT (114026.27380154659 500968.96984714526)
542987;Krommenieerweg t.o 119 (C-19);{F07EEB58-0F89-4D4D-A82D-98E0F74A2B61};POINT (113869.12697327544 501096.87065834715)
542988;Krokusstraat (C-16);{ECD050E9-8AC5-40B2-B8CD-6CD0142CE5AC};POINT (113960.27280495591 501165.69276187866)
542990;Lijsterstraat /Westerstraat;{953DF33F-A9C9-468D-B2E1-C8CE1E4C9EE2};POINT (114175.24375124443 501366.7567115923)
542991;Lijsterstraat 27;{B5C81BBA-3EF0-445C-A686-B8ED139E1A05};POINT (114197.89765144337 501414.51167008217)
542992;Bilderdijkstraat 4 (C-4);{E1D7985F-F53A-4C78-AEF8-84153EEE8447};POINT (114168.48116650159 501584.5889769967)
542993;Alb.Meijnstraat 11 (C-1);{E3EDD1DB-F070-4DBC-B8D2-D450DDAB590D};POINT (114070.71366001591 501636.2719994606)
542994;Gorterstraat Herman;{53768B4F-E56D-47D3-BAE0-8FB9EA4359B9};POINT (114442.00358956294 501580.9413611173)
542995;Jan van Galenstraat (JOP);{7D3A2B51-8207-45DE-A139-647F85FB8A7E};POINT (114587.58354927819 501279.3000286415)
542996;Noorderstraat bij school;{3171A28F-44AF-4E6F-8A06-EDF98B847208};POINT (114278.0045 501094.011)
542997;Bakkerstraat Knollendam;{334F2A10-E271-423C-BBD1-C848474D7DBD};POINT (114183.11125289016 503513.5076758458)
542999;Tamarindestraat;{718A85FD-2C8B-47C9-AC46-365356E1F396};POINT (114061.2959073701 500870.07680408016)
543000;Spinozahof;{F99D255C-83AA-4303-8FA6-589D15D82EF1};POINT (112225.08584405972 501176.5341455622)
543001;Schweitzerstraat Albert t.o.11 (B-11);{6E75E391-A2C3-43B6-B73E-EC2FEB06CAAE};POINT (112707.0625778194 501307.50024054095)
543002;Witte Duifstraat 11 (B-10);{BF0E8236-26C5-46EF-9879-0EFFAAC798CD};POINT (112574.79561015543 501374.8718010418)
543003;Verblifastraat;{1EACBDA6-3269-4452-881C-136209A96F37};POINT (113223.26111122497 501193.9556194419)
543004;Evenwichtstraat to 32;{61028884-A483-4082-A343-538B322F8EA8};POINT (113182.98569486178 501306.23690788535)
543005;Evenwichtstraat 10;{37D897DF-26B3-485E-BACE-36B546716F4C};POINT (113039.21943483574 501360.4551098974)
543006;Jutestraat 40 (B-15);{8CFAEBEB-E3F1-4C35-878F-8D1702830AA4};POINT (113236.47557832963 501408.19195560185)
543007;Fortuinlaan t.o 27 Flat;{5920FFC1-D9F4-46A9-B930-DD169A766FB3};POINT (112449.73660526231 501634.6443558146)
543008;Eikenlaan t.o Durghhorst (B-3);{78E52546-B6AA-4F32-9BB1-80CE629397EB};POINT (112819.71165447227 501725.08758167835)
543009;Deken Schmidtstraat;{20594EDE-8FA2-4CFF-9F45-429D014DD638};POINT (112486.7826863176 501857.278834416)
543010;Landzichtlaan/Populierenlaan;{5C932F05-01A2-4C95-9514-AB459D181E73};POINT (112731.00035803251 501933.0351367921)
543011;Burg. Schaapstraat;{20B53CA1-6B70-46B8-BDCB-005FFD013B35};POINT (112623.74462319969 501502.55345815944)
543012;Agathepark;{80E147CC-C8FA-41E0-B142-057CEC6DB7BA};POINT (113121.68245264348 501971.65238331864)
543013;Oranjeplein;{A0C97A33-A39D-4F59-8F4E-8EF9D71C0896};POINT (113278.71479309174 501840.10467709636)
543014;Serooskerstraat (B-1);{AE1CDBD8-FB05-43FD-B21A-9BC43E7BCBF2};POINT (113042.40765154848 502218.6328246683)
543015;Wilhelminastraat;{875F02DF-3F92-4581-8BA4-101AF8FD0896};POINT (113022.91229188265 501188.8528463173)
543018;Tritonlaan (A-18);{62A5D17B-11B7-4B25-802B-BF030CB27EDB};POINT (111924.3861845691 501375.89413657086)
543019;Jupiterstraat;{2A4E7710-F4EF-41A5-B15D-0273E8EC7DAF};POINT (111720.54881977195 501832.7147094128)
543021;Kleine Beer;{9E58DE5B-B404-4CC3-B4EE-CEFD99DD0DF9};POINT (112105.25711514328 501788.1505445405)
543022;Uranuslaan;{05CF4018-6C7F-483C-9083-48F747BD8218};POINT (111823.85503240691 501938.0720628548)
543023;Rosariumpark sport;{7F536121-29FB-476A-AC99-541CAB7383B3};POINT (112436.36167605687 502028.81043836614)
543024;Komarowlaan;{FBBE92F1-190B-47D5-BDA4-B9A88C66E35A};POINT (111853.59908655332 502238.77839814516)
