FID,length,stroken_id,filenaam,br_links,br_rechts,vliegdatum,se_anno_cad_data,gdb_geomattr_data,shape
vlieglijnen_wadden_2009.13,37422.66,30,s_032,589.70001221,-602,2009-04-06T00:00:00,,,"LINESTRING (157936 566536.375, 120533.64799999818 567769.061999999)"
vlieglijnen_wadden_2009.14,36029.152,31,s_033,534.40002441,-526.5,2009-04-06T00:00:00,,,"LINESTRING (157612.1719999984 565873.625, 121600.50800000131 566996.125)"
vlieglijnen_wadden_2009.15,27433.732,32,s_034,570.29998779,-582.29998779,2009-04-03T00:00:00,,,"LINESTRING (157964.2190000005 565039.625, 130545.42199999839 565944.75)"
vlieglijnen_wadden_2009.16,22846.35,33,s_035,539.40002441,-570.70001221,2009-04-03T00:00:00,,,"LINESTRING (158615.0469999984 564347.375, 135779.7190000005 565056.936999999)"
vlieglijnen_wadden_2009.17,13444.763,34,s_038,374.3999939,-601.5,2009-04-06T00:00:00,,,"LINESTRING (207213.7340000011 612999.938000001, 193903.936999999 611099.688000001)"
vlieglijnen_wadden_2009.18,15043.414,35,s_039,492.1000061,-554.09997559,2009-04-06T00:00:00,,,"LINESTRING (207647.688000001 612449.25, 192772.9690000005 610202.688000001)"
vlieglijnen_wadden_2009.19,18578.201,36,s_040,494.3999939,-651.59997559,2009-04-06T00:00:00,,,"LINESTRING (207668.7659999989 611727.188000001, 189315.063000001 608847.75)"
vlieglijnen_wadden_2009.20,23598.271,37,s_041,527.90002441,-550.5,2009-04-06T00:00:00,,,"LINESTRING (211355.938000001 611524.438000001, 188011.625 608071.688000001)"
vlieglijnen_wadden_2009.21,25136.672,38,s_042,662.40002441,-527.20001221,2009-04-06T00:00:00,,,"LINESTRING (213209.313000001 611051.938000001, 188317.063000001 607555.063000001)"
vlieglijnen_wadden_2009.22,24846.865,39,s_043,557,-555.40002441,2009-04-06T00:00:00,,,"LINESTRING (213052.1559999995 610374.688000001, 188485.3440000005 606654.688000001)"
vlieglijnen_wadden_2009.23,23779.91,40,s_044,579.70001221,-574.90002441,2009-04-03T00:00:00,,,"LINESTRING (212462.375 609505, 188930.9530000016 606076.25)"
vlieglijnen_wadden_2009.24,24251.977,41,s_045,540.5,-602.29998779,2009-04-06T00:00:00,,,"LINESTRING (212719.7969999984 608870.311999999, 188733.7340000011 605288.811999999)"
vlieglijnen_wadden_2009.25,23692.068,42,s_046,542.5,-569.90002441,2009-04-06T00:00:00,,,"LINESTRING (189401.875 604663.063000001, 212838.6559999995 608131.688000001)"
vlieglijnen_wadden_2009.26,23842.98,43,s_047,580,-564.40002441,2009-04-03T00:00:00,,,"LINESTRING (212704.75 607317.125, 189107.1559999995 603905.186999999)"
vlieglijnen_wadden_2009.27,24062.197,44,s_048,555.59997559,-576.5,2009-04-03T00:00:00,,,"LINESTRING (213083.438000001 606691.686999999, 189280.2659999989 603170.561999999)"
vlieglijnen_wadden_2009.28,22509.23,45,s_049,532.59997559,-537.40002441,2009-04-03T00:00:00,,,"LINESTRING (212484 605848, 190211.938000001 602589.063000001)"
vlieglijnen_wadden_2009.29,22966.496,46,s_050,539.90002441,-519.29998779,2009-04-06T00:00:00,,,"LINESTRING (213350.2969999984 605274.063000001, 190636.7809999995 601874.625)"
vlieglijnen_wadden_2009.30,23965.982,47,s_051,465.1000061,-690.90002441,2009-04-03T00:00:00,,,"LINESTRING (214119.4840000011 604549.561999999, 190414.563000001 601021.813000001)"
vlieglijnen_wadden_2009.31,25149.688,48,s_052,525.59997559,-568.5,2009-04-03T00:00:00,,,"LINESTRING (214818.7659999989 603934.25, 189930.063000001 600320.5)"
vlieglijnen_wadden_2009.32,10574.691,49,s_053,505.79998779,-542.29998779,2009-04-06T00:00:00,,,"LINESTRING (213251 603025.311999999, 202788.7969999984 601487)"
vlieglijnen_wadden_2009.33,20099.346,0,s_001,630.5,-497.20001221,2009-04-02T00:00:00,,,"LINESTRING (129886.67199999839 556157.25, 109792.7890000008 556625.813000001)"
vlieglijnen_wadden_2009.34,23533.502,0,s_002,588.5,-581.29998779,2009-04-02T00:00:00,,,"LINESTRING (129563 555153.25, 106046.9299999997 556058.875)"
vlieglijnen_wadden_2009.35,23205.539,0,s_003,589.40002441,-577,2009-04-02T00:00:00,,,"LINESTRING (128934.06300000101 554737.25, 105733.14799999818 555200.5)"
vlieglijnen_wadden_2009.36,25231.885,0,s_004,483.5,-531,2009-04-02T00:00:00,,,"LINESTRING (130882.8200000003 553772.438000001, 105661.6799999997 554508.688000001)"
vlieglijnen_wadden_2009.37,26125.213,0,s_005,527,-594,2009-04-02T00:00:00,,,"LINESTRING (131744.438000001 552880.063000001, 105636.7190000005 553836)"
vlieglijnen_wadden_2009.38,26110.148,0,s_006,580.70001221,-495.5,2009-04-02T00:00:00,,,"LINESTRING (131971 552329.125, 105872.2190000005 553099.5)"
vlieglijnen_wadden_2009.39,29738.869,0,s_007,568.5,-547.40002441,2009-04-02T00:00:00,,,"LINESTRING (132396.8440000005 551401.625, 102679.5390000008 552533.938000001)"
vlieglijnen_wadden_2009.40,29647.822,0,s_008,545.90002441,-531,2009-04-02T00:00:00,,,"LINESTRING (131929.2969999984 550779.125, 102297.56300000101 551755.688000001)"
vlieglijnen_wadden_2009.41,19210.039,0,s5003,402.70001221,-426.3999939,2009-07-13T00:00:00,,,"LINESTRING (132992.9840000011 550350.125, 113793.64799999818 550991.313000001)"
vlieglijnen_wadden_2009.42,19217.553,0,s5004,385.8999939,-460,2009-07-13T00:00:00,,,"LINESTRING (133369.0309999995 549918.125, 114163.45300000161 550596.436999999)"
vlieglijnen_wadden_2009.43,17937.082,0,s5005,536.90002441,-467.29998779,2009-07-13T00:00:00,,,"LINESTRING (131565.625 549607.186999999, 113641.18800000101 550280.561999999)"
vlieglijnen_wadden_2009.44,17239.5,0,s5006,624,-466.1000061,2009-07-13T00:00:00,,,"LINESTRING (131210.8909999989 549255.125, 113982.07800000161 549862.061999999)"
vlieglijnen_wadden_2009.45,14182.652,0,s5007,492.8999939,-427.29998779,2009-07-13T00:00:00,,,"LINESTRING (127893.45300000161 549014.563000001, 113719.20300000161 549502.686999999)"
vlieglijnen_wadden_2009.46,13508.621,0,s5008,469.5,-440.8999939,2009-07-13T00:00:00,,,"LINESTRING (127544.2190000005 548649.313000001, 114042.8590000011 549092.186999999)"
vlieglijnen_wadden_2009.47,13539.229,0,s5009,478.20001221,-436.5,2009-07-13T00:00:00,,,"LINESTRING (127242.14799999818 548316.563000001, 113709.5309999995 548739.625)"
vlieglijnen_wadden_2009.48,13561.355,0,s5010,652.09997559,-477.8999939,2009-07-13T00:00:00,,,"LINESTRING (127481.24199999869 547913.125, 113927.32800000161 548362.311999999)"
vlieglijnen_wadden_2009.49,12991.918,0,s5011,458.8999939,-418,2009-07-13T00:00:00,,,"LINESTRING (126563.68800000101 547570.063000001, 113578.9059999995 548000.625)"
vlieglijnen_wadden_2009.50,12580.072,0,s5012,480.70001221,-423.20001221,2009-07-13T00:00:00,,,"LINESTRING (126607.0390000008 547169.625, 114034.8200000003 547614.063000001)"
vlieglijnen_wadden_2009.51,12864.478,0,s5013,598.40002441,-416.5,2009-07-13T00:00:00,,,"LINESTRING (126523.47700000182 546823.063000001, 113665.10200000182 547219.25)"
vlieglijnen_wadden_2009.52,12883.942,0,s5014,511.3999939,-441.79998779,2009-07-13T00:00:00,,,"LINESTRING (126890.1090000011 546394.936999999, 114014.02299999818 546844.813000001)"
vlieglijnen_wadden_2009.53,14215.75,0,s5015,530.29998779,-457,2009-07-13T00:00:00,,,"LINESTRING (127843.74199999869 546018.688000001, 113635.45300000161 546479.186999999)"
vlieglijnen_wadden_2009.54,17192.77,0,s5016,941.79998779,-1.60000002,2009-07-13T00:00:00,,,"LINESTRING (131179.4840000011 545756.436999999, 113988.43800000101 545999.813000001)"
vlieglijnen_wadden_2009.55,23538.35,0,s5017,631.20001221,-2.0999999,2009-07-13T00:00:00,,,"LINESTRING (137090.7030000016 545196.311999999, 113556.49199999869 545637.686999999)"
vlieglijnen_wadden_2009.56,14885.609,0,s5018,430.3999939,-434.70001221,2009-07-13T00:00:00,,,"LINESTRING (128725.93800000101 544894.563000001, 113847.77299999818 545365.313000001)"
vlieglijnen_wadden_2009.57,14913.191,0,s5019,437.6000061,-427.3999939,2009-07-13T00:00:00,,,"LINESTRING (128553.97700000182 544510.875, 113648.99199999869 545005.563000001)"
vlieglijnen_wadden_2009.58,15562.248,0,s5020,469.8999939,-454.5,2009-07-13T00:00:00,,,"LINESTRING (129418.24199999869 544116.375, 113863.81300000101 544609.625)"
