FID,ADRES,LIGGING_TANK,VOLUME_TANK,DATUM_BEHANDELING,BEHANDELD_DOOR,IMAPCONCL,CERTIFICERING,TANK_AFGEDAAN,TANK_PDF,GEENCERT,GEOMETRIE,DOCUMENTNR
MIL_BOD_OLIETANKS.fid-36cc8544_1861f8fe6be_149f,Plein 1944.  029 t/m 037,Onbekend,9,,,"Zandgevulde tank, zie Bloemerstraat 92-108",Tank is conform de richtlijnen (KIWA) gesaneerd,Ja,GeenCertificaat.pdf,Plein 1944.  029,POINT (187717 428682),D151893283
MIL_BOD_OLIETANKS.fid-36cc8544_1861f8fe6be_14a0,Plein 1944.  128,Onbekend,3000,1998-03-12,Laura/ Chemclean,De tank is gevuld met zand,Tank is conform de richtlijnen (KIWA) gesaneerd,Ja,Plein_1944__128.pdf,,POINT (187767 428741),D151893284
MIL_BOD_OLIETANKS.fid-36cc8544_1861f8fe6be_14a1,Plein 1944.  119/120,Kelder,5000,2001-12-20,Chemclean,De tank is met zand gevuld,Tank is conform de richtlijnen (KIWA) gesaneerd,Ja,Plein_1944__119_120.pdf,,POINT (187756.431147574 428749.581187331),D151893285
MIL_BOD_OLIETANKS.fid-36cc8544_1861f8fe6be_14a2,Plein 1944.  136,Onbekend,3000,1998-03-30,Laura/v.d.Water,De tank is verwijderd,,Ja,GeenCertificaat.pdf,Plein 1944.  136,POINT (187791 428726),D151893286
MIL_BOD_OLIETANKS.fid-36cc8544_1861f8fe6be_14a3,Plein 1944.  152-153,Onbekend,9,1991-09-10,Laura,Het betreft een bovengrondse ta nk,Melding van leegzuigen en spoelen,Ja,GeenCertificaat.pdf,Plein 1944.  152,POINT (187843 428688),D151893287
MIL_BOD_OLIETANKS.fid-36cc8544_1861f8fe6be_14a4,Houtstr. 049,Onbekend,9,,?,De tank is verwijderd in eigen beheer. De kwaliteit van de bodem is onbekend.,nvt,Ja,GeenCertificaat.pdf,Houtstr. 049.pdf,POINT (187682 428829),D151893288
MIL_BOD_OLIETANKS.fid-36cc8544_1861f8fe6be_14a5,Houtstr. 010,Onder de grond in kruipruim,5000,1998-05-26,Adico,De tank is gevuld met zand,Tank is conform de richtlijnen (KIWA) gesaneerd,Ja,Houtstr_010.pdf,,POINT (187713.216169688 428799.201611883),D151893289
MIL_BOD_OLIETANKS.fid-36cc8544_1861f8fe6be_14a6,Markt 036 Grote,Onbekend,3000,1993-09-21,Chemclean,Informatie bij bureau Industrie,Geen,Ja,GeenCertificaat.pdf,Markt 036 Grote.,POINT (187885 428879),D151893290
MIL_BOD_OLIETANKS.fid-36cc8544_1861f8fe6be_14a7,Augustijnenstr. 047,Onbekend,8000,1997-11-13,Laura/Reehorst,De tank is verwijderd,Tank is conform de richtlijnen (KIWA) gesaneerd,Ja,Augustijnenstr_047.pdf,,POINT (187787 428842),D151893291
MIL_BOD_OLIETANKS.fid-36cc8544_1861f8fe6be_14a8,Scheidemakershof 021,Inpandig,3000,1993-01-11,Chemclean,"E‚n tank is gevuld met zand, ‚‚n tank is verwijderd",Tanks zijn conform de richtlijnen (KIWA) gesaneerd,Ja,Scheidemakershof_021.pdf,,POINT (187786.562938867 428775.453311667),
MIL_BOD_OLIETANKS.fid-36cc8544_1861f8fe6be_14a9,Ooysedijk 021-23,Rechts van de oprit,6000,1998-11-20,Chemclean,2 tanks verwijderd,Tanks zijn conform de richtlijnen (KIWA) gesaneerd,Ja,Ooysedijk_021_23.pdf,,POINT (188741.867781002 428893.926203386),D151893292
MIL_BOD_OLIETANKS.fid-36cc8544_1861f8fe6be_14aa,Scheidemakershof 021,Inpandig,3000,1993-01-11,Chemclean,"E‚n tank is gevuld met zand, ‚‚n tank is verwijderd",Tanks zijn conform de richtlijnen (KIWA) gesaneerd,Ja,Scheidemakershof_021.pdf,,POINT (187784.708790546 428778.588370206),D151893293
MIL_BOD_OLIETANKS.fid-36cc8544_1861f8fe6be_14ab,Plein 1944.  129/131,Achter het pand.,5000,1998-03-23,Chemclean,De tank is gevuld met zand,Tank is conform de richtlijnen (KIWA) gesaneerd,Ja,Plein_1944__129_131.pdf,,POINT (187775 428737),D151893294
MIL_BOD_OLIETANKS.fid-36cc8544_1861f8fe6be_14ac,Plein 1944.  140,Achter het pand.,9,,?,De tank is verwijderd,,Ja,GeenCertificaat.pdf,Plein 1944.  140,POINT (187806 428722),D151893295
MIL_BOD_OLIETANKS.fid-36cc8544_1861f8fe6be_14ad,Scheidemakershof 011,"Plein 1944, 135",9,,?,De tank is in het verleden verwijderd. De kwaliteit van de bodem is onbekend,Geen,Ja,GeenCertificaat.pdf,Scheidemakershof,POINT (187799.097005759 428746.242131191),D151893296
MIL_BOD_OLIETANKS.fid-36cc8544_1861f8fe6be_14ae,Broerstr. 060,Gebruik tot keuring.,3000,1998-03-20,Chemclean,De tank is verwijderd,Tank is conform de richtlijnen (KIWA) gesaneerd,Ja,Broerstr_060.pdf,Broerstr. 060.pd,POINT (187855 428703),D151893298
MIL_BOD_OLIETANKS.fid-36cc8544_1861f8fe6be_14af,Scheidemakershof 049,Onbekend,9,,?,"Er is gezocht naar een tank, er is geen tank aangetroffen",Nvt,Ja,GeenCertificaat.pdf,Scheidemakershof,POINT (187840.601878233 428702.558492884),D151893299
MIL_BOD_OLIETANKS.fid-36cc8544_1861f8fe6be_14b0,Broerstr. 039,Inpandig. In kelder achter,3000,1997-12-11,Chemclean,De tank is verwijderd,Tank is conform de richtlijnen (KIWA) gesaneerd,Ja,Broerstr_039.pdf,,POINT (187877.820844975 428709.486453306),D151893300
MIL_BOD_OLIETANKS.fid-36cc8544_1861f8fe6be_14b1,Broerstr. 031,Vierkante tank op keldervlo,3000,1997-12-11,Laura/Chemclean,De tank is verwijderd,Tank is conform de richtlijnen (KIWA) gesaneerd,Ja,Broerstr_031.pdf,,POINT (187878 428723),D151893302
MIL_BOD_OLIETANKS.fid-36cc8544_1861f8fe6be_14b2,Broerstr. 057,Precario '97,3000,1998-08-20,Laura/Chemclean,De tank is gevuld met zand,Tank is conform de richtlijnen (KIWA) gesaneerd,Ja,Broerstr_057.pdf,,POINT (187841 428653),D151893303
MIL_BOD_OLIETANKS.fid-36cc8544_1861f8fe6be_14b3,Broerstr. 061,Tank in de kelder.,15000,1993-11-26,Chemclean,De tank is verwijderd,Tank is conform de richtlijnen (KIWA) gesaneerd,Ja,Broerstr_061.pdf,,POINT (187835 428643),D151893304
MIL_BOD_OLIETANKS.fid-36cc8544_1861f8fe6be_14b4,Broerstr. 055,Onbekend,9,1991-09-06,Laura,De tank zou leeg zijn en is onvindbaar,,Ja,GeenCertificaat.pdf,Broerstr. 055.pd,POINT (187844 428657),D151893305
MIL_BOD_OLIETANKS.fid-36cc8544_1861f8fe6be_14b5,Broerstr. 046,In kelder.,3000,1993-12-16,Chemclean,De tank is gevuld met zand,Tank is conform de richtlijnen (KIWA) gesaneerd,Ja,Broerstr_046.pdf,,POINT (187873.190627381 428743.778130556),D151893306
MIL_BOD_OLIETANKS.fid-36cc8544_1861f8fe6be_14b6,Broerstr. 024,Onbekend,3000,1998-07-07,Laura/ Chemclean,De tank is gevuld met zand,Tank is conform de richtlijnen (KIWA) gesaneerd,Ja,Broerstr_024.pdf,,POINT (187887.527574617 428786.598887648),D151893307
MIL_BOD_OLIETANKS.fid-36cc8544_1861f8fe6be_14b7,Broerstr. 060/062,Onbekend,3000,1998-03-20,Chemclean,De tank is verwijderd,Tank is conform de richtlijnen (KIWA) gesaneerd,Ja,Broerstr_060_062.pdf,,POINT (187853.94166455 428700.809372619),D151893308
MIL_BOD_OLIETANKS.fid-36cc8544_1861f8fe6be_14b8,Broerstr. 048,Onbekend,3000,1993-12-16,Chemclean,De tank is gevuld met zand,Tank is conform de richtlijnen (KIWA) gesaneerd,Ja,Broerstr_048.pdf,,POINT (187869 428736),D151893309
MIL_BOD_OLIETANKS.fid-36cc8544_1861f8fe6be_14b9,Broerstr. 068,Magazijn,3000,1999-01-15,Chemclean,De tank is gevuld met zand,Tank is conform de richtlijnen (KIWA) gesaneerd,Ja,Broerstr_068.pdf,,POINT (187848 428688),D151893310
MIL_BOD_OLIETANKS.fid-36cc8544_1861f8fe6be_14ba,Gruitberg 037,Pleintje Gruitberg,6000,1997-09-18,Chemclean,De tank is gevuld met zand,Tank is conform de richtlijnen (KIWA) gesaneerd,Ja,Gruitberg_037.pdf,,POINT (187894 428690),D151893311
MIL_BOD_OLIETANKS.fid-36cc8544_1861f8fe6be_14bb,Koningstr. 035,"Geen boringen, tank ligt on",3000,1993-04-19,Chemclean,De tank is gevuld met zand,,Ja,Koningstr_035.pdf,,POINT (187887 428604),D151893312
MIL_BOD_OLIETANKS.fid-36cc8544_1861f8fe6be_14bc,Koningstr. 012,Onbekend,3000,1998-03-09,Laura/ Chemclean,De tank is gevuld met zand,Tank is conform de richtlijnen (KIWA) gesaneerd,Ja,Koningstr_012.pdf,,POINT (187914 428656),D151893313
MIL_BOD_OLIETANKS.fid-36cc8544_1861f8fe6be_14bd,Koningstr. 004/006,Kelder.,3000,1995-07-11,Chemclean,De tank is verwijderd,Tank is conform de richtlijnen (KIWA) gesaneerd,Ja,Koningstr_004_006.pdf,,POINT (187928 428649),D151893314
MIL_BOD_OLIETANKS.fid-36cc8544_1861f8fe6be_14be,Koningshofje 001,Onbekend,9,,?,"Er is gezocht naar een tank, er is geen tank aangetroffen",Nvt,Ja,GeenCertificaat.pdf,Koningshofje 001,POINT (187869.228407773 428628.514345854),D151893315
MIL_BOD_OLIETANKS.fid-36cc8544_1861f8fe6be_14bf,Ziekerstr. 079,Onbekend,9,,?,Bovengrondse tank,Nvt,Ja,GeenCertificaat.pdf,Ziekerstr. 079.p,POINT (187942 428514),D151893316
MIL_BOD_OLIETANKS.fid-36cc8544_1861f8fe6be_14c0,Schevichavenstr.  006 v.,Onbekend,9,,?,"Ttank is niet gevonden, ws. in het verleden verwijderd. De kwaliteit van de bodem is onbekend",Geen,Ja,GeenCertificaat.pdf,Schevichavenstr.,POINT (187951.74498349 428413.89509779),D151893317
MIL_BOD_OLIETANKS.fid-36cc8544_1861f8fe6be_14c1,Welderenstr. 027 v.,Onbekend,2000,1996-12-20,Chemclean,De tank is gevuld met zand,Tank is conform de richtlijnen (KIWA) gesaneerd,Ja,Welderenstr_027_v.pdf,,POINT (187891 428408),D151893318
MIL_BOD_OLIETANKS.fid-36cc8544_1861f8fe6be_14c2,Welderenstr. 065 v.,Onbekend,9,,Laura,Schone bovengrondse tank,Nvt,Ja,GeenCertificaat.pdf,Welderenstr. 065,POINT (187844 428391),D151893319
MIL_BOD_OLIETANKS.fid-36cc8544_1861f8fe6be_14c3,Welderenstr. 099 v.,Onbekend,2000,1991-05-01,Laura,"E‚n tank met zand gevuld, eventuele andere tank niet gevonden","Oud certificaat, kwaliteit van de bodem onbekend",Ja,GeenCertificaat.pdf,Welderenstr. 099,POINT (187768 428366),D151893320
MIL_BOD_OLIETANKS.fid-36cc8544_1861f8fe6be_14c4,Welderenstr. 100 v.,Kelder.,8000,1993-05-06,Chemclean,De tank is gevuld met zand,,Ja,Welderenstr_100_v.pdf,,POINT (187763 428380),D151893321
MIL_BOD_OLIETANKS.fid-36cc8544_1861f8fe6be_14c5,Arksteestr. 005,In het zijpad.,3000,1997-05-15,Chemclean,De tank is gevuld met zand,Tank is conform de richtlijnen (KIWA) gesaneerd,Ja,Arksteestr_005.pdf,,POINT (187722.371034685 428315.980263816),D151893322
MIL_BOD_OLIETANKS.fid-36cc8544_1861f8fe6be_14c6,Oranjesingel 062,Voortuin.,5000,1994-05-10,Chemclean,De tank is gevuld met zand,Tank is conform de richtlijnen (KIWA) gesaneerd,Ja,Oranjesingel_062.pdf,,POINT (188047 428392),D151893323
MIL_BOD_OLIETANKS.fid-36cc8544_1861f8fe6be_14c7,Hamerstr. 011 Bisschop,Onbekend,5000,1999-01-04,Laura/Chemclean,De tank is verwijderd,Tank is conform de richtlijnen (KIWA) gesaneerd,Ja,Hamerstr_011_Bisschop.pdf,,POINT (187635 428354),D151893324
MIL_BOD_OLIETANKS.fid-36cc8544_1861f8fe6be_14c8,Hamerstr. 004 Bisschop,Onbekend,6000,2001-09-06,Laura/Chemclean,De tank is gevuld met zand,Tank is conform de richtlijnen (KIWA) gesaneerd,Ja,Hamerstr_004_Bisschop.pdf,,POINT (187615.425191538 428404.890090537),D151893326
MIL_BOD_OLIETANKS.fid-36cc8544_1861f8fe6be_14c9,Karelplein 020-31 Keizer,Onbekend,10000,1995-10-10,Chemclean,De tank is gevuld met zand,Tank is conform de richtlijnen (KIWA) gesaneerd,Ja,Karelplein_020_31_Keizer.pdf,,POINT (187497 428186),D151893327
MIL_BOD_OLIETANKS.fid-36cc8544_1861f8fe6be_14ca,Karelplein 014 Keizer,Onbekend,10000,1995-10-10,Chemclean,De tank is gevuld met zand,Tank is conform de richtlijnen (KIWA) gesaneerd,Ja,Karelplein_014_Keizer.pdf,,POINT (187532 428181),D151893328
MIL_BOD_OLIETANKS.fid-36cc8544_1861f8fe6be_14cb,Karelplein 012 Keizer,Onbekend,15000,1998-12-09,Vink,De tank is verwijderd,Tank is conform de richtlijnen (KIWA) gesaneerd,Ja,Karelplein_012_Keizer.pdf,,POINT (187539 428179),D151893329
MIL_BOD_OLIETANKS.fid-36cc8544_1861f8fe6be_14cc,Oranjesingel 003,Voor het grootste raam en v,3000,1998-08-11,Chemclean,De tank is gevuld met zand,Tank is conform de richtlijnen (KIWA) gesaneerd,Ja,Oranjesingel_003.pdf,,POINT (187742 428233),D151893330
MIL_BOD_OLIETANKS.fid-36cc8544_1861f8fe6be_14cd,Oranjesingel 001,Ter hoogte van Sloetstr. 8-,9,,?,"Oud pompstation. Er is een tank in het verleden verwijderd. Tank gezocht, niet gevonden",Geen,Ja,GeenCertificaat.pdf,Oranjesingel 001,POINT (187707.563881128 428223.921259843),D151893331
MIL_BOD_OLIETANKS.fid-36cc8544_1861f8fe6be_14ce,Oranjesingel 017,Onbekend,2000,1993-10-11,Chemclean,De tank is gevuld met zand,Tank is conform de richtlijnen (KIWA) gesaneerd,Ja,Oranjesingel_017.pdf,,POINT (187837 428239),D151893332
MIL_BOD_OLIETANKS.fid-36cc8544_1861f8fe6be_14cf,Oranjesingel 015,Onbekend,3000,1999-05-25,Laura/Milieutec,De tank is verwijderd,Tank is conform de richtlijnen (KIWA) gesaneerd,Ja,Oranjesingel_015.pdf,,POINT (187826 428236),D151893333
MIL_BOD_OLIETANKS.fid-36cc8544_1861f8fe6be_14d0,Oranjesingel 013,Voortuin.,3000,1998-02-23,Laura/Adico,De tank is gevuld met zand,Tank is conform de richtlijnen (KIWA) gesaneerd,Ja,Oranjesingel_013.pdf,,POINT (187809 428233),D151893334
MIL_BOD_OLIETANKS.fid-36cc8544_1861f8fe6be_14d1,Oranjesingel 019,Onbekend,3000,1993-10-04,Chemclean,De tank is gevuld met zand,Tank is conform de richtlijnen (KIWA) gesaneerd,Ja,Oranjesingel_019.pdf,,POINT (187852 428242),D151893335
MIL_BOD_OLIETANKS.fid-36cc8544_1861f8fe6be_14d2,Oranjesingel 021,Onbekend,3000,1994-02-25,Chemclean,De tank is verwijderd,Tank is conform de richtlijnen (KIWA) gesaneerd,Ja,Oranjesingel_021.pdf,,POINT (187858 428245),D151893336
MIL_BOD_OLIETANKS.fid-36cc8544_1861f8fe6be_14d3,Oranjesingel 023,Onbekend,3000,1999-06-28,Laura/Milieutec,De tank is verwijderd,Tank is conform de richtlijnen (KIWA) gesaneerd,Ja,Oranjesingel_023.pdf,,POINT (187867 428248),D151893337
MIL_BOD_OLIETANKS.fid-36cc8544_1861f8fe6be_14d4,Oranjesingel 027,ONtluchtingsleiding zichtba,3000,1997-07-01,Laura/ Chemclean,De tank is gevuld met zand,Tank is conform de richtlijnen (KIWA) gesaneerd,Ja,Oranjesingel_027.pdf,,POINT (187923 428268),D151893338
MIL_BOD_OLIETANKS.fid-36cc8544_1861f8fe6be_14d5,Oranjesingel 041,Onbekend,3000,1997-08-07,Laura/Chemclean,De tank is verwijderd,Tank is conform de richtlijnen (KIWA) gesaneerd,Ja,Oranjesingel_041.pdf,,POINT (187949 428277),D151893339
MIL_BOD_OLIETANKS.fid-36cc8544_1861f8fe6be_14d6,Oranjesingel 047,Onbekend,3000,1998-02-23,Laura/Milieutec,De tank is gevuld met zand,Tank is conform de richtlijnen (KIWA) gesaneerd,Ja,Oranjesingel_047.pdf,,POINT (187980 428291),D151893340
MIL_BOD_OLIETANKS.fid-36cc8544_1861f8fe6be_14d7,Oranjesingel 049,Onbekend,3000,1998-04-23,Laura/ Chemclean,De tank is verwijderd,Tank is conform de richtlijnen (KIWA) gesaneerd,Ja,Oranjesingel_049.pdf,,POINT (187992 428295),D151893341
MIL_BOD_OLIETANKS.fid-36cc8544_1861f8fe6be_14d8,Oranjesingel 045,Onbekend,5000,1994-04-27,Chemclean,De tank is gevuld met zand,Tank is conform de richtlijnen (KIWA) gesaneerd,Ja,Oranjesingel_045.pdf,,POINT (187970 428287),D151893342
MIL_BOD_OLIETANKS.fid-36cc8544_1861f8fe6be_14d9,Oranjesingel 039,Voortuin.,5000,1995-11-03,Chemclean,De tank is gevuld met zand,Tank is conform de richtlijnen (KIWA) gesaneerd,Ja,Oranjesingel_039.pdf,,POINT (187932 428271),D151893343
MIL_BOD_OLIETANKS.fid-36cc8544_1861f8fe6be_14da,Oranjesingel 051,Voortuin.,3000,1993-05-21,ECC,De tank is gevuld met zand,Tank is conform de richtlijnen (KIWA) gesaneerd,Ja,Oranjesingel_051.pdf,,POINT (188049 428317),D151893344
MIL_BOD_OLIETANKS.fid-36cc8544_1861f8fe6be_14db,Oranjesingel 057,Onbekend,3000,1998-12-14,Laura/Chemclean,De tank is verwijderd,Tank is conform de richtlijnen (KIWA) gesaneerd,Ja,Oranjesingel_057.pdf,,POINT (188071.427 428328.338),D151893345
MIL_BOD_OLIETANKS.fid-36cc8544_1861f8fe6be_14dc,Oranjesingel 063,Onbekend,3000,1999-07-26,Laura/Chemclean,De tank is gevuld met zand,Tank is conform de richtlijnen (KIWA) gesaneerd,Ja,Oranjesingel_063.pdf,,POINT (188092.003 428337.295),D151893347
MIL_BOD_OLIETANKS.fid-36cc8544_1861f8fe6be_14dd,Oranjesingel 069,Onbekend,3000,1993-09-28,Laura/ Chemclean,De tank is gevuld met zand,Tank is conform de richtlijnen (KIWA) gesaneerd,Ja,Oranjesingel_069.pdf,,POINT (188123 428348),D151893348
MIL_BOD_OLIETANKS.fid-36cc8544_1861f8fe6be_14de,Oranjesingel 067,Onbekend,3000,1994-06-27,Chemclean,De tank is gevuld met zand,Tank is conform de richtlijnen (KIWA) gesaneerd,Ja,Oranjesingel_067.pdf,,POINT (188115 428346),D151893349
MIL_BOD_OLIETANKS.fid-36cc8544_1861f8fe6be_14df,Oranjesingel 071,Onbekend,3000,1994-10-07,Chemclean,De tank is gevuld met zand,Tank is conform de richtlijnen (KIWA) gesaneerd,Ja,Oranjesingel_071.pdf,,POINT (188157 428361),D151893350
MIL_BOD_OLIETANKS.fid-36cc8544_1861f8fe6be_14e0,Oranjesingel 073,Voortuin.,3000,1994-11-17,Chemclean,De tank is verwijderd,Tank is conform de richtlijnen (KIWA) gesaneerd,Ja,Oranjesingel_073.pdf,,POINT (188164 428365),D151893351
MIL_BOD_OLIETANKS.fid-36cc8544_1861f8fe6be_14e1,Oosterhoutsedijk 043,nvt,5000,1991-09-24,Isotank,De tank is gevuld met zand,Tank is conform de richtlijnen (KIWA) gesaneerd,Ja,Oosterhoutsedijk_043.pdf,,POINT (187822.58367643 429600.069298636),D151890752
MIL_BOD_OLIETANKS.fid-36cc8544_1861f8fe6be_14e2,Oosterhoutsedijk 047,nvt,5000,1998-04-03,Adico,De tank is verwijderd,Tank is conform de richtlijnen (KIWA) gesaneerd,Ja,Oosterhoutsedijk_047.pdf,,POINT (187766.765970177 429605.514928514),D151890753
MIL_BOD_OLIETANKS.fid-36cc8544_1861f8fe6be_14e3,Oosterhoutsedijk 051,nvt,6000,1997-04-11,Adico,De tank is gevuld met zand,Tank is conform de richtlijnen (KIWA) gesaneerd,Ja,Oosterhoutsedijk_051.pdf,,POINT (187706.591760021 429644.995745133),D151890754
MIL_BOD_OLIETANKS.fid-36cc8544_1861f8fe6be_14e4,Griftdijk 016,onbekend,3000,1992-02-25,Arns,De tank is gevuld met zand,Tank is conform de richtlijnen (KIWA) gesaneerd,Ja,Griftdijk_016.pdf,,POINT (186665.15981272 432731.585296073),D151893163
MIL_BOD_OLIETANKS.fid-36cc8544_1861f8fe6be_14e5,Griftdijk 025,,3000,2004-07-15,Schippers,De tank is verwijderd,Tank is conform de richtlijnen (KIWA) gesaneerd,Ja,Griftdijk_025.pdf,,POINT (186867.334345125 431798.050356371),
MIL_BOD_OLIETANKS.fid-36cc8544_1861f8fe6be_14e6,Stationsstr. 016,onder oprit,3000,1999-02-17,Adico,De tank is gevuld met zand,Tank is conform de richtlijnen (KIWA) gesaneerd,Ja,Stationsstr_016.pdf,,POINT (185920.463028516 433087.046960088),D151893164
MIL_BOD_OLIETANKS.fid-36cc8544_1861f8fe6be_14e7,Laakstraat 016 Pastoor van,nvt,1000,1991-09-26,Isotank,De tank is gevuld met zand,Tank is conform de richtlijnen (KIWA) gesaneerd,Ja,Laakstraat_016_Pastoor_van.pdf,,POINT (188031.643150435 430163.288446744),D151893165
MIL_BOD_OLIETANKS.fid-36cc8544_1861f8fe6be_14e8,Waaldijk 037,voortuin,3000,1997-06-10,Isotank,De tank is verwijderd,Tank is conform de richtlijnen (KIWA) gesaneerd,Ja,Waaldijk_037.pdf,,POINT (183566.753043004 432198.841704827),D151893166
MIL_BOD_OLIETANKS.fid-36cc8544_1861f8fe6be_14e9,Laakstraat 026 Pastoor van,nvt,5000,1993-10-04,Chemclean,De tank is gevuld met zand,Tank is conform de richtlijnen (KIWA) gesaneerd,Ja,Laakstraat_026_Pastoor_van.pdf,,POINT (187992.56682832 430219.784334139),D151893167
MIL_BOD_OLIETANKS.fid-36cc8544_1861f8fe6be_14ea,Griftdijk 025,,3000,2004-07-15,Schippers,De tank is verwijderd,Tank is conform de richtlijnen (KIWA) gesaneerd,Ja,Griftdijk_025.pdf,,POINT (190049.191529304 429439.51369681),D151893168
MIL_BOD_OLIETANKS.fid-36cc8544_1861f8fe6be_14eb,Dijkstraat 008A,onbekend,5000,1998-02-27,Chemclean,De tank is gevuld met zand,Tank is conform de richtlijnen (KIWA) gesaneerd,Ja,Dijkstraat_008A.pdf,,POINT (184410.102094877 432201.423474224),D151893169
MIL_BOD_OLIETANKS.fid-36cc8544_1861f8fe6be_14ec,Stationsweg 001,onbekend,5000,1994-09-23,Chemclean,De tank is gevuld met zand,Tank is conform de richtlijnen (KIWA) gesaneerd,Ja,Stationsweg_001.pdf,,POINT (187461.243635306 433419.84893182),D151893170
MIL_BOD_OLIETANKS.fid-36cc8544_1861f8fe6be_14ed,Vossenpels 040 A,onbekend,5000,1996-07-04,Chemclean,De tank is verwijderd,Tank is conform de richtlijnen (KIWA) gesaneerd,Ja,Vossenpels_040_A.pdf,,POINT (188872.929402432 431769.115726207),D151893171
MIL_BOD_OLIETANKS.fid-36cc8544_1861f8fe6be_14ee,Parallelweg 035-37,onbekend,7000,1997-12-10,Adico,Tanks zijn verwijderd,Tanks zijn conform de richtlijnen (KIWA) gesaneerd,Ja,Parallelweg_035_37.pdf,,POINT (187583.004472218 430072.39886213),
MIL_BOD_OLIETANKS.fid-36cc8544_1861f8fe6be_14ef,Woerdsestraat 14,onbekend,6000,1995-12-14,Adico,De tank is gevuld met zand,Tank is conform de richtlijnen (KIWA) gesaneerd,Ja,Woerdsestraat_14.pdf,,POINT (188628.720333687 432226.16186735),D151893172
MIL_BOD_OLIETANKS.fid-36cc8544_1861f8fe6be_14f0,Griftdijk Noord 036,onbekend,8000,1999-06-08,Chemclean,De tank is verwijderd,Tank is conform de richtlijnen (KIWA) gesaneerd,Ja,Griftdijk_Noord_036.pdf,,POINT (186966.12218055 431722.793498057),D151893173
MIL_BOD_OLIETANKS.fid-36cc8544_1861f8fe6be_14f1,Marienburg 030,Voor bureau,3000,1998-09-25,Isotank,De tank is verwijderd,Tank is conform de richtlijnen (KIWA) gesaneerd,Ja,GeenCertificaat.pdf,Marienburg 030.p,POINT (188020.97917974 428644.163233036),D151893174
MIL_BOD_OLIETANKS.fid-36cc8544_1861f8fe6be_14f2,Molenstr. 106-108,In betonnen bak,4000,1999-03-10,Chemclean,De tank is verwijderd,Tank is conform de richtlijnen (KIWA) gesaneerd,Ja,Molenstr_106_108.pdf,,POINT (187709.099278549 428503.937125456),D151893175
