Ministerie;Handelsnaam;3000 - Uitbesteden overig;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3130 - Uitbesteden communicatie adviesopdrachten;3140 - Uitbesteden juridische adviesopdrachten;3150 - Uitbesteden ICT-adviesopdrachten;3160 - Uitbesteden accountancy en financiën;Eindtotaal
EZK;Akkerbouwbedrijf Maes V.O.F.;;;;;1;;;1
EZK;Akkermansia;;;1;;;;;1
EZK;Albizu, Vidal, Uría y Asociados SL (AVU SL);;;1;;;;;1
EZK;Aleid Landeweerd Illustraties en Vormgeving;;;1;;;;;1
EZK;Algemeen Groninger Persbureau Tammeling B.V.;;;1;;;;;1
EZK;Algemene Stichting Welzijn Appingedam;;;1;;;;;1
EZK;Algemene Vereniging Inlands Hout;;;1;;;;;1
EZK;AllSolutions B.V.;1;;;;;;;1
EZK;ALS LS PERU SAC;;;1;;;;;1
EZK;Amilcar Aristides Monteiro;;;1;;;;;1
EZK;Amir Nazar Begeleiding & Advies;;;1;;;;;1
EZK;Amusement Park Holding B.V.;;;1;;;;;1
EZK;Anoek.nu;;;1;;;;;1
EZK;Antea Realisatie B.V.;;;1;;;;;1
EZK;Aquaverum;;;1;;;;;1
EZK;ArboVitale B.V.;;;1;;;;;1
EZK;Aventuras;;;1;;;;;1
EZK;Axitour B.V.;;;;;;1;;1
EZK;B.V. Princeville Exploitatie;;;1;;;;;1
EZK;B3partners B.V.;;;1;;;;;1
EZK;Bar Restaurant Pavlov B.V.;;;1;;;;;1
EZK;BarentsKrans N.V.;;;1;;;;;1
EZK;Bart van Vliet Freelance Fotograaf;;;1;;;;;1
EZK;BBA Binnenmilieu B.V.;;;1;;;;;1
EZK;BEAR-iD B.V.;;;1;;;;;1
EZK;Behavioral Insight;;;1;;;;;1
EZK;Benelux-Bureau voor de Intellectuele Eigendom;;;1;;;;;1
EZK;Bev. der Bouwk. Bond v. Nederland. Arch. BNA;;;1;;;;;1
EZK;Bilderberg Grand Hotel Wientjes;;;1;;;;;1
EZK;Bilderberg Hotel De Keizerskroon;;;1;;;;;1
EZK;BKFF bas kijzers fotografie en film;;;1;;;;;1
EZK;BKS Schagen;;;1;;;;;1
EZK;Blitz Communicatie;;;1;;;;;1
EZK;Bloemsierkunst Anneke Kapteyn;;;1;;;;;1
EZK;Blue Pelican Sustainability Services;;;1;;;;;1
EZK;Bocavista B.V.;;;1;;;;;1
EZK;Boekestijn Transport Service;;;1;;;;;1
EZK;Bokkerink Compliance International;;;1;;;;;1
EZK;bol.com B.V.;;;1;;;;;1
EZK;Bontekoe Produkties V.O.F.;;;1;;;;;1
EZK;BORG B.V.;;;1;;;;;1
EZK;Bos Incasso;;;1;;;;;1
EZK;Bounleck Saydarath;;;1;;;;;1
EZK;Bourgonje Geluid- en Lichtservice B.V.;;;1;;;;;1
EZK;Bouwdynamica;;;1;;;;;1
EZK;Bouwkennis B.V.;;;1;;;;;1
EZK;Bouwkundig Adviesburo Baas B.V.;;;1;;;;;1
EZK;Brand Expedition Consultancy;;;1;;;;;1
EZK;Brasserie Schielandshuis;;;1;;;;;1
EZK;Brightface Enterprises;;;1;;;;;1
EZK;Brinkhotel Zuidlaren B.V.;;;1;;;;;1
EZK;Bruggink & vd Velden Advocaten. Bel.adv. B.V.;;;1;;;;;1
EZK;BTC Mediatest B.V.;;;1;;;;;1
EZK;Bureau BlauwGeel B.V.;;;1;;;;;1
EZK;Bureau Brems Strategy & Concepts;;;1;;;;;1
EZK;Bureau G.I.T.;;;1;;;;;1
EZK;Bureau Mozaiek;;;1;;;;;1
EZK;Buro Beeld B.V.;;;1;;;;;1
EZK;Business & Export Development Organization (BEDO);;;1;;;;;1
EZK;BuzzMaster B.V.;;;1;;;;;1
EZK;Cámara de Comercio Colombo-Holandesa Holland House;;;1;;;;;1
EZK;Campus Groningen Management;;;1;;;;;1
EZK;Can Do Academy;;;1;;;;;1
EZK;Canrinus Consultancy;;;1;;;;;1
EZK;Carpenter Global Network Consulting;;;1;;;;;1
EZK;Cebeon Centr. Beleidsadviserend Onderz. B.V.;;;1;;;;;1
EZK;CENER Centro national de Energia renovables;;;1;;;;;1
EZK;CFF Communications B.V.;;;1;;;;;1
EZK;CGI Nederland B.V.;;;1;;;;;1
EZK;CiEP Personal Quality and Results B.V.;;;1;;;;;1
EZK;Cindy de Koning Media;;;1;;;;;1
EZK;Cit Industriell Energi Ab;;;1;;;;;1
EZK;Clipit News B.V.;;;1;;;;;1
EZK;CLM Onderzoek en Advies B.V.;;;1;;;;;1
EZK;CO2GeoNet;;;1;;;;;1
EZK;CommPartners;;;1;;;;;1
EZK;COMPAREX Nederland B.V.;1;;;;;;;1
EZK;Competence Management Consulting Ltd.;;;1;;;;;1
EZK;Congrestolken;;;1;;;;;1
EZK;Conico Valves B.V.;;;1;;;;;1
EZK;Conrad Electronic Benelux B.V.;;;1;;;;;1
EZK;Coöperatieve Vereniging SAMEEN UA;;;1;;;;;1
EZK;Cooperativa Agroindustrial Cacao Alto Huallaga;;;1;;;;;1
EZK;Corner Aid;;;1;;;;;1
EZK;Cotrust B.V.;;;1;;;;;1
EZK;Craft Afrika;;;1;;;;;1
EZK;CreAim Reconi;;;1;;;;;1
EZK;Creating Perspective;;;1;;;;;1
EZK;Creating Waves;;;1;;;;;1
EZK;Crisp Consultancy;;;1;;;;;1
EZK;Crossphase B.V.;;;1;;;;;1
EZK;Cubiks (Netherlands) B.V.;;;1;;;;;1
EZK;Da Vinci Finance;;;1;;;;;1
EZK;Dalton 17 Horeca B.V.;;;1;;;;;1
EZK;De Advocaten van Van Riet B.V.;;;1;;;;;1
EZK;De Bankarie;;;1;;;;;1
EZK;De Bont Advocaten;;;;;1;;;1
EZK;De Booij Express;;;1;;;;;1
EZK;De Groene Zaak, Ond. voor een Duurz. Economie;;;1;;;;;1
EZK;De Kleijn Energy Consulting B.V.;;;1;;;;;1
EZK;De Raat Security Products B.V.;1;;;;;;;1
EZK;De Roos Geschenken B.V.;;;1;;;;;1
EZK;De Toezichtsfluisteraar;;;1;;;;;1
EZK;De Tombe Consultancy B.V.;;;1;;;;;1
EZK;De Verzamelde Werken;;;1;;;;;1
EZK;De Vesting;;;1;;;;;1
EZK;De Voort Advocaten - Mediators;;;;;1;;;1
EZK;de Wijkondernemer;;;1;;;;;1
EZK;De Wijkplaats B.V.;;;1;;;;;1
EZK;Debbee Dale Development Limited;;;1;;;;;1
EZK;Dekxels B.V.;;;1;;;;;1
EZK;Denkschets.nl;;;1;;;;;1
EZK;Dentons Boekel N.V.;;;1;;;;;1
EZK;Deskbookers B.V.;;;1;;;;;1
EZK;Development Workshop Angola;;;1;;;;;1
EZK;Digidoen;;;1;;;;;1
EZK;Digital Action;;;1;;;;;1
EZK;Digital Confidence B.V.;;;1;;;;;1
EZK;Dijkoraad R.R.G. B.V.;;;1;;;;;1
EZK;Ditty Blom Plan+Project;;;1;;;;;1
EZK;DLV Intensief Advies B.V.;;;1;;;;;1
EZK;Donna Wilson Ltd.;;;1;;;;;1
EZK;Dorpshuis 'Bij Jacobus';;;1;;;;;1
EZK;Dorpshuis de Heekt;;;1;;;;;1
EZK;Dorpshuis Ten Post;;;1;;;;;1
EZK;Dorpsvereniging Lellens;;;1;;;;;1
EZK;DPA Legal Services B.V.;;;;;1;;;1
EZK;DPI;;;1;;;;;1
EZK;Dream Develop Do B.V.;;;1;;;;;1
EZK;DrinksandBites;;;1;;;;;1
EZK;DuretTrip Notarissen N.V.;;;1;;;;;1
EZK;Duurzaam Interim Management;;;1;;;;;1
EZK;DWA B.V.;;;1;;;;;1
EZK;Ebmc Nederland B.V.;;;1;;;;;1
EZK;Ecommany B.V.;;;1;;;;;1
EZK;Economy Transformers (ET);;;1;;;;;1
