FID,hoogte,mastcode,lichtmastnummer,omschrijving,aanlegjaar,geometrie
O10002_GBI_Lichtmasten.40,8,zw05,dzw05,lichtmast,1997,MULTIPOINT ((176530.673 505537.792))
O10002_GBI_Lichtmasten.41,8,zw10,dzw10,lichtmast,1997,MULTIPOINT ((176383.173 505595.625))
O10002_GBI_Lichtmasten.42,4,zi10,szi10,lichtmast,1994,MULTIPOINT ((172090.959 509641.55))
O10002_GBI_Lichtmasten.43,4,zi12,szi12,lichtmast,1994,MULTIPOINT ((172045.859 509653.3))
O10002_GBI_Lichtmasten.44,4,zi17,szi17,lichtmast,1994,MULTIPOINT ((171897.849 509630.67))
O10002_GBI_Lichtmasten.45,4,zi22,szi22,lichtmast,1994,MULTIPOINT ((171881.175 509485.967))
O10002_GBI_Lichtmasten.46,4,zi23,szi23,lichtmast,1994,MULTIPOINT ((171889.479 509453.36))
O10002_GBI_Lichtmasten.47,6,lb14,slb14,lichtmast,2007,MULTIPOINT ((172510.2 508592.393))
O10002_GBI_Lichtmasten.48,7,in28,sin28,lichtmast,2007,MULTIPOINT ((172745.814 508481.354))
O10002_GBI_Lichtmasten.49,7,ls02,sls02,lichtmast,1988,MULTIPOINT ((171827.683 509568.414))
O10002_GBI_Lichtmasten.50,7,ls04,sls04,lichtmast,1988,MULTIPOINT ((171851.129 509478.2))
O10002_GBI_Lichtmasten.51,7,ls07,sls07,lichtmast,1988,MULTIPOINT ((171891.871 509338.589))
O10002_GBI_Lichtmasten.52,7,ls08,sls08,lichtmast,2004,MULTIPOINT ((171902.82 509290.281))
O10002_GBI_Lichtmasten.53,7,ls16,sls16,lichtmast,1988,MULTIPOINT ((172072.886 509120.091))
O10002_GBI_Lichtmasten.54,7,ls24,sls24,lichtmast,1988,MULTIPOINT ((172181.129 508888.23))
O10002_GBI_Lichtmasten.55,7,ls49,sls49,lichtmast,1988,MULTIPOINT ((172719.016 508433.206))
O10002_GBI_Lichtmasten.56,5,tij03,stij03,lichtmast,2006,MULTIPOINT ((171832.081 508873.484))
O10002_GBI_Lichtmasten.57,4,fu05,sfu05,lichtmast,1987,MULTIPOINT ((171978.132 509059.241))
O10002_GBI_Lichtmasten.58,4,cr05,scr05,lichtmast,1987,MULTIPOINT ((172104.584 508775.528))
O10002_GBI_Lichtmasten.59,5,ve18,sve18,lichtmast,2007,MULTIPOINT ((172523.392 508850.293))
O10002_GBI_Lichtmasten.60,5,hr07a,shr07a,lichtmast,1998,MULTIPOINT ((172462.008 509035.061))
O10002_GBI_Lichtmasten.61,5,nh07,snh07,lichtmast,1987,MULTIPOINT ((171859.313 509092.61))
O10002_GBI_Lichtmasten.62,4,nh11,snh11,lichtmast,1987,MULTIPOINT ((171883.072 509060.966))
O10002_GBI_Lichtmasten.63,4,nh15,snh15,lichtmast,1987,MULTIPOINT ((171859.709 508998.012))
O10002_GBI_Lichtmasten.64,4,nh20,snh20,lichtmast,1987,MULTIPOINT ((171919.404 508925.983))
O10002_GBI_Lichtmasten.65,4,ph06,sph06,lichtmast,1987,MULTIPOINT ((172061.646 508955.34))
O10002_GBI_Lichtmasten.66,5,ra04,sra04,lichtmast,1988,MULTIPOINT ((171776.073 509352.653))
O10002_GBI_Lichtmasten.67,5,ra05,sra05,lichtmast,2006,MULTIPOINT ((171742.059 509340.706))
O10002_GBI_Lichtmasten.68,5,ra20,sra20,lichtmast,1993,MULTIPOINT ((171184.59 509151.68))
O10002_GBI_Lichtmasten.69,7,sp02,ssp02,lichtmast,2000,MULTIPOINT ((171753.689 509398.96))
O10002_GBI_Lichtmasten.70,4,tm02,stm02,lichtmast,1971,MULTIPOINT ((171957.52 509432.346))
O10002_GBI_Lichtmasten.71,7,blz28,sblz28,lichtmast,2005,MULTIPOINT ((172568.209 508013.284))
O10002_GBI_Lichtmasten.72,5,ve15,sve15,lichtmast,2007,MULTIPOINT ((172497.475 508819.793))
O10002_GBI_Lichtmasten.73,5,hr14a,shr13a,lichtmast,1999,MULTIPOINT ((172431.308 509053.829))
O10002_GBI_Lichtmasten.74,5,sk05a,ssk05a,lichtmast,2006,MULTIPOINT ((172011.536 508705.484))
O10002_GBI_Lichtmasten.75,5,ste08,sste08,lichtmast,2006,MULTIPOINT ((171951.821 508680.984))
O10002_GBI_Lichtmasten.76,5,nh25,snh25,lichtmast,2006,MULTIPOINT ((171937.279 508863.484))
O10002_GBI_Lichtmasten.77,4,sh02,ssh02,lichtmast,2007,MULTIPOINT ((172571.631 508764.121))
O10002_GBI_Lichtmasten.78,4,sm02,ssm02,lichtmast,1976,MULTIPOINT ((171915.918 509409.838))
O10002_GBI_Lichtmasten.79,4,sn05,ssn05,lichtmast,1994,MULTIPOINT ((171961.509 509582.03))
O10002_GBI_Lichtmasten.80,4,st03,sst03,lichtmast,1974,MULTIPOINT ((172490.472 508637.583))
O10002_GBI_Lichtmasten.81,4,ta03,sta03,lichtmast,1977,MULTIPOINT ((172670.379 508775.443))
O10002_GBI_Lichtmasten.82,4,tm04,stm04,lichtmast,1971,MULTIPOINT ((172009.729 509425.79))
O10002_GBI_Lichtmasten.83,4,tm06,stm06,lichtmast,1971,MULTIPOINT ((172046.119 509381.68))
O10002_GBI_Lichtmasten.84,4,tm09,stm09,lichtmast,1971,MULTIPOINT ((172077.189 509460.36))
O10002_GBI_Lichtmasten.85,4,tp05,stp05,lichtmast,1978,MULTIPOINT ((172573.997 508807.391))
O10002_GBI_Lichtmasten.86,4,va09,sva09,lichtmast,1977,MULTIPOINT ((172515.057 508767.065))
O10002_GBI_Lichtmasten.87,4,ve04,sve04,lichtmast,1977,MULTIPOINT ((172489.142 508953.118))
O10002_GBI_Lichtmasten.88,4,ve19,sve19,lichtmast,1977,MULTIPOINT ((172480.138 508911.697))
O10002_GBI_Lichtmasten.89,4,ve23,sve23,lichtmast,1977,MULTIPOINT ((172551.404 508905.703))
O10002_GBI_Lichtmasten.90,4,vo04,svo04,lichtmast,1974,MULTIPOINT ((172664.917 508678.792))
O10002_GBI_Lichtmasten.91,4,zi15,szi15,lichtmast,1994,MULTIPOINT ((171962.389 509649.11))
O10002_GBI_Lichtmasten.92,4,lb03,slb03,lichtmast,1974,MULTIPOINT ((172641.854 508691.993))
O10002_GBI_Lichtmasten.93,7,in04,sin04,lichtmast,1971,MULTIPOINT ((172888.272 508408.272))
O10002_GBI_Lichtmasten.94,7,ls05,sls05,lichtmast,1988,MULTIPOINT ((171861.379 509432.82))
O10002_GBI_Lichtmasten.95,7,ls32,sls32,lichtmast,1988,MULTIPOINT ((172305.655 508701.773))
O10002_GBI_Lichtmasten.96,7,ls43,sls43,lichtmast,1988,MULTIPOINT ((172535.437 508564.675))
O10002_GBI_Lichtmasten.97,7,ls45,sls45,lichtmast,2012,MULTIPOINT ((172576.396 508529.045))
O10002_GBI_Lichtmasten.98,7,ls48,sls48,lichtmast,1988,MULTIPOINT ((172682.391 508457.531))
O10002_GBI_Lichtmasten.99,7,ns04,sns04,lichtmast,1988,MULTIPOINT ((172018.131 509328.697))
O10002_GBI_Lichtmasten.100,4,tu02,stu02,lichtmast,1988,MULTIPOINT ((172174.214 508834.992))
O10002_GBI_Lichtmasten.101,4,ve20,sve20,lichtmast,1977,MULTIPOINT ((172505.691 508894.525))
O10002_GBI_Lichtmasten.102,4,ve27,sve27,lichtmast,2006,MULTIPOINT ((172561.015 508894.738))
O10002_GBI_Lichtmasten.103,4,wu02,swu02,lichtmast,1987,MULTIPOINT ((171951.53 509101.007))
O10002_GBI_Lichtmasten.104,4,zu09,szu09,lichtmast,1988,MULTIPOINT ((172230.128 509013.087))
O10002_GBI_Lichtmasten.105,6,ri01,sri01,lichtmast,1996,MULTIPOINT ((172186.04 508390.684))
O10002_GBI_Lichtmasten.106,5,lv01,slv01,lichtmast,1996,MULTIPOINT ((172270.511 508517.514))
O10002_GBI_Lichtmasten.107,4,pt05,spt05,lichtmast,1996,MULTIPOINT ((172602.867 508427.753))
O10002_GBI_Lichtmasten.108,4,zb09,szb09,lichtmast,1996,MULTIPOINT ((172467.521 508331.183))
O10002_GBI_Lichtmasten.109,6,ri02,sri02,lichtmast,1996,MULTIPOINT ((172211.69 508373.446))
O10002_GBI_Lichtmasten.110,6,ri04,sri04,lichtmast,1996,MULTIPOINT ((172253.89 508344.924))
O10002_GBI_Lichtmasten.111,6,ri07,sri07,lichtmast,1996,MULTIPOINT ((172328.319 508294.906))
O10002_GBI_Lichtmasten.112,6,ri14,sri14,lichtmast,1996,MULTIPOINT ((172462.932 508383.048))
O10002_GBI_Lichtmasten.113,6,ri20,sri20,lichtmast,1996,MULTIPOINT ((172556.652 508534.205))
O10002_GBI_Lichtmasten.114,5,lv03,slv03,lichtmast,1996,MULTIPOINT ((172332.046 508477.967))
O10002_GBI_Lichtmasten.115,5,lv07,slv07,lichtmast,1996,MULTIPOINT ((172437.885 508411.744))
O10002_GBI_Lichtmasten.116,4,ma02,sma02,lichtmast,1996,MULTIPOINT ((172382.336 508503.994))
O10002_GBI_Lichtmasten.117,4,ijs03,sijs03,lichtmast,1996,MULTIPOINT ((172351.19 508534.602))
O10002_GBI_Lichtmasten.118,7,kf07,skf07,lichtmast,1996,MULTIPOINT ((172176.32 508403.924))
O10002_GBI_Lichtmasten.119,5,kl12,skl12,lichtmast,1996,MULTIPOINT ((172152.801 508561.484))
O10002_GBI_Lichtmasten.120,5,ht34,sht34,lichtmast,1987,MULTIPOINT ((171955.363 508515.177))
O10002_GBI_Lichtmasten.121,5,ht36,sht36,lichtmast,1987,MULTIPOINT ((171995.977 508458.503))
O10002_GBI_Lichtmasten.122,4,bo02,sbo02,lichtmast,2010,MULTIPOINT ((171972.864 508570.416))
O10002_GBI_Lichtmasten.123,4,bo11,sbo11,lichtmast,1996,MULTIPOINT ((172067.657 508489.675))
O10002_GBI_Lichtmasten.124,4,kb02,skb02,lichtmast,1996,MULTIPOINT ((172182.961 508639.788))
O10002_GBI_Lichtmasten.125,5,sk05,ssk05,lichtmast,2006,MULTIPOINT ((171990.342 508691.859))
O10002_GBI_Lichtmasten.126,4,vi02,svi02,lichtmast,1996,MULTIPOINT ((172011.212 508516.159))
O10002_GBI_Lichtmasten.127,7,ls06,sls06,lichtmast,1988,MULTIPOINT ((171880.499 509386.788))
O10002_GBI_Lichtmasten.128,7,ls19,sls19,lichtmast,1988,MULTIPOINT ((172119.835 509011.829))
O10002_GBI_Lichtmasten.129,7,ls27,sls27,lichtmast,1988,MULTIPOINT ((172212.298 508788.131))
O10002_GBI_Lichtmasten.130,7,ls31,sls31,lichtmast,1988,MULTIPOINT ((172281.092 508714.775))
O10002_GBI_Lichtmasten.131,7,ls34,sls34,lichtmast,1988,MULTIPOINT ((172352.415 508676.783))
O10002_GBI_Lichtmasten.132,7,ls40,sls40,lichtmast,1988,MULTIPOINT ((172438.486 508556.004))
O10002_GBI_Lichtmasten.133,7,ls46,sls46,lichtmast,1988,MULTIPOINT ((172609.815 508506.476))
O10002_GBI_Lichtmasten.134,7,ls47,sls47,lichtmast,1988,MULTIPOINT ((172646.255 508482.005))
O10002_GBI_Lichtmasten.135,5,ve07,sve07,lichtmast,1977,MULTIPOINT ((172442.822 508936.812))
O10002_GBI_Lichtmasten.136,5,ve09,sve09,lichtmast,1977,MULTIPOINT ((172435.238 508912.183))
O10002_GBI_Lichtmasten.137,5,ht15,sht15,lichtmast,2006,MULTIPOINT ((171678.924 508960.359))
O10002_GBI_Lichtmasten.138,5,da10,sda10,lichtmast,2006,MULTIPOINT ((171931.709 508845.484))
O10002_GBI_Lichtmasten.139,5,pf06,spf06,lichtmast,2005,MULTIPOINT ((172161.598 509290.484))
O10002_GBI_Lichtmasten.140,5,gr40,sgr40,lichtmast,2005,MULTIPOINT ((172117.817 509212.859))
O10002_GBI_Lichtmasten.141,7,zu34,szu34,lichtmast,2005,MULTIPOINT ((172348.767 509298.338))
O10002_GBI_Lichtmasten.142,4,an01,san01,lichtmast,1987,MULTIPOINT ((172163.278 508882.499))
O10002_GBI_Lichtmasten.143,5,ba08,sba08,lichtmast,1977,MULTIPOINT ((172364.812 508761.646))
O10002_GBI_Lichtmasten.144,5,bu15,sbu15,lichtmast,1987,MULTIPOINT ((171723.992 509139.897))
O10002_GBI_Lichtmasten.145,5,bu16,sbu16,lichtmast,1987,MULTIPOINT ((171746.98 509154.495))
O10002_GBI_Lichtmasten.146,5,bu32,sbu32,lichtmast,1987,MULTIPOINT ((171774.15 509268.854))
O10002_GBI_Lichtmasten.147,4,bu22,sbu22,lichtmast,1987,MULTIPOINT ((171753.538 509205.289))
O10002_GBI_Lichtmasten.148,4,bu23,sbu23,lichtmast,1987,MULTIPOINT ((171739.227 509227.777))
O10002_GBI_Lichtmasten.149,6,bl02,sbl02,lichtmast,1977,MULTIPOINT ((172551.114 509032.118))
O10002_GBI_Lichtmasten.150,6,bl09,sbl09,lichtmast,1977,MULTIPOINT ((172679.347 508922.129))
O10002_GBI_Lichtmasten.151,5,gr09,sgr09,lichtmast,1988,MULTIPOINT ((172221.139 509217.66))
O10002_GBI_Lichtmasten.152,5,gr27,sgr27,lichtmast,2005,MULTIPOINT ((172244.209 509319.359))
O10002_GBI_Lichtmasten.153,6,hr04,shr04,lichtmast,1981,MULTIPOINT ((172493.869 509069.63))
O10002_GBI_Lichtmasten.154,6,he05,she05,lichtmast,1977,MULTIPOINT ((172614.699 508854.449))
O10002_GBI_Lichtmasten.155,5,ht01,sht01,lichtmast,1987,MULTIPOINT ((171849.487 509122.549))
O10002_GBI_Lichtmasten.156,5,ht03,sht03,lichtmast,1987,MULTIPOINT ((171832.494 509149.251))
O10002_GBI_Lichtmasten.157,4,ir01,sir01,lichtmast,1987,MULTIPOINT ((172112.879 508748.7))
O10002_GBI_Lichtmasten.158,4,kk01,skk01,lichtmast,1987,MULTIPOINT ((171992.88 509160.254))
O10002_GBI_Lichtmasten.159,4,va10,sva10,lichtmast,1977,MULTIPOINT ((172541.925 508751.519))
O10002_GBI_Lichtmasten.160,4,wa20,swa20,lichtmast,1994,MULTIPOINT ((172456.275 509130.585))
O10002_GBI_Lichtmasten.161,4,zi13,szi13,lichtmast,1994,MULTIPOINT ((172017.179 509662.53))
O10002_GBI_Lichtmasten.162,4,zi21,szi21,lichtmast,1994,MULTIPOINT ((171873.209 509517.47))
O10002_GBI_Lichtmasten.163,6,lb01,slb01,lichtmast,1974,MULTIPOINT ((172613.007 508725.205))
O10002_GBI_Lichtmasten.164,6,lb06,slb06,lichtmast,1974,MULTIPOINT ((172607.706 508658.978))
O10002_GBI_Lichtmasten.165,6,lb10,slb10,lichtmast,1974,MULTIPOINT ((172570.921 508607.946))
O10002_GBI_Lichtmasten.166,7,in23,sin23,lichtmast,1971,MULTIPOINT ((172861.606 508653.532))
O10002_GBI_Lichtmasten.167,7,in30,sin30,lichtmast,2001,MULTIPOINT ((172766.379 508444.78))
O10002_GBI_Lichtmasten.168,7,in32,sin32,lichtmast,2001,MULTIPOINT ((172730.543 508391.535))
O10002_GBI_Lichtmasten.169,7,in33,sin33,lichtmast,2001,MULTIPOINT ((172709.924 508361.363))
O10002_GBI_Lichtmasten.170,7,in36,sin36,lichtmast,2001,MULTIPOINT ((172651.042 508273.979))
O10002_GBI_Lichtmasten.171,7,ns14,sns14,lichtmast,1988,MULTIPOINT ((172240.735 509417.117))
O10002_GBI_Lichtmasten.172,7,zu20,szu20,lichtmast,1988,MULTIPOINT ((172327.679 509114.08))
O10002_GBI_Lichtmasten.173,4,ijs01,sijs01,lichtmast,1996,MULTIPOINT ((172304.904 508565.777))
O10002_GBI_Lichtmasten.174,6,ri08,sri08,lichtmast,1996,MULTIPOINT ((172352.232 508278.814))
O10002_GBI_Lichtmasten.175,6,ri13,sri13,lichtmast,1996,MULTIPOINT ((172444.956 508356.082))
O10002_GBI_Lichtmasten.176,6,ri15,sri15,lichtmast,1996,MULTIPOINT ((172480.885 508409.429))
O10002_GBI_Lichtmasten.177,4,du06,sdu06,lichtmast,1996,MULTIPOINT ((172522.386 508502.545))
O10002_GBI_Lichtmasten.178,7,kf13,skf13,lichtmast,1996,MULTIPOINT ((172290.912 508574.049))
O10002_GBI_Lichtmasten.179,7,kf09,skf09,lichtmast,1996,MULTIPOINT ((172215.369 508461.806))
O10002_GBI_Lichtmasten.180,4,kl03,skl03,lichtmast,2011,MULTIPOINT ((172236.23 508674.533))
O10002_GBI_Lichtmasten.181,4,sv04,ssv04,lichtmast,1996,MULTIPOINT ((172152.644 508478.117))
O10002_GBI_Lichtmasten.182,4,bu11,sbu11,lichtmast,1988,MULTIPOINT ((171655.424 509182.178))
O10002_GBI_Lichtmasten.183,4,pp06,spp06,lichtmast,1996,MULTIPOINT ((172292.516 508625.799))
O10002_GBI_Lichtmasten.184,0,sk09,ssk09,lichtmast,1996,MULTIPOINT ((172021.719 508631.868))
O10002_GBI_Lichtmasten.185,5,gr29,sgr29,lichtmast,2005,MULTIPOINT ((172216.517 509301.609))
O10002_GBI_Lichtmasten.186,7,ko35,sko35,lichtmast,1989,MULTIPOINT ((172990.289 509610.329))
O10002_GBI_Lichtmasten.187,4,do05,sdo05,lichtmast,1997,MULTIPOINT ((172308.505 508882.667))
O10002_GBI_Lichtmasten.188,4,tp02,stp02,lichtmast,1978,MULTIPOINT ((172589.337 508832.462))
O10002_GBI_Lichtmasten.189,4,tp06,stp06,lichtmast,1978,MULTIPOINT ((172578.703 508782.52))
O10002_GBI_Lichtmasten.190,4,tp07,stp07,lichtmast,1978,MULTIPOINT ((172596.171 508815.945))
O10002_GBI_Lichtmasten.191,4,ve03,sve03,lichtmast,1977,MULTIPOINT ((172512.14 508952.757))
O10002_GBI_Lichtmasten.192,4,ve06,sve06,lichtmast,1977,MULTIPOINT ((172457.75 508926.744))
O10002_GBI_Lichtmasten.193,5,ve12,sve12,lichtmast,2009,MULTIPOINT ((172508.795 508849.285))
O10002_GBI_Lichtmasten.194,5,ve13,sve13,lichtmast,2007,MULTIPOINT ((172469.142 508842.96))
O10002_GBI_Lichtmasten.195,4,zi11,szi11,lichtmast,1994,MULTIPOINT ((172066.658 509643.97))
O10002_GBI_Lichtmasten.196,6,lb05,slb05,lichtmast,1974,MULTIPOINT ((172574.496 508673.385))
O10002_GBI_Lichtmasten.197,7,in27,sin27,lichtmast,1971,MULTIPOINT ((172767.918 508514.336))
O10002_GBI_Lichtmasten.198,7,in31,sin31,lichtmast,2001,MULTIPOINT ((172746.969 508415.998))
O10002_GBI_Lichtmasten.199,7,ls25,sls25,lichtmast,1988,MULTIPOINT ((172194.139 508855.62))
O10002_GBI_Lichtmasten.200,7,ls33,sls33,lichtmast,1988,MULTIPOINT ((172331.064 508688.315))
O10002_GBI_Lichtmasten.201,7,ls35,sls35,lichtmast,1988,MULTIPOINT ((172351.532 508657.012))
O10002_GBI_Lichtmasten.202,7,ls36,sls36,lichtmast,1988,MULTIPOINT ((172328.472 508629.875))
O10002_GBI_Lichtmasten.203,7,ko23,sko23,lichtmast,1989,MULTIPOINT ((172937.539 509660.829))
O10002_GBI_Lichtmasten.204,4,do07,sdo07,lichtmast,1997,MULTIPOINT ((172349.247 508934.106))
O10002_GBI_Lichtmasten.205,7,bi04,sbi04,lichtmast,2003,MULTIPOINT ((171968.66 508321.437))
O10002_GBI_Lichtmasten.206,7,ki07,ski07,lichtmast,2002,MULTIPOINT ((173324.147 509226.736))
O10002_GBI_Lichtmasten.207,7,ms07,sms07,lichtmast,2002,MULTIPOINT ((173016.053 509350.169))
O10002_GBI_Lichtmasten.208,4,ro08b,sro08b,lichtmast,2001,MULTIPOINT ((172355.539 508386.518))
O10002_GBI_Lichtmasten.209,4,lv05d,slv05d,lichtmast,2001,MULTIPOINT ((172413.413 508491.421))
O10002_GBI_Lichtmasten.210,4,zw05,szw05,lichtmast,1999,MULTIPOINT ((172376.013 508101.714))
O10002_GBI_Lichtmasten.211,6,zw23,szw23,lichtmast,1999,MULTIPOINT ((171954.837 508181.018))
O10002_GBI_Lichtmasten.212,5,hv03,shv03,lichtmast,1999,MULTIPOINT ((172268.326 508259.391))
O10002_GBI_Lichtmasten.213,5,hv05,shv05,lichtmast,1999,MULTIPOINT ((172318.733 508225.291))
O10002_GBI_Lichtmasten.214,5,hv06,shv06,lichtmast,1999,MULTIPOINT ((172344.033 508208.249))
O10002_GBI_Lichtmasten.215,5,dk02,sdk02,lichtmast,1999,MULTIPOINT ((172345.766 508155.955))
O10002_GBI_Lichtmasten.216,5,dk03,sdk03,lichtmast,1999,MULTIPOINT ((172329.88 508132.163))
O10002_GBI_Lichtmasten.217,7,vd02,dvd02,lichtmast,1991,MULTIPOINT ((180027.534 510233.348))
O10002_GBI_Lichtmasten.218,7,vd16,dvd16,lichtmast,1991,MULTIPOINT ((180521.17 510223.974))
O10002_GBI_Lichtmasten.219,4,vd25,dvd25,lichtmast,1991,MULTIPOINT ((180191.902 510205.545))
O10002_GBI_Lichtmasten.220,6,vd29,dvd29,lichtmast,2005,MULTIPOINT ((180333.686 510189.992))
O10002_GBI_Lichtmasten.221,5,hd14,shd14,lichtmast,1999,MULTIPOINT ((172029.67 508352.105))
O10002_GBI_Lichtmasten.222,4,kkb03,skkb03,lichtmast,1999,MULTIPOINT ((172245.696 508149.136))
O10002_GBI_Lichtmasten.223,4,cr04,scr04,lichtmast,1987,MULTIPOINT ((172115.92 508796.337))
O10002_GBI_Lichtmasten.224,4,fu10,sfu10,lichtmast,1987,MULTIPOINT ((171921.567 509013.066))
O10002_GBI_Lichtmasten.225,4,gd10,sgd10,lichtmast,1988,MULTIPOINT ((172059.209 508677.814))
O10002_GBI_Lichtmasten.226,5,hr08,shr08,lichtmast,1998,MULTIPOINT ((172487.525 509056.756))
O10002_GBI_Lichtmasten.227,5,hr12,shr12,lichtmast,2007,MULTIPOINT ((172444.172 509058.825))
O10002_GBI_Lichtmasten.228,5,hr14,shr14,lichtmast,1999,MULTIPOINT ((172415.352 509058.712))
O10002_GBI_Lichtmasten.229,4,he17,she17,lichtmast,1977,MULTIPOINT ((172736.049 508652.03))
O10002_GBI_Lichtmasten.230,5,ht06,sht06,lichtmast,1987,MULTIPOINT ((171769.333 509118.781))
O10002_GBI_Lichtmasten.231,5,ht07,sht07,lichtmast,1987,MULTIPOINT ((171749.392 509106.081))
O10002_GBI_Lichtmasten.232,4,ja01,sja01,lichtmast,1977,MULTIPOINT ((172674.344 508829.612))
O10002_GBI_Lichtmasten.233,7,ls15,sls15,lichtmast,2009,MULTIPOINT ((172084.079 509140.46))
O10002_GBI_Lichtmasten.234,4,st01,sst01,lichtmast,1974,MULTIPOINT ((172512.737 508626.367))
O10002_GBI_Lichtmasten.235,5,ka01,ska01,lichtmast,1994,MULTIPOINT ((171879.709 509433))
O10002_GBI_Lichtmasten.236,5,nh01,snh01,lichtmast,1987,MULTIPOINT ((171995.266 509191.583))
O10002_GBI_Lichtmasten.237,4,hy04,shy04,lichtmast,1987,MULTIPOINT ((172029.973 508813.082))
O10002_GBI_Lichtmasten.238,5,ka04,ska04,lichtmast,1994,MULTIPOINT ((171957.759 509468.25))
O10002_GBI_Lichtmasten.239,4,kg08,skg08,lichtmast,1977,MULTIPOINT ((172547.709 508565.226))
