FID,wpeil_verf,poten_peil,se_anno_cad_data,gdb_geomattr_data,shape
potentiele_waterdiepte_laagste_punt_wegvak__m_.38,0,0,,,"LINESTRING (38033.60599999875 406036.62000000104, 38205.60399999842 406163.62900000066, 38441.54800000042 406325.6020000018)"
potentiele_waterdiepte_laagste_punt_wegvak__m_.39,0,0,,,"LINESTRING (33961.30700000003 401421.53500000015, 33971.3040000014 401424.28400000185, 34066.38300000131 401447.8060000017, 34158.458000000566 401467.43200000003, 34203.34299999848 401475.82400000095, 34291.85000000149 401489.7419999987, 34336.25 401495.2479999997, 34381.39400000125 401499.7870000005, 34453.40700000152 401504.59600000083)"
potentiele_waterdiepte_laagste_punt_wegvak__m_.40,0,0,,,"LINESTRING (32328.346000000834 399726.3370000012, 32343.04600000009 399745.8779999986, 32377.789999999106 399795.2329999991, 32411.616000000387 399846.243999999, 32444.26300000027 399898.9459999986, 32475.627000000328 399953.3990000002, 32505.76099999994 400009.66800000146, 32534.837999999523 400067.79300000146, 32563.098000001162 400127.73699999973, 32577.05600000173 400158.7989999987)"
potentiele_waterdiepte_laagste_punt_wegvak__m_.41,0,0,,,"LINESTRING (38441.54800000042 406325.6020000018, 38751.94099999964 406538.68299999833)"
potentiele_waterdiepte_laagste_punt_wegvak__m_.42,0,0,,,"LINESTRING (34453.40700000152 401504.59600000083, 34475.92199999839 401506.09899999946, 34578.6790000014 401509.2320000008, 34690.65599999949 401510.0639999993, 34870.80600000173 401508.76000000164, 34953.28700000048 401507.2170000002)"
potentiele_waterdiepte_laagste_punt_wegvak__m_.43,-0.96,-0.96,,,"LINESTRING (35942.55600000173 401374.1770000011, 35987.42399999872 401367.26000000164, 36033.46400000155 401361.13500000164, 36077.65500000119 401356.5240000002, 36119.78500000015 401353.75499999896, 36159.67399999872 401353.1770000011, 36197.22300000116 401355.1259999983, 36232.44200000167 401359.9079999998, 36265.46200000122 401367.7710000016, 36296.51999999955 401378.8979999982, 36325.91600000113 401393.3960000016, 36353.96900000051 401411.30700000003, 36380.96799999848 401432.6070000008, 36407.13599999994 401457.2259999998, 36410.61899999902 401461.0300000012)"
potentiele_waterdiepte_laagste_punt_wegvak__m_.44,0,0,,,"LINESTRING (32577.05600000173 400158.7989999987, 32590.784000001848 400189.34899999946, 32645.13800000027 400316.188000001, 32749.659000001848 400566.2509999983, 32772.59200000018 400618.96400000155)"
potentiele_waterdiepte_laagste_punt_wegvak__m_.45,0,0,,,"LINESTRING (34953.28700000048 401507.2170000002, 34992.625 401506.48099999875, 35111.66899999976 401502.23099999875, 35227.4299999997 401494.5850000009, 35284.56899999827 401489.0689999983, 35341.550999999046 401482.313000001, 35451.072000000626 401465.9539999999)"
potentiele_waterdiepte_laagste_punt_wegvak__m_.46,-1.22,-1.22,,,"LINESTRING (35451.072000000626 401465.9539999999, 35455.56500000134 401465.2829999998, 35569.20300000161 401444.80000000075, 35840.0009999983 401392.11300000176, 35939.73699999973 401374.61199999973, 35942.55600000173 401374.1770000011)"
potentiele_waterdiepte_laagste_punt_wegvak__m_.47,-1.83,-1.83,,,"LINESTRING (36648.56599999964 401897.07400000095, 36672.90900000185 401961.44299999997, 36711.333000000566 402067.53500000015, 36748.59800000116 402173.7650000006, 36783.75200000033 402280.4270000011, 36800.13599999994 402334.6270000003, 36810.017000000924 402370.118999999)"
potentiele_waterdiepte_laagste_punt_wegvak__m_.48,-1.07,-1.07,,,"LINESTRING (36410.61899999902 401461.0300000012, 36432.61300000176 401485.0549999997, 36457.46200000122 401515.9690000005, 36481.68800000101 401549.83399999887, 36505.267999999225 401586.5150000006, 36528.175999999046 401625.88699999824, 36550.40900000185 401667.81700000167, 36571.99500000104 401712.1570000015, 36592.99700000137 401758.72199999914, 36613.49799999967 401807.2679999992, 36633.59400000051 401857.48699999973, 36648.56599999964 401897.07400000095)"
potentiele_waterdiepte_laagste_punt_wegvak__m_.49,0,0,,,"LINESTRING (105837.8599999994 473429.0729999989, 106169.69799999893 473803.08300000057)"
potentiele_waterdiepte_laagste_punt_wegvak__m_.50,0,0,,,"LINESTRING (106169.69799999893 473803.08300000057, 106280.97899999842 473928.506000001, 106459.6240000017 474133.4360000007, 106498.90700000152 474179.3979999982)"
potentiele_waterdiepte_laagste_punt_wegvak__m_.51,0,0,,,"LINESTRING (106498.90700000152 474179.3979999982, 106526.45499999821 474211.62999999896, 106629.3049999997 474334.8229999989, 106704.29600000009 474427.53400000185, 106815.13699999824 474566.6499999985)"
potentiele_waterdiepte_laagste_punt_wegvak__m_.52,0,0,,,"LINESTRING (106815.13699999824 474566.6499999985, 106831.9140000008 474587.70800000057, 106891.53599999845 474658.13899999857, 106947.83999999985 474719.39400000125, 107023.67500000075 474795.37900000066, 107124.93299999833 474890.51999999955, 107163.10700000077 474924.79199999943)"
potentiele_waterdiepte_laagste_punt_wegvak__m_.53,0,0,,,"LINESTRING (107163.10700000077 474924.79199999943, 107239.99599999934 474993.8209999986, 107297.50699999928 475046.71499999985, 107372.25200000033 475120.4270000011, 107420.55000000075 475171.2289999984, 107479.62099999934 475236.1939999983, 107516.21499999985 475278.1270000003)"
potentiele_waterdiepte_laagste_punt_wegvak__m_.54,0,0,,,"LINESTRING (107516.21499999985 475278.1270000003, 107552.98299999908 475320.2589999996, 107645.03200000152 475429.62999999896, 107761.19900000095 475572.0020000003, 107908.11899999902 475756.8020000011)"
potentiele_waterdiepte_laagste_punt_wegvak__m_.55,5,5,,,"LINESTRING (106123.50499999896 496203.8969999999, 106173.74500000104 496426.20800000057, 106215.52100000158 496604.5859999992, 106236.59299999848 496690.9299999997)"
potentiele_waterdiepte_laagste_punt_wegvak__m_.56,-2.94,-2.94,,,"LINESTRING (106544.58999999985 497640.95699999854, 106552.7490000017 497660.3509999998, 106593.62999999896 497752.6700000018, 106658.79899999872 497890.9699999988, 106704.51199999824 497982.6559999995, 106751.69999999925 498073.6950000003, 106761.19099999964 498091.43299999833)"
potentiele_waterdiepte_laagste_punt_wegvak__m_.57,0,0,,,"LINESTRING (106995.28299999982 498533.15900000185, 107006.15900000185 498556.28599999845, 107033.57699999958 498619.7289999984, 107061.24599999934 498691.0639999993, 107088.9690000005 498772.76000000164, 107116.43299999833 498867.8500000015, 107143.16899999976 498980.01399999857, 107148.43400000036 499007.7809999995)"
potentiele_waterdiepte_laagste_punt_wegvak__m_.58,13.08,13.08,,,"LINESTRING (106369.13199999928 497172.936999999, 106370.19000000134 497176.3979999982, 106406.51099999994 497284.9149999991, 106459.1950000003 497429.493999999, 106513.96299999952 497568.16000000015, 106544.58999999985 497640.95699999854)"
potentiele_waterdiepte_laagste_punt_wegvak__m_.59,13.25,13.25,,,"LINESTRING (106236.59299999848 496690.9299999997, 106250.64600000158 496748.51099999994, 106280.61899999902 496865.7509999983, 106306.66099999845 496962.61100000143, 106329.7650000006 497044.1479999982, 106369.13199999928 497172.936999999)"
potentiele_waterdiepte_laagste_punt_wegvak__m_.60,0,0,,,"LINESTRING (106761.19099999964 498091.43299999833, 106800.10700000077 498164.16899999976, 106900.32299999893 498347.2800000012, 106952.44000000134 498445.5069999993, 106979.09800000116 498498.7410000004, 106995.28299999982 498533.15900000185)"
potentiele_waterdiepte_laagste_punt_wegvak__m_.61,0,0,,,"LINESTRING (107148.43400000036 499007.7809999995, 107168.5150000006 499113.68299999833, 107191.56700000167 499274.14499999955, 107211.125 499467.6649999991)"
potentiele_waterdiepte_laagste_punt_wegvak__m_.62,2.49,2.49,,,"LINESTRING (40327.53500000015 411707.5320000015, 40340.3200000003 411727.24500000104, 40365.89600000158 411762.8060000017, 40392.84899999946 411797.3110000007, 40420.86100000143 411830.95899999887, 40479.006999999285 411896.4549999982, 40569.35000000149 411992.438000001, 40657.80700000003 412081.80099999905)"
potentiele_waterdiepte_laagste_punt_wegvak__m_.63,2.55,2.55,,,"LINESTRING (40180.41800000146 411233.993999999, 40198.81899999827 411339.1330000013, 40217.96799999848 411436.40399999917, 40229.300999999046 411482.91000000015, 40242.375 411527.78500000015, 40257.506999999285 411570.9549999982, 40274.890000000596 411612.4120000005, 40294.56799999997 411652.20600000024, 40316.447000000626 411690.4360000007, 40327.53500000015 411707.5320000015)"
potentiele_waterdiepte_laagste_punt_wegvak__m_.64,2.33,2.33,,,"LINESTRING (40057.42399999872 410749.92599999905, 40085.81799999997 410838.4519999996, 40114.44399999827 410934.8969999999, 40127.70199999958 410983.95899999887, 40140.12299999967 411033.73699999973, 40162.291999999434 411135.22300000116, 40172.11400000006 411186.5480000004, 40180.41800000146 411233.993999999)"
potentiele_waterdiepte_laagste_punt_wegvak__m_.65,0.26,0.26,,,"LINESTRING (39918.73000000045 410269.7580000013, 39935.22500000149 410340.55099999905, 39948.53000000119 410392.006000001, 39977.267999999225 410494.62900000066, 40007.96900000051 410595.73099999875, 40057.42399999872 410749.92599999905)"
potentiele_waterdiepte_laagste_punt_wegvak__m_.66,-5.39,-5.39,,,"LINESTRING (39853.28500000015 409774.73000000045, 39854.95600000024 409805.83999999985, 39863.65500000119 409920.1739999987, 39875.54899999872 410029.3729999997, 39882.92300000042 410082.3660000004, 39891.324999999255 410134.59099999815, 39911.27400000021 410237.76000000164, 39918.73000000045 410269.7580000013)"
potentiele_waterdiepte_laagste_punt_wegvak__m_.67,0,0,,,"LINESTRING (39834.289000000805 409275.1070000008, 39843.528000000864 409563.1090000011, 39848.54300000146 409686.44999999925, 39853.28500000015 409774.73000000045)"
potentiele_waterdiepte_laagste_punt_wegvak__m_.68,0,0,,,"LINESTRING (39812.85300000012 408775.61300000176, 39815.30799999833 408806.38699999824, 39822.392000000924 408931.813000001, 39827.31599999964 409057.72300000116, 39834.289000000805 409275.1070000008)"
potentiele_waterdiepte_laagste_punt_wegvak__m_.69,0,0,,,"LINESTRING (39709.95300000161 408288.1939999983, 39717.29399999976 408307.4789999984, 39739.02100000158 408371.48099999875, 39757.52199999988 408434.2509999983, 39772.97800000012 408496.3040000014, 39785.65100000054 408558.0610000007, 39795.86199999973 408619.8220000006, 39803.96599999815 408681.76300000027, 39810.32800000161 408743.9530000016, 39812.85300000012 408775.61300000176)"
potentiele_waterdiepte_laagste_punt_wegvak__m_.70,0,0,,,"LINESTRING (38751.94099999964 406538.68299999833, 38986.60500000045 406980.1950000003)"
potentiele_waterdiepte_laagste_punt_wegvak__m_.71,2,2,,,"LINESTRING (40657.80700000003 412081.80099999905, 40663.15599999949 412087.2039999999, 40728.70100000128 412149.38800000027, 40762.79300000146 412180.06700000167, 40834.57299999893 412240.7329999991, 40912.57999999821 412301.2529999986, 40998.153000000864 412362.9439999983, 41045.97700000182 412395.72199999914)"
potentiele_waterdiepte_laagste_punt_wegvak__m_.72,0.73,0.73,,,"LINESTRING (41045.97700000182 412395.72199999914, 41091.289000000805 412426.7800000012, 41338.94000000134 412592.0769999996, 41432.30600000173 412656.62000000104, 41459.69099999964 412676.45600000024)"
potentiele_waterdiepte_laagste_punt_wegvak__m_.73,1.42,1.42,,,"LINESTRING (41459.69099999964 412676.45600000024, 41475.83799999952 412688.15199999884, 41516.94200000167 412719.3200000003, 41555.515000000596 412750.3260000013, 41591.550000000745 412781.4290000014, 41625.10599999875 412812.9079999998, 41656.28599999845 412845.02899999917, 41685.22899999842 412878.01300000027, 41712.107999999076 412912.01000000164, 41737.142000000924 412947.0789999999, 41760.61699999869 412983.1790000014, 41782.90700000152 413020.1649999991, 41794.86600000039 413041.0390000008)"
potentiele_waterdiepte_laagste_punt_wegvak__m_.74,2.22,2.22,,,"LINESTRING (41794.86600000039 413041.0390000008, 41847.81599999964 413133.4609999992, 41870.89799999818 413170.5709999986, 41895.811000000685 413206.46400000155, 41923.14699999988 413240.54300000146, 41953.375 413272.2039999999, 41986.79899999872 413300.86499999836, 42023.53500000015 413326, 42063.515000000596 413347.17599999905, 42106.504000000656 413364.0879999995, 42143.778999999166 413374.30099999905)"
potentiele_waterdiepte_laagste_punt_wegvak__m_.75,1.94,1.94,,,"LINESTRING (42143.778999999166 413374.30099999905, 42152.13699999824 413376.59099999815, 42199.96499999985 413384.7250000015, 42249.50299999863 413388.7280000001, 42300.27499999851 413389.0309999995, 42351.85300000012 413386.23900000006, 42403.892999999225 413381.08999999985, 42560.925000000745 413359.86499999836, 42613.54699999839 413353.61199999973, 42640.3909999989 413351.2580000013)"
potentiele_waterdiepte_laagste_punt_wegvak__m_.76,1.86,1.86,,,"LINESTRING (42640.3909999989 413351.2580000013, 42666.57999999821 413348.9620000012, 42720.333000000566 413346.4609999992, 42775.18400000036 413346.5150000006, 42831.550999999046 413349.40100000054, 42889.87000000104 413355.26399999857, 42950.56300000101 413364.1400000006, 43014.015000000596 413375.9679999985, 43080.5540000014 413390.6090000011, 43134.73900000006 413403.99500000104)"
potentiele_waterdiepte_laagste_punt_wegvak__m_.77,0,0,,,"LINESTRING (38986.60500000045 406980.1950000003, 38998.97800000012 407003.47300000116, 39128.892000000924 407195.3969999999, 39202.971999999136 407288.7039999999, 39252.43100000173 407355.9820000008, 39272.822000000626 407389.506000001)"
potentiele_waterdiepte_laagste_punt_wegvak__m_.78,1.77,1.77,,,"LINESTRING (43134.73900000006 413403.99500000104, 43150.43499999866 413407.8720000014, 43223.83799999952 413427.5300000012, 43381.68400000036 413473.1070000008, 43555.175000000745 413525.84800000116, 43614.77299999818 413544.2820000015)"
potentiele_waterdiepte_laagste_punt_wegvak__m_.79,0,0,,,"LINESTRING (39272.822000000626 407389.506000001, 39292.18100000173 407421.33300000057, 39329.05200000107 407490.2320000008, 39366.05200000107 407563.0379999988, 39501.94399999827 407833.7829999998)"
potentiele_waterdiepte_laagste_punt_wegvak__m_.80,1.73,1.73,,,"LINESTRING (43614.77299999818 413544.2820000015, 43852.903000000864 413617.9389999993, 43966.67100000009 413652.49599999934, 44090.914999999106 413688.938000001, 44093.19099999964 413689.563000001)"
potentiele_waterdiepte_laagste_punt_wegvak__m_.81,0,0,,,"LINESTRING (39501.94399999827 407833.7829999998, 39523.03400000185 407875.8020000011, 39598.208000000566 408029.6409999989, 39632.48699999973 408103.01000000164, 39663.93400000036 408173.66000000015, 39692.25499999896 408241.7019999996, 39709.95300000161 408288.1939999983)"
