;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;7410 - Verwerven en afstoten;Eindtotaal
Croonwolter&dros B.V.;5;;;;5
C-Tin Camerabewaking;1;;;;1
Dassen Bouw B.V.;1;;;;1
De Kluizenier;1;;;;1
De Metaalwinkel B.V.;1;;;;1
de Schulenburch;;;;2;2
De Slotenwacht;1;;;;1
De Vries Projekt Design B.V.;1;;;;1
Delta Ohm;1;;;;1
Destil B.V.;1;;;;1
Digital Revolution B.V.;1;;;;1
Dirmar Seon B.V.;2;;;;2
DLV Makelaardij B.V.;;;;1;1
Donkergroen B.V.;5;;;;5
DORMA Nederland B.V.;3;;;;3
Duijvelaar Pompen;1;;;;1
Dunea N.V.;;1;;;1
E. Witte Bouw- en Aannemersbedrijf B.V.;1;;;;1
E.H.B.O. Vereniging St.Damiaan;1;;;;1
E.ON Benelux Levering B.V.;;1;;;1
ECU 92, Study Association;;;;1;1
Eijkelboom B.V.;5;;;;5
Emixion Services B.V.;;;;2;2
Enduris B.V.;;1;;;1
Eneco Services B.V.;;2;;;2
Eneco Warmte & Koude Leveringsbedrijf B.V.;;1;;;1
Eneco Zakelijk;;5;;;5
Enexis B.V.;;1;;;1
ENGIE Energie Nederland N.V.;;3;;;3
ENGIE Services Noord B.V.;1;;;;1
Equipment Group Holland;1;;;;1
Euromate B.V.;1;;;;1
Eurosafe Solutions B.V.;1;;;;1
EVEMA TELECOM BV;1;;;;1
Facilicom PPS Doetinchem Exploitatie B.V.;1;;;;1
Floor Beveiligingstechniek B.V.;1;;;;1
Frank B.V.;1;;;;1
FSD B.V.;1;;;;1
Fudura B.V.;;1;;;1
Fugo Equipment B.V.;1;;;;1
G. Hulshoff & Zoon Verhhuis & Trans;;;1;;1
Gamma Gouda;1;;;;1
Geerit Bouw Timmerwerken;1;;;;1
Gerritse IJzerwaren;1;;;;1
Giant Security B.V.;1;;;;1
Glas Construct Faber Tilma;1;;;;1
Glashandel van Ooyen B.V.;1;;;;1
Golden Tulip Hotel De Reiskoffer;1;;;;1
Greenchoice;;6;;;6
Groentotaal A. de Boer Ruinerwold;1;;;;1
Gunnebo Nederland B.V.;1;;;;1
Gunters en Meuser B.V.;1;;;;1
HÃ¤fele Nederland B.V.;1;;;;1
Hans van Dijk Montage;1;;;;1
HBM Machines B.V.;1;;;;1
Heerkens Verlichting;1;;;;1
Heijmans Utiliteit;4;;;;4
Helmondse Schietsport Vereniging 'De Helm';;;;1;1
Helms Milieutechniek B.V.;1;;;;1
Hollander Techniek B.V.;2;;;;2
Hoveniersbedrijf F.C. Blom B.V.;2;;;;2
hvabouwservice;1;;;;1
HWR Drukwerk B.V.;1;;;;1
Hydroscope B.V.;;2;;;2
Hytech;2;;;;2
IGT Testing Systems;1;;;;1
Ingenieursbureau Ebatech B.V.;;1;;;1
INTAB Benelux;1;;;;1
Interfit;1;;;;1
Interflow;1;;;;1
J. Glijnis Loon- en Verhuurbedrijf B.V.;2;;;;2
Jongeneel Rotterdam;1;;;;1
Joulz Infradiensten B.V.;;1;;;1
Joulz Meetbedrijf B.V.;;1;;;1
Kaanders Sloten&Preventie;1;;;;1
Kalibra International B.V.;1;;;;1
Kavel44 B.V.;;;;1;1
Klaver Bik(e)motion B.V.;1;;;;1
Klein Units B.V.;;;;2;2
KlimaPlan Klimaattechniek B.V.;1;;;;1
Koning & Hartman B.V.;2;;;;2
Kooning Schiphol B.V.;1;;;;1
KPN B.V.;1;;;;1
KPN XL;1;;;;1
Kruizinga B.V.;1;;;;1
LÃ¶wik Daktechniek;1;;;;1
LanckerWolters beveiliging & ict B.V.;1;;;;1
Lawn Tennis Club 'De Manege';1;;;;1
Lecoba B.V.;1;;;;1
Leylines B.V.;1;;;;1
Liander N.V.;;2;;;2
Lock-iT B.V.;1;;;;1
Logistiekconcurrent;1;;;;1
Loodgietersbedrijf Lantsink & Koning B.V.;1;;;;1
Loodgietersbedrijf Wisman B.V.;1;;;;1
Lyreco Nederland B.V.;1;;;;1
Magnin & Schipper B.V.;1;;;;1
Mansveld Projecten & Services B.V.;2;;;;2
Manutan B.V.;1;;;;1
Martens Glas Made B.V.;1;;;;1
Mastermate Jan van Leusen;1;;;;1
Mechanisatiebedrijf van Bergen B.V.;1;;;;1
Meddens & Van Ree Installatietechniek B.V.;1;;;;1
Merin B.V.;1;;;;1
Misa aftersales;1;;;;1
Mors Smitt B.V.;1;;;;1
Multi-Deur Service B.V.;2;;;;2
N.V. Rendo;;2;;;2
N.V. Waterbedrijf Groningen;;1;;;1
Nauta B.V.;3;;;;3
Nauta Security Storage B.V.;1;;;;1
Neerlands Glas B.V.;1;;;;1
Noodvoorz.bedr. N. Kreuk & Key Expert Beveil.;1;;;;1
Nsecure B.V.;1;;;;1
Oasen N.V.;;1;;;1
OBN Ongedierte Bestrijding Nederland B.V.;1;;;;1
OK Oliecentrale B.V.;1;;;;1
Oliecentrale Nederland;;1;;;1
Oliehandel De Croon Twello B.V.;1;;;;1
OnderhoudPlus Noord-Oost B.V.;1;;;;1
Park-line B.V.;2;;;;2
Parkmanagement Hoorn;;;;1;1
Plastima Breda B.V.;2;;;;2
PontMeyer Brielle;1;;;;1
Pranger-Rosier Installaties B.V.;1;;;;1
Precia Molen Nederland B.V.;1;;;;1
Promis Electro-Optics B.V.;5;;;;5
Propertynl B.V.;;;;1;1
R Creators DBMO V.O.F.;4;;;;4
Rack Inspecs;1;;;;1
Reisswolf Nederland B.V.;1;;;;1
Remotech;1;;;;1
Renewi Overheidsdiensten B.V.;1;;;;1
Renewi Smink B.V.;1;;;;1
Rentokil pest control;1;;;;1
Rentwereld B.V.;1;;;;1
Revis Verkeerstechniek B.V.;1;;;;1
Rivierendriesprong Papendrecht BV;1;;;;1
RM Kluswerk;1;;;;1
RRS Nederland B.V.;1;;;;1
Salm en Kipp Industrial B.V.;1;;;;1
Salverda Bouw B.V.;1;;;;1
Satellietkantoor Utrecht;;4;;;4
SchÃ¼rgers Sleutelservice V.O.F.;2;;;;2
Schekman Elektrotechniek B.V.;1;;;;1
SCHIETSPORTVERENIGING ''t Asser Wapen';;;;2;2
Schietsportvereniging 't Fort Hoofddorp;;;;2;2
SCHINDLER LIFTEN BV;1;;;;1
Schiphol Nederland B.V.;;;;6;6
Schouten Olie;;1;;;1
Selfmade in Amsterdam;1;;;;1
Service West Onderhoudsbedrijf B.V.;1;;;;1
SITA National Sales;1;;;;1
Sonesto;1;;;;1
S-P-S B.V.;1;;;;1
STB;1;;;;1
Stedin;;3;;;3
Stertil B.V.;1;;;;1
Stg. Service Centrum Auteurs & Nabur. rechten;1;;;;1
Sticht. Exploit. Schietsportcentrum 'De Helm';;;;2;2
Stichting Parkmanagement Amsterdam Teleport;;;;2;2
Stichting Schietsportcentrum Drechtstreek;;;;3;3
Stoltenkamp Rioolservice V.O.F.;1;;;;1
Strukton Worksphere;1;;;;1
Tapas en Wijnbar van 'S,;1;;;;1
Tawi B.V.;2;;;;2
Technicon;1;;;;1
Technische Unie;5;;;;5
Tele2 Nederland B.V.;;;;1;1
Thermo Fisher Scientific B.V.;1;;;;1
Toolsworld;1;;;;1
Transposafe Systems;2;;;;2
Trichtglas B.V.;1;;;;1
Unica Installatietechniek;2;;;;2
Urban Industrial;;;;4;4
UTS Abbink Den Haag;1;;;;1
UTS Hersevoort Zwolle B.V.;;;1;;1
UTS Nederland;;;6;;6
V.O.F. De Sleutelkoning;1;;;;1
Van den Berg Schild.- en Afwerkingsbedr. B.V.;1;;;;1
Van Dijk Ijzerwarenhandel;1;;;;1
Van Ginkel Veenendaal B.V.;5;;;;5
Van Ginkel West Nederland B.V.;1;;;;1
Van Iersel Gilze B.V.;1;;;;1
Van Raaijen Groep;4;;;;4
Veolia Gebouwenbeheer B.V.;1;;;;1
Veolia Water Technologies Netherlands B.V.;;1;;;1
Verheij Groenvoorzieningen B.V.;4;;;;4
Vlotweg Top Movers;;;1;;1
Wauben Productie;1;;;;1
WEEELABEX Organisation;1;;;;1
Weerd Bouw en Installatieservice De;1;;;;1
Whiteboard24.nl;1;;;;1
Wiegman Terschelling;1;;;;1
Wiltec Spijkenisse;2;;;;2
Wolters bv Schilderbedrijf;1;;;;1
Work & People Analytics B.V.;;;;2;2
Work21 B.V.;;;;1;1
WP Assemblage B.V.;1;;;;1
WSB Solutions;2;;;;2
Eindtotaal;7;7;6;7;8
