buurtcode;naam;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
140808;Peizerweg;2100;2025;1980;1855;2205;2164;2181;2290;2484;2682;2431;2486;2290;2320;2159;2218;2301
140809;Bangeweer;28;30;34;24;18;19;25;31;36;31;33;40;41;42;43;47;46
140810;De Buitenhof;39;39;46;42;54;62;76;79;91;106;106;104;111;116;110;106;102
140811;Kranenburg;1241;1209;1428;1928;2898;2754;3229;3085;3233;3342;3008;3264;3436;4495;4520;5131;5285
140812;De Kring;6;10;14;21;24;23;23;24;33;31;31;29;26;27;30;31;34
140900;Vinkhuizen-Noord;239;231;241;275;291;350;366;381;364;373;406;425;414;479;507;574;599
140901;Vinkhuizen-Zuid;890;921;1072;1095;1091;1170;1229;1312;1456;1674;1538;1200;1329;1341;1389;1392;1343
140902;Hoendiep;2289;1916;2017;1860;1963;2016;1911;1920;1817;1808;1489;1488;1495;1269;1503;1716;1664
140903;Friesestraatweg;471;474;490;488;847;823;495;584;521;422;424;409;495;486;502;513;675
140904;Reitdiep;205;367;406;259;299;416;454;474;472;576;667;731;714;792;779;774;1225
140905;Dorkwerd;21;23;26;23;29;26;26;33;32;32;36;28;25;30;28;27;31
140906;De Held;128;130;150;173;168;201;236;247;263;265;262;272;265;247;233;228;235
140907;Westpark;5;6;4;4;5;6;6;7;5;7;8;6;7;8;12;13;15
141000;Selwerd;853;757;754;787;902;949;811;786;927;1056;1045;1036;1031;938;1099;1242;1328
141001;Paddepoel-Zuid;989;964;910;489;537;711;613;666;670;622;573;545;470;481;477;472;530
141002;Paddepoel-Noord;4613;4464;3308;3394;1964;1954;1142;1099;1175;1264;1246;1271;1287;1247;1288;1323;1269
141003;Zernike Campus;4753;4787;4694;5024;4938;5557;5766;5707;6096;6494;6508;6779;7321;7290;7392;7701;7861
141004;Selwerderhof;56;55;52;49;54;56;55;56;54;37;28;48;33;31;37;45;38
141005;Tuinwijk;85;96;106;102;108;217;244;125;149;154;157;162;188;196;190;185;107
141100;Beijum-West;710;713;744;740;697;721;733;789;836;861;823;767;817;872;920;971;979
141101;Beijum-Oost;851;875;769;757;855;948;967;1108;994;597;604;615;576;546;559;596;649
141102;De Hunze;288;307;303;270;318;262;287;285;294;291;289;292;276;307;308;309;317
141103;Van Starkenborgh;28;35;39;48;48;55;66;65;80;78;87;82;77;81;77;76;86
141104;Noorderhoogebrug;72;59;57;60;62;58;61;71;84;91;83;84;84;82;75;71;84
141105;Het Witte Lam;163;439;515;849;1005;1031;944;1025;1307;1034;1012;977;415;463;415;416;424
141106;Koningslaagte;159;158;168;170;173;166;178;171;165;158;156;162;154;160;147;180;199
141107;Hunzeboord;0;0;0;0;0;0;0;;;;1;1;1;1;1;1;2
141200;Lewenborg-Noord;526;553;523;542;678;571;592;883;935;857;772;794;772;817;840;872;811
141201;Lewenborg-Zuid;181;135;137;161;173;205;240;240;242;222;212;177;221;223;233;243;263
141202;Lewenborg-West;263;142;365;325;264;296;327;348;356;488;501;475;469;527;514;554;555
141203;Oosterhoogebrug;1060;1033;1078;1107;874;911;924;936;992;1007;906;885;919;880;892;871;947
141204;Ulgersmaborg;2469;2261;1854;1790;1869;1884;2154;1856;1581;1480;1252;1263;1304;1140;1200;1174;1087
141205;Hunzepark;521;674;693;688;721;622;462;387;740;666;674;581;566;408;424;453;489
141206;Zilvermeer;12;12;9;10;18;20;18;19;19;20;16;17;20;23;22;23;17
141207;Kardinge;238;195;179;167;231;257;205;190;187;195;173;167;259;331;271;304;318
141208;Drielanden;55;57;72;69;91;79;80;95;94;103;110;70;74;85;84;84;80
141209;Noorddijk;75;58;56;45;50;48;45;43;45;54;53;55;54;50;48;59;63
141210;Ruischerbrug;66;59;67;52;53;66;59;51;62;64;69;75;61;62;66;70;64
141211;Ruischerwaard;18;20;27;31;41;57;41;50;63;67;64;70;65;76;88;103;109
141300;Middelbert;27;27;27;26;28;22;27;27;28;29;27;27;32;37;34;33;30
141301;Engelbert;133;144;136;143;165;168;181;191;210;209;204;192;184;208;236;239;261
141302;Klein Harkstede;18;18;18;17;18;18;16;15;18;21;13;23;17;14;10;6;6
141400;Meeroevers;;;;;;;;;;;;;;;36;46;56
141401;Harkstede (GN);;;;;;;;;;;;;;;65;65;116
141402;Lageland (GN);;;;;;;;;;;;;;;32;37;42
141403;Groenewei;;;;;;;;;;;;;;;;;
141404;Tersluis;;;;;;;;;;;;;;;;1;6
141405;De Zeilen;;;;;;;;;;;;;;;;;
141406;De Wierden;;;;;;;;;;;;;;;26;27;30
141500;Ten Boer;;;;;;;;715;772;947;964;995;1082;982;1014;963;824
141501;Buitengebied ten Boer-Zuid;;;;;;;;45;42;46;36;32;32;28;26;27;31
141502;Garmerwolde;;;;;;;;172;177;167;167;170;161;164;171;175;168
141503;Thesinge;;;;;;;;138;135;142;139;135;124;123;144;136;111
141504;Sint-Annen;;;;;;;;43;36;51;54;57;57;54;51;52;52
141505;Buitengebied ten Boer-Noord;;;;;;;;7;6;6;6;7;6;6;5;4;7
141506;Bedrijventerrein Dijkshorn;;;;;;;;55;96;91;105;111;122;116;116;117;145
141600;Ten Post;;;;;;;;207;218;221;217;230;241;221;208;218;189
141601;Wittewierum;;;;;;;;36;39;30;29;28;26;28;25;17;17
141602;Woltersum;;;;;;;;46;51;57;58;61;63;60;57;64;56
141603;Winneweer;;;;;;;;34;33;42;41;42;45;56;64;64;82
141604;Lellens;;;;;;;;23;25;27;30;30;26;27;38;30;20
141605;Buitengebied ten Post;;;;;;;;62;60;58;56;38;40;41;43;41;34
141700;Haren-Centrum;;;;;;;;1717;1034;1060;1295;1259;1284;1357;1284;1242;1135
141701;Haren-Zuidwest;;;;;;;;1060;1389;932;1074;919;900;906;897;941;806
141702;Haren-Zuidoost;;;;;;;;1255;999;837;840;575;556;535;575;598;564
141703;Haren-Noord;;;;;;;;374;1559;1953;2152;2229;2161;2156;2213;2221;2455
141704;Essen;;;;;;;;32;43;20;24;25;61;61;73;66;222
141705;Buitengebied Haren-Noordwest;;;;;;;;;;;;;;;;;
141706;Nesciopark;;;;;;;;;;;;;;;;;
141707;Paterswoldsemeer;;;;;;;;322;120;46;59;68;64;69;120;132;274
141708;Buitengebied Haren-Zuidoost;;;;;;;;122;101;139;132;132;130;134;136;128;155
141709;Wolddelen;;;;;;;;23;19;14;9;12;10;9;11;17;16
141710;Buitengebied Haren-Zuidwest;;;;;;;;;;;;;;;;12;12
141800;Oosterhaar;;;;;;;;1146;1026;605;477;498;566;577;657;702;663
141801;Tuindorp;;;;;;;;106;109;82;47;49;53;61;74;86;98
141802;Felland;;;;;;;;377;378;179;190;200;226;237;176;199;440
141803;Buitengebied Haren-Noordoost;;;;;;;;;;;;;;;;;
141900;Glimmen Dorp;;;;;;;;641;198;414;148;164;161;142;180;176;117
141901;Onnen Dorp;;;;;;;;193;68;393;57;55;49;42;51;56;28
141902;Noordlaren Dorp;;;;;;;;195;69;127;88;89;81;89;100;92;108
141903;Buitengebied Glimmen;;;;;;;;203;150;250;246;245;232;238;234;253;262
141904;Buitengebied Onnen;;;;;;;;88;125;86;363;348;347;351;361;359;95
141905;Buitengebied Noordlaren;;;;;;;;92;74;107;81;71;74;63;54;70;62
141906;Zuidlaardermeer;;;;;;;;2;3;4;5;6;6;6;6;7;9
141907;Noordlaarderbos;;;;;;;;;;;;;;;;;1
141908;Appelbergen Glimmen;;;;;;;;10;25;12;23;18;18;16;11;20;29
191909;Appelbergen Onnen;;;;;;;;;;;;;;;;;
200000;onbekend;;;;;;;;21;;;;;;;;;
TOTAAL;Groningen oud;123680;121826;120039;122090;125701;128834;130459;130942;134448;134638;132173;131756;133717;135031;139690;144556;147774
;Groningen Nieuw;;;;;;;;140504;143627;143783;141385;140654;142721;143986;148865;153841;157061
