nr;Stembureau;Adres;buurt;VVD;PvdA;PVV;CDA;SP;D66;GRLI;ChrUn;SGP;PvdD;PirPar;MenS;NL;LP;DPK;50+;LbDem;AEP;SOPN;PvdT;Geldig;Ongeldig;Oproep;Opkomst
74;MJD Zorgloket;Herman Colleniusstraat 18;10;217;413;16;28;60;268;83;22;1;22;11;3;1;1;0;8;0;0;0;0;1154;3;1383;1157
75;Zorgpunt Hoendiep;Hoendiep 1;13;154;175;12;14;56;110;32;23;0;12;4;0;0;1;0;0;1;0;2;1;597;2;1213;599
80;Columnakerk;Paulus Potterstraat 2;13;92;240;30;25;80;92;36;42;4;21;4;1;0;0;0;5;0;1;0;0;673;3;908;676
81;BSO Schildersbuurt;Adriaan van Ostadestraat 38;13;67;296;26;13;97;72;33;17;2;23;9;4;0;1;0;2;0;0;2;1;665;1;913;666
100;Salvator Mariaparochie;Hora Siccamasingel 202;62;153;396;39;54;111;103;43;42;9;30;8;2;0;0;0;15;0;0;2;0;1007;1;1052;1008
101;Sporthal De Wijert;Vondellaan 75;66;115;269;35;19;95;70;30;30;2;20;3;1;0;0;0;7;0;0;1;0;697;1;933;698
102;Vondelflat;Vondellaan 77;66;90;163;23;38;48;46;8;28;5;11;1;0;0;1;0;9;0;0;1;1;473;0;791;473
104;Opstandingskerk;P.C. Hooftlaan 48;66;88;256;34;32;102;63;19;38;3;12;9;2;0;0;0;4;0;1;4;0;667;6;927;673
105;De Bolster;Multatulistraat 91;66;93;299;47;34;116;75;26;57;3;25;1;3;0;3;0;11;0;0;0;1;794;3;1326;797
106;CBS  De Tamarisk;Van Ketwich Verschuurlaan 90;66;246;227;24;45;58;119;36;32;2;18;3;1;0;0;0;5;0;0;1;0;817;2;1138;819
107;Zuiderflat;Vestdijklaan ;67;292;220;28;85;40;102;29;57;3;8;0;3;0;0;0;15;2;0;1;0;885;4;1107;889
108;Brederoschool;Ina Boudierplantsoen 3-5;68;224;336;23;56;52;160;50;45;3;17;1;0;0;0;0;6;1;0;0;0;974;4;1098;978
110;OBS Joseph Haydn;Haydnlaan 102;65;192;411;19;53;79;194;78;28;3;19;3;4;0;0;1;12;0;0;0;1;1097;2;1070;1099
111;Verpleeghuis Coendershof;Helper Brink 59;65;189;324;21;90;67;114;46;30;2;20;1;2;1;0;0;14;1;4;0;0;926;4;1213;930
112;Speellokaal;Sweelincklaan 2;65;140;219;16;20;31;123;30;9;0;7;1;4;0;1;0;3;1;0;0;0;605;4;1230;609
114;Evangelische Gemeente Helperkerk;Waldeck-Pyrmontplein 13a;64;131;279;23;30;141;118;59;22;1;48;10;7;0;3;1;2;0;0;2;0;877;4;1232;881
115;Dagverblijf De Kleine Beer;Goeman Borgesiuslaan 373;63;381;355;24;89;81;180;63;28;1;17;2;1;0;0;0;5;0;0;3;0;1230;3;1114;1233
120;Multifunctioneel centrum Engelbert;Woldjerspoorweg 5a;54;143;163;45;12;52;45;14;5;1;17;1;0;0;0;1;13;0;0;2;0;514;1;745;515
130;Buurtcentrum Poortershoes;Oosterweg 13;50;245;544;44;24;215;244;121;30;9;58;18;2;0;1;1;10;0;0;7;0;1573;8;1436;1581
131;Pandomo Makelaars;Griffeweg 81;51;177;396;42;29;71;114;39;17;0;9;6;1;0;1;4;19;0;0;5;1;931;1;1292;932
133;Euroborg;Boumaboulevard 41;51;140;238;24;18;55;92;34;14;0;23;5;0;0;0;0;5;1;0;0;0;649;3;1135;652
134;De Oosterpoort;Trompsingel 27;50;118;246;29;16;86;133;43;23;4;24;7;3;0;0;0;2;0;0;1;0;735;7;1282;742
140;SBO Groningen;Blekerslaan 1;50;143;269;18;22;56;130;49;10;2;10;4;1;0;0;0;4;0;0;0;1;719;2;1411;721
141;Grafisch Museum;Rabenhauptstraat 65;60;231;373;40;56;90;200;75;31;3;24;5;6;1;4;1;8;0;0;1;0;1149;5;1432;1154
142;ZINN Buurthuiskamer;Merwedestraat 54;61;160;455;32;68;112;156;48;60;4;29;7;4;0;1;0;11;0;0;0;1;1148;1;1335;1149
143;De Puddingfabriek;Viaductstraat 3a;60;137;304;22;25;114;139;43;22;1;32;5;2;1;3;1;5;0;0;1;1;858;4;1126;862
144;SBO Groningen;Blekerslaan 1;50;108;174;10;16;42;93;31;10;1;15;7;2;0;1;0;1;0;0;1;0;512;0;1099;512
151;Augustinuscollege;Admiraal de Ruyterlaan 37;11;213;304;24;47;88;180;56;39;5;26;4;2;1;0;0;1;0;0;1;0;991;5;1460;996
152;Buurtcentrum Badstratenbuurt;Kleine Badstraat 4;11;162;320;18;23;105;203;57;32;1;24;5;1;0;3;0;9;1;0;0;1;965;7;1371;972
161;ODS De Starter;Lorentzstraat 11;71;188;344;28;43;92;134;46;63;1;16;4;0;0;1;1;11;0;0;2;0;974;3;1322;977
162;Noorderpoortcollege;Verzetsstrijderslaan 2;70;92;161;11;28;46;95;31;21;2;10;5;0;0;0;0;3;0;1;0;0;506;3;586;509
163;MEE Groningen;Koeriersterweg 26a;70;108;228;20;25;43;121;28;53;3;20;9;4;0;0;0;2;1;0;0;1;666;0;927;666
171;Heymanscentrum;Henri Dunantlaan 20;72;88;217;42;71;78;44;26;28;6;17;2;1;0;0;0;10;0;0;0;0;630;2;886;632
172;Menno Lutterhuis;Paterswoldseweg 267;72;194;516;61;130;141;132;34;88;12;31;5;2;1;0;0;14;1;0;3;0;1365;4;1613;1369
174;BSV Corpus den Hoorn;Semmelweisstraat 2;72;73;322;47;22;114;59;30;26;2;16;4;3;1;0;0;15;0;0;0;1;735;6;1217;741
180;Maartenshof;Schaaksport 100-102;73;210;428;48;75;109;79;42;51;6;18;5;2;1;0;2;23;0;1;0;1;1101;1;1338;1102
181;Willem Drees-flat;W. Dreesstraat 1;73;175;368;55;56;107;71;37;25;3;22;6;2;0;0;0;19;0;0;0;0;946;4;1290;950
182;Wall House;A.J. Lutulistraat 17;73;185;246;16;22;63;97;44;10;2;18;1;4;0;0;0;4;0;0;0;0;712;1;1015;713
183;Boerhaaveschool ;Veenweg 1/1;73;344;370;39;72;52;190;55;29;9;20;2;2;0;0;0;18;0;0;1;0;1203;2;1234;1205
200;Oosterhoogebrugschool;Madeliefstraat 2;90;113;285;43;19;79;48;18;17;0;14;2;1;1;0;0;3;0;0;1;0;644;3;971;647
201;De Schakel;Rijksweg 15;90;213;458;93;42;154;86;18;40;3;27;7;2;0;1;0;13;1;0;0;0;1158;5;1094;1163
202;Noorderpoortcollege;Pop Dijkemaweg 88;97;93;343;41;20;115;64;22;29;1;24;2;1;0;1;0;12;1;0;2;0;771;5;1119;776
211;Basisschool De Vuurtoren;Vaargeul 117;93;111;506;94;33;169;68;24;30;1;17;4;2;0;2;0;25;0;0;2;3;1091;6;1329;1097
215;Alfa-college;Kluiverboom 3;93;59;203;17;10;84;41;6;21;3;10;1;1;0;0;0;8;0;0;2;0;466;2;1151;468
220;Ontmoetingsruimte Het Stuurhuis;ingang Stuurhut;92;69;438;78;31;173;29;29;22;3;22;4;0;0;0;1;21;0;0;2;2;924;3;1369;927
221;Basisschool De Swoaistee;Kiel 7;92;69;419;71;16;179;53;43;35;4;30;5;5;0;0;0;13;0;2;2;1;947;2;1231;949
222;Wijkcentrum Het Dok;Kajuit 4;92;111;540;132;33;257;63;43;37;7;34;13;3;3;0;1;10;0;0;1;3;1291;4;1436;1295
223;Zorgcentrum Mercator;Kraaienest 70 ;92;88;392;52;34;141;61;45;18;6;28;1;2;0;0;0;11;1;0;0;1;881;2;1239;883
230;Basisschool De Driebond;Woldweg 7;98;174;432;55;32;132;67;34;45;1;18;2;5;0;0;0;16;0;0;1;1;1015;6;1665;1021
260;Buurtcentrum ’t Heerdenhoes;Isebrandtsheerd 97;96;73;462;49;56;210;70;49;66;5;30;7;6;0;0;0;7;0;0;3;2;1095;4;1377;1099
261;Sporthal Beijum;Amkemaheerd 293;95;37;216;37;22;94;26;25;33;8;17;3;4;0;1;0;10;0;0;5;0;538;2;1121;540
262;Activiteitencentrum Trefpunt;Beijumerweg 17;96;31;232;28;10;101;31;25;48;5;11;1;4;0;0;1;1;0;0;2;1;532;5;1037;537
263;Kentalis Tine Marcusschool;Jaltadaheerd 163;96;73;345;72;16;124;31;29;18;2;20;4;3;0;2;0;10;0;0;0;0;749;3;929;752
264;Buurtcentrum De Kleihorn;Fultsemaheerd 87;95;59;328;52;17;153;51;43;45;6;14;6;1;0;0;2;7;0;0;4;0;788;4;1146;792
266;1e Openbare Montessorischool;Wibenaheerd 24;95;65;339;92;27;188;45;42;53;8;23;10;2;0;0;1;6;0;0;7;0;908;10;1413;918
267;De Heerdstee;Bentismaheerd 1;96;32;244;55;21;119;28;23;44;8;26;3;5;0;1;1;6;1;0;2;0;619;4;1142;623
268;Gymlokaal Stoepemaheerd;Stoepemaheerd 9;96;96;501;107;28;225;57;34;52;1;30;5;5;0;2;0;12;1;0;4;1;1161;0;1343;1161
300;Sporthal Selwerd;Eikenlaan 288 ;22;116;332;70;36;136;88;41;32;1;37;4;5;0;1;0;12;0;0;1;1;913;7;1390;920
301;Sporthal Selwerd;Eikenlaan 288 ;22;91;382;49;23;121;100;31;40;5;25;11;2;0;0;0;10;0;0;1;2;893;7;1306;900
302;Huize Patrimonium;Beukenlaan 36;22;65;295;48;81;124;27;19;78;5;15;5;1;0;0;0;5;0;0;5;1;774;7;1025;781
304;Basisschool De Wegwijzer;Prunusstraat 74-76;22;115;322;41;60;118;106;32;78;4;22;15;1;0;0;0;7;0;0;3;0;924;3;1104;927
305;De Fontein;Eikenlaan 255;22;68;228;46;40;64;59;17;39;6;17;4;4;0;0;0;9;0;0;0;0;601;2;1318;603
311;Verpleeghuis ’t Blauwbörgje;Zonnelaan 8;23;161;405;44;42;121;117;26;47;5;21;6;1;1;0;1;11;0;0;5;5;1019;16;1419;1035
312;Bao Trieu sportcentrum;Spicastraat 198;24;71;206;38;25;92;45;20;39;5;16;4;1;0;0;0;9;1;1;0;0;573;0;1213;573
313;Bisschop Bekkersschool;Siriusstraat 1;24;79;270;72;37;97;45;15;49;5;14;5;0;2;0;0;15;0;0;1;0;706;2;1227;708
314;Zaal Trefpunt bij aanleunwoningen;Venuslaan 2;24;77;437;70;63;109;64;16;35;2;22;2;1;1;0;0;16;0;0;2;2;919;4;1251;923
316;Plutozaal;Plutolaan 329;24;125;335;49;57;124;54;23;41;11;13;8;2;0;1;1;12;0;1;2;0;859;4;1359;863
319;Alfa-college;Travertijnstraat 12;16;37;103;17;10;34;24;12;9;2;8;0;3;0;0;0;4;0;0;0;0;263;2;670;265
320;’t Vinkhuys;Diamantlaan 94;14;66;259;65;28;105;33;27;39;9;12;4;2;0;0;1;8;0;0;3;1;662;2;732;664
321;CBS Aquamarijn;Slenk 2;84;222;326;38;30;53;105;29;38;2;7;2;2;0;1;1;4;0;0;1;0;861;1;1035;862
322;Annie M.G. Schmidtschool;Radiumstraat 2a;14;52;302;90;31;119;31;13;34;4;11;0;0;0;1;3;10;0;0;2;0;703;3;1106;706
323;Platina Zorgcentrum;Platinalaan 279;14;76;376;90;56;106;20;9;38;2;10;2;2;0;0;0;15;0;0;1;0;803;3;1154;806
324;De Veldspaat;Veldspaatstraat 368;15;55;261;51;41;82;20;8;28;8;17;0;4;0;0;0;14;2;0;2;0;593;1;1099;594
325;Vensterschool Vinkhuizen;Siersteenlaan 480;14;96;353;75;33;136;51;18;48;6;10;2;2;0;0;0;7;0;0;3;0;840;4;732;844
326;De Wende;Goudlaan 555;15;138;351;68;55;107;86;20;104;23;22;7;3;0;3;0;10;0;0;0;2;999;8;1423;1007
327;Dagverblijf Ilmarinen;Kornalijnlaan 3;15;89;221;50;43;112;51;24;165;30;15;7;4;0;3;0;10;0;0;0;1;825;1;1441;826
328;Kinderopvang De Jonge Held;Leegeweg 4a;86;209;382;62;51;125;99;37;47;5;21;1;0;0;3;0;10;0;0;0;0;1052;3;1537;1055
329;De Goudvink;Goudlaan 297;15;51;277;74;29;84;50;11;40;14;9;7;1;0;0;0;6;0;1;4;1;659;4;864;663
331;Peuterspeelplaats De Smurf;Zuiderweg 80;81;192;284;68;37;81;88;36;46;2;19;1;2;0;0;0;7;0;0;0;0;863;1;1577;864
332;Rehobothschool;Prinses Margrietstraat 3;81;92;290;65;72;109;13;14;136;8;12;2;1;1;1;2;16;0;0;1;1;836;9;1336;845
334;Anne Frankschool;De Sanstraat 13  ;81;95;392;82;64;112;39;13;83;9;13;2;0;0;2;0;15;1;0;1;0;923;4;1208;927
335;CBS Aquamarijn;Maresiusstraat 24;83;266;339;60;61;103;138;39;70;17;11;2;1;0;3;0;7;0;1;1;1;1120;2;1463;1122
340;Verenigingsgebouw NH-kerk;Kerkstraat 2;80;144;262;115;58;126;35;22;75;7;20;2;3;0;0;0;15;0;0;0;2;886;1;1518;887
341;Recreatiezaal Ruskenborg;Johan Dijkstralaan 1/3;85;148;282;43;55;76;40;12;67;8;10;0;0;1;0;0;8;0;0;2;0;752;0;999;752
342;Gabriëlflat;Gabriëlstraat 2;81;77;272;69;61;59;24;8;43;9;16;2;1;1;0;0;9;0;0;2;0;653;5;775;658
350;Verenigingsgebouw De Hoeksteen;Hoogeweg 2a;84;108;100;9;14;26;48;17;18;7;11;3;0;0;0;0;1;0;0;0;0;362;1;668;363
400;Centraal Station;Stationsplein 3;11;262;560;44;52;158;327;100;67;1;39;14;5;0;3;0;4;0;0;3;2;1641;9;0;1650
401;Stadhuis;Grote Markt 1;0;323;423;24;44;128;305;78;33;6;37;14;3;1;1;0;3;1;0;2;1;1427;8;0;1435
410;Hanzehogeschool Van Olst-toren;Zernikeplein 7;26;299;368;22;29;105;238;46;46;5;19;14;0;0;0;0;0;1;0;1;1;1194;4;0;1198
415;Provinciehuis;Martinikerkhof 12;0;109;223;15;16;71;118;55;15;2;17;7;1;0;0;0;6;0;0;0;0;655;4;967;659
430;UMCG;Hanzeplein 1;40;286;460;20;71;108;264;59;48;2;18;3;2;0;1;0;4;0;0;0;0;1346;5;0;1351
431;UMCG;Hanzeplein 1;40;184;305;23;38;74;188;54;28;2;15;3;2;0;2;0;1;0;0;1;0;920;5;0;925
440;Martiniziekenhuis;Van Swietenplein 1;73;113;250;24;33;52;77;36;19;3;10;3;0;0;0;0;4;0;0;0;0;624;3;0;627
450;RUG Harmoniecomplex;Oude Kijk in ’t Jatstraat  26;3;271;454;18;43;97;439;98;22;4;28;11;0;0;2;0;0;5;0;1;0;1493;4;1;1497
