Leveranciers;3000 - Uitbesteden overig;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3140 - Uitbesteden juridisch adviesopdrachten;3-Uitbesteden
IZI Solutions BV;1;1;;2
J. van Doorne-Huiskes & Partners;;4;;4
Jan Booij Advies;;2;;2
Jo Bos & Co (incl. Zwaluw Advies);1;;;1
Kobalt Media;1;2;;2
KPMG;2;;;2
Laheij Gespreksleiding;2;2;;2
Lane Clark & Peacock Netherlands BV;3;;;3
Lava;;2;;2
Liber Stg Limburg Inst Business;2;;;2
Linguist Link Europe;1;;;1
Loyalis Maatwerkadministraties, Verzekeringen, Kennis en Consult, Leven;1;;;1
Mad Multimedia;4;;;4
Maters & Hermsen Journalistiek en Opleidingen;;4;;4
MBO Raad;1;;;1
Media Info Groep (incl. Euroclip, Knipsel, Antal Clipping, Reporterservice);;1;;1
Mediavrouw;;1;;1
MfN Mediatorsfederatie Nederland (vh NMI Nederlands Mediation Instituut);;7;;7
Mieke-Ann;;1;;1
Motivaction;;2;;2
Movisie Fulfilment;;4;;4
MTN Group;1;;;1
Nederlandse Vereniging Van;4;;;4
NSOB Nederlandse School Voor Openbaar Bestuur;1;;;1
Nzume Projects;;2;;2
Onder Ogen;;2;;2
Osage Communicatie en Ontwerp;;4;;4
Panteia (incl. Stratus, Consult, Eim, Research Voor Beleid, NEA);7;5;;7
PBLQ (HEC, ROI, Zenc);4;;;4
Pelosa Network Engineering bv;1;;;1
Pels Rijcken & Droogleever Fortuijn (incl. De Landsadvocaat);;;1;1
Pensioenfederatie;1;;;1
PerfectPebble;1;;;1
Phil Nijhuis fotografie;;1;;1
Policy Productions;2;;;2
Pondres Distributie;;1;;1
Porter Novelli;5;1;;5
ProfitWise;3;;;3
PWC PriceWaterhouseCoopers;3;;;3
Radar Groep (incl. Uitvoering, Vertige, Implementatie van Beleid);2;4;;4
Radicand Economics;2;;;2
Raet Stg Derdengelden;2;;;2
RauwCC;;1;;1
Red Mango Consulting;2;;;2
Regioplan Beleidsonderzoek;4;5;;6
Royal Haskoning DHV (incl. Koninklijke Haskoning, Royal Haskoning, Corsmit, DHV);3;;;3
Saar Koopman;;1;;1
Sardes;3;1;;4
SAVIA Toekomstgericht Advies;2;;;2
Scripta Media;1;;;1
SEO Economisch Onderzoek;4;3;;5
Seor;5;;;5
Shell;2;;;2
Significant;;2;;2
Sjokola Ontwerp;;1;;1
St Beheer en Ontwikkeling Instr onder;;2;;2
St IPI Interculturele Participatie en;;2;;2
St me & society;;2;;2
Starcom Nederland;;1;;1
Stichting Bureau Kwaliteit Kinderopvang;1;;;1
Stichting Fier Fryslan;;2;;2
Stimulansz;3;;;3
Strategis Groep;2;;;2
Studio A Mediamelange;;1;;1
Sturingsadvies;1;;;1
Talentis B.V.;;2;;2
Tapes Mediaproducties;1;;;1
Tappan Communicatie;;4;;4
The Factor. E;4;2;;4
They;2;4;;5
TNO;2;;;2
Triple I Human Capital;1;;;1
TvoorTaal;;1;;1
Twynstra Gudde (incl. Adviestalent, The Bridge Business Innovators);2;2;;3
Ubachs Wisburn/JWT Amsterdam;;6;;6
Urbanet;1;;;1
Valerie Kuypers Fotografie;;1;;1
Van De Bunt;;3;;3
Van Hulzen Public Relations;2;;;2
VeiligheidNL (vh Stg Consument en Veiligheid);2;;;2
Veldkamp Mediaonderzoek, Marktonderzoek;2;5;;5
Viadesk;1;;;1
Vizi;;1;;1
VKA Verdonck Klooster & Associates;3;;;3
Vluchtelingen Organisaties Nederland;;3;;3
Vocas Trainingen;;1;;1
Vodafone (incl. Libertel);;3;;3
Webmanagement.nl;;1;;1
Widexs;;1;;1
Work with Joy;1;;;1
Xebia;1;;;1
Zasja;;4;;4
Eindtotaal;8;9;1;9
