Leveranciers;3000 - Uitbesteden overig;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3130 - Uitbesteden communicatieadvies;3140 - Uitbesteden juridisch adviesopdrachten;3150 - Uitbesteden automatiseringsadvies;3160 - Uitbesteden accountancy en financien;Eindtotaal
SE Montage-techniek B.V.;;;;1;;;1
Sea Chefs River Cruises Ltd.;;;;1;;;1
Sherazade Advies;;1;;;;;1
ShipMonting B.V.;;;;1;;;1
Ski-Home;1;;;;;;1
SLO/Educaplan B.V.;;3;;;;;3
SPIE Nederland B.V.;;;;1;;;1
SportFriends B.V.;;1;;;;;1
Spuiterij Gouweleeuw B.V.;;;;1;;;1
Sranang B.V.;;;;1;;;1
Start People Industriële Diensten B.V.;;;3;;;;3
Steakhouse Jaffa;;;;1;;;1
Stichting Achmea Rechtsbijstand;;;;1;;;1
Stichting Aids Fonds - STOP AIDS NOW! - Soa Aids Nederland;;1;;;;;1
Stichting Almeerse Theaters;;1;;;;;1
Stichting Andrologie;;4;;;;;4
Stichting Bureau Beroepsziekten FNV;;;;1;;;1
Stichting Certificering Vuurwerk en Explosieven;;2;;;;;2
Stichting Cordaid;;2;;;;;2
Stichting De Meervaart;;3;;;;;3
Stichting Dr. Hilda Verwey-Jonker Instituut, Instituut voor Onderzoek van Maatschappelijke Vraagstukken;;6;;;;;6
Stichting Esdal College, Scholengemeenschap voor openbaar voortgezet onderwijs in Emmen en omstreken;;;;1;;;1
Stichting Fortuna;;4;;;;;4
Stichting Forum, Instituut voor Multiculturele Vraagstukken;;4;;;;;4
Stichting het Roomsch Catholijk Maagdenhuis;;3;;;;;3
Stichting Hogeschool Utrecht;;2;;;;;2
Stichting Inspraakorgaan Turken in Nederland;;2;;;;;2
Stichting Kenniscentrum Phrenos;;2;;;;;2
Stichting Leergeld Nederland;;2;;;;;2
Stichting Leger des Heils Fondsenwerving;;2;;;;;2
Stichting Life Goals Nederland;;2;;;;;2
Stichting Locus;;4;;;;;4
Stichting Maatschappelijke Dienstverlening Rijnmond Plus;;3;;;;;3
Stichting MEE Utrecht, Gooi & Vecht;;3;;;;;3
Stichting MOVISIE;;2;;;;;2
Stichting Mytikas;;1;;;;;1
Stichting Nvab;;3;;;;;3
Stichting Sekondant;1;;;;;;1
Stichting Sociaal Consulent voor Chinezen;;;;1;;;1
Stichting Stimulansz;;2;;;;;2
Stichting Turning Point;;1;;;;;1
Stichting Vitamine Vader;;1;;;;;1
Strukton Worksphere B.V.;;;;1;;;1
Studio Narrative;;1;;;;;1
Syncasso Leeuwarden B.V.;;2;;;;;2
T. Ari t.h.d.n. CIGO Kop van Zuid;;;;1;;;1
T. den Hartog;;1;;;;;1
Takkenkamp Gevelrenovatie B.V.;;;;1;;;1
Tegenspraak;;1;;;;;1
Tendens Services B.V.;;;;1;;;1
Transportbedrijf H.A. Lemans B.V.;;;;1;;;1
Tuhuteru & Partners B.V.;;1;;;;;1
V.O.F. House of Valkema;;;;1;;;1
V.O.F. Rasa Senang;;;;1;;;1
van Ardenne & Crince le Roy Advocaten N.V.;;;;1;;;1
Van As Advocaten Groep B.V.;;;;1;;;1
van der Hel Advocaten;;;;1;;;1
Van der Zon Horeca Exploitatie;;;;1;;;1
Van Iersel Luchtman N.V.;;;;1;;;1
Vereniging Kerk en Vrede;;3;;;;;3
Vic Obdam Staalbouw B.V.;;;;1;;;1
VolkerRail Nederland B.V.;;;;1;;;1
Waterschrijver;;;;;;2;2
Webbit21 B.V.;;1;;;;;1
Wedeka Bedrijven;;;;1;;;1
Wertheim advocatuur B.V.;;;;1;;;1
Wildenberg Advocaten;;;;1;;;1
Winkelman-van Hessen Adviesbureau voor Marketing en Public Relations B.V.;;;;;2;;2
Woonstichting Lieven de Key;;3;;;;;3
WZ Advies B.V.;;;;1;;;1
Ziko installatiebedrijf V.O.F.;;;;1;;;1
Eindtotaal;4;7;3;4;3;2;7
