Leveranciers;9302 - Laboratoriummaterialen;9303 - Laboratoriuminstrumenten;9304 - Aankoop onderzoeksmateriaal;9540 - EZ Specifiek;Eindtotaal
Nutramin B.V.;;;1;;1
Nutri-Dynamics Health Products B.V.;;;1;;1
Nutrition Company B.V.;;;1;;1
O. Smeding en Zoon B.V.;;;1;;1
Olympus Nederland B.V.;;1;;1;1
onlinekabelshop.nl;;;1;;1
Optima Forma B.V.;;;;1;1
Organic Flavour Company B.V.;;;1;;1
Organic Trade Company Holland B.V.;;;1;;1
Orient Treasure Holding B.V.;;;1;;1
OSAGE communicatie en ontwerp;;;;1;1
Osteovet;;;;4;4
Otto Simon B.V.;;;1;;1
Ouëndag & Silberman;;;;1;1
Oxoid;3;;;;3
Oxyline;;;1;;1
P. Bestebreurtje B.V.;1;;;;1
Paardekooper;1;;;;1
Pactechno;;1;;;1
Palingroker. en Vish. Fa. C. Overweel en Zn.;;;1;;1
Panasonic Biomedical Sales Europe B.V.;;2;;;2
Pardes Rimonim B.V.;;;1;;1
PASS toegangssystemen B.V.;;1;;;1
Pax Bouw en Industrieservice B.V.;;1;;;1
Perfect Direct Mail B.V.;;;;1;1
Perfect Nails;;;1;;1
PerkinElmer Nederland B.V.;2;3;;;4
Peulen B.V.;;;;1;1
Pharmediair;;;;3;3
Phenomenex B.V.;1;;;;1
Phyto Health Pharma B.V.;;;1;;1
Plus Retail B.V.;;;1;;1
Pobezin Installatie Techniek B.V.;;1;;;1
Pocahondas Amsterdam B.V.;;;;1;1
Poeliersbedrijf Cuno Moormann en Zonen B.V.;;;1;;1
Poiesz Supermarkten B.V.;;;1;;1
Point to Point Communicatie B.V.;;;;1;1
POL Heteren B.V.;;1;;;1
Polak & Co. Import-Export B.V.;;;1;;1
Polman's Huis B.V.;;;;1;1
Pon Dealer B.V.;;;;1;1
Pors Veterinaire Dienstverlening;;;;3;3
Posthumus & Dal Graveurs B.V.;;;;1;1
Prakt.ond. Plant & Omg./Plant Research Int.;1;;;;1
Pranger-Rosier Installaties B.V.;;1;;;1
Pree E-RF-Tech;;;;2;2
Prenatal;;;1;;1
Profile Tyrecenter Heuver Hardenberg;;;;1;1
Profix Benelux B.V.;1;;;;1
Promega Benelux B.V.;1;;;;1
Pronk Hollandvis B.V.;;;1;;1
Protinus IT B.V.;;1;;1;1
Proviform;;;1;;1
Qiagen Benelux B.V.;3;1;;;3
Qualinorm;;;1;;1
Quartel Modelbouw B.V.;1;;;;1
R. Hüfken Veterinaire Diensten;;;;4;4
R. van Gastel;;;;4;4
R.B.A. Frijlink thodn de Gelderse IJzerhandel;1;;1;1;1
R.J. Kaasenbrood;;;;2;2
Rae Benelux B.V.;;1;;;1
Rechtsbijstandbureau Recht voor Allen;;;;1;1
Record Industrie B.V.;;;;1;1
Relyvet;;;;3;3
Remie Fiscaal Juridisch Adviesbureau;;;;1;1
Remondis Argentia B.V.;;;;1;1
RE-ON LAS Lastechniek;1;;;;1
Restaurant Christian;;;;1;1
Rhumveld Winter & Konijn B.V.;;;1;;1
Rik Holland B.V.;;;1;;1
RIKILT;2;2;;2;3
Rischen & Nijhuis, advocaten;;;;1;1
Roche Diagnostics Nederland B.V.;2;;;;2
Roelofsen Horeca Groothandel B.V.;;;1;;1
Roelofsen Installatietechniek Arnhem B.V.;;1;;;1
ROHDE & GRAHL B.V.;;1;;;1
Rohde & Schwarz Benelux B.V.;;;;6;6
Rokerij de Zalm B.V.;;;1;;1
Rombou B.V.;;;;1;1
Rosies B.V.;;;1;;1
Roveg Fruit B.V.;;;1;;1
Roxs-Electro;1;;;;1
RS Components B.V.;;;;1;1
Ruinemans Aquarium B.V.;;;;1;1
Rungis B.V.;;;1;;1
Rustenburg Groothandel B.V.;;;1;;1
Ruys Handelsvereniging B.V.;;1;;;1
RV Tool Techniek;;;1;;1
RVP Engineering;1;;;;1
RWV Advocaten;;;;1;1
S.C. van Ravenswaaij;;;1;;1
Saled Nederland B.V.;;;1;;1
Sanaderm B.V.;;;1;;1
Sanbio B.V.;1;;;;1
Sangha Food B.V.;;;1;;1
Sanvir groenten import/export;;;1;;1
Satellietkantoor Utrecht;;;;1;1
Schapendokter.nl B.V.;;;;2;2
Scherpenhuizen B.V.;;;1;;1
Schippers Bladel B.V.;;1;;;1
Schoffelen & Van der Leeuw Advocaten;;;;1;1
Schoonheidssalon Michele;;;1;;1
Schulp Vruchtensappen B.V.;;;1;;1
Seafood Centre B.V.;;;1;;1
Sedef Impex Groenten & Fruit B.V.;;;1;;1
Sentega Etiketten B.V.;1;;;;1
Seray Impex B.V.;;;1;;1
Serhat Impex Velp B.V.;;;1;;1
Shimadzu Benelux;;1;;;1
Shots Media;;;1;;1
Showa Boeki Europe B.V.;;;1;;1
Sibelco Benelux B.V.;1;;;;1
Sidhu Food B.V.;;;1;;1
Sigarenhandel Piet van Kuijk;;;1;;1
Sigma Aldrich Chemie B.V.;1;;;;1
Silletti;;;1;;1
Simac Electronics B.V.;;;;1;1
Simon Levelt B.V.;;;1;;1
Sin Wah Foods B.V.;;;1;;1
Sismatec B.V.;1;1;;;1
Skalar Analytical B.V.;1;1;;;1
Slachthuis Haaksbergen B.V.;;;;1;1
Slinc. B.V.;;;1;;1
Slingeland Dierenartsen;;;;2;2
Smartwares Home Improvement B.V.;;;1;;1
Smeva Koeling B.V.;;1;;;1
Smink Groenten en Fruit B.V.;;;1;;1
Snack Connection B.V.;;;1;;1
Snijders Hammerlit;1;2;;;2
Solex Betuwe;;;;1;1
Solgar Vitamins (Holland) B.V.;;;1;;1
Sopachem B.V.;2;;;;2
Soppe Gundelach Witbreuk advocaten B.V.;;;;1;1
Sorgente B.V.;;;1;;1
Sosbiotherapeutics;;;1;;1
Sous Fresh B.V.;;;1;;1
South American Food Express B.V.;;;1;;1
SoyBeanCompany B.V.;;;1;;1
Spanpartner B.V.;;1;;;1
Special Cargo Services B.V.;1;;;;1
Spectrometry Vision B.V.;;3;;;3
Sportvisserij Zuidwest-Nederland;;;;1;1
St. Beh. Drd.gld. Wouters & Wouters Advocaten;;;;1;1
Staay Food Group;;;1;;1
Staay-Hispa B.V.;;;1;;1
Stalphoenix;;;;1;1
Stam Reitsma Advocaten B.V.;;;;1;1
Star Groothandel B.V.;;;1;;1
STC-Group Scheepvaart en Transport College;;;;1;1
Stempelfabriek De Maas B.V.;;;;1;1
Stg. Beh. Derdeng. Kennedy v.d. Laan Advoc.;;;;1;1
Stg. Beh. Derdengeld. Dijkstra & Van den Ende;;;;1;1
Stg. Beh. Drd.gld. Weening Strafrechtadvocat.;;;;1;1
Stg. Beheer Derdengelden Jager Kuiper Advo.;;;;1;1
Stg. Beheer Derdengelden Sprengers Advocaten;;;;1;1
Stg. Bur. Commissie v.d. Mil.-Effectrapport.;;;;6;6
Stg. Centr. voor Arbeidsverhoud. Overh.pers.;;;;1;1
Stg. Derd.geld. van de Sande Berndsen Advoc.;;;;1;1
Stg. Landel. Inform.centrum Gezelschapsdieren;;;;1;1
Stg. Pens.fonds Benelux-Bur. Intell. Eigendom;;;;1;1
Sticht. Platform Verantwoord Huisdierenbezit;;;;1;1
Sticht. TegenWind(molens) Netterden e.o.;;;;1;1
Stichting Achmea Rechtsbijstand;;;;1;1
Stichting Argus;;;;1;1
Stichting Beheer Derdengeld. De Haan Advoc.;;;;1;1
Stichting Beheer Derdengelden A&S Advocaten;;;;1;1
Stichting Beheer Derdengelden Collactive;;;;1;1
Stichting Berkheide Coepelduijnen;;;;1;1
Stichting Centraal Bureau 'Odo van Vloten';1;;;;1
Stichting Dasuda Foundation;;;;1;1
Stichting De Faunabescherming;;;;1;1
Stichting Flora & Faunabescherming Weesp;;;;1;1
Stichting Huisdieren Vervoer Service;;;;1;1
Stichting Iguana;;;;1;1
Stichting Merita;;;;5;5
Stichting Natuur en Milieu;;;;1;1
Stichting Nederlands Comite Unicef;;;;1;1
Stichting Platform Berend Botje;;;;1;1
Stichting Prosea Marine Education;;;;1;1
Stichting Univé Rechtshulp;;;;1;1
Stichting Vakblad Groen in Stad en Landschap;;;;1;1
Stichting Vogelpark Avifauna;;;;1;1
Stichting voor de Technische Wetenschappen;;;;7;7
Stichting Vrienden van het WZA;;;;1;1
Stichting World of Birds Foundation;;;;1;1
Stichting Zeehondenopvang Terschelling;;;;1;1
Studio 3005;;;;1;1
Sun Berry International B.V.;;;1;;1
SuperfoodsAndMore Wholesale;;;1;;1
SuperFoodsOnline.nl;;;1;;1
Swaen`s;;;1;;1
Syncasso Gerechtsdeurwaarders B.V.;;;;1;1
Synergy Health Ede B.V.;1;;;;1
Sysmex Nederland B.V.;;2;;;2
T & M Systems B.V.;;;;3;3
T.A.M. Witjes Dierenarts;;;;2;2
T.J. Klomp en J. Kuijper;;;;1;1
Talking Trends B.V.;;;;1;1
Tattoobase;;;1;;1
Technische Unie B.V.;1;;;1;1
Tekinova B.V.;;;1;;1
Telerscoöperatie Van Nature UA;;;;1;1
Tema Fine Foods B.V.;;;1;;1
Tempcontrol Industr. Electronic Products B.V.;1;;;;1
Terra Sana Natuurvoeding Leimuiden B.V.;;;1;;1
Tess B.V.;;;;1;1
Testo;1;1;;;1
Thaimas B.V.;;;1;;1
The Ortho Company B.V.;;;1;;1
The Peanut Company B.V.;;;1;;1
Theo Everaers Horeca Leverancier B.V.;;;1;;1
Theo van Woerkom's Confituren V.O.F.;;;1;;1
Thermo Fisher Scientific B.V.;1;2;;;3
Tiamo;;;1;;1
Tijssen Accountants B.V.;;;;1;1
Timmermans Dierenartspraktijk;;;;4;4
Tisani B.V.;;;1;;1
TK-53;1;;;;1
Toolmax;;;;1;1
Topa Verpakking B.V.;1;;;1;1
Tovano B.V.;;;1;;1
Toyota Material Handling Nederland B.V.;;;;1;1
Transposafe Systems;1;;;1;1
Transsmart;;;;1;1
TRC Unirice B.V.;;;1;;1
Trendy Colors;;;1;;1
Tresoro;;;1;;1
Tristar Europe B.V.;;;1;;1
Tritium Microbiologie B.V.;1;;;;1
Trophax OTC B.V.;;;1;;1
Trust Krediet Beheer (TKB);;;;1;1
TS Trading B.V.;;;1;;1
Ttms B.V.;;1;;;1
Tuana Kruiden V.O.F.;;;1;;1
Tuincentrum De Oude Tol B.V.;;;1;1;1
Tuinderij Vers B.V.;;;1;;1
Tura Groothandel;;;1;;1
Turnco Agrotrade B.V.;;;1;;1
Turner Waste Intermediate B.V.;;;;1;1
Twinpack B.V.;1;;;;1
TWS Technologies B.V.;;;;1;1
Udea B.V.;;;1;;1
Ultimaker B.V.;;1;;;1
Ultimoo Incasso B.V.;;;;1;1
Unidex B.V.;;;1;;1
UwNota.nl;;;;1;1
V en K groente en fruit B.V.;;;1;;1
v. Manen's Handelsonderneming Veenendaal B.V.;;;1;;1
v. 'n S. Group B.V.;;;;1;1
V.C.'De Grenshoek';;;;4;4
V.O.F. De Dijkgraaf;;;;3;3
V.O.F. De Jong;;;;4;4
V.O.F. Gebroeders Suntjens;;;1;;1
V.O.F. Harrie Goesten;;;1;;1
V.O.F. Zeevisserijbedrijf C. Caljouw en Zn.;;;;1;1
V.S.M. Automatisering B.V.;;;;1;1
VAIR;;;;1;1
Vakgarage Verbruggen;;;;1;1
Van Asten Babysuperstore B.V.;;;1;;1
Van Buttingha Wichers Notarissen;;;;2;2
Van Buuren Zaandam B.V.;;;;1;1
Van den Berg Dierenartsenpraktijk Consultancy;;;;1;1
van der Hoef advocaten;;;;1;1
Van der Lem Groothandel B.V.;;;1;;1
Van der Maas & Verhoog Advocaten en            Belastingkundigen;;;;1;1
Van der Meulen Slachterij B.V.;;;;1;1
Van der Meulen Sneek B.V.;;;1;;1
Van Dijck Groenteproducties B.V.;;;1;;1
Van Dorp installaties Amsterdam;;1;;;1
Van Es Foods International B.V.;;;1;;1
Van Gansewinkel Zweekhorst B.V.;;;;1;1
Van Geenen B.V.;1;1;;;1
Van Kooten Advocaten N.V.;;;;1;1
Van Randwijk en Van Doorn Fruit B.V.;;;1;;1
Van Smeerdijk Groente en Fruit B.V.;;;1;;1
Van Swinden Laboratorium;;1;;;1
Van Tol Laboratoriumtechniek;1;2;;;2
Van Valen B.V.;;;1;;1
Van Weele Holding B.V.;;;;1;1
VanDerEng B.V.;1;;;;1
VCK Travel B.V.;;;;1;1
Veba Meditemp B.V.;;2;;;2
Veggiedeli;;;1;;1
Veiling Zon;;;;1;1
Veip B.V.;1;;;;1
Veld Service B.V.;;;;1;1
Verdi Import B.V.;;;1;;1
Vereecken Fruitkwekerij;;;1;;1
Vermeij B.V.;1;;;;1
Verpakking Moonen;;;1;;1
Verschooten fotografie;;;;1;1
Veterinair Adviesbureau Chiara-Ananda;;;;3;3
Veterinary Poultry Consultancy;;;;4;4
VHC Jongens BV;;;1;;1
Viking Life-Saving Equipment B.V.;;1;;;1
Vinitex Laboratoriuminrichtingen B.V.;1;1;;;1
Vital Direct B.V.;;;1;;1
Vitanetshop B.V.;;;1;;1
Vitortho B.V.;;;1;;1
Vivera B.V.;;;1;;1
Vleeshandel Top Kip B.V.;;;1;;1
Voets Specialiteiten;;;1;;1
Volfood Versgroothandel;;;1;;1
Vroegop Windig;;;1;;1
VTB Holding B.V.;;;1;;1
VWR International B.V.;6;3;;;6
W & A Fish B.V.;;;1;;1
W. Dijk Holding B.V.;;;1;;1
W. Karsten;;;1;;1
W.G. den Heijer & Zn. B.V.;;;1;;1
Waters Chromatography B.V.;4;6;;;7
Weelink Licentie B.V.;;;;1;1
Wegener Media B.V.;;;;1;1
Weidelco Handstede B.V.;;;1;;1
Welkoop;1;;;;1
Werkgroep Milieubeheer Groesbeek;;;;1;1
Wessels Grootverbruik B.V.;;;1;;1
Westburg B.V.;1;;;;1
Westfalen Gassen Nederland B.V.;2;;;;2
Westland Mushrooms B.V.;;;1;;1
WEWO EUROPE B.V.;;;;1;1
Wijndomein St. Martinus (algemeen);;;1;;1
Wijngoed Fromberg V.O.F.;;;1;;1
Wijnimport J. Bart Beemster B.V.;;;1;;1
Wijnimport Jos Rijnaarts B.V.;;;1;;1
Willem&Drees B.V.;;;1;;1
Wim Rijnart Speciaal Transport B.V.;;;;1;1
Wolter & Dros Warnsveld;;1;;;1
Woonexpress B.V.;;;1;;1
World of Delights;;;1;;1
Wortelboer Medisch Adviesbureau;;;;4;4
Woudenberg Dranken Wageningen B.V.;;;1;;1
www.vaccinatiecentrum.nl;1;;;1;1
Xerox (Nederland) B.V.;;;;1;1
Xtac Analytical B.V.;1;;;;1
XXL Nutrition;;;1;;1
Y.H.M.;;;1;;1
Zethof Olie en Gashandel;1;;;;1
Zwick/Roell Nederland;;1;;;1
Eindtotaal;7;7;4;10;10
