gebouwnummer;aantal_adressen_in_pand;adressen;bouwjaar;gebouwstatus;max_huisnr;max_postcode;max_straatnaam;max_woonplaats;min_huisnr;min_postcode;min_straatnaam;min_woonplaats;status_id;verdeeld_over_aantal_straten;geometrie
0479100000020377;1;Schrijvertje 28;2001;Pand in gebruik;28;1562LV;Schrijvertje;Krommenie;28;1562LV;Schrijvertje;Krommenie;11;1;
0479100000019616;1;Schrijvertje 20;2001;Pand in gebruik;20;1562LV;Schrijvertje;Krommenie;20;1562LV;Schrijvertje;Krommenie;11;1;
0479100000016094;1;Koekoeksbloemweg 16;1969;Pand in gebruik;16;1508BK;Koekoeksbloemweg;Zaandam;16;1508BK;Koekoeksbloemweg;Zaandam;11;1;
0479100000044421;1;Renessestraat 19;1961;Pand in gebruik;19;1566KN;Renessestraat;Assendelft;19;1566KN;Renessestraat;Assendelft;11;1;
0479100000016257;1;Mosakker 62;1976;Pand in gebruik;62;1541TC;Mosakker;Koog aan de Zaan;62;1541TC;Mosakker;Koog aan de Zaan;11;1;
0479100000034552;1;Wachterstraat 14;1968;Pand in gebruik;14;1504CS;Wachterstraat;Zaandam;14;1504CS;Wachterstraat;Zaandam;11;1;
0479100000021913;1;Nieuwe Vaartkade 11;1985;Pand in gebruik;11;1544PV;Nieuwe Vaartkade;Zaandijk;11;1544PV;Nieuwe Vaartkade;Zaandijk;11;1;
0479100000028197;1;Marga Klompéstraat 24;1993;Pand in gebruik;24;1506WJ;Marga Klompéstraat;Zaandam;24;1506WJ;Marga Klompéstraat;Zaandam;11;1;
0479100000019852;1;Willem Sijpesteijnstraat 73;1938;Pand in gebruik;73;1566KG;Willem Sijpesteijnstraat;Assendelft;73;1566KG;Willem Sijpesteijnstraat;Assendelft;11;1;
0479100000049226;1;Simon Gammerkade 21 m;1966;Pand in gebruik;21;1544VL;Simon Gammerkade;Zaandijk;21;1544VL;Simon Gammerkade;Zaandijk;11;1;
0479100000082698;5;Woutertje Pietersestraat 10 t/m Woutertje Pietersestraat 8;1988;Pand in gebruik;10;1507PK;Woutertje Pietersestraat;Zaandam;2;1507PK;Woutertje Pietersestraat;Zaandam;11;1;
0479100000018640;1;Clusiuslaan 319;1964;Pand in gebruik;319;1504HA;Clusiuslaan;Zaandam;319;1504HA;Clusiuslaan;Zaandam;11;1;
0479100000039205;1;Albert Schweitzerstraat 14;1960;Pand in gebruik;14;1561GE;Albert Schweitzerstraat;Krommenie;14;1561GE;Albert Schweitzerstraat;Krommenie;11;1;
0479100000025873;1;Thijssestraat 39;1970;Pand in gebruik;39;1504LC;Thijssestraat;Zaandam;39;1504LC;Thijssestraat;Zaandam;11;1;
0479100000023743;1;Soest Wetering 10;1975;Pand in gebruik;10;1509KC;Soest Wetering;Zaandam;10;1509KC;Soest Wetering;Zaandam;11;1;
0479100000040680;1;Harenmakersstraat 35;1990;Pand in gebruik;35;1506HD;Harenmakersstraat;Zaandam;35;1506HD;Harenmakersstraat;Zaandam;11;1;
0479100000026984;1;Jupiterstraat 65;1974;Pand in gebruik;65;1562WN;Jupiterstraat;Krommenie;65;1562WN;Jupiterstraat;Krommenie;11;1;
0479100000024543;1;Klaverweg 56;1961;Pand in gebruik;56;1508CS;Klaverweg;Zaandam;56;1508CS;Klaverweg;Zaandam;11;1;
0479100000026227;1;Lobeliuslaan 304;1970;Pand in gebruik;304;1504EG;Lobeliuslaan;Zaandam;304;1504EG;Lobeliuslaan;Zaandam;11;1;
0479100000031183;1;Manderveen 7;1987;Pand in gebruik;7;1507MD;Manderveen;Zaandam;7;1507MD;Manderveen;Zaandam;11;1;
0479100000031672;1;Smeeke Ven 46;1956;Pand in gebruik;46;1566CE;Smeeke Ven;Assendelft;46;1566CE;Smeeke Ven;Assendelft;11;1;
0479100000041147;1;Haya van Somerenstraat 2;1993;Pand in gebruik;2;1506WK;Haya van Somerenstraat;Zaandam;2;1506WK;Haya van Somerenstraat;Zaandam;11;1;
0479100000033353;1;Mellum 96;1995;Pand in gebruik;96;1506BM;Mellum;Zaandam;96;1506BM;Mellum;Zaandam;11;1;
0479100000028832;1;Witte Klaverlaan 10;1968;Pand in gebruik;10;1562AM;Witte Klaverlaan;Krommenie;10;1562AM;Witte Klaverlaan;Krommenie;11;1;
0479100000014178;1;Zuiderzoom 72;1980;Pand in gebruik;72;1541NZ;Zuiderzoom;Koog aan de Zaan;72;1541NZ;Zuiderzoom;Koog aan de Zaan;11;1;
0479100000035971;1;Lindenlaan 20;1942;Pand in gebruik;20;1544AT;Lindenlaan;Zaandijk;20;1544AT;Lindenlaan;Zaandijk;11;1;
0479100000023719;1;Wals 4;1989;Pand in gebruik;4;1507TN;Wals;Zaandam;4;1507TN;Wals;Zaandam;11;1;
0479100000024796;1;Turfakker 17;1976;Pand in gebruik;17;1541TL;Turfakker;Koog aan de Zaan;17;1541TL;Turfakker;Koog aan de Zaan;11;1;
0479100000014956;1;Pieter Basstraat 8;1988;Pand in gebruik;8;1507PM;Pieter Basstraat;Zaandam;8;1507PM;Pieter Basstraat;Zaandam;11;1;
0479100000021744;1;Baanakker 79;1976;Pand in gebruik;79;1541TJ;Baanakker;Koog aan de Zaan;79;1541TJ;Baanakker;Koog aan de Zaan;11;1;
0479100000041624;1;Zuiderven 27;1928;Pand in gebruik;27;1504AV;Zuiderven;Zaandam;27;1504AV;Zuiderven;Zaandam;11;1;
0479100000026745;1;Westerstraat 4;1959;Pand in gebruik;4;1521ZD;Westerstraat;Wormerveer;4;1521ZD;Westerstraat;Wormerveer;11;1;
0479100000022672;1;Neptunuslaan 124;1974;Pand in gebruik;124;1562XP;Neptunuslaan;Krommenie;124;1562XP;Neptunuslaan;Krommenie;11;1;
0479100000019267;1;Zwanebloemkade 35;1969;Pand in gebruik;35;1508BA;Zwanebloemkade;Zaandam;35;1508BA;Zwanebloemkade;Zaandam;11;1;
0479100000041343;1;Tweebeen 7;1964;Pand in gebruik;7;1544VR;Tweebeen;Zaandijk;7;1544VR;Tweebeen;Zaandijk;11;1;
0479100000013210;1;Prins Hendrikkade 61;1910;Pand in gebruik;61;1501AE;Prins Hendrikkade;Zaandam;61;1501AE;Prins Hendrikkade;Zaandam;11;1;
0479100000029987;1;Kamillestraat 13;1970;Pand in gebruik;13;1562RS;Kamillestraat;Krommenie;13;1562RS;Kamillestraat;Krommenie;11;1;
0479100000012607;1;Evertsenstraat 11;1926;Pand in gebruik;11;1521KK;Evertsenstraat;Wormerveer;11;1521KK;Evertsenstraat;Wormerveer;11;1;
0479100000008066;1;Uitweg 28;1936;Pand in gebruik;28;1562GB;Uitweg;Krommenie;28;1562GB;Uitweg;Krommenie;11;1;
0479100000031441;1;Adama van Scheltemaplantsoen 27;1929;Pand in gebruik;27;1502RM;Adama van Scheltemaplantsoen;Zaandam;27;1502RM;Adama van Scheltemaplantsoen;Zaandam;11;1;
0479100000024641;1;Spoorland 54;1976;Pand in gebruik;54;1541MN;Spoorland;Koog aan de Zaan;54;1541MN;Spoorland;Koog aan de Zaan;11;1;
0479100000006450;1;Gouwzoom 2;1978;Pand in gebruik;2;1541TX;Gouwzoom;Koog aan de Zaan;2;1541TX;Gouwzoom;Koog aan de Zaan;11;1;
0479100000028440;1;Tjotterlaan 63;1970;Pand in gebruik;63;1503LA;Tjotterlaan;Zaandam;63;1503LA;Tjotterlaan;Zaandam;11;1;
0479100000009667;1;Schepenlaan 110;1970;Pand in gebruik;110;1503HM;Schepenlaan;Zaandam;110;1503HM;Schepenlaan;Zaandam;11;1;
0479100000042541;1;Blauwe Arendstraat 3;1950;Pand in gebruik;3;1561HE;Blauwe Arendstraat;Krommenie;3;1561HE;Blauwe Arendstraat;Krommenie;11;1;
0479100000007973;1;Spant 21;2007;Pand in gebruik;21;1567AA;Spant;Assendelft;21;1567AA;Spant;Assendelft;11;1;
0479100000053022;1;Jachtenlaan 57 c;1971;Pand in gebruik;57;1503HT;Jachtenlaan;Zaandam;57;1503HT;Jachtenlaan;Zaandam;11;1;
0479100000055140;1;Kreeftstraat 10;1963;Pand in gebruik;10;1544CK;Kreeftstraat;Zaandijk;10;1544CK;Kreeftstraat;Zaandijk;11;1;
0479100000049558;1;Vinkenstraat 27 c;1962;Pand in gebruik;27;1521XL;Vinkenstraat;Wormerveer;27;1521XL;Vinkenstraat;Wormerveer;11;1;
0479100000027451;1;Clusiusstraat 4;1964;Pand in gebruik;4;1504HH;Clusiusstraat;Zaandam;4;1504HH;Clusiusstraat;Zaandam;11;1;
0479100000039343;1;Burgemeester Versteegstraat 12;1947;Pand in gebruik;12;1501RV;Burgemeester Versteegstraat;Zaandam;12;1501RV;Burgemeester Versteegstraat;Zaandam;11;1;
0479100000012949;1;Westzanerdijk 102;1900;Pand in gebruik;102;1507AK;Westzanerdijk;Zaandam;102;1507AK;Westzanerdijk;Zaandam;11;1;
0479100000019143;1;Leonard Bernsteinstraat 34;1993;Pand in gebruik;34;1544LB;Leonard Bernsteinstraat;Zaandijk;34;1544LB;Leonard Bernsteinstraat;Zaandijk;11;1;
0479100000046156;1;Burgemeester van de Stadtstraat 117;1941;Pand in gebruik;117;1501SE;Burgemeester van de Stadtstraat;Zaandam;117;1501SE;Burgemeester van de Stadtstraat;Zaandam;11;1;
0479100000010679;1;Tienlingstraat 15 A;1998;Pand in gebruik;15;1507DJ;Tienlingstraat;Zaandam;15;1507DJ;Tienlingstraat;Zaandam;11;1;
0479100000031509;1;Esther de Boer-van Rijkstraat 19;1989;Pand in gebruik;19;1507SM;Esther de Boer-van Rijkstraat;Zaandam;19;1507SM;Esther de Boer-van Rijkstraat;Zaandam;11;1;
0479100000032116;1;J.A. Zandlevenstraat 34;1990;Pand in gebruik;34;1507XB;J.A. Zandlevenstraat;Zaandam;34;1507XB;J.A. Zandlevenstraat;Zaandam;11;1;
0479100000007862;1;Burgemeester de Boerstraat 9;1965;Pand in gebruik;9;1566KA;Burgemeester de Boerstraat;Assendelft;9;1566KA;Burgemeester de Boerstraat;Assendelft;11;1;
0479100000042057;1;Saenredamstraat 11;1935;Pand in gebruik;11;1506JP;Saenredamstraat;Zaandam;11;1506JP;Saenredamstraat;Zaandam;11;1;
0479100000055629;1;Jan de Wittestraat 109;1984;Pand in gebruik;109;1541LC;Jan de Wittestraat;Koog aan de Zaan;109;1541LC;Jan de Wittestraat;Koog aan de Zaan;11;1;
0479100000082997;6;Gaasperdamstraat 109 t/m Gaasperdamstraat 119;1986;Pand in gebruik;119;1507JT;Gaasperdamstraat;Zaandam;109;1507JT;Gaasperdamstraat;Zaandam;11;1;
0479100000001361;58;Morgenstarstraat 100 t/m Morgenstarstraat 99;1972;Pand in gebruik;124;1544CS;Morgenstarstraat;Zaandijk;77;1544CR;Morgenstarstraat;Zaandijk;11;1;
0479100000048133;1;Lindelaan 14;1947;Pand in gebruik;14;1561CL;Lindelaan;Krommenie;14;1561CL;Lindelaan;Krommenie;11;1;
0479100000080963;1;Polderland 15;2011;Pand in gebruik;15;1567ES;Polderland;Assendelft;15;1567ES;Polderland;Assendelft;11;1;
0479100000003942;1;Symon Spiersweg 7 B 1;2001;Pand in gebruik;7;1506RZ;Symon Spiersweg;Zaandam;7;1506RZ;Symon Spiersweg;Zaandam;11;1;
0479100000002229;1;Cornelis van Uitgeeststraat 8 B;1970;Pand in gebruik;8;1508EH;Cornelis van Uitgeeststraat;Zaandam;8;1508EH;Cornelis van Uitgeeststraat;Zaandam;11;1;
0479100000079735;1;Dubbelspoor 12;2010;Pand in gebruik;12;1567LG;Dubbelspoor;Assendelft;12;1567LG;Dubbelspoor;Assendelft;11;1;
0479100000052200;1;Treilerstraat 18 a 17;1971;Pand in gebruik;18;1503JH;Treilerstraat;Zaandam;18;1503JH;Treilerstraat;Zaandam;11;1;
0479100000079656;1;Nevenspoor 4;2011;Pand in gebruik;4;1567LK;Nevenspoor;Assendelft;4;1567LK;Nevenspoor;Assendelft;11;1;
0479100000086128;1;Fröbelstraat 23 B;2002;Pand in gebruik;23;;Fröbelstraat;Wormerveer;23;;Fröbelstraat;Wormerveer;11;1;
0479100000000482;2;Vredeweg 36 A t/m Vredeweg 36 B;1987;Pand in gebruik;36;1505HH;Vredeweg;Zaandam;36;1505HH;Vredeweg;Zaandam;11;1;
0479100000086152;1;J.C. van Wessemstraat 27;1925;Pand in gebruik;27;1501VJ;J.C. van Wessemstraat;Zaandam;27;1501VJ;J.C. van Wessemstraat;Zaandam;11;1;
0479100000084613;1;Hoogstraat 26;2013;Pand in gebruik;26;1541KX;Hoogstraat;Koog aan de Zaan;26;1541KX;Hoogstraat;Koog aan de Zaan;11;1;
0479100000006425;1;Weiver 42;1930;Pand in gebruik;42;1551SJ;Weiver;Westzaan;42;1551SJ;Weiver;Westzaan;11;1;
0479100000085098;1;Lagedijk 276;2014;Pand in gebruik;276;1544BN;Lagedijk;Zaandijk;276;1544BN;Lagedijk;Zaandijk;11;1;
0479100000083029;1;Paul Cézannestraat 17;2013;Pand in gebruik;17;1506KZ;Paul Cézannestraat;Zaandam;17;1506KZ;Paul Cézannestraat;Zaandam;11;1;
0479100000085617;1;Sluispolderweg 8 C;2014;Pand in gebruik;8;1505HK;Sluispolderweg;Zaandam;8;1505HK;Sluispolderweg;Zaandam;11;1;
0479100000087684;1;Herderstraat 12;2018;Pand in gebruik (niet ingemeten);12;1502NC;Herderstraat;Zaandam;12;1502NC;Herderstraat;Zaandam;10;1;
0479100000085086;1;Rosmolenstraat 120;2015;Pand in gebruik (niet ingemeten);120;1502PK;Rosmolenstraat;Zaandam;120;1502PK;Rosmolenstraat;Zaandam;10;1;
0479100000041263;1;Herengracht 51;1925;Pand in gebruik;51;1506DN;Herengracht;Zaandam;51;1506DN;Herengracht;Zaandam;11;1;
0479100000084816;1;Bloemstraat 8;2015;Pand in gebruik;8;1502VR;Bloemstraat;Zaandam;8;1502VR;Bloemstraat;Zaandam;11;1;
0479100000083661;1;Banjaert 1;2015;Pand in gebruik;1;1567CJ;Banjaert;Assendelft;1;1567CJ;Banjaert;Assendelft;11;1;
0479100000026153;1;Langepad 3;1982;Pand in gebruik (niet ingemeten);3;1544PS;Langepad;Zaandijk;3;1544PS;Langepad;Zaandijk;10;1;
0479100000045215;1;Professor Struijckenstraat 4;1926;Pand in gebruik;4;1502RV;Professor Struijckenstraat;Zaandam;4;1502RV;Professor Struijckenstraat;Zaandam;11;1;
0479100000031182;1;Harenmakersstraat 24;1899;Pand in gebruik;24;1506HE;Harenmakersstraat;Zaandam;24;1506HE;Harenmakersstraat;Zaandam;11;1;
0479100000036173;1;Schoolmeestersstraat 19;1899;Pand in gebruik;19;1502TV;Schoolmeestersstraat;Zaandam;19;1502TV;Schoolmeestersstraat;Zaandam;11;1;
0479100000039070;1;Herderstraat 23;1926;Pand in gebruik;23;1502NB;Herderstraat;Zaandam;23;1502NB;Herderstraat;Zaandam;11;1;
0479100000004597;1;Zuideinde 127;1880;Pand in gebruik;127;1551ED;Zuideinde;Westzaan;127;1551ED;Zuideinde;Westzaan;11;1;
0479100000035582;1;Steffens Weer 17;2001;Pand in gebruik;17;1566LV;Steffens Weer;Assendelft;17;1566LV;Steffens Weer;Assendelft;11;1;
0479100000034513;1;Sparrestraat 20;1951;Pand in gebruik;20;1505AL;Sparrestraat;Zaandam;20;1505AL;Sparrestraat;Zaandam;11;1;
0479100000041837;1;Dorpsstraat 944;1910;Pand in gebruik;944;1566JH;Dorpsstraat;Assendelft;944;1566JH;Dorpsstraat;Assendelft;11;1;
0479100000013818;1;Archangelstraat 50;1910;Pand in gebruik;50;1506NS;Archangelstraat;Zaandam;50;1506NS;Archangelstraat;Zaandam;11;1;
0479100000002998;1;Insulindelaan 1;1920;Pand in gebruik;1;1521BA;Insulindelaan;Wormerveer;1;1521BA;Insulindelaan;Wormerveer;11;1;
0479100000009586;2;Grootscheepmakersstraat 21 t/m Grootscheepmakersstraat 21 A;1953;Pand in gebruik;21;1502VH;Grootscheepmakersstraat;Zaandam;21;1502VH;Grootscheepmakersstraat;Zaandam;11;1;
0479100000033554;1;Agavestraat 12;1935;Pand in gebruik;12;1561KG;Agavestraat;Krommenie;12;1561KG;Agavestraat;Krommenie;11;1;
0479100000032513;1;Irisstraat 55;1937;Pand in gebruik;55;1541AN;Irisstraat;Koog aan de Zaan;55;1541AN;Irisstraat;Koog aan de Zaan;11;1;
0479100000002495;1;Houthavenkade 30;1985;Pand in gebruik;30;1506PD;Houthavenkade;Zaandam;30;1506PD;Houthavenkade;Zaandam;11;1;
0479100000002343;1;Diederik Sonoyweg 11;1985;Pand in gebruik;11;1509BR;Diederik Sonoyweg;Zaandam;11;1509BR;Diederik Sonoyweg;Zaandam;11;1;
0479100000038143;1;Veeringstraat 38;1929;Pand in gebruik;38;1502NM;Veeringstraat;Zaandam;38;1502NM;Veeringstraat;Zaandam;11;1;
0479100000049295;1;Acaciastraat 37;1939;Pand in gebruik;37;1505TG;Acaciastraat;Zaandam;37;1505TG;Acaciastraat;Zaandam;11;1;
0479100000032503;1;Pieter Pauwstraat 72;1938;Pand in gebruik;72;1501TD;Pieter Pauwstraat;Zaandam;72;1501TD;Pieter Pauwstraat;Zaandam;11;1;
0479100000012338;1;Henneland 43;1978;Pand in gebruik;43;1541NS;Henneland;Koog aan de Zaan;43;1541NS;Henneland;Koog aan de Zaan;11;1;
0479100000036364;1;Riouwstraat 86;1936;Pand in gebruik;86;1521SG;Riouwstraat;Wormerveer;86;1521SG;Riouwstraat;Wormerveer;11;1;
0479100000055529;1;Rozeboom 80;1975;Pand in gebruik;80;1541RK;Rozeboom;Koog aan de Zaan;80;1541RK;Rozeboom;Koog aan de Zaan;11;1;
0479100000011967;1;Akkerland 73;2006;Pand in gebruik;73;1567EJ;Akkerland;Assendelft;73;1567EJ;Akkerland;Assendelft;11;1;
0479100000030553;1;Saendelverlaan 116;2008;Pand in gebruik;116;1567KJ;Saendelverlaan;Assendelft;116;1567KJ;Saendelverlaan;Assendelft;11;1;
0479100000008708;1;Claude Debussystraat 93;1994;Pand in gebruik;93;1544NP;Claude Debussystraat;Zaandijk;93;1544NP;Claude Debussystraat;Zaandijk;11;1;
0479100000025813;1;Schildmeer 33;1975;Pand in gebruik;33;1509JL;Schildmeer;Zaandam;33;1509JL;Schildmeer;Zaandam;11;1;
0479100000020589;1;Matjeszoom 17;1975;Pand in gebruik;17;1541PV;Matjeszoom;Koog aan de Zaan;17;1541PV;Matjeszoom;Koog aan de Zaan;11;1;
0479100000044137;1;John Lennonstraat 137;1993;Pand in gebruik;137;1544LH;John Lennonstraat;Zaandijk;137;1544LH;John Lennonstraat;Zaandijk;11;1;
0479100000035782;1;Jean Henri Dunantstraat 16;1970;Pand in gebruik;16;1561BC;Jean Henri Dunantstraat;Krommenie;16;1561BC;Jean Henri Dunantstraat;Krommenie;11;1;
0479100000033166;1;Abraham Kloosstraat 4;1967;Pand in gebruik;4;1504EC;Abraham Kloosstraat;Zaandam;4;1504EC;Abraham Kloosstraat;Zaandam;11;1;
0479100000034507;1;Woutertje Pietersestraat 13;1988;Pand in gebruik;13;1507PJ;Woutertje Pietersestraat;Zaandam;13;1507PJ;Woutertje Pietersestraat;Zaandam;11;1;
0479100000008938;3;Benjamin Brittenstraat 133 t/m Benjamin Brittenstraat 141;1992;Pand in gebruik;141;1544ND;Benjamin Brittenstraat;Zaandijk;133;1544ND;Benjamin Brittenstraat;Zaandijk;11;1;
0479100000003478;1;Stationsstraat 12;1925;Pand in gebruik;12;1506DG;Stationsstraat;Zaandam;12;1506DG;Stationsstraat;Zaandam;11;1;
0479100000052768;1;Bristolroodstraat 106;1967;Pand in gebruik;106;1503NZ;Bristolroodstraat;Zaandam;106;1503NZ;Bristolroodstraat;Zaandam;11;1;
0479100000058616;1;Jean Henri Dunantstraat 34 f;1970;Pand in gebruik;34;;Jean Henri Dunantstraat;Krommenie;34;;Jean Henri Dunantstraat;Krommenie;11;1;
0479100000030151;1;Belgischestraat 55;1915;Pand in gebruik;55;1502TR;Belgischestraat;Zaandam;55;1502TR;Belgischestraat;Zaandam;11;1;
0479100000053054;1;Aakstraat 6 a 1;1901;Pand in gebruik;6;;Aakstraat;Zaandam;6;;Aakstraat;Zaandam;11;1;
0479100000038895;1;Burgemeester Ter Laanstraat 94;1939;Pand in gebruik;94;1501TM;Burgemeester Ter Laanstraat;Zaandam;94;1501TM;Burgemeester Ter Laanstraat;Zaandam;11;1;
0479100000035504;1;Magda Janssensstraat 34;1989;Pand in gebruik;34;1507SP;Magda Janssensstraat;Zaandam;34;1507SP;Magda Janssensstraat;Zaandam;11;1;
0479100000008318;1;Insulindelaan 36;1928;Pand in gebruik;36;1521BC;Insulindelaan;Wormerveer;36;1521BC;Insulindelaan;Wormerveer;11;1;
0479100000032538;1;Johan Vermeerkade 5;1955;Pand in gebruik;5;1521SH;Johan Vermeerkade;Wormerveer;5;1521SH;Johan Vermeerkade;Wormerveer;11;1;
0479100000044759;1;C.Th. Kamphuijsstraat 29;1931;Pand in gebruik;29;1501VA;C.Th. Kamphuijsstraat;Zaandam;29;1501VA;C.Th. Kamphuijsstraat;Zaandam;11;1;
0479100000014445;2;Jonge Kuiperstraat 49 t/m Jonge Kuiperstraat 51;1956;Pand in gebruik;51;1541HG;Jonge Kuiperstraat;Koog aan de Zaan;49;1541HG;Jonge Kuiperstraat;Koog aan de Zaan;11;1;
0479100000046366;1;Klaproosstraat 20;1961;Pand in gebruik;20;1562SG;Klaproosstraat;Krommenie;20;1562SG;Klaproosstraat;Krommenie;11;1;
0479100000034770;1;Nellen Weer 21;2001;Pand in gebruik;21;1566LS;Nellen Weer;Assendelft;21;1566LS;Nellen Weer;Assendelft;11;1;
0479100000036434;1;Schermerstraat 18;1964;Pand in gebruik;18;1566WK;Schermerstraat;Assendelft;18;1566WK;Schermerstraat;Assendelft;11;1;
0479100000019843;1;Beukestraat 19;1935;Pand in gebruik;19;1561KH;Beukestraat;Krommenie;19;1561KH;Beukestraat;Krommenie;11;1;
