nummer;naam;gebruik;geo_point_2d;straatnaam;huisnumm00;huisletter;huisnummer;postcode;openings01;visuele_hu
26;Gymzaal;sportfunctie;51.44513875, 5.52241315;Urkhovenseweg;10;;;5641KE;2021-03-17T07:30:00 tot 2021-03-17T21:00:00;
32;Gymzaal;onderwijsfunctie;51.43131066, 5.48768089;Tuinstraat;6;;;5611PL;2021-03-17T07:30:00 tot 2021-03-17T21:00:00;
38;Wijkgebouw Genderdal;bijeenkomstfunctie;51.42323849, 5.4510815;Boccherinilaan;6;;;5653HE;2021-03-17T07:30:00 tot 2021-03-17T21:00:00;
40;Gymzaal;sportfunctie;51.44028078, 5.45281983;Klipperstraat;1;;;5616KA;2021-03-17T07:30:00 tot 2021-03-17T21:00:00;
42;Gymzaal BS Strijpdorp;onderwijsfunctie;51.44650812, 5.44037528;Apeldoornstraat;1;;;5651EN;2021-03-17T07:30:00 tot 2021-03-17T21:00:00;
44;Sporthal Strijp/Brabantia;bijeenkomstfunctie, sportfunctie;51.43787421, 5.44424388;Rijstenweg;7;;;5652CG;2021-03-17T07:30:00 tot 2021-03-17T21:00:00;
1;Stadhuis;kantoorfunctie;51.43561044, 5.48078214;Stadhuisplein;1;;;5611EM;2021-03-17T07:30:00 tot 2021-03-17T21:00:00;Met visuele hulpmiddelen voor blinden en slechtzienden
40;Gymzaal BS De Bijenkorf;onderwijsfunctie;51.47632584, 5.49116387;de Koppele;2;;;5632LA;2021-03-17T07:30:00 tot 2021-03-17T21:00:00;
46;De Rooi Pannen;onderwijsfunctie;51.45639901, 5.47584378;Kaakstraat;1;;;5623AD;2021-03-17T07:30:00 tot 2021-03-17T21:00:00;
19;Gymzaal BS;onderwijsfunctie;51.46371742, 5.45725558;Pieter Poststraat;13;A;;5624BE;2021-03-17T07:30:00 tot 2021-03-17T21:00:00;
21;Elf13;bijeenkomstfunctie;51.45925122, 5.45978724;St Philomenastraat;11;;;5622CG;2021-03-17T07:30:00 tot 2021-03-17T21:00:00;
32;Sporthal de Tempel;onderwijsfunctie;51.48201805, 5.48565711;Henegouwenlaan;2;;;5628WK;2021-03-17T07:30:00 tot 2021-03-17T21:00:00;
38;Gymzaal;onderwijsfunctie;51.48381332, 5.50137713;Venetiëstraat;43;;;5632RM;2021-03-17T07:30:00 tot 2021-03-17T21:00:00;
24;Atlas (Tu/e Hoofdgebouw);onderwijsfunctie;51.44788746, 5.48594939;Den Dolech;2;;;5612AZ;2021-03-17T07:30:00 tot 2021-03-17T21:00:00;
28;Sporthal Tivoli;sportfunctie;51.42510044, 5.50808827;Geert Grootestraat;72;;;5645RE;2021-03-17T07:30:00 tot 2021-03-17T21:00:00;
31;Gymzaal;sportfunctie;51.42740815, 5.4984113;Piuslaan;70;;;5614CM;2021-03-17T07:30:00 tot 2021-03-17T21:00:00;
35;Zaal de Harmonie;bijeenkomstfunctie;51.42472421, 5.46218611;Hoogstraat;310;;;5654NH;2021-03-17T07:30:00 tot 2021-03-17T21:00:00;
36;Voormalige school Paul Krugerlaan 62;woonfunctie;51.43998325, 5.51041988;Paul Krügerlaan;62;;;5642GK;2021-03-17T07:30:00 tot 2021-03-17T21:00:00;
37;Sporthal Genderbeemd;sportfunctie;51.42027354, 5.43856531;Sterkenburg;616;;;5653NP;2021-03-17T07:30:00 tot 2021-03-17T21:00:00;
41;Klokgebouw;bijeenkomstfunctie;51.44861416, 5.45761069;Klokgebouw;50;;;5617AB;2021-03-17T07:30:00 tot 2021-03-17T21:00:00;
43;de Lievendaal;bijeenkomstfunctie;51.443043, 5.43533294;Lievendaalseweg;3;;;5652SB;2021-03-17T07:30:00 tot 2021-03-17T21:00:00;
13;Sporthal Frits Philips;onderwijsfunctie, sportfunctie;51.47663857, 5.4465576;Avignonlaan;1;;;5627GA;2021-03-17T07:30:00 tot 2021-03-17T21:00:00;
26;Gymzaal;onderwijsfunctie;51.47024129, 5.46856478;Elegaststraat;1;;;5625CV;2021-03-17T07:30:00 tot 2021-03-17T21:00:00;
30;'t Trefpunt;bijeenkomstfunctie;51.47978117, 5.48014727;Belgiëplein;20;;;5628XJ;2021-03-17T07:30:00 tot 2021-03-17T21:00:00;
