buurt;wanneer;wijknaam;stadsdeelnaam;geo_shape;geo_point_2d
Eckart;In de periode 2023 / 2024;Wijk Dommelbeemd;Stadsdeel Woensel-Noord;"{""coordinates"": [[[5.498408503720958, 51.47109495135509], [5.495345773792059, 51.46891043704524], [5.494936790643901, 51.468518190561035], [5.493635463112675, 51.46727748155251], [5.490505096110695, 51.46748838177733], [5.488854073526692, 51.467605503138294], [5.488640142399563, 51.46762067643965], [5.4876888863951985, 51.4676881402368], [5.486899010730655, 51.467705510082325], [5.48700708629926, 51.46842088035509], [5.487055188972357, 51.468739274826916], [5.48708777574153, 51.46895496472358], [5.487364533756123, 51.470513282487545], [5.487772302828344, 51.47277425528702], [5.487907348882974, 51.473517779756214], [5.488111402149146, 51.47464118743745], [5.48833371194417, 51.4758650396229], [5.489135921728049, 51.475813476383934], [5.489995218263816, 51.475756982728264], [5.4901919323941195, 51.47574404960285], [5.490870792372744, 51.475698621093265], [5.491368046677218, 51.47566534290602], [5.493002164671821, 51.47554886594382], [5.4934477349467015, 51.47551710264462], [5.494484102543435, 51.475429684788125], [5.49469712625138, 51.47541171517228], [5.495292535783183, 51.47537072794251], [5.496253681810225, 51.47530455757572], [5.496896325720134, 51.475260309890764], [5.499470517808022, 51.475064134438114], [5.500252410796285, 51.475016376672485], [5.501304354376941, 51.474952115976876], [5.502003691864114, 51.474863036330355], [5.502023919481624, 51.47477745429274], [5.502348967785652, 51.47478680258181], [5.502769753697745, 51.474792363397775], [5.502884484227049, 51.474780294623514], [5.5033667584268695, 51.47469491691329], [5.502676305018933, 51.4741322123769], [5.502254176305154, 51.473940820217656], [5.501170877195615, 51.47344964022268], [5.498527912480324, 51.47118011449195], [5.498408503720958, 51.47109495135509]]], ""type"": ""Polygon""}";51.47193894564272, 5.49330575089309
Prinsejagt;In de periode 2023 / 2024;Wijk Ontginning;Stadsdeel Woensel-Noord;"{""coordinates"": [[[5.459577852686938, 51.464078695548345], [5.459198423175436, 51.46393110175156], [5.455267878971571, 51.46240204005008], [5.454851547237404, 51.46224441873942], [5.454317260846182, 51.4620421365028], [5.453656899368538, 51.46268850516611], [5.453176401037727, 51.4631817704918], [5.452345831112441, 51.46399360858222], [5.450943309419661, 51.465413909979226], [5.449832774807405, 51.46653380750776], [5.451119806240012, 51.467605302628705], [5.4535187498025115, 51.46960232765035], [5.4539005512903636, 51.46992014225045], [5.454326154507793, 51.47003618363475], [5.4533740569351155, 51.47134735631182], [5.453141891714564, 51.47166706884639], [5.4535273684466805, 51.471808182751055], [5.454281066561422, 51.472521814390774], [5.454885714206134, 51.47276008947633], [5.456716124827966, 51.47348137050497], [5.457834705800988, 51.473919298907106], [5.4579006346406285, 51.473945109324745], [5.458667301494017, 51.47425161416005], [5.458856096544372, 51.47432709080632], [5.459328251939143, 51.47452909766725], [5.460270700401343, 51.474939767415414], [5.460548770933658, 51.47465143701789], [5.461519156103184, 51.47369537722789], [5.461941919853995, 51.47327884027199], [5.463004418256032, 51.472243301336626], [5.463245216656965, 51.47202127286306], [5.463996265057412, 51.47132875507437], [5.464628289565278, 51.47071054534216], [5.465798606711395, 51.46953517135512], [5.465894468498039, 51.46943889293168], [5.466313435074896, 51.46901727027515], [5.467246252740985, 51.468078508406336], [5.467615736101432, 51.467802524116244], [5.4679156579604875, 51.46765304558068], [5.468042236502335, 51.467584859710435], [5.467128542982886, 51.46708520005506], [5.466633669136986, 51.466828696941214], [5.464028282420841, 51.465802867447245], [5.459577852686938, 51.464078695548345]]], ""type"": ""Polygon""}";51.46830191643308, 5.458430007720667
Mensfort;In de periode 2023 / 2024;Wijk Erp;Stadsdeel Woensel-Zuid;"{""coordinates"": [[[5.470692014864096, 51.458717756499894], [5.471074758987248, 51.457635516468066], [5.471182632186752, 51.45727837319075], [5.471211712158514, 51.4570057531351], [5.4699807283468695, 51.45696899945005], [5.469521065737124, 51.457016363957415], [5.468779189946625, 51.45713399136141], [5.467526648415106, 51.45733257513666], [5.4666228133568415, 51.45807514620144], [5.465316213093065, 51.45914856628287], [5.464693611297083, 51.45966003272384], [5.464597985203344, 51.459739626214166], [5.463795027217655, 51.4604079446707], [5.4632567291022855, 51.460855979629855], [5.463068301641682, 51.461012809087244], [5.462061304833938, 51.46181855731084], [5.461567416162691, 51.462230665035136], [5.4601866631865565, 51.463502784240696], [5.460028565423769, 51.463648437498634], [5.459994709424799, 51.46368075761972], [5.459577852686938, 51.464078695548345], [5.464028282420841, 51.465802867447245], [5.466633669136986, 51.466828696941214], [5.467128542982886, 51.46708520005506], [5.467547313094544, 51.46670879951637], [5.467821242702767, 51.466410896006934], [5.468071262069141, 51.46612251126672], [5.4681791428460125, 51.4659396519761], [5.468737936836134, 51.46436288288819], [5.468754179342726, 51.46431705004291], [5.469352981565942, 51.46260254179173], [5.469506026750206, 51.46216431668431], [5.469689774141098, 51.461638166838405], [5.469712805888992, 51.46157048120986], [5.470287960583879, 51.45988020541233], [5.470424280256624, 51.459479563541386], [5.4704672851434655, 51.45935317292684], [5.470692014864096, 51.458717756499894]]], ""type"": ""Polygon""}";51.46207649231469, 5.466159979056215
Drents Dorp;In de periode 2023 / 2024;Wijk Halve Maan;Stadsdeel Strijp;"{""coordinates"": [[[5.448604988371642, 51.44490342119043], [5.448093380974638, 51.44482373693533], [5.447584891625891, 51.44474453600291], [5.446946436346667, 51.44460418328562], [5.4461569957014495, 51.44438196573255], [5.444231451670365, 51.443839919027134], [5.443869697794891, 51.44373922060771], [5.443126177243869, 51.443532248968054], [5.441654844034318, 51.44423468213024], [5.4408492561712025, 51.44461926219116], [5.439664250513773, 51.445184953337275], [5.438744034123938, 51.44562049593395], [5.437282703403027, 51.44631211836662], [5.4365285527277205, 51.44664603123358], [5.435419526123171, 51.44713705439539], [5.435906000439276, 51.44741475575185], [5.436238172029121, 51.44744917288391], [5.438947576801815, 51.44856246603454], [5.438728048722261, 51.4487730422141], [5.4387350592997, 51.44882832838449], [5.439904268824317, 51.44946463275026], [5.441769878665737, 51.450501782548784], [5.442871223039798, 51.449460951778306], [5.444492296734068, 51.44792884250648], [5.445166620504309, 51.44823698128482], [5.448708469524469, 51.44972117659342], [5.449458319264641, 51.44969373963688], [5.44997287566462, 51.44979239225118], [5.45105308644255, 51.44879148281058], [5.451767570020675, 51.447945158732736], [5.450214283746352, 51.44742789853251], [5.450147280475287, 51.447405585395096], [5.449442006810306, 51.4471423741285], [5.448914260269482, 51.44680839744972], [5.448698123189626, 51.44653798543995], [5.448667154574255, 51.44646987221173], [5.448530421990557, 51.44616913326723], [5.448508523402428, 51.44587824097661], [5.448546552301042, 51.44526519917827], [5.44857814279377, 51.44502413519803], [5.448604988371642, 51.44490342119043]]], ""type"": ""Polygon""}";51.44700069114258, 5.443743030611926
Doornakkers-Oost;23-02-2023 tot en met maart;Wijk Doornakkers;Stadsdeel Tongelre;"{""coordinates"": [[[5.512926673539802, 51.44387282075828], [5.513190974516238, 51.443815635978105], [5.514201775113583, 51.4435806682623], [5.515262984044562, 51.44332803563039], [5.515376430646182, 51.443301026622414], [5.5156423082734864, 51.44323852133263], [5.5162710259437695, 51.44305649961642], [5.516539134230671, 51.44298672783078], [5.517144214283917, 51.44278966167488], [5.5177056328229375, 51.44261041550941], [5.518866311248637, 51.44219923280101], [5.519648169905319, 51.44188891116828], [5.520268050501073, 51.441633519473605], [5.520625729322552, 51.441475002167934], [5.5212790440720685, 51.44118545744732], [5.521383167032975, 51.441139310122196], [5.521895685516667, 51.44088088554965], [5.523166863677594, 51.44023990199776], [5.5237425622693666, 51.43990702862447], [5.523315192691453, 51.43969538977947], [5.522762932511499, 51.43951784951844], [5.522419199666489, 51.439433709674084], [5.521769067502207, 51.43936089300412], [5.521310794724037, 51.43934005009938], [5.520540049062995, 51.439336811913456], [5.520651939826455, 51.439017679214004], [5.520744303023599, 51.43879702626805], [5.520789012031713, 51.438650798431425], [5.520827985194229, 51.43841481892167], [5.520846486998114, 51.43819425060429], [5.520812975332731, 51.438032891055244], [5.520778508387279, 51.43786692679211], [5.520679525683127, 51.43763374543223], [5.520602166686138, 51.43745150142839], [5.520191549024592, 51.43698635119926], [5.520069226737832, 51.436717104616015], [5.519997816777535, 51.436559922838676], [5.51992857113198, 51.43626422840675], [5.519789378329149, 51.43590193735614], [5.519580659988727, 51.43506079936505], [5.519170866896166, 51.43509794722193], [5.518752117996803, 51.43341023185974], [5.512069826939508, 51.434033251445], [5.512455417227231, 51.43556072384329], [5.512462435969459, 51.435589230177136], [5.512494740364353, 51.43572044450003], [5.512678142390627, 51.43646534726788], [5.51268848559181, 51.43651235499483], [5.512801600973092, 51.437026422237174], [5.512925041728182, 51.43747509906884], [5.512992047472337, 51.43771864591881], [5.513044941597887, 51.43791090061143], [5.51327284565192, 51.43836184612502], [5.513557542686315, 51.4389123277097], [5.513772698764202, 51.43933915776049], [5.513941035363581, 51.43967309905619], [5.514003233284132, 51.43985468620058], [5.5143326698373425, 51.44081645421988], [5.514499333932739, 51.44134493209972], [5.514517728222949, 51.44169042855792], [5.514533407122236, 51.44198490646134], [5.5145446749553875, 51.44219652349128], [5.514513653103213, 51.44229913615495], [5.514410279634279, 51.4426410614122], [5.514102920408777, 51.44296256200694], [5.513737736700471, 51.44318134811781], [5.513269706889163, 51.443349211244325], [5.512990435810692, 51.44344937284193], [5.512678339403865, 51.443544773677274], [5.512926673539802, 51.44387282075828]]], ""type"": ""Polygon""}";51.43825699480242, 5.516934854197841
Tivoli;07-12-2022 tot en met 20-01-2023;Wijk Putten;Stadsdeel Stratum;"{""coordinates"": [[[5.505054816273253, 51.42183519650285], [5.5051011241706584, 51.42205399277856], [5.505271144677063, 51.42248637155907], [5.505304250713092, 51.42257056470864], [5.505790496905903, 51.42346055844264], [5.506047507495813, 51.42380446704157], [5.506304997680818, 51.42367745261578], [5.506488352561312, 51.42360189294761], [5.506726855462672, 51.42350360511617], [5.508237019890167, 51.422969613418935], [5.508764822087272, 51.42281165354918], [5.508827378911967, 51.42281318730171], [5.508906257059212, 51.422488601427084], [5.509557888967848, 51.42253895080454], [5.509868928835403, 51.4209540429134], [5.50981936377857, 51.42089743939918], [5.510113804224662, 51.41924730821667], [5.509600392735821, 51.41919978661892], [5.509665207129851, 51.418935334010314], [5.509800754810149, 51.41813272569263], [5.509865714846192, 51.41786409305589], [5.509807884110279, 51.41779033882355], [5.509519625422941, 51.417770039989826], [5.509478490936452, 51.417778667408875], [5.50893220501807, 51.417748336834045], [5.508725812187962, 51.417648776184684], [5.5083287619420505, 51.417457244550945], [5.507274471820538, 51.41816141171863], [5.50476743008991, 51.41983168035138], [5.504643363820784, 51.41991433255065], [5.504318849326179, 51.420130521095395], [5.505004248669278, 51.42159627344435], [5.505054816273253, 51.42183519650285]]], ""type"": ""Polygon""}";51.420627236189844, 5.507462272720255
Jagershoef;In de periode 2023 / 2024;Wijk Ontginning;Stadsdeel Woensel-Noord;"{""coordinates"": [[[5.471422736538692, 51.47270892927826], [5.471671852964447, 51.471834841563215], [5.47188216390333, 51.47116312863877], [5.471938992628929, 51.47094241588493], [5.472320804751523, 51.46938056393518], [5.472577021684398, 51.46833241891209], [5.472709858733144, 51.467788982478076], [5.4727952663809605, 51.4674395720879], [5.471497245435024, 51.46740791541494], [5.469929194917593, 51.46736733906868], [5.469015004628146, 51.467367985067995], [5.468278103989884, 51.46750991458001], [5.468042236502335, 51.467584859710435], [5.4679156579604875, 51.46765304558068], [5.467615736101432, 51.467802524116244], [5.467246252740985, 51.468078508406336], [5.466313435074896, 51.46901727027515], [5.465894468498039, 51.46943889293168], [5.465798606711395, 51.46953517135512], [5.464628289565278, 51.47071054534216], [5.463996265057412, 51.47132875507437], [5.463245216656965, 51.47202127286306], [5.463004418256032, 51.472243301336626], [5.461941919853995, 51.47327884027199], [5.461519156103184, 51.47369537722789], [5.460548770933658, 51.47465143701789], [5.460270700401343, 51.474939767415414], [5.460846303763359, 51.47516929828642], [5.463246107937381, 51.4761130552954], [5.463464733556195, 51.47617774737287], [5.463770752539264, 51.47622873680745], [5.463870755542666, 51.47624128834118], [5.464311713867839, 51.47629663047795], [5.464445490754375, 51.47630862611135], [5.466346994818987, 51.47647911815921], [5.46655127470149, 51.47648879200112], [5.466844170163979, 51.47650266191718], [5.468923667684204, 51.47643990911473], [5.469928842511479, 51.47642213872497], [5.470484216688263, 51.476391513933926], [5.47079623020135, 51.47515516213231], [5.47092582934421, 51.47463380006183], [5.470993055297429, 51.47436334970174], [5.471278469228867, 51.47321510897804], [5.471422736538692, 51.47270892927826]]], ""type"": ""Polygon""}";51.47235258144611, 5.467446678660327
Oude Toren;In de periode 2023 / 2024;Wijk Begijnenbroek;Stadsdeel Woensel-Zuid;"{""coordinates"": [[[5.484912079286005, 51.457465331687004], [5.485101964583909, 51.457473717712865], [5.485735965973282, 51.45748459764535], [5.485700928181333, 51.45717580654892], [5.485424444708952, 51.45575490480626], [5.485191164167451, 51.455054759615486], [5.48453383736451, 51.453190415044446], [5.484421526049162, 51.4528806741349], [5.482860044788149, 51.45292034190824], [5.482072403024363, 51.452940342493655], [5.480174801054754, 51.452997414999395], [5.47974736996256, 51.453010265938836], [5.478589822134976, 51.45298778276001], [5.477866801681052, 51.45294414717305], [5.477747649474523, 51.45344821085216], [5.477612121044658, 51.45422827319903], [5.477254503259574, 51.456286498124875], [5.477089847170898, 51.45723409041923], [5.477998735247547, 51.45722845583462], [5.479159130163159, 51.4572651420688], [5.480005808204057, 51.45729190373644], [5.482327262713163, 51.4573598301071], [5.482593805195333, 51.457388442298054], [5.482795988905173, 51.457381788483914], [5.482924804917829, 51.45737754877753], [5.484912079286005, 51.457465331687004]]], ""type"": ""Polygon""}";51.45524744758665, 5.481382906581819
Lievendaal;In de periode 2023 / 2024;Wijk Halve Maan;Stadsdeel Strijp;"{""coordinates"": [[[5.4381275411052385, 51.441504086359096], [5.436339393486448, 51.44074459873598], [5.435381487015367, 51.4403245451521], [5.434952694416644, 51.4401365093861], [5.434530413597896, 51.439951325983266], [5.4323897921998485, 51.43904781509127], [5.432293322376745, 51.43900709616523], [5.431582991680765, 51.4387072633171], [5.430299967710991, 51.438197579439326], [5.429456953880674, 51.43784163329497], [5.429210479942076, 51.43773756204269], [5.42870950393086, 51.43757299794124], [5.428012802809934, 51.43727800583364], [5.427207890850616, 51.43697134098695], [5.425919499343005, 51.436644457484064], [5.425966804439858, 51.437616397829494], [5.426323033772491, 51.43960084250696], [5.426396762325534, 51.44002382456226], [5.426767069557202, 51.44196842483053], [5.427101684219654, 51.4437254512766], [5.427498375670924, 51.445860185771274], [5.4275402038482925, 51.44660712051048], [5.427412855655914, 51.44727727886947], [5.4271680491628205, 51.447980951411616], [5.426559411558557, 51.44883288074158], [5.4257136400310735, 51.449542046946505], [5.424605424121197, 51.45019309934201], [5.422380268319499, 51.4512729844045], [5.423269930679285, 51.45096715913664], [5.4253838853169345, 51.450197888099076], [5.427204198102732, 51.44968803936325], [5.429796816527323, 51.44909820016852], [5.431285903246854, 51.448699019790986], [5.43303084402801, 51.44810915278464], [5.435419526123171, 51.44713705439539], [5.4365285527277205, 51.44664603123358], [5.437282703403027, 51.44631211836662], [5.438744034123938, 51.44562049593395], [5.439664250513773, 51.445184953337275], [5.4408492561712025, 51.44461926219116], [5.441654844034318, 51.44423468213024], [5.443126177243869, 51.443532248968054], [5.442351682532453, 51.44329094607943], [5.442260481234755, 51.443262530292856], [5.440412948458029, 51.442474814212595], [5.440346863861677, 51.442446637125556], [5.439523498703275, 51.44209696160977], [5.4381275411052385, 51.441504086359096]]], ""type"": ""Polygon""}";51.44352340911949, 5.432238328736127
Kerstroosplein;Vanaf februari 2023;Wijk Kortonjo;Stadsdeel Stratum;"{""coordinates"": [[[5.493297807909147, 51.4235265634017], [5.493432083057609, 51.42336147156029], [5.494431442719221, 51.422106858017855], [5.4949547262598495, 51.4214504881808], [5.495051460975679, 51.42129248530987], [5.495115757071282, 51.42118746480069], [5.495405275119605, 51.42056901691572], [5.495441811341376, 51.42047619899846], [5.495620874815063, 51.42002128915392], [5.495877810347549, 51.419440088057605], [5.496333179704811, 51.41840997877639], [5.496441576323551, 51.41816857749423], [5.496540191020592, 51.41794895770311], [5.496932225230903, 51.417075864181896], [5.497061311373149, 51.41678836945801], [5.497331584841379, 51.41608812507147], [5.495759598455117, 51.41589581718581], [5.495451684148838, 51.415859745580136], [5.495061644241613, 51.4158140504908], [5.494547088528708, 51.41577030538257], [5.493072387734606, 51.415777942725384], [5.492150824300142, 51.415863316843705], [5.49141671782519, 51.41591792477166], [5.491666758271284, 51.4172698002439], [5.49168009291965, 51.41734189375618], [5.491808183970176, 51.418042546028396], [5.491948319237088, 51.41880904742844], [5.492016648299319, 51.41918724617739], [5.492059981972991, 51.419427096405975], [5.492201066038568, 51.420207972201005], [5.492379495787682, 51.42117522777875], [5.492432422816173, 51.42139895964655], [5.492698488686347, 51.422523637912185], [5.492886491568317, 51.423332575147526], [5.493067515415958, 51.42344279174932], [5.493297807909147, 51.4235265634017]]], ""type"": ""Polygon""}";51.41871318275768, 5.4940298820518825
Bloemenplein;In de periode 2023 / 2024;Wijk Oud-Stratum;Stadsdeel Stratum;"{""coordinates"": [[[5.487913334889891, 51.423738568960346], [5.4861960638169025, 51.42388428131909], [5.485858745589239, 51.42388820534741], [5.485520265278831, 51.42389731765073], [5.485655428031565, 51.42419027501427], [5.485973552024779, 51.42515597704985], [5.486176081115142, 51.42586889519556], [5.486577242417104, 51.427138068141986], [5.486656128822593, 51.427387636237064], [5.48689509793955, 51.42820595193743], [5.486886051663089, 51.428509002260846], [5.4881184640965195, 51.427484309669694], [5.488141266420551, 51.42746632872216], [5.488363334810545, 51.427291220760296], [5.4884166440270565, 51.427230381285774], [5.4886585208496514, 51.426954335120435], [5.488914895948626, 51.426661736611464], [5.489463968051275, 51.426065270142196], [5.489792633122524, 51.425831113508806], [5.49006554633641, 51.42570343120497], [5.490194555885595, 51.42565613557521], [5.49176028925005, 51.425201775190835], [5.49197518705055, 51.425139411760995], [5.492116221552625, 51.42501643911776], [5.4921722069001415, 51.4249253701483], [5.492277196738507, 51.42475459113348], [5.492409249066755, 51.424580622651426], [5.492793179430379, 51.42417318297835], [5.4924523938159755, 51.424044730474805], [5.491966995392754, 51.42392068579281], [5.49152261561486, 51.4238071209012], [5.49092046716374, 51.42370621076808], [5.490290688700213, 51.42365214488457], [5.488757498007586, 51.42366693118608], [5.487913334889891, 51.423738568960346]]], ""type"": ""Polygon""}";51.42527141225692, 5.488570777411908
Genderdal;In de periode 2023 / 2024;Wijk Oud-Gestel;Stadsdeel Gestel;"{""coordinates"": [[[5.447756827660379, 51.420609933853854], [5.447341203285623, 51.42040161743912], [5.446701205653362, 51.4202014693635], [5.445459875146149, 51.42003637367416], [5.445300396056577, 51.42073697610026], [5.445273754463112, 51.42105173819818], [5.445279384375231, 51.42111719909782], [5.445477602276099, 51.421611026466486], [5.445530671629815, 51.42176155496663], [5.446327487951693, 51.42302431909627], [5.447504866970786, 51.42489004484649], [5.4491512053964986, 51.42749863413215], [5.450183352946842, 51.429133883897], [5.450183990317602, 51.42936644767979], [5.449706175006098, 51.42990953187244], [5.4500926125790725, 51.43004570337725], [5.452893325661291, 51.43103254493511], [5.4536010066063145, 51.43120122282735], [5.453931393553496, 51.43137184830933], [5.454409513125079, 51.43180191051429], [5.455124874175404, 51.43122450268502], [5.455443749863389, 51.43102872058731], [5.455813898473298, 51.430801455096564], [5.455973016202722, 51.43070375845698], [5.457194923998502, 51.43013992393527], [5.459468773696759, 51.429090611886295], [5.460563307691637, 51.42863601295249], [5.459824895327519, 51.42809077069256], [5.459742702163579, 51.42803007825999], [5.459355641728011, 51.42776398522619], [5.457113842708554, 51.426222723706715], [5.456713608635175, 51.425947542253546], [5.454913566070612, 51.42476340396406], [5.452926134201987, 51.42339825845286], [5.452610181268273, 51.42318122224622], [5.452496356975529, 51.42310303338913], [5.451751654353732, 51.42267723249685], [5.4506996013792905, 51.42207567564405], [5.449113343290517, 51.42122718986405], [5.447820899042388, 51.420535825583684], [5.447756827660379, 51.420609933853854]]], ""type"": ""Polygon""}";51.426288074011325, 5.452285798416224
