Leveranciers;1110 - Verhuiskosten personeel binnen- en buitenland;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1180 - Reis & verblijfskosten;Eindtotaal
OSR Juridische Opleidingen B.V.;;;;;1;;;1
P.B.E. Positive Business Events;;;;;1;;;1
Parkhotel Den Haag;;;;;2;1;1;2
Party Point;;;1;;;;;1
Passionned B.V.;;;;;1;;;1
PDC Informatie Architectuur B.V.;;;;2;;;;2
Pels Rijcken & Droogleever Fortuijn N.V.;;;;2;;;;2
Petta Coaching & Advies;;;;;1;;;1
Phoenix Opleidingen;;;;;1;;;1
Planon B.V.;;;;;1;;;1
Plata Foundation Institute B.V.;;;;;1;;;1
Pllek-NDSM B.V.;;;;;;1;;1
PQ Consult;;;;;1;;;1
Primera Den Haag;;;2;;;;;2
Promopodium B.V.;;;2;;;;;2
Public Support Groep B.V.;;;;;1;;;1
Qompas B.V.;;;;2;;;;2
Quadrant Advies;;;;;2;;;2
Randstad Bouw;;;;2;;;;2
Regina Bloemsierkunst;;;1;;;1;;1
Regina Coeli Language Courses B.V.;;;;;3;;;3
Regus Amsterdam B.V.;;;;;1;;;1
Restaurant De Basiliek B.V.;;;1;;;1;;1
Restaurant De Hanepoel;;;1;;;;;1
Restaurant De Knip;;;;;;1;;1
Restaurant Fouquet;;;1;;;;;1
Restaurant Onz;;;1;;;;;1
Restaurant Pastis;;;1;;;1;;1
Restaurant Sarinande;;;1;;;1;;1
Reynaarde Talentontwikkeling;;;;;1;;;1
Rockstart Spaces B.V.;;;1;;;;;1
Roos Wouters;;;;;;1;;1
Rooymans Neckwear B.V.;;;;;;1;;1
Russia Academy;;;;;2;;;2
Sabel Online B.V.;;;;;;1;;1
Schellekens/Partners Train. Coaching Adv. BV;;;1;;;;;1
Schiphol Nederland B.V.;;;;;;1;3;3
Schoevers Trainingen B.V.;;;;;2;;;2
Schollebos Wellness- en Racquetclub B.V.;;;;;;1;;1
Schouten & Nelissen Nederland B.V.;;;;;2;;;2
Sdu Uitgevers B.V.;;;;;1;;;1
Simian B.V.;;;;;;1;;1
Skils B.V.;;1;;;;;;1
Smelt advies;;;;1;2;;;2
Sodexo Altys B.V.;;;4;1;1;3;;5
SOS International Amsterdam;;3;;;;;;3
Specialtours Events;;;1;;;;;1
SPITZ congres & event B.V.;;;;;1;;;1
Sprekershuys B.V.;;1;;1;;;;1
Stadsherberg 't Goude Hooft;;;1;;;;;1
Stavoor B.V.;;;;;2;;;2
Steranijs catering;;;1;;;;;1
Stg. Sioo, Int.univ. Centr. Veranderkunde;;;;;1;;;1
Sticht. ROI v/h het Rijks Opleidingsinstituut;;;1;;1;;;1
Stichting de Basis;;;;2;;;;2
Stichting de Idazaal;;;;;1;;;1
Stichting De Ooievaart;;;1;;;;;1
Stichting Den Haag Marketing;;;2;;;;;2
Stichting Fonds Instituut Clingendael;;;1;;5;1;;5
Stichting Humanity House;;;;;;1;;1
Stichting Internat. Perscentrum 'Nieuwspoort';;;1;;;1;;1
Stichting Springtij Festival Terschelling;;;;;;1;;1
Stichting Vrienden van Oikos;;;;;1;;;1
Stoas Wageningen Vilentum Hogeschool;;;;;1;;;1
Strandpaviljoen Buiten B.V.;;;1;;;;;1
Strandpaviljoen De Kwartel;;;1;;;;;1
Strandpaviljoen 'Escubelle';;;1;;;;;1
Taxicentrale Den Haag;;;;;;;1;1
TEAMWORK;;;;;1;;;1
The Changery;;;;;1;;;1
Theatersport Den Haag;;;;;1;;;1
Thinking of Holland;;;1;;;;;1
Toeback;;;1;;;;;1
Tonco Modderman Training & Advies;;;;;2;;;2
Top Movers Nederland B.V.;;;1;;;;;1
Topbloemen Nederland B.V.;;;1;;1;1;;1
TOP-uitje.nl;;;1;;;;;1
Tower Leisure B.V.;;;1;;;;;1
Tri Tunggal;;;1;;;;;1
TriamFloat B.V.;;;;;1;;;1
Tulser Improvement Factory B.V.;;;;;1;;;1
Uitgeverij H. Nelissen B.V.;;;;;1;;;1
Umami Restaurant Den Haag B.V.;;;;;;1;;1
UP learning B.V.;;;;;2;;;2
Urban Oasis;;;1;;;;;1
UTS International (Europe) B.V.;7;;;;;;;7
Van der Hilst Communicatie-Advies;;;;;1;;;1
Van der Staay Opleidingen;;;;;2;;;2
Van der Valk Hotel Heerlen;;;;;;;1;1
Van der Veeken en De Bruijn Trainingen B.V.;;;;;1;;;1
Van Gils Consultancy;;;;;1;;;1
Van Harte & Lingsma Manag. en Organis. B.V.;;;;;3;;;3
Van Kleef;;;1;;;;;1
Van Rijn-Dewina Praktijk B.V.;;;;;1;;;1
VCK Travel B.V.;7;;;;2;2;8;8
VDS Companies;;;;;1;;;1
Ver. v. 'Schilderk. Gen. Pulchri Studio';;;;;;1;;1
Vereniging VNO-NCW;;;1;;1;1;;2
Vermaat Leisure B.V.;;;1;;;1;;1
Vhic Faculty B.V.;;;;;2;;;2
Vijverberg Juristen I B.V.;;;;;1;;;1
VIStrainingen B.V.;;;1;;;;;1
Vitam Education B.V.;;;;;1;;;1
Vlaardingse Taxicentrale B.V.;;;;;;;1;1
Waterkant Roeibotenverhuur-Theeschenkerij;;;1;;;;;1
WEKA Business Media B.V.;;;;;1;;;1
World Forum Convention Center N.V.;;;;1;1;1;;2
Xerox (Nederland) B.V.;;;;;1;1;;1
Xportwise;;;;;3;;;3
YESGIFTS.NL B.V.;;;;;;1;;1
Ynnovate;;;;;1;;;1
Your Choice Catering;;;;;;1;;1
Zorg voor Party;;;;;1;;;1
Eindtotaal;8;6;5;5;7;5;8;9
