FID,objrijksnr,objectnaam,provco2000,gemnm2000,cbs_tekst,type,soort_obj,straatnaam,huisnummer,toevoeging,postcode,woonplaats,x,y,comrijksnr,comnaam,ligging,catalog_nr,dienst,catalgnaam,se_anno_cad_data,gdb_geomattr_data,shape
historische_bouwkunde.31,9799, ,GR,Ten Boer,Molens,Molens,Gebouw,Kollerijweg,5, ,9795 PL,WOLTERSUM,244836,587930,0, ,XY in het pand,B3,Noord-Nederland,Houtzaagmolen De Farm,,,POINT (244830.27100000158 587928.0879999995)
historische_bouwkunde.32,30348, ,GE,Neerijnen,Molens,Molens,Gebouw,Zeek,6, ,4174 LH,HELLOUW,138957,428778,0, ,XY in het pand,B6,Oost-Nederland,Wipmolen,,,POINT (138956.72100000083 428777.7679999992)
historische_bouwkunde.33,31449, ,OV,Olst,Molens,Molens,Gebouw,IJsseldijk,63, ,8196 KC,WELSUM,203115,483463,0, ,XY in het perceel,B9,Oost-Nederland,Windkorenmolen,,,POINT (203114.4990000017 483463.4829999991)
historische_bouwkunde.34,34367, ,OV,Staphorst,Agrarische gebouwen,Agrarische gebouwen,Gebouw,Rijksparallelweg,1, ,7951 KA,STAPHORST,210035,517727,0, ,XY in het perceel,B7,Oost-Nederland,Staphorster boerderij,,,POINT (210033.46599999815 517727.01000000164)
historische_bouwkunde.35,39810, ,FR,Wymbritseradiel,Molens,Molens,Gebouw, ,0, ,8625 ZA,OPPENHUIZEN,177604,558486,0, ,XY in het perceel,B5,Noord-Nederland,Geeuwpoldermolen,,,POINT (177602.8990000002 558483.807)
historische_bouwkunde.36,483396,Villa Gelria,GR,Groningen,"Gebouwen, woonhuizen",Gebouwen,Gebouw,Verlengde Hereweg,163, ,9721 AN,GRONINGEN,234824,579226,483379,Villa Gelria,XY in het pand,B1,Noord-Nederland,Villa 'Gelria',,,POINT (234819.2650000006 579224.188000001)
historische_bouwkunde.37,499261, ,FR,Smallingerland,Kerkelijke gebouwen,Kerken,Klooster,Burgemeester Wuiteweg,162, ,9203 KP,DRACHTEN,202655,567748,0, ,XY in het pand,B4,Noord-Nederland,Karmelklooster,,,POINT (202652.45199999958 567745.7840000018)
historische_bouwkunde.38,512256, ,OV,Wierden,"Gebouwen, woonhuizen",Gebouwen,Gebouw,Nijverdalsestraat,98, ,7642 LG,WIERDEN,235782,486465,512255,Pomp,XY in het pand,B8,Oost-Nederland,Pompgebouwen en filtergebouw,,,POINT (235781.03700000048 486466.5229999982)
historische_bouwkunde.39,513166, ,FR,Opsterland,Agrarische gebouwen,Agrarische gebouwen,Stookhok,Beetsterweg,16, ,9244 GC,BEETSTERZWAAG,199900,564262,513164,Complex,XY in het pand,B2,Noord-Nederland,Stelpboerderij met stookhok,,,POINT (199897.6799999997 564259.9019999988)
historische_bouwkunde.40,6499, ,NH,Amsterdam,"Gebouwen, woonhuizen",Gebouwen,Gebouw,Zeeburgerdijk,313, ,1095 AD,AMSTERDAM,125579,486587,0, ,XY bij de straat,B24,Noord-Holland,Woonhuis,,,POINT (125579.35300000012 486587.0789999999)
historische_bouwkunde.41,8117,Oostermeer,NH,Amstelveen,"Kastelen, landh. ed.","Kasteel, landhuis o.i.d.",Gebouw,Amsteldijk Noord,36, ,1184 TD,AMSTELVEEN,121785,479472,0, ,XY in het pand,B22,Noord-Holland,Landhuis,,,POINT (121785.27800000086 479472.2120000012)
historische_bouwkunde.42,23925, ,NH,Langedijk,Molens,Molens,Gebouw,Oosterdijk,1, ,1721 PB,BROEK OP LANGEDIJK,117051,521020,0, ,XY in het pand,B23,Noord-Holland,Poldermolen D of Oosterdel,,,POINT (117052.12200000137 521019.51000000164)
historische_bouwkunde.43,25791, ,UT,Leusden,Agrarische gebouwen,Agrarische gebouwen,Gebouw,Vlooswijkseweg,3, ,3832 RG,LEUSDEN,153963,460255,0, ,XY in het pand,B20,Utrecht,Boerderij,,,POINT (153962.9990000017 460254.9979999997)
historische_bouwkunde.44,30449, ,ZH,Nieuwerkerk aan den IJssel,"Gebouwen, woonhuizen",Gebouwen,Gebouw,Klein Hitland,10, ,2911 BR,NIEUWERKERK AD IJSSEL,103731,441303,0, ,XY bij de straat,B27,Zuid-Holland,Steenovens,,,POINT (103730.43400000036 441303.5480000004)
historische_bouwkunde.45,31952, ,NH,Ouder-Amstel,Molens,Molens,Gebouw,Binnenweg,2, ,1191 AA,OUDERKERK AAN DE AMSTEL,122097,479596,0, ,XY in het pand,B21,Noord-Holland,Molen 'De Zwaan',,,POINT (122097.27800000086 479596.20600000024)
