FID,omschrij_1,status,mutatie_dd,opmerking,gebied,divided,se_anno_cad_data,gdb_geomattr_data,shape
bonn_agreement_2006.11,Quick Response Zone, ,2008-11-05T00:00:00,"Annex to the Bonn Agreement, London 2006","Ned, UK, Fra en Bel zuidgrens",1/4,,,"LINESTRING (380279.3250000002 5662364.247099999, 394974.1803000001 5662014.8353, 397782.2706000004 5661958.373500001, 404040.5022 5661838.0496, 415286.31290000025 5661640.935799999, 429981.7335999999 5661420.350199999, 432790.69579999987 5661382.958000001, 450295.3503999999 5661184.4366999995, 464990.41089999955 5661063.682700001, 467800.2511 5661053.350500001, 470699.99760000035 5661044.293)"
bonn_agreement_2006.12,Grens oliebestrijding, ,2008-11-05T00:00:00,"Annex to the Bonn Agreement, London 2006",UK zuidgrens,1/4,,,"LINESTRING (-419146.3705000002 5409197.6017, -465770.6034000004 5417017.7042)"
bonn_agreement_2006.13,Quick Response Zone, ,2008-11-05T00:00:00,"Annex to the Bonn Agreement, London 2006",Duitsland en Denemarken,1/4,,,"MULTILINESTRING ((887699.2303999998 6055603.848200001, 872098.0212000003 6054297.8826, 855932.4957999997 6053001.677100001, 839764.7352 6051763.2574000005, 823594.8449999997 6050582.6006000005, 807422.9291000003 6049459.6819, 791249.0904000001 6048394.480900001, 775073.4320999999 6047386.9756000005, 758896.0580000002 6046437.148, 742717.0685999999 6045544.978499999, 726536.5685999999 6044710.449999999, 725150.0801999997 6072512.251700001, 723759.2721999995 6100314.784700001, 722364.1726000002 6128118.0484, 721703.1557999998 6141262.2158, 720964.8059999999 6155922.040100001, 719561.2006999999 6183726.7564, 719092.4134999998 6192994.7852), (719092.4134999998 6192994.7852, 734740.4836999997 6193815.0304000005, 750386.8953 6194691.9187, 766031.5389999999 6195625.465600001, 781674.3000999996 6196615.6862, 797315.0679000001 6197662.5976, 812953.7290000003 6198766.2184999995, 822863.3320000004 6199494.9846), (719092.4134999998 6192994.7852, 719092.3964999998 6192995.118899999), (719175.2676999997 6193071.1219999995, 719175.7155999998 6193071.146600001, 719175.7155999998 6193071.1543000005))"
bonn_agreement_2006.14,Grens oliebestrijding, ,2008-11-05T00:00:00,"Annex to the Bonn Agreement, London 2006",Ierland - UK Zuid,1/4,,,"LINESTRING (-44683.80950000044 6015414.5985, -63545.22109999973 6017779.8027)"
bonn_agreement_2006.15,Grens oliebestrijding, ,2008-11-05T00:00:00,"Annex to the Bonn Agreement, London 2006",Denemarken - Noorwegen,aut,,,"LINESTRING (515465.25519999955 6215677.487299999, 530380.3410999998 6223339.1906, 545242.3073000005 6231052.8751, 560050.9862000002 6238818.3882, 574806.2099000001 6246635.575999999, 589507.8084000004 6254504.283299999, 604155.6111000003 6262424.3544, 618749.4435 6270395.6326, 624772.9308000002 6273709.302100001, 633224.0231999997 6278751.5547, 647595.4028000003 6287393.3167, 661908.6047999999 6296085.0886, 676163.4428000003 6304826.695800001, 690359.7286 6313617.9638, 704497.2730999999 6322458.716399999, 718575.8872999996 6331348.773700001, 732595.3797000004 6340287.9562, 737861.1266000001 6343668.0305, 746547.1858000001 6349312.5909, 760434.1162999999 6358407.9825, 774260.9620000003 6367551.864800001, 788027.5251000002 6376744.048900001, 798430.1952 6383749.130100001, 801809.5396999996 6385651.2497000005, 815775.1980999997 6393560.9366999995, 825774.4809999997 6399272.888800001, 829791.1627000002 6401010.927100001, 844023.3224999998 6407213.196900001, 850650.3164999997 6410124.684800001, 856814.7555 6418245.3192, 868298.9464999996 6433496.5878, 877017.5469000004 6445183.820800001, 879969.5418999996 6448028.812899999, 892468.6643000003 6460147.3531, 904889.5689000003 6472307.835200001, 911968.085 6479291.304300001)"
bonn_agreement_2006.16,Grens oliebestrijding, ,2008-11-05T00:00:00,"Annex to the Bonn Agreement, London 2006",Denemarken - Duitsland,aut,,,"LINESTRING (521782.659 6197074.079, 531833.6190999998 6194228.095799999, 547314.5324999997 6189897.534, 562826.9771999996 6185622.252900001, 578325.2800000003 6181414.6182, 578363.1074000001 6181366.960999999, 591332.4364 6165106.094900001, 604396.4795000004 6148883.418, 610723.0098000001 6141082.8015, 618517.7313000001 6136096.862500001, 633606.5987 6126515.713099999, 636578.0192 6124639.8004, 649346.1294 6125052.068, 652678.6725000003 6125165.7349, 662220.0820000004 6138748.828, 673560.9226000002 6155036.6622, 674410.0483999997 6154788.366900001, 690138.9913999997 6150223.8474, 705903.4013999999 6145715.0932, 721703.1557999998 6141262.2158)"
bonn_agreement_2006.17,Grens oliebestrijding, ,2008-11-05T00:00:00,"Annex to the Bonn Agreement, London 2006",Nederland - Duitsland,aut,,,"LINESTRING (523141.85819999967 6179909.953400001, 537554.7615999999 6168629.7103, 552042.1633000001 6157397.1899, 566603.8454 6146212.583900001, 581239.5941000003 6135076.083000001, 584491.2703999998 6132615.980799999, 595743.1957999999 6123155.850299999, 610266.5395999998 6111045.808, 624868.5933999997 6098982.661699999, 627841.1549000004 6096540.608100001, 628474.5725999996 6074370.1141, 628635.5722000003 6068726.2458999995, 629047.6915999996 6054263.180299999, 633241.2067 6051317.696699999, 648420.9929 6040719.148399999, 663671.7089 6030170.373199999, 678993.1588000003 6019671.534700001, 694385.1509999996 6009222.794600001, 695655.4060000004 6008364.8574, 703566.2289000005 5987914.5788)"
bonn_agreement_2006.18,Grens oliebestrijding, ,2008-11-05T00:00:00,"Annex to the Bonn Agreement, London 2006",Nederland - UK,aut,,,"LINESTRING (523141.85819999967 6179909.953400001, 517258.3196999999 6154163.479599999, 511303.8761 6128426.1017, 505278.8331000004 6102697.903000001, 499183.49399999995 6076978.9627, 493342.75299999956 6052615.441, 492928.5346999997 6051344.2663, 484974.2993999999 6027077.318299999, 484535.1523000002 6025745.3971, 488164.2933 6000217.5471, 491159.6087999996 5979366.435799999, 492240.6188000003 5973300.1756, 497016.8152999999 5946690.321799999, 497044.4594999999 5946537.2106, 499135.18200000003 5937265.020500001, 501013.95660000015 5924470.7443, 501644.4212999996 5920035.741699999, 503684.1069 5905744.6491, 505839.46559999976 5893119.7642, 510444.9707000004 5866366.0243999995, 511683.9950000001 5859219.1161, 513734.5263 5848100.270300001, 513051.9561999999 5839409.8148, 512318.8942999998 5830112.697699999, 506500.3547 5814364.9509, 503875.03529999964 5807295.1261, 495474.04640000034 5793393.6833, 495360.28839999996 5793206.0792, 488973.6902999999 5783946.844799999, 482574.55289999954 5775119.822000001, 480385.0104 5772108.619999999, 479580.51889999956 5770814.1285, 476459.73039999977 5762856.5068, 474267.5345999999 5759159.600199999, 471591.13599999994 5753902.6204, 467545.09690000024 5745978.7959)"
bonn_agreement_2006.19,Grens oliebestrijding, ,2008-11-05T00:00:00,"Annex to the Bonn Agreement, London 2006",Noorwegen - UK,aut,,,"LINESTRING (515465.25519999955 6215677.487299999, 510042.4018000001 6223379.281300001, 497914.5273000002 6240729.8846, 485885.19689999986 6258115.197000001, 476162.8540000003 6272297.3528, 474925.7363 6276936.3715, 468312.29229999986 6301923.1226, 461780.22780000046 6326921.3793, 455329.86450000014 6351931.0156, 448961.5226999996 6376951.8993999995, 442675.51910000015 6401983.895300001, 438566.3808000004 6418533.829500001, 435282.34979999997 6425541.369000001, 425666.8677000003 6446223.5233, 416155.24990000017 6466929.998400001, 411336.61340000015 6477516.812999999, 413459.95710000023 6490634.6373, 417763.56439999957 6517455.0901999995, 422017.15759999957 6544280.744899999, 426220.52550000045 6571111.5658, 426512.93400000036 6572990.2927, 433730.1172000002 6595047.509, 441402.4634999996 6618780.709100001, 448244.4955000002 6640202.344900001, 448017.9835000001 6642882.4749, 445728.29860000033 6670240.694800001, 443479.49120000005 6697601.463199999, 441271.7034999998 6724964.737600001, 439105.0767999999 6752330.4746, 436979.74990000017 6779698.629000001, 435198.4746000003 6803060.2815000005, 434250.3252999997 6806568.173, 427831.4840000002 6830526.6581999995, 423835.10140000004 6845633.8211, 423504.06680000015 6845641.166999999, 421092.96800000034 6853587.613600001, 414165.6294 6876654.206900001, 407340.19930000044 6899735.980799999, 405352.3117000004 6906527.067899998, 403640.1030000001 6912049.841499999, 402018.9902999997 6917059.7522, 400404.6786000002 6921928.001800001, 400269.11089999974 6922318.878600001, 398712.70940000005 6926813.9857, 396975.17090000026 6931729.3356, 395160.5658999998 6936662.0885999985, 392752.6875 6943349.656300001, 392589.76609999966 6943782.0799, 390191.98149999976 6950161.477699999, 387026.3568000002 6958268.9179, 384536.7235000003 6964398.332699999, 379993.7812999999 6975652.7018, 376296.7248999998 6984466.146499999, 376145.2604 6984828.427200001, 372026.93010000046 6994270.767099999, 367719.38019999955 7003628.122400001, 359114.4068 7022517.357999999, 350619.3892999999 7041430.6954, 342234.6216000002 7060367.737100001)"
bonn_agreement_2006.20,Grens oliebestrijding, ,2006-09-18T00:00:00,BONN83.shp,UK - Frankrijk,aut,,,"LINESTRING (-419146.89410000015 5409197.648499999, -400098.8278000001 5413803.0591, -381096.22759999987 5418468.064099999, -362139.11760000046 5423192.555400001, -343227.5240000002 5427976.4265, -324361.4768000003 5432819.572000001, -305541.0064000003 5437721.888699999, -286766.1462000003 5442683.2719, -268036.9310999997 5447703.621200001, -249353.40020000003 5452782.8343, -230715.59269999992 5457920.8116999995, -212123.5510999998 5463117.454500001, -193577.32070000004 5468372.664000001, -175076.94730000012 5473686.3440000005, -156622.4813000001 5479058.397399999, -138213.97369999997 5484488.729599999, -132946.7034 5486055.7554, -131698.96310000028 5486224.0831, -119882.38019999955 5485634.080399999, -107485.97350000031 5485042.4922, -104179.19189999998 5485362.9629999995, -101545.93989999965 5485695.5788, -95474.8245000001 5486467.4133, -83155.9841 5489333.161699999, -64814.35300000012 5493656.828, -47383.80169999972 5497829.013599999, -46528.357699999586 5498219.835100001, -33482.29169999994 5504203.2675, -28766.580299999565 5504271.5813, -28534.41849999968 5504319.475199999, -10281.50250000041 5508118.6095, -1321.80719999969 5510007.827, 7912.096499999985 5509779.3386, 14492.527499999851 5509626.0766, 24089.04059999995 5509707.929500001, 26037.800599999726 5510636.9548, 41580.272900000215 5518082.3837, 43764.947300000116 5518958.836100001, 61604.40950000007 5526159.041999999, 72211.04710000008 5530476.7784, 77154.86209999956 5539271.174799999, 83554.62710000016 5550696.788899999, 92056.93939999957 5553304.710200001, 109912.07100000046 5558833.6785, 127724.30539999995 5564420.2684, 138698.45880000014 5567897.6325, 145529.1146999998 5567443.291099999, 163378.76429999992 5566297.661800001, 178484.1202999996 5565375.192299999, 181221.55759999994 5565096.188999999, 199024.6741000004 5563316.615900001, 214107.34250000026 5561856.3291, 216832.10680000018 5561573.4013, 234636.67339999974 5559759.5942, 249739.84619999956 5558268.451300001, 252337.79629999958 5559703.9132, 267474.3208999997 5568107.711300001, 269485.3431000002 5568193.604499999, 287349.7348999996 5568990.1548999995, 288626.68450000044 5569049.4026999995, 305116.9774000002 5572537.1382, 322849.5098000001 5576350.072899999, 329319.4126000004 5577757.431600001, 340147.9378000004 5583289.651900001, 341918.9013 5584197.6262, 355157.1662999997 5598574.5831, 367255.7352999998 5611809.786900001, 369404.2198000001 5615461.3157, 377123.284 5628627.9067, 378912.5354000004 5638365.7028, 379141.4146999996 5639613.594699999, 384489.7416000003 5645455.8309, 393989.8223000001 5652125.882200001, 398107.9550999999 5655027.964400001, 404040.5022 5661838.0496)"
bonn_agreement_2006.21,Grens oliebestrijding, ,2008-11-05T00:00:00,"Annex to the Bonn Agreement, London 2006",Noorwegen noordgrens,1/4,,,"LINESTRING (342234.6216000002 7060367.737100001, 673264.3757999996 7061188.236099999)"
