VOETAFDRUK_M2;FILTERLENGTE;OPGESLAGEN_HOEVEELHEID_WARM_WA;OPGESLAGEN_HOEVEELHEID_KOUD_WA;ENERGIEBALANS_PERCENTAGE;THERMISCHE_STRAAL_W_M;THERMISCHE_STRAAL_K_M;WATERVOEREND_PAKKET;WARMTE_EN_KOUDE_OPSLAGSYS_ID;WARMTE_KOUDE_OPSLAGSYSTEEM;ID;GUID
35358;25;54000;54000;56;31.3;31.3;2;78321;Gezondheidscentrum De Brink, terrein Parnassia;794146;{FE168954-E5D4-4966-8DE9-79D88BE99EC7}
124231;45;341500;341500;-12;58.7;58.7;3;78323;Kantorencomplex De Monarch 2;793858;{D5592895-C4F4-4B38-B941-EE1884D2A57F}
61388;40;150000;150000;;41.3;41.3;3;78325;Kantoor Hoge Raad;793821;{5F0D5AB0-8AEF-4D67-BCF5-EF2C8677EA18}
62206;13;49400;49400;10;41.6;41.6;2;78328;Kantoorgebouw Parnassia voor dubbele problematiek;794151;{67B590C0-B5C3-4784-BFCA-5DF32251632B}
125924;26;200000;200000;-42;59.1;59.1;1;78297;Ministerie van Buitenlandse Zaken/Kon. Bibliotheek;793853;{FF078C37-0A91-4F43-A8F3-743F4C2FBFA2}
316490;35;300000;300000;-12;62.4;62.4;1;78298;Provinciehuis Zuid-Holland;794007;{6477C75F-A89C-4139-B50D-6BACE516663F}
73666;20;90000;90000;24;45;45;1;78300;Nederlands Congresgebouw;794036;{BEC29B20-9A54-4D21-8565-DA904C178AAA}
283330;26;450000;450000;18;88.7;88.7;1;78301;Paleis van Justitie;794066;{A113663C-D381-4DFE-B363-284208406B96}
317173;40;775000;775000;-6;93.9;93.9;1;78302;stadsdeel de Resident + Ministerie van VROM;793839;{6EFEED5D-76F2-48AE-8C48-9FC46B5E6DB0}
90036;50;2750000;2750000;32;50;50;3;78306;Politie Haaglanden;793877;{5269AC6B-3A58-474D-90F2-37E9F27B6FB0}
474445;50;1450000;1450000;-70;114.8;114.8;2;78307;HagaZiekenhuis;793960;{B90D9A0F-F774-4EED-8FC1-F646704E4079}
58932;25;90000;90000;;41.6;41.6;2;78308;Parnassia verslavingskliniek;794147;{5D560DE7-0EBF-46B2-B0AA-9FABED03592E}
87320;15;110000;55000;-12;57.7;40.8;2;78275;Stichting Samenwerkende Ziekenhuizen;793985;{6CFAE784-109B-4FF0-B435-92ADFEA984CF}
164819;35;255000;465000;48;57.6;77.7;3;78276;Woningen en appartementen Remu Project;793890;{2A91EDCE-3E51-4C65-8825-79A0C1FD5697}
45672;30;83700;83700;-42;35.6;35.6;1;78277;Raad van State;794145;{F1A6AEFD-E938-4142-89B3-48776BCF9367}
72394;30;140000;140000;48;46.1;46.1;3;78278;Nationaal Automobielmuseum;794150;{9C2F0A9F-52DD-4F14-A65B-8B3740FE8330}
21047;35;45000;45000;72;24.2;24.2;3;78279;Ministerie Landbouw, Natuur en Voedselkwaliteit;793857;{D5EC5644-F3D2-48AA-BEC8-EBAEEE05FD39}
464406;26;470000;514000;25;90.7;94.8;1;78280;Project New-Babylon;793846;{26A2CF05-24D1-49CE-8078-322831E3101D}
45660;32;75000;105000;41;32.6;38.6;2;78281;Motorhuis Kerktuinen;794148;{BC67E6CA-21C8-4203-A60F-B12FB2736DCD}
64482;55;200000;240000;42;40.1;44.5;3;78282;Spoorwijk II (Appartementen);794143;{818DFE81-156B-40EF-9B0A-EDFDD8C2C9B6}
87697;35;375000;375000;15;69.8;69.8;1;78283;Ministerie van Financiën;793838;{1D7010AA-8BB4-476C-B1EE-DFF4FD45042A}
184061;35;350000;440000;;67.4;75.6;3;78284;Laakhaven-Westgebouw;793889;{D71E1BD9-2522-4BD2-8566-4CFC8906878B}
180072;20;220000;220000;;70.7;70.7;1;78285;Ministerie van Economische Zaken;793855;{BEC30752-44B8-4175-B592-B289FDC5AD37}
86528;35;185000;185000;50;49;49;3;78286;Woningen Spoorwijk fase III;794142;{8CDD2E8E-462D-4022-BADA-84F006873100}
154772;55;520000;520000;44;65.6;65.6;2;78287;Stadskantoor Leyweg;794140;{1BB31942-2B31-41C0-9FDB-1DF70FAA9457}
58985;60;225000;207500;27;41.3;39.7;2;78288;Woningen Transvaalbuurt;793888;{AA6DC088-8236-4940-BAE6-1D9030A7824A}
54866;15;51200;49350;-1;39.4;38.7;2;78289;Stichting Florence;794139;{EDCE5155-A0C0-4E55-86B3-443D4B3A366A}
504168;20;600000;620000;-19;117;120;1;78290;Hogeschool INHolland;793856;{3D8BD07C-304C-4AB7-BBD4-2C9A851F1CB9}
43108;30;79000;79000;25;34.6;34.6;1;78265;Hofzichtpark;793867;{F7325CBD-AA4B-4D34-8A50-8A6FBB43CC81}
212813;30;390000;390000;-23;77;77;1;78266;kantoren,-winkel,-Bioscoopcomplex Spuimark;793863;{05B410BF-8ACB-4EC0-AC38-6EFD08F95344}
70937;30;260000;260000;7;62.8;62.8;1;78268;Ministerie van Defensie;793843;{1821E4BC-D7CA-4D54-83AF-F2611FF5AA87}
138547;13;106000;117000;7;60.1;63.9;2;78269;Haagse Hoge Huys;793885;{08091AA0-EE71-42D3-8CEF-4ADE408A7397}
