OBJECTID,BORNAME,ELEMENTNUMMER,BEHEERGROEP,AANLEGJAAR,SCHOUWVAK,PEILGEBIED,OPPERVLAK,AMBITIENIVEAU,STRUCTUURGEBIED,BESCHOEIING,BEHEERDER,EIGENAAR,ONDERHOUDSPLOEG,FUNCTIE,AANWIJINGEN_UITVOERING,STRUCTUURNIVEAU,BEGROTINGSPOST,BESTEMMING,OPMERKINGEN,EXTRA_INFORMATIE_1,EXTRA_INFORMATIE_2,EXTRA_INFORMATIE_3,GROENGEBIEDCODE,GROENGEBIEDNAAM,GEMEENTE,WOONPLAATS,BUURT,WIJK,STRAAT,STRAATCODE,LIGGING,BEHEEROBJECTSOORT,BEHEEROBJECTOMSCHRIJVING,LAATSTE_MUTATIE,Shape__Area,Shape__Length
24,wateren,3907,Water niet maaien,,,,4111.64,C (matig) - R- (sober),,,BOR,,,,,Perceel 2,,,,01.14.0006.087,2 zijdig maaien,Louis,01.14.0006,Harnaschpolder,Delft,Delft,,14 Voordijkshoorn,Vrouw Rijssensloot,0235,Binnen de bebouwde kom,wtr,01.14.0006.wr3907,"12 january   2022, 14:45:37",10834.1188964844,1493.6964620246
25,wateren,5,Greppel,,,,14,C (matig) - R- (sober),,,BOR,Gemeente Delft,,,,Perceel 2,,,,,,,01.25.0003,Gillisbuurt,Delft,Delft,,25 Buitenhof,Prinses Beatrixlaan,4324,Binnen de bebouwde kom,wtr,01.25.0003.wr5,"12 january   2022, 14:45:38",36.86328125,54.4436483568939
26,wateren,3,Greppel,,,,6.85,C (matig) - R- (sober),,,BOR,Gemeente Delft,,,,Perceel 2,,,,,,,01.25.0003,Gillisbuurt,Delft,Delft,,25 Buitenhof,Prinses Beatrixlaan,4324,Binnen de bebouwde kom,wtr,01.25.0003.wr3,"12 january   2022, 14:45:38",18.04443359375,25.5029583213929
27,wateren,3909,Water 1x maaien,,,,2625.09,C (matig) - R- (sober),,,BOR,Gemeente Delft,,,,Perceel 2,,,,01.14.0005.1713,2 zijdig maaien,Louis,01.14.0005,Hoornse Hof,Delft,Delft,Hoornse Hof,14 Voordijkshoorn,Polderpad,9148,Binnen de bebouwde kom,wtr,01.14.0005.wr3909,"12 january   2022, 14:45:37",6918.08447265625,781.819152948782
28,wateren,2,Greppel,,,,42.86,C (matig) - R- (sober),,,BOR,Gemeente Delft,,,,Perceel 2,,,,,,,01.25.0001,Buitenhof-noord,Delft,Delft,Buitenhof-Noord,25 Buitenhof,Prinses Beatrixlaan,4324,Binnen de bebouwde kom,wtr,01.25.0001.wr2,"12 january   2022, 14:45:38",112.876953125,142.023717139578
29,wateren,3914,Water 1x maaien,,,,611.07,C (matig) - R- (sober),,,BOR,,,,,Perceel 2,,,,01.14.0006.0063,2 zijdig maaien,,01.14.0006,Harnaschpolder,Delft,Delft,,14 Voordijkshoorn,Vrouw Rijssensloot,0235,Binnen de bebouwde kom,wtr,01.14.0006.wr3914,"12 january   2022, 14:45:37",1610.05786132813,270.73617137348
30,wateren,3916,Water niet maaien,,,,508.44,C (matig) - R- (sober),,,HH-schap Delfland,,,,,Perceel 2,,,,01.14.0003.0559,2 zijdig maaien,,01.14.0003,Marlot,Delft,Delft,Marlot,14 Voordijkshoorn,Polderpad,9148,Binnen de bebouwde kom,wtr,01.14.0003.wr3916,"12 january   2022, 14:45:37",1339.66284179688,260.684086976162
31,wateren,1,Greppel,,,,15.98,C (matig) - R- (sober),,,BOR,Gemeente Delft,,,,Perceel 2,,,,,,,01.25.0003,Gillisbuurt,Delft,Delft,,25 Buitenhof,Prinses Beatrixlaan,4324,Binnen de bebouwde kom,wtr,01.25.0003.wr1,"12 january   2022, 14:45:38",42.069580078125,54.588899514382
32,wateren,2,Greppel,,,,48.57,C (matig) - R- (sober),,,BOR,Gemeente Delft,,,,Perceel 2,,,,,,,01.25.0003,Gillisbuurt,Delft,Delft,,25 Buitenhof,Prinses Beatrixlaan,4324,Binnen de bebouwde kom,wtr,01.25.0003.wr2,"12 january   2022, 14:45:38",127.900634765625,160.02030315221
33,wateren,1,Greppel,,,,40.19,C (matig) - R- (sober),,,BOR,Gemeente Delft,,,,Perceel 2,,,,,,,01.25.0001,Buitenhof-noord,Delft,Delft,Buitenhof-Noord,25 Buitenhof,Prinses Beatrixlaan,4324,Binnen de bebouwde kom,wtr,01.25.0001.wr1,"12 january   2022, 14:45:38",105.859130859375,133.42929534393
34,wateren,4,Greppel,,,,25.25,C (matig) - R- (sober),,,BOR,Gemeente Delft,,,,Perceel 2,,,,,,,01.25.0001,Buitenhof-noord,Delft,Delft,Buitenhof-Noord,25 Buitenhof,Prinses Beatrixlaan,4324,Binnen de bebouwde kom,wtr,01.25.0001.wr4,"12 january   2022, 14:45:38",66.51025390625,84.8496608746465
35,wateren,3894,Water niet maaien,,,,416.37,C (matig) - R- (sober),,,HH-schap Delfland,,,,,Perceel 1,,,,01.16.0000.1342,2 zijdig maaien,,01.16.0000,De Bras,Delft,Delft,De Bras,16 Delftse Hout,Middelweg,6254,Binnen de bebouwde kom,wtr,01.16.0000.wr3894,"12 january   2022, 14:44:24",1098.25366210938,316.847403271982
36,wateren,3,Greppel,,,,34.1,C (matig) - R- (sober),,,BOR,Gemeente Delft,,,,Perceel 2,,,,,,,01.25.0001,Buitenhof-noord,Delft,Delft,Buitenhof-Noord,25 Buitenhof,Prinses Beatrixlaan,4324,Binnen de bebouwde kom,wtr,01.25.0001.wr3,"12 january   2022, 14:45:38",89.80908203125,113.480393457624
37,wateren,6,Greppel,,,,65.73,C (matig) - R- (sober),,,BOR,Gemeente Delft,,,,Perceel 2,,,,,,,01.25.0001,Buitenhof-noord,Delft,Delft,Buitenhof-Noord,25 Buitenhof,Prinses Beatrixlaan,4324,Binnen de bebouwde kom,wtr,01.25.0001.wr6,"12 january   2022, 14:45:38",173.119140625,216.335498683275
38,wateren,12144,Water niet maaien,,,,223.06,C (matig) - R- (sober),,,HH-schap Delfland,Gemeente Delft,,,,Perceel 2,,,,,2 zijdig maaien,,01.23.0004,Vogelbuurt-oost,Delft,Delft,Vogelbuurt-Oost,23 Tanthof-Oost,Tanthofdreef,6742,Binnen de bebouwde kom,wtr,01.23.0004.wr12144,"4 april     2022, 13:00:09",587.121337890625,302.501874034658
39,wateren,11696,Water niet maaien,,,,1834.81,C (matig) - R- (sober),,,HH-schap Delfland,,,,,Perceel 1,,,,01.16.0004.0846,1 zijdig maaien,,01.16.0004,Hoflaan,Delft,Delft,Hoflaan,16 Delftse Hout,Middelweg,6254,Binnen de bebouwde kom,wtr,01.16.0004.wr11696,"12 january   2022, 14:44:25",4836.3095703125,1210.17215843622
40,wateren,11697,Water 1x maaien,,,,6978.36,C (matig) - R- (sober),,,BOR,,,,,Perceel 1,,,,01.16.0004.1900,2 zijdig maaien,,01.16.0004,Hoflaan,Delft,Delft,Hoflaan,16 Delftse Hout,Middelweg,6254,Binnen de bebouwde kom,wtr,01.16.0004.wr11697,"12 january   2022, 14:44:25",18395.1652832031,4475.96932396026
41,wateren,5,Greppel,,,,53.43,C (matig) - R- (sober),,,BOR,Gemeente Delft,,,,Perceel 2,,,,,,,01.25.0001,Buitenhof-noord,Delft,Delft,Buitenhof-Noord,25 Buitenhof,Prinses Beatrixlaan,4324,Binnen de bebouwde kom,wtr,01.25.0001.wr5,"12 january   2022, 14:45:38",140.709228515625,176.40675142067
42,wateren,11699,Water niet maaien,,,,4274.96,C (matig) - R- (sober),,,HH-schap Delfland,,,,,Perceel 1,,,,01.16.0003.0057,2 zijdig maaien,,01.16.0003,Bedrijventerrein Delftse Poort-oost,Delft,Delft,Bedrijventerrein Delftse Poort-Oost,16 Delftse Hout,Middelweg,6254,Binnen de bebouwde kom,wtr,01.16.0003.wr11699,"12 january   2022, 14:44:25",11267.1821289063,971.932365513119
43,wateren,7,Greppel,,,,47.92,C (matig) - R- (sober),,,BOR,Gemeente Delft,,,,Perceel 2,,,,,,,01.25.0001,Buitenhof-noord,Delft,Delft,Buitenhof-Noord,25 Buitenhof,Prinses Beatrixlaan,4324,Binnen de bebouwde kom,wtr,01.25.0001.wr7,"12 january   2022, 14:45:38",126.19677734375,160.954903239438
44,wateren,11701,Water 1x maaien,,,,652.39,C (matig) - R- (sober),,,BOR,,,,,Perceel 1,,,,01.16.0004.1486,2 zijdig maaien,,01.16.0004,Hoflaan,Delft,Delft,Hoflaan,16 Delftse Hout,Middelweg,6254,Binnen de bebouwde kom,wtr,01.16.0004.wr11701,"12 january   2022, 14:44:25",1719.4599609375,487.959840219055
45,wateren,11702,Water 1x maaien,,,,2313.76,C (matig) - R- (sober),,,BOR,,,,,Perceel 1,,,,01.16.0004.0844,2 zijdig maaien,,01.16.0004,Hoflaan,Delft,Delft,Hoflaan,16 Delftse Hout,Middelweg,6254,Binnen de bebouwde kom,wtr,01.16.0004.wr11702,"12 january   2022, 14:44:25",6098.22631835938,440.113170902781
46,wateren,9,Greppel,,,,39.16,C (matig) - R- (sober),,,BOR,Gemeente Delft,,,,Perceel 2,,,,,,,01.25.0001,Buitenhof-noord,Delft,Delft,Buitenhof-Noord,25 Buitenhof,Prinses Beatrixlaan,4324,Binnen de bebouwde kom,wtr,01.25.0001.wr9,"12 january   2022, 14:45:38",103.14501953125,139.316212741709
47,wateren,8,Greppel,,,,7.06,C (matig) - R- (sober),,,BOR,Gemeente Delft,,,,Perceel 2,,,,,,,01.25.0001,Buitenhof-noord,Delft,Delft,Buitenhof-Noord,25 Buitenhof,Prinses Beatrixlaan,4324,Binnen de bebouwde kom,wtr,01.25.0001.wr8,"12 january   2022, 14:45:38",18.5859375,34.9387473314945
48,wateren,1,Greppel,,,,108.61,C (matig) - R- (sober),,,BOR,Gemeente Delft,,,,Perceel 2,,,,,,,01.25.0002,Juniusstraat,Delft,Delft,Juniusbuurt,25 Buitenhof,Prinses Beatrixlaan,4324,Binnen de bebouwde kom,wtr,01.25.0002.wr1,"24 may       2022, 11:52:21",286.1064453125,356.249632555044
49,wateren,3921,Water 1x maaien,,,,530.29,C (matig) - R- (sober),,,BOR,Gemeente Delft,,,,Perceel 2,,,,,2 zijdig maaien,,01.14.0006,Harnaschpolder,Delft,Delft,,14 Voordijkshoorn,Vrouw Rijssensloot,0235,Binnen de bebouwde kom,wtr,01.14.0006.wr3921,"12 january   2022, 14:45:38",1397.37109375,228.41369209614
50,wateren,11707,Water niet maaien,,,,2486.49,C (matig) - R- (sober),,,HH-schap Delfland,,,,,Perceel 1,,,,01.16.0002.4197,1 zijdig maaien,,01.16.0002,De Grote Plas,Delft,Delft,De Grote Plas,16 Delftse Hout,Middelweg,6254,Binnen de bebouwde kom,wtr,01.16.0002.wr11707,"12 january   2022, 14:44:25",6554.71704101563,1599.26450335626
51,wateren,11708,Water 1x maaien,,,,581.82,C (matig) - R- (sober),,,BOR,,,,,Perceel 1,,,,01.16.0004.1894,2 zijdig maaien,,01.16.0004,Hoflaan,Delft,Delft,Hoflaan,16 Delftse Hout,Middelweg,6254,Binnen de bebouwde kom,wtr,01.16.0004.wr11708,"12 january   2022, 14:44:25",1533.41333007813,490.647657746564
52,wateren,11703,Water niet maaien,,,,1360.83,C (matig) - R- (sober),,,BOR,,,,,Perceel 1,,,,01.16.0002.4728,_2 zijdig maaien,,01.16.0002,De Grote Plas,Delft,Delft,De Grote Plas,16 Delftse Hout,Middelweg,6254,Binnen de bebouwde kom,wtr,01.16.0002.wr11703,"12 january   2022, 14:44:25",3587.19018554688,771.62499097938
53,wateren,3919,Water 1x maaien,,,,653.65,C (matig) - R- (sober),,,BOR,Gemeente Delft,,,,Perceel 2,,,,,2 zijdig maaien,Louis,01.14.0006,Harnaschpolder,Delft,Delft,,14 Voordijkshoorn,Vrouw Rijssensloot,0235,Binnen de bebouwde kom,wtr,01.14.0006.wr3919,"12 january   2022, 14:45:38",1722.36401367188,299.515006045235
54,wateren,3920,Water sloot niet maaien,,,,2481.57,C (matig) - R- (sober),,,BOR,Gemeente Delft,,,,Perceel 2,,,,,2 zijdig maaien,Louis,01.14.0006,Harnaschpolder,Delft,Delft,,14 Voordijkshoorn,Vrouw Rijssensloot,0235,Binnen de bebouwde kom,wtr,01.14.0006.wr3920,"11 may       2022, 15:17:37",6538.98754882813,964.241623412094
55,wateren,12067,Water niet maaien,,,,302.64,C (matig) - R- (sober),,,HH-schap Delfland,Gemeente Delft,,,,Perceel 1,,,,,2 zijdig maaien,,01.28.0001,TU-Noord,Delft,Delft,TU-Noord,28 Wippolder,Michiel de Ruyterweg,3417,Binnen de bebouwde kom,wtr,01.28.0001.wr12067,"12 january   2022, 14:44:25",797.421142578125,120.59458316925
56,wateren,12068,Water niet maaien,,,,111.53,C (matig) - R- (sober),,,HH-schap Delfland,Gemeente Delft,,,,Perceel 1,,,,,2 zijdig maaien,,01.28.0001,TU-Noord,Delft,Delft,TU-Noord,28 Wippolder,Michiel de Ruyterweg,3417,Binnen de bebouwde kom,wtr,01.28.0001.wr12068,"12 january   2022, 14:44:25",293.864013671875,66.2468655506616
57,wateren,11704,Water niet maaien,,,,327.55,C (matig) - R- (sober),,,HH-schap Delfland,,,,,Perceel 1,,,,01.16.0002.4202,1 zijdig maaien,,01.16.0002,De Grote Plas,Delft,Delft,De Grote Plas,16 Delftse Hout,Middelweg,6254,Binnen de bebouwde kom,wtr,01.16.0002.wr11704,"12 january   2022, 14:44:25",863.550048828125,400.882980265386
58,wateren,11705,Water niet maaien,,,,2216.69,C (matig) - R- (sober),,,BOR,,,,,Perceel 1,,,,01.16.0002.4727,_2 zijdig maaien,,01.16.0002,De Grote Plas,Delft,Delft,De Grote Plas,16 Delftse Hout,Middelweg,6254,Binnen de bebouwde kom,wtr,01.16.0002.wr11705,"12 january   2022, 14:44:25",5843.31518554688,878.933551002305
59,wateren,11688,Water niet maaien,,,,1037.43,C (matig) - R- (sober),,,HH-schap Delfland,,,,,Perceel 2,,,,01.23.0003.3022,2 zijdig maaien,,01.23.0003,Vogelbuurt-west,Delft,Delft,Vogelbuurt-West,23 Tanthof-Oost,Tanthofdreef,6742,Binnen de bebouwde kom,wtr,01.23.0003.wr11688,"12 january   2022, 14:45:38",2730.626953125,500.936092495095
60,wateren,11689,Water niet maaien,,,,25388.07,C (matig) - R- (sober),,,HH-schap Delfland,,,,,Perceel 2,,,,01.27.0003.0707,2 zijdig maaien,Louis - Eigendomsgrenzen,01.26.0000,Abtswoude,Delft,Delft,Abtswoude,26 Abtswoude,Rijksstraatweg,0097,Binnen de bebouwde kom,wtr,01.26.0000.wr11689,"12 january   2022, 14:45:38",66813.9426269531,4478.38268161543
61,wateren,11962,Water sloot niet maaien,,,,1459.05,C (matig) - R- (sober),,,HH-schap Delfland,Gemeente Delft,,,,Perceel 2,,,,,2 zijdig maaien,,01.14.0003,Marlot,Delft,Delft,Marlot,14 Voordijkshoorn,Polderpad,9148,Binnen de bebouwde kom,wtr,01.14.0003.wr11962,"19 april     2022, 12:10:47",3844.21728515625,772.798621114203
62,wateren,11601,Water niet maaien,,,,2155.63,C (matig) - R- (sober),,,HH-schap Delfland,,,,,Perceel 2,,,,01.14.0002.0594,2 zijdig maaien,,01.14.0002,Ecodus,Delft,Delft,Ecodus,14 Voordijkshoorn,Polderpad,9148,Binnen de bebouwde kom,wtr,01.14.0002.wr11601,"12 january   2022, 14:45:38",5680.55004882813,1089.34876758181
63,wateren,12089,Water niet maaien,,,,122.08,C (matig) - R- (sober),,,HH-schap Delfland,,,,,Perceel 1,,,,01.16.0000.0462,1 zijdig maaien,,01.16.0000,De Bras,Delft,Delft,De Bras,16 Delftse Hout,Middelweg,6254,Binnen de bebouwde kom,wtr,01.16.0000.wr12089,"12 january   2022, 14:44:25",322.031005859375,159.912312504332
64,wateren,12130,Water niet maaien,,,,4909.22,C (matig) - R- (sober),,,HH-schap Delfland,Gemeente Delft,,,,Perceel 1,,,,,1 zijdig maaien,,01.16.0003,Bedrijventerrein Delftse Poort-oost,Delft,Delft,Bedrijventerrein Delftse Poort-Oost,16 Delftse Hout,Middelweg,6254,Binnen de bebouwde kom,wtr,01.16.0003.wr12130,"12 january   2022, 14:44:25",12939.8981933594,1375.9776707131
65,wateren,12131,Water niet maaien,,,,969.22,C (matig) - R- (sober),,,HH-schap Delfland,Gemeente Delft,,,,Perceel 1,,,,,1 zijdig maaien,,01.16.0003,Bedrijventerrein Delftse Poort-oost,Delft,Delft,Bedrijventerrein Delftse Poort-Oost,16 Delftse Hout,Middelweg,6254,Binnen de bebouwde kom,wtr,01.16.0003.wr12131,"12 january   2022, 14:44:25",2554.923828125,467.020303811639
