;3000 - Uitbesteden overig;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3130 - Uitbesteden communicatie adviesopdrachten;3140 - Uitbesteden juridische adviesopdrachten;3150 - Uitbesteden ICT-adviesopdrachten;3160 - Uitbesteden accountancy en financiën;Eindtotaal;
Arjan Klopstra;;;2;;;;;2;
Arnage Horeca B.V.;;;1;;;;;1;
Arnold & Porter;;;2;;;;;2;
Arounders Experiencias & Eventos;;;1;;;;;1;
Art of Co-creation;;;1;;;;;1;
AS I-search, onderzoek;;;2;;;;;2;
Association Climate-KIC;;;1;;;;;1;
Association IDEE;;;2;;;;;2;
At Osborne B.V.;;;2;;;;;2;
Atelier Groenblauw / Opmaat;;;1;;;;;1;
ATG Europe B.V.;;;4;;;;;4;
Atlas Services Group;;;2;;;;;2;
Atos Nederland B.V.;7;;5;;;3;;7;
Atriensis data B.V.;;;1;;;;;1;
Aurika Ltd.;;;1;;;;;1;
Austrian Foundation for Development Research (ÖFSE);;;2;;;;;2;
AutomotiveNL B.V.;;;3;;;;;3;
Avance PMC B.V.;;;2;;;;;2;
Avanteers;;;4;;;;;4;
Aveco de Bondt;;;1;;;;;1;
Azienda Alberto B.V.;;;1;;;;;1;
B & T Expo Consultants;;;2;;;;;2;
B.V. Ingenieursbureau Ir. K. Boorsma;;;3;;;;;3;
B3partners B.V.;;;1;;;;;1;
Baat Nemes B.V.;;;2;;;;;2;
Backbench;;;2;;;;;2;
Baghus Advies;;;1;;;;;1;
Bakx advies en consultancy;;;2;;;;;2;
Bart Maat Fotografie;;;1;;;;;1;
Bart van Vliet Freelance Fotograaf;;;1;;;;;1;
Bas van Horn;;;1;;;;;1;
Basis & Beleid Organisatie-Adviseurs B.V.;;;2;;;;;2;
Bastiaan Brüning Consultancy;;;2;;;;;2;
BB Backing;;;2;;;;;2;
BBK/Door Vriendschap Sterker B.V.;;;4;;;;;4;
BDO Audit & Assurance B.V.;;;2;;;;;2;
BDO Tunisie;;;3;;;;;3;
BEAR-iD B.V.;;;1;;;;;1;
Beatex;;;2;;;;;2;
Beccan Davila Urbanisma;;;3;;;;;3;
Beers Mobility innovation;;;1;;;;;1;
Behavior Change Group B.V.;;;2;;;;;2;
Behavioral Insight;;;2;;;;;2;
Beheerstichting KabzeÃ«l;;;1;;;;;1;
Beijer Tuin- en Landschapsinrichting;;;1;;;;;1;
BÉKÉLE Bouwmanagement;;;2;;;;;2;
Beleidstheater;;;2;;;;;2;
Berenschot B.V.;;;4;;;;;4;
Berenschot Groep B.V.;;;4;;;;;4;
Bert Klerk;;;1;;;;;1;
Beschaffungsamt des Bundesministeriums des Innern;;;4;;;;;4;
Bestman B.V.;;;3;;;;;3;
Bex*communicatie;;;1;;;;;1;
Bexperience;;;2;;;;;2;
Beyond Now;;;3;;;;;3;
Bhouwvast B.V.;;;3;;;;;3;
Bilderberg Grand Hotel Wientjes;;;1;;;;;1;
Biomass Research B.V.;;;1;;;;;1;
Bizned B.V.;;;1;;;;;1;
BKS Schagen;;;2;;;;;2;
Blaauw Space Affairs;;;2;;;;;2;
Blaauwendraad Advies;;;1;;;;;1;
Blauw Research B.V.;;;5;;;;;5;
Blauw Tekstra Uding N.V.;;;1;;;;;1;
Bles Dairies Consultancy;;;2;;;;;2;
BLIX Consultancy B.V.;;;7;;;;;7;
Bloc B.V.;;;2;;;;;2;
Bloomberg Finance L.P.;;;3;;;;;3;
Blue Bird Projects;;;1;;;;;1;
Blue Skies Consultancy Group;;;3;;;;;3;
BlueTerra Energy Experts;;;4;;;;;4;
BMC Advies B.V.;;;2;;;;;2;
BMC Implementatie;;;2;;;;;2;
BodemenergieNL;;;2;;;;;2;
Boerderij de Diek'n;;;1;;;;;1;
BOM;;;1;;;;;1;
Boomkwekerijen Henri Fleuren B.V.;;;1;;;;;1;
Bosch & Van Rijn B.V.;;;2;;;;;2;
Bourgonje Geluid- en Lichtservice B.V.;;;1;;;;;1;
Bouwbedrijf Iden B.V.;;;1;;;;;1;
BouwCirculair B.V.;;;1;;;;;1;
Bouwkennis B.V.;;;1;;;;;1;
Bouwonderneming Roorda & Veldman B.V.;;;2;;;;;2;
Bouwtechnisch Adviesbureau Versteeg B.V.;;;2;;;;;2;
Bouwtrend B.V.;;;2;;;;;2;
brainbay B.V.;;;2;;;;;2;
Branche Vereniging Organische Reststoffen;;;2;;;;;2;
Brands Bouw B.V.;;;4;;;;;4;
Brandwise B.V.;;;4;;;;;4;
Bregman Advisering B.V.;;;3;;;;;3;
Breuers & Cobelens B.V.;;;2;;;;;2;
Bries Energietechniek B.V.;;;2;;;;;2;
Brinkmann Consultancy;;;2;;;;;2;
BRO;;;3;;;;;3;
Broekhuizen Communicatie;;;3;;;;;3;
BroekhuizenWirtz;;;2;;;;;2;
BROUARD CONSULTING;;;3;;;;;3;
Brunel Nederland B.V.;4;;;;;;;4;
BT Professional Services Nederland B.V.;6;;;;;;;6;
Buck Consultants International B.V.;;;3;;;;;3;
Building Vision B.V.;;;2;;;;;2;
Buildsight B.V.;;;4;;;;;4;
Buiten, bureau voor Economie & Omgeving B.V.;;;3;;;;;3;
Bureau BlauwGeel B.V.;;;1;;;;;1;
Bureau G.I.T.;;;1;;;;;1;
Bureau Karin de Lange B.V.;;;1;;;;;1;
Bureau Mozaiek;;;1;;;;;1;
Bureau Tw!st;;;1;;;;;1;
Bureau van Loosdrecht;;;1;;;;;1;
Bureau ZET;;;2;;;;;2;
Buro Beeld B.V.;;;1;;;;;1;
Buro De Steeg B.V.;;;7;;;;;7;
Buro del Rey;;;1;;;;;1;
Burosa;;;2;;;;;2;
Business & Fun Promotions B.V.;;;2;;;;;2;
Business Development Holland B.V.;;;4;;;;;4;
Business Openers B.V.;;;2;;;;;2;
BViT Noordwijk;;;2;;;;;2;
C.A. Fotografie;;;1;;;;;1;
Cabinet Merlin;;;5;;;;;5;
Cámara de Comercio Colombo-Holandesa Holland House;;;2;;;;;2;
CAOP;;;1;;;;;1;
Capgemini Nederland B.V.;4;;;;;;;4;
Capwell B.V.;;;2;;;;;2;
Carla Dierenartsen;;;1;;;;;1;
Carwei Communications;;;2;;;;;2;
Casilan B.V.;;;2;;;;;2;
Catalysta's Consulting;;;4;;;;;4;
Catering en Partyservice van 't Hooge;;;1;;;;;1;
Cator & van Zwet Statistisch Adviseurs;;;1;;;;;1;
CDI - The Craft and Design Institute (Cape Town);;;3;;;;;3;
CDR International B.V.;;;5;;;;;5;
CE Delft;;;5;;;;;5;
CED Nederland;;;8;;;;;8;
Cedla;;;2;;;;;2;
Cefas;;;4;;;;;4;
Cendris Customer Contact B.V.;;;1;;;;;1;
CENER Centro national de Energia renovables;;;1;;;;;1;
Center fo Renewable Energy Sources;;;2;;;;;2;
Centralpoint Nijmegen B.V.;2;;;;;;;2;
Certifield International B.V.;;;4;;;;;4;
CGI Nederland B.V.;;;3;;;;;3;
Charles River Associates;;;2;;;;;2;
Chatik International;;;2;;;;;2;
CHE Synnervation B.V.;;;1;;;;;1;
ChiPro GmbH;;;3;;;;;3;
Cimsolutions;4;;;;;;;4;
CIRFOOD Netherlands B.V.;;;1;;;;;1;
Cirkellab B.V.;;;2;;;;;2;
Cit Industriell Energi Ab;;;1;;;;;1;
CKTrade;;;2;;;;;2;
Clairfort Zeist B.V.;;;1;;;;;1;
Clavis Consulting;;;2;;;;;2;
Clifford Chance LLP;;;2;;;;;2;
Climatic Design Consult;;;1;;;;;1;
Clipit News B.V.;;;2;;;;;2;
CLM Onderzoek en Advies B.V.;;;2;;;;;2;
clothing connect B.V.;;;4;;;;;4;
CMS Derks Star Busmann;;;2;;;;;2;
CO2GeoNet;;;1;;;;;1;
Code Yellow B.V.;;;1;;;;;1;
Coesmans Management;;;2;;;;;2;
Cohere Consultants;;;2;;;;;2;
Collé Sittard Verhuur B.V.;;;1;;;;;1;
Columbiss;;;2;;;;;2;
CommPartners;;;1;;;;;1;
Communicatief Entertainment;;;1;;;;;1;
COMPAREX Nederland B.V.;2;;;;;;;2;
Compass;;;2;;;;;2;
Compass Lexecon;;;2;;;;;2;
Competence Management Consulting;;;1;;;;;1;
Computacenter;3;;;;;;;3;
concept en zo B.V.;;;2;;;;;2;
Concept7 B.V.;1;;;;;;;1;
Conducto Opleidingen B.V.;;;2;;;;;2;
Coniche IN consultancy & projects B.V.;;;1;;;;;1;
Consciousness Consultancy;;;2;;;;;2;
CONSERVATION INTERNATIONAL FOUNDATION;;;1;;;;;1;
Consolair B.V.;;;1;;;;;1;
Constructief Marketing en Managementexpertise;;;2;;;;;2;
Consulaat-Generaal in Dubai;;;2;;;;;2;
Consumer Centric;;;2;;;;;2;
Content Strategy B.V.;;;2;;;;;2;
Coöp. Energie Collectief Lage Weide (ECLW) UA;;;2;;;;;2;
Coöperatie Bommelerwaar BA;;;2;;;;;2;
Coöperatie Cirkelstad UA;;;2;;;;;2;
Coöperatie De Betekenaar UA;1;;;;;;;1;
Coöperatie Energie Samen UA;;;2;;;;;2;
Coöperatie Leren voor Morgen UA;;;3;;;;;3;
Coöperatief Nevasco UA;;;2;;;;;2;
Coöperatieve vereniging 'TSG Netwerk' UA;;;2;;;;;2;
Cooperativa Agroindustrial Cacao Alto Huallaga;;;1;;;;;1;
Copper8 B.V.;;;3;;;;;3;
Cornelissen Consulting Services B.V.;;;2;;;;;2;
Corps 3 op twee B.V.;;;2;;;;;2;
Corps ontwerpers;;;1;;;;;1;
Cosine Research B.V.;;;3;;;;;3;
COT Inst. voor Veil.h.- & Crisismanagem. B.V.;;;2;;;;;2;
CottonConnect Limited;;;2;;;;;2;
Coupry B.V.;;;2;;;;;2;
CP2 Fieldmarketing;;;1;;;;;1;
CR Management Consultancy;;;2;;;;;2;
Creapolis Media;;;1;;;;;1;
CREARA Consultores SL;;;2;;;;;2;
Creating Perspective;;;2;;;;;2;
CREM;;;2;;;;;2;
Crisislab;;;2;;;;;2;
Crisp Consultancy;;;1;;;;;1;
Crossphase B.V.;;;1;;;;;1;
CVS Netherlands No 2 B.V.;;;1;;;;;1;
Cybery B.V.;;;2;;;;;2;
D & C Engineering;;;1;;;;;1;
D.O.G. ingenieurs B.V.;;;8;;;;;8;
Daad Architecten B.V.;;;2;;;;;2;
Dajebo Consulting B.V.;;;3;;;;;3;
Damaris Matthijsen;;;1;;;;;1;
Danish Technological Intitute;;;2;;;;;2;
DAP Ter Aar-Nieuwkoop;;;1;;;;;1;
D-Cision B.V.;;;1;;;;;1;
De Argumentenfabriek B.V.;;;1;;;;;1;
De Bankarie;;;1;;;;;1;
De Boer Onderzoek & Projectmanagement;;;3;;;;;3;
De Brauw Blackstone Westbroek N.V.;;;;;1;;;1;
De Coöperatieve Betuwse Fruitmotor UA;;;1;;;;;1;
De Coöperatieve Samenleving BA;;;2;;;;;2;
Dé Duurzame Uitgeverij B.V.;;;1;;;;;1;
De Galan Groep B.V.;;;4;;;;;4;
De Gemeynt Coöperatie UA;;;2;;;;;2;
De Graafschap Dierenartsen B.V.;;;1;;;;;1;
De Groeiwerkplaats;;;2;;;;;2;
De Groene Reiger;;;2;;;;;2;
De Heus Opleidingsconsultancy;;;1;;;;;1;
De investeringsmaatschappij;;;2;;;;;2;
De Investeringsmaatschappij B.V.;;;2;;;;;2;
De Natuurverdubbelaars;;;2;;;;;2;
De Nieuwe Academie B.V.;;;1;;;;;1;
De Sierkamp V.O.F.;;;5;;;;;5;
De Staffing Groep Nederland B.V.;7;;1;;;;;7;
De Stolp Beheer B.V.;;;1;;;;;1;
De Textexpert;;;2;;;;;2;
De Toezichtsfluisteraar;;;1;;;;;1;
de Turfstaeker;;;1;;;;;1;
De Waterspin;;;1;;;;;1;
De Wijkplaats B.V.;;;1;;;;;1;
De Zakencoach;;;2;;;;;2;
De Zevensprong Coöperatie UA;;;1;;1;;;1;
Debbee Dale Development Limited;;;2;;;;;2;
Deborah Abrahams;;;1;;;;;1;
Decisio B.V.;;;3;;;;;3;
Decoded;;;2;;;;;2;
Decos Software Engineering B.V.;;;;;;2;;2;
Deerns Nederland B.V.;;;2;;;;;2;
defKon Solutions;;;2;;;;;2;
DEKRA Certification B.V.;2;;4;;;;;4;
Delftechniek;;;1;;;;;1;
Deloitte Accountancy & Advies B.V.;;;3;;;;;3;
Deloitte Accountants;;;1;;;;;1;
Deloitte Consulting B.V.;;;5;;;;;5;
Delphy B.V.;;;4;;;;;4;
Deltacommissaris;;;1;;;;;1;
Demis B.V.;;;2;;;;;2;
Demis Beheer B.V.;;;2;;;;;2;
Demokwekerij B.V.;;;1;;;;;1;
Den Haag Centrum v. Strategische Studies B.V.;;;3;;;;;3;
Depasse Organisatie & Informatie;;;2;;;;;2;
Deschutter Consultancy;;;2;;;;;2;
Deskbookers B.V.;;;1;;;;;1;
Det Norske Veritas B.V.;;;4;;;;;4;
Detron Communication Solutions;2;;;;;;;2;
Deutsche Energie Agentur;;;2;;;;;2;
Deutsche Windguard;;;2;;;;;2;
DGMR Bouw B.V.;;;3;;;;;3;
DGMR Raadgevende Ingenieurs B.V.;;;4;;;;;4;
Dhaka Ahsania Mission;;;1;;;;;1;
DHI;;;4;;;;;4;
Diabel NDAW;;;1;;;;;1;
Dialogic Innovatie & Interactie;;;6;;;;;6;
Dialogic Innovatie & Interactie B.V.;;;2;;;;;2;
Diana de Graaf Advies;;;3;;;;;3;
Diederik Jekel;;;1;;;;;1;
Dier Gezondheids Centrum Boven-Veluwe;;;1;;;;;1;
Dier Medische Zorggroep B.V.;;;1;;;;;1;
Dieren Opvang Centrum De Horizon;;;2;;;;;2;
Dieren Preparateur J.W. Gerritzen;;;1;;;;;1;
Dierenarts Noord-Holland B.V.;;;1;;;;;1;
Dierenartsencentrum Ede-Bennekom;;;1;;;;;1;
Dierenartsenpraktijk Doetinchem Zeddam;;;1;;;;;1;
Dierenartsenpraktijk Ell;;;1;;;;;1;
Dierenartsenpraktijk Landsmeer B.V.;;;1;;;;;1;
Dierenartsenpraktijk Nijkerk-Wellensiek;;;1;;;;;1;
Dierenartsenpraktijk Zelhem B.V.;;;1;;;;;1;
Dierenhotel De Mère;;;3;;;;;3;
Dierenkliniek Amsterdam-Noord;;;1;;;;;1;
Dierenkliniek Breda;;;1;;;;;1;
Dierenkliniek D.C.I. van der Star;;;1;;;;;1;
Dierenkliniek Hellevoetsluis B.V.;;;1;;;;;1;
Dierenkliniek Marnixstraat;;;1;;;;;1;
Dierenkliniek Middenwaard;;;1;;;;;1;
Dierenkliniek Ridderkerk;;;1;;;;;1;
Dierenkliniek Schiedam-Noord;;;1;;;;;1;
Dierenkliniek Stede Broec B.V.;;;1;;;;;1;
Dierenkliniek Steenbergen;;;1;;;;;1;
Dierenkliniek Terneuzen;;;1;;;;;1;
Dierenkliniek Veendam B.V.;;;1;;;;;1;
Dierenkliniek Vlagtwedde;;;1;;;;;1;
Dierenkliniek Volendam-Edam;;;1;;;;;1;
Dierenpension 't Hoogeland;;;5;;;;;5;
Dierenziekenhuis Drachten B.V.;;;1;;;;;1;
DIG - Design Innovation Group B.V.;;;2;;;;;2;
Dijkoraad R.R.G. B.V.;;;3;;;;;3;
Dirkzwager N.V.;;;1;;;;;1;
Ditty Blom Plan+Project;;;2;;;;;2;
DKL Putten B.V.;;;1;;;;;1;
DLV Intensief Advies B.V.;;;1;;;;;1;
DNV GL Netherlands B.V.;;;5;;;;;5;
Docfactory B.V.;;;2;;;;;2;
DOKK Advocaten B.V.;;;;;1;;;1;
Dolmans Calamiteiten Diensten;;;1;;;;;1;
Don Offermans;;;4;;;;;4;
Donatello Piras;;;1;;;;;1;
donkergroen;;;1;;;;;1;
Double 2 B.V.;;;2;;;;;2;
DPA Legal Services B.V.;;;;;4;;;4;
DPG Online Services B.V.;;;1;;;;;1;
DPI;;;1;;;;;1;
Dr. M.J.L. Kik, dierenarts voor reptielen;;;1;;;;;1;
Driehoek Advocaten B.V.;;;;;1;;;1;
Driessen United Blenders B.V.;;;3;;;;;3;
DS Ontwerp en Onderzoek B.V.;;;2;;;;;2;
Duel;;;1;;;;;1;
Duff & Phelps;;;3;;;;;3;
DuneWorks B.V.;;;2;;;;;2;
DuretTrip Notarissen N.V.;;;2;;;;;2;
Dutch Association Geothermal Operators (DAGO);;;2;;;;;2;
Dutch Boosting Group;;;2;;;;;2;
Dutch Research Institute for Transitions B.V.;;;2;;;;;2;
Duurzaam Gebouwd B.V.;;;2;;;;;2;
E & M Exportmanagement B.V.;;;3;;;;;3;
E. Luken;;;2;;;;;2;
E4 Consulting;;;2;;;;;2;
Eau de Vie;;;1;;;;;1;
Ebmc Nederland B.V.;;;1;;;;;1;
EBN B.V.;;;2;;;;;2;
ECN part of TNO;;;3;;;;;3;
ECN Wind Energy Facilities B.V.;;;2;;;;;2;
ecoengineers;;;2;;;;;2;
Eco-movement B.V.;;;2;;;;;2;
eConnect International B.V.;;;2;;;;;2;
Economic Insights Pty Ltd;;;2;;;;;2;
Economic Sense Pty Ltd;;;2;;;;;2;
Ecoreview;;;1;;;;;1;
Ecorys B.V.;;;2;;;;;2;
ECORYS Nederland B.V.;;;6;;;;;6;
Ecovia Intelligence;;;2;;;;;2;
EDC Environmental & Dredging Consultancy;;;2;;;;;2;
Edelmetaal Waarborg Nederland B.V.;;;1;;;;;1;
Eden Springs Nederland B.V.;;;1;;;;;1;
Ednoco LLC;;;3;;;;;3;
Eetcafé De Boerderij;;;1;;;;;1;
Effe checken;;;1;;;;;1;
Effectory Holding B.V.;;;3;;;;;3;
Egyptian Export Council for Handicrafts (EECH);;;1;;;;;1;
Eiffel B.V.;2;;7;;;;;7;
Eigeman-ID;;;2;;;;;2;
Eigen Zaken B.V.;;;2;;;;;2;
Eiland;;;1;;;;;1;
Eileen;;;1;;;;;1;
Ekinetix B.V.;;;3;;;;;3;
Eldiger B.V.;;;1;;;;;1;
elewaut@efm;;;3;;;;;3;
Elvenstone Networks;;;1;;;;;1;
EMMA Communicatie B.V.;;;4;;;;;4;
Emobility Consulting B.V.;;;2;;;;;2;
Emodz B.V.;;;2;;;;;2;
Employee Performance Group B.V.;;;2;;;;;2;
Enact Sustainable Strategies B.V.;;;4;;;;;4;
Energie ambassadeur;;;3;;;;;3;
Energie Media B.V.;;;3;;;;;3;
Energieagentur.NRW c/o EE Energy Engineers GmbH;;;3;;;;;3;
Energieonderzoek Centrum Nederland;;;3;;;;;3;
Energiepartners B.V.;;;2;;;;;2;
Energized.org;;;2;;;;;2;
Energy Circle B.V.;;;1;;;;;1;
Energy Indeed;;;2;;;;;2;
EnergyGo B.V.;;;1;;;;;1;
Enova SF;;;2;;;;;2;
Entopic B.V.;;;1;;;;;1;
Entry Technology Support B.V.;;;2;;;;;2;
EPB Center B.V.;;;1;;;;;1;
Equio bvba;;;2;;;;;2;
Equipoise B.V.;;;2;;;;;2;
Ergo B.V.;;;2;;;;;2;
Ernst & Young Accountants LLP;;;6;;;;;6;
ESB B.V.;;;2;;;;;2;
Espace Rural Consultancy;;;1;;;;;1;
Esri Nederland;;;1;;;;;1;
Ethics at Work;;;2;;;;;2;
Eufores;;;1;;;;;1;
Eur. Regional Affairs Consultants (Erac) B.V.;;;2;;;;;2;
Eurobras Trading;;;4;;;;;4;
Euroconsult Mott MacDonald B.V.;;;4;;;;;4;
European Economic Research Limited;;;4;;;;;4;
European Hydrogen Association (EHA);;;2;;;;;2;
European Policy Solutions;;;1;;;;;1;
Europese Investeringsbank;;;3;;;;;3;
EV Consult B.V.;;;3;;;;;3;
Evangelische Gemeente Ten Boer;;;1;;;;;1;
Everts Geotechniek B.V.;;;3;;;;;3;
every media;;;2;;;;;2;
Evidensia Dierenklinieken B.V.;;;1;;;;;1;
Evidensia NL Dierenklinieken B.V.;;;1;;;;;1;
Evidensia Vets & Pets Dierenklinieken B.V.;;;1;;;;;1;
Evite Services B.V.;;;2;;;;;2;
EVO Fenedex;;;5;;;;;5;
Except B.V.;;;2;;;;;2;
Experience;;;1;;;;;1;
Expo Display Service;;;1;;;;;1;
EXPO Dubai 2020;;;1;;;;;1;
EXTERUS B.V.;;;1;;;;;1;
EyeOpenerWorks;;;2;;;;;2;
F.E. Kwakman Beheer B.V.;;;1;;;;;1;
Fackwerk Management en Advies B.V.;;;1;;;;;1;
Factor Vijf;;;3;;;;;3;
Fair & Sustainable Consulting B.V.;;;4;;;;;4;
Fair Venture Consulting Limited;;;2;;;;;2;
FairMatch Support B.V.;;;2;;;;;2;
FairMatch Support West Africa;;;1;;;;;1;
Famka Beheer B.V.;;;1;;;;;1;
Fari B.V.;;;1;;;;;1;
FarmHackNL;;;1;;;;;1;
Farminform B.V.;;;1;;;;;1;
Fashion Production Solutions;;;4;;;;;4;
Federatie Creatieve Industrie;;;2;;;;;2;
Ferro Explore B.V.;;;2;;;;;2;
Fichtner GmbH & Co 49;;;3;;;;;3;
Fidato B.V.;;;;;;2;;2;
Fier B.V.;;;3;;;;;3;
Figueres Consultancy;;;2;;;;;2;
Finaid B.V.;;;1;;;;;1;
Finanzas Comercio e Inversion, S.A. de C.V.;;;1;;;;;1;
First Consulting B.V.;;;7;;;;;7;
Five One Labs;;;1;;;;;1;
Fletcher Boutique Hotel Restaurant Duinoord;;;1;;;;;1;
Fletcher Hotel Exploitaties B.V.;;;1;;;;;1;
Fletcher Hotel Paleis Het Stadhouderlijk Hof;;;1;;;;;1;
Flexiblepower Alliance Network;;;1;;;;;1;
Flexmail NV;;;1;;;;;1;
FloodConsult;;;2;;;;;2;
Flos Vingerhoets Illustratie;;;1;;;;;1;
FlowerWatch B.V.;;;1;;;;;1;
Flying Elephants;;;2;;;;;2;
Foglet;;;2;;;;;2;
Fokbedrijf Bosman B.V.;;;1;;;;;1;
FONDATION AGRITERRA RDC;;;1;;;;;1;
Fortelle;;;2;;;;;2;
Forward Data SL;;;2;;;;;2;
Forward in fashion B.V.;;;1;;;;;1;
Forzes;;;1;;;;;1;
Fox-IT;;;1;;;;;1;
Fraunhofer Institute for Solar Energy Systems ISE;;;1;;;;;1;
Fresh Studio Innovations Asia Ltd;;;1;;;;;1;
Fresh Studio Myanmar;;;2;;;;;2;
Friso Advies;;;3;;;;;3;
Frisse Blikken ondernemen met talent B.V.;;;2;;;;;2;
Fronteer B.V.;;;2;;;;;2;
Frontier Economics Ltd;;;4;;;;;4;
Frontier Ventures B.V.;;;2;;;;;2;
Fruit Consultancy Europe B.V.;;;4;;;;;4;
Fruitbedrijf de Lindeboom;;;1;;;;;1;
FTI Consulting;;;1;;;;;1;
Fugro Netherlands Marine B.V.;;;9;;;;;9;
Fugro NL Land B.V.;;;7;;;;;7;
Fugro Survey B.V.;;;7;;;;;7;
Fundación ECSIM;;;2;;;;;2;
Fundación Solidaridad;;;1;;;;;1;
Futureconsult B.V.;;;2;;;;;2;
FutureWater;;;2;;;;;2;
G.J.J. Scholte Holding B.V.;;;1;;;;;1;
GaiaVision B.V.;;;2;;;;;2;
Gaimed B.V.;;;2;;;;;2;
Gartner Nederland B.V.;4;;;;;;;4;
Gartner U.K. Limited;1;;;;;;;1;
