OBJECTID,NAAM,DIENSTREGELPUNT_TYPE,LANDCODE,STATIONSGROOTTE,HEEFT_TANKPLAATS,HEEFT_WERKPLAATS,BLOKPUNT_INDICATIE,BEDIEND,AFKORTING,DOORKOMST_VERPLICHT,BEDIENINGSCODE,KMLINT,KMLINT_OMSCHRIJVING,GEOCODE,SUBCODE,GEOCODE_NR,GEOSUBCODE,GEOCODE_NAAM,GELDIG_VANAF,PUBLICATIEDATUM,PPLG_PUIC,PPLG_NAAM,VLPOST_PUIC,VLPOST_NAAM,PPLG_OMSCHRIJVING,VLPOST_OMSCHRIJVING,REF_DIENSTREGELPUNT_PUIC
11,Hurdegaryp,Station,Nederland,Klein,Nee,Nee,Nee,Ja,Hdg,Ja,Stop-station,Hlg-Nscg,Harlingen - Nieuweschans Grens ,002,,2,002__,Leeuwarden - Groningen,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,25dfc365-ba12-46d0-8d73-211dddce16ee,HDG,2e2942cd-6bec-4762-99ca-f8daaf348fba,GN,Hurdegaryp,Groningen,e9c464ee-7cc7-46ca-9c01-919ac39f79ff
12,De Westereen,Halte,Nederland,Klein,Nee,Nee,Nee,Nee,Dwe,Ja,Stop-station,Hlg-Nscg,Harlingen - Nieuweschans Grens ,002,,2,002__,Leeuwarden - Groningen,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,,,2e2942cd-6bec-4762-99ca-f8daaf348fba,GN,,Groningen,5ba03538-8eb9-4696-a5a0-141b150649b3
13,Harlingen,Station,Nederland,Klein,Nee,Nee,Nee,Ja,Hlg,Ja,Stop-station,Hlg-Nscg,Harlingen - Nieuweschans Grens ,001,a,1,001_a,Harlingen Haven - Leeuwarden,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,5f4197b0-38bb-4a63-80ee-a5005fa10f85,HLG,2e2942cd-6bec-4762-99ca-f8daaf348fba,GN,Harlingen,Groningen,7f3abbce-f331-4acd-be8a-a3bff6ba618b
14,Roodeschool aansl.,Overloop,Nederland,Onbekend,Nee,Nee,Nee,Ja,Rda,Ja,OA Overloop-aansluiting,Swd-Rd,Sauwerd - Roodeschool ,200,,200,200__,Winsum - Roodeschool,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,f7c9e885-d28d-4545-9830-f56a0028b1ca,RD,2e2942cd-6bec-4762-99ca-f8daaf348fba,GN,Roodeschool,Groningen,d4a8a68e-06fa-4e9f-8946-08448335d111
15,Onnen Noord,Overloop,Nederland,Onbekend,Nee,Nee,Nee,Ja,Onn,Ja,OA Overloop-aansluiting,Mp-Gn,Meppel - Groningen ,011,,11,011__,Assen - Haren,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,415a5915-5031-42fc-88f9-b5ef2674b768,ONN,2e2942cd-6bec-4762-99ca-f8daaf348fba,GN,Onnen Noord,Groningen,e95484e8-9639-4fa5-9c58-7a78f8754640
16,Appingedam,Station,Nederland,Klein,Nee,Nee,Nee,Ja,Apg,Ja,Stop-station,Gn-Dz,Groningen - Delfzijl ,201,,201,201__,Sauwerd - Delfzijl,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,e176905a-cc9e-4cba-9227-c8f37e7e9276,APG,2e2942cd-6bec-4762-99ca-f8daaf348fba,GN,Appingedam,Groningen,4f7d4411-f4df-40ed-b24b-c128b2421483
17,Boterdiep,Brug,Nederland,Onbekend,Nee,Nee,Nee,Ja,Btd,Ja,BR Beweegbare brug,Gn-Dz,Groningen - Delfzijl ,201,,201,201__,Sauwerd - Delfzijl,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,dd0ceb8c-c51b-4e74-aaf3-44a5b6e82866,BDM,2e2942cd-6bec-4762-99ca-f8daaf348fba,GN,Bedum,Groningen,2e262b19-9839-42aa-b1f3-ea46e77a495f
18,Stavoren,Eindstation,Nederland,Klein,Nee,Nee,Ja,Ja,Stv,Ja,Stop-station,Lw-Stv,Leeuwarden - Stavoren ,008,,8,008__,Leeuwarden - Stavoren,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,404b76b4-54c3-41f0-8101-ce774a124a23,STV,2e2942cd-6bec-4762-99ca-f8daaf348fba,GN,Stavoren,Groningen,cd191b4f-41d0-495c-87d5-68275f70f7a2
19,Mantgum,Station,Nederland,Klein,Nee,Nee,Nee,Ja,Mg,Ja,Stop-station,Lw-Stv,Leeuwarden - Stavoren ,008,,8,008__,Leeuwarden - Stavoren,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,56675880-7e92-4006-b51e-201dd74af205,MG,2e2942cd-6bec-4762-99ca-f8daaf348fba,GN,Mantgum,Groningen,cb3b463d-a18c-42f6-9523-5d3661e7a134
20,Usquert,Station,Nederland,Klein,Nee,Nee,Nee,Ja,Ust,Ja,Stop-station,Swd-Rd,Sauwerd - Roodeschool ,200,,200,200__,Winsum - Roodeschool,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,7dc9344b-bcd4-4cb0-9b0d-23515bb7792f,UST,2e2942cd-6bec-4762-99ca-f8daaf348fba,GN,Usquert,Groningen,6359d719-51c6-405b-a315-e50763732144
21,Eemshaven Industrie,Goederen Emplacement,Nederland,Onbekend,Nee,Nee,Nee,Nee,Eemi,Nee,Goederen emplacement,Rda-Eem,Rodeschool Aansl. - Eemshaven ,815,a,815,815_a,Roodeschool Eemshaven,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,,,2e2942cd-6bec-4762-99ca-f8daaf348fba,GN,,Groningen,63afb329-b8a0-476f-b592-c8156cb31081
22,Wijmertsbrug - tussen IJlst en Workum,Brug,Nederland,Onbekend,Nee,Nee,Nee,Nee,Wmb,Ja,BR Beweegbare brug,Lw-Stv,Leeuwarden - Stavoren ,008,,8,008__,Leeuwarden - Stavoren,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,,,2e2942cd-6bec-4762-99ca-f8daaf348fba,GN,,Groningen,b99448df-9758-463b-9c80-7c86bef884b6
23,Vught aansl.,Aansluiting,Nederland,Onbekend,Nee,Nee,Nee,Ja,Vga,Ja,OA Overloop-aansluiting,Ut-Btl,Utrecht Centraal - Boxtel ,515,b,515,515_b,Vught Aansl.,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,cd4cb504-ef06-4528-8460-2b9a60e16ed2,VGA,5b69dddf-800e-4c3f-9ed6-03156b9a4d33,EHV,Vught Aansluiting,Eindhoven,2b689110-c74f-4124-a5c3-eaa328dc5071
24,Tilburg ind. terr.,Goederen Emplacement,Nederland,Onbekend,Nee,Nee,Nee,Ja,Tbi,Ja,Goederen emplacement,Tb-Vga,Tilburg - Vught Aansluiting ,124,a,124,124_a,Tilburg - Vught Aansl.,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,6e0056f9-c860-4066-a6ba-067ab9af88b1,TBI,5b69dddf-800e-4c3f-9ed6-03156b9a4d33,EHV,Tilburg ind. terr.,Eindhoven,a4055e07-ced3-4258-9014-8a343989758b
25,Helmond Brandevoort,Halte,Nederland,Klein,Nee,Nee,Nee,Nee,Hmbv,Ja,Stop-station,Vl-Ehv,Venlo - Eindhoven ,055,,55,055__,Blerick - Eindhoven,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,,,5b69dddf-800e-4c3f-9ed6-03156b9a4d33,EHV,,Eindhoven,96e46055-c613-4e24-83b1-fe4c4c526faf
26,Griendtsveen overloopw.,Overloop,Nederland,Onbekend,Nee,Nee,Nee,Ja,Grvn,Ja,OA Overloop-aansluiting,Vl-Ehv,Venlo - Eindhoven ,055,,55,055__,Blerick - Eindhoven,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,f0a955a4-2dc7-4282-a196-649ed5b1c74c,GRVN,5b69dddf-800e-4c3f-9ed6-03156b9a4d33,EHV,Griendtsveen overloopw.,Eindhoven,8ed96a2c-1be5-486e-9bc2-8e6a9c024bbe
27,Oisterwijk,Halte,Nederland,Klein,Nee,Nee,Nee,Nee,Ot,Ja,Stop-station,Bd-Ehv,Breda - Eindhoven ,125,,125,125__,Tilburg - Boxtel,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,,,5b69dddf-800e-4c3f-9ed6-03156b9a4d33,EHV,,Eindhoven,f2f9a5e8-7197-4b91-b991-7632177b4b28
28,Gekkengraaf,Goederen Emplacement,Nederland,Onbekend,Nee,Nee,Nee,Ja,Gkgf,Ja,Goederen emplacement,Vl-Ehv,Venlo - Eindhoven ,055,,55,055__,Blerick - Eindhoven,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,a2ad7c21-9898-43b9-a51b-7f05208ee9f5,GKGF,5b69dddf-800e-4c3f-9ed6-03156b9a4d33,EHV,Gekkengraaf,Eindhoven,93e71bbd-dd53-42be-b722-cf9c1ef88487
29,Blerick ECT,Goederen Emplacement,Nederland,Onbekend,Nee,Nee,Nee,Ja,Brect,Nee,Goederen emplacement,Vl-Ehv,Venlo - Eindhoven ,055,,55,055__,Blerick - Eindhoven,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,4d1577cb-43e3-4fb3-aea2-7479d151ddba,BR,5b69dddf-800e-4c3f-9ed6-03156b9a4d33,EHV,Blerick,Eindhoven,4bea0157-4d30-41d0-8505-c3a27b8db3f8
30,Boxmeer,Station,Nederland,Klein,Nee,Nee,Nee,Ja,Bmr,Ja,Stop-station,Ah-Vl,Arnhem - Venlo ,052,,52,052__,Beugen - Blerick,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,890118d8-5646-478e-9286-209d35ac498a,BMR,5b69dddf-800e-4c3f-9ed6-03156b9a4d33,EHV,Boxmeer,Eindhoven,e1963f52-7ea2-4107-8c30-3c456d21081a
31,Mook Molenhoek,Station,Nederland,Klein,Nee,Nee,Nee,Ja,Mmlh,Ja,Stop-station,Ah-Vl,Arnhem - Venlo ,049,,49,049__,Nijmegen - Beugen,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,33da359b-68a4-4639-ad78-479daf173100,MMLH,5b69dddf-800e-4c3f-9ed6-03156b9a4d33,EHV,Mook Molenhoek,Eindhoven,cc0dec55-e4a8-4ec1-90a2-46c7e68eca24
32,Tilburg,Station,Nederland,Groot,Nee,Ja,Ja,Ja,Tb,Ja,IC Intercity-station,Bd-Ehv,Breda - Eindhoven ,551,b,551,551_b,Tilburg,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,cfc30233-466f-44ec-820e-e97caedf87ae,TB,5b69dddf-800e-4c3f-9ed6-03156b9a4d33,EHV,Tilburg,Eindhoven,09bf5d65-4e84-4508-9712-9f783539c00f
33,Liempde,Overloop,Nederland,Onbekend,Nee,Nee,Nee,Ja,Lpe,Ja,OA Overloop-aansluiting,Bd-Ehv,Breda - Eindhoven ,054,a,54,054_a,Boxtel - Eindhoven,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,4b014708-f529-4f56-a551-abe45d081bac,LPE,5b69dddf-800e-4c3f-9ed6-03156b9a4d33,EHV,Liempde,Eindhoven,04e780ac-fff7-4390-a259-78b47b1b1a09
34,Amsterdam Lijnwerkplaats Zuid,Goederen Emplacement,Nederland,Onbekend,Nee,Ja,Nee,Ja,Aswplz,Nee,Goederen emplacement,Awhv-Asd,Amsterdam Westhaven (gebied) - Amsterdam Centraal ,525,b,525,525_b,Amsterdam Singelgracht Aansl.,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,f5cb0b4b-fc48-4ce6-bddb-3e5f7860059d,SGRA,2cae70e6-e587-451d-a8d4-ed88b04be49e,ASD,Singelgracht aansl.,Amsterdam Centraal,04fdf0ce-1680-4fa5-b4b3-60f88c9b68c5
35,Amsterdam Lelylaan,Station,Nederland,Klein,Nee,Nee,Nee,Ja,Asdl,Ja,Stop-station,Sgra-Asra,Amsterdam Singelgracht Aansl. - Amsterdam Riekerpolder Aansl. ,145,,145,145__,Amsterdam Sloterdijk - Amsterdam Riekerpolder,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,1d784230-cb8a-4dd4-adb6-2fdc36256678,ASDL,2cae70e6-e587-451d-a8d4-ed88b04be49e,ASD,Amsterdam Lelylaan,Amsterdam Centraal,df598a16-1fb4-42fb-8f21-6ab2f4d0d670
36,Almere Oostvaarders,Station,Nederland,Klein,Nee,Nee,Nee,Ja,Almo,Ja,Stop-station,Wp-Llso,Weesp - Lelystad Opstel. ,135,,135,135__,Weesp Aansl. - Lelystad Industrieterrein,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,0402757a-c09a-4f9c-8a28-fe3c30d47356,ALMO,2cae70e6-e587-451d-a8d4-ed88b04be49e,ASD,Almere Oostvaarders,Amsterdam Centraal,bb99482a-ceca-4575-82ba-5ed5124075a5
37,Amsterdam Bijlmer ArenA,Station,Nederland,Klein,Nee,Nee,Nee,Ja,Asb,Ja,Stop-station,Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,535,a,535,535_a,Amsterdam Bijlmer Arena,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,604f0025-fa95-42de-86bf-14fcec4b1f76,ASB,2cae70e6-e587-451d-a8d4-ed88b04be49e,ASD,Amsterdam Bijlmer,Amsterdam Centraal,1340b9db-9553-4223-968e-e7261d3d65e0
38,Amsterdam Dijksgracht Oostzijde,Overloop,Nederland,Onbekend,Nee,Nee,Nee,Ja,Dgro,Ja,OA Overloop-aansluiting,Asd-Zp,Amsterdam Centraal - Zutphen ,588,,588,588__,Amsterdam Dijksgracht,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,16c48c65-978f-4f30-bd62-2499665dad57,ASDM,2cae70e6-e587-451d-a8d4-ed88b04be49e,ASD,Amsterdam Muiderpoort,Amsterdam Centraal,5ba76678-711e-4648-a9aa-9295e66d76df
39,Amsterdam Dijksgracht,Goederen Emplacement,Nederland,Onbekend,Nee,Nee,Nee,Nee,Dgr,Nee,Goederen emplacement,Asd-Zp,Amsterdam Centraal - Zutphen ,588,,588,588__,Amsterdam Dijksgracht,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,,,2cae70e6-e587-451d-a8d4-ed88b04be49e,ASD,,Amsterdam Centraal,7ea19260-dcac-498f-bf9d-8ca395f47d79
40,Amsterdam Muiderpoort aansl.,Aansluiting,Nederland,Onbekend,Nee,Nee,Nee,Ja,Asdma,Ja,OA Overloop-aansluiting,Asd-Zp,Amsterdam Centraal - Zutphen ,588,,588,588__,Amsterdam Dijksgracht,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,16c48c65-978f-4f30-bd62-2499665dad57,ASDM,2cae70e6-e587-451d-a8d4-ed88b04be49e,ASD,Amsterdam Muiderpoort,Amsterdam Centraal,fc85ccac-cd2f-43ec-9852-f01571f3a96b
41,Almere Muziekwijk,Halte,Nederland,Klein,Nee,Nee,Nee,Nee,Almm,Ja,Stop-station,Wp-Llso,Weesp - Lelystad Opstel. ,135,,135,135__,Weesp Aansl. - Lelystad Industrieterrein,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,,,2cae70e6-e587-451d-a8d4-ed88b04be49e,ASD,,Amsterdam Centraal,5d12075c-4ecc-407d-8f81-4f43e02745a3
42,Wgm HSA Onderhoudsloods,Aansluiting,Nederland,Onbekend,Nee,Ja,Nee,Nee,Wgmhsa,Nee,Goederen emplacement,Wgm-Dmn,Watergraafsmeer - Diemen ,927,,927,927__,Watergraafsmeer,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,,,2cae70e6-e587-451d-a8d4-ed88b04be49e,ASD,,Amsterdam Centraal,1ae61aab-5f9d-43e9-8a29-cf09554798c8
43,Watergraafsmeer Oost aansl.,Aansluiting,Nederland,Onbekend,Nee,Nee,Nee,Ja,Wgmo,Ja,OA Overloop-aansluiting,Asd-Zp,Amsterdam Centraal - Zutphen ,587,a,587,587_a,Diemen,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,361ccadc-c86e-498c-82b1-29a420037163,GPDA,2cae70e6-e587-451d-a8d4-ed88b04be49e,ASD,Gaasperdammerweg aansl. (Amsterdam),Amsterdam Centraal,288caeb4-624d-415d-857b-9d67474ca176
44,Amsterdam Westhaven,Goederen Emplacement,Nederland,Onbekend,Ja,Nee,Nee,Ja,Awhv,Ja,Goederen emplacement,Awhv-Asd,Amsterdam Westhaven (gebied) - Amsterdam Centraal ,486,b,486,486_b,Amsterdam Westhaven (gebied),2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,f5cb0b4b-fc48-4ce6-bddb-3e5f7860059d,SGRA,2cae70e6-e587-451d-a8d4-ed88b04be49e,ASD,Singelgracht aansl.,Amsterdam Centraal,b6ac43ec-688a-4652-bb16-5fb9f1d2ec41
45,Muiderberg aansl.,Aansluiting,Nederland,Onbekend,Nee,Nee,Nee,Ja,Mbga,Ja,OA Overloop-aansluiting,Wp-Llso,Weesp - Lelystad Opstel. ,541,a,541,541_a,Weesp Aansl.,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,436aab70-fe56-4c60-b8a2-a82e326e1fe5,MBGA,2cae70e6-e587-451d-a8d4-ed88b04be49e,ASD,Muiderberg aansl.,Amsterdam Centraal,fae8adf6-6723-49ce-beec-666c2a99eec7
46,Amsterdam Zuid overloopwissels,Overloop,Nederland,Onbekend,Nee,Nee,Nee,Ja,Asdzo,Ja,OA Overloop-aansluiting,Gpda-Asra,Gaasperdammerweg Aansl. - Amsterdam Riekerpolder Aansl. ,144,a,144,144_a,Duivendrecht - Amsterdam Riekerpolder,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,a0aeb630-52b2-4297-b8ac-7206cec8861c,ASDZO,2cae70e6-e587-451d-a8d4-ed88b04be49e,ASD,Amsterdam Zuid overloopwissels,Amsterdam Centraal,5cc6bf2d-2bc2-4dcd-97e8-ff27e7517f10
47,Hoofddorp opstel.,Goederen Emplacement,Nederland,Onbekend,Nee,Nee,Ja,Ja,Hfdo,Ja,Goederen emplacement,Asra-Wmd,Amsterdam Riekerpolder Aansl. - Warmond ,133,a,133,133_a,Amsterdam Riekerpolder - Warmond,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,595151cf-77b2-4670-8243-1d2ee1b7be27,HFD,2cae70e6-e587-451d-a8d4-ed88b04be49e,ASD,Hoofddorp,Amsterdam Centraal,b84146be-0e99-480f-989d-677a3cc372d8
48,Schinkelbrug - bij Amsterdam Zuid,Brug,Nederland,Onbekend,Nee,Nee,Nee,Nee,Skbr,Ja,BR Beweegbare brug,Gpda-Asra,Gaasperdammerweg Aansl. - Amsterdam Riekerpolder Aansl. ,144,a,144,144_a,Duivendrecht - Amsterdam Riekerpolder,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,,,2cae70e6-e587-451d-a8d4-ed88b04be49e,ASD,,Amsterdam Centraal,eafe7cca-2962-4b40-910d-5aba20eb30a0
49,Gaasperdammerweg aansl. (Amsterdam),Aansluiting,Nederland,Onbekend,Nee,Nee,Nee,Ja,Gpda,Ja,OA Overloop-aansluiting,Asd-Zp,Amsterdam Centraal - Zutphen ,585,,585,585__,Diemen Aansl.,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,361ccadc-c86e-498c-82b1-29a420037163,GPDA,2cae70e6-e587-451d-a8d4-ed88b04be49e,ASD,Gaasperdammerweg aansl. (Amsterdam),Amsterdam Centraal,8a0415e4-c060-4617-929a-c649513b0023
50,Amsterdam Muiderpoort,Station,Nederland,Klein,Nee,Nee,Nee,Ja,Asdm,Ja,Stop-station,Asd-Zp,Amsterdam Centraal - Zutphen ,526,a,526,526_a,Amsterdam Muiderpoort,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,16c48c65-978f-4f30-bd62-2499665dad57,ASDM,2cae70e6-e587-451d-a8d4-ed88b04be49e,ASD,Amsterdam Muiderpoort,Amsterdam Centraal,ea7cac95-6673-4e28-9be8-22d1c4da0b34
51,Almere Muziekwijk Overloop,Overloop,Nederland,Onbekend,Nee,Nee,Nee,Ja,Almmo,Ja,OA Overloop-aansluiting,Wp-Llso,Weesp - Lelystad Opstel. ,135,,135,135__,Weesp Aansl. - Lelystad Industrieterrein,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,5fb809a6-1056-47ff-b441-4ff79f356f03,ALMMO,2cae70e6-e587-451d-a8d4-ed88b04be49e,ASD,Almere Muziekwijk overloopw.,Amsterdam Centraal,1134d5e0-5263-4ca1-87f9-42790811862a
52,Lelystad opstel.,Goederen Emplacement,Nederland,Onbekend,Nee,Nee,Nee,Ja,Llso,Nee,Goederen emplacement,Wp-Llso,Weesp - Lelystad Opstel. ,135,,135,135__,Weesp Aansl. - Lelystad Industrieterrein,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,30071971-b003-49c8-a9c2-76688f7ed30a,LLSOA,2cae70e6-e587-451d-a8d4-ed88b04be49e,ASD,Lelystad Opstelterrein Aansl.,Amsterdam Centraal,dc6c7385-4173-45fc-8403-8d477d6dc6bb
53,Hoevelaken,Halte,Nederland,Klein,Nee,Nee,Nee,Nee,Hvl,Ja,Stop-station,Asd-Zp,Amsterdam Centraal - Zutphen ,020,,20,020__,Amersfoort Aansl. - Barneveld Noord,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,,,c4839a12-d54e-4cab-9f02-a344459d9fab,AMF,,Amersfoort,b016da58-1903-47f1-a3a2-91b73ec12076
54,Soestdijk,Halte,Nederland,Klein,Nee,Nee,Nee,Nee,Sd,Ja,Stop-station,Dld-Brn,Den Dolder - Baarn ,091,,91,091__,Den Dolder - Baarn,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,,,c4839a12-d54e-4cab-9f02-a344459d9fab,AMF,,Amersfoort,9d1ec8cb-9720-446d-b579-11f3a29ff9e2
55,Ermelo,Halte,Nederland,Klein,Nee,Nee,Nee,Nee,Eml,Ja,Stop-station,Ama-Htba,Amersfoort Aansluiting - Hattemerbroek Aansluiting ,017,,17,017__,Amersfoort Aansl. - Hattemerbroek,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,,,c4839a12-d54e-4cab-9f02-a344459d9fab,AMF,,Amersfoort,d0d57094-175c-4b54-8486-54fb83778dba
56,Den Dolder,Station,Nederland,Klein,Nee,Nee,Nee,Ja,Dld,Ja,Stop-station,Ut-Amf,Utrecht - Amersfoort ,530,b,530,530_b,Den Dolder,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,2a3dbb61-ec3b-4750-8e87-0d8ec1f01499,DLD,c4839a12-d54e-4cab-9f02-a344459d9fab,AMF,Den Dolder,Amersfoort,f527d441-2a3c-4c00-bded-ab8a2cbf0e8a
