systeem;feitgroep;projcode;mate;aantal;initieelbedrag;;;;;;;A4 (Hoofddorp rechts);KL0601
WAHV ;Snelheid;KL0623;F 31_tem_39km;80;19.109;;;;;;;;
WAHV ;Snelheid;KL0624;A tem_10km;43.678;1.654.961;;;;;;;;
WAHV ;Snelheid;KL0624;B 11_tem_15km;5.100;478.935;;;;;;;;
WAHV ;Snelheid;KL0624;C 16_tem_20km;1.816;243.755;;;;;;;;
WAHV ;Snelheid;KL0624;D 20_tem_25km;685;121.052;;;;;;;;
WAHV ;Snelheid;KL0624;E 25_tem_30km;323;68.977;;;;;;;;
WAHV ;Snelheid;KL0624;F 31_tem_39km;115;31.920;;;;;;;;
WAHV ;Snelheid;KL0625;A tem_10km;22.102;800.085;;;;;;;;
WAHV ;Snelheid;KL0625;B 11_tem_15km;3.309;309.594;;;;;;;;
WAHV ;Snelheid;KL0625;C 16_tem_20km;1.125;152.696;;;;;;;;
WAHV ;Snelheid;KL0625;D 20_tem_25km;398;73.320;;;;;;;;
WAHV ;Snelheid;KL0625;E 25_tem_30km;167;34.398;;;;;;;;
WAHV ;Snelheid;KL0625;F 31_tem_39km;78;20.320;;;;;;;;
