FID,klasse,gdb_geomattr_data,shape
heggen.53,Heg/Haag,,"LINESTRING (177428.7969999984 312276.19900000095, 177424.1000000015 312263.81599999964)"
heggen.54,Heg/Haag,,"LINESTRING (177417.45699999854 312280.2980000004, 177414.94200000167 312271.8969999999)"
heggen.55,Heg/Haag,,"LINESTRING (177397.3440000005 312283.2650000006, 177394.6169999987 312272.23099999875)"
heggen.56,Heg/Haag,,"LINESTRING (177408.86499999836 312284.55099999905, 177405.96200000122 312273.65399999917)"
heggen.57,Heg/Haag,,"LINESTRING (177387.6000000015 312285.79300000146, 177385.6259999983 312274.8729999997)"
heggen.58,Heg/Haag,,"LINESTRING (177387.6000000015 312285.79300000146, 177397.3440000005 312283.2650000006)"
heggen.59,Heg/Haag,,"LINESTRING (177378.0610000007 312288.2670000009, 177376.65199999884 312279.9200000018)"
heggen.60,Heg/Haag,,"LINESTRING (177378.0610000007 312288.2670000009, 177387.6000000015 312285.79300000146)"
heggen.61,Heg/Haag,,"LINESTRING (177398.6490000002 312288.54399999976, 177397.3440000005 312283.2650000006)"
heggen.62,Heg/Haag,,"LINESTRING (177366.68200000003 312291.5370000005, 177365.52899999917 312283.7890000008)"
heggen.63,Heg/Haag,,"LINESTRING (177366.68200000003 312291.5370000005, 177374.79100000113 312289.11499999836, 177378.0610000007 312288.2670000009)"
heggen.64,Heg/Haag,,"LINESTRING (177389.0089999996 312293.5879999995, 177387.6000000015 312285.79300000146)"
heggen.65,Heg/Haag,,"LINESTRING (177357.1719999984 312294.3770000003, 177356.01199999824 312290.34699999914)"
heggen.66,Heg/Haag,,"LINESTRING (177357.1719999984 312294.3770000003, 177366.68200000003 312291.5370000005)"
heggen.67,Heg/Haag,,"LINESTRING (177379.7340000011 312298.1810000017, 177378.0610000007 312288.2670000009)"
heggen.68,Heg/Haag,,"LINESTRING (177564.7259999998 312298.5929999985, 177569.31799999997 312301.01199999824)"
heggen.69,Heg/Haag,,"LINESTRING (177368.15799999982 312301.46599999815, 177366.68200000003 312291.5370000005)"
heggen.70,Heg/Haag,,"LINESTRING (177533.69099999964 312301.8209999986, 177533.4200000018 312308.0089999996)"
heggen.71,Heg/Haag,,"LINESTRING (177359.74700000137 312303.31799999997, 177357.1719999984 312294.3770000003)"
heggen.72,Heg/Haag,,"LINESTRING (177520.55710000172 312307.0086000003, 177522.48699999973 312301.0329999998)"
heggen.73,Heg/Haag,,"LINESTRING (177462.94399999827 312307.49599999934, 177465.1240000017 312309.04199999943, 177461.96499999985 312315.1559999995)"
heggen.74,Heg/Haag,,"LINESTRING (177472.72399999946 312331.97199999914, 177463.2076999992 312334.87480000034)"
heggen.75,Heg/Haag,,"LINESTRING (177421.9200000018 312333.8280000016, 177427.1339999996 312338.58900000155)"
heggen.76,Heg/Haag,,"LINESTRING (177448.74399999902 312345.6479999982, 177454.94700000063 312346.83199999854)"
heggen.77,Heg/Haag,,"LINESTRING (177494.63100000098 312346.0159999989, 177489.3049999997 312347.7039999999)"
heggen.78,Heg/Haag,,"LINESTRING (177457.26089999825 312350.81269999966, 177456.24599999934 312357.32499999925)"
heggen.79,Heg/Haag,,"LINESTRING (177429.87000000104 312355.0229999982, 177424.5364000015 312351.7151999995)"
heggen.80,Heg/Haag,,"LINESTRING (177448.69099999964 312356.54399999976, 177456.24599999934 312357.32499999925)"
heggen.81,Heg/Haag,,"LINESTRING (177456.24599999934 312357.32499999925, 177456.08100000024 312358.3779999986, 177456.36100000143 312364.8280000016, 177456.11899999902 312367.3040000014)"
heggen.82,Heg/Haag,,"LINESTRING (177422.28799999878 312358.90100000054, 177417.47399999946 312355.20800000057)"
heggen.83,Heg/Haag,,"LINESTRING (177417.07299999893 312359.36100000143, 177413.5700000003 312363.89400000125)"
heggen.84,Heg/Haag,,"LINESTRING (177426.7950000018 312362.04300000146, 177421.19310000166 312369.32499999925)"
heggen.85,Heg/Haag,,"LINESTRING (177448.0450000018 312367.0709999986, 177456.11899999902 312367.3040000014)"
heggen.86,Heg/Haag,,"LINESTRING (177456.11899999902 312367.3040000014, 177455.92500000075 312369.2829999998, 177453.83399999887 312376.813000001, 177454.06599999964 312380.26399999857)"
heggen.87,Heg/Haag,,"LINESTRING (177398.01399999857 312368.7800000012, 177413.88100000098 312379.69900000095)"
heggen.88,Heg/Haag,,"LINESTRING (177446.811999999 312375.2340000011, 177454.06599999964 312380.26399999857)"
heggen.89,Heg/Haag,,"LINESTRING (177442.32699999958 312376.77899999917, 177438.42700000107 312383.0080000013)"
heggen.90,Heg/Haag,,"LINESTRING (177508.87319999933 312379.4145000018, 177510.7749999985 312385.2960000001)"
heggen.91,Heg/Haag,,"LINESTRING (177454.06599999964 312380.26399999857, 177454.35399999842 312384.5689999983)"
heggen.92,Heg/Haag,,"LINESTRING (177562.31700000167 312393.13800000027, 177568.27100000158 312393.0720000006)"
heggen.93,Heg/Haag,,"LINESTRING (177379.63100000098 312393.5069999993, 177387.50299999863 312398)"
heggen.94,Heg/Haag,,"LINESTRING (177378.56819999963 312404.9921000004, 177386.72800000012 312408.3979999982)"
heggen.95,Heg/Haag,,"LINESTRING (177536.9360000007 312432.1090000011, 177537.49599999934 312437.90199999884)"
heggen.96,Heg/Haag,,"LINESTRING (177548.93499999866 312434.25, 177547.97509999946 312428.2193999998)"
heggen.97,Heg/Haag,,"LINESTRING (177433.0159999989 312440.7120000012, 177432.11899999902 312432.23999999836, 177436.813000001 312431.80099999905)"
heggen.98,Heg/Haag,,"LINESTRING (177472.31799999997 312442.8839999996, 177468.88899999857 312450.42500000075)"
heggen.99,Heg/Haag,,"LINESTRING (177487.0639999993 312449.5080000013, 177486.03200000152 312457.4770000018)"
heggen.100,Heg/Haag,,"LINESTRING (177493.4750000015 312459.3770000003, 177493.9450000003 312449.83399999887)"
heggen.101,Heg/Haag,,"LINESTRING (177516.77800000086 312476.84800000116, 177515.7580000013 312467.72100000083)"
heggen.102,Heg/Haag,,"LINESTRING (177450.07299999893 312477.0009999983, 177458.30600000173 312476.55700000003)"
heggen.103,Heg/Haag,,"LINESTRING (177438.8590000011 312477.79100000113, 177440.96499999985 312477.4910000004, 177450.07299999893 312477.0009999983)"
heggen.104,Heg/Haag,,"LINESTRING (177438.8590000011 312477.79100000113, 177418.9699999988 312480.62000000104, 177420.08900000155 312489.59800000116, 177422.5450000018 312503.54199999943)"
heggen.105,Heg/Haag,,"LINESTRING (177440.19399999827 312487.4389999993, 177438.8590000011 312477.79100000113)"
heggen.106,Heg/Haag,,"LINESTRING (177441.21299999952 312492.811999999, 177442.3209999986 312501.5780000016)"
heggen.107,Heg/Haag,,"LINESTRING (177453.2410000004 312500.493999999, 177450.07299999893 312477.0009999983)"
heggen.108,Heg/Haag,,"LINESTRING (177442.3209999986 312501.5780000016, 177453.2410000004 312500.493999999)"
heggen.109,Heg/Haag,,"LINESTRING (177442.3209999986 312501.5780000016, 177443.61899999902 312511.8429999985)"
heggen.110,Heg/Haag,,"LINESTRING (177432.63899999857 312502.5390000008, 177430.8049999997 312489.63800000027)"
heggen.111,Heg/Haag,,"LINESTRING (177432.63899999857 312502.5390000008, 177442.3209999986 312501.5780000016)"
heggen.112,Heg/Haag,,"LINESTRING (177422.5450000018 312503.54199999943, 177432.63899999857 312502.5390000008)"
heggen.113,Heg/Haag,,"LINESTRING (177422.5450000018 312503.54199999943, 177422.6959999986 312504.3999999985, 177426.11800000072 312526.5560000017)"
heggen.114,Heg/Haag,,"LINESTRING (177421.5234999992 312503.6429999992, 177422.5450000018 312503.54199999943)"
heggen.115,Heg/Haag,,"LINESTRING (177454.59699999914 312510.5460000001, 177453.2410000004 312500.493999999)"
heggen.116,Heg/Haag,,"LINESTRING (177434.01300000027 312512.21400000155, 177432.63899999857 312502.5390000008)"
heggen.117,Heg/Haag,,"LINESTRING (177455.2349999994 312517.0089999996, 177456.0610000007 312525.8819999993)"
heggen.118,Heg/Haag,,"LINESTRING (177445.00200000033 312517.3429999985, 177445.74500000104 312526.71770000085)"
heggen.119,Heg/Haag,,"LINESTRING (177476.24700000137 312518.40300000086, 177476.8209999986 312525.368999999)"
heggen.120,Heg/Haag,,"LINESTRING (177435.94999999925 312527.28599999845, 177434.97899999842 312519.9919999987)"
heggen.121,Heg/Haag,,"LINESTRING (177495.9389999993 313104.88500000164, 177493.07600000128 313111.2190000005, 177501.86300000176 313117.31700000167, 177508.47399999946 313120.4690000005, 177508.43400000036 313123.2410000004, 177502.2250000015 313130.7729999982, 177508.41299999878 313136.6620000005, 177510.1799999997 313138.02899999917)"
heggen.122,Heg/Haag,,"LINESTRING (177534.6239 313114.1400000006, 177526.561999999 313109.05999999866)"
heggen.123,Heg/Haag,,"LINESTRING (177677.54089999944 313532.62040000036, 177676.8289999999 313536.54100000113, 177673.2049999982 313538.19299999997, 177672.31899999827 313553.2580000013, 177672.10700000077 313559.0729999989, 177670.80000000075 313586.5729999989, 177669.66899999976 313598.46400000155, 177666.20100000128 313617.6550000012, 177663.65900000185 313629.71400000155, 177659.07699999958 313643.7870000005)"
heggen.124,Heg/Haag,,"LINESTRING (176992.1649999991 314319.3289999999, 176991.38100000098 314317.49599999934, 176990.11199999973 314315.97399999946, 176987.4990000017 314315.2509999983, 176984.89299999923 314315.0700000003, 176981.41800000146 314314.79300000146, 176975.2969999984 314315.506000001)"
heggen.125,Heg/Haag,,"LINESTRING (177070.40900000185 314582.7679999992, 177070.1889999993 314618.92500000075, 177069.85500000045 314632.16099999845, 177069.78200000152 314635.0769999996, 177069.77600000054 314635.29199999943, 177069.91699999943 314635.2899999991, 177074.32600000128 314635.23000000045, 177075.63599999994 314635.23900000006, 177112.48600000143 314635.5020000003, 177124.69799999893 314635.33399999887, 177132.28599999845 314635.70800000057, 177133.97899999842 314636.8819999993, 177134.4849999994 314638.87099999934, 177134.0150000006 314662.66099999845, 177133.7960000001 314693.0729999989, 177133.9200000018 314702.0089999996, 177133.92700000107 314702.5689999983, 177133.65700000152 314706.08399999887, 177133.51799999923 314706.2509999983, 177132.3900000006 314707.6039999984, 177131.77199999988 314708.3449999988, 177128.36199999973 314709.98800000176, 177114.49700000137 314716.01000000164, 177110.9050000012 314717.5709999986, 177110.57400000095 314716.77699999884, 177093.84099999815 314724.8770000003)"
heggen.126,Heg/Haag,,"LINESTRING (177014.57600000128 314689.7809999995, 177015.23999999836 314676.0529999994, 177015.36199999973 314673.52699999884, 177015.3740000017 314672.65100000054, 177015.40399999917 314670.49599999934, 177015.8049999997 314656.85599999875)"
heggen.127,Heg/Haag,,"LINESTRING (177011.06700000167 314693.0399999991, 177012.89600000158 314693.2179999985, 177012.52800000086 314699.3759999983)"
heggen.128,Heg/Haag,,"LINESTRING (177072.59699999914 314693.90399999917, 177049.35500000045 314695.6779999994)"
heggen.129,Heg/Haag,,"LINESTRING (177049.35500000045 314695.6779999994, 177049.33999999985 314695.3220000006, 177049.33700000122 314695.243999999)"
heggen.130,Heg/Haag,,"LINESTRING (177049.35500000045 314695.6779999994, 177044.3900000006 314696.05700000003, 177042.75400000066 314696.91099999845, 177019.03400000185 314698.8370000012, 177013.8299999982 314699.26000000164, 177013.78799999878 314699.26300000027, 177012.52800000086 314699.3759999983)"
heggen.131,Heg/Haag,,"LINESTRING (177012.52800000086 314699.3759999983, 177008.26799999923 314699.7589999996)"
heggen.132,Heg/Haag,,"LINESTRING (177051.41600000113 314700.70600000024, 177051.00299999863 314698.81700000167, 177049.5309999995 314699.8599999994, 177049.35500000045 314695.6779999994)"
heggen.133,Heg/Haag,,"LINESTRING (177004.81899999827 314703.5720000006, 177005.28599999845 314711.91800000146)"
heggen.134,Heg/Haag,,"LINESTRING (177005.63899999857 314712.4530000016, 177006.6339999996 314722.625, 177017.3040000014 314721.81799999997)"
heggen.135,Heg/Haag,,"LINESTRING (177041.96700000018 314714.1970000006, 177042.2340000011 314719.9310000017)"
heggen.136,Heg/Haag,,"LINESTRING (177046.9140000008 314715.83399999887, 177046.23600000143 314707.23600000143)"
heggen.137,Heg/Haag,,"LINESTRING (177042.2340000011 314719.9310000017, 177042.2340000011 314719.9479999989, 177042.2490000017 314720.2650000006)"
heggen.138,Heg/Haag,,"LINESTRING (177042.2340000011 314719.9310000017, 177044.7969999984 314719.73699999973, 177044.8110000007 314719.75499999896, 177047.99300000072 314723.94900000095, 177048.12799999863 314724.1270000003, 177048.27800000086 314726.5240000002, 177048.61499999836 314731.8909999989)"
heggen.139,Heg/Haag,,"LINESTRING (177017.27600000054 314721.4759999998, 177017.2800000012 314721.5210000016, 177017.3040000014 314721.81799999997)"
heggen.140,Heg/Haag,,"LINESTRING (177017.3040000014 314721.81799999997, 177029.9990000017 314720.8570000008, 177042.2340000011 314719.9310000017)"
heggen.141,Heg/Haag,,"LINESTRING (177017.3040000014 314721.81799999997, 177018.11400000006 314731.9439999983, 177020.86400000006 314733.5450000018, 177029.02600000054 314732.83399999887, 177030.39299999923 314736.01999999955, 177032.93200000003 314737.4070000015, 177035.4759999998 314736.9930000007, 177037.6000000015 314735.7289999984, 177038.3500000015 314733.29399999976, 177038.28700000048 314732.8379999995)"
heggen.142,Heg/Haag,,"LINESTRING (177093.84099999815 314724.8770000003, 177093.60500000045 314724.9919999987, 177076.95899999887 314733.5210000016, 177076.49700000137 314725.2729999982, 177076.08399999887 314717.8929999992, 177075.8999999985 314714.62000000104, 177078.77600000054 314714.73999999836, 177082.7740000002 314715.243999999, 177085.82200000063 314716.3189999983, 177088.5639999993 314718.3570000008, 177090.8289999999 314720.48099999875, 177092.29399999976 314722.53599999845, 177093.84099999815 314724.8770000003)"
heggen.143,Heg/Haag,,"LINESTRING (177049.05799999833 314731.8500000015, 177048.61499999836 314731.8909999989)"
heggen.144,Heg/Haag,,"LINESTRING (177048.61499999836 314731.8909999989, 177038.28700000048 314732.8379999995)"
heggen.145,Heg/Haag,,"LINESTRING (177048.61499999836 314731.8909999989, 177049.10500000045 314739.70800000057, 177048.3280000016 314741.12099999934, 177043.6860000007 314743.6779999994, 177043.15700000152 314748.0529999994)"
heggen.146,Heg/Haag,,"LINESTRING (177038.28700000048 314732.8379999995, 177038.27899999917 314732.7809999995, 177038.14299999923 314731.80900000036)"
heggen.147,Heg/Haag,,"LINESTRING (177038.28700000048 314732.8379999995, 177035.95899999887 314733.0520000011, 177031.37700000033 314733.47199999914, 177030.1889999993 314733.58100000024)"
heggen.148,Heg/Haag,,"LINESTRING (177044.42300000042 314753.743999999, 177049.47700000182 314753.4149999991, 177053.35700000077 314752.4270000011, 177058.3289999999 314750.44099999964, 177062.30000000075 314748.4079999998, 177068.27800000086 314745.0320000015, 177087.87099999934 314734.1259999983, 177095.11899999902 314730.26900000125, 177110.8900000006 314722.5370000005, 177112.70699999854 314721.3909999989, 177115.23200000077 314720.3350000009, 177118.47800000012 314721.01999999955, 177120.54399999976 314723.1579999998, 177121.26399999857 314725.2899999991, 177121.08700000122 314728.0920000002, 177118.7109999992 314734.80799999833, 177109.13800000027 314760.5240000002, 177106.03500000015 314769.8299999982, 177104.87200000137 314773.31700000167)"
heggen.149,Heg/Haag,,"LINESTRING (177059.4219999984 314759.79100000113, 177062.1550000012 314752.88699999824, 177062.34899999946 314752.9670000002, 177070.09800000116 314756.16099999845)"
heggen.150,Heg/Haag,,"LINESTRING (177059.4219999984 314759.79100000113, 177059.55299999937 314759.7820000015)"
heggen.151,Heg/Haag,,"LINESTRING (177059.37999999896 314759.8979999982, 177059.4219999984 314759.79100000113)"
heggen.152,Heg/Haag,,"LINESTRING (177052.6090000011 314760.2729999982, 177052.59099999815 314760.1160000004, 177049.7410000004 314760.2340000011, 177047.51399999857 314759.5520000011, 177046.15100000054 314758.3830000013, 177044.9389999993 314756.6570000015, 177043.8909999989 314755.32499999925, 177044.05200000107 314755.48099999875)"
heggen.153,Heg/Haag,,"LINESTRING (177052.6090000011 314760.2729999982, 177059.4219999984 314759.79100000113)"
heggen.154,Heg/Haag,,"LINESTRING (177052.39600000158 314760.2879999988, 177052.6090000011 314760.2729999982)"
heggen.155,Heg/Haag,,"LINESTRING (177056.56599999964 314775.5870000012, 177054.63800000027 314778.9539999999)"
heggen.156,Heg/Haag,,"LINESTRING (177054.63800000027 314778.9539999999, 177052.6090000011 314760.2729999982)"
heggen.157,Heg/Haag,,"LINESTRING (177054.63800000027 314778.9539999999, 177054.68200000003 314783.48900000006, 177053.42300000042 314788.21499999985, 177043.9609999992 314816.3530000001, 177036.6649999991 314838.46599999815, 177030.5709999986 314857.41699999943, 177024.85200000182 314875.0529999994, 177018.7509999983 314893.48000000045, 177011.45600000024 314915.6570000015, 177004.2890000008 314937.5709999986, 176997.30799999833 314958.6959999986, 176989.39200000092 314983.3060000017, 176987.37099999934 314988.9530000016, 176986.8280000016 314997.0850000009, 176986.43499999866 315005.43200000003, 176986.37000000104 315006.8280000016, 176985.1950000003 315019.2470000014, 176985.1099999994 315019.7679999992, 176985.01300000027 315020.36300000176, 176985.01799999923 315020.69099999964)"
heggen.158,Heg/Haag,,"LINESTRING (177099.08199999854 314779.73999999836, 177101.46799999848 314781.01099999994, 177101.39499999955 314782.87099999934, 177098.71700000018 314789.3720000014, 177095.17700000107 314786.69200000167)"
heggen.159,Heg/Haag,,"LINESTRING (177095.43200000003 314786.7280000001, 177081.9750000015 314781.8429999985, 177067.01199999824 314776.8990000002, 177065.0859999992 314777.2250000015, 177056.81599999964 314778.6240000017, 177054.63800000027 314778.9539999999)"
heggen.160,Heg/Haag,,"LINESTRING (177152.01399999857 316441.82499999925, 177151.8139999993 316435.98800000176, 177150.15799999982 316430.2520000003, 177147.1000000015 316424.57400000095, 177143 316421.0540000014, 177139.1499999985 316418.36499999836, 177135.07600000128 316416.7509999983, 177131.96700000018 316415.95800000057, 177127.30999999866 316415.3049999997)"
heggen.161,Heg/Haag,,"LINESTRING (177001.8647999987 319630.45369999856, 177002.42399999872 319619.16899999976, 177002.73750000075 319617.29410000145)"
heggen.162,Heg/Haag,,"LINESTRING (177001.27199999988 319651.77600000054, 177001.2580000013 319648.31700000167, 177001.33900000155 319641.0540000014, 177001.5249999985 319637.2879999988)"
heggen.163,Heg/Haag,,"LINESTRING (177001.45199999958 319746.8718000017, 177001.41299999878 319743.76000000164)"
heggen.164,Heg/Haag,,"LINESTRING (176113.00400000066 319948.20899999887, 176106.9840000011 319941.2349999994, 176106.92700000107 319941.16899999976)"
heggen.165,Heg/Haag,,"LINESTRING (176384.62099999934 320446.4149999991, 176384.62000000104 320446.2109999992, 176380.4050000012 320438.41000000015, 176400.77450000122 320426.1442999989)"
heggen.166,Heg/Haag,,"LINESTRING (176269.29190000147 320511.3949000016, 176265.0540000014 320507.8280000016, 176259.25299999863 320511.2049999982)"
heggen.167,Heg/Haag,,"LINESTRING (176227.97399999946 320545.96499999985, 176225.24599999934 320548.6090000011, 176235.82499999925 320559.94099999964, 176248.3110000007 320548.7280000001, 176245.77100000158 320545.89499999955, 176246.71499999985 320545.0489999987)"
heggen.168,Heg/Haag,,"LINESTRING (176114.05799999833 320585.29199999943, 176124.23970000073 320595.29670000076)"
heggen.169,Heg/Haag,,"LINESTRING (176123.79300000146 320590.3999999985, 176115.33399999887 320583.30799999833)"
heggen.170,Heg/Haag,,"LINESTRING (176105.35500000045 320713.6229999997, 176098.0450000018 320725.2960000001, 176095.71499999985 320728.7820000015, 176082.46200000122 320750.01999999955, 176072.48000000045 320765.7749999985)"
heggen.171,Heg/Haag,,"LINESTRING (175639.01099999994 320722.0249999985, 175626.23000000045 320716.87000000104, 175624.86800000072 320718.30000000075, 175622.3759999983 320733.51000000164, 175618.0080000013 320732.23699999973, 175610.73699999973 320730.1180000007)"
heggen.172,Heg/Haag,,"LINESTRING (175632.30000000075 320747.15199999884, 175651.62099999934 320753.2679999992)"
