Stembureau_naam;Stembureau_nummer;Stembureau_adres;Stembureau_plaats;BVD;PvdA;VVD;GL;CDA;CUSGP;D66;WEK;SP;VSP;Geldig;Blanco;Ongeldig;Oproep;
42 De Koloriet/De Fontein;42;De Koloriet/De Fontein Matthijs Marisstraat 33 3314 TN;Dordrecht;172;144;21;50;34;69;32;10;67;23;622;0;15;1143;
44 De Koloriet/De Mondriaan;44;De Koloriet/De Mondriaan Jacob Marisstraat 80 3314 TK;Dordrecht;101;82;7;34;28;27;25;3;40;14;361;0;2;1356;
50 Buurtcentrum de Admiraal;50;Buurtcentrum de Admiraal Admiraalsplein 168 3317 BC;Dordrecht;191;85;27;20;27;45;28;8;53;43;527;1;5;1319;
51 Speeltuin Zeehavenkwartier;51;Speeltuin Zeehavenkwartier Sportlaan 17 3317 ZV;Dordrecht;43;22;3;2;4;3;8;5;12;10;112;0;0;1044;
52 Wielborgh, het Waterwiel;52;Wielborgh, het Waterwiel Admiraalsplein 700 3317 NJ;Dordrecht;192;84;16;15;47;25;34;10;75;66;564;1;1;1421;
54 Wooncentrum Watersteijn;54;Wooncentrum Watersteijn M.H. Trompweg 382, ing. achterzijde 3317 NV;Dordrecht;168;34;96;16;52;50;59;9;25;51;560;0;1;1046;
55 Postillion Hotel;55;Postillion Hotel Rijksstraatweg 30 3316 EH;Dordrecht;84;20;38;5;38;31;12;10;32;9;279;0;1;610;
60 Wooncentrum de Klockelaer;60;Wooncentrum de Klockelaer Tak van Poortvlietstr. ing. 1-137 3317 JS;Dordrecht;204;52;24;10;34;33;15;5;42;88;507;0;5;1155;
61 J.F. Kennedyschool;61;J.F. Kennedyschool Bosstraat 1 3317 KM;Dordrecht;139;76;26;15;32;49;34;5;39;43;458;0;3;1233;
63 Trefpunt de Nieuwe Stoof;63;Trefpunt de Nieuwe Stoof De Savornin Lohmanweg 100 3317 LA;Dordrecht;217;82;21;15;58;31;44;5;78;68;619;1;3;1450;
64 Kerk van de Nazarener;64;Kerk van de Nazarener Talmaweg 121 3317 RD;Dordrecht;67;61;11;10;42;30;17;7;52;27;324;1;2;1091;
65 Schoolgebouw;65;Schoolgebouw Dresselhuysstraat 1 3317 LC;Dordrecht;41;34;11;0;9;7;13;3;18;11;147;0;2;1218;
66 Zorgcentrum Vreedonk;66;Zorgcentrum Vreedonk Vreedonklaan 2 3317 HS;Dordrecht;143;22;34;9;109;128;35;3;25;36;544;0;1;784;
70 Bewonersver. 't Trefpunt;70;Bewonersver. 't Trefpunt Planetenlaan 16A 3318 JJ;Dordrecht;289;55;55;19;82;70;60;11;54;81;776;1;1;1217;
71 Dep J.F. Kennedyschool;71;Dep J.F. Kennedyschool Eddingtonweg 3 3318 BE;Dordrecht;255;68;25;20;71;88;43;6;49;36;661;1;3;1308;
72 Cultureel Centrum Sterrenburg;72;Cultureel Centrum Sterrenburg Dalmeyerplein 10 3318 CB;Dordrecht;148;59;26;10;39;40;20;10;45;47;444;0;1;1173;
73 Wielborgh, het Sterrenwiel;73;Wielborgh, het Sterrenwiel Dalmeyerplein 80 3318 DA;Dordrecht;232;81;26;15;55;53;27;2;75;98;664;1;6;970;
74 Verpleegtehuis Sterrenlanden;74;Verpleegtehuis Sterrenlanden Minnaertweg 4 3328 HN;Dordrecht;314;55;65;29;95;87;56;15;65;38;819;2;1;1493;
75 Polyanderschool;75;Polyanderschool Atmosfeerstraat 34 3328 GA;Dordrecht;200;72;18;7;51;115;32;17;41;51;604;0;3;1373;
76 School de Driehoek;76;School de Driehoek Driehoek 41 3328 KG;Dordrecht;287;63;57;24;90;40;81;15;59;43;759;2;0;1412;
77 School De Sterrekijker;77;School De Sterrekijker Boogschutter 71 3328 KC;Dordrecht;282;52;64;28;105;40;82;2;44;35;734;1;4;1352;
78 School De Keerkring;78;School De Keerkring Ockenburg 44 3328 TG;Dordrecht;279;38;40;30;45;20;56;7;67;51;633;4;0;1434;
81 Ontmoetingskerk;81;Ontmoetingskerk Slangenburg 3 3328 DN;Dordrecht;418;75;104;56;86;59;129;23;74;43;1067;3;0;1475;
82 School De Meridiaan;82;School De Meridiaan Kinkelenburg 19 3328 AE;Dordrecht;269;48;86;36;80;25;113;4;62;36;759;2;1;1432;
83 School Het Kristal Dependance;83;School Het Kristal Dependance Zuilenburg 68 3328 VC;Dordrecht;176;31;30;11;54;18;25;6;37;32;420;0;1;1362;
84 School Het Kristal;84;School Het Kristal Heimerstein 36 3328 ME;Dordrecht;285;45;56;39;110;85;82;8;70;29;809;7;0;1434;
91 Verzorgingshuis Dubbelmonde;91;Verzorgingshuis Dubbelmonde Koningstraat 290 3319 PH;Dordrecht;382;58;114;23;189;125;80;9;38;66;1084;1;5;1442;
93 De Rank;93;De Rank Dubbelsteynlaan West 70 3319 EM;Dordrecht;402;48;85;20;151;120;53;9;43;42;973;4;1;1437;
94 Verpleeghuis Het Parkhuis;94;Verpleeghuis Het Parkhuis Haaswijkweg Oost 69A 3319 GB;Dordrecht;341;36;90;17;110;112;69;23;36;31;865;1;0;1417;
95 De Rank;95;De Rank Dubbelsteynlaan West 70 3319 EM;Dordrecht;227;16;50;7;98;78;38;13;25;20;572;0;1;1181;
96 Julianaschool;96;Julianaschool Goudenregenstraat 65 3319 TB;Dordrecht;414;38;95;12;149;109;80;13;44;29;983;1;2;1390;
97 Wooncentrum De Gravenhorst;97;Wooncentrum De Gravenhorst Vijverlaan 1002 3319 PK;Dordrecht;409;45;118;20;134;93;43;14;40;49;965;1;1;1515;
98 Hotel de Watertoren;98;Hotel de Watertoren Kromme Zandweg 80 3319 LC;Dordrecht;291;31;153;18;105;92;102;26;14;14;846;0;0;1528;
101 Gymzaal;101;Gymzaal Selma Lagerlöf-erf 160-162 3315 AS;Dordrecht;186;48;40;18;50;33;38;3;54;15;485;0;0;1427;
102 Oranje Nassauschool;102;Oranje Nassauschool Selma Lagerlof-erf 166 3315 AT;Dordrecht;216;53;37;21;46;62;41;11;54;32;573;3;4;1221;
103 Voormalige Peuterspeelzaal;103;Voormalige Peuterspeelzaal Henriëtte Roland Holst-erf 134 3315 TD;Dordrecht;227;56;44;23;48;91;68;13;50;43;663;0;3;1392;
104 Geert Grooteschool;104;Geert Grooteschool Van den Broek-erf 3 3315 SB;Dordrecht;180;47;53;19;39;54;56;3;45;44;540;0;2;1250;
105 Geert Grooteschool;105;Geert Grooteschool Van den Broek-erf 7 3315 SB;Dordrecht;240;48;66;17;61;30;58;4;47;20;591;1;1;1032;
106 Wielborgh, het Polderwiel;106;Wielborgh, het Polderwiel Dudok-erf 58 3315 KA;Dordrecht;392;76;81;24;97;47;88;12;89;108;1014;2;4;841;
107 Portacabin;107;Portacabin Mina Krüseman-erf 470 3315 GM;Dordrecht;202;30;34;20;48;61;47;3;41;32;518;3;2;1402;
108 Portacabin;108;Portacabin Mina Krüseman-erf 470 3315 GM;Dordrecht;188;30;28;16;49;42;41;5;33;27;459;0;4;1432;
109 Kandelaarkerk;109;Kandelaarkerk Van Eesterenplein 230 3315 KW;Dordrecht;140;18;39;12;44;44;36;7;25;18;383;3;3;633;
110 Speeltuin Stadspolders;110;Speeltuin Stadspolders Meranti 50 3315 TR;Dordrecht;226;45;67;18;59;30;54;5;38;22;564;3;2;1418;
111 School De Bever;111;School De Bever Chico Mendesring 188 3315 MB;Dordrecht;321;63;116;49;91;55;106;16;43;30;890;1;1;1590;
112 Johan Frisoschool Dependance;112;Johan Frisoschool Dependance Chico Mendesring 821 3315 WX;Dordrecht;272;76;108;28;70;63;99;5;30;33;784;1;2;1530;
200 Portacabin Centraal Station;200;Portacabin Centraal Station Stationsplein 3311 JV;Dordrecht;187;79;72;119;53;80;203;17;84;17;911;1;5;0;
210 Alb. Schweitzerzhs, Dordtwijk;210;Alb. Schweitzerzhs, Dordtwijk Alb. Schweitzerplaats 25 3318 AT;Dordrecht;184;38;32;11;38;22;48;6;34;24;437;0;1;88;
;;;;;;;;;;;;;;;;;;
