ISIL codes door het Nationaal Archief toegekend aan Nederlandse archiefinstellingen;;;
Plaats;Instelling;ISIL code;Toegekend op
Den Bosch;BHIC;NL-HtBHIC;28-3-2012
Den Bosch;Stadsarchief ‘s-Hertogenbosch ;NL-HtSA;20-3-2014
Den Dolder;Historische Vereniging Den Dolder;NL-DdrHVDD;9-1-2012
Den Haag;Centraal Bureau voor Genealogie;NL-HaCBG;1-4-2010
Den Haag;Data Archiving & Networked Services;NL-HaDANS;4-11-2013
Den Haag;Haags Gemeentearchief;NL-HaHGA. ;19-12-2008
Den Haag;Nationaal Archief;NL-HaNA;10-10-2008
Den Haag;Nederlandse Rode Kruis ;NL-HaNRK;5-7-2012
Den Haag;Rijksbureau voor Kunsthistorische Documentatie ;NL-HaRKD;20-11-2008
Den Haag;Cultureel Maçonniek Centrum 'Prins Frederik';NL-HaCMC;4-3-2014
Den Haag;Ministerie van Algemene Zaken;NL-HaAZ;26-3-2015
Den Haag;Ministerie van Binnenlandse Zaken en Koninkrijksrelaties;NL-HaBZK;26-3-2015
Den Haag;Ministerie van Buitenlandse Zaken;NL-HaBZ;26-3-2015
Den Haag;Ministerie van Defensie;NL-HaDEF;26-3-2015
Den Haag;Ministerie van Economische Zaken;NL-HaEZ;26-3-2015
Den Haag;Ministerie van Financiën;NL-HaFIN;26-3-2015
Den Haag;Ministerie van Infrastructuur en Milieu;NL-HaIM;26-3-2015
Den Haag;Ministerie van Onderwijs, Cultuur en Wetenschap;NL-HaOCW;26-3-2015
Den Haag;Ministerie van Sociale Zaken en Werkgelegenheid;NL-HaSZW;26-3-2015
Den Haag;Ministerie van Veiligheid en Justitie;NL-HaVJ;26-3-2015
Den Haag;Ministerie van Volksgezondheid, Welzijn en Sport;NL-HaVWS;26-3-2015
Den Haag;Koninklijke Verzamelingen;NL-HaKV;4-6-2015
Den Haag;Museum voor Communucatie;NL-HAMuscom;2-7-2015
Den Haag;Museum Meermanno ;NL-HaMM;5-10-2015
Den Haag;Doc-Direkt;NL-HaDD;21-3-2016
Den Haag ;Nederlands Instutuut voor Militaire Historie;NL-HaNIMH;1-5-2013
Den Ham;Oudheidkundige Vereniging Den Ham-Vroomshoop ;NL-HamOVDHV;21-8-2014
Deventer;Stadsarchief en Athenaeumbibliotheek ;NL-DvSA  ;12-2-2009
Deventer;Historisch Centrum Overijssel – Vestiging Deventer ;NL-DvHCO;13-10-2016
Diepenheim;Historische Vereniging Old Deep’n ;NL-DphOD;24-12-2013
Diepenveen;Historische Vereniging Dorp Diepenveen en omgeving;NL-DpvHVDD;18-1-2013
Diever;Gemeente Westerveld;NL-DiGW;14-11-2014
Doetinchem;Erfgoedcentrum Achterhoek en Liemers ;NL-DtcSARA;8-2-2013
Dordrecht;Regionaal Archief Dordrecht;NL-DdtRAD ;2-5-2013
Drachten;Gemeente Smallingerland;NL-DtnGS;14-11-2014
Ede;Gemeentearchief Ede;NL-EdGA. ;28-1-2009
Eindhoven;Regionaal Historisch Centrum Eindhoven;NL-EhvRHCE ;25-6-2013
Emmen;Gemeente Emmen;NL-EmnGE;14-11-2014
Enschede;Stadsarchief Enschede;NL-EsSA;25-10-2011
Enschede;Universitair archief Twente;NL-EsUAT;6-3-2014
Enschede;Vereniging Oudheidkamer Twente;NL-EsOKT;27-8-2015
Enschede;Museum TwentseWelle ;NL-EsMTW;11-7-2016
Exloo;Gemeente Borger-Odoorn;NL-ExGBO;14-11-2014
Ferwert;Gemeente Ferwerderadiel;NL-FwGF;14-11-2014
Franeker;Gemeente Franekeradeel;NL-FnGF;14-11-2014
Gemert;Gemeentearchief Gemert-Bakel ;NL-GmtGAGB;14-11-2014
Gieten;Gemeente Aa en Hunze;NL-GtnGAH;14-11-2014
Goor;Stichting Historisch Goor;NL-GoSHG;24-2-2014
Gouda;Streekarchief Midden Holland;Nl-GdSAMH;27-4-2009
Groningen;Archief en Documentatiecentrum Nederlandse Gedragswetenschappen ;NL-GnADNG;21-11-2008
Groningen;Groninger Archieven;NL-GnGRA;24-11-2008
Groningen;Nederland Rusland Centrum;NL-GnNRCE  ;1-7-2013
Groningen;Universiteitsmuseum Groningen;NL-GnUMG;8-7-2011
Groningen;Provincie Groningen;NL-GnPG;14-11-2014
Groningen;Waterschap Noorderzijlvest;NL-GnWN;14-11-2014
Groningen ;Documentatiecentrum Nederlandse Politieke Partijen ;NL-GnDNPP;25-8-2014
Grootegast;Gemeente Grootegast;NL-GtgGG;14-11-2014
Haaksbergen;Historische Kring Haaksbergen ;NL-HkbHKH;4-6-2015
Haarle;Stichting Marke Haarle ;NL-HleSMH;15-11-2014
Haarlem;Noord-Hollands Archief;NL-HlmNHA;25-11-2008
Hardenberg;Gemeentearchief Hardenberg;NL-HdbGA;1-5-2013
Hardenberg;Historische Vereniging Hardenberg e.o.;NL-HdbHVH;5-8-2013
Haren (Groningen);Gemeente Haren;NL-HrnGH;14-11-2014
Harlingen;Gemeente Harlingen;NL-HlGH;14-11-2014
Heerenveen;Gemeente Heerenveen;NL-HrvGH;14-11-2014
Heerenveen;Liberaal Joodse Gemeente Friesland (LJG Friesland);NL-HrvLJGF;12-10-2015
Heerlen;Centrum voor Regionale Geschiedenis Rijckheyt ;NL-HrlRi ;5-12-2008
Heusden;Streekarchief Land van Heusden en Altena;NL-HdnSALHA;30-6-2011
Hilversum;Streekarchief Gooi en Vechtstreek ;NL-HvsSAGV;20-11-2008
Hoogeveen;Gemeente Hoogeveen;NL-HgvGH;14-11-2014
Hoogezand;Gemeente Hoogezand-Sappemeer;NL-HgzGHS;14-11-2014
Hooghalen;Herinneringscentrum Kamp Westerbork ;NL-HhlHCKW;2-12-2016
Hoorn;Westfries Archief ;NL-HnWFA;10-7-2012
Hulst;Gemeentearchief Hulst;NL-HltGA;3-8-2015
IJsselsein;Historische Kring IJsselstein ;NL-IJssHKIJ;13-2-2012
IJsselstein ;Stichting Dodenakkers ;NL-IJssSDN;18-11-2014
Joure;Gemeente De Fryske Marren;NL-JrGFM;14-11-2014
Kampen;Gemeentearchief Kampen;NL-KpGA;25-4-2014
Kerkrade;Gemeentearchief Kerkrade;NL-KrdGA.;29-4-2013
Kollum;Gemeente Kollumerland ca.;NL-KlmGK;14-11-2014
Kortenhoef;Historische Kring Ankeveen ’s-Graveland en Kortenhoef.;NL-KhfHK;3-6-2013
Leek;Gemeente Leek;NL-LekGL;14-11-2014
Leens;Gemeente De Marne;NL-LnsGDM;14-11-2014
Leerdam;Historische Vereniging Leerdam;NL-LdmHVL;9-1-2014
Leeuwarden;Tresoar;NL-04-0041-000;11-11-2013
Leeuwarden;Wetterskip Fryslân ;NL-LwWA ;8-12-2008
Leeuwarden;Gemeentearchief Leeuwarden;NL-LwHCL ;24-6-2013
Leeuwarden;Provincie Fryslan;NL-LwPF;14-11-2014
Leiden;Hoogheemraadschap van Rijnland ;NL-LdnHHR;13-9-2011
Leiden;KITLV;NL-LdnKITLV;29-3-2012
Leiden;Erfgoed Leiden en Omstreken;NL-LdnRAL ;27-8-2009
Leiden;Rijksmuseum van Oudheden;NL-LdnRMO;30-8-2012
Leiden;Rijksmuseum voor Volkenkunde;NL-LdnRMV;12-5-2011
Leiden;Museum Boerhave;NL-LdnMB;30-9-2014
Lelystad;Nieuw Land Erfgoedcentrum ;NL-LlsNLE;27-2-2012
Loppersum;Gemeente Loppersum;NL-LpGL;14-11-2014
Losser;de Historische Kring Losser ;NL-LsHKL;3-12-2015
Maassluis;Historische Vereniging Maassluis en omgeving ;NL-MssHVM;22-2-2013
Maastricht;Regionaal Historisch Centrum Limburg;NL-MtRHCL;13-9-2012
Maastricht;Sociaal Historisch Centrum voor Limburg ;NL-MtSHCL;10-3-2016
Markelo;Stichting Heemkunde Markelo ;NL-MkSHM;4-11-2013
Marum;Gemeente Marum;NL-MamGM;14-11-2014
Menaam;Gemeente Menameradiel;NL-MenGM;14-11-2014
Meppel;Gemeente Meppel;NL-MpGM;14-11-2014
Middelburg;Zeeuws Archief;NL-MdbZA;25-11-2008
Middelburg;Zeeuwse Bibliotheek in Middelburg ;NL-MdbZB;5-2-2013
Millingen aan de Rijn;Gemeentearchief Millingen aan de Rijn;NL-MlgGA;20-11-2008
Muntendam;Gemeente Menterwolde;NL-MtmGM;14-11-2014
Nijkerk;Gemeentearchief Nijkerk;NL-NkGA;26-4-2013
Nijmegen;Regionaal Archief Nijmegen;NL-NmRAN;12-5-2011
Nijmegen;Katholiek Documentatiecentrum in Nijmegen ;NL-NmKDC;26-5-2011
Nijverdal;Historische Kring Hellendoorn-Nijverdal ;NL-NvHKHN;12-1-2015
Nijverdal;Gemeente Hellendoorn;NL-NvGH;19-2-2015
Oldenzaal;Twents Fotoarchief in Oldenzaal ;NL-OdzTFA;17-11-2016
Olst;Historische Vereniging ’t Olster Erfgoed;NL-OstHVOE;6-5-2016
Ommen;Stichting Oud Ommen;NL-OmnOO;31-10-2014
Ommen;Gemeentearchief Ommen;NL-OmnGA;13-11-2014
Ommen;Historische Kring Ommen;NL-OmnHKO;9-2-2015
Oostburg;Gemeentearchief Sluis;NL-ObgGASL;1-12-2015
Ootmarsum;Vereniging Heemkunde Ootmarsum en Omstreken ;NL-OmsVHO;9-8-2013
Oude Pekela;Gemeente Pekela;NL-OdpGP;14-11-2014
Panningen;Gemeentearchief Peel en Maas;NL-PngGPM;3-8-2015
Purmerend;Waterlands Archief;NL-PmWA ;24-11-2008
Putten;gemeentearchief Putten ;NL-PtnGA;4-9-2014
Roden;Gemeente Noordenveld;NL-RodGN;14-11-2014
Roermond;Gemeentearchief Roermond;NL-RmGA;7-7-2009
Roermond;Gemeentearchief Roermond, archieven gemeente Leudal;NL-RmLdl;17-4-2014
Roosendaal ;Gemeentearchief Roosendaal;NL-RsdGARO;14-4-2011
Rotterdam;Universiteitsbibliotheek van de Erasmus Universiteit Rotterdam;NL-RtEUR;1-10-2013
Rotterdam;Hoogheemraadschap van Schieland en de Krimpenerwaard;NL-RtHHSK;9-1-2012
Rotterdam;Het Nieuwe Instituut;NL-RtHNI;24-6-2013
Rotterdam;Museum Boijmans Van Beuningen;NL-RtMBVB;7-5-2013
Rotterdam;Nederlands Architectuurinstituut;NL-RtNAI ;21-11-2009
Rotterdam;Stadsarchief Rotterdam;NL-RtSA;21-8-2014
Schiedam;Gemeentearchief Schiedam;NL-SdmGA;3-12-2008
Sellingen;Gemeente Vlagtwedde;NL-SelGV;14-11-2014
Sint Agatha;Erfgoedcentrum Nederlands Kloosterleven;NL-AgaENK;29-4-2013
Sittard;Euregionaal Historisch Centrum ;NL-StdEHC  ;2-7-2013
Slochteren;Gemeente Slochteren;NL-SloGS;14-11-2014
Sneek;Gemeente Sudwest-Fryslan;NL-SkGSF;14-11-2014
Soest;Nationaal Militair Museum ;NL-SosNMM;15-5-2014
St. Annaparochie;Gemeente Het Bildt;NL-AnpGHB;14-11-2014
Stadskanaal;Gemeente Stadskanaal;NL-SknGS;14-11-2014
Staphorst;Gemeente Staphorst;NL-SthGE;28-4-2017
Steenwijk;Gemeentearchief Steenwijkerland ;NL-StwGA;26-4-2013
Stiens;Gemeente Leeuwarderadeel;NL-StsGL;14-11-2014
Ten Boer;Gemeente Ten Boer;NL-TenGTB;14-11-2014
Tiel;Regionaal Archief Rivierenland;NL-TlRAR;25-5-2012
Tilburg;Regionaal Archief Tilburg;NL-TbRAT  ;19-2-2009
Tynaarlo;gemeentearcchief van Tynaarlo;NL-VrsGAT  ;2-7-2013
Uithuizen;Gemeente Eemsmond;NL-UhzGE;14-11-2014
Utrecht;Het Utrechts Archief;NL-UtHUA;26-6-2009
Utrecht;Museum Bleulandinum;NL-UtMB;9-2-2012
Utrecht;Universiteitsmuseum Utrecht;NL-UtUMU;9-2-2012
Veendam;Gemeente Veendam;NL-VdmGV;14-11-2014
Veendam;Waterschap Hunze en Aa's;NL-VdmWHA;14-11-2014
Veenendaal;Gemeentearchief Veenendaal;NL-VndGA;12-1-2012
Venlo;Gemeentearchief Venlo;NL-VlGA;24-12-2013
Vianen;Gemeentearchief Vianen;NL-VaGA;20-9-2011
Vlaardingen;Stadsarchief Vlaardingen;NL-VdgSA;25-6-2009
Vlieland;Gemeente Vlieland;NL-VldGV;14-11-2014
Vlissingen;Gemeentearchief Vlissingen;NL-VsGA ;25-6-2013
Vollenhove ;Cultuur Historisch Centrum Land van Vollenhove;NL-VlhCHC;19-5-2014
Voorburg;Gemeentearchief Leidschendam-Voorburg;NL-VbGALV;24-12-2013
Wageningen;Gemeentearchief Wageningen;NL-WgGA;20-11-2008
Wedde;Gemeente Bellingwedde;NL-WedeGB;14-11-2014
Weerselo;Vereniging Heemkunde Weerselo ;NL-WslVHW;7-2-2014
Weert;Gemeentearchief Weert;NL-WtGAW;16-5-2011
Weesp;Gemeentearchief Weesp;NL-WpGAW ;8-12-2008
Weesp;Documentatiecentrum Stelling van Amsterdam ;NL-WpDStvA;31-5-2016
West-Terschelling;Gemeente Terschelling;NL-WtslGT;14-11-2014
Wierden;Historische Kring Wederen ;NL-WdnHKW;27-2-2015
Wijhe;Historische Vereniging Wijhe ;NL-WeHVW;8-5-201
Wijk bij Duurstede;Regionaal Historisch Centrum Zuidoost Utrecht;NL-WbdRHCZOU;10-12-2013
Winschoten;Gemeente Oldambt;NL-WsGO;14-11-2014
Winsum;Gemeente Winsum;NL-WsmGW;14-11-2014
Woerden;Regionaal Historisch Centrum Rijnstreek en Lopikerwaard;NL-WdRHCRL;7-10-2013
Wommels;Gemeente Littenseradiel;NL-WmsGL;14-11-2014
Zaandam;Gemeentearchief Zaanstad;NL-ZdGAZ;24-6-2013
Zaltbommel;Streekarchief Bommelwaard ;NL-ZbmSAB ;5-12-2008
Zeist;Gemeentearchief Zeist;NL-ZtGAZ;17-3-2009
Zierikzee;Gemeentearchief Schouwen Duiveland;NL-ZrGSD ;3-12-2008
Zuidhorn;Gemeente Zuidhorn;NL-ZhGZ;14-11-2014
Zuidwolde;Gemeente De Wolden;NL-ZwdGDW;14-11-2014
Zwolle;Historisch Centrum Overijssel – Vestiging Zwolle;NL-ZlHCO;12-5-2010
Zwolle;Dominicanenklooster ;NL-ZlDk;30-5-2016
Zwolle;Stichting IJsselacademie ;NL-ZlIJA;29-7-2016
Zwolle;Provincie Overijssel;NL-ZlPO;17-11-2016
Zwolle;Gemeente Zwolle;NL-ZlGZ;29-11-2016
Den Haag;Koninklijk Kabinet van Schilderijen Mauritshuis ;NL-HaMH;30-12-2016
Deventer;Stichting Industrieel Erfgoed Deventer ;NL-DvSIED;14-3-2017
Amsterdam;Van Gogh Museum ;NL-AsdVGM;14-3-2017
Hoogezand;gemeentearchief Midden-Groningen ;NL-HgzGAMG;15-5-2017
Haarlem;Provincie Noord-Holland ;NL-HlmPNH;2-6-2017
Lelystad;het Regionaal Historisch Centrum Het Flevolands Archief;NL-LlsHFA;19-7-2017
Bunnik;Nederlandse Genealogische vereniging ;NL-BunNGV;19-7-2017
Hoogezand;het Historisch Archief Midden-Groningen ;NL-HgzHAMG;19-7-2017
Amsterdam;De Hollandsche Molen ;NL-AsdDHM;4-8-2017
Ijmuiden;Gemeente Velzen;NL-IJmGV;8-8-2017
Kampen;Historische Vereniging voor de IJsseldelta 'Jan van Arkel' ;NL-KpHVJvA;18-9-2017
Amsterdam;Stichting Zuid-Afrikahuis ;NL-AsdZAH;21-9-2017
Amsterdam;De Nederlandsche Bank (DNB) ;NL-AsdDNB ;10-10-2017
Den Bosch;Gemeente 's-Hertogenbosch ;NL-HtGH;3-11-2017
Vriezenveen;het Historisch Museum Vriezenveen;NL-VzHMV;4-12-2017
Sibculo;Stichting Klooster Sibculo;NL-SbculoSKS;15-1-2018
Hilversum;Stichting Omroepmuziek (SOM)  ;NL-HvsSOM;15-1-2018
Slagharen;Streekhistorisch Centrum Slagharen;NL-ShnSHC;2-2-2018
Tholen;Gemeentearchief Tholen ;NL-TlnGAT;8-2-2018
Leiden;Naturalis;NL-LdnNAT;8-2-2018
Amsterdam;Verzetsmuseum Amsterdam;NL-AsdVMA;5-3-2018
Nieuwdorp;Bevrijdingsmuseum Zeeland;NL-NdpBMZ;5-3-2018
Selingen;Gemeente Westerwolde ;NL-SelWed;14-4-2018
Heerhugowaard;Hoogheemraadschap Hollands Noorderkwartier;NL-HhwHHNK;25-5-2018
Amsterdam;IHLIA LGBT Heritage;NL-AsdIHLIA;13-7-2018
Utrecht;Alchemy Archive;NL-UtAA;13-7-2018
Enschede;Muziekbank Enschede;NL-EsMBE;5-2-2019
Deventer;Gemeente Deventer;NL-DvGD;26-2-2019
Loenen aan de Vecht;Historische Kring Loenen ;NL-LnHKL;21-3-2019
Hellendoorn;Werkgroep Historisch Hellendoon;NL-HelWHH;21-3-2019
Nijverdal ;Memory Vrijheids Museum ;NL-NvMVM;14-5-2019
Hengelo;Museum Electro-Radio-Nostalgie (MERN);NL-HglMERN;22-5-2019
Amsterdam;Stichting Genealogie en geschiedenis geslacht Van Riemsdijk te Overijssel;NL-AsdRSO;12-6-2019
Mijdrecht;Historische Vereniging De Proosdijlanden;NL-MdtHVP;12-6-2019
