FID,materiaal,categorie,type,aanlegjaar,geometrie
O10002_Rioolkaart_put_OD.26,PVC/gietijzer,kolk,Trottoirkolk,1994,MULTIPOINT ((172335.04 508925.278))
O10002_Rioolkaart_put_OD.27,beton/gietijzer,kolk,Straatkolk,1992,MULTIPOINT ((176798.699 503186.31))
O10002_Rioolkaart_put_OD.28,PVC/gietijzer,kolk,Trottoirkolk,1992,MULTIPOINT ((176800.019 503180.2))
O10002_Rioolkaart_put_OD.29,beton/gietijzer,kolk,Straatkolk,1992,MULTIPOINT ((176717.499 503307.209))
O10002_Rioolkaart_put_OD.30,beton/gietijzer,kolk,Straatkolk,1992,MULTIPOINT ((176718.059 503311.76))
O10002_Rioolkaart_put_OD.31,beton/gietijzer,kolk,Straatkolk,1992,MULTIPOINT ((176735.159 502737.06))
O10002_Rioolkaart_put_OD.32,beton/gietijzer,kolk,Straatkolk,1992,MULTIPOINT ((176635.969 502745.18))
O10002_Rioolkaart_put_OD.33,beton/gietijzer,kolk,Straatkolk,1992,MULTIPOINT ((176871.939 503138.57))
O10002_Rioolkaart_put_OD.34,beton/gietijzer,kolk,Straatkolk,1992,MULTIPOINT ((176803.629 503139.71))
O10002_Rioolkaart_put_OD.35,beton/gietijzer,kolk,Straatkolk,1991,MULTIPOINT ((176791.899 503076.25))
O10002_Rioolkaart_put_OD.36,beton/gietijzer,kolk,Straatkolk,1991,MULTIPOINT ((176849.049 502981.53))
O10002_Rioolkaart_put_OD.37,beton/gietijzer,kolk,Straatkolk,1991,MULTIPOINT ((176752.449 503081.3))
O10002_Rioolkaart_put_OD.38,beton/gietijzer,kolk,Trottoirkolk,1980,MULTIPOINT ((176839.419 502769.4))
O10002_Rioolkaart_put_OD.39,PVC/gietijzer,kolk,Straatkolk,onbekend,MULTIPOINT ((172105.03 508251.116))
O10002_Rioolkaart_put_OD.40,PVC/gietijzer,kolk,Straatkolk,1998,MULTIPOINT ((172106.765 508228.606))
O10002_Rioolkaart_put_OD.41,beton/gietijzer,kolk,Straatkolk,1998,MULTIPOINT ((172117.26 508250.823))
O10002_Rioolkaart_put_OD.42,PVC/gietijzer,kolk,Straatkolk,1998,MULTIPOINT ((172087.023 508224.455))
O10002_Rioolkaart_put_OD.43,PVC/gietijzer,kolk,Straatkolk,1998,MULTIPOINT ((172087.489 508239.294))
O10002_Rioolkaart_put_OD.44,PVC/gietijzer,kolk,Straatkolk,1998,MULTIPOINT ((172090.937 508225.324))
O10002_Rioolkaart_put_OD.45,PVC/gietijzer,kolk,Straatkolk,1998,MULTIPOINT ((172068.501 508252.243))
O10002_Rioolkaart_put_OD.46,PVC/gietijzer,kolk,Trottoirkolk,1998,MULTIPOINT ((172447.918 508207.431))
O10002_Rioolkaart_put_OD.47,PVC/gietijzer,kolk,Straatkolk,1998,MULTIPOINT ((172406.487 508166.126))
O10002_Rioolkaart_put_OD.48,PVC/gietijzer,kolk,Straatkolk,1999,MULTIPOINT ((172349.045 508164.304))
O10002_Rioolkaart_put_OD.49,PVC/gietijzer,kolk,Straatkolk,1999,MULTIPOINT ((172337.712 508147.53))
O10002_Rioolkaart_put_OD.50,PVC/gietijzer,kolk,Trottoirkolk,1998,MULTIPOINT ((172396.263 508130.706))
O10002_Rioolkaart_put_OD.51,PVC/gietijzer,kolk,Straatkolk,1998,MULTIPOINT ((172289.903 508172.735))
O10002_Rioolkaart_put_OD.52,PVC/gietijzer,kolk,Straatkolk,1998,MULTIPOINT ((172241.154 508148.766))
O10002_Rioolkaart_put_OD.53,PVC/gietijzer,kolk,Trottoirkolk,1998,MULTIPOINT ((172335.697 508043.248))
O10002_Rioolkaart_put_OD.54,PVC/gietijzer,kolk,Straatkolk,1999,MULTIPOINT ((172272.131 508094.055))
O10002_Rioolkaart_put_OD.55,PVC/gietijzer,kolk,Straatkolk,1998,MULTIPOINT ((172137.286 508192.702))
O10002_Rioolkaart_put_OD.56,PVC/gietijzer,kolk,Straatkolk,1999,MULTIPOINT ((172147.373 508124.727))
O10002_Rioolkaart_put_OD.57,PVC/gietijzer,kolk,Straatkolk,1998,MULTIPOINT ((172096.414 508190.426))
O10002_Rioolkaart_put_OD.58,PVC/gietijzer,kolk,Straatkolk,1998,MULTIPOINT ((172067.003 508202.822))
O10002_Rioolkaart_put_OD.59,PVC/gietijzer,kolk,Straatkolk,1998,MULTIPOINT ((172060.443 508179.165))
O10002_Rioolkaart_put_OD.60,PVC/gietijzer,kolk,Trottoirkolk,1998,MULTIPOINT ((172118.929 508156.509))
O10002_Rioolkaart_put_OD.61,PVC/gietijzer,kolk,Straatkolk,1999,MULTIPOINT ((172204.991 508087.064))
O10002_Rioolkaart_put_OD.62,PVC/gietijzer,kolk,Straatkolk,1999,MULTIPOINT ((172145.211 508120.841))
O10002_Rioolkaart_put_OD.63,PVC/gietijzer,kolk,Trottoirkolk,1998,MULTIPOINT ((172176.119 508031.272))
O10002_Rioolkaart_put_OD.64,PVC/gietijzer,kolk,Trottoirkolk,1998,MULTIPOINT ((172084.52 508105.412))
O10002_Rioolkaart_put_OD.65,PVC/gietijzer,kolk,Trottoirkolk,1998,MULTIPOINT ((172194.792 508016.026))
O10002_Rioolkaart_put_OD.66,PVC/gietijzer,kolk,Straatkolk,1976,MULTIPOINT ((171922.971 509363.015))
O10002_Rioolkaart_put_OD.67,beton/gietijzer,kolk,Straatkolk,1969,MULTIPOINT ((171979.231 509219.287))
O10002_Rioolkaart_put_OD.68,PVC/gietijzer,kolk,Straatkolk,1969,MULTIPOINT ((171832.769 509304.56))
O10002_Rioolkaart_put_OD.69,PVC/gietijzer,kolk,Trottoirkolk,1983,MULTIPOINT ((171795.042 509236.98))
O10002_Rioolkaart_put_OD.70,PVC/gietijzer,kolk,Straatkolk,1983,MULTIPOINT ((171760.839 509302.06))
O10002_Rioolkaart_put_OD.71,beton/gietijzer,kolk,Straatkolk,1978,MULTIPOINT ((171733.878 509235.069))
O10002_Rioolkaart_put_OD.72,PVC/gietijzer,kolk,Trottoirkolk,2005,MULTIPOINT ((172231.652 509328.358))
O10002_Rioolkaart_put_OD.73,beton/gietijzer,kolk,Trottoirkolk,2020,MULTIPOINT ((172237.161 509319.023))
O10002_Rioolkaart_put_OD.74,PVC/gietijzer,kolk,Trottoirkolk,2005,MULTIPOINT ((172246.662 509318.608))
O10002_Rioolkaart_put_OD.75,PVC/gietijzer,kolk,Straatkolk,2005,MULTIPOINT ((172361.397 509279.494))
O10002_Rioolkaart_put_OD.76,beton/gietijzer,kolk,Trottoirkolk,2005,MULTIPOINT ((172377.935 509245.299))
O10002_Rioolkaart_put_OD.77,onbekend,kolk,Trottoirkolk,1992,MULTIPOINT ((172389.009 509213.63))
O10002_Rioolkaart_put_OD.78,beton/gietijzer,kolk,Trottoirkolk,1995,MULTIPOINT ((172241.192 508488.989))
O10002_Rioolkaart_put_OD.79,PVC/gietijzer,kolk,Trottoirkolk,1976,MULTIPOINT ((172457.111 508722.504))
O10002_Rioolkaart_put_OD.80,beton/gietijzer,kolk,Trottoirkolk,1976,MULTIPOINT ((172415.34 508651.789))
O10002_Rioolkaart_put_OD.81,beton/gietijzer,kolk,Trottoirkolk,1975,MULTIPOINT ((172473.216 508917.442))
O10002_Rioolkaart_put_OD.82,PVC/gietijzer,kolk,Straatkolk,2007,MULTIPOINT ((171828.896 508878.895))
O10002_Rioolkaart_put_OD.83,beton/gietijzer,kolk,Straatkolk,1975,MULTIPOINT ((172486.338 508941.866))
O10002_Rioolkaart_put_OD.84,beton/gietijzer,kolk,Straatkolk,1977,MULTIPOINT ((172534.296 508986.397))
O10002_Rioolkaart_put_OD.85,PVC/gietijzer,kolk,Straatkolk,1994,MULTIPOINT ((172390.679 509008.199))
O10002_Rioolkaart_put_OD.86,PVC/gietijzer,kolk,Straatkolk,1972,MULTIPOINT ((172537.019 508784.646))
O10002_Rioolkaart_put_OD.87,PVC/gietijzer,kolk,Straatkolk,1972,MULTIPOINT ((172533.051 508757.934))
O10002_Rioolkaart_put_OD.88,PVC/gietijzer,kolk,Trottoirkolk,1974,MULTIPOINT ((172505.516 508624.853))
O10002_Rioolkaart_put_OD.89,PVC/gietijzer,kolk,Trottoirkolk,1998,MULTIPOINT ((172317.533 508044.777))
O10002_Rioolkaart_put_OD.90,PVC/gietijzer,kolk,Straatkolk,1998,MULTIPOINT ((172145.555 508205.254))
O10002_Rioolkaart_put_OD.91,PVC/gietijzer,kolk,Straatkolk,1998,MULTIPOINT ((172202.044 508159.954))
O10002_Rioolkaart_put_OD.92,PVC/gietijzer,kolk,Straatkolk,1998,MULTIPOINT ((172058.979 508190.89))
O10002_Rioolkaart_put_OD.93,PVC/gietijzer,kolk,Trottoirkolk,1998,MULTIPOINT ((172100.348 508137.933))
O10002_Rioolkaart_put_OD.94,beton/gietijzer,kolk,Trottoirkolk,2020,MULTIPOINT ((172818.227 508796.344))
O10002_Rioolkaart_put_OD.95,PVC/gietijzer,kolk,Straatkolk,1976,MULTIPOINT ((172001.423 509384.308))
O10002_Rioolkaart_put_OD.96,PVC/gietijzer,kolk,Trottoirkolk,1960,MULTIPOINT ((172027.049 509391.73))
O10002_Rioolkaart_put_OD.97,PE/gietijzer,kolk,Trottoirkolk,1969,MULTIPOINT ((171885.615 509384.888))
O10002_Rioolkaart_put_OD.98,PVC/gietijzer,kolk,Trottoirkolk,1974,MULTIPOINT ((171901.109 509294.448))
O10002_Rioolkaart_put_OD.99,PVC/gietijzer,kolk,Straatkolk,1994,MULTIPOINT ((172024.567 509281.035))
O10002_Rioolkaart_put_OD.100,beton/gietijzer,kolk,Trottoirkolk,2020,MULTIPOINT ((172027.11 509285.477))
O10002_Rioolkaart_put_OD.101,beton/gietijzer,kolk,Straatkolk,1969,MULTIPOINT ((172014.05 509196.734))
O10002_Rioolkaart_put_OD.102,beton/gietijzer,kolk,Trottoirkolk,1969,MULTIPOINT ((171959.954 509223.152))
O10002_Rioolkaart_put_OD.103,beton/gietijzer,kolk,Straatkolk,onbekend,MULTIPOINT ((171925.666 509217.173))
O10002_Rioolkaart_put_OD.104,PVC/gietijzer,kolk,Trottoirkolk,1992,MULTIPOINT ((171825.616 509370.929))
O10002_Rioolkaart_put_OD.105,PVC/gietijzer,kolk,Trottoirkolk,1983,MULTIPOINT ((171753.043 509327.427))
O10002_Rioolkaart_put_OD.106,PVC/gietijzer,kolk,Trottoirkolk,1992,MULTIPOINT ((171755.219 509339.691))
O10002_Rioolkaart_put_OD.107,PVC/gietijzer,kolk,Trottoirkolk,1983,MULTIPOINT ((171748.485 509324.253))
O10002_Rioolkaart_put_OD.108,beton/gietijzer,kolk,Straatkolk,1978,MULTIPOINT ((171795.049 509222.48))
O10002_Rioolkaart_put_OD.109,beton/gietijzer,kolk,Trottoirkolk,1978,MULTIPOINT ((171739.215 509226.66))
O10002_Rioolkaart_put_OD.110,beton/gietijzer,kolk,Straatkolk,1978,MULTIPOINT ((171723.206 509251.91))
O10002_Rioolkaart_put_OD.111,beton/gietijzer,kolk,Straatkolk,1978,MULTIPOINT ((171718.946 509249.211))
O10002_Rioolkaart_put_OD.112,beton/gietijzer,kolk,Trottoirkolk,1969,MULTIPOINT ((172040.987 509170.67))
O10002_Rioolkaart_put_OD.113,beton/gietijzer,kolk,Trottoirkolk,1965,MULTIPOINT ((171994.964 509190.026))
O10002_Rioolkaart_put_OD.114,beton/gietijzer,kolk,Trottoirkolk,1965,MULTIPOINT ((171983.384 509174.64))
O10002_Rioolkaart_put_OD.115,beton/gietijzer,kolk,Trottoirkolk,1966,MULTIPOINT ((172020.656 509117.607))
O10002_Rioolkaart_put_OD.116,beton/gietijzer,kolk,Trottoirkolk,1966,MULTIPOINT ((172017.095 509132.683))
O10002_Rioolkaart_put_OD.117,beton/gietijzer,kolk,Trottoirkolk,1974,MULTIPOINT ((172494.762 508690.335))
O10002_Rioolkaart_put_OD.118,PVC/gietijzer,kolk,Trottoirkolk,1991,MULTIPOINT ((171999.969 509500.76))
O10002_Rioolkaart_put_OD.119,PVC/gietijzer,kolk,Straatkolk,1991,MULTIPOINT ((171946.429 509578.18))
O10002_Rioolkaart_put_OD.120,PVC/gietijzer,kolk,Trottoirkolk,1991,MULTIPOINT ((171972.639 509478.36))
O10002_Rioolkaart_put_OD.121,PVC/gietijzer,kolk,Trottoirkolk,1991,MULTIPOINT ((171921.699 509446.27))
O10002_Rioolkaart_put_OD.122,PVC/gietijzer,kolk,Straatkolk,1991,MULTIPOINT ((171887.099 509464.56))
O10002_Rioolkaart_put_OD.123,PVC/gietijzer,kolk,Straatkolk,1976,MULTIPOINT ((171927.266 509414.517))
O10002_Rioolkaart_put_OD.124,PVC/gietijzer,kolk,Trottoirkolk,1991,MULTIPOINT ((171885.739 509440.53))
O10002_Rioolkaart_put_OD.125,beton/gietijzer,kolk,Straatkolk,2006,MULTIPOINT ((173320.145 509204.933))
O10002_Rioolkaart_put_OD.126,beton/gietijzer,kolk,Straatkolk,2006,MULTIPOINT ((173291.255 509221.06))
O10002_Rioolkaart_put_OD.127,beton/gietijzer,kolk,Straatkolk,2006,MULTIPOINT ((173026.963 509369.928))
O10002_Rioolkaart_put_OD.128,beton/gietijzer,kolk,Straatkolk,2006,MULTIPOINT ((173041.231 509405.943))
O10002_Rioolkaart_put_OD.129,beton/gietijzer,kolk,Straatkolk,2006,MULTIPOINT ((172987.827 509320.811))
O10002_Rioolkaart_put_OD.130,beton/gietijzer,kolk,Straatkolk,1971,MULTIPOINT ((172806.687 508771.336))
O10002_Rioolkaart_put_OD.131,beton/gietijzer,kolk,Trottoirkolk,1966,MULTIPOINT ((172051.192 509106.784))
O10002_Rioolkaart_put_OD.132,PVC/gietijzer,kolk,Trottoirkolk,1982,MULTIPOINT ((172625.449 508953.97))
O10002_Rioolkaart_put_OD.133,beton/gietijzer,kolk,Trottoirkolk,2020,MULTIPOINT ((172606.248 508905.206))
O10002_Rioolkaart_put_OD.134,beton/gietijzer,kolk,Trottoirkolk,2020,MULTIPOINT ((172693.516 508880.72))
O10002_Rioolkaart_put_OD.135,PVC/gietijzer,kolk,Straatkolk,2007,MULTIPOINT ((171954.291 508674.843))
O10002_Rioolkaart_put_OD.136,PVC/gietijzer,kolk,Straatkolk,2007,MULTIPOINT ((171940.643 508666.169))
O10002_Rioolkaart_put_OD.137,PVC/gietijzer,kolk,Straatkolk,2007,MULTIPOINT ((171898.28 508633.717))
O10002_Rioolkaart_put_OD.138,PVC/gietijzer,kolk,Straatkolk,1996,MULTIPOINT ((171858.692 508690.508))
O10002_Rioolkaart_put_OD.139,PVC/gietijzer,kolk,Trottoirkolk,1978,MULTIPOINT ((172793.375 508725.297))
O10002_Rioolkaart_put_OD.140,PVC/gietijzer,kolk,Trottoirkolk,1978,MULTIPOINT ((172807.889 508743.67))
O10002_Rioolkaart_put_OD.141,PVC/gietijzer,kolk,Trottoirkolk,1978,MULTIPOINT ((172781.264 508709.965))
O10002_Rioolkaart_put_OD.142,beton/gietijzer,kolk,Trottoirkolk,1978,MULTIPOINT ((172803.27 508747.193))
O10002_Rioolkaart_put_OD.143,beton/gietijzer,kolk,Straatkolk,1971,MULTIPOINT ((172862.559 508653.72))
O10002_Rioolkaart_put_OD.144,beton/gietijzer,kolk,Trottoirkolk,1978,MULTIPOINT ((172763.858 508697.449))
O10002_Rioolkaart_put_OD.145,PVC/gietijzer,kolk,Trottoirkolk,1981,MULTIPOINT ((172452.949 509111.42))
O10002_Rioolkaart_put_OD.146,PVC/gietijzer,kolk,Straatkolk,1994,MULTIPOINT ((172429.401 509115.272))
O10002_Rioolkaart_put_OD.147,PVC/gietijzer,kolk,Trottoirkolk,1981,MULTIPOINT ((172500.382 509072.75))
O10002_Rioolkaart_put_OD.148,PVC/gietijzer,kolk,Trottoirkolk,1981,MULTIPOINT ((172497.788 509066.887))
O10002_Rioolkaart_put_OD.149,PVC/gietijzer,kolk,Trottoirkolk,1982,MULTIPOINT ((172534.749 509044.19))
O10002_Rioolkaart_put_OD.150,PVC/gietijzer,kolk,Trottoirkolk,2005,MULTIPOINT ((172269.522 509331.942))
O10002_Rioolkaart_put_OD.151,beton/gietijzer,kolk,Straatkolk,1981,MULTIPOINT ((172681.842 508872.66))
O10002_Rioolkaart_put_OD.152,beton/gietijzer,kolk,Straatkolk,1977,MULTIPOINT ((172713.488 508836.893))
O10002_Rioolkaart_put_OD.153,beton/gietijzer,kolk,Trottoirkolk,1978,MULTIPOINT ((172618.054 508840.138))
O10002_Rioolkaart_put_OD.154,beton/gietijzer,kolk,Straatkolk,1978,MULTIPOINT ((172613.103 508843.492))
O10002_Rioolkaart_put_OD.155,PVC/gietijzer,kolk,Trottoirkolk,1982,MULTIPOINT ((172569.189 508989.88))
O10002_Rioolkaart_put_OD.156,beton/gietijzer,kolk,Trottoirkolk,2020,MULTIPOINT ((172571.784 508927.935))
O10002_Rioolkaart_put_OD.157,beton/gietijzer,kolk,Trottoirkolk,1975,MULTIPOINT ((172559.617 508916.844))
O10002_Rioolkaart_put_OD.158,PVC/gietijzer,kolk,Trottoirkolk,1994,MULTIPOINT ((172426.3 508988.353))
O10002_Rioolkaart_put_OD.159,beton/gietijzer,kolk,Straatkolk,2020,MULTIPOINT ((172584.916 508827.791))
O10002_Rioolkaart_put_OD.160,PVC/gietijzer,kolk,Trottoirkolk,1975,MULTIPOINT ((172498.457 508819.662))
O10002_Rioolkaart_put_OD.161,PVC/gietijzer,kolk,Trottoirkolk,1975,MULTIPOINT ((172514.606 508808.856))
O10002_Rioolkaart_put_OD.162,PVC/gietijzer,kolk,Straatkolk,1977,MULTIPOINT ((172413.584 508836.705))
O10002_Rioolkaart_put_OD.163,PVC/gietijzer,kolk,Trottoirkolk,1990,MULTIPOINT ((172693.24 508759.322))
O10002_Rioolkaart_put_OD.164,PVC/gietijzer,kolk,Trottoirkolk,1974,MULTIPOINT ((172613.561 508737.383))
O10002_Rioolkaart_put_OD.165,beton/gietijzer,kolk,Trottoirkolk,1974,MULTIPOINT ((172607.108 508717.324))
O10002_Rioolkaart_put_OD.166,PVC/gietijzer,kolk,Trottoirkolk,onbekend,MULTIPOINT ((172597.81 508703.587))
O10002_Rioolkaart_put_OD.167,PVC/gietijzer,kolk,Trottoirkolk,1994,MULTIPOINT ((172308.429 508982.979))
O10002_Rioolkaart_put_OD.168,beton/gietijzer,kolk,Straatkolk,1969,MULTIPOINT ((172075.918 509150.66))
O10002_Rioolkaart_put_OD.169,beton/gietijzer,kolk,Trottoirkolk,1966,MULTIPOINT ((172082.184 509067.602))
O10002_Rioolkaart_put_OD.170,beton/gietijzer,kolk,Trottoirkolk,1969,MULTIPOINT ((172107.045 509046.333))
O10002_Rioolkaart_put_OD.171,beton/gietijzer,kolk,Trottoirkolk,1982,MULTIPOINT ((172680.939 508913.78))
O10002_Rioolkaart_put_OD.172,PVC/gietijzer,kolk,Trottoirkolk,1982,MULTIPOINT ((172598.199 508975.81))
O10002_Rioolkaart_put_OD.173,PVC/gietijzer,kolk,Trottoirkolk,1978,MULTIPOINT ((172597.389 508988.22))
O10002_Rioolkaart_put_OD.174,beton/gietijzer,kolk,Straatkolk,1978,MULTIPOINT ((176124.449 496833.28))
O10002_Rioolkaart_put_OD.175,beton/gietijzer,kolk,Straatkolk,1964,MULTIPOINT ((175993.403 496727.008))
O10002_Rioolkaart_put_OD.176,beton/gietijzer,kolk,Straatkolk,2005,MULTIPOINT ((176973.287 497282.226))
O10002_Rioolkaart_put_OD.177,beton/gietijzer,kolk,Straatkolk,1964,MULTIPOINT ((176015.792 496704.845))
O10002_Rioolkaart_put_OD.178,beton/gietijzer,kolk,Straatkolk,1978,MULTIPOINT ((176104.609 496818.98))
O10002_Rioolkaart_put_OD.179,beton/gietijzer,kolk,Straatkolk,1978,MULTIPOINT ((176098.437 497020.652))
O10002_Rioolkaart_put_OD.180,beton/gietijzer,kolk,Trottoirkolk,1964,MULTIPOINT ((176083.048 496728.949))
O10002_Rioolkaart_put_OD.181,beton/gietijzer,kolk,Straatkolk,1978,MULTIPOINT ((176026.878 496806.001))
O10002_Rioolkaart_put_OD.182,beton/gietijzer,kolk,Trottoirkolk,1964,MULTIPOINT ((176067.088 496738.714))
O10002_Rioolkaart_put_OD.183,beton/gietijzer,kolk,Straatkolk,1978,MULTIPOINT ((175980.649 496902.82))
O10002_Rioolkaart_put_OD.184,beton/gietijzer,kolk,Straatkolk,1978,MULTIPOINT ((176016.499 496961.966))
O10002_Rioolkaart_put_OD.185,beton/gietijzer,kolk,Straatkolk,1978,MULTIPOINT ((176139.554 497050.139))
O10002_Rioolkaart_put_OD.186,beton/gietijzer,kolk,Straatkolk,2015,MULTIPOINT ((176242.279 497102))
O10002_Rioolkaart_put_OD.187,beton/gietijzer,kolk,Straatkolk,2015,MULTIPOINT ((176240.109 497122.13))
O10002_Rioolkaart_put_OD.188,PVC/gietijzer,kolk,Straatkolk,2005,MULTIPOINT ((172217.617 509337.424))
O10002_Rioolkaart_put_OD.189,PVC/gietijzer,kolk,Trottoirkolk,2005,MULTIPOINT ((172219.029 509296.201))
O10002_Rioolkaart_put_OD.190,beton/gietijzer,kolk,Trottoirkolk,2017,MULTIPOINT ((172187.598 509266.483))
O10002_Rioolkaart_put_OD.191,PVC/gietijzer,kolk,Trottoirkolk,1971,MULTIPOINT ((172176.25 509280.044))
O10002_Rioolkaart_put_OD.192,PVC/gietijzer,kolk,Trottoirkolk,1960,MULTIPOINT ((172117.369 509445.55))
O10002_Rioolkaart_put_OD.193,PVC/gietijzer,kolk,Trottoirkolk,1976,MULTIPOINT ((172104.749 509478.5))
O10002_Rioolkaart_put_OD.194,PVC/gietijzer,kolk,Straatkolk,1991,MULTIPOINT ((172010.829 509661.62))
O10002_Rioolkaart_put_OD.195,PVC/gietijzer,kolk,Straatkolk,1991,MULTIPOINT ((172031.889 509658.78))
O10002_Rioolkaart_put_OD.196,PVC/gietijzer,kolk,Straatkolk,1991,MULTIPOINT ((171964.479 509649.2))
O10002_Rioolkaart_put_OD.197,PVC/gietijzer,kolk,Straatkolk,1991,MULTIPOINT ((171925.239 509633.84))
O10002_Rioolkaart_put_OD.198,PVC/gietijzer,kolk,Straatkolk,1991,MULTIPOINT ((171999.259 509569.07))
O10002_Rioolkaart_put_OD.199,PVC/gietijzer,kolk,Straatkolk,1991,MULTIPOINT ((171972.129 509579.03))
O10002_Rioolkaart_put_OD.200,PVC/gietijzer,kolk,Straatkolk,1991,MULTIPOINT ((171931.589 509567.5))
O10002_Rioolkaart_put_OD.201,PVC/gietijzer,kolk,Straatkolk,1991,MULTIPOINT ((171878.039 509516.79))
O10002_Rioolkaart_put_OD.202,PVC/gietijzer,kolk,Straatkolk,1991,MULTIPOINT ((171872.269 509539.6))
O10002_Rioolkaart_put_OD.203,PVC/gietijzer,kolk,Trottoirkolk,1991,MULTIPOINT ((171956.959 509468.45))
O10002_Rioolkaart_put_OD.204,PVC/gietijzer,kolk,Straatkolk,1991,MULTIPOINT ((171890.999 509465.61))
O10002_Rioolkaart_put_OD.205,PVC/gietijzer,kolk,Straatkolk,1976,MULTIPOINT ((171925.476 509417.537))
O10002_Rioolkaart_put_OD.206,PVC/gietijzer,kolk,Trottoirkolk,1991,MULTIPOINT ((171902.309 509438.74))
O10002_Rioolkaart_put_OD.207,PVC/gietijzer,kolk,Straatkolk,1991,MULTIPOINT ((171864.109 509583.84))
O10002_Rioolkaart_put_OD.208,beton/gietijzer,kolk,Straatkolk,2006,MULTIPOINT ((173350.177 509252.647))
O10002_Rioolkaart_put_OD.209,beton/gietijzer,kolk,Straatkolk,2018,MULTIPOINT ((173139.862 509324.587))
O10002_Rioolkaart_put_OD.210,beton/gietijzer,kolk,Straatkolk,2006,MULTIPOINT ((173101.68 509340.297))
O10002_Rioolkaart_put_OD.211,beton/gietijzer,kolk,Straatkolk,2006,MULTIPOINT ((173239.861 509253.373))
O10002_Rioolkaart_put_OD.212,beton/gietijzer,kolk,Straatkolk,1966,MULTIPOINT ((172994.162 509359.842))
O10002_Rioolkaart_put_OD.213,beton/gietijzer,kolk,Straatkolk,2006,MULTIPOINT ((173018.995 509370.413))
O10002_Rioolkaart_put_OD.214,beton/gietijzer,kolk,Straatkolk,1971,MULTIPOINT ((172816.284 508785.566))
O10002_Rioolkaart_put_OD.215,beton/gietijzer,kolk,Trottoirkolk,1971,MULTIPOINT ((172760.849 508706.61))
O10002_Rioolkaart_put_OD.216,PVC/gietijzer,kolk,Straatkolk,2007,MULTIPOINT ((171927.146 508652.047))
