FID,omschr,afst_glg,hgte_glg,beginwdl,beginkm,eindwdl,eindkm,kantcode,wegnummer,fk_veld4,izi_side,ibn,gdb_geomattr_data,shape
geluids_beperkingen_kenmerk.11,Geluidswal,6.5 -> 10,1 -> 1,R,18.6779995,R,18.70000076,T,001,KLK0008185637,L,I,,"LINESTRING (138866.96550000086 479823.20980000123, 138843.97740000114 479822.4690999985)"
geluids_beperkingen_kenmerk.12,Niet doorzichtig geluidsscherm,2.5 -> 4.5,3 -> 3,R,25.35000038,R,25.45000076,T,001,KLK0008049382,L,I,,"LINESTRING (142813.067400001 474974.3238000013, 142810.86829999834 474983.4849999994, 142805.82310000062 475002.9167999998, 142800.46040000021 475022.18719999865, 142790.32339999825 475054.74379999936, 142784.58590000123 475071.17229999974)"
geluids_beperkingen_kenmerk.13,Niet doorzichtig geluidsscherm,4.5 -> 4.5,3 -> 3,R,25.45000076,R,25.54999924,T,001,KLK0008049383,L,I,,"LINESTRING (142830.11950000003 474874.84109999985, 142829.6389000006 474879.18879999965, 142827.14820000157 474899.0582999997, 142824.15560000017 474918.83740000054, 142819.47709999979 474944.9307000004, 142815.42130000144 474964.51790000126, 142813.067400001 474974.3238000013)"
geluids_beperkingen_kenmerk.14,Niet doorzichtig geluidsscherm,4.5 -> 8.5,3 -> 3,R,25.54999924,R,25.59799957,T,001,KLK0008049384,L,I,,"LINESTRING (142834.71570000052 474827.0669, 142833.84739999846 474839.16050000116, 142831.86089999974 474859.08579999954, 142830.11950000003 474874.84109999985)"
geluids_beperkingen_kenmerk.15,Niet doorzichtig geluidsscherm,6.5 -> 2.5,5 -> 5,R,27.29999924,R,27.40800095,H,001,KLK0008049445,R,I,,"LINESTRING (143263.24549999833 473208.27270000055, 143277.86320000142 473183.6453000009, 143300.15179999918 473147.4494000003, 143314.06269999966 473125.4288999997, 143320.4717000015 473115.51309999824)"
geluids_beperkingen_kenmerk.16,Geluidswal,10 -> 10,1 -> 1,R,156.46499634,R,156.61099243,H,001,KLK0008050885,R,I,,"LINESTRING (247935.66360000148 478238.4259000011, 247973.6928000003 478234.14730000123, 247985.99340000004 478232.9364, 248005.92819999903 478231.3060000017, 248046.04520000145 478228.73420000076, 248066.01110000163 478227.87750000134, 248076.19269999862 478227.5848999992)"
geluids_beperkingen_kenmerk.17,Geluidswand,3.5 -> 3.5,3 -> 3,R,157.18400574,R,157.51300049,H,001,KLK0008050889,R,I,,"LINESTRING (248642.3927000016 478317.84519999847, 248651.85319999978 478320.6292000003, 248708.10240000114 478337.6627999991, 248746.28489999846 478349.6030000001, 248773.42229999974 478358.27690000087, 248796.1667000018 478365.74540000036, 248835.1457999982 478378.7928000018, 248871.84219999984 478391.49340000004, 248909.54949999973 478404.9120000005, 248952.77210000157 478420.79399999976, 248955.50600000098 478421.8278999999)"
geluids_beperkingen_kenmerk.18,Geluidswand,3.5 -> 3.5,3 -> 3,R,157.18800354,R,157.52000427,T,001,KLK0008050890,L,I,,"LINESTRING (248957.40459999815 478434.59059999883, 248953.42289999872 478433.0738000013, 248915.9699999988 478419.0078999996, 248865.32019999996 478400.59970000014, 248827.5423000008 478387.45340000093, 248809.2413999997 478381.313099999, 248752.09490000084 478362.4695999995, 248727.9486999996 478354.8707999997, 248708.83769999817 478348.9530000016, 248670.5223999992 478337.4477000013, 248642.61780000106 478329.4109000005)"
geluids_beperkingen_kenmerk.19,Geluidswal met daarop of -in een scherm,6.5 -> 7.5,3 -> 3,R,86.16999817,R,86.27799988,T,001,KLK0008050305,L,I,,"LINESTRING (197317.77259999886 466333.3605999984, 197208.9488000013 466293.1937999986)"
geluids_beperkingen_kenmerk.20,Geluidswand,5.5 -> 5.5,3 -> 3,R,86.27899933,R,86.30599976,T,001,KLK0008050307,L,I,,"LINESTRING (197343.10229999945 466342.70980000123, 197318.71079999954 466333.7069000006)"
geluids_beperkingen_kenmerk.21,Geluidswand,5.5 -> 7.5,3 -> 3,R,86.30599976,R,86.30699921,T,001,KLK0008050308,L,I,,"LINESTRING (197344.04050000012 466343.0560999997, 197343.10229999945 466342.70980000123)"
geluids_beperkingen_kenmerk.22,Niet doorzichtig geluidsscherm,6.5 -> 6.5,5 -> 5,R,12.75699997,R,13.02400017,H,001,KLK0008048999,R,I,,"LINESTRING (133343.27540000156 481656.49340000004, 133368.69159999862 481649.0067999996, 133407.15900000185 481638.03770000115, 133447.2402999997 481627.1656000018, 133466.58419999853 481622.0799999982, 133485.94170000032 481617.0439000018, 133533.46819999814 481605.14009999856, 133572.3724000007 481595.8398000002, 133602.95450000092 481588.8783)"
geluids_beperkingen_kenmerk.23,Niet doorzichtig geluidsscherm,5.5 -> 10,5 -> 5,R,11.99499989,R,12,T,001,KLK0008049001,L,I,,"LINESTRING (132652.439100001 481969.9045000002, 132647.95600000024 481972.1185999997)"
geluids_beperkingen_kenmerk.24,Niet doorzichtig geluidsscherm,9.5 -> 6.5,5 -> 5,R,12.63199997,R,12.73999977,T,001,KLK0008049002,L,I,,"LINESTRING (133335.42210000008 481695.68659999967, 133297.76819999889 481707.0340999998, 133251.2991000004 481721.6609000005, 133233.2875000015 481727.5716999993)"
geluids_beperkingen_kenmerk.25,Niet doorzichtig geluidsscherm,6.5 -> 7.5,5 -> 3,R,12.73999977,R,13.10000038,T,001,KLK0008049003,L,I,,"LINESTRING (133684.93149999902 481609.87409999967, 133656.76819999889 481615.6790000014, 133617.64909999818 481624.0432999991, 133578.60170000046 481632.7232000008, 133539.63289999962 481641.74859999865, 133498.50950000063 481651.69530000165, 133459.71240000054 481661.40579999983, 133421.01929999888 481671.5489999987, 133374.49920000136 481684.39829999954, 133336.06799999997 481695.4919000007, 133335.42210000008 481695.68659999967)"
geluids_beperkingen_kenmerk.26,Niet doorzichtig geluidsscherm,7.5 -> 7.5,3 -> 3,R,13.10000038,R,13.45499992,T,001,KLK0008049027,L,I,,"LINESTRING (134033.90089999884 481544.8590000011, 134031.95659999922 481545.2822000012, 133992.78950000182 481553.4028000012, 133944.4803000018 481562.7934000008, 133885.44689999893 481573.50989999995, 133826.27710000053 481583.46240000054, 133794.0298999995 481589.11670000106, 133774.33850000054 481592.63230000064, 133735.0207999982 481599.9957999997, 133688.31159999967 481609.1774000004, 133684.93149999902 481609.87409999967)"
geluids_beperkingen_kenmerk.27,Niet doorzichtig geluidsscherm,4.5 -> 2.5,1 -> 1,R,18.65299988,R,18.66200066,T,001,KLK0008049157,L,I,,"LINESTRING (138828.98519999906 479821.98600000143, 138821.13179999962 479821.7329000011)"
geluids_beperkingen_kenmerk.28,Niet doorzichtig geluidsscherm,2.5 -> 6.5,1 -> 1,R,18.66200066,R,18.6779995,T,001,KLK0008049158,L,I,,"LINESTRING (138843.97740000114 479822.4690999985, 138828.98519999906 479821.98600000143)"
geluids_beperkingen_kenmerk.29,Niet doorzichtig geluidsscherm,5.5 -> 5.5,6 -> 6,R,5.23899984,R,5.5999999,H,001,KLK0008048823,R,I,,"LINESTRING (126660.23420000076 484540.0218999982, 126678.16530000046 484528.6389000006, 126711.76669999957 484506.92500000075, 126766.09369999915 484471.05420000106, 126817.89110000059 484435.84230000153, 126867.14889999852 484401.5637000017, 126883.4952000007 484390.0348000005, 126914.38039999828 484367.8968999982, 126959.65549999848 484334.97740000114)"
geluids_beperkingen_kenmerk.30,Niet doorzichtig geluidsscherm,6.5 -> 6.5,5 -> 5,R,5.78299999,R,6.58199978,H,001,KLK0008048824,R,I,,"LINESTRING (127100.92960000038 484225.0945999995, 127109.94440000132 484217.6118000001, 127140.252700001 484191.4946000017, 127155.18730000034 484178.1911999993, 127169.95300000161 484164.69519999996, 127184.57180000097 484151.0315999985, 127197.94150000066 484138.26949999854, 127225.16389999911 484111.2619000003, 127239.12719999999 484096.9492000006, 127252.26419999823 484081.86670000106, 127265.86580000073 484067.1992000006, 127280.79320000112 484050.7221000008, 127294.06549999863 484035.7536999993, 127307.17139999941 484020.64559999853, 127324.35810000077 484000.6075000018, 127337.24350000173 483985.3114, 127349.99240000173 483969.89609999955, 127372.23250000179 483942.2531000003, 127396.85660000145 483910.7285999991, 127434.5362999998 483861.02699999884, 127445.68259999901 483844.4045000002, 127489.69909999892 483783.08210000023, 127513.30029999837 483750.78269999847, 127537.2415000014 483718.73860000074, 127568.3220999986 483678.60599999875, 127593.34420000017 483647.38269999996, 127617.39840000123 483618.40199999884)"
geluids_beperkingen_kenmerk.31,Geluidswal,9.5 -> 5.5,1 -> 6,R,160.97799683,R,161.00500488,H,001,KLK0008051009,R,I,,"LINESTRING (252172.67559999973 478021.05579999834, 252184.69559999928 478014.4221000001, 252196.3407999985 478008.057599999)"
geluids_beperkingen_kenmerk.32,Niet doorzichtig geluidsscherm,6.5 -> 6.5,3 -> 3,R,6.76200008,R,6.90700006,H,001,KLK0008048826,R,I,,"LINESTRING (127735.91330000013 483488.01520000026, 127737.5810999982 483486.28759999946, 127752.80700000003 483470.80900000036, 127781.32299999893 483442.7391999997, 127808.91330000013 483416.58309999853, 127823.57919999957 483402.9847000018, 127842.65410000086 483385.5311000012)"
geluids_beperkingen_kenmerk.33,Geluidswal,7.5 -> 7.5,1 -> 3,R,7.42600012,R,7.69999981,H,001,KLK0008048827,R,I,,"LINESTRING (128257.98550000042 483067.0923999995, 128270.83830000088 483059.8156000003, 128288.37299999967 483050.19509999827, 128306.00620000064 483040.7511, 128327.14510000125 483029.6964999996, 128345.04340000078 483020.6228, 128362.97910000011 483011.7615999989, 128399.05840000138 482994.48589999974, 128438.38549999893 482976.3060000017, 128456.65790000185 482968.07119999826, 128493.28119999915 482951.98490000144, 128505.17920000106 482946.92540000007)"
geluids_beperkingen_kenmerk.34,Niet doorzichtig geluidsscherm,5.5 -> 6.5,6 -> 6,R,5.23899984,R,5.27899981,T,001,KLK0008048830,L,I,,"LINESTRING (126705.3916000016 484538.43670000136, 126678.33669999987 484555.8306999989, 126671.70230000094 484560.0007000007)"
geluids_beperkingen_kenmerk.35,Niet doorzichtig geluidsscherm,9.5 -> 9.5,6 -> 6,R,5.30299997,R,5.35099983,T,001,KLK0008048832,L,I,,"LINESTRING (126765.72949999943 484499.1532000005, 126763.81799999997 484500.435800001, 126730.37209999934 484522.37629999965, 126725.57930000126 484525.4576999992)"
geluids_beperkingen_kenmerk.36,Geluidswal,7.5 -> 7.5,3 -> 3,R,7.69999981,R,7.91400003,H,001,KLK0008048874,R,I,,"LINESTRING (128505.17920000106 482946.92540000007, 128530.09209999815 482936.33139999956, 128548.56830000132 482928.66789999977, 128591.00539999828 482911.56859999895, 128609.6510999985 482904.3183000013, 128628.3649000004 482897.2564999983, 128647.16099999845 482890.4219000004, 128666.02730000019 482883.7820000015, 128721.74170000106 482865.04360000044)"
geluids_beperkingen_kenmerk.37,Geluidswal,9.5 -> 9.5,3 -> 3,R,158.50799561,R,158.53399658,T,001,KLK0008050938,L,I,,"LINESTRING (249921.9664000012 478752.2296999991, 249896.37849999964 478746.57279999927)"
geluids_beperkingen_kenmerk.38,Geluidswal,7.5 -> 7.5,5 -> 5,R,161.10499573,R,161.53999329,H,001,KLK0008051023,R,I,,"LINESTRING (252284.22190000117 477960.34109999985, 252284.76999999955 477960.0447999984, 252320.05669999868 477941.20419999957, 252379.1072999984 477910.1682999991, 252417.1378000006 477890.4107000008, 252452.76309999824 477872.2170000002, 252514.43459999934 477841.18780000135, 252550.26190000027 477823.3986000009, 252596.7740000002 477800.87999999896, 252672.71339999884 477764.75930000097)"
geluids_beperkingen_kenmerk.39,Geluidswal,6.5 -> 6.5,5 -> 5,R,161.13600159,R,161.57600403,T,001,KLK0008051025,L,I,,"LINESTRING (252712.46599999815 477758.56760000065, 252680.6490000002 477774.00090000033, 252537.49450000003 477845.47410000116, 252475.70980000123 477876.83410000056, 252440.14539999887 477895.1435999982, 252369.3115000017 477932.32669999823, 252320.44790000096 477958.3123999983)"
geluids_beperkingen_kenmerk.40,Geluidswal met daarop of -in een scherm,6.5 -> 6.5,5 -> 5,R,161.57600403,R,161.71699524,T,001,KLK0008051033,L,I,,"LINESTRING (252838.91629999876 477698.4849999994, 252834.7338999994 477700.42749999836, 252742.35080000013 477744.0714999996, 252712.46599999815 477758.56760000065)"
geluids_beperkingen_kenmerk.41,Geluidswal,7.5 -> 7.5,5 -> 5,R,161.62399292,R,161.72000122,H,001,KLK0008051058,R,I,,"LINESTRING (252748.58540000021 477728.7115000002, 252764.42709999904 477721.2019000016, 252818.8002000004 477695.8306999989, 252836.4862000011 477687.69530000165)"
geluids_beperkingen_kenmerk.42,Geluidswand,3.5 -> 3.5,3 -> 3,R,161.72000122,R,162.01400757,H,001,KLK0008051059,R,I,,"LINESTRING (252836.4862000011 477687.69530000165, 252857.09629999846 477678.2148000002, 252893.5535000004 477661.75510000065, 252948.4065000005 477637.4398000017, 253006.9503000006 477611.88109999895, 253025.3696999997 477604.0441999994, 253043.86230000108 477596.4096000008, 253062.46829999983 477589.07079999894, 253081.1710000001 477581.9844999984, 253100.61070000008 477574.9492999986, 253106.9728000015 477572.7415000014)"
geluids_beperkingen_kenmerk.43,Geluidswand,3.5 -> 3.5,3 -> 3,R,161.71699524,R,162.01600647,T,001,KLK0008051063,L,I,,"LINESTRING (253112.25919999927 477582.63170000166, 253108.99929999933 477583.7615999989, 253080.82979999855 477593.9433000013, 253062.12090000138 477601.02690000087, 253043.48279999942 477608.28550000116, 253010.1345999986 477621.9840000011, 252987.92540000007 477631.5819000006, 252951.3524999991 477647.7278999984, 252896.51249999925 477672.07559999824, 252871.0122999996 477683.5780999996, 252838.91629999876 477698.4849999994)"
geluids_beperkingen_kenmerk.44,Geluidswal,9.5 -> 9.5,5 -> 5,R,162.13999939,R,162.38299561,T,001,KLK0008051065,L,I,,"LINESTRING (253470.46950000152 477507.27749999985, 253454.13769999892 477508.76410000026, 253433.98589999974 477510.8493999988, 253416.97899999842 477512.8381000012, 253397.14389999956 477515.4246999994, 253377.34809999913 477518.2758000009, 253357.5912999995 477521.40309999883, 253337.87079999968 477524.7866999991, 253298.64889999852 477532.0925000012, 253279.03550000116 477536.04300000146, 253259.47740000114 477540.23420000076, 253231.93499999866 477546.73000000045)"
geluids_beperkingen_kenmerk.45,Geluidswal,9.5 -> 5.5,5 -> 5,R,162.38299561,R,162.44999695,T,001,KLK0008051066,L,I,,"LINESTRING (253536.3299999982 477503.10770000145, 253513.95800000057 477504.0991999991, 253493.99980000034 477505.3958999999, 253474.05970000103 477506.9506999999, 253470.46950000152 477507.27749999985)"
geluids_beperkingen_kenmerk.46,Geluidswal,5.5 -> 5.5,5 -> 5,R,162.44999695,R,162.61399841,T,001,KLK0008051067,L,I,,"LINESTRING (253699.24540000036 477504.8090999983, 253683.2036000006 477503.82339999825, 253663.22199999914 477502.9332999997, 253632.07649999857 477502.07660000026, 253612.04549999908 477501.81280000135, 253589.00310000032 477501.7646000013, 253568.97879999876 477502.0152999982, 253548.9851000011 477502.54679999873, 253536.3299999982 477503.10770000145)"
geluids_beperkingen_kenmerk.47,Geluidswal,9.5 -> 25,3 -> 3,R,163.82800293,R,163.88499451,T,001,KLK0008051069,L,I,,"LINESTRING (254835.3759999983 478022.54569999874, 254787.97989999875 477990.88170000166)"
geluids_beperkingen_kenmerk.48,Geluidswal met daarop of -in een scherm,25 -> 25,6 -> 6,R,39.40599823,R,40.49000168,H,001,KLK0008049674,R,I,,"LINESTRING (154119.30249999836 468787.6328999996, 154177.8398000002 468774.36890000105, 154210.97709999979 468766.39290000126, 154230.3748999983 468761.5174999982, 154249.7314000018 468756.4847000018, 154288.33069999889 468745.98629999906, 154324.2371999994 468735.51089999825, 154343.37929999828 468729.74599999934, 154381.5469999984 468717.7782000005, 154400.55330000073 468711.5465000011, 154413.84789999947 468707.0566999987, 154432.67399999872 468700.35649999976, 154451.63329999894 468693.97520000115, 154467.83909999952 468688.14240000024, 154505.29980000108 468674.1218000017, 154542.5513000004 468659.5331000015, 154568.3914999999 468648.99749999866, 154594.06789999828 468638.13859999925, 154630.7311999984 468622.14240000024, 154648.95859999955 468613.9098000005, 154677.18659999967 468600.8269000016, 154695.20859999955 468592.20809999853, 154732.6966000013 468573.76839999855, 154768.28390000015 468555.55530000106, 154785.9754000008 468546.22679999843, 154831.02569999918 468521.6086000018, 154848.45679999888 468511.8018999994, 154879.02230000123 468494.08410000056, 154896.2025000006 468483.8445999995, 154927.44370000064 468464.8233000003, 154961.24289999902 468443.4715999998, 154988.77980000153 468425.56430000067, 155021.95560000092 468403.24390000105, 155038.41039999947 468391.8746000007, 155057.29839999974 468378.56650000066, 155089.30099999905 468355.48629999906)"
geluids_beperkingen_kenmerk.49,Geluidswal,9.5 -> 9.5,1 -> 1,R,168.87199402,R,169.16600037,H,001,KLK0008051208,R,I,,"LINESTRING (259236.73200000077 479109.0687999986, 259311.65549999848 479078.7906999998, 259371.35060000047 479055.0031999983, 259408.65300000086 479040.5625, 259445.81289999932 479026.5117000006, 259483.3242000006 479012.6141999997, 259502.1449000016 479005.83949999884, 259510.8498999998 479002.8740000017)"
geluids_beperkingen_kenmerk.50,Geluidswal,10 -> 25,3 -> 3,R,169.63499451,R,169.69299316,H,001,KLK0008051210,R,I,,"LINESTRING (259967.51249999925 478900.58999999985, 259975.9651999995 478899.71020000055, 260000.0417000018 478897.4967, 260019.9710999988 478895.85599999875, 260025.28489999846 478895.48530000076)"
geluids_beperkingen_kenmerk.51,Doorzichtig geluidsscherm,4.5 -> 4.5,3 -> 3,R,169.88000488,R,169.96099854,H,001,KLK0008051212,R,I,,"LINESTRING (260219.5342000015 478890.27430000156, 260223.9246999994 478890.35979999974, 260247.8718000017 478891.08949999884, 260279.73420000076 478892.5971999988, 260297.4552000016 478893.65370000154)"
geluids_beperkingen_kenmerk.52,Geluidswal,5.5 -> 9.5,1 -> 3,R,170.1000061,R,170.18800354,H,001,KLK0008051214,R,I,,"LINESTRING (260433.78990000114 478906.8762000017, 260454.4151000008 478909.7060999982, 260493.93200000003 478915.6105999984, 260513.68879999965 478918.73330000043, 260520.8062000014 478919.9688999988)"
geluids_beperkingen_kenmerk.53,Geluidswal,9.5 -> 9.5,3 -> 5,R,170.18800354,R,170.46699524,H,001,KLK0008051215,R,I,,"LINESTRING (260520.8062000014 478919.9688999988, 260535.5014999993 478922.5199000016, 260574.7151999995 478930.16699999943, 260594.28819999844 478934.2846000008, 260613.81109999865 478938.62689999864, 260652.7478 478947.8007999994, 260684.84530000016 478955.8762000017, 260708.62799999863 478962.3018000014, 260727.87939999998 478967.69579999894, 260748.0949999988 478973.6024999991, 260793.90830000117 478987.9252000004)"
geluids_beperkingen_kenmerk.54,Geluidswal,6.5 -> 6.5,5 -> 5,R,50.99000168,R,51.65200043,H,006,KLK0006321035,R,I,,"LINESTRING (143744.75360000134 485166.4615999982, 143790.50690000132 485162.5044, 143837.21489999816 485157.6028999984, 143865.69579999894 485154.55490000173, 143944.4028000012 485143.9426999986, 144022.67460000142 485129.73900000006, 144091.57789999992 485115.2329999991, 144146.88190000132 485102.8425000012, 144210.0432999991 485086.82550000027, 144270.182599999 485070.5062999986, 144381.81830000132 485039.22670000046)"
geluids_beperkingen_kenmerk.55,Geluidswal,3.5 -> 3.5,5 -> 5,R,50.33399963,R,50.9620018,T,006,KLK0006321100,L,I,,"LINESTRING (143720.70259999856 485211.496199999, 143717.67339999974 485211.6906999983, 143676.23959999904 485213.75450000167, 143631.63080000132 485215.3420000002, 143589.72069999948 485216.61199999973, 143544.63560000062 485216.61199999973, 143492.40670000017 485216.61199999973, 143437.79659999907 485214.0720000006, 143382.86899999902 485211.8495000005, 143326.8302000016 485207.4045000002, 143268.25129999965 485201.8482000008, 143207.2912000008 485194.54569999874, 143161.7298000008 485187.56069999933, 143114.1046999991 485180.41690000147, 143082.48559999838 485174.0527999997)"
geluids_beperkingen_kenmerk.56,Geluidswal,7.5 -> 7.5,1 -> 1,R,10.56799984,R,10.65299988,H,076,KLK0006849003,R,I,,"LINESTRING (189604.64059999958 327029.5086000003, 189609.15949999914 327021.8167999983, 189620.5097000003 327011.9708000012, 189631.99670000002 327003.3555999994, 189646.90239999816 326995.9710999988, 189663.3123999983 326990.3643999994, 189677.08350000158 326987.7129999995)"
geluids_beperkingen_kenmerk.57,Niet doorzichtig geluidsscherm,6.5 -> 6.5,5 -> 5,R,7.07000017,R,7.11499977,H,009,KLK0007226108,R,I,,"LINESTRING (128252.42379999906 481030.23800000176, 128209.63839999959 481004.36510000005)"
geluids_beperkingen_kenmerk.58,Niet doorzichtig geluidsscherm,10 -> 6.5,5 -> 5,R,7.11499977,R,7.2329998,H,009,KLK0007226109,R,I,,"LINESTRING (128209.63839999959 481004.36510000005, 128170.43149999902 480980.6559999995, 128152.81019999832 480969.6228, 128127.41010000184 480954.1446999982, 128108.55460000038 480943.5117999986)"
geluids_beperkingen_kenmerk.59,Niet doorzichtig geluidsscherm,6.5 -> 6.5,5 -> 5,R,7.2329998,R,7.4369998,H,009,KLK0007226110,R,I,,"LINESTRING (127934.77650000155 480842.4578999989, 127972.76260000095 480863.6235000007, 128021.76350000128 480892.3044000007, 128061.66279999912 480916.4343999997, 128106.29630000144 480942.2384000011, 128108.55460000038 480943.5117999986)"
geluids_beperkingen_kenmerk.60,Niet doorzichtig geluidsscherm,5.5 -> 5.5,5 -> 5,R,7,R,7.07000017,H,009,KLK0007397115,R,I,,"LINESTRING (128303.40949999914 481070.9525000006, 128261.57569999993 481037.17859999835, 128252.42379999906 481030.23800000176)"
geluids_beperkingen_kenmerk.61,Geluidswand,10 -> 10,1 -> 3,R,35.9109993,R,35.97299957,H,016,KLK0007435801,R,I,,"LINESTRING (104277.34369999915 423423.5544000007, 104283.15900000185 423427.0859999992, 104300.94799999893 423438.8969999999, 104316.30600000173 423449.5300000012, 104328.87449999899 423457.71730000153)"
geluids_beperkingen_kenmerk.62,Geluidswand,1.5 -> 1.5,3 -> 1,R,76.34999847,R,76.47299957,T,009,KLK0007648797,L,I,,"LINESTRING (109881.36070000008 515270.47470000014, 109885 515268, 109953 515222, 109962.78000000119 515215.7179999985, 109980.17179999873 515204.16800000146)"
geluids_beperkingen_kenmerk.63,Geluidswand,1.5 -> 1.5,1 -> 1,R,76.47299957,R,76.51499939,T,009,KLK0007648798,L,I,,"LINESTRING (109846.6297999993 515294.0918000005, 109881.36070000008 515270.47470000014)"
geluids_beperkingen_kenmerk.64,Geluidswand,1.5 -> 1.5,1 -> 3,R,76.31300354,R,76.34999847,T,009,KLK0007648796,L,I,,"LINESTRING (109980.17179999873 515204.16800000146, 110000 515191, 110010.71440000087 515183.29410000145)"
geluids_beperkingen_kenmerk.65,Doorzichtig geluidsscherm,6.5 -> 6.5,5 -> 5,R,6.63100004,R,6.66699982,H,001,KLK0008046788,R,I,,"LINESTRING (127646.25490000099 483584.8775999993, 127649.15129999816 483567.1843000017, 127660.14539999887 483554.1246000007)"
geluids_beperkingen_kenmerk.66,Geluidswand,5.5 -> 2.5,5 -> 5,R,193.80499268,R,193.83999634,H,002,KLK0007811283,R,I,,"LINESTRING (179211.01929999888 365420.7771999985, 179218.72399999946 365405.7740000002, 179226.3975000009 365389.3434999995)"
geluids_beperkingen_kenmerk.67,Geluidswand,2.5 -> 2.5,5 -> 5,R,193.83999634,R,193.92199707,H,002,KLK0007811284,R,I,,"LINESTRING (179226.3975000009 365389.3434999995, 179244.05099999905 365351.54399999976, 179262.01810000092 365316.61250000075)"
geluids_beperkingen_kenmerk.68,Niet doorzichtig geluidsscherm,7.5 -> 7.5,5 -> 5,R,9.74499989,R,9.93799973,H,001,KLK0008046972,R,I,,"LINESTRING (130512.79129999876 482638.7261000015, 130517.11899999902 482638.6739999987, 130532.10489999875 482638.02230000123, 130548.76099999994 482636.8403000012, 130563.66270000115 482635.34980000183, 130573.58320000023 482634.0881000012, 130595.32229999825 482630.8007999994, 130618.01159999892 482626.8473000005, 130647.08529999852 482621.3872000016, 130671.62009999901 482616.58729999885, 130687.78779999912 482613.0078999996, 130701.28979999945 482611.8134999983)"
geluids_beperkingen_kenmerk.69,Niet doorzichtig geluidsscherm,6.5 -> 6.5,6 -> 6,R,10.47799969,R,10.68900013,T,001,KLK0008046992,L,I,,"LINESTRING (131446.7509999983 482488.5219999999, 131426.94940000027 482493.3847000003, 131357.3429000005 482516.0784999989, 131276.33139999956 482541.8115000017, 131241.5527999997 482552.54520000145)"
