Sport,Naam,Website,Naam accommodatie,Adres accommodatie,Postcode accommodatie,Plaats accommodatie,Stadsdeel,Aangepast sporten,KvK,Stadspas,x,y
Onderwatersport,Aqua Diving ,www.aquadiving.eu,Sloterparkbad,President Allendelaan 3,1064GW,Amsterdam,Nieuw-West,,,,52.37001857,4.81712029
Onderwatersport,Diving Dutchman,www.divingdutchman.com,Sloterparkbad,President Allendelaan 3,1064GW,Amsterdam,Nieuw-West,,,,52.37001857,4.81712029
Onderwatersport,Duikteam Manta,www.manta.nl,Sloterparkbad,President Allendelaan 3,1064GW,Amsterdam,Nieuw-West,,40531820,,52.37001857,4.81712029
Onderwatersport,Onderwater Jagers Club,www.ojc.nl,Sloterparkbad,President Allendelaan 3,1064GW,Amsterdam,Nieuw-West,,40530413,,52.37001857,4.81712029
Onderwatersport,Divection,www.divection.nl,Zuiderbad,Hobbemastraat 26,1071ZC,Amsterdam,Zuid,,34148326,,52.35867321,4.88602646
Onderwatersport,Diemen OWSV,www.ovdiemen.nl,Zwembad & Sportcentrum Wethouder Duran,Ouderkerkerlaan 10,1112BE,Amsterdam,Buiten Amsterdam,,,,52.33484156,4.95735188
Onderwatersport,Amphora,www.duikteamamphora.nl,Zwembad De Meerkamp,Van der Hooplaan 239,1185LN,Amstelveen,Buiten Amsterdam,,40538396,,52.28842768,4.85262535
Onderwatersport,Nemo,www.duikteamnemo.nl,Zwembad De Meerkamp,Van der Hooplaan 239,1185LN,Amstelveen,Buiten Amsterdam,,,,52.28842768,4.85262535
Paardensport,De Amsterdamse Manege,www.deamsterdamsemanege.nl,De Amsterdamse Manege,Nieuwe Kalfjeslaan 25,1182AA,Amstelveen,Buiten Amsterdam,,,,52.31783698,4.84190965
Paardensport,S.P.A. (Rijvereniging Sportpaarden Amsterdam),www.rvspa.nl,De Amsterdamse Manege,Nieuwe Kalfjeslaan 25,1182AA,Amstelveen,Buiten Amsterdam,,,,52.31783698,4.84190965
Paardensport,De Hollandsche Manege,www.dehollandschemanege.nl,De Hollandsche Manege,Vondelstraat 140,1054GT,Amsterdam,West,,37120575,,52.3609779,4.8722594
Paardensport,Ruitervereniging Zunderdorp,www.rvzunderdorp.nl,Manege,Broekergouw 1,1027AH,Amsterdam,Noord,,40533008,,52.41585389,4.97904049
Paardensport,Ponyclub Floradorp,www.floradorpranch.nl,Manege,Vikingpad 28,1034VG,Amsterdam,Noord,,,ja,52.41186541,4.91296784
Paardensport,Manege Geuzeneiland,www.manege-geuzeneiland.nl,Manege Geuzeneiland,Geleijn Bouwenszstraat 2,1067PJ,Amsterdam,Nieuw-West,,54161908,,52.37227748,4.80663597
Paardensport,Manege Nieuw Amstelland,www.nieuwamstelland.nl,Manege Nieuw Amstelland,Jan Tooropplantsoen 17a,1182AC,Amstelveen,Buiten Amsterdam,,,,52.32251772,4.85551216
Paardensport,Manege Vredeshoeve,www.vredeshoeve.nl,Manege Vredeshoeve,Han Hollanderlaan 4,1067BB,Amsterdam,Nieuw-West,,,,52.37048194,4.79698126
Paardensport,Ponymanege Equito,www.equito.nl,Ponymanege Equito,Kalfjeslaan 49,1183TA,Amstelveen,Zuid,,,,52.32203861,4.89383019
Paardensport,Floradorpranch,www.floradorpranchzorgopmaat.nl/,Sportpark Kadoelen,Vikingpad 28,1034VG,Amsterdam,Noord,,41205815,ja,52.41186541,4.91296784
Paardensport,Turner's Stable,www.turnersstable.nl,Turner's Stable,Vikingpad 26,1034VG,Amsterdam,Noord,,34177995,,52.41169401,4.912808
Paardensport ,Ruitervereniging Riekerveld,www.manegederuif.nl,Sportpark Sloten,Sloterweg 675,1066CA,Amsterdam,Nieuw-West,,40530621,,52.34194594,4.82195649
Padel,Play Padel Club Amsterdam,www.playpadel.club,Play Padel Club Amsterdam Sloterdijk,Radarweg 160,1043NS,Amsterdam,Westpoort,,69984336,ja,52.38858253,4.83566067
Padel,Play Padel Club Amsterdam,www.playpadel.club,Play Padel Club Amsterdam Zuidas,Claude Debussylaan 150,1082MC,Amsterdam,Zuid,,69984336,ja,52.33728726,4.8710944
Padel,Play Padel Club Amsterdam,www.playpadel.club,Play Padel Kauwgomballenkwartier,Willem Fenengastraat 3,1096BL,Amsterdam,Oost,,69984336,ja,52.33322175,4.91654557
Padel,Amstelpark Tennisclub,www.amstelpark.nl,Sportpark Amstelpark,Koenenkade 8,1081KH,Amsterdam,Zuid,,40534990,,52.33101422,4.85234665
Padel,Padeldam,www.padeldam.nl,Sportpark De Eendracht,Tom Schreursweg 14,1067MC,Amsterdam,Nieuw-West,,65973747,,52.38302384,4.78397856
Padel,USC Tennis,www.usc.uva.nl,Sportpark Middenmeer,Radioweg 80,1098NJ,Amsterdam,Oost,,,,52.34779887,4.94727555
Padel,Play Padel Club Amsterdam,www.playpadel.club,Sportpark Olympiaplein,Olympiaplein 31,1077CL,Amsterdam,Zuid,,69984336,ja,52.34835067,4.86686479
Pencak Silat,Panglipur Amsterdam,www.panglipur.com,American Fitness,Blasiusstraat 144,1091CZ,Amsterdam,Oost,,40538780,,52.3575454,4.91334293
Pencak Silat,Pamor Badai,www.pamorbadai.com,Gymgebouw Diemen,Schoolstraat 61,1111BP,Amsterdam,Buiten Amsterdam,,,,52.34056855,4.9587749
Pencak Silat,Silektuo,www.silektuo.nl,Gymzaal,Joris van den Berghweg 4,1067HS,Amsterdam,Nieuw-West,,,,52.37290383,4.78097373
Pencak Silat,Tapak Suci,www.tapaksuci-osdorp.nl,Gymzaal Akerwateringstraat 2,Akerwateringstraat 2,1069GE,Amsterdam,Nieuw-West,,,,52.35505659,4.78498999
Pencak Silat,Perguruan Pencaksilat Asembagus (Zelfverdedigingssport),home.asembagus.nl,Gymzaal Reigersbos 303,Reigersbos 303,1107EZ,Amsterdam,Zuidoost,,40538848,ja,52.29398078,4.97749136
Pencak Silat,Keluarga Silat Perisai Diri Ned.,www.perisaidiri.nl,Sporthal Wethouder Verheij,Polderweg 300,1093KP,Amsterdam,Oost,,40534240,,52.35788575,4.93135106
Pickleball,Amsterdam Pickleball Players,www.pickleballholland.nl,Gymzaal Tosaristraat 30C,Tosaristraat 30C,1019RT,Amsterdam,Oost,,58936637,,52.37990761,4.92209216
Roeien,KAR & ZV De Hoop,www.karzvdehoop.nl,De Hoop,Weesperzijde 1046a,1091EH,Amsterdam,Centrum,,,,52.35424753,4.90840844
Roeien,De Drietand,www.rvdedrietand.nl,Lyceumbrug,Olympiaplein 1,1077CJ,Amsterdam,Zuid,,40533168,,52.35085904,4.86640317
Roeien,A.S.R. Nereus ,www.nereus.nl,Nereus,Amsteldijk 130a,1078RT,Amsterdam,Centrum,,40531626,,52.34820782,4.91127052
Roeien,RSVU Okeanos,www.okeanos.nl,Okeanos,Bosbaan 8,1182AG,Amsterdam,Buiten Amsterdam,,40530079,,52.32886904,4.85243924
Roeien,Poseidon,www.rzv-poseidon.nl,Poseidon,Jan Vroegopsingel 4,1096CN,Amsterdam,Oost,,33214222,,52.33723194,4.90858568
Roeien,RIC,www.ricamsterdam.nl,RIC,Korte Ouderkerkerdijk 32,1096AC,Amsterdam,Oost,,40532330,,52.34027303,4.91610985
Roeien,Roei- en Zeilvereniging De Amstel,www.amstelroei.nl,Roei- en Zeilvereniging De Amstel,Hobbemakade 122,1071XW,Amsterdam,Zuid,,40530035,,52.34954148,4.8859828
Roeien,Roeicentrum Berlagebrug,www.roeicentrumberlagebrug.nl,Roeicentrum Berlagebrug,Weesperzijde 1094,1097DS,Amsterdam,Centrum,,54894182,,52.34833311,4.91299394
Roeien,Roeivereeniging Willem III,www.willem3.nl,Roeivereeniging Willem III,Jan Vroegopsingel 8,1096CN,Amsterdam,Oost,,40532201,ja,52.33587472,4.90857096
